pedido_id;data_pedido;cliente_id;produto_id;unidade_id;quantidade;desconto_pct;status;receita_bruta;receita_liquida;custo_total;data_prometida;data_entrega
PV000018;30/06/2025;C0024;P001;U01;19,51;0,1555;Entregue;360,94;304,81;158,36;2025-07-14;2025-07-15
PV000019;15/05/2026;C0308;P001;U01;39,03;0,0199;Entregue;722,06;707,69;299,97;2026-05-28;2026-05-31
PV000020;23/04/2026;C0275;P007;U01;162,2;0,0913;Entregue;1589,56;1444,43;730,31;2026-05-06;2026-05-09
PV000021;25/07/2025;C0478;P002;U02;45,06;0,1001;Entregue;1031,87;928,58;442,63;2025-08-07;2025-08-07
PV000022;30/05/2025;C0268;P002;U01;49,8;0,1482;Entregue;1140,42;971,41;440,41;2025-06-10;2025-06-13
PV000023;06/08/2025;C0245;P004;U02;45,43;0,072;Entregue;608,76;564,93;253,95;2025-08-10;2025-08-16
PV000024;07/06/2024;C0197;P008;U02;17,88;0,0368;Entregue;314,69;303,11;140,81;2024-06-17;2024-06-23
PV000025;14/10/2025;C0456;P005;U01;56,57;0,1043;Entregue;1793,27;1606,23;766,82;2025-10-25;2025-10-24
PV000026;23/03/2026;C0174;P008;U01;23,31;0,0546;Entregue;410,26;387,86;189,15;2026-03-29;2026-04-01
PV000027;10/02/2025;;P008;U02;74,93;0,0364;Entregue;1318,77;1270,77;672,25;2025-02-21;2025-02-23
PV000028;08/03/2024;C0464;P007;U02;61,7;0,1797;Faturado;604,66;496,0;256,62;2024-03-19;2024-03-17
PV000029;16/07/2026;C0137;P001;U02;13,81;0,1722;Entregue;255,48;211,49;113,73;2026-07-21;2026-07-21
PV000030;29/07/2026;C0214;P002;U02;78,33;0,0259;Faturado;1793,76;1747,3;720,32;2026-08-11;2026-08-14
PV000031;08/09/2025;C0440;P001;U01;12,54;0,1688;Entregue;231,99;192,83;100,78;2025-09-21;2025-09-24
PV000032;28/06/2025;C0490;P002;U03;43,68;0,1026;Entregue;1000,27;897,64;392,15;2025-07-04;2025-07-02
PV000033;10/05/2025;C0403;P005;U02;30,73;0,101;Faturado;974,14;875,75;402,71;2025-05-20;2025-05-21
PV000034;01/01/2026;C0031;P006;U02;23,96;0,0372;Entregue;1317,8;1268,78;652,42;2026-01-11;2026-01-11
PV000035;16/07/2024;C0486;P005;U01;55,42;0,0477;Faturado;1756,81;1673,01;766,96;2024-07-27;2024-07-27
PV000036;18/06/2025;C0182;P004;U03;169,77;0,09;Faturado;2274,92;2070,18;969,68;2025-06-24;2025-06-27
PV000037;04/05/2025;C0406;P007;U03;200,07;0,0174;Entregue;1960,69;1926,57;920,52;2025-05-10;2025-05-10
PV000038;27/03/2026;C0142;P005;U01;13,07;0,115;Entregue;414,32;366,67;194,23;2026-04-09;2026-04-10
PV000039;11/10/2024;C0486;P008;U01;192,28;0,0852;Entregue;3384,13;3095,8;1622,94;2024-10-22;2024-10-22
PV000040;18/04/2025;C0076;P005;U02;49,37;0,1507;Entregue;1565,03;1329,18;657,59;2025-04-26;2025-04-29
PV000041;23/01/2024;C0309;P006;U01;38,9;0,1263;Entregue;2139,5;1869,28;1076,19;2024-02-05;2024-02-05
PV000042;19/02/2025;C0432;P006;U03;56,15;0,1525;Faturado;3088,25;2617,29;1408,47;2025-02-24;2025-02-25
PV000043;19/07/2024;C0204;P003;U01;37,34;0,0107;Entregue;1568,28;1551,5;751,41;2024-07-23;2024-07-23
PV000044;11/12/2024;C0153;P005;U01;87,62;0,0019;Faturado;2777,55;2772,27;1221,53;2024-12-16;2024-12-16
PV000045;12/09/2025;C0246;P002;U01;55,09;0,0645;Entregue;1261,56;1180,19;474,16;2025-09-17;2025-09-17
PV000046;20/02/2026;C0146;P003;U02;14,56;0,0091;Cancelado;611,52;605,96;313,23;2026-03-02;2026-03-08
PV000047;23/06/2026;C0408;P003;U03;46,63;0,101;Entregue;1958,46;1760,66;1008,83;2026-07-05;2026-07-05
PV000048;09/03/2025;C0412;P001;U01;37,79;0,09;Entregue;699,12;636,2;267,3;2025-03-18;2025-03-24
PV000049;03/01/2026;C0214;P003;U03;106,65;0,1406;Entregue;4479,3;3849,51;2180,54;2026-01-06;2026-01-04
PV000050;24/10/2025;C0261;P004;U01;33,02;0,1137;Entregue;442,47;392,16;203,62;2025-10-31;2025-10-31
PV000051;16/10/2024;C0485;P006;U01;140,13;0,0476;Entregue;7707,15;7340,29;3979,51;2024-10-30;2024-11-05
PV000052;30/06/2024;C0276;P003;U01;99,55;0,1321;Entregue;4181,1;3628,78;1972,79;2024-07-10;2024-07-08
PV000053;17/02/2024;C0313;P004;U01;12,48;0,0653;Entregue;167,23;156,31;72,97;2024-02-21;2024-02-20
PV000054;18/09/2025;C0269;P003;U03;60,85;0,0672;Entregue;2555,7;2383,96;1315,46;2025-09-30;2025-10-01
PV000055;03/07/2026;C0338;P004;U03;16,26;0,1055;Entregue;217,88;194,89;103,76;2026-07-14;2026-07-20
PV000056;01/11/2025;C0426;P008;U01;112,73;0,1191;Entregue;1984,05;1747,75;1005,2;2025-11-10;2025-11-13
PV000057;30/07/2024;C0256;P002;U01;240,69;0,1392;Entregue;5511,8;4744,56;2118,4;2024-08-11;2024-08-09
PV000058;20/11/2024;C0266;P003;U03;15,54;0,1567;Entregue;652,68;550,41;299,4;2024-11-26;2024-11-27
PV000059;22/04/2026;C0264;P005;U02;29,41;0,1766;Entregue;932,3;767,66;425,04;2026-04-29;2026-04-29
PV000060;01/02/2025;C0001;P002;U03;241,35;0,1718;Faturado;5526,92;4577,4;2235,52;2025-02-05;2025-02-07
PV000061;11/09/2024;C0053;P007;U03;20,46;0,0697;Faturado;200,51;186,53;77,66;2024-09-25;2024-09-25
PV000062;17/09/2025;C0134;P005;U02;86,82;0,0247;Entregue;2752,19;2684,21;1314,74;2025-09-27;2025-09-30
PV000063;14/09/2024;C0026;P002;U01;26,06;0,0439;Entregue;596,77;570,57;218,7;2024-09-28;2024-09-30
PV000064;27/06/2024;C0089;P007;U01;13,52;0,0654;Entregue;132,5;123,83;51,91;2024-07-01;2024-07-04
PV000065;06/12/2024;C0472;P006;U01;88,68;0,17;Entregue;4877,4;4048,24;2398,39;2024-12-10;2024-12-09
PV000066;30/01/2025;C0343;P003;U01;118,78;0,0594;Entregue;4988,76;4692,43;2488,33;2025-02-06;2025-02-12
PV000067;05/11/2024;C0063;P002;U02;31,2;0,0375;Entregue;714,48;687,69;299,11;2024-11-10;2024-11-13
PV000068;22/02/2025;C0349;P005;U01;10,17;0,0839;Entregue;322,39;295,34;157,5;2025-02-26;2025-02-26
PV000069;20/08/2025;C0382;P003;U01;28,78;0,1135;Entregue;1208,76;1071,57;602,79;2025-08-28;2025-08-26
PV000070;01/06/2025;C0145;P003;U01;115,68;0,103;Entregue;4858,56;4358,13;2565,62;2025-06-15;2025-06-18
PV000071;08/02/2025;C0273;P003;U01;46,34;0,0023;Entregue;1946,28;1941,8;1029,18;2025-02-16;2025-02-14
PV000072;30/03/2025;C0420;P008;U01;31,54;0,1196;Faturado;555,1;488,71;273,07;2025-04-04;2025-04-07
PV000073;06/06/2024;C0077;P007;U02;43,67;0,0411;Entregue;427,97;410,38;195,1;2024-06-15;2024-06-14
PV000074;01/07/2026;C0191;P005;U02;28,25;0,0729;Faturado;895,52;830,24;437,48;2026-07-13;2026-07-13
PV000075;08/07/2025;C0392;P007;U03;21,65;0,1359;Entregue;212,17;183,34;96,72;2025-07-11;2025-07-11
PV000076;26/07/2026;C0404;P002;U01;37,69;0,16;Entregue;863,1;725,0;350,52;2026-08-07;2026-08-07
PV000077;12/02/2024;C0263;P008;U01;5,18;0,0278;Faturado;91,17;88,64;43,21;2024-02-23;2024-02-21
PV000078;12/03/2025;C0400;P003;U01;129,82;0,1786;Entregue;5452,44;4478,63;2806,87;2025-03-19;2025-03-20
PV000079;15/05/2025;C0302;P001;U03;103,9;0,0051;Entregue;1922,15;1912,35;722,71;2025-05-21;2025-05-24
PV000080;13/01/2024;C0038;P002;U01;134,34;0,1587;Entregue;3076,39;2588,17;1228,14;2024-01-16;2024-01-16
PV000081;23/01/2025;C0110;P003;U02;32,04;0,1568;Entregue;1345,68;1134,68;694,47;2025-01-29;2025-01-30
PV000082;03/10/2025;C0460;P002;U02;18,28;0,1248;Entregue;418,61;366,37;187,29;2025-10-06;2025-10-06
PV000083;14/07/2026;C0334;P005;U02;12,9;0,0019;Entregue;408,93;408,15;182,15;2026-07-28;2026-07-28
PV000084;07/06/2026;C0382;P001;U02;79,01;0,0593;Entregue;1461,69;1375,01;550,99;2026-06-15;2026-06-13
PV000085;29/08/2025;C0415;P003;U01;35,5;0,0294;Entregue;1491,0;1447,16;685,99;2025-09-09;2025-09-10
PV000086;01/08/2025;C0086;P006;U01;99,39;0,0737;Entregue;5466,45;5063,57;2808,41;2025-08-09;2025-08-07
PV000087;12/06/2025;C0396;P007;U02;63,17;0,0019;Entregue;619,07;617,89;242,78;2025-06-20;2025-06-19
PV000088;05/02/2025;C0189;P002;U02;69,95;0,169;Entregue;1601,86;1331,15;640,51;2025-02-17;2025-02-15
PV000089;22/08/2025;C0479;P008;U01;24,3;0,0314;Faturado;427,68;414,25;207,77;2025-09-05;2025-09-11
PV000090;22/02/2025;C0239;P003;U01;20,61;0,0985;Entregue;865,62;780,36;400,15;2025-03-07;2025-03-09
PV000091;28/04/2025;C0438;P001;U01;28,28;0,0761;Entregue;523,18;483,37;204,28;2025-05-03;2025-05-03
PV000092;17/05/2025;C0097;P003;U01;33,28;0,1049;Entregue;1397,76;1251,13;702,5;2025-05-28;2025-05-30
PV000093;30/05/2025;C0276;P004;U02;92,71;0,0024;Entregue;1242,31;1239,33;500,89;2025-06-12;2025-06-15
PV000094;18/07/2025;C0062;P001;U02;-27,32;0,1563;Entregue;505,42;426,42;190,73;2025-07-26;2025-07-26
PV000095;12/04/2025;C0377;P003;U02;38,95;0,1385;Entregue;1635,9;1409,33;818,56;2025-04-21;2025-04-24
PV000096;27/06/2025;C0195;P001;U02;21,61;0,0253;Faturado;399,78;389,67;179,88;2025-07-07;2025-07-07
PV000097;30/08/2024;C0065;P007;U01;36,23;0,0305;Entregue;355,05;344,22;158,25;2024-09-03;2024-09-01
PV000098;10/08/2024;C0382;P008;U03;91,31;0,0346;Entregue;1607,06;1551,46;674,31;2024-08-14;2024-08-14
PV000099;18/01/2026;C0310;P002;U02;55,09;0,1793;Faturado;1261,56;1035,36;535,68;2026-01-27;2026-01-27
PV000100;18/11/2024;C0312;P005;U01;61,72;0,1168;Entregue;1956,52;1728,0;881,9;2024-11-25;2024-11-25
PV000101;28/07/2024;C0034;P003;U02;60,45;0,0376;Entregue;2538,9;2443,44;1136,0;2024-08-10;2024-08-13
PV000102;28/04/2024;C0072;P004;U01;124,29;0,1682;Entregue;1665,49;1385,35;752,31;2024-05-08;2024-05-06
PV000103;04/02/2024;C0148;P002;U01;18,87;0,0048;Entregue;432,12;430,05;188,04;2024-02-11;2024-02-11
PV000104;21/01/2024;C0330;P006;U02;48,6;0,0801;Entregue;2673,0;2458,89;1364,75;2024-01-29;2024-01-28
PV000105;21/01/2024;C0118;P007;U02;58,46;0,0136;Entregue;572,91;565,12;240,83;2024-01-25;2024-01-26
PV000106;07/06/2026;C0133;P002;U02;97,68;0,0668;Entregue;2236,87;2087,45;853,99;2026-06-20;2026-06-20
PV000107;28/03/2026;C0343;P008;U03;41,1;0,1688;Entregue;723,36;601,26;359,36;2026-04-11;2026-04-14
PV000108;21/01/2026;C0316;P005;U01;247,5;0,0427;Entregue;7845,75;7510,74;3242,59;2026-02-01;2026-02-01
PV000109;13/04/2026;C0438;P003;U02;181,85;0,0081;Entregue;7637,7;7575,83;4000,23;2026-04-19;2026-04-19
PV000110;14/04/2025;C0349;P002;U01;132,53;0,1692;Entregue;3034,94;2521,43;1231,87;2025-04-27;2025-04-29
PV000111;19/07/2024;C0242;P004;U03;27,9;0,0236;Entregue;373,86;365,04;153,81;2024-07-27;2024-07-27
PV000112;26/09/2025;C0422;P003;U01;17,3;0,0365;Entregue;726,6;700,08;348,44;2025-10-09;2025-10-09
PV000113;28/02/2024;C0271;P008;U02;23,31;0,0042;Entregue;410,26;408,54;181,45;2024-03-05;2024-03-06
PV000114;27/04/2024;C0337;P006;U03;68,62;0,0243;Entregue;3774,1;3682,39;1665,94;2024-04-30;2024-05-03
PV000115;28/01/2024;C0492;P003;U02;42,32;0,1011;Entregue;1777,44;1597,74;833,53;2024-02-02;2024-02-02
PV000116;15/11/2024;C0444;P006;U03;6,77;0,178;Entregue;372,35;306,07;172,46;2024-11-27;2024-11-27
PV000117;05/12/2025;C0166;P008;U01;495,12;0,0677;Faturado;8714,11;8124,16;4419,56;2025-12-18;2025-12-21
PV000118;13/11/2025;C0056;P008;U02;36,3;0,0013;Entregue;638,88;638,05;318,02;2025-11-18;2025-11-17
PV000119;22/01/2025;C0398;P004;U01;56,51;0,0115;Faturado;757,23;748,52;318,29;2025-02-03;2025-02-02
PV000120;24/06/2025;C0262;P008;U01;9,72;0,0259;Faturado;171,07;166,64;79,14;2025-06-27;2025-06-29
PV000121;21/04/2025;C0439;P002;U03;47,21;0,0544;Faturado;1081,11;1022,3;408,86;2025-04-24;2025-04-24
PV000122;08/02/2025;C0283;P007;U02;67,08;0,0033;Entregue;657,38;655,21;278,32;2025-02-20;2025-02-18
PV000123;29/06/2024;C0024;P002;U02;25,13;0,0694;Faturado;575,48;535,54;241,75;2024-07-08;2024-07-09
PV000124;29/06/2025;C0045;P005;U01;22,53;0,0871;Entregue;714,2;651,99;347,65;2025-07-12;2025-07-14
PV000125;21/05/2025;C0499;P006;U03;15,58;0,0704;Entregue;856,9;796,57;371,96;2025-05-29;2025-05-27
PV000126;15/12/2025;C0327;P002;U01;48,15;0,1062;Entregue;1102,64;985,54;476,66;2025-12-25;2025-12-31
PV000127;15/02/2025;C0361;P006;U01;16,27;0,0264;Faturado;894,85;871,23;436,53;2025-02-24;2025-02-27
PV000128;01/07/2025;C0371;P005;U01;129,53;0,0412;Entregue;4106,1;3936,93;1883,04;2025-07-11;2025-07-11
PV000129;30/01/2025;C0342;P008;U01;8,51;0,0495;Entregue;149,78;142,37;70,45;2025-02-07;2025-02-05
PV000130;29/01/2026;C0191;P003;U03;13,94;0,0945;Entregue;585,48;530,15;303,16;2026-02-08;2026-02-07
PV000131;09/09/2025;C0343;P005;U01;106,13;0,1545;Entregue;3364,32;2844,53;1624,21;2025-09-20;2025-09-22
PV000132;24/09/2024;C0341;P001;U02;87,77;0,0078;Faturado;1623,74;1611,07;621,72;2024-10-05;2024-10-11
PV000133;18/01/2026;C0218;P003;U02;170,83;0,0028;Entregue;7174,86;7154,77;3533,08;2026-01-29;2026-01-29
PV000134;10/04/2025;C0257;P006;U01;24,3;0,0575;Entregue;1336,5;1259,65;687,61;2025-04-23;2025-04-23
PV000135;24/06/2024;C0196;P006;U02;9,44;0,0682;Entregue;519,2;483,79;248,21;2024-07-08;2024-07-08
PV000136;17/05/2024;C0178;P006;U01;101,22;0,1531;Entregue;5567,1;4714,78;2376,86;2024-05-25;2024-05-24
PV000137;08/05/2026;C0419;P005;U01;37,23;0,0584;Faturado;1180,19;1111,27;592,43;2026-05-19;2026-05-18
PV000138;28/01/2024;C0127;P005;U02;54,83;0,0421;Cancelado;1738,11;1664,94;859,43;2024-02-05;2024-02-05
PV000139;05/11/2025;C0216;P004;U01;73,91;0,0203;Entregue;990,39;970,29;452,36;2025-11-18;2025-11-18
PV000140;18/11/2025;C0132;P002;U03;19,55;0,1359;Cancelado;447,7;386,86;174,67;2025-12-01;2025-12-04
PV000141;12/03/2024;C0076;P008;U01;216,35;0,0462;Faturado;3807,76;3631,84;1839,81;2024-03-24;2024-03-26
PV000142;29/07/2025;C0016;P008;U01;25,08;0,0277; entregue ;441,41;429,18;186,81;2025-08-10;2025-08-09
PV000143;13/06/2024;C0125;P007;U01;30,44;0,1703;Entregue;298,31;247,51;139,19;2024-06-20;2024-06-18
PV000144;05/01/2025;C0057;P005;U02;62,97;0,0022;Entregue;1996,15;1991,76;883,78;2025-01-09;2025-01-09
PV000145;11/03/2025;C0217;P007;U03;51,86;0,1258;Entregue;508,23;444,29;225,09;2025-03-23;2025-03-22
PV000146;05/08/2024;C0448;P001;U02;28,44;0,142;Entregue;526,14;451,43;224,76;2024-08-11;2024-08-13
PV000147;08/08/2025;C0212;P005;U01;128,09;0,1444;Entregue;4060,45;3474,12;1685,23;2025-08-14;2025-08-14
PV000148;15/02/2024;C0339;P005;U02;64,16;0,1026;Entregue;2033,87;1825,19;945,73;2024-02-19;2024-02-19
PV000149;07/07/2026;C0042;P005;U01;22,76;0,1125;Entregue;721,49;640,32;335,48;2026-07-14;2026-07-12
PV000150;29/12/2024;C0381;P002;U01;48,39;0,1205;Entregue;1108,13;974,6;418,42;2025-01-07;2025-01-09
PV000151;21/07/2026;C0012;P006;U03;146,28;0,0701;Entregue;8045,4;7481,42;4004,66;2026-07-28;2026-07-29
PV000152;01/05/2026;C0149;P006;U01;113,9;0,1564;Faturado;6264,5;5284,73;2967,87;2026-05-12;2026-05-12
PV000153;25/06/2026;C0037;P004;U01;25,84;0,159;Entregue;346,26;291,2;153,31;2026-06-30;2026-06-30
PV000154;27/11/2024;C0384;P005;U01;82,77;0,1074;Entregue;2623,81;2342,01;1264,47;2024-12-07;2024-12-07
PV000155;31/01/2026;C0313;P001;U01;41,48;0,0158;Entregue;767,38;755,26;334,66;2026-02-13;2026-02-16
PV000156;14/04/2025;C0195;P007;U02;106,07;0,1234;Entregue;1039,49;911,22;447,57;2025-04-26;2025-04-24
PV000157;09/01/2025;C0485;P002;U01;16,35;0,1703;Entregue;374,42;310,66;149,83;2025-01-23;2025-01-26
PV000158;08/03/2025;C0008;P005;U01;40,9;0,0706;Entregue;1296,53;1204,99;636,49;2025-03-16;2025-03-16
PV000159;03/01/2026;C0075;P003;U02;123,5;0,026;Entregue;5187,0;5052,14;2548,53;2026-01-16;2026-01-17
PV000160;08/03/2026;C0433;P006;U02;61,25;0,0111;Entregue;3368,75;3331,36;1612,25;2026-03-18;2026-03-21
PV000161;02/02/2024;C0378;P002;U03;12,4;0,1336;Entregue;283,96;246,02;116,57;2024-02-05;2024-02-08
PV000162;13/10/2025;C0108;P007;U03;51,82;0,1507;Entregue;507,84;431,31;229,57;2025-10-27;2025-10-27
PV000163;12/03/2026;C0302;P004;U01;19,74;0,1703;Entregue;264,52;219,47;121,08;2026-03-24;2026-03-22
PV000164;01/07/2024;C0483;P001;U03;6,53;0,1165;Entregue;120,8;106,73;48,75;2024-07-08;2024-07-09
PV000165;21/05/2024;C0280;P008;U01;111,67;0,0626;Entregue;1965,39;1842,36;886,62;2024-05-26;2024-05-26
PV000166;15/04/2024;C0123;P008;U01;157,49;0,0611;Entregue;2771,82;2602,46;1395,46;2024-04-19;2024-04-21
PV000167;20/10/2024;C0005;P004;U01;181,97;0,0271;Entregue;2438,4;2372,32;1028,97;2024-11-02;2024-11-02
PV000168;04/05/2025;C0295;P002;U03;15,71;0,0838;Entregue;359,76;329,61;142,55;2025-05-12;2025-05-10
PV000169;17/11/2025;C0035;P002;U01;13,27;0,091;Entregue;303,88;276,23;135,32;2025-11-28;2025-11-28
PV000170;06/06/2024;C0290;P002;U03;10,4;0,0849;Entregue;238,16;217,94;99,9;2024-06-16;2024-06-22
PV000171;09/01/2024;C0340;P007;U01;41,58;0,0092;Faturado;407,48;403,73;192,91;2024-01-22;2024-01-20
PV000172;22/07/2026;C0269;P006;U01;214,36;0,0463;Entregue;11789,8;11243,93;5476,49;2026-08-04;2026-08-05
PV000173;23/08/2024;C0272;P002;U01;26,71;0,1212;Faturado;611,66;537,53;238,83;2024-09-05;2024-09-05
PV000174;21/01/2026;C0461;P008;U02;26,02;0,0548;Entregue;457,95;432,85;222,32;2026-01-29;2026-01-29
PV000175;09/07/2024;C0152;P007;U03;54,03;0,0228;Entregue;529,49;517,42;220,71;2024-07-17;2024-07-16
PV000176;29/12/2025;C0477;P005;U02;8,55;0,0848;Entregue;271,04;248,06;127,83;2026-01-08;2026-01-06
PV000177;26/05/2024;C0490;P001;U02;14,06;0,0852;Entregue;260,11;237,95;104,37;2024-06-02;2024-06-02
PV000178;13/02/2024;C0477;P005;U02;44,94;0,0616;Entregue;1424,6;1336,84;644,13;2024-02-24;2024-02-25
PV000179;16/08/2024;C0486;P001;U03;30,18;0,1107;Entregue;558,33;496,52;222,51;2024-08-26;2024-08-28
PV000180;05/12/2024;C0235;P005;U02;95,14;0,0536;Entregue;3015,94;2854,29;1529,32;2024-12-11;2024-12-17
PV000181;08/01/2024;C0487;P005;U01;51,48;0,1691;Entregue;1631,92;1355,96;815,98;2024-01-12;2024-01-10
PV000182;21/05/2026;C0133;P004;U01;160,02;0,092;Entregue;2144,27;1947,0;975,78;2026-05-26;2026-05-28
PV000183;31/12/2024;C0036;P007;U01;35,6;0,1219;Faturado;348,88;306,35;136,65;2025-01-04;2025-01-05
PV000184;16/07/2025;C0356;P007;U03;215,2;0,0949;Entregue;2108,96;1908,82;927,04;2025-07-26;2025-07-28
PV000185;30/07/2024;C0122;P001;U01;69,01;0,1445;Entregue;1276,69;1092,21;560,73;2024-08-11;2024-08-11
PV000186;14/04/2024;C0150;P008;U01;56,64;0,0388;Entregue;996,86;958,18;452,2;2024-04-27;2024-04-25
PV000187;07/06/2026;C0134;P005;U03;14,27;0,099;Faturado;452,36;407,58;189,1;2026-06-14;2026-06-14
PV000188;15/09/2024;C0035;P003;U01;75,43;0,0806;Entregue;3168,06;2912,71;1680,09;2024-09-29;2024-09-30
PV000189;11/09/2025;C0149;P007;U01;55,9;0,1087;Faturado;547,82;488,27;224,47;2025-09-20;2025-09-22
PV000190;31/03/2025;C0401;P003;U02;45,49;0,0086;Entregue;1910,58;1894,15;848,87;2025-04-06;2025-04-04
PV000191;25/02/2026;C0299;P004;U02;28,4;0,1299;Entregue;380,56;331,13;174,93;2026-03-11;2026-03-14
PV000192;02/05/2025;C0380;P007;U01;-10,21;0,0605;Entregue;100,06;94,01;44,41;2025-05-10;2025-05-10
PV000193;25/05/2024;C0358;P002;U03;20,02;0,0696;Entregue;458,46;426,55;200,51;2024-05-29;2024-05-29
PV000194;28/04/2024;C0113;P004;U02;22,63;0,0251;Entregue;303,24;295,63;134,4;2024-05-11;2024-05-11
PV000195;09/06/2026;C0351;P006;U01;77,08;0,102;Entregue;4239,4;3806,98;1875,17;2026-06-23;2026-06-21
PV000196;21/05/2025;C0386;P004;U01;93,21;0,0224;Entregue;1249,01;1221,03;543,93;2025-06-04;2025-06-07
PV000197;30/03/2025;C0012;P007;U01;33,61;0,1503;Cancelado;329,38;279,87;135,97;2025-04-06;2025-04-09
PV000198;03/12/2025;C0374;P005;U01;74,28;0,1733;Entregue;2354,68;1946,61;1125,37;2025-12-14;2025-12-13
PV000199;25/12/2024;C0217;P004;U03;174,01;0,1378;Entregue;2331,73;2010,42;959,2;2025-01-03;2025-01-09
PV000200;01/04/2025;C0019;P007;U01;74,65;0,0542;Entregue;731,57;691,92;318,54;2025-04-06;2025-04-06
PV000201;22/04/2025;C0242;P007;U02;27,55;0,1099;Entregue;269,99;240,32;104,92;2025-04-26;2025-04-24
PV000202;17/07/2025;C0201;P002;U02;36,01;0,0902;Faturado;824,63;750,25;371,58;2025-07-27;2025-07-26
PV000203;13/09/2024;C0136;P001;U01;22,06;0,1394;Faturado;408,11;351,22;182,79;2024-09-26;2024-09-25
PV000204;23/03/2024;C0271;P006;U01;57,46;0,0735;Entregue;3160,3;2928,02;1426,46;2024-04-05;2024-04-11
PV000205;29/08/2025;C0266;P004;U01;90,21;0,0442;Entregue;1208,81;1155,38;490,65;2025-09-04;2025-09-07
PV000206;23/01/2024;C0490;P008;U03;6,6;0,113;Entregue;116,16;103,03;51,6;2024-02-02;2024-02-03
PV000207;10/03/2024;C0289;P004;U02;67,48;0,1196;Entregue;904,23;796,08;366,33;2024-03-13;2024-03-13
PV000208;14/01/2025;C0406;P006;U01;13,45;0,1;Entregue;739,75;665,78;320,11;2025-01-25;2025-01-31
PV000209;24/06/2026;C0444;P003;U01;26,06;0,1352;Entregue;1094,52;946,54;585,74;2026-07-05;2026-07-03
PV000210;16/08/2024;C0210;P004;U03;130,21;0,0089;Entregue;1744,81;1729,28;824,49;2024-08-23;2024-08-21
PV000211;16/01/2026;C0035;P004;U01;22,33;0,1547;Entregue;299,22;252,93;127,61;2026-01-28;2026-01-31
PV000212;01/01/2025;C0426;P004;U02;59,43;0,1182;Faturado;796,36;702,23;382,99;2025-01-14;2025-01-14
PV000213;03/11/2024;C0070;P005;U03;44,23;0,171;Entregue;1402,09;1162,33;678,71;2024-11-14;2024-11-17
PV000214;05/10/2024;C0418;P003;U01;43,23;0,0846;Entregue;1815,66;1662,06;841,89;2024-10-09;2024-10-07
PV000215;15/02/2024;C0384;P002;U03;27,72;0,0951;Entregue;634,79;574,42;277,21;2024-02-25;2024-02-25
PV000216;19/05/2024;C0400;P008;U01;130,06;0,0771;Entregue;2289,06;2112,57;1048,36;2024-05-24;2024-05-24
PV000217;21/11/2025;C0322;P007;U01;40,46;0,023;Entregue;396,51;387,39;176,38;2025-12-01;2025-12-01
PV000218;26/04/2026;C0492;P001;U01;73,57;0,0995;Entregue;1361,04;1225,62;591,92;2026-05-10;2026-05-10
PV000219;01/07/2024;C0125;P001;U01;47,68;0,1111;Entregue;882,08;784,08;381,07;2024-07-15;2024-07-17
