lote_id;produto_id;unidade_id;data_inicio;quantidade_planejada;quantidade_produzida;horas_planejadas;horas_reais;refugo_kg;consumo_energia_kwh;consumo_agua_l
L000025;P005;U03;2025-03-24;2099,02;1932,17;15,07;19,69;9,37;792,72;3135,78
L000026;P007;U03;2026-03-14;1982,5;1904,53;14,37;16,07;78,66;1161,36;4525,06
L000027;P008;U02;2025-04-08;1304,24;1156,68;7,79;9,99;4,19;571,05;2372,11
L000028;P007;U01;2025-04-02;2166,86;2210,39;15,4;16,32;58,55;1284,96;2467,43
L000029;P008;U02;2024-10-17;524,0;457,01;3,75;3,81;4,35;108,82;1194,66
L000030;P002;U03;2024-05-14;1366,63;1396,7;7,15;7,71;42,5;343,0;3474,43
L000031;P005;U03;2024-12-09;1687,31;1626,16;12,34;11,59;46,84;833,79;2653,42
L000032;P005;U03;2025-12-15;2188,12;1925,41;14,14;15,44;74,18;1060,4;2771,61
L000033;P001;U02;2024-03-15;229,97;233,05;1,65;1,94;4,56;124,55;579,97
L000034;P005;U03;2026-03-22;300,63;258,85;1,52;1,83;7,37;67,86;216,7
L000035;P006;U03;2025-08-01;2098,27;1827,46;15,82;15,56;60,25;988,17;1342,21
L000036;P001;U03;2026-01-14;1091,83;1064,61;6,22;6,82;27,61;467,37;2215,85
L000037;P004;U03;2026-01-11;360,27;370,24;2,31;2,19;8,91;142,98;395,15
L000038;P002;U03;2025-09-08;1234,87;1156,22;9,2;8,94;27,9;616,41;3073,93
L000039;P006;U03;2026-02-22;1169,62;1170,14;5,63;7,57;38,51;450,06;2625,2
L000040;P008;U01;2026-02-23;471,07;470,99;2,34;2,66;19,25;219,24;1146,34
L000041;P008;U03;2025-01-27;1030,47;1040,21;7,02;9,15;36,48;352,67;1813,71
L000042;P007;U03;2025-10-07;1090,56;1004,04;8,24;8,23;40,85;548,85;2016,79
L000043;P004;U03;2024-07-03;1403,11;1342,83;10,7;13,18;33,52;700,22;3451,67
L000044;P001;U03;2024-12-04;411,31;373,37;2,96;3,18;11,62;206,17;802,97
L000045;P006;U03;2025-07-27;1501,71;1312,11;7,92;8,14;29,66;370,11;2362,79
L000046;P008;U02;2024-04-28;687,73;705,76;3,66;4,52;28,47;313,75;1344,74
L000047;P007;U03;2024-12-03;235,9;221,19;1,8;2,37;5,41;102,03;417,56
L000048;P001;U01;2026-02-15;2072,27;1997,6;10,19;10,31;51,15;797,28;2065,99
L000049;P008;U02;2024-11-13;1087,35;1022,97;5,59;6,95;37,52;420,77;2146,6
L000050;P003;U01;2026-02-24;1769,67;1601,73;9,21;11,39;46,49;885,19;2331,78
L000051;P002;U01;2025-10-07;1384,77;1373,33;8,06;9,72;29,96;328,79;3493,26
L000052;P002;U03;2024-10-25;855,72;766,75;6,43;8,27;3,6;317,67;674,35
L000053;P008;U01;2026-07-06;492,98;453,4;3,14;4,11;12,69;253,21;663,12
L000054;P006;U01;2026-06-14;1072,42;1074,61;6,22;8,12;38,74;565,88;1479,61
L000055;P007;U03;2026-01-13;663,76;627,73;3,51;3,22;14,47;368,74;1372,74
L000056;P007;U03;2024-03-02;1563,94;1534,39;9,23;9,22;34,17;859,98;3428,14
L000057;P008;U03;2026-03-27;1057,45;914,5;5,1;5,02;9,45;392,54;2424,95
L000058;P005;U03;2024-07-24;1029,71;976,22;7,63;9,8;11,46;531,33;2708,1
L000059;P004;U01;2026-07-06;1282,47;1104,67;6,68;7,41;43,6;252,54;1585,46
L000060;P005;U02;2024-05-19;229,31;203,16;1,78;2,18;7,13;74,81;223,04
L000061;P007;U02;2025-06-04;1935,93;1780,49;12,58;15,41;27,07;417,66;3978,48
L000062;P005;U03;2024-04-27;837,74;770,93;5,94;6,87;5,82;339,12;653,08
L000063;P002;U02;2026-06-04;1866,79;1898,21;15,51;17,19;76,77;601,1;1671,41
L000064;P001;U02;2024-06-16;1557,7;1348,98;11,99;13,85;14,71;487,64;2137,24
L000065;P006;U02;2024-03-01;673,66;636,22;3,66;4,57;27,16;159,82;631,38
L000066;P008;U02;2024-08-14;1764,5;1707,01;8,63;10,3;5,05;659,13;3100,96
L000067;P008;U01;2025-01-08;399,81;391,93;2,59;2,53;9,72;235,77;392,86
L000068;P004;U02;2026-03-31;1444,6;1313,02;8,74;10,62;20,58;719,18;945,43
L000069;P001;U03;2025-05-16;1299,5;1310,55;7,84;10,05;21,76;643,66;3305,33
L000070;P004;U02;2024-06-23;1438,5;1270,22;9,57;12,67;46,05;457,37;3521,75
L000071;P008;U03;2024-01-07;835,12;761,29;5,03;5,71;9,08;352,31;1344,43
L000072;P004;U02;2025-05-04;1431,22;1240,97;6,86;8,39;9,17;655,95;1147,4
L000073;P003;U02;2024-09-28;1606,53;1382,08;7,93;10,42;9,08;627,8;3468,44
L000074;P007;U02;2025-06-08;859,94;755,07;5,88;7,7;20,1;249,01;915,29
L000075;P004;U02;2025-07-22;1276,68;1142,26;6,91;8,27;20,84;375,96;1337,8
L000076;P006;U01;2026-07-29;1920,84;1756,02;15,72;20,57;25,17;1003,72;3345,77
L000077;P002;U03;2026-07-29;1707,14;1663,04;11,13;10,15;12,04;600,85;2090,33
L000078;P007;U01;2025-07-03;2067,1;1969,88;10,17;9,99;87,52;450,67;4758,52
L000079;P003;U02;2025-02-21;2093,06;2031,18;15,31;14,07;17,11;656,86;1911,05
L000080;P007;U03;2025-04-25;1149,81;1067,85;5,83;5,36;47,85;532,39;1506,91
L000081;P007;U03;2025-03-26;1908,61;1832,64;9,93;10,91;36,24;460,52;4302,37
L000082;P002;U03;2025-11-29;1957,69;1882,23;9,57;9,11;73,94;604,61;1428,88
L000083;P008;U01;2024-01-19;1033,52;1048,64;7,57;7,15;25,84;631,4;2723,01
L000084;P002;U01;2024-12-22;838,96;821,77;5,54;5,66;2,98;464,97;1853,77
L000085;P003;U03;2025-09-22;1142,0;1174,13;6,39;5,78;49,89;653,91;1027,25
L000086;P006;U03;2025-03-23;2012,79;1928,41;13,86;13,96;5,87;594,5;1804,39
L000087;P005;U03;2024-10-21;2068,42;1821,97;12,03;15,35;63,65;479,27;4563,7
L000088;P003;U03;2025-07-05;1725,25;1507,09;9,77;9,43;50,71;587,79;3415,01
L000089;P007;U02;2026-03-14;1417,65;1257,08;11,18;10,99;34,6;348,72;932,39
L000090;P002;U01;2025-08-09;783,8;777,03;3,99;5,25;14,39;379,58;1313,85
L000091;P004;U02;2024-10-31;1296,67;1303,09;6,41;7,38;24,99;736,29;1773,37
L000092;P006;U03;2024-03-14;2181,23;2178,04;16,05;17,97;79,3;487,79;2304,75
L000093;P002;U01;2024-12-14;1879,78;1752,91;13,55;14,18;72,56;1045,96;1602,51
L000094;P004;U01;2026-04-13;827,17;796,66;4,72;4,94;35,8;430,68;605,21
L000095;P002;U02;2025-04-18;328,37;337,02;2,05;2,45;1,03;75,33;680,78
L000096;P001;U01;2026-01-16;992,05;1017,21;7,73;7,05;16,7;413,02;2362,52
L000097;P006;U03;2024-01-15;2075,82;1840,11;15,77;14,96;25,41;804,14;3079,53
L000098;P003;U02;2024-06-08;824,5;740,42;4,21;4,03;12,06;260,93;1770,7
L000099;P008;U01;2025-07-04;847,28;800,54;5,76;6,46;25,19;270,78;1774,72
L000100;P003;U03;2024-10-24;1738,89;1521,18;10,2;11,71;37,03;358,59;1885,98
L000101;P006;U01;2024-12-20;544,2;484,08;3,72;4,08;13,66;124,98;1279,63
L000102;P008;U02;2024-04-20;588,53;603,82;3,53;3,65;22,23;196,41;1132,7
L000103;P005;U01;2025-04-15;757,03;729,75;3,66;3,61;29,35;214,3;945,7
L000104;P003;U01;2024-04-14;803,56;756,02;4,77;4,81;4,96;281,38;2030,85
L000105;P001;U02;2026-07-25;691,7;608,8;3,72;4,71;25,98;136,7;617,57
L000106;P001;U02;2025-09-14;2101,54;2086,01;11,9;13,95;38,38;1035,89;1574,38
L000107;P002;U03;2024-06-02;586,06;587,27;3,5;4,35;8,92;190,08;1638,9
L000108;P002;U01;2025-01-07;347,69;350,74;1,72;1,58;15,75;119,48;539,56
L000109;P005;U01;2025-02-09;1330,6;1185,1;7,02;9,01;16,0;286,58;2639,87
L000110;P004;U01;2026-07-16;2137,68;2018,78;16,13;18,73;72,03;1145,56;3350,88
L000111;P008;U01;2024-11-27;1421,73;1354,31;9,32;12,26;11,67;311,36;1383,62
L000112;P001;U01;2025-05-20;461,0;459,75;2,54;2,65;19,98;112,16;575,27
L000113;P008;U02;2025-06-16;355,43;328,29;1,76;2,31;5,87;88,36;408,92
L000114;P001;U02;2025-08-16;791,8;811,42;4,18;3,78;8,26;332,34;627,19
L000115;P002;U03;2025-05-21;698,31;670,79;5,03;5,84;6,24;264,39;1557,51
L000116;P008;U01;2026-03-08;814,02;835,12;6,53;6,22;28,83;365,8;2220,78
L000117;P003;U03;2026-01-03;1024,84;891,39;5,91;6,09;34,83;443,17;1727,56
L000118;P007;U02;2024-04-05;959,89;946,43;5,33;6,24;33,19;575,84;1821,56
L000119;P002;U01;2024-09-20;409,38;415,32;2,02;1,99;5,39;139,54;315,72
L000120;P005;U02;2026-04-10;1822,49;1602,48;9,63;10,14;21,44;596,67;2579,11
L000121;P006;U01;2026-06-23;208,53;203,2;1,08;1,44;4,8;108,25;472,91
L000122;P008;U01;2026-03-18;1175,02;1054,31;7,41;8,34;36,68;524,53;2473,22
L000123;P004;U03;2026-01-03;599,69;550,4;3,01;3,64;7,11;256,82;529,16
L000124;P006;U03;2026-04-16;217,51;196,35;1,25;1,53;7,79;99,09;277,06
L000125;P006;U02;2026-05-27;715,92;643,96;3,61;4,27;22,85;230,53;671,88
L000126;P005;U03;2024-09-22;1833,3;1591,94;11,22;13,54;69,99;562,9;1841,97
L000127;P007;U02;2026-03-01;505,45;472,95;3,93;4,25;18,38;150,27;1033,17
L000128;P004;U02;2026-07-05;947,05;869,02;7,77;8,29;35,74;325,16;1519,84
L000129;P007;U02;2025-03-15;1580,97;1614,64;11,46;12,76;15,49;713,06;4467,57
L000130;P008;U02;2025-02-09;1749,11;1580,12;14,3;18,28;24,73;770,27;1216,55
L000131;P003;U03;2024-01-02;1566,12;1354,1;10,65;10,94;52,3;776,55;3110,7
L000132;P008;U01;2025-02-26;1776,65;1739,45;8,71;8,25;64,53;785,99;4844,6
L000133;P004;U01;2025-11-29;1729,3;1543,5;9,66;11,52;43,97;514,14;2019,3
L000134;P005;U02;2025-02-12;1194,0;1183,36;6,34;6,02;30,09;323,71;2039,46
L000135;P002;U03;2026-04-08;996,37;950,79;7,09;8,57;34,51;428,8;1178,43
L000136;P005;U02;2025-04-29;377,06;358,44;2,85;2,58;11,87;104,63;382,22
L000137;P002;U02;2024-01-27;1982,48;1807,42;14,83;19,64;35,27;592,31;3922,95
L000138;P008;U03;2024-10-31;1120,78;976,6;6,09;5,58;37,61;354,72;1569,75
L000139;P003;U02;2025-06-12;786,27;785,72;4,52;4,45;32,28;224,51;1311,93
L000140;P001;U01;2025-06-07;1718,48;1502,32;13,58;15,3;7,95;617,1;2037,83
L000141;P006;U03;2025-06-30;1714,64;1584,34;8,8;8,84;46,14;766,1;1637,3
L000142;P006;U02;2024-03-31;1564,49;1532,56;12,61;14,14;33,48;886,93;1580,0
L000143;P007;U03;2025-08-12;981,25;893,13;6,96;7,0;38,87;225,35;1736,03
L000144;P008;U03;2025-06-16;276,92;267,85;2,31;2,91;9,02;85,42;656,38
L000145;P005;U02;2025-01-09;324,84;280,37;1,8;1,81;5,67;137,59;596,0
L000146;P008;U02;2024-05-22;226,03;216,78;1,08;1,2;4,16;128,25;297,54
L000147;P002;U02;2026-05-07;658,03;677,52;3,27;3,65;3,39;219,19;1389,5
L000148;P002;U02;2026-07-01;1088,53;1057,74;5,52;6,32;16,51;613,86;1756,92
L000149;P001;U01;2024-03-28;1142,59;1019,65;6,6;8,27;25,6;403,73;2490,03
L000150;P005;U03;2024-06-04;2066,01;1994,46;15,86;15,85;35,02;640,73;2857,34
L000151;P005;U02;2024-02-27;1640,31;1467,47;9,66;12,29;45,41;408,95;4054,28
L000152;P001;U01;2024-07-15;1015,88;922,12;5,74;5,76;26,93;291,97;955,53
L000153;P007;U01;2025-04-17;1299,92;1287,96;6,84;8,45;9,44;429,94;2323,44
L000154;P003;U02;2026-04-30;1801,12;1622,23;11,16;14,53;55,52;833,84;3347,71
L000155;P003;U02;2026-04-10;969,51;930,81;4,84;6,2;24,0;489,37;2012,6
L000156;P001;U03;2026-01-08;841,58;842,11;4,14;3,79;28,19;510,3;1701,9
L000157;P008;U02;2025-12-06;1101,46;980,93;6,89;8,65;25,51;561,16;1548,02
L000158;P005;U02;2024-02-02;356,87;350,53;1,77;1,74;8,24;212,15;476,95
L000159;P005;U02;2024-01-03;1447,46;1448,09;9,6;8,78;7,5;531,55;2027,96
L000160;P002;U01;2025-07-31;364,26;316,91;2,08;2,38;2,71;144,5;574,05
L000161;P006;U01;2026-04-17;613,73;544,26;4,59;5,23;5,24;318,73;513,19
L000162;P003;U02;2024-07-02;1164,01;1146,4;5,68;5,79;23,72;681,83;2045,61
L000163;P001;U02;2025-04-07;2075,64;1896,78;17,27;17,55;28,46;631,9;5217,6
L000164;P003;U01;2024-12-18;460,71;465,47;2,3;2,7;11,51;190,68;1061,42
L000165;P002;U03;2025-01-03;1777,51;1656,65;12,22;11,13;27,24;587,98;3377,52
L000166;P007;U03;2026-04-13;1747,56;1547,78;13,77;18,41;58,51;348,51;3629,31
L000167;P004;U02;2025-12-17;828,97;725,82;4,04;4,88;15,98;167,25;1860,96
L000168;P003;U03;2024-05-08;1243,95;1217,44;9,99;10,32;1704,416;586,5;3070,3
L000169;P006;U01;2025-03-30;332,88;306,8;1,59;1,73;2,28;74,12;795,9
L000170;P007;U03;2025-09-28;1263,09;1105,64;8,35;8,2;45,65;486,83;2281,97
L000171;P003;U03;2025-04-13;427,12;405,66;3,51;4,11;5,53;143,55;1043,83
L000172;P003;U03;2026-03-27;1025,27;906,92;6,15;7,09;34,67;403,46;1268,29
L000173;P005;U01;2026-03-03;1127,58;1056,48;6,65;7,04;44,44;523,78;1127,28
L000174;P003;U02;2024-10-07;1774,62;1621,64;11,99;12,95;54,37;873,33;2434,81
L000175;P006;U03;2025-11-06;748,11;658,19;3,57;3,27;4,54;399,71;1041,35
L000176;P006;U01;2024-03-11;655,84;601,13;3,69;3,42;25,81;136,73;1366,13
L000177;P002;U01;2025-04-01;1335,26;1359,46;8,21;9,52;17,94;757,88;2079,43
L000178;P001;U02;2024-09-19;1552,28;1379,18;8,03;8,96;9,32;815,28;3131,45
L000179;P002;U02;2024-10-19;1293,85;1187,65;7,12;7,0;43,09;409,92;1457,28
L000180;P001;U01;2024-06-11;766,53;777,3;4,2;3,95;6,47;300,78;986,45
L000181;P007;U02;2025-05-26;697,03;634,2;4,35;5,14;18,81;303,69;747,47
L000182;P004;U01;2025-05-04;1354,24;1301,74;10,11;9,54;22,39;371,4;3498,87
L000183;P008;U02;2026-06-01;438,22;407,68;3,44;3,22;570,752;110,4;987,49
L000184;P008;U02;2025-06-03;358,73;332,63;1,77;1,86;5,19;122,58;535,86
L000185;P008;U01;2024-02-08;885,01;872,96;7,06;7,75;8,32;395,45;1876,14
L000186;P006;U02;2025-01-31;2010,74;1751,91;12,02;12,7;46,3;530,02;1658,4
L000187;P002;U01;2025-03-10;862,33;765,41;4,51;5,44;18,71;244,04;893,63
L000188;P004;U01;2025-02-26;666,18;582,73;5,13;6,59;815,822;162,56;1503,68
L000189;P003;U02;2024-02-23;2129,67;2189,66;12,25;14,96;54,06;709,91;1578,42
L000190;P005;U03;2024-08-18;1160,59;1025,85;7,76;8,85;25,89;375,33;2317,36
L000191;P005;U03;2024-09-24;739,75;692,22;4,65;4,7;24,55;219,45;575,91
L000192;P005;U02;2024-10-21;1487,32;1453,84;9,56;12,84;8,37;339,19;2329,98
L000193;P007;U03;2025-06-27;926,93;865,14;6,54;6,4;30,61;423,78;1864,92
L000194;P001;U02;2025-10-25;1025,82;992,66;6,08;5,49;17,56;568,83;1503,15
L000195;P004;U03;2025-12-21;740,02;674,83;5,92;6,04;6,45;417,35;1766,06
L000196;P001;U02;2024-02-16;755,21;711,95;3,85;4,59;6,15;418,1;1019,25
L000197;P001;U03;2025-01-06;696,72;603,89;3,96;4,72;21,05;221,08;1486,68
L000198;P002;U03;2025-06-08;281,93;255,49;1,84;2,26;9,81;156,75;630,26
L000199;P004;U03;2024-02-22;668,78;682,76;4,07;4,58;26,13;382,91;1706,16
L000200;P001;U03;2024-05-22;245,95;228,12;2,04;2,7;10,17;73,38;567,3
L000201;P008;U02;2026-03-22;1279,08;1138,59;10,58;13,68;13,52;532,32;1174,43
L000202;P003;U01;2024-09-15;267,29;259,39;1,96;2,26;9,79;74,33;454,5
L000203;P003;U03;2024-07-17;500,77;510,92;3,9;3,9;19,1;267,75;819,29
L000204;P007;U01;2025-11-03;1188,37;1159,58;8,35;10,5;9,93;600,51;3144,81
L000205;P003;U01;2024-11-09;993,91;900,75;4,81;4,89;33,35;384,52;985,81
L000206;P005;U01;2024-01-29;1394,91;1372,98;10,95;12,48;52,16;311,42;1421,87
L000207;P008;U02;2024-08-28;304,79;286,58;1,89;2,23;1,53;138,6;535,64
L000208;P004;U01;2026-03-06;395,24;387,19;2,8;3,04;1,21;207,67;486,62
L000209;P008;U02;2025-05-25;1264,96;1256,79;8,46;10,03;52,21;529,57;1258,35
L000210;P008;U02;2024-05-29;653,01;671,48;3,81;3,89;26,57;323,98;1097,63
L000211;P008;U03;2025-11-20;846,09;778,64;6,46;8,21;34,64;450,05;2006,82
L000212;P008;U03;2025-12-25;923,2;841,89;5,36;6,75;21,46;253,21;1565,15
L000213;P001;U01;2025-05-27;735,12;712,49;3,72;3,38;6,1;376,12;1802,13
L000214;P007;U03;2024-12-17;798,43;797,04;4,32;4,49;18,53;221,58;794,39
L000215;P003;U02;2024-11-09;894,31;866,13;6,82;7,77;36,23;301,55;1384,59
L000216;P007;U02;2024-01-28;522,11;518,23;3,75;4,49;22,59;176,17;723,43
L000217;P008;U01;2024-07-18;1110,74;997,58;5,71;7,27;14,36;334,2;1794,94
L000218;P001;U02;2024-04-13;1347,62;1237,66;7,23;8,82;2,7;582,93;2216,53
L000219;P003;U01;2024-04-13;604,57;547,09;2,92;3,53;1,9;155,53;838,92
L000220;P001;U03;2024-08-22;586,18;551,45;2,82;2,75;21,91;302,68;821,51
L000221;P005;U02;2024-10-26;1135,69;1169,13;7,95;9,18;14,19;488,5;2579,54
L000222;P006;U01;2025-09-07;1765,8;1816,25;8,63;11,07;42,07;757,77;4664,93
L000223;P003;U03;2024-01-06;287,89;249,55;2,0;2,61;2,03;95,74;294,81
L000224;P002;U03;2026-04-07;258,61;224,5;1,37;1,73;5,22;93,2;217,13
L000225;P002;U01;2025-11-09;296,51;304,83;1,43;1,51;1,3;148,98;243,66
L000226;P002;U02;2025-03-16;692,61;635,45;5,55;6,39;10,8;274,17;1675,3
L000227;P008;U03;2024-11-18;1292,99;1138,33;7,03;7,54;36,36;288,14;2486,2
L000228;P007;U03;2026-01-22;1975,62;1921,68;10,04;12,15;38,0;982,46;2215,88
L000229;P006;U02;2026-02-09;798,87;696,46;3,95;5,2;20,56;173,3;787,0
L000230;P007;U01;2025-10-27;2015,1;1818,92;13,78;15,41;3,78;663,61;2970,58
L000231;P008;U01;2026-05-03;816,44;715,22;5,79;6,44;3,71;312,46;1172,1
L000232;P001;U02;2024-12-22;992,67;974,71;6,15;7,37;37,29;459,63;1567,25
L000233;P004;U01;2026-01-25;1030,43;1032,93;6,56;6,14;11,11;491,96;2273,42
L000234;P004;U02;2025-01-08;353,76;341,89;2,41;3,24;14,63;93,27;690,07
L000235;P006;U02;2024-09-24;1954,67;1774,56;15,91;14,98;13,7;398,8;4780,5
L000236;P006;U03;2025-11-27;1803,61;1551,39;10,94;12,6;27,15;933,3;1483,46
L000237;P002;U03;2025-11-25;1075,24;1085,14;6,76;8,18;46,19;513,84;2107,3
L000238;P003;U01;2025-01-25;1874,42;1632,09;10,86;11,18;11,19;992,02;2536,71
L000239;P006;U02;2025-06-10;443,91;428,97;3,56;3,53;13,11;253,92;610,09
L000240;P003;U01;2026-04-03;481,71;447,66;3,13;3,16;9,44;173,44;1096,89
L000241;P002;U03;2025-08-17;1460,77;1451,24;7,09;8,39;44,45;640,32;3159,27
L000242;P001;U01;2025-11-16;387,01;379,03;2,85;3,56;14,19;175,07;923,93
L000243;P003;U01;2024-09-17;320,7;299,71;2,49;2,36;7,6;166,38;365,44
L000244;P007;U03;2025-08-20;1428,94;1453,86;7,52;8,89;29,59;475,77;3923,03
L000245;P005;U02;2024-11-22;730,67;637,34;3,62;4,64;21,92;207,9;1140,73
L000246;P002;U01;2025-12-31;2139,6;2074,47;12,28;15,01;30,72;655,27;5578,29
L000247;P002;U01;2026-01-15;720,85;719,07;5,98;5,57;24,85;312,79;1615,68
L000248;P007;U01;2024-07-24;243,21;223,3;1,98;2,66;3,89;76,97;530,21
L000249;P005;U02;2025-02-13;1552,22;1440,9;7,41;9,58;13,09;734,08;2147,18
L000250;P005;U03;2025-12-20;1456,29;1256,35;7,4;7,15;14,4;435,63;2288,12
L000251;P006;U02;2025-12-02;1514,25;1469,3;9,83;13,09;56,77;752,38;3944,9
L000252;P005;U02;2024-11-05;553,05;566,44;2,9;3,52;24,99;247,69;1200,41
L000253;P002;U03;2024-10-28;1163,49;1095,79;6,82;8,58;4,31;364,79;1338,34
L000254;P006;U02;2025-11-29;938,73;882,92;5,58;5,44;8,76;383,5;1094,56
L000255;P006;U01;2025-07-27;444,82;442,94;2,69;3,38;1,27;227,13;725,91
L000256;P007;U03;2024-08-18;1107,71;994,86;8,36;10,66;15,43;570,74;895,39
L000257;P002;U01;2024-01-12;1126,57;1007,25;5,45;6,77;5,72;571,31;2411,53
L000258;P007;U01;2024-07-18;695,01;702,56;5,75;5,26;28,33;163,36;611,87
L000259;P002;U01;2026-05-13;990,36;887,3;5,91;7,95;26,67;224,62;792,96
L000260;P007;U03;2026-04-03;674,6;674,88;4,27;4,17;7,8;163,6;1600,7
L000261;P002;U02;2026-03-13;2173,6;2007,03;11,44;11,22;71,66;452,14;5338,65
L000262;P008;U03;2024-10-04;307,25;266,64;2,05;2,75;5,95;162,54;244,82
L000263;P002;U02;2025-06-12;667,96;584,92;3,28;3,14;4,08;209,14;453,6
L000264;P007;U01;2025-08-12;1942,39;1797,93;12,45;15,15;20,18;1041,52;4845,12
L000265;P001;U01;2024-09-16;597,11;528,26;3,22;3,88;21,15;241,87;839,05
L000266;P002;U03;2024-04-21;435,44;439,08;3,14;3,43;19,47;265,3;326,7
L000267;P002;U01;2024-10-19;710,87;692,98;4,71;6,03;16,33;343,53;1936,93
L000268;P001;U02;2024-02-28;358,83;356,71;2,71;3,0;10,48;116,27;465,2
L000269;P005;U01;2026-06-25;1685,67;1698,41;8,45;10,84;8,53;496,79;1736,27
L000270;P001;U03;2024-05-22;1277,49;1172,82;7,3;6,84;10,67;447,48;2650,06
L000271;P006;U03;2026-01-09;923,92;846,34;7,02;7,07;13,84;502,17;929,71
L000272;P002;U02;2026-04-24;2085,84;1950,32;17,3;22,5;21,99;869,7;2999,17
L000273;P006;U01;2024-02-18;1975,42;1824,29;14,3;15,41;4,01;847,32;3516,61
L000274;P005;U01;2025-12-06;2164,23;1985,61;11,93;12,82;52,0;695,89;2149,86
L000275;P002;U03;2024-10-14;2180,89;2144,63;10,74;14,09;47,2;1312,66;3777,62
L000276;P005;U03;2025-04-15;1521,57;1560,21;10,64;14,08;63,29;356,5;1416,63
L000277;P004;U02;2026-06-13;659,13;671,1;4,98;5,87;939,54;280,61;556,35
L000278;P008;U01;2024-09-26;2066,16;1953,81;10,21;13,66;55,48;979,1;2023,73
L000279;P001;U03;2026-04-11;1415,25;1383,79;10,54;10,04;16,64;519,04;1734,67
L000280;P001;U03;2024-04-10;764,89;693,56;4,9;4,81;28,07;412,17;1084,27
L000281;P002;U02;2026-03-19;449,39;449,5;2,19;2,28;10,39;186,75;566,48
L000282;P005;U03;2025-04-24;1718,56;1639,67;13,2;15,05;15,01;451,36;2088,44
L000283;P002;U03;2025-03-05;938,46;921,08;7,48;7,64;38,16;223,01;965,19
L000284;P003;U03;2024-02-06;1031,33;965,67;6,91;8,13;3,76;432,4;2328,27
L000285;P003;U01;2025-02-25;1370,07;1190,78;8,57;10,16;52,03;457,23;1870,44
L000286;P005;U02;2024-08-07;1917,4;1831,85;14,26;13,01;32,53;778,09;3130,73
L000287;P006;U02;2025-03-07;2059,85;2082,59;13,15;17,26;83,01;560,55;5688,29
L000288;P005;U01;2024-12-23;1564,14;1531,46;11,12;13,56;56,47;456,1;1798,78
L000289;P005;U03;2025-06-06;515,39;521,23;4,05;5,02;13,26;189,25;629,06
L000290;P001;U02;2024-12-05;261,22;257,77;1,46;1,64;5,6;63,06;670,3
L000291;P003;U03;2024-07-18;949,51;907,51;5,21;5,44;19,31;215,02;2373,84
L000292;P005;U02;2025-08-24;1250,39;1170,34;9,91;10,29;30,65;541,97;2011,06
L000293;P001;U01;2025-01-09;1732,24;1571,41;14,39;15,28;18,27;898,91;1179,16
L000294;P007;U02;2025-09-11;911,47;796,88;6,58;7,63;13,17;282,2;1959,99
L000295;P007;U02;2025-09-08;2152,94;1875,88;15,14;17,57;75,48;1054,35;4884,4
