diagnostico_id,os_id,defeito_relatado,causa,taxa_diagnostico,data_diagnostico,motivo_rejeicao
173,173,Falha de rede,Software,44.55,2025-12-25,fk_invalida:os_id
174,174,Não carrega,Impacto,186.97,2025-12-12,fk_invalida:os_id
175,175,Falha de rede,Componente queimado,160.8,2026-04-22,fk_invalida:os_id
176,176,Lento,Desgaste,177.75,2026-03-12,fk_invalida:os_id
177,177,Superaquecimento,Componente queimado,203.39,2025-07-23,fk_invalida:os_id
178,178,Ruído,Desgaste,112.83,2026-02-19,fk_invalida:os_id
179,179,Lento,Componente queimado,133.58,2026-06-06,fk_invalida:os_id
180,180,Lento,Impacto,69.26,2025-10-17,fk_invalida:os_id
181,181,Falha de rede,Desgaste,137.97,2025-07-19,fk_invalida:os_id
182,182,Não carrega,Oxidação,118.1,2025-11-17,fk_invalida:os_id
183,183,Lento,Componente queimado,63.32,2026-04-14,fk_invalida:os_id
185,185,Sem imagem,Desgaste,244.83,2026-04-14,fk_invalida:os_id
186,186,Tela quebrada,Software,130.16,2025-11-24,fk_invalida:os_id
187,187,Ruído,Desgaste,64.6,2025-07-28,fk_invalida:os_id
189,189,Tela quebrada,Software,40.3,2026-04-26,fk_invalida:os_id
190,190,Lento,Desgaste,56.68,2026-05-26,fk_invalida:os_id
193,193,Lento,Componente queimado,82.36,2025-12-14,fk_invalida:os_id
194,194,Sem imagem,Impacto,138.39,2025-08-22,fk_invalida:os_id
195,195,Superaquecimento,Software,222.76,2025-10-18,fk_invalida:os_id
196,196,Lento,Oxidação,106.4,2026-04-13,fk_invalida:os_id
197,197,Ruído,Impacto,176.84,2026-03-20,fk_invalida:os_id
198,198,Superaquecimento,Impacto,61.88,2026-01-23,fk_invalida:os_id
199,199,Superaquecimento,Impacto,190.86,2026-03-20,fk_invalida:os_id
200,200,Falha de rede,Componente queimado,74.8,2026-02-12,fk_invalida:os_id
201,201,Ruído,Componente queimado,208.61,2025-12-25,fk_invalida:os_id
202,202,Não liga,Impacto,191.41,2026-01-16,fk_invalida:os_id
203,203,Sem imagem,Componente queimado,44.78,2026-03-21,fk_invalida:os_id
204,204,Não carrega,Impacto,79.79,2026-05-20,fk_invalida:os_id
205,205,Sem imagem,Desgaste,226.64,2026-03-28,fk_invalida:os_id
206,206,Sem imagem,Oxidação,155.34,2026-01-10,fk_invalida:os_id
207,207,Sem imagem,Oxidação,237.96,2025-09-19,fk_invalida:os_id
208,208,Não liga,Impacto,174.47,2026-04-13,fk_invalida:os_id
210,210,Sem imagem,Impacto,113.69,2025-10-28,fk_invalida:os_id
211,211,Superaquecimento,Desgaste,164.5,2025-12-17,fk_invalida:os_id
213,213,Não liga,Software,173.39,2025-08-26,fk_invalida:os_id
214,214,Não liga,Software,243.43,2026-06-17,fk_invalida:os_id
217,217,Tela quebrada,Desgaste,110.38,2026-03-28,fk_invalida:os_id
218,218,Não carrega,Componente queimado,162.54,2026-02-26,fk_invalida:os_id
219,219,Ruído,Componente queimado,104.43,2025-10-24,fk_invalida:os_id
220,220,Sem imagem,Desgaste,113.7,2026-06-18,fk_invalida:os_id
221,221,Ruído,Impacto,101.89,2025-10-20,fk_invalida:os_id
223,223,Não carrega,Desgaste,173.47,2025-12-23,fk_invalida:os_id
224,224,Falha de rede,Impacto,117.16,2026-05-09,fk_invalida:os_id
226,226,Não carrega,Desgaste,137.12,2026-06-26,fk_invalida:os_id
227,227,Falha de rede,Software,67.89,2026-05-30,fk_invalida:os_id
228,228,Não carrega,Componente queimado,160.16,2026-03-13,fk_invalida:os_id
229,229,Não liga,Software,182.49,2025-12-07,fk_invalida:os_id
230,230,Tela quebrada,Software,127.74,2025-11-25,fk_invalida:os_id
231,231,Sem imagem,Oxidação,175.82,2025-07-08,fk_invalida:os_id
233,233,Falha de rede,Impacto,100.81,2026-05-13,fk_invalida:os_id
234,234,Lento,Componente queimado,247.33,2025-09-21,fk_invalida:os_id
235,235,Superaquecimento,Impacto,231.38,2025-08-16,fk_invalida:os_id
236,236,Falha de rede,Impacto,198.91,2026-03-08,fk_invalida:os_id
238,238,Não liga,Impacto,191.31,2026-05-14,fk_invalida:os_id
240,240,Falha de rede,Oxidação,216.27,2025-08-17,fk_invalida:os_id
241,241,Não carrega,Oxidação,170.9,2025-08-23,fk_invalida:os_id
242,242,Não carrega,Componente queimado,231.53,2026-03-26,fk_invalida:os_id
243,243,Falha de rede,Componente queimado,49.29,2025-12-15,fk_invalida:os_id
244,244,Não liga,Software,79.29,2025-09-23,fk_invalida:os_id
247,247,Não liga,Software,106.44,2025-10-17,fk_invalida:os_id
248,248,Superaquecimento,Software,201.14,2025-09-06,fk_invalida:os_id
251,251,Falha de rede,Componente queimado,76.06,2025-08-15,fk_invalida:os_id
254,254,Sem imagem,Desgaste,190.01,2026-04-20,fk_invalida:os_id
255,255,Ruído,Impacto,203.47,2026-01-21,fk_invalida:os_id
257,257,Lento,Desgaste,213.07,2026-02-21,fk_invalida:os_id
258,258,Sem imagem,Desgaste,136.15,2026-02-20,fk_invalida:os_id
259,259,Tela quebrada,Software,72.76,2025-07-28,fk_invalida:os_id
260,260,Não liga,Oxidação,144.0,2026-04-11,fk_invalida:os_id
261,261,Tela quebrada,Desgaste,172.4,2025-10-15,fk_invalida:os_id
262,262,Não liga,Impacto,221.2,2026-03-15,fk_invalida:os_id
263,263,Superaquecimento,Componente queimado,244.66,2026-01-14,fk_invalida:os_id
264,264,Sem imagem,Componente queimado,60.27,2025-12-28,fk_invalida:os_id
268,268,Sem imagem,Componente queimado,171.42,2025-11-11,fk_invalida:os_id
269,269,Lento,Software,201.69,2026-05-15,fk_invalida:os_id
271,271,Ruído,Componente queimado,147.34,2025-07-26,fk_invalida:os_id
272,272,Não liga,Componente queimado,117.47,2025-11-14,fk_invalida:os_id
273,273,Não liga,Oxidação,211.5,2025-09-23,fk_invalida:os_id
274,274,Falha de rede,Componente queimado,140.58,2026-03-16,fk_invalida:os_id
275,275,Superaquecimento,Impacto,104.32,2026-02-11,fk_invalida:os_id
278,278,Ruído,Desgaste,85.01,2025-12-26,fk_invalida:os_id
280,280,Lento,Oxidação,176.18,2025-10-15,fk_invalida:os_id
281,281,Ruído,Oxidação,113.99,2026-04-15,fk_invalida:os_id
282,282,Ruído,Componente queimado,132.19,2025-07-18,fk_invalida:os_id
283,283,Ruído,Software,182.56,2026-01-13,fk_invalida:os_id
285,285,Não carrega,Componente queimado,212.95,2026-06-15,fk_invalida:os_id
286,286,Tela quebrada,Desgaste,128.76,2026-02-24,fk_invalida:os_id
288,288,Ruído,Componente queimado,45.47,2025-09-12,fk_invalida:os_id
289,289,Ruído,Oxidação,210.53,2026-03-13,fk_invalida:os_id
290,290,Lento,Impacto,76.5,2025-07-14,fk_invalida:os_id
291,291,Falha de rede,Software,137.73,2025-09-29,fk_invalida:os_id
292,292,Não liga,Impacto,113.45,2025-12-12,fk_invalida:os_id
293,293,Ruído,Impacto,196.37,2025-11-17,fk_invalida:os_id
294,294,Tela quebrada,Oxidação,177.17,2025-07-13,fk_invalida:os_id
295,295,Tela quebrada,Impacto,134.96,2026-06-14,fk_invalida:os_id
296,296,Ruído,Componente queimado,66.97,2026-05-11,fk_invalida:os_id
297,297,Tela quebrada,Impacto,49.19,2026-05-04,fk_invalida:os_id
298,298,Lento,Impacto,169.41,2025-11-18,fk_invalida:os_id
299,299,Ruído,Impacto,57.1,2025-07-17,fk_invalida:os_id
302,302,Não liga,Desgaste,122.58,2025-09-27,fk_invalida:os_id
303,303,Não carrega,Componente queimado,78.54,2025-09-21,fk_invalida:os_id
304,304,Falha de rede,Componente queimado,150.71,2026-01-06,fk_invalida:os_id
306,306,Lento,Impacto,130.58,2026-06-20,fk_invalida:os_id
307,307,Não carrega,Impacto,136.23,2025-09-27,fk_invalida:os_id
308,308,Sem imagem,Impacto,76.17,2025-09-17,fk_invalida:os_id
309,309,Sem imagem,Software,247.59,2025-11-24,fk_invalida:os_id
310,310,Não carrega,Oxidação,232.85,2025-07-15,fk_invalida:os_id
311,311,Não liga,Desgaste,76.32,2026-06-29,fk_invalida:os_id
312,312,Tela quebrada,Impacto,89.19,2026-01-25,fk_invalida:os_id
313,313,Não liga,Oxidação,237.48,2026-01-14,fk_invalida:os_id
315,315,Não liga,Software,40.84,2025-08-26,fk_invalida:os_id
316,316,Falha de rede,Desgaste,180.97,2025-08-09,fk_invalida:os_id
318,318,Sem imagem,Software,141.8,2025-07-23,fk_invalida:os_id
320,320,Não liga,Desgaste,64.05,2026-04-02,fk_invalida:os_id
321,321,Falha de rede,Componente queimado,99.61,2026-03-02,fk_invalida:os_id
322,322,Falha de rede,Oxidação,94.43,2025-09-24,fk_invalida:os_id
323,323,Lento,Desgaste,162.43,2026-02-13,fk_invalida:os_id
324,324,Não carrega,Impacto,179.51,2025-10-17,fk_invalida:os_id
325,325,Superaquecimento,Software,142.31,2026-01-13,fk_invalida:os_id
327,327,Não carrega,Componente queimado,141.97,2026-01-21,fk_invalida:os_id
328,328,Sem imagem,Impacto,48.31,2025-12-05,fk_invalida:os_id
329,329,Não carrega,Oxidação,125.28,2026-01-17,fk_invalida:os_id
334,334,Ruído,Desgaste,147.73,2026-04-11,fk_invalida:os_id
335,335,Superaquecimento,Impacto,113.15,2026-06-21,fk_invalida:os_id
336,336,Superaquecimento,Software,194.47,2026-01-29,fk_invalida:os_id
337,337,Lento,Impacto,120.01,2025-12-29,fk_invalida:os_id
338,338,Superaquecimento,Oxidação,33.51,2025-10-15,fk_invalida:os_id
339,339,Lento,Componente queimado,211.77,2025-11-09,fk_invalida:os_id
341,341,Superaquecimento,Software,82.06,2025-12-06,fk_invalida:os_id
342,342,Falha de rede,Desgaste,146.14,2025-07-12,fk_invalida:os_id
343,343,Lento,Software,45.7,2025-11-13,fk_invalida:os_id
346,346,Ruído,Software,136.28,2026-04-06,fk_invalida:os_id
349,349,Tela quebrada,Oxidação,216.82,2025-09-16,fk_invalida:os_id
352,352,Não carrega,Desgaste,248.6,2026-02-15,fk_invalida:os_id
353,353,Não liga,Componente queimado,65.87,2025-12-20,fk_invalida:os_id
354,354,Sem imagem,Software,213.49,2026-06-22,fk_invalida:os_id
355,355,Lento,Software,194.27,2025-07-24,fk_invalida:os_id
356,356,Superaquecimento,Oxidação,107.71,2025-07-12,fk_invalida:os_id
357,357,Sem imagem,Componente queimado,75.66,2025-10-19,fk_invalida:os_id
358,358,Tela quebrada,Oxidação,111.99,2025-09-14,fk_invalida:os_id
360,360,Não liga,Desgaste,108.59,2026-03-27,fk_invalida:os_id
361,361,Não carrega,Software,230.86,2025-08-13,fk_invalida:os_id
362,362,Tela quebrada,Oxidação,152.32,2026-03-16,fk_invalida:os_id
363,363,Tela quebrada,Oxidação,140.17,2025-12-12,fk_invalida:os_id
365,365,Superaquecimento,Componente queimado,45.78,2026-01-17,fk_invalida:os_id
366,366,Não liga,Software,102.89,2026-03-08,fk_invalida:os_id
367,367,Falha de rede,Desgaste,224.16,2026-06-14,fk_invalida:os_id
368,368,Tela quebrada,Impacto,72.03,2026-04-30,fk_invalida:os_id
369,369,Não carrega,Oxidação,131.83,2026-04-22,fk_invalida:os_id
370,370,Sem imagem,Componente queimado,141.38,2026-02-22,fk_invalida:os_id
371,371,Superaquecimento,Desgaste,245.97,2025-08-13,fk_invalida:os_id
372,372,Falha de rede,Software,154.82,2025-07-15,fk_invalida:os_id
373,373,Tela quebrada,Desgaste,201.69,2025-11-01,fk_invalida:os_id
374,374,Superaquecimento,Software,73.03,2025-07-17,fk_invalida:os_id
375,375,Lento,Desgaste,160.83,2025-08-17,fk_invalida:os_id
376,376,Tela quebrada,Componente queimado,214.86,2025-12-21,fk_invalida:os_id
377,377,Superaquecimento,Componente queimado,100.66,2025-12-25,fk_invalida:os_id
378,378,Superaquecimento,Oxidação,189.78,2026-06-25,fk_invalida:os_id
379,379,Não liga,Oxidação,144.92,2025-09-05,fk_invalida:os_id
380,380,Falha de rede,Componente queimado,190.53,2026-05-07,fk_invalida:os_id
382,382,Superaquecimento,Componente queimado,196.99,2025-09-17,fk_invalida:os_id
384,384,Sem imagem,Desgaste,43.28,2025-08-11,fk_invalida:os_id
385,385,Falha de rede,Componente queimado,245.87,2026-05-01,fk_invalida:os_id
386,386,Falha de rede,Software,111.74,2026-05-10,fk_invalida:os_id
387,387,Superaquecimento,Impacto,127.14,2025-08-22,fk_invalida:os_id
388,388,Tela quebrada,Componente queimado,82.09,2026-01-02,fk_invalida:os_id
389,389,Não liga,Software,113.87,2026-06-26,fk_invalida:os_id
390,390,Tela quebrada,Impacto,216.43,2026-01-13,fk_invalida:os_id
391,391,Tela quebrada,Oxidação,103.44,2025-10-19,fk_invalida:os_id
393,393,Lento,Componente queimado,195.1,2026-04-22,fk_invalida:os_id
394,394,Tela quebrada,Impacto,136.88,2026-04-11,fk_invalida:os_id
395,395,Superaquecimento,Impacto,185.06,2026-03-16,fk_invalida:os_id
396,396,Não carrega,Impacto,190.85,2025-07-09,fk_invalida:os_id
397,397,Falha de rede,Componente queimado,33.0,2025-09-09,fk_invalida:os_id
398,398,Superaquecimento,Software,186.21,2026-02-10,fk_invalida:os_id
400,400,Ruído,Software,45.22,2025-10-09,fk_invalida:os_id
401,401,Falha de rede,Componente queimado,177.06,2026-06-08,fk_invalida:os_id
402,402,Falha de rede,Oxidação,30.24,2025-09-18,fk_invalida:os_id
404,404,Superaquecimento,Componente queimado,116.19,2026-02-06,fk_invalida:os_id
405,405,Não carrega,Componente queimado,30.77,2025-12-29,fk_invalida:os_id
406,406,Tela quebrada,Oxidação,177.05,2026-01-14,fk_invalida:os_id
407,407,Sem imagem,Componente queimado,113.46,2026-03-14,fk_invalida:os_id
408,408,Tela quebrada,Impacto,101.55,2025-09-14,fk_invalida:os_id
409,409,Lento,Componente queimado,106.01,2026-02-15,fk_invalida:os_id
410,410,Tela quebrada,Impacto,237.35,2025-09-21,fk_invalida:os_id
411,411,Falha de rede,Desgaste,238.9,2025-09-07,fk_invalida:os_id
412,412,Lento,Componente queimado,146.02,2026-04-16,fk_invalida:os_id
414,414,Sem imagem,Componente queimado,112.96,2026-01-14,fk_invalida:os_id
415,415,Lento,Desgaste,249.83,2025-08-17,fk_invalida:os_id
416,416,Não liga,Software,145.7,2026-06-13,fk_invalida:os_id
417,417,Falha de rede,Software,81.45,2026-02-13,fk_invalida:os_id
418,418,Superaquecimento,Impacto,47.17,2025-09-22,fk_invalida:os_id
421,421,Superaquecimento,Desgaste,110.13,2026-05-15,fk_invalida:os_id
422,422,Não carrega,Software,242.34,2026-04-08,fk_invalida:os_id
423,423,Ruído,Desgaste,97.88,2025-10-27,fk_invalida:os_id
424,424,Superaquecimento,Software,249.48,2025-09-14,fk_invalida:os_id
425,425,Superaquecimento,Oxidação,232.64,2025-08-16,fk_invalida:os_id
426,426,Não carrega,Oxidação,104.42,2025-09-19,fk_invalida:os_id
427,427,Não liga,Desgaste,233.09,2025-07-27,fk_invalida:os_id
428,428,Tela quebrada,Software,228.36,2026-04-23,fk_invalida:os_id
429,429,Lento,Oxidação,230.6,2026-05-13,fk_invalida:os_id
430,430,Tela quebrada,Desgaste,97.84,2026-03-29,fk_invalida:os_id
431,431,Lento,Componente queimado,86.67,2026-01-11,fk_invalida:os_id
432,432,Superaquecimento,Componente queimado,64.9,2026-03-25,fk_invalida:os_id
433,433,Superaquecimento,Impacto,248.84,2026-02-17,fk_invalida:os_id
434,434,Sem imagem,Desgaste,42.39,2025-11-11,fk_invalida:os_id
436,436,Sem imagem,Desgaste,36.33,2026-06-08,fk_invalida:os_id
437,437,Superaquecimento,Oxidação,80.15,2025-10-20,fk_invalida:os_id
439,439,Sem imagem,Componente queimado,124.41,2026-06-22,fk_invalida:os_id
440,440,Lento,Oxidação,240.49,2026-02-16,fk_invalida:os_id
442,442,Falha de rede,Software,121.24,2026-03-12,fk_invalida:os_id
443,443,Não carrega,Oxidação,34.73,2025-07-12,fk_invalida:os_id
444,444,Falha de rede,Software,34.61,2026-05-19,fk_invalida:os_id
446,446,Não carrega,Impacto,163.97,2026-03-03,fk_invalida:os_id
448,448,Falha de rede,Software,132.83,2026-06-22,fk_invalida:os_id
449,449,Não liga,Oxidação,125.71,2026-05-10,fk_invalida:os_id
450,450,Não carrega,Oxidação,238.5,2026-05-12,fk_invalida:os_id
451,451,Tela quebrada,Software,49.83,2025-09-21,fk_invalida:os_id
452,452,Falha de rede,Componente queimado,38.33,2025-08-06,fk_invalida:os_id
456,456,Não carrega,Software,237.95,2025-09-28,fk_invalida:os_id
457,457,Lento,Software,159.88,2025-08-06,fk_invalida:os_id
458,458,Falha de rede,Desgaste,150.07,2026-05-09,fk_invalida:os_id
459,459,Não liga,Oxidação,62.76,2025-08-20,fk_invalida:os_id
461,461,Tela quebrada,Impacto,112.26,2025-07-16,fk_invalida:os_id
462,462,Lento,Desgaste,169.15,2025-10-17,fk_invalida:os_id
463,463,Superaquecimento,Oxidação,33.95,2025-11-24,fk_invalida:os_id
464,464,Ruído,Componente queimado,153.88,2026-06-18,fk_invalida:os_id
465,465,Superaquecimento,Software,225.28,2026-06-18,fk_invalida:os_id
466,466,Lento,Impacto,100.88,2026-05-25,fk_invalida:os_id
467,467,Ruído,Impacto,161.95,2026-02-17,fk_invalida:os_id
468,468,Não liga,Software,141.89,2026-03-22,fk_invalida:os_id
469,469,Tela quebrada,Software,50.95,2026-01-22,fk_invalida:os_id
470,470,Ruído,Componente queimado,214.55,2025-11-15,fk_invalida:os_id
471,471,Sem imagem,Desgaste,118.51,2026-01-19,fk_invalida:os_id
472,472,Não carrega,Desgaste,203.68,2026-03-08,fk_invalida:os_id
473,473,Lento,Oxidação,185.9,2025-09-26,fk_invalida:os_id
474,474,Não carrega,Desgaste,56.64,2026-05-22,fk_invalida:os_id
475,475,Não carrega,Software,240.67,2025-08-26,fk_invalida:os_id
478,478,Ruído,Oxidação,36.24,2025-08-10,fk_invalida:os_id
480,480,Falha de rede,Componente queimado,77.37,2026-04-07,fk_invalida:os_id
481,481,Não carrega,Componente queimado,229.93,2026-04-16,fk_invalida:os_id
482,482,Não liga,Impacto,114.62,2025-11-17,fk_invalida:os_id
484,484,Não carrega,Software,96.11,2025-10-27,fk_invalida:os_id
485,485,Não liga,Desgaste,64.88,2025-11-26,fk_invalida:os_id
487,487,Falha de rede,Impacto,234.79,2026-03-15,fk_invalida:os_id
488,488,Sem imagem,Desgaste,207.23,2025-07-28,fk_invalida:os_id
489,489,Tela quebrada,Impacto,236.32,2026-04-04,fk_invalida:os_id
490,490,Tela quebrada,Software,72.11,2026-04-18,fk_invalida:os_id
491,491,Ruído,Componente queimado,196.38,2026-06-20,fk_invalida:os_id
492,492,Não carrega,Software,46.31,2025-11-12,fk_invalida:os_id
493,493,Ruído,Software,39.03,2025-09-23,fk_invalida:os_id
494,494,Ruído,Desgaste,157.95,2025-09-06,fk_invalida:os_id
