uso_id,reparo_id,peca_id,quantidade,custo_total,motivo_rejeicao
40.0,23.0,76.0,2.0,549.52,fk_invalida:reparo_id
41.0,23.0,18.0,2.0,242.91,fk_invalida:reparo_id
42.0,24.0,76.0,2.0,187.42,fk_invalida:reparo_id
43.0,24.0,73.0,2.0,704.52,fk_invalida:reparo_id
44.0,24.0,68.0,1.0,22.6,fk_invalida:reparo_id
45.0,26.0,38.0,1.0,299.52,fk_invalida:reparo_id
46.0,27.0,29.0,1.0,347.79,fk_invalida:reparo_id
47.0,28.0,55.0,1.0,699.13,fk_invalida:reparo_id
48.0,28.0,18.0,1.0,411.97,fk_invalida:reparo_id
49.0,30.0,21.0,1.0,837.31,fk_invalida:reparo_id
50.0,30.0,61.0,1.0,790.16,fk_invalida:reparo_id
51.0,31.0,72.0,2.0,264.88,fk_invalida:reparo_id
52.0,31.0,12.0,2.0,15.88,fk_invalida:reparo_id
53.0,31.0,27.0,2.0,131.9,fk_invalida:reparo_id
54.0,34.0,72.0,1.0,316.63,fk_invalida:reparo_id
55.0,34.0,15.0,2.0,63.18,fk_invalida:reparo_id
56.0,35.0,37.0,1.0,747.65,fk_invalida:reparo_id
57.0,36.0,7.0,1.0,430.81,fk_invalida:reparo_id
58.0,37.0,69.0,2.0,269.89,fk_invalida:reparo_id
59.0,39.0,68.0,1.0,506.23,fk_invalida:reparo_id
60.0,39.0,40.0,1.0,612.12,fk_invalida:reparo_id
61.0,39.0,44.0,1.0,434.97,fk_invalida:reparo_id
62.0,40.0,69.0,1.0,349.91,fk_invalida:reparo_id
63.0,40.0,55.0,1.0,395.67,fk_invalida:reparo_id
64.0,41.0,52.0,1.0,644.49,fk_invalida:reparo_id
65.0,41.0,53.0,2.0,357.99,fk_invalida:reparo_id
66.0,41.0,2.0,2.0,428.42,fk_invalida:reparo_id
67.0,42.0,76.0,2.0,308.74,fk_invalida:reparo_id
68.0,42.0,46.0,2.0,488.57,fk_invalida:reparo_id
69.0,44.0,49.0,1.0,90.48,fk_invalida:reparo_id
70.0,45.0,78.0,1.0,185.82,fk_invalida:reparo_id
71.0,46.0,79.0,2.0,314.96,fk_invalida:reparo_id
72.0,46.0,15.0,1.0,150.49,fk_invalida:reparo_id
73.0,47.0,75.0,1.0,736.49,fk_invalida:reparo_id
74.0,47.0,57.0,1.0,821.95,fk_invalida:reparo_id
75.0,47.0,28.0,1.0,40.79,fk_invalida:reparo_id
76.0,48.0,29.0,2.0,726.78,fk_invalida:reparo_id
77.0,48.0,61.0,1.0,21.92,fk_invalida:reparo_id
78.0,48.0,19.0,2.0,510.53,fk_invalida:reparo_id
79.0,49.0,3.0,2.0,135.09,fk_invalida:reparo_id
80.0,49.0,80.0,2.0,458.47,fk_invalida:reparo_id
81.0,50.0,66.0,2.0,121.09,fk_invalida:reparo_id
82.0,50.0,25.0,2.0,363.78,fk_invalida:reparo_id
83.0,50.0,12.0,1.0,521.65,fk_invalida:reparo_id
84.0,51.0,44.0,2.0,157.31,fk_invalida:reparo_id
85.0,52.0,1.0,2.0,509.45,fk_invalida:reparo_id
86.0,53.0,4.0,1.0,582.53,fk_invalida:reparo_id
87.0,53.0,51.0,2.0,186.83,fk_invalida:reparo_id
88.0,55.0,7.0,1.0,154.47,fk_invalida:reparo_id
89.0,57.0,44.0,1.0,79.18,fk_invalida:reparo_id
90.0,58.0,33.0,1.0,798.08,fk_invalida:reparo_id
91.0,58.0,32.0,2.0,432.3,fk_invalida:reparo_id
92.0,59.0,31.0,2.0,659.71,fk_invalida:reparo_id
93.0,59.0,27.0,1.0,143.15,fk_invalida:reparo_id
94.0,61.0,25.0,2.0,702.79,fk_invalida:reparo_id
95.0,63.0,64.0,2.0,439.98,fk_invalida:reparo_id
96.0,63.0,28.0,1.0,437.88,fk_invalida:reparo_id
97.0,64.0,12.0,1.0,217.28,fk_invalida:reparo_id
98.0,64.0,68.0,2.0,713.05,fk_invalida:reparo_id
99.0,67.0,62.0,2.0,556.37,fk_invalida:reparo_id
100.0,67.0,17.0,2.0,284.23,fk_invalida:reparo_id
101.0,67.0,60.0,1.0,436.5,fk_invalida:reparo_id
102.0,68.0,52.0,2.0,120.46,fk_invalida:reparo_id
103.0,68.0,26.0,2.0,602.41,fk_invalida:reparo_id
104.0,70.0,57.0,2.0,569.97,fk_invalida:reparo_id
105.0,71.0,42.0,2.0,411.14,fk_invalida:reparo_id
106.0,71.0,51.0,2.0,127.02,fk_invalida:reparo_id
107.0,71.0,59.0,1.0,284.39,fk_invalida:reparo_id
108.0,72.0,11.0,2.0,224.8,fk_invalida:reparo_id
109.0,72.0,57.0,2.0,735.67,fk_invalida:reparo_id
110.0,73.0,66.0,2.0,383.53,fk_invalida:reparo_id
111.0,73.0,50.0,1.0,24.62,fk_invalida:reparo_id
112.0,73.0,48.0,1.0,293.84,fk_invalida:reparo_id
113.0,74.0,65.0,1.0,497.46,fk_invalida:reparo_id
114.0,75.0,24.0,1.0,756.29,fk_invalida:reparo_id
115.0,75.0,17.0,2.0,261.01,fk_invalida:reparo_id
116.0,76.0,5.0,2.0,105.43,fk_invalida:reparo_id
117.0,76.0,45.0,1.0,713.73,fk_invalida:reparo_id
118.0,76.0,36.0,1.0,429.41,fk_invalida:reparo_id
119.0,77.0,55.0,1.0,819.18,fk_invalida:reparo_id
120.0,77.0,55.0,2.0,587.14,fk_invalida:reparo_id
121.0,79.0,34.0,2.0,284.83,fk_invalida:reparo_id
122.0,79.0,39.0,2.0,334.62,fk_invalida:reparo_id
123.0,79.0,50.0,1.0,356.54,fk_invalida:reparo_id
124.0,80.0,53.0,2.0,549.81,fk_invalida:reparo_id
125.0,80.0,1.0,2.0,671.91,fk_invalida:reparo_id
126.0,80.0,59.0,2.0,558.47,fk_invalida:reparo_id
127.0,82.0,34.0,1.0,834.63,fk_invalida:reparo_id
128.0,83.0,9.0,1.0,783.34,fk_invalida:reparo_id
129.0,83.0,69.0,1.0,289.42,fk_invalida:reparo_id
130.0,83.0,69.0,2.0,22.43,fk_invalida:reparo_id
131.0,84.0,71.0,1.0,805.15,fk_invalida:reparo_id
132.0,85.0,40.0,1.0,141.39,fk_invalida:reparo_id
133.0,85.0,20.0,1.0,822.61,fk_invalida:reparo_id
134.0,85.0,54.0,2.0,656.42,fk_invalida:reparo_id
135.0,86.0,77.0,1.0,320.78,fk_invalida:reparo_id
136.0,86.0,36.0,1.0,383.64,fk_invalida:reparo_id
137.0,86.0,13.0,2.0,287.37,fk_invalida:reparo_id
138.0,87.0,15.0,1.0,297.54,fk_invalida:reparo_id
139.0,87.0,36.0,2.0,412.42,fk_invalida:reparo_id
140.0,87.0,3.0,2.0,557.92,fk_invalida:reparo_id
141.0,88.0,24.0,2.0,425.38,fk_invalida:reparo_id
142.0,88.0,36.0,2.0,303.55,fk_invalida:reparo_id
143.0,88.0,45.0,1.0,262.79,fk_invalida:reparo_id
144.0,91.0,64.0,2.0,325.24,fk_invalida:reparo_id
145.0,91.0,21.0,2.0,130.63,fk_invalida:reparo_id
146.0,93.0,37.0,2.0,394.1,fk_invalida:reparo_id
147.0,93.0,59.0,2.0,96.28,fk_invalida:reparo_id
148.0,93.0,4.0,1.0,501.27,fk_invalida:reparo_id
149.0,94.0,23.0,2.0,448.57,fk_invalida:reparo_id
150.0,95.0,48.0,1.0,730.07,fk_invalida:reparo_id
151.0,95.0,74.0,1.0,662.37,fk_invalida:reparo_id
152.0,96.0,24.0,2.0,290.23,fk_invalida:reparo_id
153.0,96.0,17.0,2.0,704.63,fk_invalida:reparo_id
154.0,97.0,68.0,2.0,681.88,fk_invalida:reparo_id
155.0,97.0,14.0,1.0,569.24,fk_invalida:reparo_id
156.0,98.0,7.0,2.0,275.72,fk_invalida:reparo_id
157.0,100.0,73.0,2.0,241.36,fk_invalida:reparo_id
158.0,100.0,71.0,1.0,51.33,fk_invalida:reparo_id
159.0,102.0,7.0,2.0,268.78,fk_invalida:reparo_id
160.0,102.0,39.0,1.0,818.9,fk_invalida:reparo_id
161.0,102.0,77.0,1.0,343.21,fk_invalida:reparo_id
162.0,106.0,12.0,1.0,134.99,fk_invalida:reparo_id
163.0,106.0,10.0,2.0,456.55,fk_invalida:reparo_id
164.0,108.0,43.0,1.0,677.9,fk_invalida:reparo_id
165.0,108.0,19.0,2.0,715.53,fk_invalida:reparo_id
166.0,109.0,14.0,1.0,143.75,fk_invalida:reparo_id
167.0,109.0,48.0,1.0,685.04,fk_invalida:reparo_id
168.0,109.0,37.0,1.0,690.81,fk_invalida:reparo_id
169.0,110.0,15.0,2.0,696.57,fk_invalida:reparo_id
170.0,110.0,72.0,1.0,472.3,fk_invalida:reparo_id
171.0,111.0,80.0,1.0,223.98,fk_invalida:reparo_id
172.0,112.0,21.0,1.0,121.59,fk_invalida:reparo_id
173.0,112.0,15.0,1.0,553.87,fk_invalida:reparo_id
174.0,112.0,30.0,1.0,33.12,fk_invalida:reparo_id
175.0,114.0,55.0,2.0,758.78,fk_invalida:reparo_id
176.0,114.0,58.0,2.0,60.62,fk_invalida:reparo_id
177.0,114.0,22.0,2.0,496.36,fk_invalida:reparo_id
178.0,116.0,38.0,1.0,767.51,fk_invalida:reparo_id
179.0,116.0,12.0,1.0,743.8,fk_invalida:reparo_id
180.0,116.0,37.0,2.0,387.16,fk_invalida:reparo_id
181.0,117.0,63.0,1.0,73.38,fk_invalida:reparo_id
182.0,118.0,47.0,1.0,191.76,fk_invalida:reparo_id
183.0,119.0,22.0,2.0,133.65,fk_invalida:reparo_id
184.0,119.0,58.0,2.0,502.48,fk_invalida:reparo_id
185.0,120.0,3.0,2.0,229.06,fk_invalida:reparo_id
186.0,120.0,80.0,1.0,644.35,fk_invalida:reparo_id
187.0,121.0,68.0,2.0,70.68,fk_invalida:reparo_id
188.0,122.0,63.0,1.0,639.39,fk_invalida:reparo_id
189.0,122.0,48.0,2.0,497.32,fk_invalida:reparo_id
190.0,122.0,23.0,2.0,841.79,fk_invalida:reparo_id
191.0,123.0,10.0,2.0,845.9,fk_invalida:reparo_id
192.0,123.0,58.0,1.0,99.69,fk_invalida:reparo_id
193.0,123.0,16.0,2.0,283.58,fk_invalida:reparo_id
194.0,124.0,40.0,2.0,594.59,fk_invalida:reparo_id
195.0,124.0,26.0,2.0,489.5,fk_invalida:reparo_id
196.0,126.0,19.0,2.0,763.65,fk_invalida:reparo_id
197.0,126.0,24.0,1.0,354.65,fk_invalida:reparo_id
198.0,127.0,18.0,2.0,828.17,fk_invalida:reparo_id
199.0,127.0,13.0,1.0,501.3,fk_invalida:reparo_id
200.0,127.0,73.0,1.0,48.51,fk_invalida:reparo_id
201.0,130.0,18.0,1.0,179.07,fk_invalida:reparo_id
202.0,130.0,41.0,2.0,268.54,fk_invalida:reparo_id
203.0,131.0,49.0,2.0,134.61,fk_invalida:reparo_id
204.0,131.0,71.0,1.0,304.87,fk_invalida:reparo_id
205.0,131.0,32.0,1.0,524.85,fk_invalida:reparo_id
206.0,132.0,46.0,2.0,199.19,fk_invalida:reparo_id
207.0,132.0,24.0,1.0,677.75,fk_invalida:reparo_id
208.0,132.0,16.0,1.0,733.15,fk_invalida:reparo_id
209.0,134.0,29.0,1.0,697.61,fk_invalida:reparo_id
210.0,134.0,61.0,2.0,805.9,fk_invalida:reparo_id
211.0,135.0,57.0,1.0,380.59,fk_invalida:reparo_id
212.0,136.0,32.0,2.0,462.36,fk_invalida:reparo_id
213.0,138.0,57.0,2.0,215.08,fk_invalida:reparo_id
214.0,139.0,22.0,2.0,839.89,fk_invalida:reparo_id
215.0,139.0,8.0,2.0,182.3,fk_invalida:reparo_id
216.0,140.0,34.0,1.0,445.49,fk_invalida:reparo_id
217.0,140.0,72.0,2.0,761.67,fk_invalida:reparo_id
218.0,140.0,72.0,1.0,545.64,fk_invalida:reparo_id
219.0,141.0,71.0,1.0,598.13,fk_invalida:reparo_id
220.0,141.0,50.0,2.0,343.53,fk_invalida:reparo_id
221.0,141.0,7.0,1.0,343.76,fk_invalida:reparo_id
222.0,142.0,50.0,1.0,250.05,fk_invalida:reparo_id
223.0,142.0,26.0,2.0,252.82,fk_invalida:reparo_id
224.0,142.0,46.0,2.0,59.9,fk_invalida:reparo_id
225.0,143.0,57.0,1.0,603.02,fk_invalida:reparo_id
226.0,143.0,72.0,2.0,234.45,fk_invalida:reparo_id
227.0,144.0,51.0,1.0,98.92,fk_invalida:reparo_id
228.0,144.0,2.0,1.0,757.38,fk_invalida:reparo_id
229.0,145.0,23.0,1.0,808.25,fk_invalida:reparo_id
230.0,145.0,68.0,1.0,808.19,fk_invalida:reparo_id
231.0,145.0,32.0,1.0,696.06,fk_invalida:reparo_id
232.0,146.0,40.0,2.0,171.92,fk_invalida:reparo_id
233.0,146.0,33.0,2.0,411.28,fk_invalida:reparo_id
234.0,147.0,15.0,2.0,106.55,fk_invalida:reparo_id
235.0,148.0,39.0,1.0,767.4,fk_invalida:reparo_id
236.0,148.0,71.0,1.0,512.41,fk_invalida:reparo_id
237.0,151.0,27.0,2.0,577.06,fk_invalida:reparo_id
238.0,151.0,72.0,2.0,543.01,fk_invalida:reparo_id
239.0,151.0,35.0,1.0,96.26,fk_invalida:reparo_id
240.0,152.0,3.0,1.0,156.12,fk_invalida:reparo_id
241.0,154.0,7.0,1.0,413.89,fk_invalida:reparo_id
242.0,154.0,44.0,1.0,208.01,fk_invalida:reparo_id
243.0,154.0,69.0,1.0,391.65,fk_invalida:reparo_id
244.0,155.0,2.0,2.0,654.13,fk_invalida:reparo_id
245.0,155.0,49.0,2.0,651.89,fk_invalida:reparo_id
246.0,158.0,19.0,2.0,733.84,fk_invalida:reparo_id
247.0,159.0,19.0,1.0,30.59,fk_invalida:reparo_id
248.0,160.0,80.0,2.0,354.21,fk_invalida:reparo_id
249.0,160.0,24.0,1.0,829.46,fk_invalida:reparo_id
250.0,162.0,57.0,1.0,553.95,fk_invalida:reparo_id
251.0,163.0,39.0,2.0,808.07,fk_invalida:reparo_id
252.0,164.0,39.0,1.0,257.75,fk_invalida:reparo_id
253.0,164.0,23.0,1.0,803.7,fk_invalida:reparo_id
254.0,165.0,12.0,1.0,182.65,fk_invalida:reparo_id
255.0,165.0,13.0,1.0,570.77,fk_invalida:reparo_id
256.0,166.0,52.0,2.0,639.99,fk_invalida:reparo_id
257.0,166.0,24.0,2.0,373.54,fk_invalida:reparo_id
258.0,166.0,24.0,2.0,425.15,fk_invalida:reparo_id
259.0,169.0,28.0,1.0,34.53,fk_invalida:reparo_id
260.0,170.0,13.0,2.0,576.79,fk_invalida:reparo_id
261.0,170.0,29.0,2.0,193.4,fk_invalida:reparo_id
262.0,170.0,74.0,2.0,340.86,fk_invalida:reparo_id
263.0,171.0,12.0,2.0,253.77,fk_invalida:reparo_id
264.0,174.0,54.0,2.0,718.85,fk_invalida:reparo_id
265.0,174.0,28.0,2.0,76.45,fk_invalida:reparo_id
266.0,176.0,71.0,2.0,70.62,fk_invalida:reparo_id
267.0,176.0,12.0,1.0,225.23,fk_invalida:reparo_id
268.0,177.0,28.0,2.0,15.79,fk_invalida:reparo_id
269.0,178.0,37.0,1.0,766.55,fk_invalida:reparo_id
270.0,178.0,61.0,1.0,356.05,fk_invalida:reparo_id
271.0,178.0,44.0,1.0,753.1,fk_invalida:reparo_id
272.0,179.0,24.0,1.0,598.95,fk_invalida:reparo_id
273.0,179.0,56.0,2.0,358.74,fk_invalida:reparo_id
274.0,180.0,61.0,1.0,171.49,fk_invalida:reparo_id
275.0,181.0,73.0,2.0,545.11,fk_invalida:reparo_id
276.0,182.0,53.0,1.0,738.23,fk_invalida:reparo_id
277.0,182.0,35.0,1.0,493.27,fk_invalida:reparo_id
278.0,183.0,60.0,1.0,24.61,fk_invalida:reparo_id
279.0,183.0,24.0,2.0,158.55,fk_invalida:reparo_id
280.0,185.0,62.0,2.0,633.36,fk_invalida:reparo_id
281.0,185.0,37.0,1.0,87.7,fk_invalida:reparo_id
282.0,186.0,23.0,2.0,557.51,fk_invalida:reparo_id
283.0,186.0,2.0,2.0,753.61,fk_invalida:reparo_id
284.0,186.0,20.0,2.0,406.14,fk_invalida:reparo_id
285.0,187.0,59.0,1.0,339.7,fk_invalida:reparo_id
286.0,187.0,80.0,2.0,848.9,fk_invalida:reparo_id
287.0,188.0,5.0,2.0,304.54,fk_invalida:reparo_id
288.0,189.0,75.0,1.0,444.81,fk_invalida:reparo_id
289.0,189.0,4.0,2.0,249.59,fk_invalida:reparo_id
290.0,190.0,26.0,1.0,520.57,fk_invalida:reparo_id
291.0,190.0,75.0,1.0,661.25,fk_invalida:reparo_id
292.0,193.0,2.0,2.0,184.35,fk_invalida:reparo_id
293.0,193.0,25.0,2.0,697.38,fk_invalida:reparo_id
294.0,194.0,49.0,2.0,212.51,fk_invalida:reparo_id
295.0,194.0,1.0,2.0,373.09,fk_invalida:reparo_id
296.0,194.0,31.0,2.0,521.9,fk_invalida:reparo_id
297.0,195.0,73.0,1.0,604.75,fk_invalida:reparo_id
298.0,195.0,38.0,1.0,719.54,fk_invalida:reparo_id
299.0,196.0,26.0,1.0,124.6,fk_invalida:reparo_id
300.0,196.0,80.0,2.0,551.31,fk_invalida:reparo_id
301.0,199.0,6.0,2.0,535.86,fk_invalida:reparo_id
302.0,199.0,38.0,2.0,285.23,fk_invalida:reparo_id
303.0,200.0,75.0,2.0,610.62,fk_invalida:reparo_id
304.0,200.0,22.0,2.0,351.21,fk_invalida:reparo_id
305.0,201.0,3.0,1.0,491.05,fk_invalida:reparo_id
306.0,202.0,10.0,2.0,177.37,fk_invalida:reparo_id
307.0,203.0,63.0,2.0,820.36,fk_invalida:reparo_id
308.0,205.0,56.0,2.0,382.66,fk_invalida:reparo_id
309.0,206.0,14.0,1.0,371.35,fk_invalida:reparo_id
310.0,206.0,30.0,2.0,744.41,fk_invalida:reparo_id
311.0,207.0,41.0,1.0,152.59,fk_invalida:reparo_id
312.0,207.0,12.0,2.0,416.41,fk_invalida:reparo_id
313.0,207.0,11.0,1.0,593.57,fk_invalida:reparo_id
314.0,208.0,44.0,1.0,456.44,fk_invalida:reparo_id
315.0,208.0,53.0,1.0,43.7,fk_invalida:reparo_id
316.0,211.0,76.0,2.0,61.82,fk_invalida:reparo_id
317.0,212.0,57.0,1.0,335.47,fk_invalida:reparo_id
318.0,212.0,4.0,2.0,229.27,fk_invalida:reparo_id
319.0,212.0,29.0,1.0,295.15,fk_invalida:reparo_id
320.0,213.0,52.0,2.0,162.07,fk_invalida:reparo_id
321.0,214.0,11.0,2.0,258.91,fk_invalida:reparo_id
322.0,214.0,63.0,1.0,489.24,fk_invalida:reparo_id
323.0,215.0,35.0,1.0,347.17,fk_invalida:reparo_id
324.0,216.0,68.0,2.0,173.5,fk_invalida:reparo_id
325.0,216.0,6.0,1.0,454.39,fk_invalida:reparo_id
326.0,216.0,3.0,1.0,429.16,fk_invalida:reparo_id
327.0,217.0,63.0,2.0,447.69,fk_invalida:reparo_id
328.0,217.0,79.0,2.0,74.13,fk_invalida:reparo_id
329.0,217.0,72.0,1.0,328.58,fk_invalida:reparo_id
330.0,218.0,39.0,1.0,811.37,fk_invalida:reparo_id
331.0,218.0,28.0,1.0,239.04,fk_invalida:reparo_id
332.0,219.0,12.0,2.0,306.14,fk_invalida:reparo_id
333.0,220.0,76.0,1.0,335.05,fk_invalida:reparo_id
334.0,220.0,42.0,2.0,252.21,fk_invalida:reparo_id
335.0,220.0,20.0,2.0,634.74,fk_invalida:reparo_id
336.0,221.0,5.0,2.0,178.71,fk_invalida:reparo_id
337.0,221.0,70.0,2.0,379.38,fk_invalida:reparo_id
338.0,223.0,62.0,2.0,734.7,fk_invalida:reparo_id
339.0,223.0,62.0,1.0,360.76,fk_invalida:reparo_id
340.0,223.0,50.0,2.0,668.96,fk_invalida:reparo_id
341.0,224.0,26.0,2.0,83.65,fk_invalida:reparo_id
342.0,225.0,2.0,1.0,355.37,fk_invalida:reparo_id
343.0,225.0,49.0,2.0,614.29,fk_invalida:reparo_id
344.0,226.0,79.0,1.0,799.02,fk_invalida:reparo_id
345.0,226.0,37.0,1.0,793.91,fk_invalida:reparo_id
346.0,227.0,24.0,2.0,270.0,fk_invalida:reparo_id
347.0,227.0,32.0,1.0,556.41,fk_invalida:reparo_id
348.0,227.0,30.0,2.0,554.22,fk_invalida:reparo_id
349.0,228.0,12.0,2.0,625.54,fk_invalida:reparo_id
350.0,229.0,11.0,1.0,414.38,fk_invalida:reparo_id
351.0,229.0,22.0,1.0,761.51,fk_invalida:reparo_id
352.0,229.0,63.0,1.0,402.55,fk_invalida:reparo_id
353.0,230.0,33.0,2.0,627.67,fk_invalida:reparo_id
354.0,231.0,7.0,2.0,713.74,fk_invalida:reparo_id
355.0,231.0,41.0,1.0,113.98,fk_invalida:reparo_id
356.0,232.0,20.0,1.0,82.79,fk_invalida:reparo_id
357.0,232.0,25.0,2.0,294.52,fk_invalida:reparo_id
358.0,232.0,70.0,1.0,764.46,fk_invalida:reparo_id
359.0,233.0,3.0,1.0,170.93,fk_invalida:reparo_id
360.0,234.0,53.0,2.0,549.46,fk_invalida:reparo_id
361.0,234.0,56.0,2.0,171.74,fk_invalida:reparo_id
362.0,235.0,4.0,2.0,37.7,fk_invalida:reparo_id
363.0,235.0,17.0,2.0,505.66,fk_invalida:reparo_id
364.0,237.0,5.0,2.0,449.76,fk_invalida:reparo_id
365.0,237.0,75.0,2.0,671.13,fk_invalida:reparo_id
366.0,238.0,14.0,1.0,389.68,fk_invalida:reparo_id
367.0,238.0,2.0,1.0,201.9,fk_invalida:reparo_id
368.0,238.0,66.0,2.0,410.65,fk_invalida:reparo_id
369.0,239.0,30.0,2.0,774.53,fk_invalida:reparo_id
370.0,239.0,76.0,2.0,605.97,fk_invalida:reparo_id
371.0,240.0,65.0,2.0,683.43,fk_invalida:reparo_id
372.0,240.0,45.0,2.0,315.53,fk_invalida:reparo_id
373.0,240.0,49.0,2.0,617.9,fk_invalida:reparo_id
374.0,241.0,5.0,2.0,352.71,fk_invalida:reparo_id
375.0,241.0,18.0,2.0,745.83,fk_invalida:reparo_id
376.0,241.0,35.0,2.0,26.88,fk_invalida:reparo_id
377.0,242.0,32.0,1.0,793.45,fk_invalida:reparo_id
378.0,242.0,10.0,1.0,401.75,fk_invalida:reparo_id
379.0,242.0,19.0,2.0,333.77,fk_invalida:reparo_id
380.0,244.0,39.0,2.0,74.87,fk_invalida:reparo_id
381.0,244.0,57.0,1.0,849.37,fk_invalida:reparo_id
382.0,245.0,28.0,1.0,771.83,fk_invalida:reparo_id
383.0,245.0,73.0,1.0,819.37,fk_invalida:reparo_id
384.0,247.0,70.0,2.0,560.78,fk_invalida:reparo_id
385.0,247.0,51.0,2.0,263.13,fk_invalida:reparo_id
386.0,247.0,31.0,2.0,605.79,fk_invalida:reparo_id
387.0,248.0,7.0,1.0,362.65,fk_invalida:reparo_id
388.0,248.0,53.0,1.0,689.24,fk_invalida:reparo_id
389.0,248.0,45.0,2.0,397.32,fk_invalida:reparo_id
390.0,250.0,51.0,2.0,137.96,fk_invalida:reparo_id
391.0,250.0,22.0,2.0,273.71,fk_invalida:reparo_id
392.0,251.0,40.0,2.0,632.76,fk_invalida:reparo_id
393.0,251.0,55.0,2.0,638.63,fk_invalida:reparo_id
394.0,252.0,78.0,1.0,524.61,fk_invalida:reparo_id
395.0,253.0,9.0,2.0,197.25,fk_invalida:reparo_id
396.0,254.0,58.0,2.0,205.64,fk_invalida:reparo_id
397.0,254.0,30.0,1.0,440.82,fk_invalida:reparo_id
398.0,255.0,72.0,2.0,682.06,fk_invalida:reparo_id
399.0,255.0,76.0,1.0,388.0,fk_invalida:reparo_id
400.0,256.0,70.0,1.0,672.6,fk_invalida:reparo_id
401.0,256.0,80.0,1.0,500.45,fk_invalida:reparo_id
402.0,258.0,49.0,2.0,123.69,fk_invalida:reparo_id
403.0,258.0,59.0,2.0,387.63,fk_invalida:reparo_id
404.0,259.0,37.0,2.0,667.76,fk_invalida:reparo_id
405.0,259.0,65.0,1.0,570.81,fk_invalida:reparo_id
406.0,259.0,39.0,2.0,222.18,fk_invalida:reparo_id
407.0,260.0,1.0,2.0,825.74,fk_invalida:reparo_id
408.0,260.0,37.0,2.0,499.89,fk_invalida:reparo_id
409.0,261.0,14.0,2.0,50.83,fk_invalida:reparo_id
410.0,262.0,44.0,1.0,81.21,fk_invalida:reparo_id
411.0,262.0,16.0,1.0,74.58,fk_invalida:reparo_id
412.0,263.0,8.0,1.0,444.22,fk_invalida:reparo_id
413.0,265.0,42.0,1.0,696.23,fk_invalida:reparo_id
414.0,266.0,12.0,2.0,326.8,fk_invalida:reparo_id
415.0,266.0,40.0,1.0,294.95,fk_invalida:reparo_id
416.0,266.0,55.0,1.0,777.98,fk_invalida:reparo_id
417.0,267.0,17.0,2.0,72.64,fk_invalida:reparo_id
418.0,267.0,62.0,1.0,617.45,fk_invalida:reparo_id
419.0,269.0,79.0,2.0,26.58,fk_invalida:reparo_id
420.0,269.0,17.0,1.0,460.07,fk_invalida:reparo_id
421.0,270.0,12.0,1.0,292.32,fk_invalida:reparo_id
422.0,270.0,53.0,1.0,202.1,fk_invalida:reparo_id
423.0,270.0,60.0,1.0,553.0,fk_invalida:reparo_id
424.0,271.0,26.0,2.0,292.97,fk_invalida:reparo_id
425.0,271.0,59.0,1.0,527.67,fk_invalida:reparo_id
426.0,271.0,10.0,1.0,134.95,fk_invalida:reparo_id
427.0,272.0,57.0,2.0,504.13,fk_invalida:reparo_id
428.0,272.0,27.0,1.0,579.76,fk_invalida:reparo_id
429.0,273.0,74.0,1.0,568.38,fk_invalida:reparo_id
430.0,274.0,44.0,1.0,435.13,fk_invalida:reparo_id
