frequencia_id;matricula_id;data_acesso;hora_acesso;modalidade_id;duracao_minutos
64;10;2026-01-28;06:00;6;72
65;10;2025-10-09;20:00;1;40
66;11;2025-07-04;20:00;9;91
67;11;2026-05-21;06:00;12;72
68;12;2026-05-22;12:00;3;108
69;12;2026-06-23;12:00;12;76
70;12;2026-04-05;06:00;1;96
71;12;2026-03-08;06:00;4;61
72;13;2025-11-23;20:00;9;78
73;13;2026-02-03;12:00;12;37
74;13;2026-02-23;18:00;3;48
75;13;2026-04-13;18:00;7;109
76;13;2025-11-07;12:00;7;67
77;13;2025-12-04;08:00;1;85
78;14;2026-06-09;08:00;4;46
79;14;2026-04-23;12:00;2;40
80;14;2026-04-10;20:00;9;44
81;15;2025-11-09;12:00;1;106
82;15;2025-07-20;20:00;3;110
83;16;2026-01-23;18:00;12;37
84;16;2025-10-31;12:00;12;49
85;16;2025-12-22;12:00;1;97
86;17;2026-02-18;20:00;7;106
87;17;2025-07-29;18:00;8;39
88;18;2026-05-15;08:00;8;88
89;18;2026-02-02;06:00;9;36
90;18;2026-01-21;20:00;2;88
91;18;2026-06-19;18:00;8;108
92;19;2026-01-28;06:00;6;97
93;19;2025-12-30;12:00;6;70
94;19;2025-09-13;08:00;6;97
95;19;2026-06-21;12:00;9;75
96;19;2026-02-20;08:00;8;94
97;19;2026-04-21;20:00;3;56
98;20;2025-08-10;20:00;9;97
99;20;2025-12-30;18:00;12;76
100;20;2025-12-01;12:00;1;90
101;20;2025-09-02;18:00;12;101
102;20;2025-07-01;08:00;1;69
103;20;2025-12-09;08:00;6;46
104;20;2025-10-28;18:00;1;49
105;20;2026-06-17;06:00;1;67
106;21;2025-10-03;12:00;11;65
107;21;2026-06-18;18:00;5;103
108;21;2025-09-18;08:00;10;56
109;21;2025-11-11;18:00;6;99
110;21;2026-03-05;06:00;7;43
111;21;2026-06-05;20:00;3;64
112;21;2026-01-10;18:00;12;37
113;21;2025-08-22;06:00;5;101
114;22;2025-09-17;08:00;8;94
115;22;2025-11-09;08:00;4;98
116;22;2025-10-08;20:00;8;91
117;22;2026-06-01;18:00;8;91
118;22;2025-07-17;08:00;3;56
119;22;2025-11-23;18:00;2;77
120;22;2026-02-15;06:00;7;96
121;23;2026-01-18;20:00;10;74
122;23;2025-09-10;18:00;7;53
123;23;2026-01-04;20:00;2;107
124;23;2026-06-22;20:00;12;84
125;23;2025-09-22;12:00;3;110
126;23;2026-01-19;12:00;4;82
127;23;2026-02-12;12:00;6;58
128;23;2025-09-10;18:00;3;43
129;24;2026-06-20;08:00;6;106
130;24;2026-04-21;18:00;5;95
131;24;2025-07-04;12:00;9;66
132;25;2026-02-28;18:00;6;47
133;25;2026-03-11;06:00;2;88
134;25;2025-10-13;20:00;5;84
135;25;2025-12-26;20:00;6;54
136;25;2026-02-23;20:00;2;67
137;25;2025-08-04;08:00;2;37
138;25;2026-04-23;12:00;9;67
139;25;2025-09-06;08:00;1;98
140;26;2025-12-29;08:00;11;96
141;26;2025-12-29;18:00;5;89
142;26;2025-11-18;06:00;5;38
143;26;2025-08-22;20:00;3;93
144;26;2025-10-31;12:00;11;35
145;27;2025-12-09;12:00;10;104
146;27;2025-12-11;08:00;10;55
147;27;2026-04-06;20:00;7;47
148;27;2025-12-25;06:00;12;58
149;28;2025-09-21;18:00;7;38
150;28;2025-08-20;08:00;8;95
151;29;2026-04-13;12:00;7;105
152;29;2026-02-04;12:00;1;47
153;30;2025-10-29;18:00;8;54
154;30;2025-12-30;20:00;9;36
155;31;2025-07-12;18:00;11;35
156;31;2026-03-12;12:00;9;62
157;31;2026-01-30;20:00;4;62
158;32;2025-09-19;06:00;11;59
159;32;2026-03-31;12:00;7;35
160;32;2026-06-08;08:00;11;42
161;32;2025-12-24;20:00;6;85
162;32;2026-03-19;06:00;9;45
163;32;2025-08-08;18:00;2;60
164;32;2025-08-28;06:00;2;55
165;32;2025-10-07;06:00;5;90
166;33;2025-10-23;06:00;1;108
167;33;2026-05-13;12:00;11;107
168;33;2025-10-11;12:00;9;101
169;34;2025-12-02;18:00;11;90
170;34;2026-01-05;18:00;2;110
171;34;2026-05-15;18:00;6;45
172;34;2026-05-15;18:00;9;48
173;34;2025-10-16;12:00;9;65
174;34;2025-08-24;08:00;8;38
175;34;2026-05-28;18:00;9;93
176;34;2025-08-01;12:00;5;110
177;35;2025-08-02;20:00;5;77
178;35;2025-10-23;06:00;1;50
179;35;2026-01-25;06:00;12;38
180;35;2026-03-10;08:00;8;95
181;35;2025-11-27;06:00;12;66
182;36;2026-02-23;20:00;6;97
183;36;2025-09-13;06:00;9;73
184;36;2026-05-29;06:00;8;94
185;37;2026-02-20;08:00;11;72
186;37;2026-06-02;08:00;2;64
187;37;2025-12-07;08:00;6;77
188;37;2026-03-23;18:00;1;51
189;38;2025-12-24;20:00;9;54
190;38;2025-09-21;18:00;1;69
191;38;2025-09-20;06:00;9;82
192;39;2025-09-29;06:00;4;97
193;39;2026-01-11;06:00;1;83
194;39;2025-09-25;18:00;8;38
195;39;2026-02-04;08:00;8;101
196;39;2026-02-27;08:00;8;51
197;40;2025-09-09;12:00;11;49
198;40;2025-11-30;20:00;11;44
199;40;2026-05-03;08:00;12;59
200;40;2026-01-26;06:00;12;49
201;41;2026-01-26;08:00;3;96
202;41;2026-02-18;06:00;3;54
203;41;2026-01-05;20:00;4;58
204;41;2025-09-18;18:00;4;107
205;41;2025-12-20;06:00;1;106
206;41;2026-05-19;06:00;9;66
207;41;2026-02-23;12:00;2;78
208;42;2026-01-17;20:00;4;82
209;42;2025-12-30;08:00;1;108
210;42;2025-07-05;18:00;5;75
211;43;2025-10-10;06:00;12;68
212;43;2025-10-22;20:00;1;65
213;43;2025-07-11;18:00;8;78
214;43;2026-03-27;20:00;8;71
215;43;2026-06-13;06:00;1;81
216;43;2026-06-22;06:00;4;82
217;43;2025-08-21;20:00;1;91
218;43;2026-03-14;08:00;1;60
219;43;2025-09-20;08:00;4;79
220;44;2026-05-06;18:00;12;40
221;44;2025-07-16;20:00;11;66
222;44;2025-07-04;20:00;5;93
223;44;2026-05-11;08:00;11;88
224;44;2026-05-18;06:00;10;50
225;45;2026-02-01;20:00;11;50
226;45;2025-08-10;06:00;5;83
227;45;2025-07-20;18:00;7;106
228;45;2026-04-09;06:00;10;57
229;45;2026-02-05;08:00;10;84
230;45;2025-11-25;20:00;7;69
231;45;2025-09-26;18:00;11;78
232;46;2026-04-22;20:00;6;35
233;46;2026-01-28;20:00;9;71
234;46;2025-12-26;12:00;8;100
235;46;2026-04-18;20:00;3;107
236;46;2025-07-01;18:00;9;41
237;46;2026-04-19;18:00;8;46
238;46;2026-02-08;20:00;10;54
239;46;2025-09-16;18:00;1;108
240;47;2025-11-25;06:00;12;58
241;47;2026-05-15;08:00;7;87
242;47;2025-10-31;06:00;3;89
243;47;2026-06-11;08:00;9;95
244;47;2025-07-25;18:00;3;43
245;47;2025-12-09;08:00;5;74
246;47;2025-11-12;06:00;9;93
247;48;2025-07-25;18:00;5;36
248;48;2025-11-20;18:00;12;36
249;48;2025-08-05;18:00;4;58
250;48;2026-03-18;06:00;2;72
251;48;2026-05-17;20:00;4;76
252;48;2026-04-23;18:00;2;102
253;48;2025-10-27;06:00;3;57
254;48;2026-06-02;08:00;2;100
255;49;2025-10-09;08:00;9;91
256;49;2026-06-01;06:00;2;74
257;49;2025-11-28;20:00;2;104
258;49;2026-06-08;06:00;11;62
259;49;2026-02-01;08:00;11;55
260;49;2026-02-14;12:00;1;64
261;49;2025-10-07;06:00;5;96
262;49;2025-07-19;08:00;4;35
263;49;2025-08-24;20:00;12;99
264;50;2026-05-09;18:00;12;104
265;50;2026-06-03;18:00;8;58
266;50;2026-05-12;08:00;7;69
267;50;2025-11-05;20:00;8;91
268;50;2026-03-31;12:00;4;42
269;50;2026-01-28;20:00;10;40
270;50;2026-05-26;12:00;2;45
271;50;2026-02-11;08:00;1;104
272;50;2025-07-17;06:00;2;105
273;51;2025-07-27;20:00;11;103
274;51;2025-12-30;20:00;10;65
275;51;2026-06-16;12:00;11;43
276;51;2026-03-19;20:00;4;95
277;52;2025-09-08;06:00;8;98
278;52;2025-11-17;06:00;7;49
279;53;2026-01-27;12:00;2;75
280;53;2026-02-01;20:00;9;58
281;53;2025-09-29;06:00;3;70
282;54;2025-10-12;06:00;12;75
283;54;2026-05-28;20:00;6;79
284;54;2025-09-06;20:00;2;56
285;54;2026-06-21;20:00;2;71
286;54;2025-09-18;06:00;8;50
287;54;2025-09-07;06:00;2;74
288;54;2025-07-19;20:00;4;77
289;55;2025-10-17;18:00;12;54
290;55;2025-12-08;08:00;1;62
291;55;2026-06-09;12:00;8;100
292;55;2026-03-02;12:00;10;108
293;55;2025-11-26;08:00;3;108
294;56;2026-03-12;20:00;12;98
295;56;2025-10-24;08:00;11;36
296;56;2025-09-09;06:00;12;58
297;56;2025-08-21;06:00;12;39
298;56;2025-07-26;18:00;7;79
299;56;2026-05-15;06:00;7;100
300;56;2026-05-27;18:00;11;107
301;57;2026-01-07;20:00;10;100
302;57;2025-09-16;20:00;10;86
303;58;2026-01-10;06:00;6;109
304;58;2026-04-11;06:00;5;36
305;58;2026-03-28;06:00;1;53
306;58;2025-12-04;08:00;10;97
307;58;2025-09-06;06:00;4;77
308;58;2025-08-13;06:00;9;94
309;58;2026-05-21;06:00;6;47
310;58;2025-11-02;08:00;11;37
311;59;2026-02-19;20:00;2;46
312;59;2026-04-27;06:00;10;38
313;59;2026-02-25;20:00;2;101
314;59;2026-06-25;18:00;12;106
315;59;2026-05-03;08:00;11;59
316;59;2025-09-10;18:00;2;98
317;59;2026-03-04;08:00;10;92
318;59;2025-11-13;06:00;6;85
319;59;2025-12-07;12:00;4;47
320;60;2026-01-14;18:00;10;40
321;60;2025-11-06;18:00;6;66
322;60;2025-09-30;20:00;8;39
323;60;2026-03-13;18:00;2;110
324;61;2026-02-03;12:00;7;96
325;61;2026-02-19;18:00;5;87
326;61;2026-03-11;20:00;5;101
327;61;2025-11-05;20:00;8;108
328;62;2025-11-11;20:00;6;89
329;62;2026-02-11;18:00;5;60
330;62;2026-04-15;08:00;5;49
331;62;2026-04-30;06:00;4;83
332;62;2025-09-18;06:00;1;46
333;63;2026-01-04;06:00;3;86
334;63;2026-06-03;06:00;7;45
335;63;2025-07-30;20:00;6;68
336;64;2026-02-17;20:00;3;87
337;64;2025-08-02;20:00;4;43
338;64;2025-10-07;18:00;1;86
339;64;2025-11-14;08:00;5;88
340;64;2026-03-12;20:00;3;51
341;64;2026-02-09;20:00;7;96
342;64;2025-11-16;18:00;10;63
343;65;2025-08-29;20:00;9;98
344;65;2025-12-28;08:00;6;102
345;65;2025-10-20;12:00;5;99
346;65;2026-06-25;18:00;9;57
347;65;2025-10-01;06:00;11;76
348;65;2026-02-24;06:00;2;61
349;65;2026-06-23;18:00;7;79
350;65;2026-06-28;20:00;1;103
351;66;2025-09-13;12:00;5;99
352;66;2026-01-29;20:00;11;69
353;66;2026-06-20;20:00;4;93
354;66;2025-07-27;12:00;5;81
355;66;2025-09-22;20:00;9;100
356;66;2025-11-03;08:00;5;46
357;66;2025-09-04;06:00;4;109
358;66;2025-10-02;08:00;12;66
359;66;2025-12-07;18:00;9;36
360;67;2026-06-11;20:00;4;73
361;67;2026-04-17;18:00;4;44
362;67;2025-09-17;06:00;2;68
363;67;2025-12-20;12:00;5;55
364;67;2025-09-27;08:00;12;80
365;67;2025-08-13;06:00;10;107
366;68;2025-11-19;18:00;1;77
367;68;2026-02-15;18:00;10;41
368;68;2025-11-01;08:00;5;71
369;68;2026-04-27;12:00;1;101
370;68;2026-03-25;06:00;3;109
371;68;2026-05-09;18:00;10;54
372;68;2025-12-13;20:00;6;75
373;69;2025-10-26;12:00;5;44
374;69;2026-06-10;06:00;8;108
375;69;2025-11-27;12:00;5;59
376;69;2026-06-19;12:00;11;108
377;69;2025-08-18;06:00;8;103
378;69;2025-10-30;08:00;7;87
379;69;2025-09-07;08:00;1;90
380;70;2025-10-19;12:00;8;51
381;70;2025-09-17;18:00;1;35
382;71;2025-07-21;06:00;9;37
383;71;2025-09-16;20:00;1;71
384;71;2025-07-22;12:00;12;88
385;71;2026-06-13;12:00;10;84
386;71;2025-12-05;18:00;7;101
387;71;2026-06-02;18:00;7;42
388;71;2025-12-30;12:00;3;103
389;71;2025-09-01;12:00;11;45
390;71;2025-12-07;12:00;4;89
391;72;2025-10-12;06:00;10;37
392;72;2026-01-27;08:00;8;79
393;72;2026-01-20;20:00;1;59
394;72;2026-01-21;12:00;2;67
395;72;2026-06-27;18:00;3;64
396;72;2026-04-27;06:00;10;104
397;72;2025-12-21;08:00;7;54
398;72;2026-06-04;06:00;3;90
399;73;2026-06-17;06:00;1;87
400;73;2025-08-17;06:00;9;55
401;73;2025-07-06;18:00;6;74
402;73;2025-09-14;08:00;11;109
403;73;2025-07-01;08:00;4;107
404;73;2025-11-28;12:00;6;109
405;74;2025-08-29;18:00;10;69
406;74;2026-05-16;20:00;6;100
407;75;2025-08-17;06:00;1;54
408;75;2025-09-24;06:00;6;82
409;76;2025-10-30;18:00;2;91
410;76;2026-02-26;18:00;2;51
411;76;2026-03-20;08:00;5;82
412;77;2026-06-25;08:00;5;87
413;77;2025-10-20;20:00;9;50
414;77;2025-09-15;12:00;3;99
415;77;2026-06-08;12:00;11;101
416;77;2025-08-29;12:00;1;60
417;77;2025-11-23;18:00;10;59
418;77;2026-03-06;20:00;8;59
419;77;2026-05-01;20:00;7;72
420;78;2026-04-03;18:00;10;103
421;78;2025-12-29;20:00;11;93
422;78;2025-09-13;12:00;12;62
423;78;2026-06-10;06:00;12;45
424;78;2025-11-18;20:00;5;55
425;79;2025-08-17;18:00;12;82
426;79;2025-11-06;18:00;3;64
427;79;2025-11-21;08:00;3;83
428;79;2025-07-31;18:00;7;64
429;79;2026-01-26;08:00;12;68
430;80;2026-02-16;20:00;8;109
431;80;2026-03-20;20:00;1;47
432;80;2026-04-09;12:00;5;87
433;80;2025-09-18;18:00;6;73
434;80;2025-12-15;08:00;4;39
435;81;2025-10-27;06:00;4;101
436;81;2026-02-17;12:00;1;46
437;81;2025-07-30;06:00;2;58
438;81;2025-11-26;06:00;2;101
439;81;2025-07-23;06:00;7;42
440;81;2026-02-09;06:00;8;58
441;81;2026-02-16;08:00;7;96
442;81;2026-03-26;12:00;7;41
443;82;2025-10-03;20:00;9;81
444;82;2026-04-14;12:00;3;59
445;83;2026-03-20;18:00;1;46
446;83;2026-05-11;08:00;5;64
447;83;2026-04-15;20:00;9;64
448;84;2026-04-09;20:00;11;56
449;84;2026-01-09;08:00;12;69
450;84;2026-01-31;20:00;8;47
451;84;2026-06-01;06:00;8;59
452;84;2026-03-18;18:00;6;46
453;84;2026-04-23;12:00;1;79
454;85;2026-03-26;12:00;11;54
455;85;2025-12-16;20:00;1;53
456;85;2026-05-11;20:00;10;108
457;85;2026-01-06;08:00;11;64
458;85;2026-04-27;12:00;11;86
459;86;2026-04-17;06:00;1;90
460;86;2025-11-25;18:00;2;61
461;86;2025-07-24;20:00;7;71
462;86;2025-08-30;06:00;8;41
463;86;2025-08-25;20:00;12;36
464;86;2026-05-03;08:00;2;85
465;86;2026-02-16;20:00;11;82
466;86;2025-09-02;06:00;10;94
467;86;2025-07-03;06:00;3;61
468;87;2025-07-26;18:00;6;70
469;87;2025-11-25;06:00;5;42
470;87;2025-10-19;18:00;3;103
471;87;2026-05-15;18:00;6;73
472;87;2025-09-09;12:00;7;72
473;87;2025-10-23;20:00;6;35
474;87;2025-11-26;20:00;12;77
475;87;2026-03-10;18:00;4;47
476;87;2025-11-17;12:00;6;66
477;88;2026-02-14;12:00;6;98
478;88;2026-03-04;20:00;8;110
479;88;2025-07-30;18:00;10;35
480;89;2025-10-06;12:00;7;51
481;89;2026-03-16;18:00;2;49
482;89;2026-01-25;12:00;8;77
483;89;2026-01-19;12:00;6;67
484;90;2026-04-20;20:00;4;59
485;90;2026-05-24;20:00;10;53
486;91;2025-12-10;20:00;10;62
487;91;2025-08-06;18:00;11;65
488;91;2026-01-25;20:00;7;56
489;91;2025-12-27;18:00;8;50
490;91;2025-12-17;12:00;5;68
491;92;2026-05-09;12:00;9;92
492;92;2025-07-18;20:00;7;96
493;92;2026-02-08;06:00;6;55
494;92;2025-07-11;12:00;2;94
495;92;2026-06-11;20:00;3;99
496;92;2025-12-15;06:00;4;41
497;92;2025-12-20;06:00;11;96
498;92;2025-10-27;08:00;5;42
499;92;2025-09-29;06:00;10;41
500;93;2026-01-03;18:00;6;110
501;93;2026-06-14;20:00;11;66
502;94;2026-05-23;08:00;7;107
503;94;2025-08-06;08:00;9;65
504;94;2025-07-02;06:00;4;67
505;94;2025-11-15;06:00;3;45
506;94;2026-01-02;20:00;2;88
507;94;2026-02-07;12:00;3;51
508;94;2026-02-20;12:00;11;83
509;94;2026-03-14;06:00;11;61
510;94;2025-09-19;20:00;3;104
511;95;2025-12-21;18:00;2;94
512;95;2025-08-11;18:00;3;59
513;95;2025-09-05;20:00;4;110
514;95;2026-06-07;20:00;10;55
515;95;2025-08-31;20:00;10;72
516;95;2026-05-04;06:00;2;52
517;95;2026-03-14;08:00;10;45
518;96;2025-10-14;06:00;12;61
519;96;2025-08-19;20:00;3;43
520;96;2026-05-06;20:00;1;49
521;96;2026-03-06;20:00;2;50
522;97;2026-02-18;12:00;7;99
523;97;2025-09-26;08:00;4;68
524;97;2025-08-24;12:00;8;48
525;97;2026-05-28;08:00;8;61
526;97;2026-05-11;20:00;8;51
527;98;2025-10-09;06:00;10;52
528;98;2026-06-29;20:00;3;71
529;98;2026-03-25;20:00;4;50
530;99;2025-09-09;12:00;8;78
531;99;2025-08-23;20:00;3;83
532;99;2025-11-21;20:00;10;86
533;99;2025-09-22;12:00;2;107
534;99;2026-03-19;06:00;2;82
535;99;2025-09-30;08:00;2;38
536;99;2025-11-27;12:00;2;94
537;100;2026-02-20;20:00;5;74
538;100;2026-01-01;18:00;11;66
539;100;2025-08-09;08:00;1;44
540;100;2025-12-30;20:00;12;90
541;100;2025-09-14;06:00;8;85
542;100;2026-01-19;08:00;4;48
543;100;2026-06-02;20:00;11;61
544;100;2026-03-12;18:00;11;110
545;100;2025-12-31;06:00;3;75
546;101;2025-07-26;06:00;7;91
547;101;2025-10-25;18:00;12;88
548;101;2026-01-27;12:00;9;105
549;101;2026-01-22;18:00;2;86
550;101;2026-02-01;18:00;11;60
551;101;2025-07-15;18:00;5;54
552;101;2026-01-26;08:00;4;80
553;101;2026-04-23;20:00;2;81
554;102;2026-01-25;12:00;6;93
555;102;2025-09-01;12:00;6;53
556;102;2025-09-22;20:00;9;77
557;102;2026-04-30;06:00;3;87
558;102;2026-06-29;12:00;7;99
559;102;2025-10-08;12:00;1;92
560;102;2026-04-25;12:00;8;98
561;103;2025-08-24;20:00;10;57
562;103;2026-03-30;08:00;7;54
563;103;2026-02-23;12:00;9;99
564;104;2025-08-28;06:00;7;52
565;104;2026-03-11;12:00;8;82
566;104;2026-03-29;08:00;8;66
567;105;2026-06-27;12:00;3;63
568;105;2026-04-19;08:00;9;59
569;105;2026-03-19;08:00;9;94
570;105;2026-06-23;06:00;5;96
571;105;2025-08-02;06:00;6;103
572;105;2026-02-10;12:00;4;35
573;106;2026-04-21;18:00;11;97
574;106;2025-10-20;08:00;10;81
575;106;2026-01-05;06:00;4;88
576;106;2026-04-15;08:00;5;47
577;106;2026-05-18;08:00;3;106
578;107;2025-08-23;20:00;8;69
579;107;2025-07-23;20:00;2;110
580;107;2026-01-25;18:00;4;56
581;107;2025-12-14;18:00;8;79
582;107;2025-10-17;20:00;10;45
583;107;2025-08-22;06:00;10;91
584;107;2025-10-29;20:00;10;68
585;108;2026-06-28;08:00;5;106
586;108;2026-06-04;18:00;8;52
587;108;2026-06-09;08:00;12;99
588;108;2025-11-04;18:00;9;83
589;108;2026-04-29;06:00;12;42
590;108;2025-08-23;12:00;3;55
591;108;2026-04-28;06:00;12;69
592;109;2026-05-10;12:00;8;73
593;109;2025-08-29;12:00;12;57
594;109;2025-08-08;20:00;9;87
595;109;2025-10-09;18:00;7;51
596;109;2025-09-28;12:00;6;96
597;109;2026-06-30;08:00;6;44
598;109;2026-05-11;18:00;9;46
599;110;2026-06-10;18:00;12;68
600;110;2025-07-01;18:00;4;86
601;110;2026-01-14;08:00;11;50
602;110;2025-08-03;18:00;6;60
603;110;2025-07-10;18:00;8;42
604;110;2026-06-30;08:00;12;79
605;110;2025-08-27;18:00;5;63
606;110;2026-06-19;12:00;5;66
607;111;2026-05-28;18:00;8;38
608;111;2025-10-27;18:00;6;45
609;111;2026-03-30;18:00;3;106
610;111;2025-12-29;06:00;5;71
611;111;2025-08-29;06:00;11;52
612;111;2026-03-10;12:00;12;49
613;112;2025-10-15;08:00;8;35
614;112;2025-10-21;20:00;8;92
615;112;2025-11-07;08:00;4;41
616;113;2026-02-23;18:00;1;64
617;113;2026-02-17;20:00;2;58
618;113;2026-04-23;08:00;8;105
619;113;2026-03-16;06:00;9;104
620;113;2025-08-07;12:00;11;55
621;113;2025-10-03;20:00;12;56
622;113;2026-01-29;12:00;11;73
623;114;2026-03-31;18:00;5;81
624;114;2025-12-30;18:00;4;57
625;114;2026-04-08;18:00;1;108
626;114;2025-09-26;18:00;8;100
627;114;2026-06-04;20:00;10;75
628;114;2025-12-16;06:00;8;43
629;114;2025-08-07;12:00;11;77
630;114;2026-05-13;06:00;8;110
631;114;2025-10-10;08:00;4;45
632;115;2026-03-11;06:00;8;67
633;115;2026-01-28;18:00;1;44
634;115;2025-12-04;08:00;5;36
635;115;2026-03-23;18:00;9;90
636;116;2025-08-24;18:00;4;62
637;116;2026-06-06;12:00;3;63
638;117;2025-12-17;18:00;11;85
639;117;2026-02-19;20:00;2;77
640;117;2025-08-17;18:00;4;38
641;117;2025-12-24;20:00;9;95
642;118;2025-07-03;08:00;7;104
643;118;2026-04-17;12:00;9;79
644;118;2025-10-05;18:00;1;87
645;118;2026-05-18;20:00;6;56
646;118;2025-07-09;12:00;3;87
647;118;2025-11-12;08:00;6;101
648;119;2025-12-05;18:00;11;50
649;119;2025-08-18;06:00;11;103
650;119;2025-11-08;20:00;7;107
651;119;2026-05-13;20:00;5;74
652;119;2025-09-17;20:00;10;92
653;119;2025-12-27;06:00;9;40
654;119;2025-12-25;12:00;4;92
655;119;2025-08-01;12:00;1;105
656;120;2026-04-08;18:00;7;45
657;120;2026-02-28;18:00;7;76
658;120;2025-12-07;20:00;6;68
659;120;2025-12-01;12:00;7;63
660;121;2025-11-21;20:00;4;79
661;121;2026-03-18;18:00;3;78
662;121;2026-02-02;08:00;2;89
663;121;2026-03-15;18:00;7;44
664;121;2026-01-06;12:00;10;69
665;121;2026-01-22;20:00;4;54
666;121;2026-02-17;20:00;5;89
667;122;2026-06-13;08:00;5;87
668;122;2026-02-10;18:00;11;105
669;122;2026-02-26;12:00;5;53
670;122;2025-11-14;20:00;2;59
671;122;2026-01-16;12:00;1;91
672;123;2026-06-17;06:00;9;99
673;123;2025-11-14;12:00;6;84
674;123;2025-07-13;08:00;1;86
675;123;2025-07-04;12:00;11;67
676;123;2025-08-23;20:00;5;93
677;123;2026-04-28;20:00;6;81
678;124;2025-08-19;06:00;2;69
679;124;2026-01-14;20:00;6;68
680;125;2025-07-27;18:00;11;57
681;125;2025-09-29;20:00;4;70
682;125;2026-06-28;20:00;4;74
683;125;2025-08-22;12:00;7;61
684;125;2026-06-28;06:00;7;104
685;125;2026-05-03;06:00;12;86
686;125;2026-05-10;18:00;2;105
687;125;2025-10-02;06:00;4;101
688;125;2026-04-07;18:00;1;60
689;126;2025-12-06;20:00;8;75
690;126;2026-01-27;12:00;3;35
691;126;2025-08-15;06:00;7;79
692;126;2026-04-10;18:00;6;97
693;126;2025-12-22;08:00;5;107
694;126;2025-07-14;12:00;4;39
695;126;2025-10-29;12:00;3;104
696;126;2025-08-26;18:00;12;79
697;127;2025-09-17;12:00;9;104
698;127;2025-12-18;08:00;7;68
699;127;2026-06-18;18:00;7;71
700;127;2026-03-22;18:00;6;82
701;127;2025-09-21;20:00;2;95
702;127;2025-10-17;18:00;4;50
703;127;2025-10-15;12:00;4;103
704;127;2025-08-27;06:00;5;35
705;128;2026-04-05;08:00;12;98
706;128;2026-04-25;08:00;5;41
707;128;2026-05-20;20:00;8;87
708;128;2025-09-15;18:00;4;58
709;129;2025-08-10;08:00;7;42
710;129;2026-04-01;06:00;5;67
711;130;2026-02-25;12:00;9;67
712;130;2025-12-16;18:00;9;73
713;130;2025-07-10;06:00;1;97
714;130;2025-10-24;18:00;2;63
715;130;2026-05-02;20:00;9;81
716;130;2025-07-04;18:00;5;83
717;130;2025-12-22;20:00;8;84
718;131;2026-06-01;08:00;8;108
719;131;2025-12-28;20:00;1;64
720;131;2025-11-04;20:00;10;67
721;131;2026-02-26;18:00;12;86
722;131;2026-04-11;20:00;10;57
723;132;2026-03-24;18:00;5;64
724;132;2026-01-28;20:00;12;44
725;132;2025-11-30;06:00;10;68
726;132;2026-02-26;08:00;7;59
727;132;2025-11-03;06:00;2;77
728;132;2025-12-12;18:00;11;38
729;132;2026-03-17;20:00;2;46
730;132;2026-06-02;20:00;4;106
731;132;2025-12-01;06:00;8;73
