aluno_id;codigo_aluno;idade;genero;regiao;data_cadastro
69;ALU-00069;15;Não informado;Oeste;2025-04-06
70;ALU-00070;59;Feminino;Centro;2024-12-19
71;ALU-00071;48;Não informado;Sul;2025-04-19
72;ALU-00072;32;Feminino;Oeste;2024-10-14
73;ALU-00073;73;Feminino;Sul;2024-06-26
74;ALU-00074;28;Não informado;Centro;2024-01-22
75;ALU-00075;56;Não informado;Leste;2023-02-02
76;ALU-00076;77;Não informado;Sul;2025-01-31
77;ALU-00077;62;Feminino;Centro;2024-04-28
78;ALU-00078;60;Feminino;Sul;2024-03-25
79;ALU-00079;50;Não informado;Leste;2025-06-26
80;ALU-00080;15;Não informado;Oeste;2023-08-05
81;ALU-00081;20;Feminino;Oeste;2024-06-17
82;ALU-00082;61;Feminino;Norte;2024-05-24
83;ALU-00083;15;Não informado;Leste;2023-11-27
84;ALU-00084;77;Não informado;Sul;2023-01-02
85;ALU-00085;78;Masculino;Centro;2024-05-02
86;ALU-00086;35;Não informado;Norte;2023-04-30
87;ALU-00087;75;Masculino;Leste;2023-03-30
88;ALU-00088;39;Masculino;Sul;2024-08-19
89;ALU-00089;15;Masculino;Leste;2025-06-21
90;ALU-00090;25;Não informado;Centro;2023-07-10
91;ALU-00091;66;Não informado;Oeste;2024-07-11
92;ALU-00092;69;Não informado;Centro;2025-03-09
93;ALU-00093;42;Feminino;Centro;2023-12-29
94;ALU-00094;23;Masculino;Centro;2022-12-09
95;ALU-00095;62;Masculino;Norte;2023-07-10
96;ALU-00096;48;Feminino;Leste;2023-11-05
97;ALU-00097;18;Não informado;Centro;2022-12-13
98;ALU-00098;31;Masculino;Norte;2023-09-11
99;ALU-00099;31;Masculino;Leste;2024-04-19
100;ALU-00100;63;Masculino;Sul;2025-04-20
101;ALU-00101;67;Masculino;Norte;2022-10-28
102;ALU-00102;50;Feminino;Oeste;2023-04-08
103;ALU-00103;44;Não informado;Norte;2024-07-21
104;ALU-00104;59;Feminino;Sul;2023-11-20
105;ALU-00105;32;Não informado;Sul;2022-12-14
106;ALU-00106;45;Masculino;Oeste;2024-07-09
107;ALU-00107;72;Não informado;Norte;2023-11-12
108;ALU-00108;41;Masculino;Leste;2025-01-24
109;ALU-00109;49;Feminino;Centro;2023-06-22
110;ALU-00110;62;Não informado;Sul;2023-11-20
111;ALU-00111;59;Masculino;Norte;2023-02-27
112;ALU-00112;63;Feminino;Centro;2023-04-03
113;ALU-00113;18;Masculino;Sul;2025-06-24
114;ALU-00114;67;Feminino;Centro;2025-04-24
115;ALU-00115;65;Feminino;Centro;2024-08-21
116;ALU-00116;28;Não informado;Norte;2025-06-08
117;ALU-00117;58;Masculino;Centro;2024-01-26
118;ALU-00118;71;Masculino;Norte;2023-06-02
119;ALU-00119;25;Masculino;Leste;2024-09-27
120;ALU-00120;22;Masculino;Sul;2024-04-22
121;ALU-00121;71;Masculino;Sul;2024-07-31
122;ALU-00122;71;Masculino;Oeste;2023-11-22
123;ALU-00123;54;Não informado;Leste;2025-01-28
124;ALU-00124;41;Masculino;Leste;2024-02-04
125;ALU-00125;50;Não informado;Norte;2024-03-01
126;ALU-00126;43;Não informado;Oeste;2022-10-26
127;ALU-00127;63;Não informado;Norte;2024-08-06
128;ALU-00128;42;Feminino;Norte;2023-09-26
129;ALU-00129;28;Masculino;Oeste;2023-10-15
130;ALU-00130;29;Feminino;Centro;2025-06-18
131;ALU-00131;73;Feminino;Sul;2025-06-09
132;ALU-00132;43;Masculino;Leste;2023-05-15
133;ALU-00133;54;Feminino;Sul;2023-10-08
134;ALU-00134;52;Feminino;Oeste;2024-03-15
135;ALU-00135;36;Não informado;Sul;2024-09-16
136;ALU-00136;68;Não informado;Leste;2024-03-18
137;ALU-00137;70;Masculino;Norte;2024-08-03
138;ALU-00138;75;Não informado;Oeste;2022-10-07
139;ALU-00139;74;Não informado;Norte;2024-10-06
140;ALU-00140;62;Feminino;Leste;2023-11-26
141;ALU-00141;17;Feminino;Norte;2023-09-17
142;ALU-00142;18;Feminino;Sul;2024-06-11
143;ALU-00143;23;Não informado;Oeste;2024-05-20
144;ALU-00144;48;Masculino;Oeste;2023-06-02
145;ALU-00145;41;Feminino;Leste;2025-02-16
146;ALU-00146;16;Não informado;Norte;2024-06-13
147;ALU-00147;15;Feminino;Norte;2023-11-16
148;ALU-00148;26;Masculino;Leste;2024-02-23
149;ALU-00149;61;Masculino;Oeste;2025-02-14
150;ALU-00150;77;Feminino;Norte;2023-08-23
151;ALU-00151;65;Masculino;Leste;2024-03-08
152;ALU-00152;28;Feminino;Centro;2023-07-31
153;ALU-00153;43;Masculino;Sul;2023-02-15
154;ALU-00154;15;Não informado;Norte;2024-11-24
155;ALU-00155;59;Não informado;Norte;2023-06-26
156;ALU-00156;45;Feminino;Oeste;2025-03-24
157;ALU-00157;29;Não informado;Oeste;2023-09-02
158;ALU-00158;51;Masculino;Leste;2024-01-27
159;ALU-00159;33;Feminino;Sul;2025-06-07
160;ALU-00160;49;Masculino;Oeste;2024-04-06
161;ALU-00161;69;Masculino;Oeste;2023-01-30
162;ALU-00162;53;Masculino;Sul;2024-09-11
163;ALU-00163;62;Não informado;Leste;2025-05-26
164;ALU-00164;71;Feminino;Oeste;2022-12-05
165;ALU-00165;72;Feminino;Norte;2022-12-27
166;ALU-00166;15;Não informado;Leste;2025-06-18
167;ALU-00167;68;Não informado;Oeste;2024-09-13
168;ALU-00168;69;Feminino;Norte;2024-10-01
169;ALU-00169;33;Masculino;Norte;2023-05-12
170;ALU-00170;41;Não informado;Oeste;2023-10-25
171;ALU-00171;77;Feminino;Sul;2025-04-05
172;ALU-00172;24;Masculino;Leste;2025-03-04
173;ALU-00173;52;Masculino;Norte;2024-11-08
174;ALU-00174;40;Não informado;Oeste;2023-12-23
175;ALU-00175;65;Masculino;Oeste;2023-10-25
176;ALU-00176;73;Feminino;Sul;2025-06-18
177;ALU-00177;46;Feminino;Leste;2023-06-14
178;ALU-00178;26;Não informado;Leste;2024-01-03
179;ALU-00179;44;Masculino;Leste;2025-01-12
180;ALU-00180;46;Não informado;Norte;2024-11-15
181;ALU-00181;29;Não informado;Oeste;2023-12-30
182;ALU-00182;43;Não informado;Sul;2023-02-05
183;ALU-00183;29;Masculino;Leste;2024-12-10
184;ALU-00184;28;Não informado;Norte;2023-12-11
185;ALU-00185;53;Não informado;Sul;2023-07-09
186;ALU-00186;27;Não informado;Sul;2024-03-28
187;ALU-00187;31;Feminino;Sul;2023-08-21
188;ALU-00188;15;Feminino;Leste;2024-06-12
189;ALU-00189;37;Não informado;Oeste;2024-05-07
190;ALU-00190;55;Masculino;Centro;2023-12-24
191;ALU-00191;37;Masculino;Centro;2023-06-28
192;ALU-00192;67;Não informado;Oeste;2022-10-22
193;ALU-00193;26;Feminino;Leste;2024-06-13
194;ALU-00194;63;Não informado;Sul;2022-10-05
195;ALU-00195;75;Não informado;Oeste;2023-12-18
196;ALU-00196;42;Masculino;Norte;2025-05-17
197;ALU-00197;60;Não informado;Centro;2023-02-17
198;ALU-00198;20;Feminino;Oeste;2023-07-12
199;ALU-00199;47;Feminino;Oeste;2024-02-19
200;ALU-00200;28;Não informado;Oeste;2024-01-06
201;ALU-00201;25;Não informado;Leste;2023-06-23
202;ALU-00202;66;Feminino;Norte;2024-06-22
203;ALU-00203;75;Não informado;Sul;2023-02-03
204;ALU-00204;72;Não informado;Leste;2024-06-26
205;ALU-00205;70;Masculino;Sul;2025-03-12
206;ALU-00206;36;Feminino;Oeste;2024-09-30
207;ALU-00207;75;Feminino;Centro;2023-12-07
208;ALU-00208;69;Feminino;Norte;2023-01-15
209;ALU-00209;77;Feminino;Norte;2025-01-11
210;ALU-00210;28;Feminino;Norte;2024-04-17
211;ALU-00211;22;Não informado;Centro;2023-06-21
212;ALU-00212;64;Não informado;Sul;2023-07-02
213;ALU-00213;32;Masculino;Norte;2024-10-24
214;ALU-00214;36;Masculino;Norte;2024-09-15
215;ALU-00215;75;Feminino;Norte;2024-04-08
216;ALU-00216;41;Masculino;Leste;2023-05-03
217;ALU-00217;71;Feminino;Sul;2023-11-14
218;ALU-00218;19;Não informado;Oeste;2025-02-04
219;ALU-00219;15;Feminino;Centro;2025-05-04
220;ALU-00220;68;Masculino;Oeste;2025-06-12
221;ALU-00221;18;Feminino;Oeste;2025-02-12
222;ALU-00222;44;Masculino;Sul;2025-02-11
223;ALU-00223;62;Masculino;Leste;2022-11-22
224;ALU-00224;45;Feminino;Leste;2024-10-25
225;ALU-00225;37;Feminino;Norte;2023-10-10
226;ALU-00226;24;Feminino;Sul;2023-08-07
227;ALU-00227;72;Masculino;Centro;2023-02-19
228;ALU-00228;49;Feminino;Norte;2023-03-10
229;ALU-00229;20;Não informado;Sul;2023-09-23
230;ALU-00230;28;Feminino;Centro;2025-02-15
231;ALU-00231;28;Feminino;Leste;2024-06-17
232;ALU-00232;70;Masculino;Centro;2024-01-09
233;ALU-00233;24;Feminino;Oeste;2025-02-27
234;ALU-00234;40;Masculino;Sul;2024-06-23
235;ALU-00235;71;Feminino;Centro;2023-01-09
236;ALU-00236;21;Feminino;Leste;2023-03-19
237;ALU-00237;59;Masculino;Norte;2025-01-12
238;ALU-00238;46;Não informado;Centro;2023-08-20
239;ALU-00239;19;Masculino;Norte;2023-06-29
240;ALU-00240;56;Masculino;Sul;2023-04-06
241;ALU-00241;40;Feminino;Leste;2024-12-20
242;ALU-00242;24;Feminino;Centro;2023-01-12
243;ALU-00243;76;Não informado;Norte;2025-04-20
244;ALU-00244;30;Não informado;Centro;2023-07-05
245;ALU-00245;21;Feminino;Centro;2023-08-08
246;ALU-00246;37;Não informado;Oeste;2025-01-24
247;ALU-00247;58;Masculino;Norte;2025-05-05
248;ALU-00248;25;Masculino;Centro;2023-07-06
249;ALU-00249;36;Masculino;Sul;2024-06-27
250;ALU-00250;69;Masculino;Leste;2024-03-04
251;ALU-00251;19;Masculino;Sul;2024-05-26
252;ALU-00252;52;Não informado;Sul;2023-11-23
253;ALU-00253;37;Não informado;Norte;2024-10-16
254;ALU-00254;61;Não informado;Leste;2023-04-18
255;ALU-00255;72;Não informado;Centro;2023-11-17
256;ALU-00256;75;Não informado;Centro;2025-05-21
257;ALU-00257;26;Feminino;Centro;2024-05-14
258;ALU-00258;49;Não informado;Oeste;2023-05-12
259;ALU-00259;27;Masculino;Oeste;2024-12-02
260;ALU-00260;39;Feminino;Centro;2025-03-26
261;ALU-00261;64;Não informado;Sul;2022-11-05
262;ALU-00262;62;Não informado;Norte;2023-02-11
263;ALU-00263;48;Não informado;Norte;2025-04-25
264;ALU-00264;71;Feminino;Centro;2024-01-20
265;ALU-00265;26;Masculino;Norte;2024-12-03
266;ALU-00266;59;Masculino;Sul;2022-12-25
267;ALU-00267;60;Feminino;Leste;2024-07-15
268;ALU-00268;39;Feminino;Sul;2025-04-24
269;ALU-00269;31;Não informado;Norte;2023-09-05
270;ALU-00270;49;Feminino;Centro;2024-07-06
271;ALU-00271;37;Masculino;Sul;2025-04-30
272;ALU-00272;34;Não informado;Sul;2024-10-09
273;ALU-00273;36;Masculino;Leste;2024-02-25
274;ALU-00274;43;Masculino;Sul;2025-04-25
275;ALU-00275;44;Masculino;Sul;2023-06-04
276;ALU-00276;23;Não informado;Norte;2023-09-22
277;ALU-00277;20;Masculino;Sul;2025-05-20
278;ALU-00278;50;Não informado;Oeste;2023-08-16
279;ALU-00279;76;Não informado;Sul;2024-04-12
280;ALU-00280;44;Não informado;Centro;2024-07-19
281;ALU-00281;52;Não informado;Norte;2024-09-14
282;ALU-00282;78;Não informado;Oeste;2025-04-03
283;ALU-00283;76;Masculino;Norte;2023-12-12
284;ALU-00284;77;Feminino;Sul;2025-05-01
285;ALU-00285;71;Não informado;Centro;2025-04-21
286;ALU-00286;34;Masculino;Leste;2023-05-24
287;ALU-00287;22;Masculino;Oeste;2024-07-29
288;ALU-00288;27;Feminino;Centro;2024-08-23
289;ALU-00289;46;Não informado;Sul;2023-09-18
290;ALU-00290;73;Não informado;Centro;2023-01-01
291;ALU-00291;38;Feminino;Oeste;2023-05-15
292;ALU-00292;25;Feminino;Leste;2025-04-28
293;ALU-00293;34;Feminino;Sul;2024-12-21
294;ALU-00294;48;Masculino;Oeste;2023-06-17
295;ALU-00295;23;Masculino;Oeste;2023-07-23
296;ALU-00296;41;Masculino;Sul;2024-08-24
297;ALU-00297;49;Feminino;Centro;2024-06-17
298;ALU-00298;72;Masculino;Centro;2024-03-02
299;ALU-00299;55;Feminino;Oeste;2023-07-18
300;ALU-00300;74;Feminino;Norte;2024-03-12
301;ALU-00301;60;Feminino;Leste;2023-04-27
302;ALU-00302;47;Feminino;Leste;2024-12-12
303;ALU-00303;44;Masculino;Oeste;2023-06-22
304;ALU-00304;59;Não informado;Oeste;2024-11-14
305;ALU-00305;27;Feminino;Sul;2023-04-13
306;ALU-00306;24;Não informado;Norte;2025-03-25
307;ALU-00307;48;Não informado;Leste;2022-12-27
308;ALU-00308;40;Feminino;Sul;2023-08-04
309;ALU-00309;58;Não informado;Centro;2025-05-29
310;ALU-00310;78;Não informado;Leste;2024-03-25
311;ALU-00311;29;Feminino;Norte;2024-08-09
312;ALU-00312;67;Feminino;Sul;2024-12-11
313;ALU-00313;17;Feminino;Leste;2022-10-06
314;ALU-00314;74;Masculino;Oeste;2023-10-14
315;ALU-00315;73;Não informado;Oeste;2023-10-22
316;ALU-00316;34;Feminino;Sul;2025-05-07
317;ALU-00317;47;Masculino;Norte;2024-09-24
318;ALU-00318;38;Não informado;Leste;2023-01-04
319;ALU-00319;72;Feminino;Oeste;2023-01-07
320;ALU-00320;62;Não informado;Leste;2025-01-07
321;ALU-00321;19;Feminino;Leste;2022-11-01
322;ALU-00322;42;Feminino;Oeste;2025-06-23
323;ALU-00323;23;Feminino;Norte;2025-02-26
324;ALU-00324;62;Não informado;Centro;2022-12-27
325;ALU-00325;78;Feminino;Norte;2024-03-26
326;ALU-00326;17;Feminino;Centro;2024-11-06
327;ALU-00327;34;Masculino;Centro;2024-05-07
328;ALU-00328;47;Feminino;Centro;2022-12-07
329;ALU-00329;32;Feminino;Norte;2023-11-26
330;ALU-00330;22;Não informado;Leste;2025-05-31
331;ALU-00331;32;Não informado;Norte;2023-03-12
332;ALU-00332;75;Não informado;Centro;2024-02-18
333;ALU-00333;77;Não informado;Sul;2024-01-21
334;ALU-00334;51;Não informado;Norte;2023-11-23
335;ALU-00335;19;Masculino;Norte;2024-04-18
336;ALU-00336;63;Masculino;Sul;2024-05-12
337;ALU-00337;78;Masculino;Leste;2023-03-08
338;ALU-00338;65;Não informado;Sul;2023-07-16
339;ALU-00339;59;Feminino;Norte;2024-03-18
340;ALU-00340;62;Masculino;Sul;2024-09-08
341;ALU-00341;37;Feminino;Leste;2022-11-03
342;ALU-00342;56;Masculino;Leste;2024-05-11
343;ALU-00343;38;Feminino;Centro;2023-12-09
344;ALU-00344;73;Masculino;Norte;2024-06-29
345;ALU-00345;30;Masculino;Sul;2022-11-29
346;ALU-00346;25;Feminino;Leste;2023-07-28
347;ALU-00347;60;Não informado;Leste;2024-01-06
348;ALU-00348;20;Masculino;Norte;2024-06-13
349;ALU-00349;57;Feminino;Sul;2024-03-27
350;ALU-00350;44;Masculino;Oeste;2024-10-24
351;ALU-00351;24;Não informado;Norte;2022-11-13
352;ALU-00352;68;Feminino;Centro;2023-01-24
353;ALU-00353;63;Feminino;Oeste;2024-03-17
354;ALU-00354;60;Não informado;Oeste;2024-05-28
355;ALU-00355;63;Masculino;Oeste;2025-01-26
356;ALU-00356;31;Masculino;Norte;2025-03-25
357;ALU-00357;70;Masculino;Norte;2023-04-19
358;ALU-00358;65;Não informado;Leste;2024-06-12
359;ALU-00359;41;Não informado;Leste;2023-03-08
360;ALU-00360;60;Não informado;Norte;2023-07-16
361;ALU-00361;52;Feminino;Leste;2024-05-17
362;ALU-00362;61;Feminino;Oeste;2023-04-19
363;ALU-00363;22;Não informado;Norte;2024-07-06
364;ALU-00364;66;Não informado;Leste;2024-05-15
365;ALU-00365;43;Masculino;Centro;2022-10-11
366;ALU-00366;54;Feminino;Centro;2023-10-19
367;ALU-00367;31;Feminino;Oeste;2024-02-09
368;ALU-00368;78;Feminino;Sul;2022-10-19
369;ALU-00369;40;Masculino;Leste;2023-01-02
370;ALU-00370;35;Masculino;Leste;2023-05-07
371;ALU-00371;40;Masculino;Sul;2024-11-04
372;ALU-00372;54;Não informado;Norte;2023-06-20
373;ALU-00373;76;Masculino;Oeste;2023-04-30
374;ALU-00374;77;Masculino;Leste;2024-02-10
375;ALU-00375;46;Não informado;Norte;2025-02-19
376;ALU-00376;28;Feminino;Oeste;2025-07-01
377;ALU-00377;43;Masculino;Oeste;2024-09-27
378;ALU-00378;35;Masculino;Norte;2023-11-12
379;ALU-00379;35;Não informado;Oeste;2024-11-06
380;ALU-00380;35;Feminino;Oeste;2023-05-18
381;ALU-00381;51;Não informado;Leste;2024-06-08
382;ALU-00382;24;Masculino;Oeste;2024-10-10
383;ALU-00383;28;Não informado;Norte;2023-04-09
384;ALU-00384;75;Masculino;Sul;2023-12-08
385;ALU-00385;66;Não informado;Leste;2022-10-20
386;ALU-00386;62;Não informado;Leste;2024-01-09
387;ALU-00387;56;Feminino;Leste;2024-03-08
388;ALU-00388;26;Feminino;Centro;2024-11-01
389;ALU-00389;42;Não informado;Sul;2025-02-01
390;ALU-00390;60;Não informado;Leste;2024-10-13
391;ALU-00391;39;Não informado;Sul;2024-01-07
392;ALU-00392;50;Feminino;Sul;2023-08-12
393;ALU-00393;51;Feminino;Sul;2024-02-23
394;ALU-00394;48;Não informado;Oeste;2024-09-14
395;ALU-00395;27;Não informado;Leste;2024-07-20
396;ALU-00396;41;Masculino;Leste;2024-09-30
397;ALU-00397;62;Feminino;Leste;2024-09-30
398;ALU-00398;63;Masculino;Norte;2023-03-16
399;ALU-00399;52;Masculino;Oeste;2022-12-11
400;ALU-00400;24;Masculino;Leste;2024-03-23
401;ALU-00401;17;Feminino;Oeste;2024-06-19
402;ALU-00402;65;Não informado;Norte;2024-04-10
403;ALU-00403;32;Feminino;Sul;2024-06-26
404;ALU-00404;50;Não informado;Centro;2024-03-04
405;ALU-00405;57;Masculino;Centro;2024-03-08
406;ALU-00406;20;Não informado;Centro;2022-11-15
407;ALU-00407;40;Feminino;Norte;2025-04-13
408;ALU-00408;39;Masculino;Norte;2023-08-08
409;ALU-00409;39;Masculino;Oeste;2025-01-03
410;ALU-00410;15;Feminino;Centro;2023-06-12
411;ALU-00411;19;Feminino;Centro;2023-06-02
412;ALU-00412;30;Masculino;Oeste;2022-11-07
413;ALU-00413;47;Masculino;Norte;2023-10-29
414;ALU-00414;26;Feminino;Norte;2023-08-27
415;ALU-00415;60;Não informado;Norte;2024-01-27
416;ALU-00416;51;Não informado;Sul;2024-08-27
417;ALU-00417;28;Feminino;Centro;2024-11-03
418;ALU-00418;19;Feminino;Norte;2024-09-13
419;ALU-00419;74;Não informado;Oeste;2024-07-27
420;ALU-00420;37;Feminino;Centro;2024-11-14
421;ALU-00421;41;Masculino;Sul;2023-10-07
422;ALU-00422;51;Feminino;Centro;2024-02-22
423;ALU-00423;65;Feminino;Oeste;2025-06-28
424;ALU-00424;27;Masculino;Centro;2025-03-06
425;ALU-00425;48;Masculino;Sul;2024-04-02
426;ALU-00426;31;Feminino;Sul;2025-01-07
427;ALU-00427;49;Feminino;Leste;2024-06-09
428;ALU-00428;34;Não informado;Centro;2025-04-13
429;ALU-00429;40;Masculino;Norte;2025-02-16
430;ALU-00430;65;Masculino;Norte;2023-07-23
431;ALU-00431;28;Feminino;Norte;2024-10-19
432;ALU-00432;54;Feminino;Norte;2023-06-29
433;ALU-00433;27;Não informado;Centro;2023-12-29
434;ALU-00434;56;Não informado;Oeste;2024-06-03
435;ALU-00435;36;Feminino;Leste;2024-04-04
436;ALU-00436;71;Masculino;Norte;2024-01-12
437;ALU-00437;72;Masculino;Oeste;2023-04-28
438;ALU-00438;46;Não informado;Oeste;2023-06-17
439;ALU-00439;37;Feminino;Centro;2024-04-30
440;ALU-00440;22;Feminino;Leste;2023-10-16
441;ALU-00441;36;Não informado;Oeste;2023-06-03
442;ALU-00442;45;Não informado;Centro;2023-04-17
443;ALU-00443;60;Masculino;Norte;2023-05-12
444;ALU-00444;41;Feminino;Norte;2023-08-01
445;ALU-00445;28;Não informado;Norte;2023-05-24
446;ALU-00446;69;Feminino;Centro;2024-02-10
447;ALU-00447;31;Masculino;Leste;2024-09-04
448;ALU-00448;60;Não informado;Norte;2024-07-03
449;ALU-00449;19;Masculino;Centro;2023-04-21
450;ALU-00450;35;Não informado;Norte;2024-08-15
451;ALU-00451;44;Feminino;Oeste;2024-07-15
452;ALU-00452;27;Não informado;Leste;2023-06-17
453;ALU-00453;47;Masculino;Norte;2025-04-15
454;ALU-00454;45;Masculino;Centro;2023-07-12
455;ALU-00455;24;Masculino;Oeste;2024-04-06
456;ALU-00456;51;Feminino;Norte;2023-04-26
457;ALU-00457;20;Feminino;Norte;2025-01-06
458;ALU-00458;50;Masculino;Centro;2022-10-05
459;ALU-00459;22;Feminino;Sul;2024-08-04
460;ALU-00460;39;Masculino;Leste;2023-12-23
461;ALU-00461;25;Feminino;Oeste;2023-01-05
462;ALU-00462;35;Masculino;Leste;2024-06-20
463;ALU-00463;63;Masculino;Centro;2024-06-26
464;ALU-00464;69;Masculino;Leste;2023-05-20
465;ALU-00465;21;Feminino;Norte;2023-02-20
466;ALU-00466;27;Masculino;Norte;2024-04-25
467;ALU-00467;69;Não informado;Leste;2025-01-11
468;ALU-00468;41;Masculino;Norte;2025-02-18
469;ALU-00469;41;Não informado;Norte;2024-02-17
470;ALU-00470;33;Feminino;Oeste;2023-03-18
471;ALU-00471;19;Masculino;Oeste;2024-07-29
472;ALU-00472;56;Feminino;Sul;2023-11-17
473;ALU-00473;18;Masculino;Oeste;2023-10-26
474;ALU-00474;19;Masculino;Leste;2024-01-04
475;ALU-00475;22;Feminino;Leste;2024-01-17
476;ALU-00476;51;Não informado;Norte;2025-04-20
477;ALU-00477;38;Não informado;Oeste;2022-10-30
478;ALU-00478;42;Não informado;Leste;2024-10-22
479;ALU-00479;53;Masculino;Leste;2023-11-05
480;ALU-00480;61;Não informado;Norte;2024-10-04
481;ALU-00481;34;Não informado;Centro;2024-07-20
482;ALU-00482;41;Feminino;Sul;2024-03-31
483;ALU-00483;54;Masculino;Sul;2024-04-19
484;ALU-00484;36;Não informado;Norte;2024-01-04
485;ALU-00485;19;Feminino;Centro;2023-02-25
486;ALU-00486;74;Masculino;Centro;2023-03-02
487;ALU-00487;55;Não informado;Sul;2023-03-29
488;ALU-00488;32;Masculino;Leste;2023-08-05
489;ALU-00489;54;Não informado;Oeste;2024-06-15
490;ALU-00490;28;Não informado;Leste;2025-06-25
491;ALU-00491;77;Feminino;Norte;2023-11-14
492;ALU-00492;35;Feminino;Leste;2022-12-03
493;ALU-00493;25;Feminino;Leste;2023-02-17
494;ALU-00494;65;Não informado;Sul;2023-04-02
495;ALU-00495;62;Masculino;Norte;2023-07-17
496;ALU-00496;78;Não informado;Centro;2025-01-06
497;ALU-00497;48;Feminino;Sul;2024-05-04
498;ALU-00498;55;Masculino;Leste;2024-07-15
499;ALU-00499;29;Feminino;Leste;2024-11-04
500;ALU-00500;21;Não informado;Centro;2024-10-28
501;ALU-00501;45;Masculino;Sul;2024-10-21
502;ALU-00502;58;Feminino;Leste;2023-01-06
503;ALU-00503;20;Não informado;Sul;2023-10-15
504;ALU-00504;18;Feminino;Centro;2025-05-04
505;ALU-00505;33;Não informado;Centro;2024-01-02
506;ALU-00506;17;Masculino;Sul;2024-03-23
507;ALU-00507;60;Não informado;Centro;2022-11-30
508;ALU-00508;53;Feminino;Sul;2025-03-23
509;ALU-00509;59;Feminino;Centro;2023-07-09
510;ALU-00510;26;Masculino;Centro;2022-10-15
511;ALU-00511;43;Masculino;Leste;2025-07-01
512;ALU-00512;46;Não informado;Sul;2025-04-25
