avaliacao_id;matricula_id;profissional_id;data_avaliacao;imc;gordura_pct;peso_kg;objetivo
38;20;35;2025-07-29;36,7;34,5;98,4;Hipertrofia
39;21;9;2026-06-14;30,5;15,5;52,0;Hipertrofia
40;21;21;2025-12-25;37,7;14,3;77,7;Emagrecimento
41;22;12;2025-07-13;32,6;26,5;96,2;Saúde
42;22;17;2026-01-19;27,8;22,7;106,5;Condicionamento
43;22;5;2026-03-20;25,4;18,0;105,5;Hipertrofia
44;23;1;2026-03-21;31,8;26,9;46,4;Hipertrofia
45;23;14;2025-07-21;33,4;23,0;101,7;Saúde
46;23;5;2025-11-25;29,9;13,2;94,6;Hipertrofia
47;24;9;2026-01-09;27,1;27,4;52,2;Saúde
48;25;26;2025-10-13;29,1;27,8;104,2;Emagrecimento
49;26;15;2026-03-04;31,9;16,5;107,7;Emagrecimento
50;26;17;2026-03-23;28,6;20,8;51,9;Saúde
51;27;10;2025-07-08;34,0;26,4;84,2;Hipertrofia
52;27;13;2026-06-29;23,3;25,2;99,9;Emagrecimento
53;27;23;2026-02-02;35,6;17,6;91,6;Saúde
54;28;20;2025-11-30;33,4;20,2;59,6;Saúde
55;29;16;2026-03-15;24,7;20,5;50,3;Hipertrofia
56;29;37;2026-03-29;26,8;16,9;105,3;Hipertrofia
57;30;31;2025-10-30;37,7;29,1;79,8;Saúde
58;31;34;2026-01-25;25,3;34,9;72,0;Hipertrofia
59;31;32;2026-06-03;22,3;15,2;92,2;Emagrecimento
60;32;38;2026-01-16;20,7;33,3;95,3;Condicionamento
61;32;21;2026-06-30;26,3;21,5;103,2;Condicionamento
62;32;30;2025-11-27;31,5;15,7;57,9;Hipertrofia
63;33;37;2025-10-16;21,9;29,6;100,4;Hipertrofia
64;34;23;2026-04-05;27,0;13,3;88,3;Condicionamento
65;34;14;2025-08-14;22,1;20,7;65,1;Emagrecimento
66;34;10;2026-03-12;29,4;17,5;79,1;Saúde
67;35;11;2025-11-06;30,6;33,5;94,8;Condicionamento
68;35;28;2025-09-29;22,7;16,9;50,6;Condicionamento
69;35;5;2026-06-13;36,2;21,6;88,4;Emagrecimento
70;36;16;2026-02-15;25,9;30,5;96,8;Emagrecimento
71;36;32;2026-03-26;25,9;15,1;86,1;Condicionamento
72;36;2;2026-01-05;25,0;31,2;47,6;Emagrecimento
73;37;19;2026-04-19;18,1;28,0;85,1;Saúde
74;37;34;2025-08-05;23,2;12,6;106,8;Hipertrofia
75;37;27;2025-09-06;18,6;12,5;53,9;Saúde
76;38;3;2025-11-25;26,6;14,3;47,8;Hipertrofia
77;38;24;2025-10-18;33,7;24,9;90,0;Condicionamento
78;38;33;2025-12-07;21,2;32,5;47,6;Saúde
79;39;26;2025-12-13;28,8;14,0;86,5;Hipertrofia
80;39;25;2025-11-21;32,0;26,6;83,8;Saúde
81;39;13;2025-12-21;30,8;27,0;79,1;Emagrecimento
82;40;33;2026-06-21;31,2;33,4;96,2;Emagrecimento
83;40;13;2026-03-08;26,3;28,2;101,1;Saúde
84;41;37;2025-11-18;22,5;29,0;58,3;Condicionamento
85;41;17;2025-11-01;35,6;33,9;90,8;Hipertrofia
86;41;27;2026-03-19;31,6;30,0;79,1;Emagrecimento
87;42;38;2025-10-25;36,6;31,9;76,9;Emagrecimento
88;42;19;2026-04-27;33,9;30,5;83,4;Condicionamento
89;43;10;2026-01-13;31,1;20,0;92,6;Saúde
90;44;27;2026-05-25;28,5;32,3;52,1;Condicionamento
91;45;25;2026-06-19;33,2;30,8;63,2;Hipertrofia
92;45;9;2026-03-10;20,9;24,0;104,2;Saúde
93;46;17;2025-09-22;33,7;17,1;98,5;Saúde
94;46;7;2026-04-26;22,2;13,4;57,9;Condicionamento
95;47;28;2025-10-12;25,0;30,4;99,6;Saúde
96;47;9;2025-08-09;30,5;34,6;70,8;Condicionamento
97;47;27;2025-11-12;31,7;32,7;55,1;Saúde
98;48;27;2026-03-01;21,7;18,4;79,1;Condicionamento
99;48;5;2026-02-11;22,7;28,5;45,4;Hipertrofia
100;48;22;2025-08-14;33,7;21,9;65,6;Saúde
101;49;31;2026-01-28;28,0;30,6;84,3;Condicionamento
102;49;34;2026-02-06;36,3;13,6;49,4;Condicionamento
103;50;30;2025-12-24;32,0;15,3;82,7;Condicionamento
104;50;5;2025-07-10;31,8;33,8;103,8;Condicionamento
105;50;4;2026-04-25;26,8;19,1;52,6;Condicionamento
106;51;31;2026-04-05;28,7;28,3;52,3;Condicionamento
107;51;22;2026-06-21;20,6;31,9;86,4;Hipertrofia
108;52;8;2025-08-20;34,5;21,0;101,3;Hipertrofia
109;52;9;2025-08-24;20,1;23,0;96,5;Hipertrofia
110;53;24;2025-12-18;26,1;16,7;70,6;Hipertrofia
111;53;15;2026-03-10;29,9;17,0;47,6;Hipertrofia
112;54;13;2025-11-21;28,1;13,3;74,0;Emagrecimento
113;54;14;2026-04-11;18,1;31,4;79,6;Emagrecimento
114;54;4;2025-07-05;37,8;15,0;68,6;Hipertrofia
115;55;33;2026-05-02;21,1;28,1;77,5;Emagrecimento
116;56;23;2025-11-05;20,1;17,1;88,3;Saúde
117;57;39;2025-10-19;31,8;26,5;84,1;Emagrecimento
118;57;14;2025-12-05;30,0;25,1;97,6;Condicionamento
119;58;16;2025-07-02;20,6;20,8;59,5;Hipertrofia
120;58;22;2026-04-09;21,0;32,4;94,4;Hipertrofia
121;59;13;2025-08-07;32,2;16,9;57,8;Condicionamento
122;59;38;2026-02-06;37,7;12,0;76,2;Hipertrofia
123;59;14;2026-02-09;21,2;18,4;66,0;Condicionamento
124;60;35;2026-04-17;24,4;25,6;49,9;Saúde
125;60;11;2025-09-15;25,3;17,7;109,0;Condicionamento
126;61;34;2026-04-09;35,4;33,3;94,2;Hipertrofia
127;62;38;2025-07-26;22,9;14,2;74,6;Hipertrofia
128;62;12;2026-03-28;21,8;19,1;80,2;Condicionamento
129;62;37;2025-11-20;27,1;21,3;47,2;Saúde
130;63;29;2025-07-30;24,0;31,6;46,7;Hipertrofia
131;63;2;2025-11-19;34,5;19,2;78,6;Saúde
132;64;9;2026-01-14;31,1;20,2;70,1;Saúde
133;65;19;2025-08-07;22,5;30,6;93,8;Hipertrofia
134;66;31;2025-11-29;35,4;31,2;96,1;Saúde
135;66;26;2025-08-08;27,3;23,7;105,8;Condicionamento
136;67;26;2025-12-17;31,0;26,9;58,6;Condicionamento
137;67;13;2025-11-14;22,6;25,1;46,1;Hipertrofia
138;68;9;2025-12-04;36,5;13,0;90,1;Emagrecimento
139;68;39;2026-04-16;37,9;34,7;46,6;Emagrecimento
140;69;11;2025-12-04;21,3;26,3;79,0;Saúde
141;70;14;2025-10-25;27,2;27,9;50,3;Hipertrofia
142;71;2;2025-12-06;31,6;32,1;88,2;Saúde
143;71;27;2025-09-25;24,9;27,5;57,7;Emagrecimento
144;71;18;2025-08-22;20,9;20,8;75,2;Condicionamento
145;72;23;2025-11-05;22,6;26,8;46,8;Condicionamento
146;72;22;2025-09-13;28,2;28,7;79,7;Emagrecimento
147;73;15;2025-10-10;25,8;28,5;86,9;Saúde
148;73;21;2026-06-06;30,6;24,9;87,9;Emagrecimento
149;74;35;2026-05-23;37,5;32,5;97,5;Emagrecimento
150;74;18;2026-06-15;29,7;22,4;89,3;Saúde
151;74;32;2025-08-12;28,7;14,5;66,1;Hipertrofia
152;75;14;2026-02-13;32,2;33,3;94,7;Condicionamento
153;75;1;2025-08-26;25,8;20,2;78,0;Saúde
154;75;36;2025-12-01;26,1;21,8;60,7;Hipertrofia
155;76;15;2026-01-08;22,7;21,2;60,1;Hipertrofia
156;76;10;2026-05-16;32,0;21,8;61,6;Emagrecimento
157;77;35;2025-09-27;33,6;13,3;48,2;Emagrecimento
158;77;10;2026-01-14;22,4;25,6;101,2;Hipertrofia
159;78;38;2026-03-09;19,8;27,4;90,6;Hipertrofia
160;78;4;2026-04-19;25,2;27,2;76,8;Condicionamento
161;78;33;2025-08-11;25,2;16,4;98,4;Condicionamento
162;79;33;2026-05-15;21,2;29,4;76,5;Hipertrofia
163;80;2;2026-02-05;26,2;16,5;62,6;Hipertrofia
164;80;17;2026-05-21;27,3;30,3;68,9;Hipertrofia
165;80;20;2025-08-17;23,5;24,7;62,7;Saúde
166;81;9;2026-01-07;28,4;22,8;59,8;Emagrecimento
167;82;2;2025-11-14;24,5;31,3;50,5;Condicionamento
168;83;37;2026-04-25;35,6;12,1;81,6;Emagrecimento
169;84;26;2025-07-06;26,7;25,5;90,6;Condicionamento
170;84;23;2025-12-03;25,7;18,9;95,1;Hipertrofia
171;84;3;2026-02-05;24,4;17,1;77,1;Hipertrofia
172;85;25;2026-05-25;27,4;17,6;46,9;Saúde
173;85;14;2026-06-26;28,6;18,3;62,4;Hipertrofia
174;85;23;2025-12-13;30,1;33,3;49,2;Emagrecimento
175;86;13;2025-08-25;32,9;30,5;61,5;Saúde
176;86;40;2025-10-31;34,0;19,4;64,5;Hipertrofia
177;87;26;2026-06-17;30,5;27,9;92,5;Condicionamento
178;87;12;2025-11-18;36,0;33,5;108,1;Hipertrofia
179;87;40;2026-05-30;33,5;16,9;100,4;Hipertrofia
180;88;37;2025-11-28;33,4;21,6;47,3;Saúde
181;88;5;2025-10-02;20,5;30,5;68,8;Condicionamento
182;88;16;2025-10-15;37,9;19,4;57,6;Hipertrofia
183;89;21;2026-02-15;24,1;33,4;55,6;Condicionamento
184;89;14;2025-12-10;30,5;16,0;102,1;Condicionamento
185;90;17;2026-06-18;21,7;33,5;48,4;Emagrecimento
186;90;12;2026-01-26;27,6;12,9;102,1;Saúde
187;91;20;2026-04-24;32,2;21,4;93,0;Emagrecimento
188;92;17;2026-02-01;35,3;25,4;109,3;Condicionamento
189;92;29;2025-08-12;20,1;28,8;72,2;Condicionamento
190;92;23;2025-11-08;27,6;24,1;105,4;Condicionamento
191;93;16;2026-02-16;27,8;34,2;107,9;Hipertrofia
192;93;38;2026-03-14;24,1;24,3;85,3;Saúde
193;94;17;2026-03-17;22,9;24,6;94,8;Hipertrofia
194;94;13;2026-06-05;37,3;18,1;68,8;Hipertrofia
195;95;17;2025-10-06;24,7;13,9;87,2;Saúde
196;96;21;2026-01-07;23,2;31,6;105,9;Saúde
197;97;23;2026-04-02;35,3;30,5;106,3;Hipertrofia
198;97;4;2026-06-16;33,6;29,1;91,6;Condicionamento
199;98;31;2025-07-17;27,3;34,1;98,2;Condicionamento
200;98;17;2025-10-07;33,8;33,2;68,4;Saúde
201;99;11;2025-12-19;25,5;22,6;64,9;Emagrecimento
202;99;23;2026-05-26;32,7;18,3;68,1;Saúde
203;99;20;2025-08-24;23,8;12,2;108,7;Emagrecimento
204;100;20;2026-03-30;28,3;30,1;52,5;Condicionamento
205;100;7;2025-07-26;18,4;29,3;58,1;Saúde
206;100;29;2025-08-13;31,2;25,7;58,4;Condicionamento
207;101;16;2026-06-25;28,7;24,6;68,7;Saúde
208;102;20;2025-10-29;22,1;15,6;87,5;Emagrecimento
209;103;37;2025-08-08;21,1;33,2;107,3;Hipertrofia
210;104;6;2026-06-14;25,5;17,2;60,1;Saúde
211;105;16;2026-01-21;26,6;27,8;104,0;Saúde
212;105;8;2025-12-30;30,9;20,0;80,2;Hipertrofia
213;106;37;2025-12-20;34,5;28,8;73,5;Hipertrofia
214;106;40;2026-01-11;36,7;20,7;65,5;Saúde
215;107;25;2026-03-30;31,0;17,0;110,0;Emagrecimento
216;107;33;2025-12-13;18,6;12,9;67,2;Saúde
217;107;6;2025-09-15;24,0;23,8;104,9;Condicionamento
218;108;36;2025-07-20;23,3;15,9;103,6;Condicionamento
219;108;37;2025-11-28;36,5;30,0;95,1;Hipertrofia
220;109;11;2026-03-10;26,6;13,9;109,9;Saúde
221;109;17;2026-05-10;25,3;17,8;66,7;Emagrecimento
222;110;22;2025-11-21;30,0;19,6;87,6;Hipertrofia
223;111;24;2026-01-30;37,9;13,5;98,0;Condicionamento
224;111;16;2025-08-18;20,6;18,4;103,4;Condicionamento
225;111;5;2026-06-07;30,7;21,6;76,7;Saúde
226;112;9;2026-01-08;27,9;28,4;92,8;Condicionamento
227;113;5;2025-09-22;24,4;16,8;85,1;Emagrecimento
228;114;38;2025-07-15;22,3;14,6;51,1;Saúde
229;114;27;2026-01-14;34,2;22,8;99,6;Hipertrofia
230;114;14;2025-11-02;35,0;29,9;81,9;Condicionamento
231;115;2;2026-02-25;32,6;33,7;71,2;Saúde
232;116;40;2025-08-05;37,3;24,2;86,6;Emagrecimento
233;116;5;2026-05-17;25,9;20,2;102,6;Emagrecimento
234;117;10;2025-09-17;26,0;18,6;53,0;Emagrecimento
235;117;32;2026-06-21;21,9;27,1;86,7;Saúde
236;117;32;2026-05-22;22,9;24,4;59,9;Condicionamento
237;118;16;2026-02-01;24,4;18,8;80,5;Emagrecimento
238;119;30;2026-04-10;19,5;30,7;73,0;Condicionamento
239;119;11;2026-05-15;34,1;31,2;72,0;Saúde
240;120;32;2025-08-22;38,0;25,2;107,8;Emagrecimento
241;121;40;2026-06-22;36,8;16,0;62,6;Condicionamento
242;121;7;2026-04-13;18,7;34,5;56,2;Saúde
243;122;7;2025-08-17;29,2;25,0;82,3;Saúde
244;122;4;2026-02-13;18,5;15,5;95,7;Condicionamento
245;123;34;2025-11-23;26,8;32,7;71,2;Saúde
246;124;5;2026-04-12;30,5;16,2;83,0;Condicionamento
247;124;35;2026-03-11;25,5;16,4;74,2;Saúde
248;124;36;2026-06-24;27,2;28,3;88,9;Hipertrofia
249;125;6;2025-12-19;26,8;31,5;47,2;Emagrecimento
250;126;21;2026-03-24;37,6;33,6;51,9;Hipertrofia
251;126;15;2026-02-22;30,2;23,7;87,6;Condicionamento
252;126;11;2025-12-10;20,6;31,6;62,2;Emagrecimento
253;127;3;2025-12-13;37,5;12,2;73,6;Hipertrofia
254;127;1;2026-03-13;18,6;26,3;46,5;Saúde
255;127;1;2026-01-15;28,1;18,7;46,3;Condicionamento
256;128;9;2026-06-13;19,4;12,8;55,7;Emagrecimento
257;128;15;2026-04-02;18,4;26,1;50,2;Condicionamento
258;128;26;2026-02-01;25,8;29,4;83,7;Emagrecimento
259;129;23;2025-10-17;19,8;28,3;84,6;Hipertrofia
260;129;13;2026-04-10;21,5;17,3;88,1;Saúde
261;129;1;2026-05-20;22,5;19,5;57,8;Emagrecimento
262;130;17;2025-12-03;22,8;30,9;79,9;Emagrecimento
263;131;16;2026-05-10;33,3;32,4;51,7;Saúde
264;132;5;2025-07-02;25,4;19,0;45,6;Emagrecimento
265;132;34;2026-04-16;37,8;13,7;91,1;Emagrecimento
266;133;10;2026-04-11;21,7;20,7;62,3;Condicionamento
267;133;14;2025-09-02;34,0;30,9;69,8;Hipertrofia
268;133;23;2026-05-18;30,9;25,4;62,5;Saúde
269;134;14;2026-06-16;30,7;28,2;86,3;Saúde
270;134;35;2025-09-14;33,2;25,4;81,0;Hipertrofia
271;135;14;2026-02-24;36,6;12,3;49,9;Hipertrofia
272;135;37;2025-11-21;31,9;17,0;89,7;Emagrecimento
273;136;23;2025-11-01;36,6;13,4;84,4;Emagrecimento
274;137;38;2026-03-05;31,8;23,2;94,2;Condicionamento
275;137;28;2025-08-02;32,3;17,2;94,1;Hipertrofia
276;138;39;2026-06-07;28,2;22,7;50,4;Saúde
277;138;21;2026-02-10;30,6;20,5;99,0;Condicionamento
278;139;18;2026-06-09;19,2;15,8;71,7;Hipertrofia
279;139;37;2026-02-09;23,5;33,4;83,4;Emagrecimento
280;139;8;2025-09-27;34,8;24,4;100,8;Hipertrofia
281;140;26;2026-04-24;25,5;15,6;96,8;Condicionamento
282;141;6;2025-08-04;28,0;26,8;81,3;Emagrecimento
283;141;8;2025-09-24;35,1;16,2;60,0;Emagrecimento
284;141;6;2025-09-16;34,9;19,3;100,0;Hipertrofia
285;142;9;2026-01-09;37,2;28,5;62,3;Condicionamento
286;142;34;2026-03-10;28,4;28,0;61,3;Emagrecimento
287;142;1;2026-06-25;25,6;16,9;66,2;Condicionamento
288;143;35;2025-09-13;34,7;18,5;53,9;Emagrecimento
289;143;37;2025-12-30;18,2;25,0;57,8;Hipertrofia
290;144;31;2026-05-03;23,2;13,7;101,3;Saúde
291;144;39;2025-09-28;31,0;19,3;57,0;Saúde
292;144;16;2026-06-04;32,9;23,5;103,8;Condicionamento
293;145;5;2025-09-24;21,1;25,6;47,6;Condicionamento
294;145;24;2026-06-10;29,3;18,4;73,2;Hipertrofia
295;146;25;2026-04-28;18,9;17,4;48,4;Emagrecimento
296;146;36;2026-06-19;25,3;17,4;65,9;Saúde
297;146;23;2026-06-16;28,7;24,6;110,0;Condicionamento
298;147;34;2026-01-05;32,6;32,9;52,7;Hipertrofia
299;147;3;2025-09-20;35,3;17,5;72,2;Emagrecimento
300;147;33;2026-05-11;32,5;13,3;60,0;Emagrecimento
301;148;20;2026-01-11;23,7;20,4;96,9;Hipertrofia
302;149;34;2026-03-20;18,8;17,3;82,5;Saúde
303;150;15;2025-08-03;35,3;28,2;89,2;Emagrecimento
304;151;37;2026-02-09;23,4;19,2;99,4;Emagrecimento
305;151;19;2025-07-28;21,3;28,2;88,2;Saúde
306;151;40;2026-02-06;31,6;26,6;90,5;Emagrecimento
307;152;3;2026-02-09;18,3;33,7;76,6;Saúde
308;152;3;2026-06-28;28,8;24,0;45,4;Emagrecimento
309;152;28;2025-12-04;20,8;27,2;49,3;Condicionamento
310;153;37;2026-05-21;20,0;23,7;92,6;Hipertrofia
311;153;29;2025-07-30;22,6;17,0;91,8;Emagrecimento
312;153;27;2026-05-27;24,1;15,2;90,4;Condicionamento
313;154;35;2026-02-27;33,4;33,4;103,5;Hipertrofia
314;154;32;2026-03-24;29,3;12,6;77,1;Saúde
315;155;37;2026-03-14;32,4;15,3;101,8;Hipertrofia
316;156;21;2026-05-24;19,9;16,4;60,8;Hipertrofia
317;156;13;2025-12-13;36,8;22,8;94,0;Saúde
318;156;9;2026-02-05;31,0;30,0;107,7;Saúde
319;157;34;2025-10-17;21,5;18,1;54,1;Hipertrofia
320;157;7;2026-06-15;31,7;34,1;69,1;Saúde
321;158;23;2025-12-30;25,8;23,2;92,7;Saúde
322;158;38;2025-10-13;18,5;17,2;48,3;Condicionamento
323;159;11;2026-04-15;32,9;29,7;71,0;Hipertrofia
324;159;24;2025-11-10;22,8;19,8;104,3;Saúde
325;159;14;2026-04-28;29,7;15,3;87,7;Hipertrofia
326;160;11;2026-03-07;33,4;25,5;88,9;Hipertrofia
327;160;10;2025-11-04;32,0;16,2;69,6;Saúde
328;160;23;2025-07-16;18,1;33,3;71,3;Saúde
329;161;8;2026-05-12;26,2;14,5;82,3;Hipertrofia
330;161;5;2025-11-22;34,1;33,4;62,7;Emagrecimento
331;162;2;2025-10-17;25,8;29,4;94,2;Emagrecimento
332;163;18;2026-05-12;31,2;27,2;105,2;Hipertrofia
333;163;31;2026-03-24;29,5;15,8;90,6;Hipertrofia
334;164;4;2026-04-18;24,9;13,8;57,7;Hipertrofia
335;165;20;2025-12-22;33,4;20,6;90,0;Emagrecimento
336;166;27;2026-05-26;31,9;15,6;48,5;Emagrecimento
337;167;29;2026-02-22;35,2;28,2;96,7;Condicionamento
338;167;6;2026-03-28;32,1;14,4;76,0;Saúde
339;168;38;2025-11-18;26,8;28,5;76,8;Hipertrofia
340;169;32;2026-04-15;28,5;26,8;81,6;Saúde
341;169;15;2025-11-29;20,5;18,9;93,2;Hipertrofia
342;169;2;2025-08-14;21,3;32,5;89,4;Hipertrofia
343;170;3;2025-10-30;29,5;24,3;81,8;Saúde
344;170;20;2025-09-14;22,8;24,8;77,2;Condicionamento
345;170;13;2025-07-23;37,3;28,6;89,5;Saúde
346;171;9;2025-12-05;23,6;28,9;62,3;Emagrecimento
347;172;34;2026-02-25;36,0;16,3;104,8;Hipertrofia
348;172;19;2025-09-09;18,4;34,6;89,4;Condicionamento
349;172;28;2026-04-11;23,9;21,0;105,6;Condicionamento
350;173;17;2026-06-01;28,4;24,9;75,8;Hipertrofia
351;174;14;2025-08-10;33,8;32,9;101,7;Saúde
352;174;21;2026-04-20;33,2;32,5;69,9;Emagrecimento
353;175;9;2026-04-05;26,6;33,9;53,5;Emagrecimento
354;175;24;2026-01-05;31,7;30,7;73,2;Condicionamento
355;175;32;2026-02-01;31,5;23,4;69,4;Saúde
356;176;15;2026-06-13;19,6;32,8;65,6;Condicionamento
357;176;3;2026-06-19;19,7;13,7;48,6;Hipertrofia
358;176;5;2025-12-04;25,0;13,9;89,4;Saúde
359;177;30;2026-06-17;18,5;17,5;57,7;Condicionamento
360;177;16;2026-03-29;28,4;17,6;50,6;Emagrecimento
361;177;27;2025-09-07;18,0;14,5;78,3;Saúde
362;178;22;2025-08-13;31,9;24,5;90,9;Emagrecimento
363;179;2;2025-10-28;20,3;34,8;58,8;Hipertrofia
364;179;25;2025-10-19;22,2;32,0;58,4;Emagrecimento
365;179;40;2025-08-20;34,3;31,4;87,6;Saúde
366;180;20;2025-09-13;33,4;24,3;57,5;Saúde
367;180;33;2025-10-22;20,1;21,4;86,0;Condicionamento
368;181;21;2026-05-20;21,5;22,0;86,4;Saúde
369;181;3;2025-11-25;19,1;30,9;104,2;Condicionamento
370;182;16;2025-08-05;33,2;12,6;73,0;Saúde
371;182;37;2025-11-29;20,5;22,1;104,2;Condicionamento
372;182;10;2025-08-17;37,6;24,1;79,5;Condicionamento
373;183;2;2025-10-27;20,4;32,2;64,8;Condicionamento
374;183;40;2025-12-11;18,4;28,6;89,1;Condicionamento
375;183;21;2026-04-30;33,0;14,6;81,7;Saúde
376;184;24;2026-04-24;32,2;28,1;70,2;Saúde
377;185;39;2025-10-19;26,1;20,2;48,0;Hipertrofia
378;186;7;2026-04-16;27,3;34,9;46,5;Condicionamento
379;186;40;2025-10-21;20,9;19,1;79,1;Condicionamento
380;187;31;2026-03-23;32,3;31,9;82,7;Emagrecimento
381;187;16;2026-04-02;22,7;14,9;96,6;Hipertrofia
382;187;20;2026-05-23;36,2;26,2;58,0;Hipertrofia
383;188;35;2025-09-16;25,8;29,4;68,9;Condicionamento
384;188;13;2025-08-29;26,4;25,4;96,9;Saúde
385;189;6;2025-12-10;28,7;34,1;78,4;Saúde
386;190;16;2025-12-07;35,3;18,9;97,2;Condicionamento
387;190;22;2025-08-17;26,4;28,0;94,7;Hipertrofia
388;190;8;2025-11-09;29,8;33,8;107,4;Condicionamento
389;191;11;2025-09-27;32,3;18,3;89,7;Condicionamento
390;191;30;2026-04-25;22,1;34,2;68,8;Hipertrofia
391;192;10;2026-06-09;19,9;21,8;91,5;Condicionamento
392;192;40;2025-12-10;30,9;25,7;80,5;Saúde
393;192;3;2026-04-17;21,6;23,6;88,4;Hipertrofia
394;193;15;2026-05-04;26,8;12,3;96,9;Hipertrofia
395;194;31;2025-07-31;37,1;17,2;82,3;Saúde
396;194;6;2026-06-10;32,0;15,2;79,3;Hipertrofia
397;194;14;2026-04-29;26,7;15,0;51,8;Hipertrofia
398;195;19;2026-06-22;32,8;14,9;57,9;Condicionamento
399;195;23;2025-08-31;32,1;24,9;62,5;Hipertrofia
400;196;29;2025-12-06;29,4;26,8;48,8;Hipertrofia
401;196;28;2025-09-28;28,3;18,7;84,2;Saúde
402;197;38;2026-05-13;19,6;33,4;68,5;Condicionamento
403;197;20;2026-01-29;22,0;18,6;81,0;Saúde
404;198;14;2026-06-24;18,2;30,0;93,1;Condicionamento
405;199;29;2025-09-02;23,4;34,1;109,0;Emagrecimento
406;199;32;2026-03-26;27,4;27,6;57,6;Emagrecimento
407;200;23;2025-10-20;36,1;23,1;47,8;Saúde
408;200;32;2025-10-04;31,4;21,5;105,6;Saúde
409;201;25;2026-05-21;30,6;13,2;91,7;Condicionamento
410;201;10;2025-12-30;20,3;18,0;65,8;Saúde
411;201;24;2026-01-27;34,0;22,8;69,9;Hipertrofia
412;202;3;2025-07-28;19,4;27,7;78,9;Condicionamento
413;203;10;2026-06-27;30,1;13,9;80,9;Saúde
414;203;18;2025-08-05;28,3;25,6;89,9;Condicionamento
415;204;25;2026-02-20;27,9;13,9;57,2;Emagrecimento
416;205;22;2026-01-05;27,5;12,2;50,3;Saúde
417;206;1;2025-09-27;21,7;15,8;84,4;Hipertrofia
418;207;11;2026-04-28;31,8;31,2;76,1;Hipertrofia
419;208;13;2026-06-14;30,0;14,4;75,1;Emagrecimento
420;208;30;2025-11-03;22,3;18,0;57,7;Hipertrofia
421;208;19;2026-03-07;37,2;32,7;75,3;Emagrecimento
422;209;26;2025-09-20;33,8;26,3;98,2;Saúde
423;210;21;2026-01-17;23,1;24,1;83,2;Condicionamento
424;210;6;2025-12-22;29,9;18,9;101,6;Condicionamento
425;210;30;2025-07-07;35,0;14,3;72,9;Hipertrofia
426;211;39;2026-06-10;31,1;17,7;63,1;Hipertrofia
427;212;22;2025-10-03;21,3;26,2;88,8;Condicionamento
428;212;11;2025-09-01;20,7;29,1;79,5;Saúde
429;212;23;2025-11-08;23,4;18,4;56,6;Condicionamento
430;213;1;2026-01-01;31,5;35,0;96,0;Emagrecimento
431;213;26;2025-09-25;29,6;29,1;53,6;Emagrecimento
432;213;39;2026-01-22;36,9;29,4;91,4;Emagrecimento
433;214;21;2026-04-16;24,8;26,5;97,1;Saúde
434;215;11;2025-09-06;33,2;20,3;50,7;Condicionamento
