honorario_id,processo_id,modelo_cobranca,valor_contratado,percentual_exito,data_contrato,status
75,75,Fixo,14121.18,4887.77,2026-02-12,Quitado
76,76,Fixo,32157.24,4609.11,2025-10-05,Ativo
77,77,Fixo,12929.37,2790.12,2026-01-25,Quitado
78,78,Êxito,29695.93,5066.81,2025-08-20,Em atraso
79,79,Misto,27198.07,4473.16,2025-07-13,Em atraso
80,80,Misto,39093.27,1342.63,2026-02-24,Ativo
81,81,Hora,37617.65,1453.0,2025-12-22,Quitado
82,82,Hora,23426.28,972.18,2026-05-10,Em atraso
83,83,Fixo,31629.88,2353.3,2025-12-07,Ativo
84,84,Fixo,32981.2,4252.16,2026-02-23,Quitado
85,85,Fixo,7356.71,684.3,2025-08-05,Em atraso
86,86,Misto,25565.46,6369.9,2026-03-30,Em atraso
87,87,Hora,32478.99,8131.22,2025-08-03,Quitado
88,88,Hora,9673.21,1846.4,2025-08-18,Ativo
89,89,Êxito,35676.12,12473.95,2025-07-27,Ativo
90,90,Êxito,2879.43,865.93,2025-09-29,Quitado
91,91,Hora,37527.12,1656.19,2025-08-01,Quitado
92,92,Êxito,20248.38,5353.04,2025-10-08,Ativo
93,93,Hora,13807.22,293.95,2025-12-17,Quitado
94,94,Misto,11813.19,3370.87,2026-05-03,Quitado
95,95,Fixo,43379.44,12951.23,2026-04-06,Ativo
96,96,Misto,16386.39,3172.9,2025-09-14,Quitado
97,97,Êxito,7578.89,442.97,2025-12-09,Quitado
98,98,Hora,14934.02,234.03,2025-12-01,Quitado
99,99,Fixo,11023.52,2216.09,2026-05-12,Ativo
100,100,Misto,22278.34,485.66,2025-12-07,Quitado
101,101,Hora,3897.05,1027.26,2025-08-18,Em atraso
102,102,Misto,38741.23,4497.76,2026-04-25,Ativo
103,103,Hora,24316.42,7181.11,2026-06-26,Ativo
104,104,Fixo,6729.16,2306.81,2026-05-28,Ativo
105,105,Misto,34047.99,5613.37,2025-08-17,Ativo
106,106,Hora,22883.29,5007.52,2026-04-22,Em atraso
107,107,Hora,21708.45,3456.18,2025-11-06,Quitado
108,108,Fixo,10854.13,3365.8,2025-07-09,Quitado
109,109,Êxito,35252.74,8055.15,2025-11-02,Em atraso
110,110,Fixo,11682.08,3739.98,2025-08-15,Ativo
111,111,Misto,25697.28,4953.3,2025-12-24,Ativo
112,112,Êxito,22966.9,4765.36,2026-05-19,Em atraso
113,113,Êxito,25182.73,1226.9,2025-07-12,Quitado
114,114,Misto,7151.25,1986.69,2025-07-15,Em atraso
115,115,Hora,23323.96,7125.43,2025-09-27,Ativo
116,116,Êxito,6991.7,2024.87,2025-09-18,Quitado
117,117,Fixo,3630.71,589.45,2025-11-28,Ativo
118,118,Hora,15564.98,2716.49,2026-01-06,Ativo
119,119,Misto,41262.04,11900.57,2025-12-23,Em atraso
120,120,Hora,32235.0,6158.4,2026-06-25,Quitado
121,121,Êxito,29003.06,8522.11,2026-03-28,Ativo
122,122,Êxito,12880.32,1651.48,2025-07-27,Em atraso
123,123,Fixo,28288.96,5628.98,2025-08-12,Em atraso
124,124,Misto,39207.71,4178.23,2026-04-11,Ativo
125,125,Êxito,7666.81,1973.88,2025-11-26,Em atraso
126,126,Hora,14874.03,4019.13,2025-11-20,Ativo
127,127,Hora,20128.07,3583.5,2026-04-27,Em atraso
128,128,Hora,44674.26,13743.49,2025-12-17,Quitado
129,129,Misto,36240.5,4937.07,2025-08-09,Quitado
130,130,Misto,26800.31,8439.36,2025-08-12,Quitado
131,131,Hora,34688.98,11824.12,2025-11-05,Quitado
132,132,Fixo,36143.01,7839.99,2025-09-12,Ativo
133,133,Fixo,3953.52,564.16,2026-03-10,Ativo
134,134,Fixo,29755.84,5327.16,2026-02-12,Em atraso
135,135,Fixo,27441.68,8451.45,2025-09-04,Quitado
136,136,Êxito,36689.14,8234.09,2025-10-31,Quitado
137,137,Fixo,15947.02,1044.73,2026-02-09,Ativo
138,138,Êxito,20860.88,4422.48,2026-01-21,Ativo
139,139,Misto,17729.17,2742.41,2026-06-20,Ativo
140,140,Hora,44666.23,10845.7,2025-10-16,Ativo
141,141,Fixo,32613.45,3846.91,2026-06-14,Ativo
142,142,Êxito,39316.54,4057.86,2026-04-11,Quitado
143,143,Fixo,40583.5,4019.95,2025-12-17,Em atraso
144,144,Fixo,9356.31,1639.3,2026-03-18,Ativo
145,145,Fixo,4742.38,784.85,2025-10-05,Ativo
146,146,Êxito,24814.09,8378.1,2026-06-06,Em atraso
147,147,Fixo,37644.6,13165.76,2025-12-13,Ativo
148,148,Misto,27888.47,4365.13,2026-01-06,Em atraso
149,149,Misto,16953.8,4434.16,2025-10-14,Ativo
150,150,Misto,35245.95,4405.76,2025-11-25,Quitado
151,151,Hora,44504.13,3270.19,2026-02-12,Quitado
152,152,Êxito,23391.25,3173.22,2025-09-14,Ativo
153,153,Hora,20500.79,3909.94,2026-01-30,Em atraso
154,154,Hora,14456.38,2122.68,2026-01-16,Ativo
155,155,Fixo,5776.49,923.29,2026-06-17,Em atraso
156,156,Hora,2439.86,97.26,2025-10-15,Quitado
157,157,Hora,4088.97,238.06,2026-04-01,Ativo
158,158,Êxito,18452.1,3664.4,2025-12-09,Ativo
159,159,Êxito,29254.23,4105.71,2026-05-29,Em atraso
160,160,Fixo,27268.68,5485.41,2025-07-29,Quitado
161,161,Misto,9738.39,2125.41,2025-11-28,Em atraso
162,162,Fixo,28005.16,5993.7,2025-11-10,Ativo
163,163,Misto,29002.45,4722.01,2026-03-30,Em atraso
164,164,Misto,23226.91,1218.57,2025-08-06,Ativo
165,165,Misto,37530.89,7898.49,2025-12-18,Ativo
166,166,Misto,13804.87,1589.02,2025-08-31,Ativo
167,167,Misto,7304.37,2460.62,2026-03-25,Ativo
168,168,Êxito,12339.09,2246.78,2026-03-31,Ativo
169,169,Êxito,24327.87,293.69,2026-02-20,Em atraso
170,170,Misto,8359.42,1756.07,2025-07-01,Quitado
171,171,Êxito,24078.51,7821.3,2025-08-26,Em atraso
172,172,Hora,24672.87,2605.49,2026-02-24,Ativo
173,173,Fixo,7948.4,289.18,2026-06-02,Em atraso
174,174,Fixo,2295.15,250.38,2026-03-01,Em atraso
175,175,Misto,36099.0,7213.23,2026-02-08,Quitado
176,176,Fixo,38507.6,12507.91,2025-12-30,Em atraso
177,177,Hora,25805.11,3430.52,2025-12-04,Quitado
178,178,Êxito,15905.13,394.91,2025-11-10,Em atraso
179,179,Hora,31690.7,3119.18,2025-07-07,Quitado
180,180,Hora,18060.56,5444.38,2025-10-09,Em atraso
181,181,Fixo,5473.94,1493.72,2026-02-16,Quitado
182,182,Fixo,30247.9,4922.57,2026-03-30,Ativo
183,183,Fixo,42988.46,7171.13,2026-03-04,Quitado
184,184,Misto,32986.92,1396.08,2025-11-12,Quitado
185,185,Misto,18647.51,5293.83,2026-01-25,Ativo
186,186,Hora,3770.99,529.01,2025-12-18,Quitado
187,187,Fixo,3111.85,524.32,2025-07-26,Ativo
188,188,Êxito,8256.38,1587.11,2025-12-21,Em atraso
189,189,Misto,12360.53,1502.01,2026-06-23,Em atraso
190,190,Hora,39774.47,12308.03,2026-03-02,Quitado
191,191,Misto,42524.28,465.86,2026-02-18,Ativo
192,192,Êxito,24608.37,7913.66,2026-06-13,Em atraso
193,193,Hora,43691.23,512.03,2026-04-06,Em atraso
194,194,Fixo,7445.03,757.67,2025-12-12,Quitado
195,195,Hora,23379.62,4579.26,2025-10-22,Ativo
196,196,Misto,27205.03,7500.92,2026-04-14,Quitado
197,197,Êxito,8427.04,1936.61,2026-03-06,Ativo
198,198,Fixo,26709.52,2460.42,2025-07-28,Quitado
199,199,Fixo,3005.65,916.72,2026-05-20,Quitado
200,200,Misto,35299.44,789.31,2025-07-27,Ativo
201,201,Hora,5064.59,683.04,2025-08-11,Ativo
202,202,Êxito,1506.17,357.16,2025-11-24,Em atraso
203,203,Misto,5510.29,1276.88,2025-09-23,Quitado
204,204,Êxito,30499.9,3665.44,2026-06-30,Quitado
205,205,Misto,3317.17,962.85,2026-04-07,Quitado
206,206,Êxito,9530.33,1874.4,2026-06-27,Quitado
207,207,Fixo,32748.77,9018.27,2026-03-29,Ativo
208,208,Misto,32440.91,9863.72,2025-07-20,Ativo
209,209,Fixo,9616.84,2554.44,2026-04-04,Em atraso
210,210,Êxito,15461.74,3569.31,2025-09-30,Quitado
211,211,Fixo,25323.26,5987.55,2026-01-24,Em atraso
212,212,Êxito,31290.25,3007.37,2025-12-25,Ativo
213,213,Êxito,5097.72,1586.87,2026-01-09,Quitado
214,214,Fixo,6759.35,1319.08,2025-07-11,Em atraso
215,215,Êxito,23294.29,6788.8,2025-10-12,Em atraso
216,216,Hora,32620.89,5607.7,2026-01-23,Ativo
217,217,Misto,17650.93,3651.59,2025-07-30,Quitado
218,218,Misto,12279.23,2086.53,2026-02-11,Ativo
219,219,Hora,10113.91,702.85,2025-12-27,Em atraso
220,220,Hora,12640.0,320.03,2025-11-20,Em atraso
221,221,Hora,25651.6,1543.19,2025-11-08,Ativo
222,222,Misto,41576.03,11656.29,2026-04-29,Em atraso
223,223,Hora,4959.67,876.96,2025-08-02,Em atraso
224,224,Êxito,44519.99,14199.16,2025-12-10,Em atraso
225,225,Misto,7246.45,1896.73,2025-12-07,Ativo
226,226,Hora,19810.02,1933.16,2026-05-18,Em atraso
227,227,Fixo,42434.39,2243.01,2025-09-05,Em atraso
228,228,Hora,41573.69,2042.3,2026-05-09,Ativo
229,229,Misto,33964.79,4160.83,2025-07-08,Em atraso
230,230,Misto,4450.67,334.46,2025-08-19,Em atraso
231,231,Misto,40462.52,6061.64,2026-02-17,Ativo
232,232,Misto,11335.08,579.42,2026-06-05,Em atraso
233,233,Hora,12510.06,925.22,2026-05-07,Ativo
234,234,Fixo,28628.01,4240.68,2025-08-27,Quitado
235,235,Fixo,25900.06,1837.42,2025-07-06,Ativo
236,236,Misto,15470.97,2734.37,2025-12-07,Em atraso
237,237,Fixo,1507.51,414.49,2025-12-10,Em atraso
238,238,Êxito,33512.48,6413.68,2025-08-23,Quitado
239,239,Fixo,38313.59,4806.41,2025-09-12,Quitado
240,240,Fixo,25824.13,6319.04,2026-04-24,Quitado
241,241,Fixo,40439.52,3434.53,2026-02-18,Em atraso
242,242,Êxito,42298.35,3518.49,2025-10-14,Ativo
243,243,Misto,39231.27,1367.01,2026-02-12,Quitado
244,244,Êxito,22949.75,5520.82,2025-08-10,Quitado
245,245,Hora,13926.18,973.12,2026-06-16,Em atraso
246,246,Hora,35401.67,6047.61,2026-06-13,Ativo
247,247,Misto,38611.32,1609.37,2025-07-18,Em atraso
248,248,Misto,40458.47,14064.94,2026-01-24,Em atraso
249,249,Misto,7096.98,708.23,2026-06-08,Em atraso
250,250,Misto,34811.68,11661.55,2026-04-01,Ativo
251,251,Êxito,31572.84,5235.33,2025-11-16,Quitado
252,252,Misto,1998.36,376.83,2025-12-06,Ativo
253,253,Hora,21948.94,285.16,2025-09-01,Em atraso
254,254,Misto,20385.55,4062.71,2025-11-19,Ativo
255,255,Êxito,17049.51,436.44,2025-09-28,Em atraso
256,256,Hora,19074.65,3243.65,2026-04-29,Em atraso
257,257,Fixo,7530.43,329.63,2025-11-05,Quitado
258,258,Êxito,41089.72,4884.43,2025-10-25,Em atraso
259,259,Hora,11959.04,1852.69,2026-01-07,Em atraso
260,260,Fixo,16653.27,5396.29,2025-10-17,Quitado
261,261,Fixo,3608.87,706.96,2025-07-12,Em atraso
262,262,Misto,36462.32,512.11,2026-01-17,Em atraso
263,263,Misto,42726.56,1955.08,2025-10-08,Em atraso
264,264,Misto,1638.6,420.95,2026-06-06,Quitado
265,265,Êxito,34196.51,1449.72,2026-06-07,Ativo
266,266,Misto,4344.6,440.37,2026-03-06,Quitado
267,267,Fixo,22258.83,385.44,2025-11-05,Ativo
268,268,Misto,38891.99,13461.64,2025-09-13,Em atraso
269,269,Misto,33419.75,144.73,2026-04-25,Quitado
270,270,Hora,39222.36,9157.23,2026-05-26,Quitado
271,271,Misto,18295.97,1923.53,2026-02-19,Em atraso
272,272,Fixo,3561.14,951.38,2025-09-13,Quitado
273,273,Hora,17289.22,3398.0,2025-11-20,Quitado
274,274,Misto,10245.57,1319.91,2025-10-30,Ativo
275,275,Misto,35806.68,9789.86,2025-12-06,Em atraso
276,276,Fixo,14305.2,4535.64,2026-03-25,Quitado
277,277,Misto,3634.77,1044.76,2025-12-24,Quitado
278,278,Fixo,33279.33,152.62,2025-08-25,Quitado
279,279,Fixo,23377.46,4669.02,2025-09-14,Ativo
280,280,Hora,26172.02,1367.16,2025-07-02,Ativo
281,281,Hora,13951.47,3700.35,2025-08-13,Ativo
282,282,Hora,34213.32,1000.05,2026-05-03,Quitado
283,283,Misto,30266.32,7992.14,2025-08-01,Quitado
284,284,Fixo,31222.44,3926.4,2026-06-15,Em atraso
285,285,Fixo,22324.59,7268.11,2026-05-30,Quitado
286,286,Hora,32324.31,2535.87,2025-09-03,Quitado
287,287,Êxito,33896.26,10491.66,2025-11-03,Quitado
288,288,Misto,12471.16,305.69,2026-01-01,Ativo
289,289,Fixo,10868.23,3225.31,2025-11-06,Ativo
290,290,Fixo,26116.78,7227.79,2025-12-09,Ativo
291,291,Fixo,6018.02,513.75,2025-12-19,Quitado
292,292,Hora,42674.36,6134.86,2026-02-20,Ativo
293,293,Misto,31654.54,4313.16,2025-07-05,Ativo
294,294,Êxito,30543.13,4305.44,2025-07-08,Ativo
295,295,Hora,39858.79,479.17,2025-07-07,Em atraso
296,296,Fixo,5076.99,58.06,2026-02-19,Quitado
297,297,Hora,44780.96,11430.25,2026-06-19,Ativo
298,298,Fixo,24884.3,7286.51,2025-08-23,Quitado
299,299,Hora,43156.41,5442.02,2025-07-14,Quitado
300,300,Hora,44958.29,9376.54,2026-06-06,Em atraso
301,301,Fixo,10220.27,1776.32,2025-10-22,Quitado
302,302,Misto,15202.49,1782.23,2026-02-01,Quitado
303,303,Misto,33347.81,1803.86,2026-01-16,Quitado
304,304,Misto,34250.08,3463.78,2026-02-07,Em atraso
305,305,Êxito,38533.46,12214.06,2026-05-08,Quitado
306,306,Êxito,7368.04,2227.06,2026-04-18,Ativo
307,307,Hora,31183.95,7613.39,2026-06-13,Em atraso
308,308,Misto,8077.7,2125.76,2026-03-24,Ativo
309,309,Fixo,40827.86,9643.87,2025-07-02,Quitado
310,310,Êxito,3255.84,975.02,2026-06-17,Quitado
311,311,Misto,28205.04,152.64,2026-03-15,Ativo
312,312,Êxito,42196.6,6172.51,2025-11-06,Em atraso
313,313,Fixo,7319.08,1702.2,2026-05-28,Ativo
314,314,Êxito,1686.3,462.36,2026-03-10,Ativo
315,315,Hora,16441.72,2199.4,2025-08-30,Quitado
316,316,Hora,29927.56,284.28,2025-07-20,Quitado
317,317,Fixo,35734.71,11516.77,2026-03-27,Quitado
318,318,Misto,12295.82,2721.28,2025-12-08,Em atraso
319,319,Hora,35706.06,11203.17,2026-02-16,Em atraso
320,320,Misto,35308.78,11688.34,2026-01-10,Em atraso
321,321,Fixo,5577.59,1667.8,2026-01-08,Em atraso
322,322,Hora,27502.38,9368.66,2026-03-13,Em atraso
323,323,Misto,36954.96,6089.05,2026-06-09,Quitado
324,324,Êxito,34226.82,10240.95,2025-10-30,Em atraso
325,325,Fixo,28566.16,4831.43,2026-06-21,Em atraso
326,326,Êxito,10870.37,1769.63,2026-05-12,Ativo
327,327,Hora,25815.82,1419.01,2025-10-03,Em atraso
328,328,Êxito,1825.14,192.59,2026-05-26,Quitado
329,329,Misto,7588.81,120.35,2026-03-04,Em atraso
330,330,Misto,13103.59,4548.79,2026-03-13,Quitado
331,331,Hora,16815.09,1674.65,2026-02-09,Quitado
332,332,Misto,1629.87,230.12,2025-12-04,Ativo
333,333,Hora,27349.51,7475.51,2026-06-26,Ativo
334,334,Misto,32970.38,124.31,2025-07-08,Ativo
335,335,Fixo,5564.95,1873.08,2025-07-27,Ativo
336,336,Fixo,43527.69,14267.23,2025-09-11,Em atraso
337,337,Fixo,37334.61,5290.29,2026-04-27,Quitado
338,338,Fixo,23718.62,4124.42,2025-10-04,Ativo
339,339,Êxito,21407.83,5139.25,2025-12-15,Quitado
340,340,Êxito,35150.01,10878.06,2026-04-13,Quitado
341,341,Misto,22854.53,6666.58,2026-01-09,Em atraso
342,342,Êxito,38361.63,2373.89,2025-12-21,Em atraso
343,343,Hora,20331.69,6571.65,2026-01-07,Quitado
344,344,Êxito,43840.52,8820.38,2025-09-06,Ativo
345,345,Êxito,18883.14,4555.06,2026-03-07,Ativo
346,346,Êxito,11165.61,1699.41,2025-07-22,Ativo
347,347,Êxito,20893.78,6911.18,2026-01-08,Quitado
348,348,Êxito,25418.92,3086.08,2025-10-25,Quitado
349,349,Hora,13640.53,66.09,2026-04-08,Em atraso
350,350,Êxito,12423.64,2667.42,2025-10-14,Ativo
351,351,Hora,33622.61,7512.18,2026-03-02,Quitado
352,352,Êxito,30370.53,8202.39,2025-12-03,Ativo
353,353,Fixo,40960.48,234.93,2025-12-24,Em atraso
354,354,Êxito,6897.87,2306.2,2025-11-12,Ativo
355,355,Misto,42670.88,3385.41,2025-08-29,Ativo
356,356,Fixo,20563.73,1644.72,2025-07-24,Ativo
357,357,Fixo,8688.87,2343.63,2026-01-08,Quitado
358,358,Fixo,26979.8,2671.72,2026-02-13,Quitado
359,359,Fixo,39507.42,11997.14,2025-08-17,Quitado
360,360,Fixo,9074.76,1367.55,2025-09-14,Em atraso
361,361,Hora,14920.26,3427.86,2025-07-16,Em atraso
362,362,Misto,6224.75,1553.12,2026-04-07,Ativo
363,363,Hora,4144.66,533.21,2026-01-08,Ativo
364,364,Êxito,31250.33,7759.83,2025-10-25,Ativo
365,365,Hora,21152.7,499.3,2025-07-27,Quitado
366,366,Misto,22758.16,6809.98,2026-04-10,Em atraso
367,367,Fixo,32052.36,9578.36,2025-08-01,Ativo
368,368,Fixo,43550.25,4540.28,2025-12-12,Ativo
369,369,Hora,44305.24,103.81,2025-10-20,Em atraso
370,370,Êxito,39448.51,352.24,2025-08-24,Ativo
371,371,Fixo,24264.15,6989.75,2025-11-19,Ativo
372,372,Misto,16780.93,3620.11,2025-07-25,Em atraso
373,373,Êxito,36371.28,7786.74,2025-07-24,Quitado
374,374,Misto,44661.17,3460.86,2026-06-02,Ativo
375,375,Hora,3416.56,893.19,2025-09-09,Quitado
376,376,Hora,1551.85,521.67,2025-09-11,Ativo
377,377,Hora,13398.17,4138.27,2026-01-19,Quitado
378,378,Hora,10545.88,732.21,2026-03-01,Ativo
379,379,Fixo,24308.81,1469.78,2026-01-15,Em atraso
380,380,Êxito,35835.78,2671.17,2026-04-15,Quitado
381,381,Fixo,23904.77,2456.75,2025-09-14,Quitado
382,382,Êxito,36063.29,3834.63,2026-06-10,Ativo
383,383,Misto,43275.98,6534.11,2026-05-20,Em atraso
384,384,Êxito,41890.28,4106.19,2026-01-02,Em atraso
385,385,Misto,25144.81,927.25,2025-08-03,Ativo
386,386,Êxito,21247.66,1058.55,2026-04-06,Quitado
387,387,Êxito,17934.48,3425.53,2026-03-03,Quitado
388,388,Fixo,20307.06,1045.89,2026-03-03,Quitado
389,389,Misto,4604.73,1501.33,2025-11-01,Ativo
390,390,Êxito,26781.68,8071.42,2026-04-16,Ativo
391,391,Êxito,38056.01,8894.62,2026-03-08,Quitado
392,392,Fixo,4568.12,1414.85,2026-03-15,Quitado
393,393,Êxito,6536.07,1051.36,2025-09-24,Quitado
394,394,Êxito,7395.85,1109.58,2026-06-02,Quitado
395,395,Misto,18112.1,382.14,2025-10-14,Ativo
396,396,Hora,2093.46,730.4,2026-01-28,Em atraso
397,397,Misto,24108.78,2485.85,2025-09-30,Em atraso
398,398,Misto,30630.74,750.98,2026-06-14,Quitado
399,399,Misto,35398.05,310.26,2026-06-08,Quitado
400,400,Êxito,36670.32,4182.02,2025-10-07,Em atraso
401,401,Fixo,12382.23,308.8,2026-04-24,Ativo
402,402,Hora,27717.05,3214.5,2026-04-23,Em atraso
403,403,Fixo,43054.61,827.85,2026-01-27,Em atraso
404,404,Hora,30836.66,7909.74,2025-09-30,Ativo
405,405,Hora,29066.47,6095.81,2026-05-11,Em atraso
406,406,Fixo,16142.41,5326.76,2025-12-02,Ativo
407,407,Fixo,33749.18,1500.92,2025-09-18,Ativo
408,408,Misto,30663.79,3079.09,2026-04-09,Ativo
409,409,Misto,29054.61,9144.36,2026-04-21,Ativo
410,410,Fixo,31734.63,9145.94,2025-12-28,Ativo
411,411,Fixo,43401.84,7698.35,2025-08-28,Ativo
412,412,Hora,43396.57,10590.28,2025-12-10,Ativo
413,413,Êxito,33144.75,3278.38,2025-10-14,Quitado
414,414,Êxito,19146.17,4452.22,2026-04-09,Quitado
415,415,Êxito,21844.7,3219.94,2025-12-02,Em atraso
416,416,Misto,37094.52,3865.54,2026-02-15,Em atraso
417,417,Êxito,31362.96,1372.49,2025-12-22,Ativo
418,418,Êxito,28666.36,5141.55,2026-01-16,Ativo
419,419,Fixo,26029.3,8208.38,2026-01-24,Quitado
420,420,Fixo,32822.95,9425.99,2025-07-22,Em atraso
421,421,Misto,35615.35,3695.49,2026-05-29,Quitado
422,422,Êxito,14686.35,116.05,2026-02-18,Em atraso
423,423,Êxito,29148.03,8568.73,2026-06-17,Quitado
424,424,Misto,8184.98,638.92,2026-03-21,Quitado
425,425,Êxito,30057.49,5940.11,2026-02-16,Quitado
426,426,Êxito,38575.81,5995.88,2025-09-05,Em atraso
427,427,Misto,33342.29,7914.13,2025-07-30,Quitado
428,428,Misto,16720.36,347.7,2026-03-22,Em atraso
429,429,Misto,22661.09,5640.74,2026-01-18,Quitado
430,430,Êxito,38051.94,7712.65,2025-09-19,Quitado
431,431,Misto,40441.15,7307.82,2025-08-08,Ativo
432,432,Êxito,35191.15,6522.58,2026-05-07,Quitado
433,433,Hora,33491.77,6564.49,2025-08-17,Em atraso
434,434,Êxito,38351.49,10155.81,2025-10-17,Em atraso
435,435,Misto,7002.92,871.58,2025-08-07,Quitado
436,436,Fixo,14775.02,460.36,2025-10-15,Em atraso
437,437,Êxito,28770.55,6373.33,2025-08-08,Em atraso
438,438,Êxito,12571.66,1747.7,2026-05-04,Em atraso
439,439,Hora,3613.46,358.62,2025-11-27,Em atraso
440,440,Misto,25076.14,2351.17,2026-04-21,Em atraso
441,441,Misto,9334.06,1326.94,2026-06-26,Quitado
442,442,Fixo,34197.12,2945.34,2025-10-07,Ativo
443,443,Fixo,2288.58,127.64,2026-01-06,Em atraso
444,444,Misto,13965.83,3574.99,2025-08-23,Em atraso
445,445,Hora,32072.88,3037.2,2026-04-03,Quitado
446,446,Fixo,12414.94,234.55,2026-06-05,Ativo
447,447,Êxito,1644.18,24.02,2025-09-27,Quitado
448,448,Fixo,26707.07,5539.25,2026-06-01,Em atraso
449,449,Hora,22978.4,2957.86,2026-02-05,Quitado
450,450,Fixo,24679.75,5848.31,2026-01-11,Em atraso
451,451,Hora,43621.93,4194.55,2025-12-24,Em atraso
452,452,Misto,21134.75,6839.58,2026-05-25,Ativo
453,453,Hora,44994.12,6786.28,2026-03-02,Em atraso
454,454,Fixo,8257.96,1716.36,2025-11-27,Ativo
