diagnostico_id;os_id;defeito_relatado;causa;taxa_diagnostico;data_diagnostico
225;225;Superaquecimento;Componente queimado;55,35;2025-11-03
226;226;Não carrega;Desgaste;137,12;2026-06-26
227;227;Falha de rede;Software;67,89;2026-05-30
228;228;Não carrega;Componente queimado;160,16;2026-03-13
229;229;Não liga;Software;182,49;2025-12-07
230;230;Tela quebrada;Software;127,74;2025-11-25
231;231;Sem imagem;Oxidação;175,82;2025-07-08
232;232;Não carrega;Oxidação;240,3;2025-07-29
233;233;Falha de rede;Impacto;100,81;2026-05-13
234;234;Lento;Componente queimado;247,33;2025-09-21
235;235;Superaquecimento;Impacto;231,38;2025-08-16
236;236;Falha de rede;Impacto;198,91;2026-03-08
237;237;Lento;Impacto;106,47;2026-02-03
238;238;Não liga;Impacto;191,31;2026-05-14
239;239;Ruído;Oxidação;192,86;2026-03-30
240;240;Falha de rede;Oxidação;216,27;2025-08-17
241;241;Não carrega;Oxidação;170,9;2025-08-23
242;242;Não carrega;Componente queimado;231,53;2026-03-26
243;243;Falha de rede;Componente queimado;49,29;2025-12-15
244;244;Não liga;Software;79,29;2025-09-23
245;245;Lento;Software;127,47;2025-10-31
246;246;Superaquecimento;Desgaste;134,34;2025-09-10
247;247;Não liga;Software;106,44;2025-10-17
248;248;Superaquecimento;Software;201,14;2025-09-06
249;249;Lento;Oxidação;30,3;2026-04-29
250;250;Ruído;Componente queimado;46,56;2026-05-05
251;251;Falha de rede;Componente queimado;76,06;2025-08-15
252;252;Tela quebrada;Oxidação;237,5;2026-04-02
253;253;Não liga;Desgaste;135,75;2026-01-04
254;254;Sem imagem;Desgaste;190,01;2026-04-20
255;255;Ruído;Impacto;203,47;2026-01-21
256;256;Não carrega;Componente queimado;144,32;2026-04-05
257;257;Lento;Desgaste;213,07;2026-02-21
258;258;Sem imagem;Desgaste;136,15;2026-02-20
259;259;Tela quebrada;Software;72,76;2025-07-28
260;260;Não liga;Oxidação;144,0;2026-04-11
261;261;Tela quebrada;Desgaste;172,4;2025-10-15
262;262;Não liga;Impacto;221,2;2026-03-15
263;263;Superaquecimento;Componente queimado;244,66;2026-01-14
264;264;Sem imagem;Componente queimado;60,27;2025-12-28
265;265;Lento;Desgaste;172,61;2025-12-30
266;266;Não liga;Software;166,27;2026-01-30
267;267;Tela quebrada;Desgaste;97,66;2026-04-29
268;268;Sem imagem;Componente queimado;171,42;2025-11-11
269;269;Lento;Software;201,69;2026-05-15
270;270;Falha de rede;Software;216,72;2025-10-02
271;271;Ruído;Componente queimado;147,34;2025-07-26
272;272;Não liga;Componente queimado;117,47;2025-11-14
273;273;Não liga;Oxidação;211,5;2025-09-23
274;274;Falha de rede;Componente queimado;140,58;2026-03-16
275;275;Superaquecimento;Impacto;104,32;2026-02-11
276;276;Ruído;Componente queimado;244,85;2025-07-31
277;277;Lento;Componente queimado;158,9;2026-06-01
278;278;Ruído;Desgaste;85,01;2025-12-26
279;279;Lento;Oxidação;167,65;2026-05-27
280;280;Lento;Oxidação;176,18;2025-10-15
281;281;Ruído;Oxidação;113,99;2026-04-15
282;282;Ruído;Componente queimado;132,19;2025-07-18
283;283;Ruído;Software;182,56;2026-01-13
284;284;Não liga;Impacto;231,89;2025-11-03
285;285;Não carrega;Componente queimado;212,95;2026-06-15
286;286;Tela quebrada;Desgaste;128,76;2026-02-24
287;287;Ruído;Componente queimado;194,46;2025-08-02
288;288;Ruído;Componente queimado;45,47;2025-09-12
289;289;Ruído;Oxidação;210,53;2026-03-13
290;290;Lento;Impacto;76,5;2025-07-14
291;291;Falha de rede;Software;137,73;2025-09-29
292;292;Não liga;Impacto;113,45;2025-12-12
293;293;Ruído;Impacto;196,37;2025-11-17
294;294;Tela quebrada;Oxidação;177,17;2025-07-13
295;295;Tela quebrada;Impacto;134,96;2026-06-14
296;296;Ruído;Componente queimado;66,97;2026-05-11
297;297;Tela quebrada;Impacto;49,19;2026-05-04
298;298;Lento;Impacto;169,41;2025-11-18
299;299;Ruído;Impacto;57,1;2025-07-17
300;300;Lento;Desgaste;177,03;2025-11-26
301;301;Lento;Software;190,09;2026-05-25
302;302;Não liga;Desgaste;122,58;2025-09-27
303;303;Não carrega;Componente queimado;78,54;2025-09-21
304;304;Falha de rede;Componente queimado;150,71;2026-01-06
305;305;Lento;Componente queimado;206,71;2025-10-07
306;306;Lento;Impacto;130,58;2026-06-20
307;307;Não carrega;Impacto;136,23;2025-09-27
308;308;Sem imagem;Impacto;76,17;2025-09-17
309;309;Sem imagem;Software;247,59;2025-11-24
310;310;Não carrega;Oxidação;232,85;2025-07-15
311;311;Não liga;Desgaste;76,32;2026-06-29
312;312;Tela quebrada;Impacto;89,19;2026-01-25
313;313;Não liga;Oxidação;237,48;2026-01-14
314;314;Sem imagem;Impacto;225,83;2025-07-28
315;315;Não liga;Software;40,84;2025-08-26
316;316;Falha de rede;Desgaste;180,97;2025-08-09
317;317;Superaquecimento;Impacto;202,2;2026-04-05
318;318;Sem imagem;Software;141,8;2025-07-23
319;319;Não carrega;Impacto;208,88;2026-06-08
320;320;Não liga;Desgaste;64,05;2026-04-02
321;321;Falha de rede;Componente queimado;99,61;2026-03-02
322;322;Falha de rede;Oxidação;94,43;2025-09-24
323;323;Lento;Desgaste;162,43;2026-02-13
324;324;Não carrega;Impacto;179,51;2025-10-17
325;325;Superaquecimento;Software;142,31;2026-01-13
326;326;Ruído;Oxidação;231,24;2026-01-02
327;327;Não carrega;Componente queimado;141,97;2026-01-21
328;328;Sem imagem;Impacto;48,31;2025-12-05
329;329;Não carrega;Oxidação;125,28;2026-01-17
330;330;Não carrega;Componente queimado;109,73;2026-03-06
331;331;Ruído;Software;180,03;2026-01-05
332;332;Não carrega;Software;41,15;2026-01-31
333;333;Ruído;Oxidação;94,28;2026-01-30
334;334;Ruído;Desgaste;147,73;2026-04-11
335;335;Superaquecimento;Impacto;113,15;2026-06-21
336;336;Superaquecimento;Software;194,47;2026-01-29
337;337;Lento;Impacto;120,01;2025-12-29
338;338;Superaquecimento;Oxidação;33,51;2025-10-15
339;339;Lento;Componente queimado;211,77;2025-11-09
340;340;Lento;Desgaste;220,09;2026-06-05
341;341;Superaquecimento;Software;82,06;2025-12-06
342;342;Falha de rede;Desgaste;146,14;2025-07-12
343;343;Lento;Software;45,7;2025-11-13
344;344;Superaquecimento;Componente queimado;78,83;2025-12-04
345;345;Não carrega;Software;150,54;2025-11-02
346;346;Ruído;Software;136,28;2026-04-06
347;347;Lento;Oxidação;43,62;2026-03-07
348;348;Não liga;Desgaste;102,58;2026-05-09
349;349;Tela quebrada;Oxidação;216,82;2025-09-16
350;350;Lento;Oxidação;231,31;2026-05-04
351;351;Falha de rede;Oxidação;111,73;2026-02-28
352;352;Não carrega;Desgaste;248,6;2026-02-15
353;353;Não liga;Componente queimado;65,87;2025-12-20
354;354;Sem imagem;Software;213,49;2026-06-22
355;355;Lento;Software;194,27;2025-07-24
356;356;Superaquecimento;Oxidação;107,71;2025-07-12
357;357;Sem imagem;Componente queimado;75,66;2025-10-19
358;358;Tela quebrada;Oxidação;111,99;2025-09-14
359;359;Não carrega;Oxidação;216,68;2026-02-11
360;360;Não liga;Desgaste;108,59;2026-03-27
361;361;Não carrega;Software;230,86;2025-08-13
362;362;Tela quebrada;Oxidação;152,32;2026-03-16
363;363;Tela quebrada;Oxidação;140,17;2025-12-12
364;364;Ruído;Impacto;241,54;2026-03-03
365;365;Superaquecimento;Componente queimado;45,78;2026-01-17
366;366;Não liga;Software;102,89;2026-03-08
367;367;Falha de rede;Desgaste;224,16;2026-06-14
368;368;Tela quebrada;Impacto;72,03;2026-04-30
369;369;Não carrega;Oxidação;131,83;2026-04-22
370;370;Sem imagem;Componente queimado;141,38;2026-02-22
371;371;Superaquecimento;Desgaste;245,97;2025-08-13
372;372;Falha de rede;Software;154,82;2025-07-15
373;373;Tela quebrada;Desgaste;201,69;2025-11-01
374;374;Superaquecimento;Software;73,03;2025-07-17
375;375;Lento;Desgaste;160,83;2025-08-17
376;376;Tela quebrada;Componente queimado;214,86;2025-12-21
377;377;Superaquecimento;Componente queimado;100,66;2025-12-25
378;378;Superaquecimento;Oxidação;189,78;2026-06-25
379;379;Não liga;Oxidação;144,92;2025-09-05
380;380;Falha de rede;Componente queimado;190,53;2026-05-07
381;381;Tela quebrada;Desgaste;41,23;2026-01-26
382;382;Superaquecimento;Componente queimado;196,99;2025-09-17
383;383;Não carrega;Software;32,8;2026-01-31
384;384;Sem imagem;Desgaste;43,28;2025-08-11
385;385;Falha de rede;Componente queimado;245,87;2026-05-01
386;386;Falha de rede;Software;111,74;2026-05-10
387;387;Superaquecimento;Impacto;127,14;2025-08-22
388;388;Tela quebrada;Componente queimado;82,09;2026-01-02
389;389;Não liga;Software;113,87;2026-06-26
390;390;Tela quebrada;Impacto;216,43;2026-01-13
391;391;Tela quebrada;Oxidação;103,44;2025-10-19
392;392;Lento;Impacto;54,86;2026-06-09
393;393;Lento;Componente queimado;195,1;2026-04-22
394;394;Tela quebrada;Impacto;136,88;2026-04-11
395;395;Superaquecimento;Impacto;185,06;2026-03-16
396;396;Não carrega;Impacto;190,85;2025-07-09
397;397;Falha de rede;Componente queimado;33,0;2025-09-09
398;398;Superaquecimento;Software;186,21;2026-02-10
399;399;Não carrega;Impacto;57,82;2026-02-06
400;400;Ruído;Software;45,22;2025-10-09
401;401;Falha de rede;Componente queimado;177,06;2026-06-08
402;402;Falha de rede;Oxidação;30,24;2025-09-18
403;403;Superaquecimento;Software;163,78;2025-11-06
404;404;Superaquecimento;Componente queimado;116,19;2026-02-06
405;405;Não carrega;Componente queimado;30,77;2025-12-29
406;406;Tela quebrada;Oxidação;177,05;2026-01-14
407;407;Sem imagem;Componente queimado;113,46;2026-03-14
408;408;Tela quebrada;Impacto;101,55;2025-09-14
409;409;Lento;Componente queimado;106,01;2026-02-15
410;410;Tela quebrada;Impacto;237,35;2025-09-21
411;411;Falha de rede;Desgaste;238,9;2025-09-07
412;412;Lento;Componente queimado;146,02;2026-04-16
413;413;Falha de rede;Software;144,38;2025-08-06
414;414;Sem imagem;Componente queimado;112,96;2026-01-14
415;415;Lento;Desgaste;249,83;2025-08-17
416;416;Não liga;Software;145,7;2026-06-13
417;417;Falha de rede;Software;81,45;2026-02-13
418;418;Superaquecimento;Impacto;47,17;2025-09-22
419;419;Lento;Componente queimado;116,33;2025-12-27
420;420;Não liga;Impacto;48,81;2025-08-01
421;421;Superaquecimento;Desgaste;110,13;2026-05-15
422;422;Não carrega;Software;242,34;2026-04-08
423;423;Ruído;Desgaste;97,88;2025-10-27
424;424;Superaquecimento;Software;249,48;2025-09-14
425;425;Superaquecimento;Oxidação;232,64;2025-08-16
426;426;Não carrega;Oxidação;104,42;2025-09-19
427;427;Não liga;Desgaste;233,09;2025-07-27
428;428;Tela quebrada;Software;228,36;2026-04-23
429;429;Lento;Oxidação;230,6;2026-05-13
430;430;Tela quebrada;Desgaste;97,84;2026-03-29
431;431;Lento;Componente queimado;86,67;2026-01-11
432;432;Superaquecimento;Componente queimado;64,9;2026-03-25
433;433;Superaquecimento;Impacto;248,84;2026-02-17
434;434;Sem imagem;Desgaste;42,39;2025-11-11
435;435;Falha de rede;Software;157,54;2025-11-01
436;436;Sem imagem;Desgaste;36,33;2026-06-08
437;437;Superaquecimento;Oxidação;80,15;2025-10-20
438;438;Superaquecimento;Impacto;190,87;2026-01-30
439;439;Sem imagem;Componente queimado;124,41;2026-06-22
440;440;Lento;Oxidação;240,49;2026-02-16
441;441;Sem imagem;Software;41,44;2026-01-30
442;442;Falha de rede;Software;121,24;2026-03-12
443;443;Não carrega;Oxidação;34,73;2025-07-12
444;444;Falha de rede;Software;34,61;2026-05-19
445;445;Ruído;Software;226,84;2025-07-29
446;446;Não carrega;Impacto;163,97;2026-03-03
447;447;Não liga;Software;201,67;2026-01-01
448;448;Falha de rede;Software;132,83;2026-06-22
449;449;Não liga;Oxidação;125,71;2026-05-10
450;450;Não carrega;Oxidação;238,5;2026-05-12
451;451;Tela quebrada;Software;49,83;2025-09-21
452;452;Falha de rede;Componente queimado;38,33;2025-08-06
453;453;Sem imagem;Software;180,32;2026-06-27
454;454;Lento;Desgaste;144,44;2026-05-04
455;455;Lento;Software;105,99;2025-09-29
456;456;Não carrega;Software;237,95;2025-09-28
457;457;Lento;Software;159,88;2025-08-06
458;458;Falha de rede;Desgaste;150,07;2026-05-09
459;459;Não liga;Oxidação;62,76;2025-08-20
460;460;Não liga;Oxidação;65,98;2026-04-10
461;461;Tela quebrada;Impacto;112,26;2025-07-16
462;462;Lento;Desgaste;169,15;2025-10-17
463;463;Superaquecimento;Oxidação;33,95;2025-11-24
464;464;Ruído;Componente queimado;153,88;2026-06-18
465;465;Superaquecimento;Software;225,28;2026-06-18
466;466;Lento;Impacto;100,88;2026-05-25
467;467;Ruído;Impacto;161,95;2026-02-17
468;468;Não liga;Software;141,89;2026-03-22
469;469;Tela quebrada;Software;50,95;2026-01-22
470;470;Ruído;Componente queimado;214,55;2025-11-15
471;471;Sem imagem;Desgaste;118,51;2026-01-19
472;472;Não carrega;Desgaste;203,68;2026-03-08
473;473;Lento;Oxidação;185,9;2025-09-26
474;474;Não carrega;Desgaste;56,64;2026-05-22
475;475;Não carrega;Software;240,67;2025-08-26
476;476;Sem imagem;Software;80,09;2025-08-05
477;477;Lento;Software;204,01;2026-01-30
478;478;Ruído;Oxidação;36,24;2025-08-10
479;479;Tela quebrada;Desgaste;170,78;2026-04-05
480;480;Falha de rede;Componente queimado;77,37;2026-04-07
481;481;Não carrega;Componente queimado;229,93;2026-04-16
482;482;Não liga;Impacto;114,62;2025-11-17
483;483;Superaquecimento;Oxidação;120,12;2026-03-06
484;484;Não carrega;Software;96,11;2025-10-27
485;485;Não liga;Desgaste;64,88;2025-11-26
486;486;Não liga;Componente queimado;167,55;2025-12-01
487;487;Falha de rede;Impacto;234,79;2026-03-15
488;488;Sem imagem;Desgaste;207,23;2025-07-28
489;489;Tela quebrada;Impacto;236,32;2026-04-04
490;490;Tela quebrada;Software;72,11;2026-04-18
491;491;Ruído;Componente queimado;196,38;2026-06-20
492;492;Não carrega;Software;46,31;2025-11-12
493;493;Ruído;Software;39,03;2025-09-23
494;494;Ruído;Desgaste;157,95;2025-09-06
495;495;Sem imagem;Oxidação;137,36;2026-05-21
496;496;Não carrega;Impacto;63,66;2025-11-06
497;497;Ruído;Componente queimado;49,96;2026-02-12
498;498;Não carrega;Desgaste;49,42;2026-03-21
499;499;Não liga;Desgaste;54,48;2025-10-29
500;500;Não liga;Software;103,08;2025-12-04
501;501;Sem imagem;Desgaste;152,79;2025-11-25
502;502;Superaquecimento;Desgaste;171,4;2025-08-14
503;503;Não carrega;Oxidação;141,15;2025-12-03
504;504;Tela quebrada;Desgaste;106,09;2025-12-20
505;505;Ruído;Oxidação;120,71;2025-11-10
506;506;Não carrega;Impacto;185,2;2025-10-27
507;507;Tela quebrada;Oxidação;240,01;2026-01-10
508;508;Não liga;Componente queimado;244,71;2026-02-13
509;509;Ruído;Desgaste;209,4;2026-03-18
510;510;Não carrega;Oxidação;145,59;2026-01-21
511;511;Falha de rede;Componente queimado;237,77;2026-05-03
512;512;Não liga;Software;106,18;2026-02-12
513;513;Lento;Software;37,83;2025-08-07
514;514;Ruído;Desgaste;201,84;2025-09-27
515;515;Falha de rede;Componente queimado;126,71;2026-03-17
516;516;Não liga;Oxidação;163,58;2025-12-26
517;517;Tela quebrada;Impacto;75,08;2025-10-24
518;518;Superaquecimento;Componente queimado;147,68;2025-10-04
519;519;Superaquecimento;Oxidação;33,21;2026-01-12
520;520;Não liga;Componente queimado;120,05;2026-01-26
521;521;Sem imagem;Software;148,77;2025-12-20
522;522;Lento;Oxidação;64,57;2026-05-21
