garantia_id;reparo_id;inicio;fim;status;retorno
271;347;2026-03-10;2026-06-08;Expirada;0
272;348;2026-05-12;2026-08-10;Vigente;0
273;349;2025-09-29;2025-12-28;Expirada;0
274;352;2026-02-17;2026-05-18;Expirada;0
275;354;2026-06-26;2026-09-24;Vigente;0
276;355;2025-08-04;2025-11-02;Acionada;0
277;356;2025-07-13;2025-10-11;Vigente;0
278;357;2025-10-20;2026-01-18;Expirada;0
279;358;2025-09-14;2025-12-13;Vigente;0
280;359;2026-02-12;2026-05-13;Expirada;0
281;360;2026-03-30;2026-06-28;Expirada;0
282;361;2025-08-14;2025-11-12;Expirada;0
283;362;2026-03-24;2026-06-22;Acionada;0
284;364;2026-03-09;2026-06-07;Acionada;0
285;365;2026-01-23;2026-04-23;Vigente;0
286;366;2026-03-11;2026-06-09;Vigente;0
287;367;2026-06-24;2026-09-22;Expirada;0
288;368;2026-04-30;2026-07-29;Vigente;0
289;369;2026-04-21;2026-07-20;Acionada;0
290;370;2026-02-20;2026-05-21;Expirada;0
291;371;2025-08-26;2025-11-24;Vigente;0
292;372;2025-07-25;2025-10-23;Expirada;0
293;373;2025-11-13;2026-02-11;Vigente;0
294;374;2025-07-22;2025-10-20;Vigente;0
295;376;2026-01-02;2026-04-02;Acionada;0
296;377;2026-01-04;2026-04-04;Expirada;0
297;378;2026-07-05;2026-10-03;Expirada;0
298;379;2025-09-13;2025-12-12;Vigente;0
299;380;2026-05-08;2026-08-06;Expirada;0
300;381;2026-02-06;2026-05-07;Acionada;0
301;382;2025-09-25;2025-12-24;Expirada;0
302;384;2025-08-18;2025-11-16;Expirada;0
303;385;2026-05-14;2026-08-12;Vigente;0
304;386;2026-05-14;2026-08-12;Acionada;0
305;387;2025-08-30;2025-11-28;Vigente;0
306;388;2026-01-15;2026-04-15;Expirada;0
307;389;2026-06-29;2026-09-27;Acionada;0
308;390;2026-01-17;2026-04-17;Acionada;0
309;391;2025-10-24;2026-01-22;Acionada;0
310;392;2026-06-07;2026-09-05;Expirada;0
311;393;2026-04-30;2026-07-29;Expirada;0
312;397;2025-09-16;2025-12-15;Vigente;1
313;398;2026-02-16;2026-05-17;Expirada;0
314;399;2026-02-05;2026-05-06;Acionada;0
315;400;2025-10-15;2026-01-13;Expirada;0
316;401;2026-06-19;2026-09-17;Acionada;0
317;404;2026-02-19;2026-05-20;Vigente;0
318;407;2026-03-13;2026-06-11;Expirada;0
319;408;2025-09-26;2025-12-25;Expirada;0
320;409;2026-02-17;2026-05-18;Expirada;0
321;411;2025-09-16;2025-12-15;Acionada;0
322;412;2026-04-22;2026-07-21;Expirada;0
323;414;2026-01-14;2026-04-14;Expirada;0
324;417;2026-02-15;2026-05-16;Expirada;0
325;418;2025-09-27;2025-12-26;Acionada;0
326;419;2026-01-01;2026-04-01;Acionada;0
327;420;2025-08-09;2025-11-07;Acionada;0
328;421;2026-05-23;2026-08-21;Vigente;0
329;422;2026-04-12;2026-07-11;Expirada;0
330;423;2025-11-01;2026-01-30;Vigente;0
331;426;2025-09-27;2025-12-26;Expirada;0
332;427;2025-08-05;2025-11-03;Vigente;0
333;428;2026-04-26;2026-07-25;Acionada;0
334;430;2026-03-29;2026-06-27;Vigente;1
335;431;2026-01-23;2026-04-23;Vigente;0
336;432;2026-03-30;2026-06-28;Vigente;0
337;433;2026-02-19;2026-05-20;Vigente;0
338;434;2025-11-17;2026-02-15;Acionada;0
339;435;2025-11-08;2026-02-06;Expirada;0
340;436;2026-06-21;2026-09-19;Expirada;0
341;438;2026-02-03;2026-05-04;Vigente;0
342;440;2026-02-17;2026-05-18;Acionada;1
343;442;2026-03-25;2026-06-23;Expirada;0
344;443;2025-07-22;2025-10-20;Acionada;0
345;444;2026-05-26;2026-08-24;Vigente;0
346;445;2025-08-05;2025-11-03;Expirada;0
347;447;2026-01-10;2026-04-10;Expirada;0
348;448;2026-07-01;2026-09-29;Acionada;0
349;450;2026-05-17;2026-08-15;Acionada;0
350;451;2025-10-01;2025-12-30;Expirada;0
351;452;2025-08-19;2025-11-17;Acionada;0
352;453;2026-07-04;2026-10-02;Acionada;0
353;454;2026-05-07;2026-08-05;Expirada;0
354;455;2025-10-11;2026-01-09;Expirada;1
355;456;2025-10-07;2026-01-05;Expirada;0
356;457;2025-08-17;2025-11-15;Expirada;0
357;458;2026-05-15;2026-08-13;Acionada;0
358;459;2025-08-20;2025-11-18;Acionada;0
359;461;2025-07-16;2025-10-14;Expirada;1
360;464;2026-06-29;2026-09-27;Expirada;0
361;466;2026-06-01;2026-08-30;Expirada;0
362;467;2026-02-25;2026-05-26;Expirada;0
363;470;2025-11-24;2026-02-22;Expirada;0
364;471;2026-02-02;2026-05-03;Expirada;0
365;473;2025-10-03;2026-01-01;Expirada;0
366;474;2026-06-02;2026-08-31;Vigente;0
367;475;2025-08-29;2025-11-27;Acionada;0
368;476;2025-08-05;2025-11-03;Expirada;0
369;477;2026-02-01;2026-05-02;Acionada;0
370;478;2025-08-11;2025-11-09;Acionada;0
371;479;2026-04-06;2026-07-05;Expirada;0
372;480;2026-04-15;2026-07-14;Vigente;0
373;481;2026-04-23;2026-07-22;Vigente;1
374;482;2025-11-30;2026-02-28;Acionada;0
375;483;2026-03-10;2026-06-08;Expirada;0
376;484;2025-11-06;2026-02-04;Expirada;1
377;485;2025-11-29;2026-02-27;Expirada;1
378;487;2026-03-17;2026-06-15;Expirada;1
379;488;2025-07-30;2025-10-28;Expirada;0
380;489;2026-04-14;2026-07-13;Vigente;0
381;490;2026-04-26;2026-07-25;Vigente;0
382;491;2026-07-01;2026-09-29;Expirada;0
383;492;2025-11-16;2026-02-14;Acionada;0
384;493;2025-10-03;2026-01-01;Expirada;0
385;494;2025-09-16;2025-12-15;Acionada;0
386;496;2025-11-18;2026-02-16;Expirada;1
387;498;2026-03-21;2026-06-19;Acionada;0
388;499;2025-11-04;2026-02-02;Vigente;0
389;502;2025-08-20;2025-11-18;Vigente;0
390;503;2025-12-16;2026-03-16;Expirada;0
391;504;2025-12-27;2026-03-27;Expirada;0
392;505;2025-11-22;2026-02-20;Expirada;0
393;506;2025-10-30;2026-01-28;Acionada;0
394;507;2026-01-21;2026-04-21;Vigente;0
395;508;2026-02-24;2026-05-25;Acionada;0
396;509;2026-03-18;2026-06-16;Vigente;0
397;510;2026-01-25;2026-04-25;Acionada;0
398;511;2026-05-07;2026-08-05;Vigente;0
399;512;2026-02-14;2026-05-15;Vigente;0
400;513;2025-08-18;2025-11-16;Acionada;1
401;514;2025-10-08;2026-01-06;Vigente;0
402;515;2026-03-28;2026-06-26;Vigente;1
403;516;2026-01-06;2026-04-06;Expirada;0
404;517;2025-10-30;2026-01-28;Vigente;0
405;518;2025-10-07;2026-01-05;Expirada;0
406;519;2026-01-20;2026-04-20;Acionada;0
407;520;2026-01-29;2026-04-29;Vigente;0
408;521;2025-12-31;2026-03-31;Acionada;0
409;522;2026-06-01;2026-08-30;Expirada;0
410;523;2025-08-22;2025-11-20;Vigente;0
411;524;2025-09-21;2025-12-20;Expirada;0
412;526;2025-10-17;2026-01-15;Expirada;0
413;527;2025-10-15;2026-01-13;Vigente;0
414;528;2025-12-19;2026-03-19;Vigente;0
415;529;2026-03-31;2026-06-29;Vigente;0
416;530;2026-03-30;2026-06-28;Vigente;0
417;532;2026-05-20;2026-08-18;Vigente;0
418;533;2025-10-03;2026-01-01;Acionada;0
419;534;2026-02-26;2026-05-27;Expirada;0
420;535;2026-05-23;2026-08-21;Vigente;0
421;536;2026-03-02;2026-05-31;Acionada;0
422;537;2026-03-24;2026-06-22;Expirada;0
423;538;2026-03-01;2026-05-30;Expirada;0
424;539;2026-01-20;2026-04-20;Acionada;0
425;541;2026-05-24;2026-08-22;Acionada;1
426;542;2026-05-15;2026-08-13;Expirada;0
427;543;2026-01-09;2026-04-09;Expirada;0
428;544;2026-02-05;2026-05-06;Expirada;1
429;545;2026-01-26;2026-04-26;Vigente;0
430;546;2026-03-13;2026-06-11;Expirada;0
431;547;2026-01-08;2026-04-08;Acionada;0
432;548;2026-01-23;2026-04-23;Vigente;0
433;550;2025-11-25;2026-02-23;Vigente;0
434;551;2025-07-08;2025-10-06;Acionada;0
435;552;2025-08-09;2025-11-07;Expirada;0
436;553;2026-06-28;2026-09-26;Acionada;0
437;555;2026-02-08;2026-05-09;Vigente;0
438;557;2026-05-14;2026-08-12;Expirada;0
439;558;2026-06-28;2026-09-26;Expirada;0
440;559;2026-06-12;2026-09-10;Expirada;0
441;560;2026-06-25;2026-09-23;Expirada;0
442;561;2025-11-30;2026-02-28;Acionada;0
443;562;2026-01-05;2026-04-05;Expirada;0
444;563;2026-02-14;2026-05-15;Expirada;0
445;564;2025-10-23;2026-01-21;Vigente;0
446;565;2026-05-22;2026-08-20;Vigente;0
447;567;2026-03-21;2026-06-19;Expirada;0
448;568;2026-05-19;2026-08-17;Vigente;0
449;569;2025-10-25;2026-01-23;Expirada;0
450;570;2025-12-30;2026-03-30;Vigente;0
451;572;2025-12-17;2026-03-17;Vigente;0
452;573;2026-03-01;2026-05-30;Vigente;0
453;574;2025-10-10;2026-01-08;Acionada;0
454;575;2025-12-30;2026-03-30;Vigente;0
455;576;2025-07-14;2025-10-12;Expirada;0
456;577;2026-02-07;2026-05-08;Acionada;0
457;578;2025-08-08;2025-11-06;Expirada;0
458;579;2025-08-04;2025-11-02;Acionada;0
459;581;2026-03-08;2026-06-06;Acionada;0
460;583;2026-02-17;2026-05-18;Expirada;0
461;584;2025-12-08;2026-03-08;Expirada;0
462;585;2025-08-01;2025-10-30;Vigente;0
463;586;2025-12-06;2026-03-06;Vigente;0
464;588;2026-01-13;2026-04-13;Expirada;0
465;589;2025-07-08;2025-10-06;Expirada;0
466;590;2025-10-04;2026-01-02;Acionada;0
467;591;2026-06-29;2026-09-27;Acionada;0
468;592;2025-08-08;2025-11-06;Vigente;0
469;593;2026-03-29;2026-06-27;Expirada;0
470;594;2025-10-05;2026-01-03;Acionada;0
471;595;2025-12-04;2026-03-04;Acionada;0
472;596;2025-11-08;2026-02-06;Vigente;0
473;597;2025-12-07;2026-03-07;Expirada;0
474;598;2025-07-14;2025-10-12;Acionada;0
475;599;2026-04-30;2026-07-29;Vigente;0
476;601;2025-07-26;2025-10-24;Expirada;0
477;602;2026-06-14;2026-09-12;Expirada;0
478;603;2025-10-06;2026-01-04;Expirada;0
479;604;2025-10-04;2026-01-02;Expirada;0
480;606;2025-11-07;2026-02-05;Acionada;0
481;608;2026-02-25;2026-05-26;Vigente;0
482;609;2025-12-18;2026-03-18;Expirada;0
483;610;2026-03-01;2026-05-30;Acionada;0
484;611;2026-06-14;2026-09-12;Vigente;0
485;612;2025-08-26;2025-11-24;Expirada;0
486;613;2025-08-19;2025-11-17;Expirada;0
487;614;2025-08-06;2025-11-04;Expirada;0
488;615;2025-09-14;2025-12-13;Expirada;0
489;617;2026-07-01;2026-09-29;Vigente;0
490;618;2025-11-07;2026-02-05;Expirada;0
491;620;2025-09-03;2025-12-02;Vigente;0
492;621;2026-04-14;2026-07-13;Expirada;0
493;623;2026-01-18;2026-04-18;Acionada;0
494;624;2026-06-18;2026-09-16;Expirada;0
495;626;2026-02-02;2026-05-03;Vigente;0
496;628;2025-10-12;2026-01-10;Vigente;0
497;629;2026-05-18;2026-08-16;Vigente;0
498;630;2025-08-30;2025-11-28;Expirada;0
499;631;2026-06-13;2026-09-11;Expirada;0
500;633;2026-02-10;2026-05-11;Expirada;0
501;634;2026-05-23;2026-08-21;Acionada;0
502;636;2025-07-16;2025-10-14;Expirada;0
503;638;2025-11-19;2026-02-17;Expirada;0
504;639;2026-05-05;2026-08-03;Vigente;0
505;640;2025-07-12;2025-10-10;Acionada;0
506;641;2026-03-30;2026-06-28;Expirada;0
507;642;2025-12-14;2026-03-14;Vigente;0
508;646;2025-10-26;2026-01-24;Expirada;0
509;648;2025-12-18;2026-03-18;Vigente;0
510;649;2026-03-03;2026-06-01;Vigente;0
511;650;2026-06-18;2026-09-16;Expirada;0
512;651;2026-03-07;2026-06-05;Vigente;0
513;653;2026-03-11;2026-06-09;Acionada;0
514;654;2026-05-05;2026-08-03;Acionada;0
515;655;2026-01-06;2026-04-06;Vigente;0
516;657;2026-03-10;2026-06-08;Acionada;0
517;658;2026-05-10;2026-08-08;Acionada;0
518;660;2025-12-30;2026-03-30;Expirada;1
519;661;2025-08-16;2025-11-14;Vigente;0
520;662;2026-04-05;2026-07-04;Vigente;0
521;665;2026-04-27;2026-07-26;Vigente;0
522;666;2025-07-31;2025-10-29;Acionada;1
523;667;2026-05-02;2026-07-31;Acionada;0
524;668;2025-08-21;2025-11-19;Vigente;0
525;669;2025-09-02;2025-12-01;Vigente;0
526;670;2025-11-26;2026-02-24;Expirada;0
527;671;2026-01-17;2026-04-17;Acionada;0
528;672;2026-04-08;2026-07-07;Vigente;0
529;673;2025-08-30;2025-11-28;Acionada;1
530;674;2026-04-23;2026-07-22;Vigente;0
531;675;2026-01-17;2026-04-17;Vigente;0
532;677;2025-12-06;2026-03-06;Expirada;0
533;678;2026-06-04;2026-09-02;Acionada;0
534;679;2025-10-12;2026-01-10;Acionada;0
535;680;2026-06-06;2026-09-04;Vigente;0
536;681;2026-04-13;2026-07-12;Acionada;0
537;682;2026-03-16;2026-06-14;Acionada;0
538;683;2026-04-09;2026-07-08;Expirada;0
539;684;2026-05-10;2026-08-08;Vigente;0
540;686;2026-04-17;2026-07-16;Expirada;0
541;687;2026-06-03;2026-09-01;Expirada;0
542;688;2026-03-07;2026-06-05;Vigente;0
543;689;2026-02-21;2026-05-22;Vigente;0
544;691;2025-10-23;2026-01-21;Vigente;1
545;693;2026-01-05;2026-04-05;Expirada;0
546;694;2025-08-23;2025-11-21;Vigente;0
547;695;2025-09-06;2025-12-05;Vigente;0
548;697;2025-09-02;2025-12-01;Vigente;0
549;698;2025-09-28;2025-12-27;Expirada;0
550;699;2025-10-16;2026-01-14;Vigente;0
551;700;2026-01-16;2026-04-16;Acionada;0
552;701;2025-08-16;2025-11-14;Vigente;0
553;702;2026-02-21;2026-05-22;Acionada;0
554;703;2025-09-06;2025-12-05;Expirada;0
555;704;2025-10-17;2026-01-15;Expirada;0
556;706;2026-06-20;2026-09-18;Acionada;0
557;707;2026-04-20;2026-07-19;Vigente;0
