pagamento_id,matricula_id,competencia,valor,data_vencimento,data_pagamento,status,motivo_rejeicao
282,24,2025-12-01,699,2025-02-12,2025-12-12,Pago,fk_invalida:matricula_id
289,25,2025-07-01,1199,2025-02-07,2025-02-07,Pago,fk_invalida:matricula_id
291,25,2025-09-01,1199,2025-04-09,2025-06-09,Pago,fk_invalida:matricula_id
304,26,2025-10-01,109,2025-03-10,2025-01-10,Pago,fk_invalida:matricula_id
306,26,2025-12-01,35,2025-03-12,2025-06-12,Pago,fk_invalida:matricula_id
313,27,2025-07-01,399,2025-06-07,2025-09-07,Pago,fk_invalida:matricula_id
314,27,2025-08-01,149,2025-05-08,2025-10-08,Pago,fk_invalida:matricula_id
318,27,2025-12-01,149,2025-03-12,2025-03-12,Pago,fk_invalida:matricula_id
321,27,2026-03-01,99,2026-02-03,2026-12-03,Pago,fk_invalida:matricula_id
322,27,2026-04-01,149,2026-01-04,2026-01-04,Pago,fk_invalida:matricula_id
325,28,2025-07-01,699,2025-03-07,2025-07-07,Pago,fk_invalida:matricula_id
327,28,2025-09-01,109,2025-03-09,2025-01-09,Pago,fk_invalida:matricula_id
330,28,2025-12-01,1199,2025-02-12,2025-06-12,Pago,fk_invalida:matricula_id
331,28,2026-01-01,99,2026-01-01,2026-04-01,Pago,fk_invalida:matricula_id
337,29,2025-07-01,35,2025-02-07,2025-05-07,Pago,fk_invalida:matricula_id
339,29,2025-09-01,199,2025-02-09,2025-11-09,Pago,fk_invalida:matricula_id
342,29,2025-12-01,199,2025-03-12,2025-10-12,Pago,fk_invalida:matricula_id
345,29,2026-03-01,149,2026-03-03,2026-07-03,Pago,fk_invalida:matricula_id
349,30,2025-07-01,109,2025-03-07,2025-04-07,Pago,fk_invalida:matricula_id
350,30,2025-08-01,399,2025-02-08,2025-07-08,Pago,fk_invalida:matricula_id
352,30,2025-10-01,109,2025-02-10,2025-02-10,Pago,fk_invalida:matricula_id
357,30,2026-03-01,399,2026-01-03,2026-09-03,Pago,fk_invalida:matricula_id
358,30,2026-04-01,35,2026-02-04,2026-09-04,Pago,fk_invalida:matricula_id
359,30,2026-05-01,149,2026-02-05,2026-07-05,Pago,fk_invalida:matricula_id
369,31,2026-03-01,199,2026-03-03,,Vencido,fk_invalida:matricula_id
370,31,2026-04-01,99,2026-01-04,2026-05-04,Pago,fk_invalida:matricula_id
374,32,2025-08-01,109,2025-05-08,2025-06-08,Pago,fk_invalida:matricula_id
375,32,2025-09-01,109,2025-01-09,2025-09-09,Pago,fk_invalida:matricula_id
379,32,2026-01-01,699,2026-02-01,,Vencido,fk_invalida:matricula_id
387,33,2025-09-01,199,2025-02-09,2025-07-09,Pago,fk_invalida:matricula_id
390,33,2025-12-01,149,2025-02-12,,Vencido,fk_invalida:matricula_id
391,33,2026-01-01,199,2026-02-01,2026-11-01,Pago,fk_invalida:matricula_id
396,33,2026-06-01,399,2026-01-06,2026-04-06,Pago,fk_invalida:matricula_id
397,34,2025-07-01,199,2025-04-07,,Vencido,fk_invalida:matricula_id
402,34,2025-12-01,399,2025-02-12,2025-01-12,Pago,fk_invalida:matricula_id
406,34,2026-04-01,399,2026-02-04,2026-02-04,Pago,fk_invalida:matricula_id
407,34,2026-05-01,35,2026-01-05,2026-10-05,Pago,fk_invalida:matricula_id
411,35,2025-09-01,149,2025-01-09,2025-10-09,Pago,fk_invalida:matricula_id
412,35,2025-10-01,149,2025-04-10,2025-04-10,Pago,fk_invalida:matricula_id
414,35,2025-12-01,35,2025-02-12,2025-08-12,Pago,fk_invalida:matricula_id
417,35,2026-03-01,699,2026-01-03,2026-03-03,Pago,fk_invalida:matricula_id
418,35,2026-04-01,699,2026-01-04,2026-07-04,Pago,fk_invalida:matricula_id
422,36,2025-08-01,35,2025-01-08,2025-09-08,Pago,fk_invalida:matricula_id
425,36,2025-11-01,1199,2025-03-11,2025-08-11,Pago,fk_invalida:matricula_id
426,36,2025-12-01,109,2025-01-12,2025-08-12,Pago,fk_invalida:matricula_id
433,37,2025-07-01,99,2025-02-07,2025-01-07,Pago,fk_invalida:matricula_id
434,37,2025-08-01,35,2025-03-08,2025-08-08,Pago,fk_invalida:matricula_id
435,37,2025-09-01,35,2025-03-09,2025-07-09,Pago,fk_invalida:matricula_id
438,37,2025-12-01,109,2025-02-12,2025-05-12,Pago,fk_invalida:matricula_id
441,37,2026-03-01,699,2026-03-03,2026-09-03,Pago,fk_invalida:matricula_id
445,38,2025-07-01,35,2025-05-07,2025-08-07,Pago,fk_invalida:matricula_id
446,38,2025-08-01,99,2025-01-08,2025-11-08,Pago,fk_invalida:matricula_id
447,38,2025-09-01,699,2025-02-09,2025-01-09,Pago,fk_invalida:matricula_id
453,38,2026-03-01,699,2026-02-03,2026-06-03,Pago,fk_invalida:matricula_id
454,38,2026-04-01,1199,2026-02-04,2026-11-04,Pago,fk_invalida:matricula_id
457,39,2025-07-01,149,2025-02-07,2025-01-07,Pago,fk_invalida:matricula_id
469,40,2025-07-01,99,2025-06-07,2025-08-07,Pago,fk_invalida:matricula_id
470,40,2025-08-01,99,2025-01-08,2025-01-08,Pago,fk_invalida:matricula_id
471,40,2025-09-01,1199,2025-02-09,2025-04-09,Pago,fk_invalida:matricula_id
478,40,2026-04-01,699,2026-01-04,2026-12-04,Pago,fk_invalida:matricula_id
481,41,2025-07-01,399,2025-06-07,2025-11-07,Pago,fk_invalida:matricula_id
484,41,2025-10-01,99,2025-03-10,,Vencido,fk_invalida:matricula_id
487,41,2026-01-01,1199,2026-02-01,2026-03-01,Pago,fk_invalida:matricula_id
489,41,2026-03-01,699,2026-01-03,2026-07-03,Pago,fk_invalida:matricula_id
492,41,2026-06-01,1199,2026-01-06,2026-09-06,Pago,fk_invalida:matricula_id
494,42,2025-08-01,1199,2025-03-08,2025-08-08,Pago,fk_invalida:matricula_id
499,42,2026-01-01,699,2026-01-01,2026-05-01,Pago,fk_invalida:matricula_id
505,43,2025-07-01,199,2025-05-07,2025-05-07,Pago,fk_invalida:matricula_id
509,43,2025-11-01,1199,2025-02-11,2025-06-11,Pago,fk_invalida:matricula_id
517,44,2025-07-01,1199,2025-03-07,,Vencido,fk_invalida:matricula_id
518,44,2025-08-01,399,2025-02-08,2025-05-08,Pago,fk_invalida:matricula_id
519,44,2025-09-01,109,2025-03-09,2025-02-09,Pago,fk_invalida:matricula_id
520,44,2025-10-01,1199,2025-04-10,2025-12-10,Pago,fk_invalida:matricula_id
525,44,2026-03-01,109,2026-03-03,2026-09-03,Pago,fk_invalida:matricula_id
529,45,2025-07-01,109,2025-05-07,2025-07-07,Pago,fk_invalida:matricula_id
530,45,2025-08-01,199,2025-02-08,2025-01-08,Pago,fk_invalida:matricula_id
531,45,2025-09-01,109,2025-03-09,2025-05-09,Pago,fk_invalida:matricula_id
541,46,2025-07-01,699,2025-01-07,2025-02-07,Pago,fk_invalida:matricula_id
553,47,2025-07-01,149,2025-05-07,2025-02-07,Pago,fk_invalida:matricula_id
557,47,2025-11-01,399,2025-02-11,2025-06-11,Pago,fk_invalida:matricula_id
558,47,2025-12-01,699,2025-03-12,2025-07-12,Pago,fk_invalida:matricula_id
561,47,2026-03-01,399,2026-02-03,2026-07-03,Pago,fk_invalida:matricula_id
569,48,2025-11-01,99,2025-02-11,2025-10-11,Pago,fk_invalida:matricula_id
577,49,2025-07-01,399,2025-01-07,2025-07-07,Pago,fk_invalida:matricula_id
578,49,2025-08-01,109,2025-04-08,2025-10-08,Pago,fk_invalida:matricula_id
585,49,2026-03-01,699,2026-03-03,2026-05-03,Pago,fk_invalida:matricula_id
589,50,2025-07-01,99,2025-02-07,2025-05-07,Pago,fk_invalida:matricula_id
592,50,2025-10-01,699,2025-01-10,2025-01-10,Pago,fk_invalida:matricula_id
594,50,2025-12-01,199,2025-01-12,2025-07-12,Pago,fk_invalida:matricula_id
596,50,2026-02-01,99,2026-01-02,2026-10-02,Pago,fk_invalida:matricula_id
597,50,2026-03-01,699,2026-03-03,2026-06-03,Pago,fk_invalida:matricula_id
599,50,2026-05-01,399,2026-01-05,,Vencido,fk_invalida:matricula_id
603,51,2025-09-01,149,2025-01-09,2025-07-09,Pago,fk_invalida:matricula_id
611,51,2026-05-01,149,2026-02-05,,Vencido,fk_invalida:matricula_id
614,52,2025-08-01,399,2025-05-08,2025-03-08,Pago,fk_invalida:matricula_id
615,52,2025-09-01,35,2025-01-09,,Vencido,fk_invalida:matricula_id
616,52,2025-10-01,1199,2025-04-10,2025-08-10,Pago,fk_invalida:matricula_id
617,52,2025-11-01,99,2025-01-11,2025-05-11,Pago,fk_invalida:matricula_id
618,52,2025-12-01,1199,2025-02-12,2025-07-12,Pago,fk_invalida:matricula_id
625,53,2025-07-01,149,2025-03-07,2025-02-07,Pago,fk_invalida:matricula_id
626,53,2025-08-01,35,2025-02-08,2025-03-08,Pago,fk_invalida:matricula_id
627,53,2025-09-01,399,2025-03-09,2025-09-09,Pago,fk_invalida:matricula_id
628,53,2025-10-01,699,2025-03-10,2025-02-10,Pago,fk_invalida:matricula_id
633,53,2026-03-01,149,2026-01-03,2026-04-03,Pago,fk_invalida:matricula_id
637,54,2025-07-01,109,2025-02-07,2025-02-07,Pago,fk_invalida:matricula_id
638,54,2025-08-01,1199,2025-05-08,2025-08-08,Pago,fk_invalida:matricula_id
639,54,2025-09-01,399,2025-02-09,2025-08-09,Pago,fk_invalida:matricula_id
645,54,2026-03-01,109,2026-03-03,,Vencido,fk_invalida:matricula_id
649,55,2025-07-01,109,2025-06-07,2025-06-07,Pago,fk_invalida:matricula_id
652,55,2025-10-01,399,2025-02-10,2025-02-10,Pago,fk_invalida:matricula_id
653,55,2025-11-01,199,2025-01-11,2025-01-11,Pago,fk_invalida:matricula_id
654,55,2025-12-01,1199,2025-01-12,2025-10-12,Pago,fk_invalida:matricula_id
655,55,2026-01-01,199,2026-01-01,2026-11-01,Pago,fk_invalida:matricula_id
660,55,2026-06-01,99,2026-01-06,,Vencido,fk_invalida:matricula_id
662,56,2025-08-01,399,2025-01-08,2025-03-08,Pago,fk_invalida:matricula_id
663,56,2025-09-01,35,2025-01-09,2025-02-09,Pago,fk_invalida:matricula_id
664,56,2025-10-01,35,2025-01-10,2025-06-10,Pago,fk_invalida:matricula_id
666,56,2025-12-01,399,2025-01-12,2025-09-12,Pago,fk_invalida:matricula_id
667,56,2026-01-01,109,2026-01-01,2026-07-01,Pago,fk_invalida:matricula_id
669,56,2026-03-01,699,2026-02-03,,Vencido,fk_invalida:matricula_id
673,57,2025-07-01,699,2025-02-07,2025-02-07,Pago,fk_invalida:matricula_id
675,57,2025-09-01,149,2025-01-09,2025-03-09,Pago,fk_invalida:matricula_id
682,57,2026-04-01,1199,2026-01-04,2026-09-04,Pago,fk_invalida:matricula_id
684,57,2026-06-01,35,2026-01-06,2026-11-06,Pago,fk_invalida:matricula_id
685,58,2025-07-01,99,2025-04-07,2025-07-07,Pago,fk_invalida:matricula_id
699,59,2025-09-01,1199,2025-03-09,2025-06-09,Pago,fk_invalida:matricula_id
702,59,2025-12-01,1199,2025-01-12,2025-01-12,Pago,fk_invalida:matricula_id
709,60,2025-07-01,35,2025-02-07,2025-03-07,Pago,fk_invalida:matricula_id
710,60,2025-08-01,109,2025-05-08,2025-11-08,Pago,fk_invalida:matricula_id
714,60,2025-12-01,149,2025-02-12,,Vencido,fk_invalida:matricula_id
722,61,2025-08-01,35,2025-03-08,2025-08-08,Pago,fk_invalida:matricula_id
723,61,2025-09-01,399,2025-02-09,2025-04-09,Pago,fk_invalida:matricula_id
726,61,2025-12-01,199,2025-02-12,2025-09-12,Pago,fk_invalida:matricula_id
727,61,2026-01-01,35,2026-02-01,2026-07-01,Pago,fk_invalida:matricula_id
733,62,2025-07-01,109,2025-06-07,2025-05-07,Pago,fk_invalida:matricula_id
736,62,2025-10-01,399,2025-02-10,2025-08-10,Pago,fk_invalida:matricula_id
741,62,2026-03-01,1199,2026-02-03,2026-04-03,Pago,fk_invalida:matricula_id
742,62,2026-04-01,199,2026-02-04,2026-03-04,Pago,fk_invalida:matricula_id
750,63,2025-12-01,1199,2025-02-12,,Vencido,fk_invalida:matricula_id
753,63,2026-03-01,149,2026-02-03,2026-04-03,Pago,fk_invalida:matricula_id
757,64,2025-07-01,199,2025-03-07,2025-09-07,Pago,fk_invalida:matricula_id
769,65,2025-07-01,109,2025-03-07,2025-06-07,Pago,fk_invalida:matricula_id
772,65,2025-10-01,199,2025-03-10,2025-03-10,Pago,fk_invalida:matricula_id
773,65,2025-11-01,149,2025-01-11,2025-04-11,Pago,fk_invalida:matricula_id
776,65,2026-02-01,699,2026-01-02,2026-04-02,Pago,fk_invalida:matricula_id
777,65,2026-03-01,199,2026-03-03,2026-02-03,Pago,fk_invalida:matricula_id
780,65,2026-06-01,109,2026-01-06,2026-12-06,Pago,fk_invalida:matricula_id
785,66,2025-11-01,699,2025-02-11,2025-01-11,Pago,fk_invalida:matricula_id
790,66,2026-04-01,1199,2026-01-04,2026-03-04,Pago,fk_invalida:matricula_id
793,67,2025-07-01,699,2025-04-07,,Vencido,fk_invalida:matricula_id
797,67,2025-11-01,99,2025-01-11,2025-10-11,Pago,fk_invalida:matricula_id
803,67,2026-05-01,149,2026-02-05,2026-08-05,Pago,fk_invalida:matricula_id
805,68,2025-07-01,199,2025-01-07,2025-03-07,Pago,fk_invalida:matricula_id
810,68,2025-12-01,199,2025-03-12,,Vencido,fk_invalida:matricula_id
812,68,2026-02-01,35,2026-01-02,,Vencido,fk_invalida:matricula_id
817,69,2025-07-01,99,2025-04-07,2025-07-07,Pago,fk_invalida:matricula_id
819,69,2025-09-01,109,2025-04-09,,Vencido,fk_invalida:matricula_id
820,69,2025-10-01,1199,2025-03-10,2025-03-10,Pago,fk_invalida:matricula_id
823,69,2026-01-01,35,2026-02-01,2026-01-01,Pago,fk_invalida:matricula_id
829,70,2025-07-01,399,2025-06-07,,Vencido,fk_invalida:matricula_id
830,70,2025-08-01,1199,2025-01-08,2025-11-08,Pago,fk_invalida:matricula_id
831,70,2025-09-01,99,2025-03-09,2025-07-09,Pago,fk_invalida:matricula_id
832,70,2025-10-01,109,2025-04-10,2025-04-10,Pago,fk_invalida:matricula_id
833,70,2025-11-01,1199,2025-02-11,2025-09-11,Pago,fk_invalida:matricula_id
834,70,2025-12-01,149,2025-03-12,2025-04-12,Pago,fk_invalida:matricula_id
838,70,2026-04-01,699,2026-02-04,2026-06-04,Pago,fk_invalida:matricula_id
841,71,2025-07-01,149,2025-05-07,2025-02-07,Pago,fk_invalida:matricula_id
842,71,2025-08-01,99,2025-02-08,2025-07-08,Pago,fk_invalida:matricula_id
844,71,2025-10-01,149,2025-04-10,2025-09-10,Pago,fk_invalida:matricula_id
845,71,2025-11-01,199,2025-02-11,,Vencido,fk_invalida:matricula_id
853,72,2025-07-01,199,2025-01-07,2025-04-07,Pago,fk_invalida:matricula_id
854,72,2025-08-01,109,2025-04-08,2025-05-08,Pago,fk_invalida:matricula_id
856,72,2025-10-01,399,2025-04-10,2025-11-10,Pago,fk_invalida:matricula_id
859,72,2026-01-01,149,2026-02-01,2026-04-01,Pago,fk_invalida:matricula_id
866,73,2025-08-01,1199,2025-01-08,2025-01-08,Pago,fk_invalida:matricula_id
867,73,2025-09-01,1199,2025-01-09,,Vencido,fk_invalida:matricula_id
878,74,2025-08-01,1199,2025-03-08,2025-07-08,Pago,fk_invalida:matricula_id
882,74,2025-12-01,109,2025-02-12,2025-01-12,Pago,fk_invalida:matricula_id
889,75,2025-07-01,35,2025-03-07,2025-01-07,Pago,fk_invalida:matricula_id
899,75,2026-05-01,399,2026-01-05,2026-10-05,Pago,fk_invalida:matricula_id
901,76,2025-07-01,99,2025-02-07,2025-05-07,Pago,fk_invalida:matricula_id
904,76,2025-10-01,99,2025-03-10,2025-01-10,Pago,fk_invalida:matricula_id
905,76,2025-11-01,1199,2025-02-11,,Vencido,fk_invalida:matricula_id
913,77,2025-07-01,99,2025-06-07,2025-04-07,Pago,fk_invalida:matricula_id
914,77,2025-08-01,699,2025-01-08,2025-03-08,Pago,fk_invalida:matricula_id
915,77,2025-09-01,35,2025-03-09,,Vencido,fk_invalida:matricula_id
919,77,2026-01-01,109,2026-01-01,2026-04-01,Pago,fk_invalida:matricula_id
921,77,2026-03-01,99,2026-02-03,2026-05-03,Pago,fk_invalida:matricula_id
925,78,2025-07-01,399,2025-03-07,2025-01-07,Pago,fk_invalida:matricula_id
926,78,2025-08-01,399,2025-01-08,2025-11-08,Pago,fk_invalida:matricula_id
929,78,2025-11-01,699,2025-03-11,2025-03-11,Pago,fk_invalida:matricula_id
930,78,2025-12-01,399,2025-02-12,,Vencido,fk_invalida:matricula_id
935,78,2026-05-01,699,2026-01-05,2026-03-05,Pago,fk_invalida:matricula_id
938,79,2025-08-01,199,2025-04-08,2025-11-08,Pago,fk_invalida:matricula_id
947,79,2026-05-01,1199,2026-02-05,2026-12-05,Pago,fk_invalida:matricula_id
949,80,2025-07-01,35,2025-03-07,2025-07-07,Pago,fk_invalida:matricula_id
951,80,2025-09-01,399,2025-03-09,2025-07-09,Pago,fk_invalida:matricula_id
952,80,2025-10-01,699,2025-02-10,2025-12-10,Pago,fk_invalida:matricula_id
954,80,2025-12-01,399,2025-03-12,2025-04-12,Pago,fk_invalida:matricula_id
962,81,2025-08-01,99,2025-04-08,2025-07-08,Pago,fk_invalida:matricula_id
966,81,2025-12-01,699,2025-03-12,2025-12-12,Pago,fk_invalida:matricula_id
967,81,2026-01-01,149,2026-01-01,2026-05-01,Pago,fk_invalida:matricula_id
970,81,2026-04-01,149,2026-01-04,2026-01-04,Pago,fk_invalida:matricula_id
974,82,2025-08-01,35,2025-04-08,,Vencido,fk_invalida:matricula_id
975,82,2025-09-01,109,2025-02-09,2025-07-09,Pago,fk_invalida:matricula_id
979,82,2026-01-01,149,2026-01-01,,Vencido,fk_invalida:matricula_id
981,82,2026-03-01,109,2026-03-03,2026-06-03,Pago,fk_invalida:matricula_id
986,83,2025-08-01,109,2025-01-08,2025-04-08,Pago,fk_invalida:matricula_id
987,83,2025-09-01,1199,2025-03-09,2025-04-09,Pago,fk_invalida:matricula_id
994,83,2026-04-01,399,2026-01-04,2026-03-04,Pago,fk_invalida:matricula_id
997,84,2025-07-01,149,2025-03-07,2025-11-07,Pago,fk_invalida:matricula_id
1000,84,2025-10-01,149,2025-02-10,2025-12-10,Pago,fk_invalida:matricula_id
1001,84,2025-11-01,35,2025-03-11,2025-05-11,Pago,fk_invalida:matricula_id
1002,84,2025-12-01,109,2025-02-12,2025-11-12,Pago,fk_invalida:matricula_id
1006,84,2026-04-01,109,2026-01-04,2026-01-04,Pago,fk_invalida:matricula_id
1007,84,2026-05-01,1199,2026-01-05,2026-01-05,Pago,fk_invalida:matricula_id
1011,85,2025-09-01,35,2025-03-09,2025-07-09,Pago,fk_invalida:matricula_id
1013,85,2025-11-01,109,2025-02-11,2025-12-11,Pago,fk_invalida:matricula_id
1026,86,2025-12-01,149,2025-03-12,2025-02-12,Pago,fk_invalida:matricula_id
1027,86,2026-01-01,199,2026-01-01,,Vencido,fk_invalida:matricula_id
1030,86,2026-04-01,199,2026-02-04,2026-08-04,Pago,fk_invalida:matricula_id
1033,87,2025-07-01,99,2025-03-07,2025-06-07,Pago,fk_invalida:matricula_id
1034,87,2025-08-01,109,2025-04-08,,Vencido,fk_invalida:matricula_id
1036,87,2025-10-01,699,2025-02-10,,Vencido,fk_invalida:matricula_id
1046,88,2025-08-01,35,2025-04-08,2025-10-08,Pago,fk_invalida:matricula_id
1049,88,2025-11-01,699,2025-01-11,2025-10-11,Pago,fk_invalida:matricula_id
1052,88,2026-02-01,399,2026-01-02,2026-04-02,Pago,fk_invalida:matricula_id
1058,89,2025-08-01,149,2025-03-08,2025-11-08,Pago,fk_invalida:matricula_id
1059,89,2025-09-01,699,2025-03-09,2025-03-09,Pago,fk_invalida:matricula_id
1063,89,2026-01-01,199,2026-02-01,2026-07-01,Pago,fk_invalida:matricula_id
1065,89,2026-03-01,1199,2026-03-03,2026-02-03,Pago,fk_invalida:matricula_id
1069,90,2025-07-01,199,2025-02-07,2025-11-07,Pago,fk_invalida:matricula_id
1070,90,2025-08-01,149,2025-05-08,2025-09-08,Pago,fk_invalida:matricula_id
1071,90,2025-09-01,1199,2025-02-09,2025-09-09,Pago,fk_invalida:matricula_id
1072,90,2025-10-01,1199,2025-04-10,2025-06-10,Pago,fk_invalida:matricula_id
1079,90,2026-05-01,699,2026-01-05,2026-11-05,Pago,fk_invalida:matricula_id
1081,91,2025-07-01,199,2025-01-07,2025-09-07,Pago,fk_invalida:matricula_id
1085,91,2025-11-01,399,2025-02-11,2025-04-11,Pago,fk_invalida:matricula_id
1090,91,2026-04-01,149,2026-01-04,2026-05-04,Pago,fk_invalida:matricula_id
1093,92,2025-07-01,399,2025-06-07,2025-10-07,Pago,fk_invalida:matricula_id
1099,92,2026-01-01,1199,2026-01-01,2026-05-01,Pago,fk_invalida:matricula_id
1105,93,2025-07-01,1199,2025-01-07,2025-10-07,Pago,fk_invalida:matricula_id
1106,93,2025-08-01,149,2025-02-08,,Vencido,fk_invalida:matricula_id
1118,94,2025-08-01,109,2025-03-08,2025-03-08,Pago,fk_invalida:matricula_id
1119,94,2025-09-01,35,2025-02-09,2025-03-09,Pago,fk_invalida:matricula_id
1125,94,2026-03-01,699,2026-02-03,2026-05-03,Pago,fk_invalida:matricula_id
1132,95,2025-10-01,149,2025-03-10,2025-11-10,Pago,fk_invalida:matricula_id
1133,95,2025-11-01,1199,2025-03-11,2025-11-11,Pago,fk_invalida:matricula_id
