loto_id;ativo_id;pessoa_id;cadeado_id;data_inicio;data_fim;motivo;status
LO00038;AT0284;P00778;CD0339;2025-05-05 00:00:00;2025-02-03;Manutenção;Concluído
LO00039;AT0139;P00907;CD0257;2025-07-14 00:00:00;2024-08-05;Setup;Ativo
LO00040;AT0105;P00471;CD0275;2026-07-16 00:00:00;2024-07-29;Manutenção;Ativo
LO00041;AT0305;P00713;CD0373;2025-04-13 00:00:00;2025-07-10;Manutenção;Concluído
LO00042;AT0129;P01488;CD0735;2026-03-19 00:00:00;2025-12-13;Manutenção;Concluído
LO00043;AT0278;P00002;CD0474;2025-07-10 00:00:00;2024-12-20;Manutenção;Concluído
LO00044;AT0147;P00158;CD0107;2025-03-18 00:00:00;2025-07-07;Setup;Concluído
LO00045;AT0307;P00798;CD0437;2024-08-15 00:00:00;2025-08-23;Limpeza;Concluído
LO00046;AT0275;P01130;CD0128;2025-11-27 00:00:00;2025-04-30;Setup;Concluído
LO00047;AT0362;P00998;CD0343;2024-12-02 00:00:00;2025-02-14;Setup;Concluído
LO00048;AT0237;P00949;CD0819;2026-04-12 00:00:00;2024-05-29;Manutenção;Ativo
LO00049;AT0120;P01380;CD0467;2024-04-21 00:00:00;2026-01-06;Limpeza;Concluído
LO00050;AT0200;P01116;CD0035;2026-06-29 00:00:00;2024-07-17;Setup;Concluído
LO00051;AT0194;P01167;CD0750;2024-12-26 00:00:00;2026-05-10;Setup;Concluído
LO00052;AT0172;P00290;CD0589;2025-11-26 00:00:00;2024-05-22;Manutenção;Concluído
LO00053;AT0086;P00468;CD0679;2025-02-15 00:00:00;2024-04-26;Setup;Concluído
LO00054;AT0160;P00432;CD0458;2024-04-22 00:00:00;2025-06-09;Limpeza;Concluído
LO00055;AT0260;P00034;CD0509;2026-04-08 00:00:00;2024-10-10;Inspeção;Concluído
LO00056;AT0314;P00989;CD0224;2025-07-10 00:00:00;2024-07-30;Limpeza;Concluído
LO00057;AT0177;P01083;CD0475;2025-05-31 00:00:00;2025-08-17;Inspeção;Concluído
LO00058;AT0363;P00348;CD0678;2025-01-14 00:00:00;2024-05-29;Setup;Ativo
LO00059;AT0100;P00282;CD0750;2025-05-12 00:00:00;2025-05-03;Inspeção;Concluído
LO00060;AT0354;P00861;CD0266;2024-07-20 00:00:00;2024-07-25;Inspeção;Ativo
LO00061;AT0227;P01464;CD0375;2026-01-02 00:00:00;2026-05-13;Setup;Ativo
LO00062;AT0062;P01469;CD0191;2024-11-29 00:00:00;2026-05-09;Setup;Concluído
LO00063;AT0211;P00122;CD0467;2025-06-04 00:00:00;2025-03-20;Inspeção;Concluído
LO00064;AT0023;P01452;CD0544;2026-07-23 00:00:00;2026-02-14;Setup;Concluído
LO00065;AT0214;P00287;CD0607;2026-05-18 00:00:00;2026-05-28;Inspeção;Ativo
LO00066;AT0373;P00819;CD0470;2025-06-09 00:00:00;2025-11-11;Inspeção;Concluído
LO00067;AT0203;P01372;CD0081;2025-04-15 00:00:00;2025-10-20;Limpeza;Concluído
LO00068;AT0417;P01010;CD0328;2025-03-04 00:00:00;2025-01-15;Inspeção;Concluído
LO00069;AT0210;P00696;CD0008;2025-04-22 00:00:00;2026-05-31;Inspeção;Concluído
LO00070;AT0175;P00045;CD0146;2024-07-06 00:00:00;2024-02-12;Manutenção;Concluído
LO00071;AT0174;P00476;CD0296;2024-03-06 00:00:00;2025-09-26;Limpeza;Ativo
LO00072;AT0266;P00059;CD0660;2024-12-23 00:00:00;2024-01-09;Inspeção;Concluído
LO00073;AT0055;P00422;CD0721;2025-02-23 00:00:00;2026-04-16;Inspeção;Concluído
LO00074;AT0344;P00586;CD0152;2025-01-07 00:00:00;2024-06-26;Setup;Concluído
LO00075;AT0232;P01492;CD0198;2025-02-19 00:00:00;2024-09-14;Limpeza;Ativo
LO00076;AT0026;P00094;CD0179;2025-12-18 00:00:00;2026-04-03;Manutenção;Concluído
LO00077;AT0333;P00940;CD0120;2024-10-26 00:00:00;2024-09-22;Manutenção;Concluído
LO00078;AT0112;P01232;CD0452;2026-03-03 00:00:00;2026-04-06;Setup;Concluído
LO00079;AT0070;P00604;CD0819;2025-11-24 00:00:00;2024-03-30;Setup;Ativo
LO00080;AT0204;P00807;CD0501;2024-08-28 00:00:00;2024-10-07;Manutenção;Concluído
LO00081;AT0321;P00337;CD0259;2025-05-19 00:00:00;2025-01-27;Limpeza;Ativo
LO00082;AT0149;P00223;CD0799;2026-03-07 00:00:00;2025-05-09;Manutenção;Concluído
LO00083;AT0230;P01311;CD0326;2024-09-11 00:00:00;2025-01-02;Limpeza;Ativo
LO00084;AT0209;P01296;CD0640;2024-11-21 00:00:00;2025-07-18;Manutenção;Concluído
LO00085;AT0318;P00431;CD0836;2025-09-26 00:00:00;2026-01-14;Inspeção;Concluído
LO00086;AT0285;P01401;CD0076;2025-12-20 00:00:00;2025-12-05;Setup;Cancelado
LO00087;AT0266;P00244;CD0806;2024-03-11 00:00:00;2025-09-19;Setup;Concluído
LO00088;AT0387;P01172;CD0628;2026-04-20 00:00:00;2025-08-07;Manutenção;Concluído
LO00089;AT0405;P01168;CD0314;2025-07-30 00:00:00;2025-04-17;Limpeza;Concluído
LO00090;AT0185;P00859;CD0190;2026-05-28 00:00:00;2024-05-03;Inspeção;Concluído
LO00091;AT0235;P00789;CD0694;2024-03-08 00:00:00;2025-06-10;Setup;Concluído
LO00092;AT0044;P01352;CD0566;2024-02-17 00:00:00;2026-04-12;Limpeza;Cancelado
LO00093;AT0348;P00514;CD0444;2026-04-17 00:00:00;2026-01-14;Setup;Concluído
LO00094;AT0298;P00777;CD0257;2024-12-15 00:00:00;2025-04-08;Setup;Concluído
LO00095;AT0412;P00280;CD0645;2024-05-09 00:00:00;2025-12-11;Inspeção;Concluído
LO00096;AT0159;P00627;CD0358;2025-04-01 00:00:00;2024-09-03;Setup;Concluído
LO00097;AT0302;P01243;CD0512;2025-02-01 00:00:00;2024-06-16;Limpeza;Ativo
LO00098;AT0329;P00913;CD0685;2026-07-04 00:00:00;2025-05-20;Limpeza;Concluído
LO00099;AT0376;P01488;CD0672;2026-04-19 00:00:00;2026-02-10;Manutenção;Concluído
LO00100;AT0416;P01485;CD0556;2026-07-15 00:00:00;2025-12-23;Limpeza;Concluído
LO00101;AT0206;P00660;CD0599;2026-07-04 00:00:00;2026-01-08;Limpeza;Concluído
LO00102;AT0411;P00917;CD0049;2025-07-21 00:00:00;2025-01-19;Limpeza;Concluído
LO00103;AT0276;P00666;CD0184;2024-06-10 00:00:00;2024-06-06;Inspeção;Concluído
LO00104;AT0139;P00111;CD0570;2025-09-11 00:00:00;2026-01-24;Inspeção;Concluído
LO00105;AT0118;P00542;CD0397;2025-09-26 00:00:00;2024-06-05;Inspeção;Concluído
LO00106;AT0364;P00676;CD0103;2024-10-19 00:00:00;2024-04-21;Setup;Concluído
LO00107;AT0412;P01477;CD0606;2024-11-12 00:00:00;2024-11-30;Setup;Concluído
LO00108;AT0307;P00671;CD0508;2024-07-19 00:00:00;2024-07-12;Manutenção;Concluído
LO00109;AT0260;P00492;CD0523;2026-02-22 00:00:00;2024-03-29;Limpeza;Concluído
LO00110;AT0317;P00769;CD0746;2024-11-30 00:00:00;2025-11-22;Setup;Concluído
LO00111;AT0061;P00539;CD0544;2025-03-28 00:00:00;2026-04-13;Limpeza;Cancelado
LO00112;AT0007;P01245;CD0382;2024-02-12 00:00:00;2024-06-18;Setup;Concluído
LO00113;AT0302;P00741;CD0493;2025-11-19 00:00:00;2025-05-30;Inspeção;Ativo
LO00114;AT0399;P00779;CD0374;2025-05-22 00:00:00;2025-08-27;Inspeção;Concluído
LO00115;AT0014;P00714;CD0140;2026-04-23 00:00:00;2024-01-09;Limpeza;Concluído
LO00116;AT0211;P01262;CD0822;2026-02-15 00:00:00;2025-06-29;Setup;Ativo
LO00117;AT0213;P00709;CD0119;2026-01-27 00:00:00;2024-08-07;Manutenção;Concluído
LO00118;AT0186;P01036;CD0044;2025-08-29 00:00:00;2024-09-22;Manutenção;Concluído
LO00119;AT0335;P00056;CD0706;2025-07-11 00:00:00;2025-01-25;Manutenção;Ativo
LO00120;AT0368;P01337;CD0718;2024-05-03 00:00:00;2026-04-30;Manutenção;Concluído
LO00121;AT0291;P00905;CD0596;2025-05-18 00:00:00;2024-06-01;Setup;Ativo
LO00122;AT0258;P01131;CD0712;2024-07-17 00:00:00;2024-07-15;Limpeza;Concluído
LO00123;AT0149;P01446;CD0651;2025-10-17 00:00:00;2025-08-31;Inspeção;Concluído
LO00124;AT0123;P01482;CD0246;2024-04-04 00:00:00;2026-04-21;Inspeção;Concluído
LO00125;AT0297;P00630;CD0139;2024-12-29 00:00:00;2024-10-09;Manutenção;Concluído
LO00126;AT0059;P00348;CD0086;2024-05-07 00:00:00;2026-05-16;Inspeção;Concluído
LO00127;AT0406;P00886;CD0348;2024-07-15 00:00:00;2026-05-19;Limpeza;Concluído
LO00128;AT0267;P00040;CD0014;2025-03-03 00:00:00;2026-05-17;Limpeza;Concluído
LO00129;AT0142;P00963;CD0107;2025-04-13 00:00:00;2025-01-20;Setup;Concluído
LO00130;AT0313;P01217;CD0673;2024-02-20 00:00:00;2026-07-20;Inspeção;Ativo
LO00131;AT0098;P00576;CD0585;2024-05-31 00:00:00;2025-12-31;Inspeção;Concluído
LO00132;AT0201;P00229;CD0218;2025-11-27 00:00:00;2024-11-15;Setup;Concluído
LO00133;AT0189;P01258;CD0328;2024-01-27 00:00:00;2025-11-27;Limpeza;Concluído
LO00134;AT0395;P01231;CD0464;2025-06-23 00:00:00;2025-02-12;Inspeção;Concluído
LO00135;AT0359;P00749;CD0083;2025-12-01 00:00:00;2024-03-18;Manutenção;Concluído
LO00136;AT0105;P00710;CD0837;2025-07-16 00:00:00;2024-04-29;Setup;Concluído
LO00137;AT0125;P01218;CD0576;2026-01-06 00:00:00;2025-07-09;Limpeza;Ativo
LO00138;AT0106;P00004;CD0555;2024-08-11 00:00:00;2024-11-20;Setup;Concluído
LO00139;AT0147;P00162;CD0334;2025-06-05 00:00:00;2026-03-16;Setup;Ativo
LO00140;AT0303;P00742;CD0706;2026-06-23 00:00:00;2025-07-16;Limpeza;Concluído
LO00141;AT0403;P00635;CD0400;2024-07-20 00:00:00;2024-09-05;Limpeza;Concluído
LO00142;AT0315;P01408;CD0049;2026-03-03 00:00:00;2026-04-21;Inspeção;Concluído
LO00143;AT0373;P01372;CD0063;2025-12-27 00:00:00;2024-03-14;Inspeção;Concluído
LO00144;AT0243;P00511;CD0695;2025-08-18 00:00:00;2024-06-19;Manutenção;Concluído
LO00145;AT0270;P01300;CD0692;2025-04-15 00:00:00;2025-07-24;Inspeção;Concluído
LO00146;AT0326;P00514;CD0788;2025-02-27 00:00:00;2026-06-24;Limpeza;Concluído
LO00147;AT0114;P00467;CD0296;2025-02-17 00:00:00;2024-01-25;Manutenção;Ativo
LO00148;AT0287;P00171;CD0589;2026-07-21 00:00:00;2025-08-02;Manutenção;Ativo
LO00149;AT0006;P00198;CD0551;2024-05-07 00:00:00;2026-07-12;Setup;Concluído
LO00150;AT0024;P00186;CD0300;2024-02-26 00:00:00;2024-04-22;Manutenção;Concluído
LO00151;AT0014;P00941;CD0075;2026-04-29 00:00:00;2024-10-31;Manutenção;Concluído
LO00152;AT0198;P00738;CD0434;2025-10-07 00:00:00;2024-01-18;Manutenção;Concluído
LO00153;AT0023;P00824;CD0427;2024-07-29 00:00:00;2024-10-21;Limpeza;Concluído
LO00154;AT0404;P00387;CD0236;2024-01-23 00:00:00;2026-01-10;Manutenção;Concluído
LO00155;AT0329;P00454;CD0688;2025-01-05 00:00:00;2026-01-30;Setup;Cancelado
LO00156;AT0009;P00461;CD0622;2024-04-08 00:00:00;2024-09-07;Manutenção;Concluído
LO00157;AT0310;P00773;CD0395;2024-08-13 00:00:00;2026-06-02;Manutenção;Concluído
LO00158;AT0073;P00092;CD0529;2025-07-31 00:00:00;2025-08-02;Setup;Concluído
LO00159;AT0120;P00681;CD0224;2025-04-14 00:00:00;2026-02-25;Setup;Concluído
LO00160;AT0255;P01268;CD0036;2025-04-25 00:00:00;2026-05-24;Inspeção;Ativo
LO00161;AT0176;P00392;CD0089;2025-07-06 00:00:00;2026-03-29;Setup;Concluído
LO00162;AT0322;P01213;CD0376;2024-09-16 00:00:00;2024-09-21;Inspeção;Concluído
LO00163;AT0412;P00500;CD0743;2026-02-04 00:00:00;2024-05-26;Limpeza;Concluído
LO00164;AT0221;P01035;CD0046;2025-08-05 00:00:00;2026-01-28;Limpeza;Ativo
LO00165;AT0103;P00283;CD0088;2024-12-03 00:00:00;2026-04-19;Limpeza;Concluído
LO00166;AT0112;P01445;CD0784;2024-06-06 00:00:00;2025-07-09;Inspeção;Cancelado
LO00167;AT0167;P01384;CD0352;2025-07-27 00:00:00;2024-07-19;Setup;Concluído
LO00168;AT0392;P00062;CD0056;2024-09-04 00:00:00;2024-05-02;Inspeção;Ativo
LO00169;AT0154;P00949;CD0063;2025-01-23 00:00:00;2024-11-29;Manutenção;Concluído
LO00170;AT0159;P00368;CD0281;2025-11-06 00:00:00;2024-12-08;Setup;Ativo
LO00171;AT0386;P00415;CD0055;2024-10-31 00:00:00;2024-12-29;Limpeza;Concluído
LO00172;AT0217;P00421;CD0781;2026-06-06 00:00:00;2024-09-01;Manutenção;Concluído
LO00173;AT0104;P01326;CD0359;2025-01-01 00:00:00;2025-06-27;Manutenção;Concluído
LO00174;AT0261;P01326;CD0563;2024-04-26 00:00:00;2025-04-13;Setup;Concluído
LO00175;AT0023;P00223;CD0174;2024-09-29 00:00:00;2024-08-30;Setup;Concluído
LO00176;AT0146;P00299;CD0768;2026-01-22 00:00:00;2024-06-03;Inspeção;Ativo
LO00177;AT0205;P00663;CD0492;2024-01-31 00:00:00;2026-07-20;Limpeza;Concluído
LO00178;AT0132;P00230;CD0538;2026-03-22 00:00:00;2025-02-08;Setup;Concluído
LO00179;AT0091;P00996;CD0405;2025-11-12 00:00:00;2026-07-30;Manutenção;Concluído
LO00180;AT0269;P00856;CD0838;2024-04-06 00:00:00;2025-05-11;Manutenção;Concluído
LO00181;AT0266;P00839;CD0368;2026-01-11 00:00:00;2024-05-17;Inspeção;Concluído
LO00182;AT0028;P01368;CD0305;2025-03-29 00:00:00;2024-02-27;Limpeza;Concluído
LO00183;AT0250;P00492;CD0262;2025-07-24 00:00:00;2025-05-09;Inspeção;Concluído
LO00184;AT0046;P00620;CD0539;2024-09-16 00:00:00;2026-01-28;Limpeza;Concluído
LO00185;AT0419;P01471;CD0153;2024-08-29 00:00:00;2026-07-19;Limpeza;Concluído
LO00186;AT0306;P00013;CD0641;2024-02-23 00:00:00;2025-06-27;Setup;Concluído
LO00187;AT0021;P01026;CD0287;2024-05-13 00:00:00;2026-05-31;Setup;Concluído
LO00188;AT0238;P00989;CD0530;2025-02-09 00:00:00;2024-09-10;Setup;Concluído
LO00189;AT0008;P01212;CD0490;2024-04-04 00:00:00;2024-04-04;Setup;Concluído
LO00190;AT0205;P00055;CD0449;2025-03-08 00:00:00;2025-04-18;Inspeção;Concluído
LO00191;AT0166;P00004;CD0697;2024-05-24 00:00:00;2024-06-20;Manutenção;Concluído
LO00192;AT0167;P01219;CD0305;2025-02-01 00:00:00;2026-06-29;Setup;Concluído
LO00193;AT0027;P01175;CD0726;2025-12-17 00:00:00;2025-03-02;Inspeção;Concluído
LO00194;AT0217;P00689;CD0588;2024-03-24 00:00:00;2025-03-05;Limpeza;Concluído
LO00195;AT0301;P00773;CD0274;2024-04-29 00:00:00;2024-07-11;Inspeção;Concluído
LO00196;AT0022;P00162;CD0819;2025-06-13 00:00:00;2024-02-25;Inspeção;Concluído
LO00197;AT0382;P01200;CD0824;2025-08-04 00:00:00;2024-02-24;Limpeza;Concluído
LO00198;AT0413;P00586;CD0062;2025-01-01 00:00:00;2024-11-07;Manutenção;Concluído
LO00199;AT0254;P01169;CD0114;2024-12-18 00:00:00;2024-09-01;Setup;Concluído
LO00200;AT0135;P00948;CD0566;2026-05-08 00:00:00;2026-05-03;Manutenção;Concluído
LO00201;AT0319;P01180;CD0579;2024-11-09 00:00:00;2025-07-18;Limpeza;Concluído
LO00202;AT0072;P01118;CD0215;2026-07-30 00:00:00;2026-05-06;Manutenção;Concluído
LO00203;AT0202;P00806;CD0839;2025-09-21 00:00:00;2024-04-01;Manutenção;Concluído
LO00204;AT0399;P00307;CD0020;2024-01-23 00:00:00;2024-12-06;Manutenção;Ativo
LO00205;AT0105;P00469;CD0586;2025-09-19 00:00:00;2025-10-19;Setup;Ativo
LO00206;AT0013;P00658;CD0719;2026-01-18 00:00:00;2026-01-03;Limpeza;Concluído
LO00207;AT0182;P00025;CD0555;2025-07-29 00:00:00;2026-01-29;Manutenção;Concluído
LO00208;AT0013;P00131;CD0387;2026-06-06 00:00:00;2026-07-15;Manutenção;Ativo
LO00209;AT0137;P00577;CD0639;2026-05-02 00:00:00;2025-10-26;Inspeção;Concluído
LO00210;AT0221;P00968;CD0524;2024-12-26 00:00:00;2025-12-25;Manutenção;Concluído
LO00211;AT0155;P00475;CD0749;2024-08-20 00:00:00;2026-01-05;Limpeza;Ativo
LO00212;AT0193;P00770;CD0057;2026-02-08 00:00:00;2025-01-20;Setup;Concluído
LO00213;AT0206;P00729;CD0845;2026-02-09 00:00:00;2026-01-01;Setup;Concluído
LO00214;AT0179;P00331;CD0270;2025-08-02 00:00:00;2025-02-10;Limpeza;Concluído
LO00215;AT0419;P00068;CD0177;2025-02-20 00:00:00;2026-01-06;Manutenção;Concluído
LO00216;AT0312;P00011;CD0095;2025-09-29 00:00:00;2026-01-02;Limpeza;Concluído
LO00217;AT0140;P00265;CD0339;2024-02-12 00:00:00;2025-10-05;Manutenção;Concluído
LO00218;AT0158;P00179;CD0841;2026-05-28 00:00:00;2024-07-09;Inspeção;Cancelado
LO00219;AT0370;P00041;CD0530;2025-09-15 00:00:00;2026-04-06;Limpeza;Concluído
LO00220;AT0123;P01464;CD0355;2025-10-01 00:00:00;2026-01-20;Manutenção;Concluído
LO00221;AT0249;P00203;CD0115;2025-01-18 00:00:00;2024-04-18;Inspeção;Concluído
LO00222;AT0275;P00700;CD0017;2024-02-05 00:00:00;2025-11-16;Inspeção;Concluído
LO00223;AT0283;P01281;CD0823;2024-11-28 00:00:00;2026-07-24;Limpeza;Concluído
LO00224;AT0235;P00807;CD0511;2024-09-25 00:00:00;2025-06-29;Limpeza;Concluído
LO00225;AT0104;P00534;CD0004;2024-05-09 00:00:00;2024-02-23;Inspeção;Concluído
LO00226;AT0146;P00826;CD0816;2025-09-16 00:00:00;2024-11-30;Inspeção;Ativo
LO00227;AT0031;P01253;CD0068;2026-03-14 00:00:00;2024-09-12;Setup;Concluído
LO00228;AT0165;P00585;CD0624;2025-01-22 00:00:00;2026-04-28;Manutenção;Concluído
LO00229;AT0074;P00772;CD0070;2025-02-21 00:00:00;2024-06-09;Inspeção;Concluído
LO00230;AT0322;P00513;CD0333;2024-03-04 00:00:00;2026-06-08;Inspeção;Concluído
LO00231;AT0378;P00524;CD0067;2026-05-30 00:00:00;2026-07-01;Manutenção;Concluído
LO00232;AT0190;P01171;CD0024;2025-11-17 00:00:00;2025-03-01;Limpeza;Concluído
LO00233;AT0254;P00127;CD0435;2025-05-22 00:00:00;2024-04-09;Limpeza;Concluído
LO00234;AT0398;P00281;CD0236;2025-04-24 00:00:00;2026-06-29;Setup;Concluído
LO00235;AT0026;P00796;CD0485;2025-12-01 00:00:00;2024-06-25;Setup;Concluído
LO00236;AT0408;P01051;CD0549;2026-06-20 00:00:00;2024-10-11;Manutenção;Concluído
LO00237;AT0320;P00712;CD0588;2026-05-06 00:00:00;2026-06-16;Setup;Concluído
LO00238;AT0245;P00685;CD0637;2024-03-27 00:00:00;2024-06-27;Inspeção;Concluído
LO00239;AT0019;P00464;CD0623;2024-05-02 00:00:00;2026-05-26;Manutenção;Ativo
LO00240;AT0203;P00837;CD0422;2026-04-28 00:00:00;2024-05-30;Limpeza;Concluído
LO00241;AT0107;P00566;CD0222;2025-02-08 00:00:00;2026-05-01;Limpeza;Concluído
LO00242;AT0044;P01161;CD0050;2024-07-01 00:00:00;2026-03-23;Limpeza;Ativo
LO00243;AT0054;P00509;CD0452;2026-03-16 00:00:00;2024-05-23;Inspeção;Concluído
LO00244;AT0187;P00006;CD0263;2026-02-04 00:00:00;2026-07-30;Manutenção;Concluído
LO00245;AT0133;P01262;CD0208;2025-11-02 00:00:00;2025-06-12;Manutenção;Concluído
LO00246;AT0397;P00052;CD0192;2026-02-26 00:00:00;2024-09-16;Limpeza;Concluído
LO00247;AT0157;P00659;CD0247;2026-06-26 00:00:00;2026-04-17;Manutenção;Concluído
LO00248;AT0229;P01110;CD0404;2025-06-21 00:00:00;2026-03-23;Limpeza;Concluído
LO00249;AT0378;P00668;CD0181;2025-08-12 00:00:00;2024-09-26;Setup;Concluído
LO00250;AT0274;P00987;CD0515;2024-01-26 00:00:00;2024-05-05;Limpeza;Concluído
LO00251;AT0115;P00514;CD0169;2026-07-22 00:00:00;2026-07-10;Limpeza;Concluído
LO00252;AT0408;P00728;CD0360;2025-04-14 00:00:00;2025-11-07;Limpeza;Cancelado
LO00253;AT0321;P01108;CD0259;2024-09-29 00:00:00;2026-06-17;Limpeza;Concluído
LO00254;AT0216;P00521;CD0476;2025-02-14 00:00:00;2025-01-10;Inspeção;Concluído
LO00255;AT0267;P00496;CD0835;2025-09-01 00:00:00;2025-06-10;Manutenção;Concluído
LO00256;AT0116;P00712;CD0286;2025-01-29 00:00:00;2026-05-28;Inspeção;Concluído
LO00257;AT0253;P00630;CD0830;2024-04-02 00:00:00;2025-09-21;Inspeção;Concluído
LO00258;AT0215;P01061;CD0178;2025-10-07 00:00:00;2026-05-03;Manutenção;Concluído
LO00259;AT0291;P01378;CD0122;2024-11-13 00:00:00;2025-10-11;Inspeção;Concluído
LO00260;AT0246;P00827;CD0670;2025-01-03 00:00:00;2026-05-15;Setup;Concluído
LO00261;AT0121;P01448;CD0636;2026-02-11 00:00:00;2025-09-23;Limpeza;Concluído
LO00262;AT0132;P00497;CD0762;2025-11-22 00:00:00;2025-08-12;Setup;Concluído
LO00263;AT0207;P01137;CD0549;2025-10-22 00:00:00;2026-05-26;Inspeção;Concluído
LO00264;AT0018;P00590;CD0717;2024-01-29 00:00:00;2024-01-08;Limpeza;Concluído
LO00265;AT0384;P00162;CD0657;2026-02-14 00:00:00;2024-12-02;Inspeção;Concluído
LO00266;AT0116;P00237;CD0595;2025-08-28 00:00:00;2026-06-16;Inspeção;Concluído
LO00267;AT0138;P00666;CD0690;2024-07-03 00:00:00;2026-03-29;Limpeza;Concluído
LO00268;AT0383;P01294;CD0284;2024-09-10 00:00:00;2024-10-01;Limpeza;Concluído
LO00269;AT0174;P01216;CD0708;2025-08-10 00:00:00;2026-02-05;Limpeza;Concluído
LO00270;AT0264;P01162;CD0042;2024-08-18 00:00:00;2025-10-15;Setup;Concluído
LO00271;AT0117;P00715;CD0200;2025-07-14 00:00:00;2026-06-18;Inspeção;Ativo
LO00272;AT0175;P00548;CD0454;2024-12-19 00:00:00;2025-08-23;Inspeção;Concluído
LO00273;AT0090;P00745;CD0041;2024-01-07 00:00:00;2024-10-18;Limpeza;Concluído
LO00274;AT0210;P00373;CD0771;2026-04-01 00:00:00;2024-10-26;Inspeção;Ativo
LO00275;AT0022;P00479;CD0474;2024-08-29 00:00:00;2025-11-25;Manutenção;Ativo
LO00276;AT0262;P00295;CD0403;2025-03-02 00:00:00;2025-02-09;Limpeza;Concluído
LO00277;AT0098;P01456;CD0168;2025-05-04 00:00:00;2024-05-15;Inspeção;Concluído
LO00278;AT0062;P00418;CD0229;2025-11-14 00:00:00;2024-12-24;Manutenção;Ativo
LO00279;AT0289;P00767;CD0074;2025-09-14 00:00:00;2026-04-03;Setup;Concluído
LO00280;AT0285;P00763;CD0700;2024-06-04 00:00:00;2026-05-07;Manutenção;Concluído
