acao_id;inspecao_id;responsavel_id;prazo;status;custo
AO00044;IS09839;P01387;2026-01-04 00:00:00;Em execução;15310,28
AO00045;IS03833;P00559;2026-03-09 00:00:00;Concluída;11837,33
AO00046;IS01848;P00828;2024-03-27 00:00:00;Atrasada;511,76
AO00047;IS04593;P00659;2024-12-28 00:00:00;Atrasada;11767,31
AO00048;IS07409;P01436;2026-06-07 00:00:00;Concluída;16272,69
AO00049;IS00531;P00898;2025-04-04 00:00:00;Concluída;12204,92
AO00050;IS01072;P00126;2024-06-29 00:00:00;Concluída;8317,54
AO00051;IS07313;P00511;2026-06-28 00:00:00;Concluída;10868,93
AO00052;IS01572;P00573;2025-10-02 00:00:00;Atrasada;16172,82
AO00053;IS04041;P00477;2024-04-03 00:00:00;Concluída;5350,01
AO00054;IS07862;P01140;2025-07-17 00:00:00;Concluída;2127,16
AO00055;IS05958;P00923;2025-09-22 00:00:00;Concluída;8366,08
AO00056;IS08203;P01046;2025-05-10 00:00:00;Concluída;8561,84
AO00057;IS00278;P00477;2026-01-28 00:00:00;Atrasada;17929,11
AO00058;IS07823;P01057;2026-03-10 00:00:00;Concluída;11532,21
AO00059;IS00714;P01197;2024-10-21 00:00:00;Atrasada;13271,59
AO00060;IS00471;P01215;2025-08-10 00:00:00;Concluída;3070,04
AO00061;IS02548;P01287;2024-12-28 00:00:00;Em execução;12548,69
AO00062;IS07942;P00200;2026-05-01 00:00:00;Em execução;8579,41
AO00063;IS08680;P00577;2024-04-05 00:00:00;Concluída;11813,88
AO00064;IS10585;P01261;2025-12-10 00:00:00;Concluída;6172,05
AO00065;IS04006;P00670;2026-07-03 00:00:00;Concluída;2884,98
AO00066;IS01590;P01191;2025-07-01 00:00:00;Em execução;17662,05
AO00067;IS03352;P00178;2025-08-24 00:00:00;Concluída;9377,49
AO00068;IS05411;P00894;2025-02-11 00:00:00;Concluída;17113,72
AO00069;IS02399;P00573;2026-06-16 00:00:00;Em execução;3199,0
AO00070;IS04733;P00691;2025-10-02 00:00:00;Concluída;6109,86
AO00071;IS09145;P01407;2026-06-19 00:00:00;Em execução;3407,11
AO00072;IS00038;P00464;2026-04-17 00:00:00;Concluída;16396,76
AO00073;IS10848;P00992;2026-04-01 00:00:00;Concluída;9973,23
AO00074;IS03346;P00747;2026-03-03 00:00:00;Concluída;13521,12
AO00075;IS00818;P00409;2026-02-21 00:00:00;Em execução;9089,02
AO00076;IS08586;P01312;2024-07-05 00:00:00;Atrasada;6234,4
AO00077;IS10277;P01486;2026-07-22 00:00:00;Concluída;1836,46
AO00078;IS05599;P01334;2025-09-28 00:00:00;Em execução;10468,03
AO00079;IS09857;P01390;2024-04-25 00:00:00;Concluída;8210,39
AO00080;IS08393;P01003;2026-01-14 00:00:00;Concluída;10765,62
AO00081;IS09299;P01390;2025-08-28 00:00:00;Concluída;4827,68
AO00082;IS05099;P00442;2024-04-03 00:00:00;Concluída;17873,88
AO00083;IS02453;P00769;2024-09-17 00:00:00;Concluída;4698,76
AO00084;IS03054;P00280;2026-05-04 00:00:00;Atrasada;13326,11
AO00085;IS10830;P00805;2024-03-29 00:00:00;Atrasada;2908,41
AO00086;IS00856;P00146;2024-12-04 00:00:00;Atrasada;3854,87
AO00087;IS07975;P00416;2025-08-23 00:00:00;Em execução;292,35
AO00088;IS07392;P00512;2026-05-30 00:00:00;Concluída;10518,81
AO00089;IS02904;P00195;2024-03-31 00:00:00;Atrasada;916,32
AO00090;IS08528;P01157;2025-12-27 00:00:00;Concluída;16615,06
AO00091;IS01377;P00505;2026-06-09 00:00:00;Concluída;13668,64
AO00092;IS03390;P00171;2025-01-14 00:00:00;Em execução;2259,79
AO00093;IS10267;P00424;2025-09-27 00:00:00;Em execução;17528,18
AO00094;IS06948;P00024;2025-05-04 00:00:00;Em execução;7286,65
AO00095;IS00946;P00430;2024-03-08 00:00:00;Concluída;1177,38
AO00096;IS09444;P01266;2024-09-23 00:00:00;Em execução;11179,31
AO00097;IS05687;P00505;2024-11-02 00:00:00;Concluída;12833,85
AO00098;IS06957;P00899;2025-07-02 00:00:00;Em execução;4804,06
AO00099;IS05534;P00920;2024-09-18 00:00:00;Em execução;9242,35
AO00100;IS09959;P00198;2026-05-09 00:00:00;Concluída;14881,71
AO00101;IS05883;P00680;2024-08-11 00:00:00;Concluída;11803,72
AO00102;IS10836;P01450;2024-02-29 00:00:00;Concluída;14732,06
AO00103;IS08282;P00515;2024-07-18 00:00:00;Concluída;10116,94
AO00104;IS06030;P01406;2024-02-11 00:00:00;Concluída;12921,47
AO00105;IS09608;P01358;2024-12-24 00:00:00;Em execução;2636,73
AO00106;IS10319;P00193;2026-01-21 00:00:00;Concluída;6363,61
AO00107;IS00382;P00458;2024-03-08 00:00:00;Concluída;338,94
AO00108;IS03275;P00530;2024-12-04 00:00:00;Concluída;10286,39
AO00109;IS02106;P00098;2026-04-23 00:00:00;Concluída;3103,59
AO00110;IS06816;P00645;2026-01-30 00:00:00;Concluída;957,59
AO00111;IS08037;P00179;2026-05-31 00:00:00;Atrasada;8983,37
AO00112;IS10557;P00245;2025-01-14 00:00:00;Concluída;12200,42
AO00113;IS07250;P01483;2025-09-21 00:00:00;Concluída;5211,44
AO00114;IS06628;P01056;2025-03-04 00:00:00;Concluída;1563,32
AO00115;IS09454;P00839;2024-09-02 00:00:00;Concluída;14416,53
AO00116;IS10818;P00855;2025-07-18 00:00:00;Em execução;13837,59
AO00117;IS03839;P01379;2024-01-14 00:00:00;Concluída;4023,32
AO00118;IS02651;P01368;2025-02-04 00:00:00;Atrasada;9684,42
AO00119;IS02271;P00984;2024-04-08 00:00:00;Concluída;6022,36
AO00120;IS04154;P00952;2025-12-30 00:00:00;Concluída;6373,86
AO00121;IS03409;P01434;2025-01-26 00:00:00;Concluída;787,25
AO00122;IS09783;P00192;2024-01-12 00:00:00;Em execução;6027,25
AO00123;IS06685;P00373;2025-02-28 00:00:00;Concluída;16908,56
AO00124;IS06772;P00002;2025-01-11 00:00:00;Em execução;14823,52
AO00125;IS09130;P00582;2025-08-08 00:00:00;Concluída;1376,64
AO00126;IS06847;P00244;2025-10-29 00:00:00;Concluída;702,85
AO00127;IS10712;P00928;2025-09-28 00:00:00;Atrasada;5878,97
AO00128;IS04854;P01281;2025-05-11 00:00:00;Atrasada;8560,72
AO00129;IS07178;P00942;2025-05-13 00:00:00;Atrasada;5516,64
AO00130;IS00331;P00142;2024-04-01 00:00:00;Concluída;3882,96
AO00131;IS10731;P00839;2026-06-25 00:00:00;Concluída;13812,4
AO00132;IS05125;P01127;2024-02-22 00:00:00;Concluída;10550,06
AO00133;IS00690;P00828;2024-09-14 00:00:00;Em execução;4987,08
AO00134;IS07384;P00706;2026-02-07 00:00:00;Concluída;6755,44
AO00135;IS05468;P00738;2024-02-05 00:00:00;Concluída;17657,63
AO00136;IS00309;P00262;2024-12-24 00:00:00;Em execução;2694,22
AO00137;IS02882;P01354;2026-01-23 00:00:00;Atrasada;12881,31
AO00138;IS00147;P01438;2024-10-16 00:00:00;Atrasada;197,22
AO00139;IS01361;P00591;2024-11-22 00:00:00;Concluída;3214,15
AO00140;IS05131;P01103;2025-07-07 00:00:00;Concluída;9065,7
AO00141;IS05964;P00895;2025-09-26 00:00:00;Concluída;15974,08
AO00142;IS05572;P00668;2026-03-17 00:00:00;Concluída;17662,66
AO00143;IS03248;P00484;2026-01-26 00:00:00;Concluída;12321,15
AO00144;IS07105;P01434;2025-08-29 00:00:00;Atrasada;8162,54
AO00145;IS10637;P00325;2025-01-04 00:00:00;Atrasada;14366,67
AO00146;IS02015;P00949;2026-04-15 00:00:00;Atrasada;3194,18
AO00147;IS05164;P01366;2026-06-18 00:00:00;Em execução;3026,2
AO00148;IS05815;P00302;2025-08-08 00:00:00;Concluída;7651,99
AO00149;IS08388;P00155;2025-12-23 00:00:00;Concluída;8364,54
AO00150;IS02397;P01341;2026-07-26 00:00:00;Concluída;17666,34
AO00151;IS09880;P01278;2024-09-18 00:00:00;Concluída;2193,66
AO00152;IS10017;P00040;2024-03-01 00:00:00;Concluída;15715,69
AO00153;IS00583;P00037;2026-02-18 00:00:00;Concluída;14781,89
AO00154;IS05821;P00947;2024-03-15 00:00:00;Concluída;2612,99
AO00155;IS07295;P00730;2026-03-26 00:00:00;Concluída;15948,69
AO00156;IS02319;P00816;2026-05-14 00:00:00;Concluída;3956,82
AO00157;IS07698;P00150;2024-12-16 00:00:00;Em execução;15194,14
AO00158;IS08506;P01493;2026-07-24 00:00:00;Concluída;10541,0
AO00159;IS00867;P01038;2025-10-28 00:00:00;Concluída;9293,27
AO00160;IS10168;P01353;2025-03-19 00:00:00;Atrasada;11993,43
AO00161;IS07412;P01445;2025-04-01 00:00:00;Concluída;15387,47
AO00162;IS09287;P01255;2024-07-12 00:00:00;Concluída;10442,17
AO00163;IS07428;P00383;2025-09-09 00:00:00;Concluída;7717,34
AO00164;IS06607;P01250;2025-06-09 00:00:00;Atrasada;3974,91
AO00165;IS00782;P00151;2025-06-23 00:00:00;Concluída;17354,01
AO00166;IS05883;P00631;2025-01-30 00:00:00;Concluída;9975,57
AO00167;IS03763;P00657;2024-05-28 00:00:00;Concluída;6536,67
AO00168;IS00084;P01387;2024-07-02 00:00:00;Em execução;5583,97
AO00169;IS09861;P00520;2025-01-20 00:00:00;Concluída;10377,69
AO00170;IS01158;P00240;2026-04-16 00:00:00;Concluída;5512,53
AO00171;IS00112;P00507;2025-04-17 00:00:00;Concluída;4992,37
AO00172;IS08729;P00954;2024-09-03 00:00:00;Concluída;889,62
AO00173;IS07075;P00324;2024-04-18 00:00:00;Concluída;3609,9
AO00174;IS07788;P00418;2025-01-19 00:00:00;Concluída;2401,19
AO00175;IS03589;P00279;2026-05-07 00:00:00;Concluída;3705,14
AO00176;IS09539;P00349;2026-05-20 00:00:00;Concluída;2902,23
AO00177;IS02494;P00944;2025-06-27 00:00:00;Concluída;2674,66
AO00178;IS06760;P00841;2025-06-23 00:00:00;Concluída;17061,75
AO00179;IS05902;P01139;2025-02-19 00:00:00;Concluída;211,5
AO00180;IS02625;P00990;2025-03-12 00:00:00;Atrasada;12390,62
AO00181;IS09552;P01396;2025-11-17 00:00:00;Concluída;3921,34
AO00182;IS05704;P00753;2024-03-08 00:00:00;Em execução;17553,96
AO00183;IS00800;P00752;2024-01-04 00:00:00;Concluída;4405,89
AO00184;IS05385;P00329;2025-06-29 00:00:00;Concluída;11347,31
AO00185;IS08468;P00860;2025-03-20 00:00:00;Concluída;16374,6
AO00186;IS10867;P00447;2025-04-28 00:00:00;Concluída;12177,83
AO00187;IS00802;P00053;2025-03-16 00:00:00;Concluída;4438,76
AO00188;IS04576;P00927;2026-07-24 00:00:00;Concluída;3055,81
AO00189;IS07525;P00449;2025-02-27 00:00:00;Em execução;13288,53
AO00190;IS06398;P00680;2024-07-05 00:00:00;Concluída;4572,68
AO00191;IS07734;P00891;2024-07-14 00:00:00;Em execução;4960,86
AO00192;IS02711;P00478;2025-11-28 00:00:00;Concluída;17513,76
AO00193;IS03864;P01021;2024-09-04 00:00:00;Concluída;13201,67
AO00194;IS05679;P01081;2025-04-26 00:00:00;Concluída;1083,09
AO00195;IS02411;P01190;2024-07-23 00:00:00;Atrasada;9384,13
AO00196;IS09408;P00968;2024-08-10 00:00:00;Concluída;16280,57
AO00197;IS10354;P01221;2024-12-14 00:00:00;Em execução;13312,01
AO00198;IS06737;P01256;2025-06-08 00:00:00;Concluída;6296,78
AO00199;IS01229;P01113;2026-02-04 00:00:00;Concluída;8217,52
AO00200;IS02425;P01019;2024-11-29 00:00:00;Concluída;8489,44
AO00201;IS09618;P00074;2025-03-22 00:00:00;Em execução;4133,5
AO00202;IS07183;P00634;2026-07-09 00:00:00;Concluída;9252,27
AO00203;IS08295;P00099;2024-01-06 00:00:00;Concluída;14669,29
AO00204;IS06471;P00715;2024-02-10 00:00:00;Em execução;7575,6
AO00205;IS04066;P00136;2026-06-03 00:00:00;Concluída;1488,2
AO00206;IS06912;P00033;2025-02-16 00:00:00;Concluída;6137,31
AO00207;IS00830;P00182;2026-03-28 00:00:00;Concluída;4535,59
AO00208;IS00378;P00078;2026-04-21 00:00:00;Concluída;4563,86
AO00209;IS10969;P01317;2026-03-25 00:00:00;Em execução;12030,74
AO00210;IS01023;P00035;2024-05-14 00:00:00;Em execução;8899,96
AO00211;IS01402;P00589;2026-03-09 00:00:00;Em execução;6764,8
AO00212;IS03170;P00032;2024-11-12 00:00:00;Em execução;10208,56
AO00213;IS07138;P00763;2024-06-13 00:00:00;Em execução;6065,86
AO00214;IS09474;P00788;2026-02-07 00:00:00;Concluída;9538,23
AO00215;IS00482;P00750;2026-06-06 00:00:00;Em execução;3063,31
AO00216;IS02989;P00957;2025-04-15 00:00:00;Concluída;13012,88
AO00217;IS09922;P00165;2025-11-28 00:00:00;Em execução;8963,2
AO00218;IS10215;P00292;2025-01-28 00:00:00;Concluída;11162,29
AO00219;IS02329;P00084;2025-08-19 00:00:00;Em execução;16077,0
AO00220;IS10507;P00280;2025-10-21 00:00:00;Concluída;15290,32
AO00221;IS03424;P00854;2025-06-28 00:00:00;Atrasada;758,66
AO00222;IS02988;P00119;2026-07-09 00:00:00;Concluída;11372,44
AO00223;IS04570;P00709;2024-09-04 00:00:00;Concluída;14400,26
AO00224;IS10249;P00792;2025-03-13 00:00:00;Concluída;4231,4
AO00225;IS01930;P01234;2024-07-08 00:00:00;Atrasada;13773,08
AO00226;IS02592;P01013;2024-10-26 00:00:00;Concluída;13517,06
AO00227;IS05980;P00948;2025-10-28 00:00:00;Concluída;9880,88
AO00228;IS03976;P01374;2024-02-13 00:00:00;Atrasada;14140,86
AO00229;IS10252;P01419;2025-01-15 00:00:00;Concluída;3363,46
AO00230;IS08531;P01272;2025-06-15 00:00:00;Concluída;9843,39
AO00231;IS10819;P01494;2025-11-29 00:00:00;Concluída;4639,9
AO00232;IS09467;P01133;2025-06-02 00:00:00;Em execução;10051,42
AO00233;IS01922;P00429;2025-10-17 00:00:00;Concluída;12715,38
AO00234;IS05149;P00994;2024-12-01 00:00:00;Concluída;16941,4
AO00235;IS09482;P00467;2025-07-13 00:00:00;Concluída;13497,48
AO00236;IS03638;P00919;2024-11-28 00:00:00;Concluída;8723,7
AO00237;IS04294;P01385;2026-07-14 00:00:00;Concluída;16927,1
AO00238;IS03846;P01119;2025-11-03 00:00:00;Concluída;3240,2
AO00239;IS10997;P00560;2026-01-26 00:00:00;Atrasada;17898,02
AO00240;IS00398;P01012;2024-06-08 00:00:00;Concluída;15688,76
AO00241;IS05507;P01109;2024-03-10 00:00:00;Concluída;8970,76
AO00242;IS00335;P00114;2024-06-04 00:00:00;Concluída;2663,07
AO00243;IS07604;P00392;2025-08-27 00:00:00;Concluída;5473,08
AO00244;IS04472;P00335;2024-03-04 00:00:00;Concluída;940,87
AO00245;IS00005;P00243;2025-07-19 00:00:00;Concluída;5815,73
AO00246;IS02212;P00372;2025-01-03 00:00:00;Concluída;4943,46
AO00247;IS09988;P01312;2024-05-17 00:00:00;Concluída;8264,5
AO00248;IS10295;P00899;2025-04-24 00:00:00;Em execução;3503,08
AO00249;IS06875;P00712;2025-06-27 00:00:00;Em execução;7704,51
AO00250;IS08105;P01058;2025-09-05 00:00:00;Concluída;10872,87
AO00251;IS06901;P00516;2024-08-06 00:00:00;Atrasada;1007,82
AO00252;IS05490;P00695;2024-05-29 00:00:00;Concluída;8901,57
AO00253;IS09870;P01020;2025-01-19 00:00:00;Concluída;13994,47
AO00254;IS09979;P00983;2025-02-20 00:00:00;Concluída;10242,49
AO00255;IS05723;P01194;2026-07-25 00:00:00;Concluída;16472,43
AO00256;IS02718;P00377;2025-08-09 00:00:00;Concluída;12980,75
AO00257;IS04688;P01470;2025-03-08 00:00:00;Concluída;685,66
AO00258;IS04968;P01131;2026-07-07 00:00:00;Concluída;11339,51
AO00259;IS08847;P00366;2024-07-10 00:00:00;Em execução;366,14
AO00260;IS08864;P01348;2025-11-04 00:00:00;Concluída;271,14
AO00261;IS05903;P01008;2025-12-18 00:00:00;Concluída;14757,21
AO00262;IS10995;P00162;2024-02-14 00:00:00;Em execução;6414,3
AO00263;IS08253;P01097;2025-09-23 00:00:00;Concluída;12640,44
AO00264;IS01379;P01248;2025-11-06 00:00:00;Concluída;1134,73
AO00265;IS08823;P01429;2026-01-29 00:00:00;Atrasada;11326,08
AO00266;IS10846;P00393;2026-02-11 00:00:00;Em execução;9002,65
AO00267;IS01977;P00829;2024-01-25 00:00:00;Concluída;2471,28
AO00268;IS09110;P01268;2026-06-15 00:00:00;Em execução;9458,77
AO00269;IS10948;P01282;2025-12-21 00:00:00;Concluída;15275,42
AO00270;IS09766;P00380;2026-06-01 00:00:00;Concluída;15591,49
AO00271;IS01619;P00977;2025-02-27 00:00:00;Concluída;6458,89
AO00272;IS05741;P00489;2025-12-04 00:00:00;Concluída;6271,68
AO00273;IS00510;P01207;2025-12-03 00:00:00;Concluída;7755,86
AO00274;IS04071;P01135;2024-02-17 00:00:00;Concluída;4191,06
AO00275;IS08642;P01229;2024-02-25 00:00:00;Atrasada;12908,97
AO00276;IS02979;P00434;2025-10-20 00:00:00;Concluída;15650,32
AO00277;IS05859;P01001;2025-08-24 00:00:00;Concluída;2880,24
AO00278;IS01124;P01278;2025-03-24 00:00:00;Em execução;1057,33
AO00279;IS05310;P01075;2025-10-31 00:00:00;Concluída;13493,98
AO00280;IS00566;P00420;2025-01-22 00:00:00;Concluída;13786,1
AO00281;IS03230;P01467;2026-03-29 00:00:00;Concluída;674,0
AO00282;IS06224;P00198;2025-03-22 00:00:00;Atrasada;8522,64
AO00283;IS05674;P01255;2024-01-17 00:00:00;Concluída;16799,6
AO00284;IS00834;P00248;2025-04-15 00:00:00;Em execução;6162,7
AO00285;IS04224;P00484;2025-03-22 00:00:00;Concluída;14114,59
AO00286;IS04411;P00040;2026-05-05 00:00:00;Concluída;12220,89
AO00287;IS01571;P00113;2026-02-13 00:00:00;Em execução;467,07
AO00288;IS04078;P01337;2024-07-03 00:00:00;Concluída;1670,08
AO00289;IS10762;P00548;2025-12-27 00:00:00;Em execução;15079,39
AO00290;IS04215;P00771;2024-05-08 00:00:00;Em execução;11814,54
AO00291;IS09112;P00293;2024-01-04 00:00:00;Concluída;9524,26
AO00292;IS10719;P00335;2026-06-14 00:00:00;Concluída;2628,79
AO00293;IS02096;P01291;2025-08-07 00:00:00;Concluída;12157,15
AO00294;IS02067;P00439;2026-05-08 00:00:00;Concluída;8201,99
AO00295;IS00246;P00261;2026-01-09 00:00:00;Concluída;1782,5
AO00296;IS03224;P00453;2026-07-25 00:00:00;Concluída;4309,21
AO00297;IS07614;P00529;2025-07-14 00:00:00;Concluída;1229,21
AO00298;IS07494;P01028;2025-06-16 00:00:00;Concluída;727,94
AO00299;IS03954;P00755;2024-01-22 00:00:00;Em execução;16459,44
AO00300;IS03098;P01379;2024-07-25 00:00:00;Concluída;13644,68
AO00301;IS02102;P00317;2025-03-29 00:00:00;Em execução;1567,14
AO00302;IS01615;P01251;2024-12-04 00:00:00;Em execução;16349,89
AO00303;IS01294;P00025;2025-10-25 00:00:00;Concluída;15275,96
AO00304;IS09268;P00437;2025-02-12 00:00:00;Concluída;8118,13
AO00305;IS02203;P00538;2024-07-19 00:00:00;Concluída;15846,64
AO00306;IS04141;P01165;2025-08-12 00:00:00;Concluída;13440,26
AO00307;IS01893;P00874;2026-02-26 00:00:00;Atrasada;8309,19
AO00308;IS04932;P00247;2024-09-24 00:00:00;Concluída;8741,76
AO00309;IS01228;P01215;2026-05-25 00:00:00;Concluída;15432,8
AO00310;IS03905;P00898;2025-09-18 00:00:00;Concluída;9983,55
AO00311;IS03722;P01138;2025-07-26 00:00:00;Em execução;15724,9
AO00312;IS08488;P01360;2024-10-20 00:00:00;Atrasada;17333,94
AO00313;IS03823;P00359;2026-02-02 00:00:00;Em execução;10555,96
AO00314;IS05027;P01155;2026-01-23 00:00:00;Concluída;6024,05
AO00315;IS09775;P00447;2025-02-10 00:00:00;Concluída;10802,08
AO00316;IS00545;P00551;2024-10-09 00:00:00;Concluída;12664,42
AO00317;IS09505;P01054;2024-12-10 00:00:00;Concluída;4995,86
AO00318;IS01713;P00220;2025-07-02 00:00:00;Em execução;4588,93
AO00319;IS09932;P00067;2024-07-09 00:00:00;Concluída;7507,78
AO00320;IS10237;P00326;2025-02-02 00:00:00;Em execução;6050,87
AO00321;IS02426;P00242;2024-10-13 00:00:00;Concluída;4114,25
AO00322;IS03194;P00647;2025-10-27 00:00:00;Em execução;15685,4
AO00323;IS10786;P01218;2024-06-08 00:00:00;Concluída;3709,02
AO00324;IS10298;P00838;2025-01-29 00:00:00;Concluída;6484,92
AO00325;IS05934;P00925;2025-06-25 00:00:00;Concluída;10781,6
AO00326;IS03585;P00462;2026-07-20 00:00:00;Em execução;10388,4
AO00327;IS09238;P01293;2025-02-23 00:00:00;Concluída;4096,16
AO00328;IS01086;P00227;2026-07-20 00:00:00;Em execução;17255,68
AO00329;IS09844;P00643;2024-11-17 00:00:00;Concluída;11128,85
AO00330;IS04542;P00810;2025-09-26 00:00:00;Concluída;15757,6
AO00331;IS00462;P00102;2024-08-12 00:00:00;Concluída;2466,23
AO00332;IS03940;P00236;2024-12-17 00:00:00;Concluída;10149,22
AO00333;IS07645;P00771;2025-05-26 00:00:00;Atrasada;17900,53
AO00334;IS10529;P00205;2025-07-01 00:00:00;Concluída;8887,26
AO00335;IS01981;P00821;2026-02-11 00:00:00;Em execução;934,69
AO00336;IS09647;P00148;2024-11-17 00:00:00;Concluída;15404,93
AO00337;IS04031;P00267;2025-10-09 00:00:00;Em execução;9376,42
AO00338;IS02045;P00398;2024-03-21 00:00:00;Concluída;2382,83
AO00339;IS04533;P00408;2025-08-03 00:00:00;Concluída;13372,81
AO00340;IS01944;P01152;2026-06-29 00:00:00;Concluída;2714,45
AO00341;IS03385;P00310;2024-05-18 00:00:00;Concluída;3948,92
AO00342;IS03072;P00275;2025-09-20 00:00:00;Atrasada;4403,79
AO00343;IS01462;P01218;2026-02-23 00:00:00;Atrasada;7626,59
AO00344;IS10047;P01329;2024-01-18 00:00:00;Concluída;8145,2
AO00345;IS00858;P00403;2024-02-17 00:00:00;Em execução;14516,92
AO00346;IS09157;P01349;2025-08-19 00:00:00;Concluída;9656,52
AO00347;IS10263;P00319;2024-04-07 00:00:00;Atrasada;13773,99
AO00348;IS01316;P01302;2024-08-29 00:00:00;Em execução;2945,69
AO00349;IS04931;P01297;2024-06-28 00:00:00;Concluída;3937,46
AO00350;IS01040;P00580;2024-11-03 00:00:00;Concluída;1275,87
AO00351;IS07209;P00641;2026-05-08 00:00:00;Concluída;9742,18
AO00352;IS01343;P00990;2025-10-18 00:00:00;Concluída;3562,62
AO00353;IS00331;P00062;2025-05-28 00:00:00;Concluída;10924,22
AO00354;IS07868;P00558;2024-04-15 00:00:00;Em execução;11369,24
AO00355;IS02641;P00438;2024-07-15 00:00:00;Concluída;6712,81
AO00356;IS07719;P00120;2024-12-25 00:00:00;Em execução;4227,82
AO00357;IS03171;P01376;2024-09-20 00:00:00;Concluída;12079,02
AO00358;IS07591;P00266;2024-06-27 00:00:00;Concluída;3657,21
AO00359;IS07670;P01229;2026-02-18 00:00:00;Concluída;2055,29
AO00360;IS00881;P00108;2024-02-22 00:00:00;Concluída;2582,37
AO00361;IS10853;P00257;2025-06-09 00:00:00;Concluída;8813,77
AO00362;IS08273;P00411;2024-07-22 00:00:00;Atrasada;2183,9
AO00363;IS02557;P00479;2026-07-04 00:00:00;Em execução;13425,68
AO00364;IS00793;P01422;2026-07-03 00:00:00;Atrasada;1310,6
AO00365;IS03209;P00348;2024-05-31 00:00:00;Concluída;17017,19
AO00366;IS01938;P00558;2024-08-16 00:00:00;Concluída;11258,65
AO00367;IS05229;P00894;2025-11-04 00:00:00;Concluída;9796,31
AO00368;IS01362;P00603;2025-07-23 00:00:00;Concluída;12738,4
AO00369;IS01387;P00480;2026-07-28 00:00:00;Concluída;12679,08
AO00370;IS00045;P01116;2025-05-07 00:00:00;Atrasada;17451,22
AO00371;IS08519;P00420;2024-12-17 00:00:00;Em execução;4905,08
AO00372;IS03501;P00653;2024-03-08 00:00:00;Concluída;17127,89
AO00373;IS09225;P01052;2024-04-06 00:00:00;Concluída;2764,63
AO00374;IS02809;P00207;2025-03-21 00:00:00;Concluída;8440,88
AO00375;IS06434;P01064;2025-11-01 00:00:00;Concluída;14786,62
