acesso_id,visita_id,data_hora,ponto,evento
AC00038,VI04914,2024-07-24,Almoxarifado,Saída
AC00039,VI05912,2024-08-18,Produção,Saída
AC00040,VI04645,2024-05-21,Produção,Entrada
AC00041,VI06726,2026-02-07,Portaria,Entrada
AC00042,VI07612,2026-07-20,Laboratório,Saída
AC00043,VI07142,2025-01-08,Portaria,Entrada
AC00044,VI00437,2024-10-08,Portaria,Negado
AC00045,VI09308,2024-07-03,Almoxarifado,Entrada
AC00046,VI05671,2025-02-18,Produção,Saída
AC00047,VI01965,2024-02-01,Portaria,Saída
AC00048,VI01333,2025-11-07,Almoxarifado,Saída
AC00049,VI09337,2024-02-16,Portaria,Entrada
AC00050,VI06963,2025-02-25,Portaria,Entrada
AC00051,VI03001,2025-02-11,Laboratório,Saída
AC00052,VI03400,2025-10-06,Almoxarifado,Saída
AC00053,VI01491,2024-06-17,Almoxarifado,Saída
AC00054,VI03511,2024-03-29,Portaria,Saída
AC00055,VI07351,2026-07-10,Almoxarifado,Saída
AC00056,VI02967,2026-06-30,Laboratório,Entrada
AC00057,VI06848,2025-12-30,Portaria,Entrada
AC00058,VI00625,2025-06-01,Almoxarifado,Entrada
AC00059,VI05006,2026-02-22,Almoxarifado,Entrada
AC00060,VI01732,2025-01-14,Produção,Saída
AC00061,VI06830,2025-01-14,Produção,Entrada
AC00062,VI02916,2026-01-08,Produção,Saída
AC00063,VI02307,2025-06-11,Portaria,Entrada
AC00064,VI04706,2024-12-17,Portaria,Saída
AC00065,VI02215,2026-02-12,Almoxarifado,Saída
AC00066,VI02819,2024-04-16,Portaria,Entrada
AC00067,VI05622,2024-02-21,Portaria,Entrada
AC00068,VI06123,2026-01-03,Portaria,Entrada
AC00069,VI07333,2026-07-16,Laboratório,Entrada
AC00070,VI00635,2026-02-23,Almoxarifado,Entrada
AC00071,VI02344,2025-02-02,Laboratório,Entrada
AC00072,VI08997,2025-02-15,Laboratório,Entrada
AC00073,VI07235,2026-03-21,Laboratório,Entrada
AC00074,VI08435,2024-12-14,Portaria,Entrada
AC00075,VI00070,2026-04-03,Laboratório,Saída
AC00076,VI04407,2024-05-21,Almoxarifado,Entrada
AC00077,VI08836,2025-10-29,Portaria,Saída
AC00078,VI02745,2026-01-06,Portaria,Entrada
AC00079,VI06449,2026-01-27,Produção,Entrada
AC00080,VI08175,2026-07-25,Almoxarifado,Saída
AC00081,VI01579,2025-12-27,Almoxarifado,Saída
AC00082,VI09180,2024-03-19,Produção,Entrada
AC00083,VI03379,2025-05-22,Almoxarifado,Entrada
AC00084,VI06567,2025-04-01,Laboratório,Entrada
AC00085,VI08246,2025-01-30,Laboratório,Negado
AC00086,VI01426,2024-05-11,Produção,Entrada
AC00087,VI05350,2025-12-25,Produção,Saída
AC00088,VI06979,2024-11-06,Produção,Saída
AC00089,VI03262,2024-09-29,Portaria,Entrada
AC00090,VI04079,2024-05-14,Almoxarifado,Saída
AC00091,VI03350,2025-01-04,Portaria,Saída
AC00092,VI07304,2025-04-09,Laboratório,Entrada
AC00093,VI01394,2024-08-14,Almoxarifado,Saída
AC00094,VI05950,2024-02-19,Almoxarifado,Entrada
AC00095,VI03217,2026-07-18,Almoxarifado,Saída
AC00096,VI03584,2025-01-20,Portaria,Saída
AC00097,VI07266,2024-03-26,Almoxarifado,Saída
AC00098,VI07625,2026-01-23,Produção,Entrada
AC00099,VI03199,2024-12-23,Laboratório,Entrada
AC00100,VI07813,2025-04-18,Produção,Saída
AC00101,VI05521,2025-05-06,Portaria,Saída
AC00102,VI09340,2025-08-22,Laboratório,Saída
AC00103,VI05124,2024-06-15,Laboratório,Saída
AC00104,VI02423,2024-07-19,Produção,Entrada
AC00105,VI00625,2025-07-09,Almoxarifado,Saída
AC00106,VI08213,2024-10-25,Portaria,Saída
AC00107,VI00158,2025-07-01,Almoxarifado,Saída
AC00108,VI00942,2025-02-09,Almoxarifado,Saída
AC00109,VI02386,2024-08-27,Portaria,Entrada
AC00110,VI00395,2024-09-11,Produção,Saída
AC00111,VI00148,2024-07-19,Almoxarifado,Entrada
AC00112,VI07801,2026-04-19,Almoxarifado,Entrada
AC00113,VI05549,2024-06-07,Almoxarifado,Saída
AC00114,VI03525,2025-01-04,Laboratório,Entrada
AC00115,VI08860,2026-06-21,Portaria,Saída
AC00116,VI03579,2024-10-29,Laboratório,Saída
AC00117,VI08435,2025-11-04,Produção,Entrada
AC00118,VI04735,2026-02-11,Portaria,Entrada
AC00119,VI09456,2026-04-14,Laboratório,Entrada
AC00120,VI01368,2024-02-25,Almoxarifado,Saída
AC00121,VI06356,2024-12-28,Portaria,Entrada
AC00122,VI01966,2025-03-23,Produção,Entrada
AC00123,VI03061,2024-07-15,Portaria,Entrada
AC00124,VI01844,2025-10-04,Produção,Entrada
AC00125,VI05290,2026-07-22,Portaria,Saída
AC00126,VI01259,2024-01-29,Produção,Entrada
AC00127,VI04781,2024-12-05,Laboratório,Saída
AC00128,VI00641,2025-08-21,Almoxarifado,Entrada
AC00129,VI00099,2024-02-14,Almoxarifado,Entrada
AC00130,VI05084,2024-10-21,Portaria,Saída
AC00131,VI06321,2025-09-09,Produção,Saída
AC00132,VI00062,2025-10-20,Laboratório,Entrada
AC00133,VI05899,2024-01-24,Portaria,Entrada
AC00134,VI02338,2026-07-25,Almoxarifado,Saída
AC00135,VI01875,2024-11-28,Portaria,Saída
AC00136,VI06936,2025-09-23,Portaria,Entrada
AC00137,VI03280,2025-04-28,Laboratório,Saída
AC00138,VI03045,2025-09-09,Almoxarifado,Saída
AC00139,VI05752,2024-04-09,Almoxarifado,Saída
AC00140,VI08530,2024-09-03,Produção,Entrada
AC00141,VI00879,2025-11-10,Produção,Negado
AC00142,VI01747,2025-07-08,Portaria,Saída
AC00143,VI05753,2024-08-16,Almoxarifado,Entrada
AC00144,VI03712,2026-04-16,Produção,Saída
AC00145,VI09355,2024-01-21,Almoxarifado,Saída
AC00146,VI08592,2024-06-17,Almoxarifado,Entrada
AC00147,VI02965,2025-02-13,Almoxarifado,Entrada
AC00148,VI08782,2026-05-07,Almoxarifado,Saída
AC00149,VI02381,2025-04-12,Portaria,Entrada
AC00150,VI07095,2024-10-08,Produção,Saída
AC00151,VI09137,2026-05-27,Portaria,Saída
AC00152,VI02769,2025-10-26,Produção,Saída
AC00153,VI05944,2025-06-21,Laboratório,Entrada
AC00154,VI08457,2024-05-09,Almoxarifado,Entrada
AC00155,VI02385,2024-11-12,Portaria,Saída
AC00156,VI00734,2024-05-04,Laboratório,Entrada
AC00157,VI07973,2024-04-18,Produção,Entrada
AC00158,VI03583,2025-11-06,Produção,Saída
AC00159,VI02406,2025-06-14,Almoxarifado,Entrada
AC00160,VI00687,2026-04-16,Produção,Saída
AC00161,VI02576,2025-03-29,Laboratório,Entrada
AC00162,VI08805,2026-07-05,Portaria,Entrada
AC00163,VI02787,2026-06-25,Almoxarifado,Entrada
AC00164,VI04102,2026-04-14,Almoxarifado,Saída
AC00165,VI01401,2025-02-24,Almoxarifado,Entrada
AC00166,VI03457,2026-01-07,Almoxarifado,Saída
AC00167,VI03523,2024-11-19,Almoxarifado,Saída
AC00168,VI05282,2025-10-19,Produção,Saída
AC00169,VI05923,2026-02-22,Almoxarifado,Entrada
AC00170,VI07443,2025-12-10,Portaria,Saída
AC00171,VI06587,2026-03-29,Laboratório,Saída
AC00172,VI07172,2024-03-18,Laboratório,Entrada
AC00173,VI02244,2025-04-06,Produção,Entrada
AC00174,VI04268,2025-11-25,Portaria,Entrada
AC00175,VI03115,2025-05-14,Laboratório,Entrada
AC00176,VI01122,2024-10-06,Laboratório,Entrada
AC00177,VI02051,2024-04-17,Laboratório,Saída
AC00178,VI02157,2025-06-12,Laboratório,Entrada
AC00179,VI04374,2026-02-17,Almoxarifado,Entrada
AC00180,VI04835,2026-02-22,Almoxarifado,Entrada
AC00181,VI05632,2025-05-29,Portaria,Saída
AC00182,VI03492,2025-07-20,Produção,Entrada
AC00183,VI05017,2026-03-22,Portaria,Entrada
AC00184,VI09146,2026-07-27,Laboratório,Entrada
AC00185,VI07972,2025-04-20,Produção,Saída
AC00186,VI02302,2024-01-27,Portaria,Entrada
AC00187,VI00021,2024-11-06,Almoxarifado,Saída
AC00188,VI01687,2025-05-12,Almoxarifado,Negado
AC00189,VI07425,2025-08-31,Laboratório,Saída
AC00190,VI07087,2024-10-26,Portaria,Saída
AC00191,VI02265,2024-05-02,Laboratório,Entrada
AC00192,VI07965,2024-06-20,Portaria,Entrada
AC00193,VI03898,2026-03-23,Portaria,Saída
AC00194,VI09320,2025-11-05,Produção,Entrada
AC00195,VI07839,2024-08-18,Almoxarifado,Saída
AC00196,VI08133,2025-05-04,Produção,Saída
AC00197,VI06315,2024-11-26,Almoxarifado,Saída
AC00198,VI08797,2026-02-04,Laboratório,Entrada
AC00199,VI09323,2024-10-22,Produção,Saída
AC00200,VI04799,2026-07-23,Produção,Negado
AC00201,VI02387,2024-08-16,Almoxarifado,Entrada
AC00202,VI04901,2024-08-15,Produção,Saída
AC00203,VI04517,2024-11-01,Portaria,Entrada
AC00204,VI06083,2025-03-25,Portaria,Saída
AC00205,VI04366,2026-01-25,Portaria,Saída
AC00206,VI08472,2024-02-29,Laboratório,Saída
AC00207,VI04923,2024-06-15,Produção,Saída
AC00208,VI00113,2026-03-10,Produção,Saída
AC00209,VI00833,2025-09-13,Produção,Saída
AC00210,VI03313,2024-09-12,Almoxarifado,Saída
AC00211,VI04459,2025-03-01,Almoxarifado,Saída
AC00212,VI04204,2024-05-02,Almoxarifado,Saída
AC00213,VI08759,2025-12-14,Portaria,Entrada
AC00214,VI06054,2026-06-07,Portaria,Entrada
AC00215,VI08972,2026-05-26,Produção,Entrada
AC00216,VI03014,2024-12-31,Almoxarifado,Saída
AC00217,VI05410,2024-02-12,Laboratório,Saída
AC00218,VI01549,2024-07-13,Almoxarifado,Entrada
AC00219,VI04148,2025-08-24,Almoxarifado,Entrada
AC00220,VI04787,2026-07-02,Almoxarifado,Entrada
AC00221,VI05311,2025-11-04,Produção,Saída
AC00222,VI03306,2026-01-26,Almoxarifado,Entrada
AC00223,VI01651,2024-10-08,Almoxarifado,Saída
AC00224,VI00164,2024-09-14,Portaria,Saída
AC00225,VI07080,2024-01-01,Portaria,Entrada
AC00226,VI04601,2025-10-20,Laboratório,Entrada
AC00227,VI02247,2025-05-03,Portaria,Saída
AC00228,VI05506,2025-06-07,Almoxarifado,Saída
AC00229,VI02255,2025-03-24,Produção,Entrada
AC00230,VI02101,2025-01-08,Almoxarifado,Saída
AC00231,VI08729,2026-01-20,Portaria,Entrada
AC00232,VI04832,2024-03-24,Laboratório,Entrada
AC00233,VI03989,2025-05-14,Portaria,Entrada
AC00234,VI02188,2026-05-10,Almoxarifado,Saída
AC00235,VI03223,2025-10-11,Portaria,Entrada
AC00236,VI01394,2026-02-03,Almoxarifado,Entrada
AC00237,VI01252,2025-01-02,Produção,Entrada
AC00238,VI08899,2025-08-07,Produção,Saída
AC00239,VI06881,2025-06-28,Portaria,Saída
AC00240,VI07604,2024-12-19,Produção,Saída
AC00241,VI09345,2026-05-04,Produção,Entrada
AC00242,VI05982,2024-03-26,Portaria,Entrada
AC00243,VI01057,2024-03-14,Laboratório,Entrada
AC00244,VI03198,2025-08-01,Produção,Entrada
AC00245,VI03056,2025-10-10,Laboratório,Saída
AC00246,VI00803,2025-09-12,Almoxarifado,Entrada
AC00247,VI00519,2025-10-06,Almoxarifado,Saída
AC00248,VI06760,2025-02-18,Produção,Negado
AC00249,VI03847,2025-11-23,Produção,Saída
AC00250,VI04628,2025-05-09,Portaria,Entrada
AC00251,VI02103,2024-04-24,Produção,Entrada
AC00252,VI08112,2025-06-09,Almoxarifado,Entrada
AC00253,VI07875,2024-01-16,Produção,Negado
AC00254,VI07354,2025-11-28,Laboratório,Entrada
AC00255,VI08122,2025-07-13,Almoxarifado,Saída
AC00256,VI01044,2024-04-10,Produção,Saída
AC00257,VI04171,2025-09-14,Laboratório,Entrada
AC00258,VI06617,2024-05-11,Almoxarifado,Entrada
AC00259,VI02435,2025-06-25,Portaria,Entrada
AC00260,VI02304,2024-02-04,Produção,Saída
AC00261,VI07323,2025-05-11,Laboratório,Saída
AC00262,VI05909,2025-07-27,Produção,Entrada
AC00263,VI00116,2024-07-22,Produção,Saída
AC00264,VI05232,2026-07-31,Produção,Saída
AC00265,VI08611,2025-01-05,Laboratório,Saída
AC00266,VI01096,2026-04-13,Produção,Saída
AC00267,VI04059,2025-11-12,Portaria,Entrada
AC00268,VI03432,2026-04-01,Almoxarifado,Entrada
AC00269,VI02710,2025-02-13,Almoxarifado,Saída
AC00270,VI01718,2026-04-13,Produção,Saída
AC00271,VI05164,2024-04-26,Portaria,Entrada
AC00272,VI08648,2024-01-26,Produção,Entrada
AC00273,VI01739,2025-09-20,Almoxarifado,Saída
AC00274,VI00713,2026-04-10,Laboratório,Saída
AC00275,VI04236,2025-03-05,Portaria,Saída
AC00276,VI02198,2024-01-29,Produção,Saída
AC00277,VI02322,2026-04-19,Laboratório,Negado
AC00278,VI08170,2025-09-24,Almoxarifado,Entrada
AC00279,VI06886,2026-07-25,Portaria,Saída
AC00280,VI05701,2026-07-07,Laboratório,Saída
AC00281,VI07932,2025-02-10,Portaria,Saída
AC00282,VI06997,2026-04-06,Laboratório,Entrada
AC00283,VI07685,2025-07-13,Laboratório,Entrada
AC00284,VI02584,2025-08-12,Produção,Saída
AC00285,VI06937,2024-10-12,Produção,Entrada
AC00286,VI03629,2024-12-30,Portaria,Entrada
AC00287,VI09108,2024-09-30,Portaria,Entrada
AC00288,VI02105,2024-01-10,Produção,Entrada
AC00289,VI08375,2025-05-30,Portaria,Saída
AC00290,VI02905,2024-08-23,Laboratório,Saída
AC00291,VI05647,2025-07-23,Laboratório,Entrada
AC00292,VI00798,2024-02-13,Almoxarifado,Saída
AC00293,VI08290,2026-01-16,Almoxarifado,Saída
AC00294,VI08040,2025-08-24,Portaria,Entrada
AC00295,VI04768,2024-10-16,Laboratório,Saída
AC00296,VI07369,2024-06-13,Portaria,Saída
AC00297,VI00096,2025-06-11,Laboratório,Entrada
AC00298,VI00770,2026-02-02,Laboratório,Saída
AC00299,VI08731,2025-12-01,Almoxarifado,Saída
AC00300,VI00151,2025-11-19,Almoxarifado,Saída
AC00301,VI06901,2025-04-13,Produção,Entrada
AC00302,VI09255,2024-10-03,Laboratório,Saída
AC00303,VI07561,2026-07-17,Laboratório,Entrada
AC00304,VI08887,2026-03-21,Portaria,Entrada
AC00305,VI09209,2024-07-10,Portaria,Entrada
AC00306,VI00406,2025-11-10,Laboratório,Entrada
AC00307,VI02356,2025-11-05,Portaria,Saída
AC00308,VI00110,2026-03-10,Almoxarifado,Entrada
AC00309,VI03248,2024-05-01,Almoxarifado,Entrada
AC00310,VI02489,2025-10-13,Almoxarifado,Saída
AC00311,VI04296,2024-09-08,Laboratório,Saída
AC00312,VI05799,2026-07-28,Almoxarifado,Saída
AC00313,VI03720,2025-03-17,Laboratório,Saída
AC00314,VI01480,2025-10-22,Laboratório,Negado
AC00315,VI08131,2024-09-06,Portaria,Saída
AC00316,VI00285,2026-07-01,Portaria,Entrada
AC00317,VI00732,2025-11-24,Portaria,Saída
AC00318,VI06056,2026-01-31,Almoxarifado,Negado
AC00319,VI03995,2025-03-24,Almoxarifado,Saída
AC00320,VI04602,2024-09-29,Laboratório,Saída
AC00321,VI02069,2024-11-09,Almoxarifado,Negado
AC00322,VI02496,2026-04-16,Almoxarifado,Entrada
AC00323,VI07406,2024-07-11,Laboratório,Saída
AC00324,VI01172,2026-05-24,Almoxarifado,Saída
AC00325,VI07665,2025-10-15,Portaria,Saída
AC00326,VI01030,2026-03-13,Almoxarifado,Saída
AC00327,VI09044,2025-09-21,Laboratório,Saída
AC00328,VI08165,2025-02-18,Portaria,Entrada
AC00329,VI08903,2025-05-14,Laboratório,Saída
AC00330,VI04783,2024-07-19,Portaria,Saída
AC00331,VI01358,2024-03-11,Produção,Entrada
AC00332,VI05469,2025-06-20,Produção,Entrada
AC00333,VI06826,2025-12-13,Laboratório,Entrada
AC00334,VI01751,2025-04-17,Laboratório,Entrada
AC00335,VI03206,2025-10-21,Produção,Saída
AC00336,VI05755,2024-05-19,Laboratório,Entrada
AC00337,VI01951,2024-01-11,Laboratório,Entrada
AC00338,VI03576,2024-12-02,Laboratório,Entrada
AC00339,VI06650,2026-01-19,Portaria,Saída
AC00340,VI08592,2026-02-02,Laboratório,Saída
AC00341,VI09351,2024-11-30,Laboratório,Entrada
AC00342,VI05505,2024-08-07,Produção,Entrada
AC00343,VI08969,2025-06-06,Laboratório,Saída
AC00344,VI02055,2026-01-21,Produção,Saída
AC00345,VI02775,2025-02-01,Produção,Entrada
AC00346,VI04808,2026-03-23,Produção,Saída
AC00347,VI03394,2026-07-28,Almoxarifado,Saída
AC00348,VI03759,2024-07-25,Laboratório,Saída
AC00349,VI04164,2026-03-20,Produção,Saída
AC00350,VI08263,2024-11-02,Laboratório,Saída
AC00351,VI08188,2025-08-24,Almoxarifado,Entrada
AC00352,VI03902,2024-09-03,Almoxarifado,Negado
AC00353,VI07425,2025-10-17,Portaria,Saída
AC00354,VI02838,2026-05-01,Produção,Saída
AC00355,VI06172,2025-03-22,Almoxarifado,Entrada
AC00356,VI01068,2024-03-27,Portaria,Saída
AC00357,VI08140,2026-05-17,Portaria,Saída
AC00358,VI08581,2026-06-09,Produção,Entrada
AC00359,VI02122,2025-12-16,Produção,Entrada
AC00360,VI00515,2024-06-06,Laboratório,Entrada
AC00361,VI02480,2024-11-07,Laboratório,Entrada
AC00362,VI03882,2025-10-08,Laboratório,Entrada
AC00363,VI07095,2024-08-24,Laboratório,Entrada
AC00364,VI05604,2025-11-14,Laboratório,Entrada
AC00365,VI00695,2024-03-26,Laboratório,Saída
AC00366,VI03516,2026-04-01,Produção,Entrada
AC00367,VI05859,2024-02-03,Almoxarifado,Saída
AC00368,VI08129,2025-11-06,Almoxarifado,Saída
AC00369,VI07908,2024-04-16,Portaria,Entrada
AC00370,VI06000,2025-11-19,Laboratório,Entrada
AC00371,VI00703,2026-02-22,Laboratório,Saída
AC00372,VI03130,2024-02-20,Portaria,Entrada
AC00373,VI06612,2026-03-28,Almoxarifado,Saída
AC00374,VI02505,2025-07-09,Portaria,Saída
AC00375,VI04794,2024-09-02,Produção,Entrada
AC00376,VI07824,2026-05-14,Almoxarifado,Saída
AC00377,VI07709,2024-08-04,Almoxarifado,Saída
AC00378,VI07991,2025-06-29,Portaria,Saída
AC00379,VI04660,2024-08-18,Laboratório,Entrada
AC00380,VI00151,2025-11-24,Produção,Saída
AC00381,VI01559,2025-10-26,Laboratório,Entrada
AC00382,VI04875,2026-02-16,Portaria,Entrada
AC00383,VI02728,2026-03-17,Produção,Saída
AC00384,VI07065,2025-10-31,Portaria,Entrada
AC00385,VI02620,2025-11-08,Produção,Entrada
AC00386,VI08012,2024-06-22,Laboratório,Saída
AC00387,VI00609,2024-07-26,Laboratório,Saída
AC00388,VI03281,2024-10-28,Portaria,Saída
AC00389,VI00987,2026-07-04,Almoxarifado,Saída
AC00390,VI02593,2026-03-28,Portaria,Negado
AC00391,VI00775,2025-10-31,Portaria,Saída
AC00392,VI00288,2026-01-10,Almoxarifado,Saída
AC00393,VI06423,2024-07-19,Laboratório,Saída
AC00394,VI09444,2025-01-22,Portaria,Entrada
AC00395,VI00621,2024-12-11,Produção,Saída
AC00396,VI06283,2026-06-16,Produção,Saída
AC00397,VI00677,2025-10-19,Laboratório,Entrada
AC00398,VI02633,2024-05-07,Laboratório,Saída
AC00399,VI03480,2024-07-11,Almoxarifado,Entrada
AC00400,VI06981,2026-06-27,Almoxarifado,Entrada
AC00401,VI00247,2024-01-15,Laboratório,Entrada
AC00402,VI04031,2024-03-05,Portaria,Saída
AC00403,VI08643,2025-11-07,Portaria,Saída
AC00404,VI00399,2024-10-20,Portaria,Entrada
AC00405,VI09015,2024-07-28,Portaria,Saída
AC00406,VI08285,2025-11-19,Laboratório,Negado
AC00407,VI09355,2026-07-04,Almoxarifado,Saída
AC00408,VI09275,2025-04-10,Produção,Entrada
AC00409,VI07740,2026-06-17,Portaria,Entrada
AC00410,VI03790,2024-03-06,Laboratório,Entrada
AC00411,VI09426,2024-01-17,Laboratório,Saída
AC00412,VI00884,2025-02-28,Laboratório,Saída
AC00413,VI05245,2025-02-09,Produção,Entrada
AC00414,VI01685,2024-01-23,Produção,Saída
AC00415,VI01398,2024-01-30,Almoxarifado,Entrada
AC00416,VI08079,2024-05-01,Portaria,Saída
AC00417,VI06055,2024-12-19,Laboratório,Saída
AC00418,VI06893,2024-07-26,Portaria,Saída
AC00419,VI03632,2024-12-06,Produção,Entrada
AC00420,VI00406,2024-02-09,Almoxarifado,Saída
AC00421,VI03752,2026-07-23,Produção,Saída
AC00422,VI06337,2026-03-20,Almoxarifado,Entrada
AC00423,VI07676,2026-03-04,Produção,Saída
AC00424,VI08738,2024-07-28,Laboratório,Entrada
AC00425,VI08965,2025-12-21,Laboratório,Saída
AC00426,VI03033,2024-12-08,Portaria,Entrada
AC00427,VI00516,2024-02-03,Produção,Saída
AC00428,VI02473,2025-11-26,Produção,Entrada
AC00429,VI02539,2025-01-17,Almoxarifado,Entrada
AC00430,VI00230,2024-12-10,Produção,Entrada
AC00431,VI02352,2024-09-28,Portaria,Entrada
AC00432,VI07116,2024-03-17,Almoxarifado,Saída
AC00433,VI08771,2025-09-09,Produção,Entrada
AC00434,VI01556,2025-09-03,Laboratório,Entrada
AC00435,VI01347,2024-02-14,Portaria,Entrada
AC00436,VI08859,2026-01-24,Portaria,Saída
AC00437,VI04348,2024-08-21,Portaria,Entrada
AC00438,VI00948,2024-12-06,Portaria,Saída
AC00439,VI04575,2026-04-01,Almoxarifado,Entrada
AC00440,VI06460,2026-04-20,Laboratório,Saída
AC00441,VI03036,2024-10-27,Laboratório,Entrada
AC00442,VI01288,2025-05-25,Laboratório,Saída
AC00443,VI06712,2024-12-07,Portaria,Saída
AC00444,VI09453,2024-05-10,Laboratório,Saída
AC00445,VI06094,2025-04-08,Almoxarifado,Entrada
AC00446,VI06386,2025-09-07,Laboratório,Saída
AC00447,VI00494,2026-03-11,Almoxarifado,Entrada
AC00448,VI00295,2025-11-09,Laboratório,Saída
AC00449,VI04333,2025-10-28,Almoxarifado,Entrada
AC00450,VI00859,2024-03-04,Portaria,Saída
AC00451,VI03889,2024-01-02,Almoxarifado,Saída
AC00452,VI04829,2025-05-06,Portaria,Saída
AC00453,VI09418,2025-10-25,Almoxarifado,Entrada
AC00454,VI02124,2025-08-29,Produção,Saída
AC00455,VI07555,2025-04-09,Laboratório,Entrada
AC00456,VI04819,2024-11-27,Portaria,Entrada
AC00457,VI04806,2025-07-21,Almoxarifado,Saída
AC00458,VI05405,2026-01-10,Portaria,Saída
AC00459,VI00334,2025-10-09,Laboratório,Entrada
AC00460,VI03040,2025-02-01,Laboratório,Entrada
AC00461,VI02888,2026-01-18,Almoxarifado,Entrada
AC00462,VI06679,2024-06-28,Portaria,Saída
AC00463,VI03760,2026-01-01,Almoxarifado,Entrada
AC00464,VI01931,2024-11-03,Laboratório,Negado
AC00465,VI04835,2024-11-03,Produção,Saída
AC00466,VI01125,2025-08-17,Laboratório,Negado
AC00467,VI04323,2024-02-28,Laboratório,Saída
AC00468,VI02637,2024-06-07,Almoxarifado,Saída
AC00469,VI08574,2024-05-20,Laboratório,Saída
AC00470,VI03605,2025-11-04,Portaria,Saída
AC00471,VI01446,2025-08-11,Laboratório,Saída
AC00472,VI06873,2024-01-06,Produção,Negado
AC00473,VI09314,2026-06-25,Almoxarifado,Entrada
AC00474,VI02974,2025-06-24,Portaria,Entrada
AC00475,VI08588,2025-10-17,Laboratório,Saída
AC00476,VI01522,2026-05-03,Laboratório,Entrada
AC00477,VI06938,2025-12-09,Portaria,Entrada
AC00478,VI01531,2025-03-28,Produção,Entrada
AC00479,VI07897,2025-08-21,Produção,Saída
AC00480,VI03771,2024-06-23,Almoxarifado,Saída
AC00481,VI02067,2025-07-11,Almoxarifado,Entrada
AC00482,VI04314,2026-02-11,Portaria,Negado
AC00483,VI01702,2024-06-06,Almoxarifado,Saída
AC00484,VI08097,2026-01-27,Almoxarifado,Saída
AC00485,VI00395,2025-09-12,Almoxarifado,Saída
AC00486,VI06158,2025-11-23,Produção,Entrada
AC00487,VI02791,2026-01-14,Almoxarifado,Entrada
AC00488,VI02443,2024-01-24,Portaria,Entrada
AC00489,VI06365,2024-02-17,Produção,Entrada
AC00490,VI02325,2026-04-03,Almoxarifado,Entrada
AC00491,VI02463,2024-03-21,Portaria,Saída
AC00492,VI07185,2024-06-06,Produção,Saída
AC00493,VI01853,2026-03-10,Laboratório,Entrada
AC00494,VI07741,2025-03-01,Portaria,Entrada
AC00495,VI00627,2024-04-06,Portaria,Negado
AC00496,VI04767,2024-02-28,Laboratório,Entrada
AC00497,VI08712,2024-12-06,Laboratório,Entrada
AC00498,VI03938,2025-09-18,Almoxarifado,Saída
AC00499,VI03613,2025-10-03,Portaria,Saída
AC00500,VI00976,2026-03-20,Almoxarifado,Saída
AC00501,VI04917,2026-04-23,Portaria,Saída
AC00502,VI04207,2026-07-25,Almoxarifado,Saída
AC00503,VI00575,2024-06-07,Laboratório,Entrada
AC00504,VI02392,2024-06-07,Laboratório,Saída
AC00505,VI01079,2025-09-25,Almoxarifado,Entrada
AC00506,VI02114,2024-03-05,Laboratório,Entrada
AC00507,VI08728,2025-06-14,Almoxarifado,Entrada
AC00508,VI04462,2025-03-21,Laboratório,Saída
AC00509,VI04660,2026-01-03,Portaria,Entrada
AC00510,VI08012,2026-06-26,Portaria,Saída
