documento_id;terceiro_id;tipo;validade;status
DO00099;TE02669;ASO;2024-12-20 00:00:00;Válido
DO00100;TE01630;Integração;2026-05-25 00:00:00;Vencido
DO00101;TE01548;NR-10;2024-08-26 00:00:00;Válido
DO00102;TE02643;Integração;2024-05-13 00:00:00;Válido
DO00103;TE01516;NR-10;2025-10-14 00:00:00;Válido
DO00104;TE03170;ASO;2025-11-21 00:00:00;Válido
DO00105;TE02125;Seguro;2026-03-11 00:00:00;Válido
DO00106;TE01431;NR-10;2026-02-20 00:00:00;Válido
DO00107;TE03200;NR-10;2025-05-02 00:00:00;Vencido
DO00108;TE01314;NR-10;2025-09-03 00:00:00;Válido
DO00109;TE00869;Seguro;2024-03-18 00:00:00;Válido
DO00110;TE02230;ASO;2024-06-02 00:00:00;Pendente
DO00111;TE02484;Seguro;2026-02-28 00:00:00;Vencido
DO00112;TE02537;NR-10;2025-11-02 00:00:00;Válido
DO00113;TE01796;NR-35;2024-07-09 00:00:00;Válido
DO00114;TE02678;ASO;2025-09-01 00:00:00;Válido
DO00115;TE01713;Seguro;2024-06-18 00:00:00;Vencido
DO00116;TE01043;NR-10;2026-07-26 00:00:00;Válido
DO00117;TE02284;ASO;2026-04-19 00:00:00;Vencido
DO00118;TE01770;Seguro;2026-04-16 00:00:00;Válido
DO00119;TE00728;ASO;2026-05-20 00:00:00;Pendente
DO00120;TE01055;NR-10;2024-05-12 00:00:00;Vencido
DO00121;TE00906;Integração;2026-01-19 00:00:00;Válido
DO00122;TE00649;NR-10;2024-01-30 00:00:00;Válido
DO00123;TE00993;Integração;2026-04-23 00:00:00;Válido
DO00124;TE02486;NR-35;2025-06-06 00:00:00;Válido
DO00125;TE02325;Integração;2024-04-22 00:00:00;Válido
DO00126;TE00302;ASO;2025-05-05 00:00:00;Válido
DO00127;TE01918;Seguro;2026-03-09 00:00:00;Vencido
DO00128;TE02463;NR-35;2024-10-06 00:00:00;Válido
DO00129;TE02891;NR-10;2026-04-24 00:00:00;Válido
DO00130;TE02193;NR-35;2025-10-13 00:00:00;Válido
DO00131;TE01513;Seguro;2025-10-13 00:00:00;Pendente
DO00132;TE02675;NR-10;2025-06-22 00:00:00;Válido
DO00133;TE02787;Integração;2025-12-09 00:00:00;Válido
DO00134;TE01155;ASO;2024-06-06 00:00:00;Válido
DO00135;TE01052;Integração;2025-01-05 00:00:00;Válido
DO00136;TE01121;ASO;2025-07-07 00:00:00;Válido
DO00137;TE02076;NR-35;2025-04-07 00:00:00;Vencido
DO00138;TE03011;Integração;2025-03-02 00:00:00;Válido
DO00139;TE01719;ASO;2026-03-09 00:00:00;Válido
DO00140;TE03003;Seguro;2024-02-04 00:00:00;Válido
DO00141;TE02555;NR-35;2025-09-08 00:00:00;Válido
DO00142;TE01506;Seguro;2024-05-29 00:00:00;Válido
DO00143;TE02265;Seguro;2025-02-08 00:00:00;Válido
DO00144;TE02885;NR-35;2026-05-23 00:00:00;Vencido
DO00145;TE02948;ASO;2024-07-20 00:00:00;Vencido
DO00146;TE00525;ASO;2024-12-19 00:00:00;Válido
DO00147;TE00230;Seguro;2025-10-28 00:00:00;Válido
DO00148;TE01312;NR-10;2025-01-13 00:00:00;Válido
DO00149;TE01546;ASO;2025-01-18 00:00:00;Válido
DO00150;TE02187;ASO;2026-04-26 00:00:00;Válido
DO00151;TE02619;ASO;2025-08-19 00:00:00;Válido
DO00152;TE01885;Integração;2025-12-16 00:00:00;Válido
DO00153;TE00477;ASO;2024-02-05 00:00:00;Válido
DO00154;TE01873;NR-10;2024-07-25 00:00:00;Válido
DO00155;TE00676;Integração;2024-04-13 00:00:00;Válido
DO00156;TE01752;Seguro;2025-11-17 00:00:00;Pendente
DO00157;TE02979;ASO;2026-01-18 00:00:00;Válido
DO00158;TE01574;Seguro;2025-09-03 00:00:00;Válido
DO00159;TE01613;NR-35;2025-01-06 00:00:00;Válido
DO00160;TE00525;NR-35;2026-01-25 00:00:00;Pendente
DO00161;TE02153;NR-10;2025-02-22 00:00:00;Válido
DO00162;TE00593;NR-10;2025-03-23 00:00:00;Válido
DO00163;TE02801;Seguro;2025-05-17 00:00:00;Válido
DO00164;TE00302;NR-10;2024-10-04 00:00:00;Válido
DO00165;TE01395;Seguro;2024-10-03 00:00:00;Válido
DO00166;TE02565;Integração;2025-01-19 00:00:00;Válido
DO00167;TE01273;NR-10;2025-04-14 00:00:00;Válido
DO00168;TE01544;Seguro;2026-01-13 00:00:00;Válido
DO00169;TE02842;Integração;2026-06-11 00:00:00;Válido
DO00170;TE01107;NR-35;2024-07-29 00:00:00;Válido
DO00171;TE02382;NR-10;2025-02-23 00:00:00;Válido
DO00172;TE01492;Seguro;2025-10-06 00:00:00;Válido
DO00173;TE02767;ASO;2026-02-20 00:00:00;Válido
DO00174;TE02730;Integração;2025-01-26 00:00:00;Válido
DO00175;TE02286;Integração;2025-10-21 00:00:00;Válido
DO00176;TE01465;NR-35;2024-08-16 00:00:00;Pendente
DO00177;TE01213;NR-35;2025-12-28 00:00:00;Válido
DO00178;TE02147;Integração;2025-04-07 00:00:00;Válido
DO00179;TE01839;NR-10;2026-03-08 00:00:00;Válido
DO00180;TE01787;Seguro;2024-06-16 00:00:00;Pendente
DO00181;TE02096;NR-35;2024-05-14 00:00:00;Válido
DO00182;TE00046;ASO;2024-12-27 00:00:00;Vencido
DO00183;TE01167;ASO;2024-04-26 00:00:00;Válido
DO00184;TE00422;NR-10;2026-03-16 00:00:00;Válido
DO00185;TE02913;Seguro;2026-07-12 00:00:00;Válido
DO00186;TE00367;NR-10;2024-04-04 00:00:00;Válido
DO00187;TE02410;Seguro;2024-11-17 00:00:00;Válido
DO00188;TE02319;NR-35;2025-06-09 00:00:00;Válido
DO00189;TE00813;NR-10;2024-01-31 00:00:00;Válido
DO00190;TE00709;ASO;2026-06-25 00:00:00;Vencido
DO00191;TE02138;NR-35;2024-04-03 00:00:00;Válido
DO00192;TE02502;NR-10;2025-07-12 00:00:00;Válido
DO00193;TE01940;NR-10;2024-06-05 00:00:00;Vencido
DO00194;TE02741;NR-35;2025-11-07 00:00:00;Válido
DO00195;TE00661;Seguro;2025-01-05 00:00:00;Válido
DO00196;TE02546;NR-10;2024-11-08 00:00:00;Válido
DO00197;TE01022;Seguro;2024-03-25 00:00:00;Válido
DO00198;TE02938;NR-10;2025-10-23 00:00:00;Válido
DO00199;TE02494;NR-35;2025-05-25 00:00:00;Vencido
DO00200;TE02986;NR-10;2024-10-03 00:00:00;Válido
DO00201;TE02096;NR-35;2025-02-11 00:00:00;Válido
DO00202;TE02456;NR-35;2024-04-19 00:00:00;Vencido
DO00203;TE01762;NR-10;2026-06-04 00:00:00;Válido
DO00204;TE00657;NR-10;2024-01-19 00:00:00;Válido
DO00205;TE01979;NR-10;2025-12-19 00:00:00;Válido
DO00206;TE00997;ASO;2026-02-15 00:00:00;Válido
DO00207;TE01362;Seguro;2025-04-07 00:00:00;Válido
DO00208;TE00383;NR-35;2026-01-03 00:00:00;Vencido
DO00209;TE01618;ASO;2024-03-21 00:00:00;Válido
DO00210;TE02817;NR-35;2024-04-27 00:00:00;Válido
DO00211;TE01015;NR-10;2026-06-13 00:00:00;Válido
DO00212;TE02297;ASO;2025-09-19 00:00:00;Pendente
DO00213;TE00806;NR-10;2025-10-23 00:00:00;Válido
DO00214;TE03036;Integração;2024-02-24 00:00:00;Válido
DO00215;TE02252;Integração;2026-02-07 00:00:00;Válido
DO00216;TE00218;NR-10;2026-04-17 00:00:00;Válido
DO00217;TE01638;Seguro;2026-04-29 00:00:00;Válido
DO00218;TE02077;ASO;2024-01-19 00:00:00;Válido
DO00219;TE01006;ASO;2026-07-16 00:00:00;Válido
DO00220;TE02683;NR-10;2024-03-15 00:00:00;Válido
DO00221;TE02425;NR-10;2025-11-26 00:00:00;Válido
DO00222;TE00130;NR-10;2025-04-09 00:00:00;Válido
DO00223;TE00316;NR-10;2024-04-23 00:00:00;Válido
DO00224;TE01178;ASO;2025-07-13 00:00:00;Válido
DO00225;TE01666;ASO;2024-12-29 00:00:00;Válido
DO00226;TE01201;Integração;2024-02-28 00:00:00;Vencido
DO00227;TE01942;NR-35;2026-07-08 00:00:00;Pendente
DO00228;TE02411;NR-10;2025-07-17 00:00:00;Válido
DO00229;TE01010;ASO;2025-01-28 00:00:00;Válido
DO00230;TE01194;NR-10;2024-09-13 00:00:00;Válido
DO00231;TE02856;Integração;2024-07-06 00:00:00;Válido
DO00232;TE02360;Integração;2025-11-08 00:00:00;Válido
DO00233;TE01012;ASO;2025-02-04 00:00:00;Válido
DO00234;TE00284;NR-35;2025-05-10 00:00:00;Válido
DO00235;TE01112;ASO;2025-01-14 00:00:00;Válido
DO00236;TE00716;Seguro;2024-03-27 00:00:00;Válido
DO00237;TE00260;NR-10;2025-12-05 00:00:00;Válido
DO00238;TE02809;ASO;2024-02-25 00:00:00;Válido
DO00239;TE00675;NR-35;2024-04-30 00:00:00;Pendente
DO00240;TE02371;NR-10;2025-05-12 00:00:00;Válido
DO00241;TE00141;NR-35;2025-10-04 00:00:00;Pendente
DO00242;TE03194;Seguro;2025-07-18 00:00:00;Válido
DO00243;TE03108;Seguro;2026-06-07 00:00:00;Vencido
DO00244;TE01639;NR-10;2024-01-31 00:00:00;Válido
DO00245;TE01443;Seguro;2025-05-19 00:00:00;Válido
DO00246;TE01195;Seguro;2026-06-29 00:00:00;Vencido
DO00247;TE02220;Seguro;2025-09-10 00:00:00;Válido
DO00248;TE01170;Seguro;2026-01-04 00:00:00;Pendente
DO00249;TE02888;NR-35;2024-06-22 00:00:00;Pendente
DO00250;TE01771;Seguro;2024-04-04 00:00:00;Válido
DO00251;TE02989;NR-35;2024-03-09 00:00:00;Válido
DO00252;TE00428;NR-35;2024-10-18 00:00:00;Válido
DO00253;TE01805;ASO;2026-04-03 00:00:00;Válido
DO00254;TE00456;Integração;2026-04-29 00:00:00;Pendente
DO00255;TE02109;NR-10;2026-06-12 00:00:00;Válido
DO00256;TE02982;NR-10;2025-03-15 00:00:00;Válido
DO00257;TE00706;NR-10;2025-05-04 00:00:00;Válido
DO00258;TE00152;Seguro;2025-07-09 00:00:00;Válido
DO00259;TE00270;Integração;2024-09-25 00:00:00;Válido
DO00260;TE00098;NR-10;2025-04-19 00:00:00;Pendente
DO00261;TE00804;Integração;2025-12-03 00:00:00;Vencido
DO00262;TE02667;ASO;2024-02-04 00:00:00;Válido
DO00263;TE01027;NR-10;2024-09-28 00:00:00;Vencido
DO00264;TE02341;Integração;2024-05-03 00:00:00;Pendente
DO00265;TE00560;NR-35;2025-12-21 00:00:00;Válido
DO00266;TE02693;Seguro;2024-08-09 00:00:00;Válido
DO00267;TE01270;Seguro;2025-01-17 00:00:00;Válido
DO00268;TE02722;NR-35;2026-03-12 00:00:00;Vencido
DO00269;TE02807;ASO;2024-05-16 00:00:00;Válido
DO00270;TE00681;Integração;2026-04-02 00:00:00;Vencido
DO00271;TE01112;Seguro;2024-08-09 00:00:00;Válido
DO00272;TE00182;ASO;2024-05-08 00:00:00;Válido
DO00273;TE01672;Seguro;2024-10-14 00:00:00;Válido
DO00274;TE01918;Seguro;2025-09-16 00:00:00;Válido
DO00275;TE03011;Integração;2025-04-30 00:00:00;Válido
DO00276;TE00843;NR-10;2024-03-23 00:00:00;Válido
DO00277;TE00205;Integração;2024-06-03 00:00:00;Válido
DO00278;TE00132;NR-35;2025-08-21 00:00:00;Válido
DO00279;TE02707;ASO;2026-06-17 00:00:00;Válido
DO00280;TE00767;NR-10;2025-10-09 00:00:00;Vencido
DO00281;TE01290;Seguro;2025-12-17 00:00:00;Válido
DO00282;TE00040;Seguro;2025-08-25 00:00:00;Válido
DO00283;TE02516;ASO;2025-08-05 00:00:00;Válido
DO00284;TE00355;Seguro;2024-12-01 00:00:00;Vencido
DO00285;TE03015;Seguro;2026-06-12 00:00:00;Vencido
DO00286;TE00323;Integração;2024-06-05 00:00:00;Válido
DO00287;TE02166;Integração;2026-03-07 00:00:00;Válido
DO00288;TE02584;NR-35;2024-10-22 00:00:00;Pendente
DO00289;TE01740;NR-35;2025-08-26 00:00:00;Válido
DO00290;TE00952;NR-10;2024-09-04 00:00:00;Válido
DO00291;TE03137;Integração;2025-07-03 00:00:00;Válido
DO00292;TE02991;Integração;2024-07-26 00:00:00;Válido
DO00293;TE00686;NR-10;2026-07-16 00:00:00;Válido
DO00294;TE00638;NR-10;2025-09-19 00:00:00;Vencido
DO00295;TE00949;ASO;2024-08-25 00:00:00;Válido
DO00296;TE02645;Seguro;2026-07-04 00:00:00;Vencido
DO00297;TE00059;Seguro;2025-11-26 00:00:00;Vencido
DO00298;TE00116;NR-10;2024-05-11 00:00:00;Válido
DO00299;TE02309;Integração;2024-07-26 00:00:00;Pendente
DO00300;TE00128;ASO;2025-12-08 00:00:00;Válido
DO00301;TE03057;Seguro;2025-07-21 00:00:00;Pendente
DO00302;TE01630;NR-10;2026-06-03 00:00:00;Válido
DO00303;TE00705;ASO;2025-12-21 00:00:00;Válido
DO00304;TE01202;NR-10;2024-03-19 00:00:00;Válido
DO00305;TE01069;Seguro;2024-01-23 00:00:00;Válido
DO00306;TE00040;ASO;2026-05-26 00:00:00;Pendente
DO00307;TE01899;NR-35;2026-02-24 00:00:00;Válido
DO00308;TE02863;Integração;2024-06-20 00:00:00;Válido
DO00309;TE01480;NR-35;2026-04-14 00:00:00;Válido
DO00310;TE00276;NR-35;2024-12-04 00:00:00;Pendente
DO00311;TE00856;NR-10;2024-03-11 00:00:00;Válido
DO00312;TE00688;NR-10;2025-01-13 00:00:00;Válido
DO00313;TE01798;Integração;2026-04-04 00:00:00;Válido
DO00314;TE00121;NR-10;2024-04-25 00:00:00;Válido
DO00315;TE00069;NR-35;2025-02-20 00:00:00;Válido
DO00316;TE01148;ASO;2025-02-27 00:00:00;Válido
DO00317;TE00855;ASO;2025-05-12 00:00:00;Válido
DO00318;TE02928;Integração;2026-05-13 00:00:00;Vencido
DO00319;TE01845;Seguro;2024-06-25 00:00:00;Válido
DO00320;TE02387;NR-35;2024-07-03 00:00:00;Válido
DO00321;TE01586;NR-10;2024-07-04 00:00:00;Válido
DO00322;TE01388;Seguro;2024-04-06 00:00:00;Válido
DO00323;TE02334;Seguro;2024-06-29 00:00:00;Válido
DO00324;TE00250;NR-35;2026-04-19 00:00:00;Válido
DO00325;TE00324;Integração;2025-05-07 00:00:00;Válido
DO00326;TE00205;Seguro;2024-08-30 00:00:00;Válido
DO00327;TE00615;Seguro;2025-11-23 00:00:00;Válido
DO00328;TE00872;ASO;2025-01-18 00:00:00;Válido
DO00329;TE01905;Integração;2024-03-20 00:00:00;Vencido
DO00330;TE01244;ASO;2025-03-10 00:00:00;Válido
DO00331;TE00784;Integração;2024-04-17 00:00:00;Válido
DO00332;TE01456;NR-35;2024-11-07 00:00:00;Vencido
DO00333;TE01539;NR-10;2025-11-25 00:00:00;Válido
DO00334;TE02385;Integração;2026-05-22 00:00:00;Válido
DO00335;TE02786;Seguro;2024-03-26 00:00:00;Válido
DO00336;TE00794;Integração;2025-05-05 00:00:00;Válido
DO00337;TE00906;Integração;2025-09-10 00:00:00;Válido
DO00338;TE01251;Integração;2025-02-10 00:00:00;Válido
DO00339;TE02861;NR-35;2025-06-07 00:00:00;Válido
DO00340;TE02395;ASO;2025-10-31 00:00:00;Válido
DO00341;TE02554;Seguro;2025-11-11 00:00:00;Válido
DO00342;TE03186;NR-10;2024-02-16 00:00:00;Válido
DO00343;TE01626;NR-10;2026-07-09 00:00:00;Válido
DO00344;TE02842;Seguro;2025-10-04 00:00:00;Válido
DO00345;TE02236;NR-35;2025-11-30 00:00:00;Vencido
DO00346;TE00457;Seguro;2024-08-28 00:00:00;Válido
DO00347;TE01962;NR-10;2024-06-12 00:00:00;Vencido
DO00348;TE03162;Seguro;2026-05-20 00:00:00;Válido
DO00349;TE00533;NR-35;2024-10-26 00:00:00;Válido
DO00350;TE00035;Integração;2024-04-19 00:00:00;Vencido
DO00351;TE00905;ASO;2024-03-11 00:00:00;Válido
DO00352;TE00156;ASO;2024-11-25 00:00:00;Válido
DO00353;TE03042;NR-10;2025-04-11 00:00:00;Válido
DO00354;TE03150;Seguro;2026-02-09 00:00:00;Válido
DO00355;TE01767;NR-10;2025-06-28 00:00:00;Válido
DO00356;TE00724;Seguro;2025-01-10 00:00:00;Válido
DO00357;TE02478;Integração;2026-07-06 00:00:00;Válido
DO00358;TE02538;NR-35;2024-05-17 00:00:00;Válido
DO00359;TE01969;NR-35;2026-05-08 00:00:00;Válido
DO00360;TE02725;Integração;2024-12-26 00:00:00;Válido
DO00361;TE01080;ASO;2026-03-19 00:00:00;Válido
DO00362;TE01214;NR-35;2025-01-28 00:00:00;Válido
DO00363;TE01228;NR-10;2025-09-22 00:00:00;Válido
DO00364;TE02587;Integração;2026-02-20 00:00:00;Válido
DO00365;TE01273;NR-35;2024-04-14 00:00:00;Válido
DO00366;TE02237;Integração;2025-09-22 00:00:00;Válido
DO00367;TE02993;NR-35;2026-05-14 00:00:00;Válido
DO00368;TE01066;Integração;2026-01-21 00:00:00;Válido
DO00369;TE01916;NR-10;2025-11-01 00:00:00;Vencido
DO00370;TE01703;ASO;2025-01-08 00:00:00;Válido
DO00371;TE02267;NR-35;2026-01-14 00:00:00;Pendente
DO00372;TE02991;Seguro;2025-07-23 00:00:00;Válido
DO00373;TE00624;Integração;2025-01-08 00:00:00;Pendente
DO00374;TE02478;ASO;2024-01-20 00:00:00;Válido
DO00375;TE00904;ASO;2024-05-18 00:00:00;Válido
DO00376;TE00733;Integração;2026-01-21 00:00:00;Vencido
DO00377;TE02661;Seguro;2025-07-22 00:00:00;Válido
DO00378;TE03192;Integração;2024-03-16 00:00:00;Válido
DO00379;TE01159;NR-35;2024-01-23 00:00:00;Válido
DO00380;TE00388;NR-10;2025-01-16 00:00:00;Válido
DO00381;TE01059;NR-10;2024-11-18 00:00:00;Válido
DO00382;TE01755;NR-35;2025-11-01 00:00:00;Válido
DO00383;TE02178;Integração;2024-01-24 00:00:00;Válido
DO00384;TE01503;NR-35;2026-06-02 00:00:00;Válido
DO00385;TE00814;ASO;2024-06-05 00:00:00;Válido
DO00386;TE00503;NR-10;2025-08-02 00:00:00;Vencido
DO00387;TE02594;ASO;2025-12-03 00:00:00;Válido
DO00388;TE01244;Integração;2025-02-25 00:00:00;Pendente
DO00389;TE02603;Integração;2025-11-23 00:00:00;Válido
DO00390;TE02873;Seguro;2025-07-06 00:00:00;Válido
DO00391;TE01618;ASO;2025-06-17 00:00:00;Válido
DO00392;TE00312;NR-10;2025-07-20 00:00:00;Válido
DO00393;TE00253;NR-35;2024-12-12 00:00:00;Válido
DO00394;TE01089;ASO;2025-12-29 00:00:00;Válido
DO00395;TE02547;NR-35;2025-04-01 00:00:00;Válido
DO00396;TE01584;NR-35;2024-05-12 00:00:00;Válido
DO00397;TE01616;Seguro;2026-04-05 00:00:00;Pendente
DO00398;TE00597;NR-35;2026-02-20 00:00:00;Válido
DO00399;TE00609;NR-10;2024-11-07 00:00:00;Válido
DO00400;TE00489;Seguro;2026-04-21 00:00:00;Válido
DO00401;TE02681;ASO;2026-04-30 00:00:00;Válido
DO00402;TE00423;Seguro;2026-03-10 00:00:00;Válido
DO00403;TE02007;NR-35;2024-11-05 00:00:00;Válido
DO00404;TE02170;NR-35;2025-11-04 00:00:00;Válido
DO00405;TE00682;Integração;2024-07-12 00:00:00;Válido
DO00406;TE01178;NR-10;2024-05-27 00:00:00;Válido
DO00407;TE01672;NR-10;2025-07-30 00:00:00;Válido
DO00408;TE00441;NR-35;2024-07-24 00:00:00;Válido
DO00409;TE00401;NR-35;2024-03-10 00:00:00;Válido
DO00410;TE02462;NR-10;2025-09-21 00:00:00;Válido
DO00411;TE03149;NR-35;2024-04-02 00:00:00;Válido
DO00412;TE01774;Integração;2025-11-27 00:00:00;Válido
DO00413;TE00798;NR-35;2026-04-11 00:00:00;Válido
DO00414;TE01328;Seguro;2025-10-30 00:00:00;Válido
DO00415;TE01472;NR-10;2025-08-23 00:00:00;Pendente
DO00416;TE01931;Integração;2024-04-02 00:00:00;Vencido
DO00417;TE00680;NR-35;2025-09-21 00:00:00;Válido
DO00418;TE01817;NR-10;2024-05-10 00:00:00;Válido
DO00419;TE01022;NR-10;2026-04-19 00:00:00;Válido
DO00420;TE02982;Integração;2025-03-20 00:00:00;Válido
DO00421;TE02038;ASO;2024-08-22 00:00:00;Válido
DO00422;TE00504;NR-35;2025-05-22 00:00:00;Válido
DO00423;TE02703;Seguro;2024-10-26 00:00:00;Vencido
DO00424;TE01947;Seguro;2024-12-30 00:00:00;Válido
DO00425;TE02818;Integração;2026-03-28 00:00:00;Vencido
DO00426;TE01874;NR-35;2024-03-01 00:00:00;Pendente
DO00427;TE00390;NR-10;2025-01-18 00:00:00;Pendente
DO00428;TE01804;ASO;2024-11-29 00:00:00;Válido
DO00429;TE03091;NR-35;2025-10-22 00:00:00;Vencido
DO00430;TE02002;NR-10;2024-11-20 00:00:00;Válido
DO00431;TE00163;NR-10;2025-05-20 00:00:00;Válido
DO00432;TE02379;NR-10;2025-02-05 00:00:00;Válido
DO00433;TE02086;Integração;2025-04-09 00:00:00;Válido
DO00434;TE00470;NR-35;2025-05-20 00:00:00;Válido
DO00435;TE00693;Integração;2025-03-19 00:00:00;Válido
DO00436;TE02613;Integração;2025-08-01 00:00:00;Válido
DO00437;TE01461;Seguro;2025-09-17 00:00:00;Vencido
