documento_id,cliente_id,competencia,tipo_documento,data_solicitacao,data_recebimento,status
42,4,2025-11,Extratos,2025-12-08,2025-12-06,Recebido
43,4,2025-12,Extratos,2025-12-28,2026-01-03,Recebido
44,4,2026-01,Documentos societários,2026-01-31,2026-02-04,Recebido
45,4,2026-02,Notas fiscais,2026-03-12,2026-03-06,Recebido
46,4,2026-03,Notas fiscais,2026-03-29,2026-03-27,Recebido
47,4,2026-04,Notas fiscais,2026-05-05,,Pendente
48,4,2026-05,Documentos societários,2026-05-29,2026-06-03,Recebido
49,5,2025-07,Extratos,2025-07-10,2025-07-16,Recebido
50,5,2025-07,Documentos societários,2025-08-11,2025-08-05,Recebido
51,5,2025-08,Documentos societários,2025-09-02,2025-09-05,Recebido
52,5,2025-09,Folha,2025-10-09,2025-10-03,Recebido
53,5,2025-10,Folha,2025-10-31,2025-11-03,Recebido
54,5,2025-11,Extratos,2025-11-29,2025-11-23,Recebido
55,5,2025-12,Folha,2026-01-04,,Pendente
56,5,2026-01,Documentos societários,2026-01-31,2026-02-06,Recebido
57,5,2026-02,Extratos,2026-02-28,2026-03-02,Recebido
58,5,2026-03,Documentos societários,2026-04-04,2026-03-30,Recebido
59,5,2026-04,Documentos societários,2026-05-02,2026-05-10,Recebido
60,5,2026-05,Extratos,2026-06-03,2026-06-10,Recebido
61,6,2025-07,Extratos,2025-07-09,2025-07-14,Recebido
62,6,2025-07,Extratos,2025-08-10,2025-08-19,Recebido
63,6,2025-08,Documentos societários,2025-09-07,2025-09-14,Recebido
64,6,2025-09,Documentos societários,2025-10-14,2025-10-21,Recebido
65,6,2025-10,Documentos societários,2025-11-11,2025-11-09,Recebido
66,6,2025-11,Folha,2025-12-11,2025-12-09,Recebido
67,6,2025-12,Notas fiscais,2026-01-09,2025-12-30,Recebido
68,6,2026-01,Folha,2026-01-28,2026-01-18,Recebido
69,6,2026-02,Folha,2026-02-28,2026-02-20,Recebido
70,6,2026-03,Notas fiscais,2026-04-11,2026-04-01,Recebido
71,6,2026-04,Extratos,2026-05-04,2026-05-08,Recebido
72,6,2026-05,Notas fiscais,2026-06-02,2026-05-30,Recebido
73,7,2025-07,Documentos societários,2025-07-16,2025-07-08,Recebido
74,7,2025-07,Notas fiscais,2025-08-02,2025-07-29,Recebido
75,7,2025-08,Extratos,2025-09-04,2025-09-07,Recebido
76,7,2025-09,Extratos,2025-10-11,2025-10-10,Recebido
77,7,2025-10,Notas fiscais,2025-11-04,2025-10-28,Recebido
78,7,2025-11,Documentos societários,2025-12-01,2025-12-10,Recebido
79,7,2025-12,Extratos,2026-01-11,2026-01-19,Recebido
80,7,2026-01,Folha,2026-02-01,2026-02-05,Recebido
81,7,2026-02,Documentos societários,2026-03-12,2026-03-11,Recebido
82,7,2026-03,Folha,2026-03-30,2026-04-02,Recebido
83,7,2026-04,Folha,2026-05-09,2026-05-17,Recebido
84,7,2026-05,Extratos,2026-06-06,2026-06-10,Recebido
85,8,2025-07,Folha,2025-07-03,2025-06-29,Recebido
86,8,2025-07,Extratos,2025-08-03,2025-08-07,Recebido
87,8,2025-08,Folha,2025-09-09,,Pendente
88,8,2025-09,Folha,2025-10-11,2025-10-03,Recebido
89,8,2025-10,Notas fiscais,2025-11-05,2025-11-11,Recebido
90,8,2025-11,Folha,2025-12-12,2025-12-17,Recebido
91,8,2025-12,Extratos,2026-01-01,2025-12-23,Recebido
92,8,2026-01,Extratos,2026-02-08,2026-01-31,Recebido
93,8,2026-02,Documentos societários,2026-03-10,2026-03-15,Recebido
94,8,2026-03,Notas fiscais,2026-03-31,2026-03-29,Recebido
95,8,2026-04,Extratos,2026-05-02,2026-05-05,Recebido
96,8,2026-05,Folha,2026-06-01,2026-05-31,Recebido
97,9,2025-07,Extratos,2025-07-14,2025-07-23,Recebido
98,9,2025-07,Notas fiscais,2025-08-05,,Pendente
99,9,2025-08,Extratos,2025-08-31,2025-08-31,Recebido
100,9,2025-09,Notas fiscais,2025-10-05,2025-10-12,Recebido
101,9,2025-10,Notas fiscais,2025-11-10,2025-11-12,Recebido
102,9,2025-11,Folha,2025-11-30,2025-11-20,Recebido
103,9,2025-12,Extratos,2026-01-05,2026-01-06,Recebido
104,9,2026-01,Documentos societários,2026-02-09,2026-01-31,Recebido
105,9,2026-02,Notas fiscais,2026-02-28,2026-03-02,Recebido
106,9,2026-03,Folha,2026-04-01,2026-03-31,Recebido
107,9,2026-04,Documentos societários,2026-05-09,2026-05-16,Recebido
108,9,2026-05,Documentos societários,2026-06-09,2026-06-04,Recebido
109,10,2025-07,Notas fiscais,2025-07-11,2025-07-18,Recebido
110,10,2025-07,Extratos,2025-08-03,,Pendente
111,10,2025-08,Extratos,2025-09-05,2025-09-14,Recebido
112,10,2025-09,Folha,2025-10-07,2025-10-07,Recebido
113,10,2025-10,Folha,2025-11-05,2025-10-30,Recebido
114,10,2025-11,Documentos societários,2025-12-07,2025-11-30,Recebido
115,10,2025-12,Extratos,2025-12-31,2025-12-28,Recebido
116,10,2026-01,Folha,2026-02-09,2026-02-04,Recebido
117,10,2026-02,Documentos societários,2026-03-10,,Pendente
118,10,2026-03,Extratos,2026-04-06,2026-04-07,Recebido
119,10,2026-04,Folha,2026-05-07,2026-05-10,Recebido
120,10,2026-05,Extratos,2026-06-11,2026-06-11,Recebido
121,11,2025-07,Documentos societários,2025-07-11,2025-07-03,Recebido
122,11,2025-07,Folha,2025-07-31,2025-07-24,Recebido
123,11,2025-08,Extratos,2025-08-31,2025-08-21,Recebido
124,11,2025-09,Documentos societários,2025-10-05,2025-09-27,Recebido
125,11,2025-10,Folha,2025-11-02,,Pendente
126,11,2025-11,Notas fiscais,2025-11-29,2025-12-04,Recebido
127,11,2025-12,Documentos societários,2026-01-06,2026-01-13,Recebido
128,11,2026-01,Extratos,2026-02-05,2026-02-08,Recebido
129,11,2026-02,Documentos societários,2026-03-11,2026-03-02,Recebido
130,11,2026-03,Extratos,2026-03-28,2026-03-19,Recebido
131,11,2026-04,Notas fiscais,2026-05-03,2026-05-12,Recebido
132,11,2026-05,Folha,2026-06-05,2026-05-29,Recebido
133,12,2025-07,Documentos societários,2025-07-11,2025-07-08,Recebido
134,12,2025-07,Documentos societários,2025-08-14,2025-08-05,Recebido
135,12,2025-08,Notas fiscais,2025-09-07,2025-08-28,Recebido
136,12,2025-09,Documentos societários,2025-09-29,2025-10-06,Recebido
137,12,2025-10,Documentos societários,2025-11-10,2025-11-09,Recebido
138,12,2025-11,Notas fiscais,2025-12-10,2025-12-06,Recebido
139,12,2025-12,Extratos,2026-01-12,2026-01-20,Recebido
140,12,2026-01,Notas fiscais,2026-02-03,2026-02-07,Recebido
141,12,2026-02,Documentos societários,2026-03-03,2026-03-10,Recebido
142,12,2026-03,Folha,2026-03-29,,Pendente
143,12,2026-04,Extratos,2026-05-12,2026-05-02,Recebido
144,12,2026-05,Documentos societários,2026-06-11,2026-06-08,Recebido
145,13,2025-07,Extratos,2025-07-02,,Pendente
146,13,2025-07,Documentos societários,2025-08-07,2025-08-12,Recebido
147,13,2025-08,Notas fiscais,2025-09-03,2025-08-31,Recebido
148,13,2025-09,Folha,2025-10-05,2025-10-09,Recebido
149,13,2025-10,Documentos societários,2025-11-06,2025-11-06,Recebido
150,13,2025-11,Documentos societários,2025-12-07,2025-12-01,Recebido
151,13,2025-12,Folha,2026-01-02,2025-12-25,Recebido
152,13,2026-01,Documentos societários,2026-01-28,,Pendente
153,13,2026-02,Folha,2026-03-04,2026-03-12,Recebido
154,13,2026-03,Extratos,2026-04-10,2026-04-06,Recebido
155,13,2026-04,Folha,2026-05-05,2026-05-08,Recebido
156,13,2026-05,Documentos societários,2026-06-03,2026-05-25,Recebido
157,14,2025-07,Folha,2025-07-14,2025-07-20,Recebido
158,14,2025-07,Folha,2025-08-12,2025-08-17,Recebido
159,14,2025-08,Extratos,2025-09-03,2025-09-03,Recebido
160,14,2025-09,Extratos,2025-10-05,2025-10-05,Recebido
161,14,2025-10,Folha,2025-11-02,,Pendente
162,14,2025-11,Extratos,2025-12-01,2025-12-09,Recebido
163,14,2025-12,Documentos societários,2026-01-05,2026-01-01,Recebido
164,14,2026-01,Notas fiscais,2026-02-08,,Pendente
165,14,2026-02,Folha,2026-03-01,2026-02-25,Recebido
166,14,2026-03,Folha,2026-03-29,2026-03-20,Recebido
167,14,2026-04,Extratos,2026-05-08,,Pendente
168,14,2026-05,Documentos societários,2026-06-04,2026-06-01,Recebido
169,15,2025-07,Documentos societários,2025-07-01,2025-07-04,Recebido
170,15,2025-07,Folha,2025-08-04,2025-08-06,Recebido
171,15,2025-08,Extratos,2025-09-09,2025-09-06,Recebido
172,15,2025-09,Notas fiscais,2025-10-09,2025-09-29,Recebido
173,15,2025-10,Documentos societários,2025-11-08,2025-11-06,Recebido
174,15,2025-11,Extratos,2025-12-13,2025-12-03,Recebido
175,15,2025-12,Folha,2025-12-29,2025-12-19,Recebido
176,15,2026-01,Notas fiscais,2026-01-30,2026-02-06,Recebido
177,15,2026-02,Folha,2026-02-28,2026-02-19,Recebido
178,15,2026-03,Extratos,2026-04-09,2026-04-14,Recebido
179,15,2026-04,Folha,2026-04-30,2026-05-05,Recebido
180,15,2026-05,Documentos societários,2026-06-01,,Pendente
181,16,2025-07,Folha,2025-07-12,2025-07-04,Recebido
182,16,2025-07,Documentos societários,2025-08-10,2025-08-11,Recebido
183,16,2025-08,Notas fiscais,2025-09-13,2025-09-12,Recebido
184,16,2025-09,Folha,2025-10-04,2025-09-24,Recebido
185,16,2025-10,Folha,2025-10-31,2025-10-31,Recebido
186,16,2025-11,Documentos societários,2025-12-05,2025-11-27,Recebido
187,16,2025-12,Folha,2026-01-07,,Pendente
188,16,2026-01,Documentos societários,2026-02-07,2026-02-07,Recebido
189,16,2026-02,Documentos societários,2026-03-04,2026-03-05,Recebido
190,16,2026-03,Notas fiscais,2026-04-12,2026-04-03,Recebido
191,16,2026-04,Folha,2026-05-11,2026-05-09,Recebido
192,16,2026-05,Documentos societários,2026-05-27,2026-05-23,Recebido
193,17,2025-07,Documentos societários,2025-07-12,2025-07-21,Recebido
194,17,2025-07,Extratos,2025-08-10,2025-08-16,Recebido
195,17,2025-08,Folha,2025-08-31,2025-08-28,Recebido
196,17,2025-09,Folha,2025-10-14,2025-10-14,Recebido
197,17,2025-10,Documentos societários,2025-11-10,,Pendente
198,17,2025-11,Extratos,2025-12-04,2025-11-24,Recebido
199,17,2025-12,Extratos,2026-01-02,2026-01-03,Recebido
200,17,2026-01,Extratos,2026-02-10,,Pendente
201,17,2026-02,Extratos,2026-03-03,2026-03-04,Recebido
202,17,2026-03,Folha,2026-03-30,,Pendente
203,17,2026-04,Notas fiscais,2026-04-29,2026-04-30,Recebido
204,17,2026-05,Extratos,2026-06-04,2026-06-08,Recebido
205,18,2025-07,Notas fiscais,2025-07-01,2025-07-03,Recebido
206,18,2025-07,Extratos,2025-08-06,2025-07-29,Recebido
207,18,2025-08,Folha,2025-09-14,2025-09-12,Recebido
208,18,2025-09,Extratos,2025-10-02,2025-09-24,Recebido
209,18,2025-10,Extratos,2025-11-01,2025-11-08,Recebido
210,18,2025-11,Documentos societários,2025-11-28,2025-11-20,Recebido
211,18,2025-12,Folha,2026-01-07,,Pendente
212,18,2026-01,Extratos,2026-02-08,2026-02-14,Recebido
213,18,2026-02,Notas fiscais,2026-03-01,2026-03-05,Recebido
214,18,2026-03,Documentos societários,2026-04-07,2026-04-09,Recebido
215,18,2026-04,Documentos societários,2026-04-30,2026-04-24,Recebido
216,18,2026-05,Notas fiscais,2026-05-31,2026-06-06,Recebido
217,19,2025-07,Notas fiscais,2025-07-15,,Pendente
218,19,2025-07,Extratos,2025-08-14,2025-08-04,Recebido
219,19,2025-08,Documentos societários,2025-08-31,2025-08-30,Recebido
220,19,2025-09,Notas fiscais,2025-10-08,2025-10-13,Recebido
221,19,2025-10,Extratos,2025-11-04,2025-10-26,Recebido
222,19,2025-11,Extratos,2025-11-28,2025-11-29,Recebido
223,19,2025-12,Documentos societários,2026-01-02,2025-12-28,Recebido
224,19,2026-01,Notas fiscais,2026-01-27,2026-01-28,Recebido
225,19,2026-02,Extratos,2026-03-02,2026-03-02,Recebido
226,19,2026-03,Extratos,2026-04-08,,Pendente
227,19,2026-04,Folha,2026-05-04,2026-05-09,Recebido
228,19,2026-05,Notas fiscais,2026-06-06,2026-06-09,Recebido
229,20,2025-07,Extratos,2025-07-09,2025-07-13,Recebido
230,20,2025-07,Notas fiscais,2025-08-03,2025-08-09,Recebido
231,20,2025-08,Folha,2025-09-04,2025-08-27,Recebido
232,20,2025-09,Folha,2025-10-02,2025-10-09,Recebido
233,20,2025-10,Extratos,2025-11-06,2025-11-13,Recebido
234,20,2025-11,Notas fiscais,2025-12-09,2025-12-15,Recebido
235,20,2025-12,Extratos,2025-12-31,2026-01-04,Recebido
236,20,2026-01,Documentos societários,2026-02-01,2026-02-05,Recebido
237,20,2026-02,Notas fiscais,2026-03-01,,Pendente
238,20,2026-03,Documentos societários,2026-03-30,2026-03-26,Recebido
239,20,2026-04,Notas fiscais,2026-04-27,2026-04-20,Recebido
240,20,2026-05,Folha,2026-06-07,2026-06-04,Recebido
241,21,2025-07,Folha,2025-07-15,2025-07-10,Recebido
242,21,2025-07,Extratos,2025-08-08,2025-08-08,Recebido
243,21,2025-08,Folha,2025-09-06,2025-09-15,Recebido
244,21,2025-09,Folha,2025-10-06,2025-09-27,Recebido
245,21,2025-10,Documentos societários,2025-11-03,2025-11-05,Recebido
246,21,2025-11,Documentos societários,2025-11-28,,Pendente
247,21,2025-12,Notas fiscais,2026-01-07,2026-01-02,Recebido
248,21,2026-01,Documentos societários,2026-02-07,,Pendente
249,21,2026-02,Documentos societários,2026-03-07,2026-03-16,Recebido
250,21,2026-03,Notas fiscais,2026-03-28,2026-03-20,Recebido
251,21,2026-04,Extratos,2026-04-29,2026-04-30,Recebido
252,21,2026-05,Extratos,2026-05-29,2026-05-19,Recebido
253,22,2025-07,Folha,2025-07-15,,Pendente
254,22,2025-07,Folha,2025-08-12,,Pendente
255,22,2025-08,Documentos societários,2025-09-14,2025-09-16,Recebido
256,22,2025-09,Notas fiscais,2025-10-12,2025-10-11,Recebido
257,22,2025-10,Extratos,2025-11-07,2025-10-28,Recebido
258,22,2025-11,Folha,2025-12-13,2025-12-03,Recebido
259,22,2025-12,Notas fiscais,2026-01-05,2026-01-08,Recebido
260,22,2026-01,Folha,2026-01-31,2026-02-09,Recebido
261,22,2026-02,Notas fiscais,2026-02-26,2026-03-02,Recebido
262,22,2026-03,Extratos,2026-04-03,2026-04-08,Recebido
263,22,2026-04,Folha,2026-05-01,2026-04-30,Recebido
264,22,2026-05,Documentos societários,2026-06-05,2026-06-14,Recebido
265,23,2025-07,Documentos societários,2025-07-08,2025-07-12,Recebido
266,23,2025-07,Documentos societários,2025-08-08,2025-08-02,Recebido
267,23,2025-08,Documentos societários,2025-09-06,2025-09-10,Recebido
268,23,2025-09,Folha,2025-10-08,,Pendente
269,23,2025-10,Folha,2025-11-13,2025-11-21,Recebido
270,23,2025-11,Notas fiscais,2025-12-13,2025-12-08,Recebido
271,23,2025-12,Notas fiscais,2026-01-08,2026-01-02,Recebido
272,23,2026-01,Documentos societários,2026-01-31,2026-01-31,Recebido
273,23,2026-02,Folha,2026-03-12,2026-03-06,Recebido
274,23,2026-03,Folha,2026-04-01,,Pendente
275,23,2026-04,Documentos societários,2026-05-02,2026-04-27,Recebido
276,23,2026-05,Folha,2026-06-01,2026-06-09,Recebido
277,24,2025-07,Folha,2025-07-12,2025-07-15,Recebido
278,24,2025-07,Documentos societários,2025-08-07,2025-08-05,Recebido
279,24,2025-08,Documentos societários,2025-09-05,2025-09-10,Recebido
280,24,2025-09,Extratos,2025-10-14,2025-10-08,Recebido
281,24,2025-10,Notas fiscais,2025-11-10,2025-11-19,Recebido
282,24,2025-11,Folha,2025-11-29,2025-12-01,Recebido
283,24,2025-12,Notas fiscais,2026-01-05,2026-01-03,Recebido
284,24,2026-01,Folha,2026-02-02,,Pendente
285,24,2026-02,Documentos societários,2026-03-02,2026-03-04,Recebido
286,24,2026-03,Folha,2026-04-02,2026-03-25,Recebido
287,24,2026-04,Documentos societários,2026-04-27,2026-05-04,Recebido
288,24,2026-05,Folha,2026-05-28,2026-06-03,Recebido
289,25,2025-07,Folha,2025-07-05,2025-07-13,Recebido
290,25,2025-07,Folha,2025-08-06,2025-08-14,Recebido
291,25,2025-08,Extratos,2025-09-02,2025-08-24,Recebido
292,25,2025-09,Extratos,2025-10-07,2025-10-03,Recebido
293,25,2025-10,Documentos societários,2025-11-06,2025-11-15,Recebido
294,25,2025-11,Documentos societários,2025-12-07,2025-12-11,Recebido
295,25,2025-12,Folha,2025-12-29,,Pendente
296,25,2026-01,Documentos societários,2026-02-10,2026-02-08,Recebido
297,25,2026-02,Extratos,2026-03-03,2026-03-12,Recebido
298,25,2026-03,Extratos,2026-03-28,2026-03-19,Recebido
299,25,2026-04,Folha,2026-05-06,2026-05-03,Recebido
300,25,2026-05,Folha,2026-05-31,2026-05-26,Recebido
301,26,2025-07,Extratos,2025-07-10,2025-07-05,Recebido
302,26,2025-07,Documentos societários,2025-08-11,2025-08-05,Recebido
303,26,2025-08,Documentos societários,2025-09-08,2025-08-31,Recebido
304,26,2025-09,Extratos,2025-10-10,2025-10-14,Recebido
305,26,2025-10,Folha,2025-11-04,2025-11-08,Recebido
306,26,2025-11,Extratos,2025-12-02,,Pendente
307,26,2025-12,Folha,2026-01-11,2026-01-03,Recebido
308,26,2026-01,Folha,2026-01-29,2026-01-25,Recebido
309,26,2026-02,Documentos societários,2026-03-02,2026-02-20,Recebido
310,26,2026-03,Documentos societários,2026-03-31,2026-04-09,Recebido
311,26,2026-04,Folha,2026-05-03,2026-05-04,Recebido
312,26,2026-05,Folha,2026-05-27,2026-06-04,Recebido
313,27,2025-07,Documentos societários,2025-07-04,2025-07-12,Recebido
314,27,2025-07,Extratos,2025-08-02,2025-07-24,Recebido
315,27,2025-08,Notas fiscais,2025-09-08,2025-09-16,Recebido
316,27,2025-09,Documentos societários,2025-10-04,2025-09-24,Recebido
317,27,2025-10,Folha,2025-11-12,2025-11-06,Recebido
318,27,2025-11,Extratos,2025-12-06,2025-12-07,Recebido
319,27,2025-12,Notas fiscais,2026-01-06,,Pendente
320,27,2026-01,Extratos,2026-02-06,2026-02-15,Recebido
321,27,2026-02,Notas fiscais,2026-03-02,,Pendente
322,27,2026-03,Documentos societários,2026-04-03,2026-03-27,Recebido
323,27,2026-04,Folha,2026-05-11,2026-05-18,Recebido
324,27,2026-05,Extratos,2026-06-02,2026-05-30,Recebido
325,28,2025-07,Extratos,2025-07-12,2025-07-07,Recebido
326,28,2025-07,Folha,2025-08-11,2025-08-01,Recebido
327,28,2025-08,Documentos societários,2025-09-11,2025-09-01,Recebido
328,28,2025-09,Documentos societários,2025-10-01,2025-09-26,Recebido
329,28,2025-10,Extratos,2025-11-01,2025-10-27,Recebido
330,28,2025-11,Folha,2025-12-08,2025-11-28,Recebido
331,28,2025-12,Documentos societários,2025-12-31,2025-12-29,Recebido
332,28,2026-01,Folha,2026-01-30,2026-01-27,Recebido
333,28,2026-02,Notas fiscais,2026-03-07,2026-03-05,Recebido
334,28,2026-03,Documentos societários,2026-04-08,2026-04-02,Recebido
335,28,2026-04,Documentos societários,2026-05-03,2026-04-29,Recebido
336,28,2026-05,Extratos,2026-06-03,2026-05-26,Recebido
337,29,2025-07,Notas fiscais,2025-07-04,2025-06-28,Recebido
338,29,2025-07,Documentos societários,2025-08-05,2025-08-01,Recebido
339,29,2025-08,Documentos societários,2025-09-11,2025-09-05,Recebido
340,29,2025-09,Extratos,2025-10-10,2025-10-05,Recebido
341,29,2025-10,Extratos,2025-11-10,2025-11-09,Recebido
342,29,2025-11,Folha,2025-12-06,,Pendente
343,29,2025-12,Documentos societários,2026-01-10,2026-01-08,Recebido
344,29,2026-01,Notas fiscais,2026-01-31,2026-01-31,Recebido
345,29,2026-02,Notas fiscais,2026-03-04,,Pendente
346,29,2026-03,Notas fiscais,2026-03-31,2026-03-27,Recebido
347,29,2026-04,Notas fiscais,2026-04-28,2026-05-02,Recebido
348,29,2026-05,Extratos,2026-06-06,2026-06-11,Recebido
349,30,2025-07,Notas fiscais,2025-07-10,2025-07-03,Recebido
350,30,2025-07,Notas fiscais,2025-08-03,2025-08-07,Recebido
351,30,2025-08,Notas fiscais,2025-09-12,2025-09-19,Recebido
352,30,2025-09,Extratos,2025-10-14,2025-10-05,Recebido
353,30,2025-10,Notas fiscais,2025-11-09,2025-11-07,Recebido
354,30,2025-11,Folha,2025-11-28,2025-11-20,Recebido
355,30,2025-12,Notas fiscais,2025-12-31,2025-12-25,Recebido
356,30,2026-01,Notas fiscais,2026-02-07,2026-02-13,Recebido
357,30,2026-02,Documentos societários,2026-03-03,2026-03-03,Recebido
358,30,2026-03,Documentos societários,2026-04-07,2026-03-28,Recebido
359,30,2026-04,Folha,2026-05-01,2026-05-09,Recebido
360,30,2026-05,Folha,2026-06-01,2026-06-07,Recebido
361,31,2025-07,Extratos,2025-07-09,2025-07-05,Recebido
362,31,2025-07,Extratos,2025-08-12,2025-08-06,Recebido
363,31,2025-08,Notas fiscais,2025-09-02,2025-08-26,Recebido
364,31,2025-09,Folha,2025-10-08,2025-10-14,Recebido
365,31,2025-10,Extratos,2025-11-12,2025-11-05,Recebido
366,31,2025-11,Extratos,2025-12-03,2025-12-11,Recebido
367,31,2025-12,Extratos,2026-01-01,2026-01-10,Recebido
368,31,2026-01,Extratos,2026-02-04,2026-02-09,Recebido
369,31,2026-02,Extratos,2026-03-06,2026-03-15,Recebido
370,31,2026-03,Extratos,2026-03-31,,Pendente
371,31,2026-04,Notas fiscais,2026-05-01,2026-05-06,Recebido
372,31,2026-05,Extratos,2026-06-03,2026-06-04,Recebido
373,32,2025-07,Documentos societários,2025-07-09,2025-07-18,Recebido
374,32,2025-07,Notas fiscais,2025-08-05,,Pendente
375,32,2025-08,Documentos societários,2025-09-03,2025-09-05,Recebido
376,32,2025-09,Notas fiscais,2025-10-01,2025-09-25,Recebido
377,32,2025-10,Notas fiscais,2025-10-29,2025-11-01,Recebido
378,32,2025-11,Extratos,2025-12-03,2025-11-26,Recebido
379,32,2025-12,Documentos societários,2026-01-08,2025-12-29,Recebido
380,32,2026-01,Folha,2026-02-06,2026-02-12,Recebido
381,32,2026-02,Folha,2026-03-07,2026-03-15,Recebido
382,32,2026-03,Documentos societários,2026-03-28,2026-03-30,Recebido
383,32,2026-04,Notas fiscais,2026-05-12,2026-05-12,Recebido
384,32,2026-05,Folha,2026-06-01,2026-05-28,Recebido
385,33,2025-07,Folha,2025-07-07,2025-07-10,Recebido
386,33,2025-07,Extratos,2025-08-07,2025-08-07,Recebido
387,33,2025-08,Documentos societários,2025-09-08,2025-09-14,Recebido
388,33,2025-09,Documentos societários,2025-10-09,,Pendente
389,33,2025-10,Documentos societários,2025-11-10,2025-11-06,Recebido
390,33,2025-11,Notas fiscais,2025-12-07,,Pendente
391,33,2025-12,Notas fiscais,2025-12-28,2026-01-01,Recebido
392,33,2026-01,Folha,2026-02-08,2026-02-03,Recebido
393,33,2026-02,Notas fiscais,2026-03-02,,Pendente
394,33,2026-03,Folha,2026-04-12,2026-04-10,Recebido
395,33,2026-04,Folha,2026-05-05,2026-04-26,Recebido
396,33,2026-05,Notas fiscais,2026-06-11,2026-06-19,Recebido
397,34,2025-07,Notas fiscais,2025-07-03,2025-07-03,Recebido
398,34,2025-07,Notas fiscais,2025-08-02,2025-07-24,Recebido
399,34,2025-08,Extratos,2025-09-13,2025-09-11,Recebido
400,34,2025-09,Notas fiscais,2025-09-30,2025-10-02,Recebido
401,34,2025-10,Folha,2025-11-13,2025-11-08,Recebido
402,34,2025-11,Folha,2025-12-07,2025-11-30,Recebido
403,34,2025-12,Notas fiscais,2026-01-08,,Pendente
404,34,2026-01,Documentos societários,2026-02-10,2026-02-11,Recebido
405,34,2026-02,Notas fiscais,2026-03-02,,Pendente
406,34,2026-03,Documentos societários,2026-03-28,2026-03-25,Recebido
407,34,2026-04,Extratos,2026-05-01,2026-04-27,Recebido
408,34,2026-05,Notas fiscais,2026-05-27,2026-06-03,Recebido
409,35,2025-07,Folha,2025-07-10,2025-07-17,Recebido
410,35,2025-07,Documentos societários,2025-08-08,2025-08-10,Recebido
411,35,2025-08,Notas fiscais,2025-09-07,,Pendente
412,35,2025-09,Extratos,2025-10-03,2025-10-08,Recebido
413,35,2025-10,Folha,2025-11-04,2025-11-13,Recebido
414,35,2025-11,Extratos,2025-12-10,2025-12-11,Recebido
415,35,2025-12,Documentos societários,2025-12-29,2026-01-02,Recebido
416,35,2026-01,Folha,2026-02-08,2026-01-31,Recebido
417,35,2026-02,Folha,2026-03-10,2026-03-15,Recebido
418,35,2026-03,Extratos,2026-04-11,2026-04-20,Recebido
