pendencia_id,cliente_id,responsavel_id,data_abertura,tipo,prioridade,status
38,16,11,2026-05-15,Divergência fiscal,Baixa,Aberta
39,17,22,2025-12-04,Divergência fiscal,Média,Resolvida
40,17,13,2025-12-25,Cadastro desatualizado,Média,Aberta
41,17,17,2026-02-26,Cadastro desatualizado,Alta,Resolvida
42,17,29,2026-03-24,Cadastro desatualizado,Baixa,Aberta
43,18,6,2025-07-28,Guia vencida,Baixa,Resolvida
44,18,4,2026-04-06,Guia vencida,Baixa,Resolvida
45,19,27,2025-07-15,Cadastro desatualizado,Baixa,Resolvida
46,19,1,2026-03-02,Cadastro desatualizado,Média,Aberta
47,20,15,2026-01-02,Cadastro desatualizado,Baixa,Aberta
48,20,22,2026-02-19,Guia vencida,Alta,Aberta
49,20,28,2026-05-29,Cadastro desatualizado,Média,Resolvida
50,21,21,2025-11-12,Cadastro desatualizado,Média,Aberta
51,21,15,2026-03-06,Guia vencida,Alta,Aberta
52,21,9,2026-05-31,Divergência fiscal,Média,Aberta
53,22,24,2026-06-04,Guia vencida,Baixa,Aberta
54,23,1,2025-07-05,Cadastro desatualizado,Baixa,Aberta
55,23,5,2025-10-04,Documento ausente,Baixa,Aberta
56,23,10,2025-12-20,Cadastro desatualizado,Alta,Aberta
57,24,12,2025-08-04,Guia vencida,Baixa,Aberta
58,24,28,2026-02-05,Cadastro desatualizado,Média,Aberta
59,24,19,2026-04-05,Divergência fiscal,Alta,Aberta
60,24,10,2026-05-19,Documento ausente,Alta,Resolvida
61,25,30,2026-02-07,Guia vencida,Média,Resolvida
62,26,25,2025-12-02,Guia vencida,Baixa,Resolvida
63,26,15,2026-05-25,Guia vencida,Alta,Aberta
64,27,8,2025-12-01,Divergência fiscal,Alta,Aberta
65,28,10,2025-07-04,Divergência fiscal,Baixa,Resolvida
66,28,14,2025-10-02,Cadastro desatualizado,Baixa,Aberta
67,29,14,2025-10-05,Documento ausente,Alta,Resolvida
68,29,35,2025-11-10,Divergência fiscal,Média,Resolvida
69,29,31,2026-01-29,Documento ausente,Alta,Resolvida
70,29,29,2026-03-29,Cadastro desatualizado,Baixa,Resolvida
71,29,10,2026-05-02,Divergência fiscal,Média,Aberta
72,30,26,2025-08-09,Documento ausente,Alta,Resolvida
73,31,18,2025-08-09,Documento ausente,Média,Aberta
74,31,22,2025-11-09,Cadastro desatualizado,Média,Aberta
75,31,5,2026-02-08,Guia vencida,Baixa,Resolvida
76,31,35,2026-02-28,Divergência fiscal,Baixa,Resolvida
77,31,21,2026-04-01,Divergência fiscal,Média,Aberta
78,32,11,2025-08-10,Documento ausente,Baixa,Aberta
79,32,1,2025-08-27,Divergência fiscal,Baixa,Aberta
80,32,20,2025-12-07,Divergência fiscal,Alta,Resolvida
81,32,28,2026-05-11,Divergência fiscal,Baixa,Resolvida
82,32,23,2026-06-06,Cadastro desatualizado,Baixa,Resolvida
83,34,15,2025-09-24,Documento ausente,Alta,Resolvida
84,34,2,2026-03-21,Divergência fiscal,Baixa,Resolvida
85,34,5,2026-04-23,Divergência fiscal,Média,Aberta
86,35,18,2025-07-01,Cadastro desatualizado,Média,Resolvida
87,35,18,2026-02-10,Guia vencida,Baixa,Aberta
88,36,1,2025-09-11,Guia vencida,Média,Resolvida
89,36,3,2026-01-04,Divergência fiscal,Baixa,Resolvida
90,37,35,2025-08-16,Documento ausente,Média,Resolvida
91,37,28,2025-11-04,Guia vencida,Média,Resolvida
92,37,13,2026-03-03,Guia vencida,Baixa,Aberta
93,37,15,2026-04-05,Guia vencida,Baixa,Resolvida
94,37,1,2026-05-02,Divergência fiscal,Média,Aberta
95,38,27,2025-08-13,Divergência fiscal,Baixa,Resolvida
96,38,11,2025-11-14,Cadastro desatualizado,Baixa,Resolvida
97,38,18,2025-12-20,Guia vencida,Média,Resolvida
98,38,35,2026-05-28,Documento ausente,Baixa,Resolvida
99,39,24,2025-07-06,Divergência fiscal,Alta,Resolvida
100,39,27,2026-06-15,Cadastro desatualizado,Alta,Resolvida
101,40,16,2025-09-08,Guia vencida,Média,Resolvida
102,41,33,2025-09-24,Guia vencida,Baixa,Aberta
103,41,2,2026-03-24,Cadastro desatualizado,Baixa,Aberta
104,41,8,2026-05-06,Divergência fiscal,Média,Resolvida
105,42,22,2025-07-07,Documento ausente,Alta,Aberta
106,42,1,2025-08-06,Cadastro desatualizado,Média,Resolvida
107,42,13,2026-04-29,Documento ausente,Alta,Resolvida
108,43,25,2025-07-31,Cadastro desatualizado,Baixa,Resolvida
109,43,30,2025-09-02,Documento ausente,Média,Resolvida
110,43,21,2026-03-25,Cadastro desatualizado,Baixa,Resolvida
111,44,3,2025-06-30,Cadastro desatualizado,Baixa,Resolvida
112,45,32,2025-07-19,Cadastro desatualizado,Baixa,Resolvida
113,45,2,2026-03-25,Documento ausente,Alta,Aberta
114,45,2,2026-05-28,Cadastro desatualizado,Baixa,Aberta
115,46,13,2025-11-01,Guia vencida,Média,Aberta
116,46,33,2026-01-05,Guia vencida,Média,Resolvida
117,46,33,2026-03-30,Documento ausente,Média,Resolvida
118,47,13,2025-07-12,Documento ausente,Média,Aberta
119,47,4,2025-10-31,Guia vencida,Baixa,Resolvida
120,47,30,2026-01-27,Cadastro desatualizado,Média,Aberta
121,47,35,2026-02-27,Documento ausente,Baixa,Resolvida
122,47,22,2026-06-01,Divergência fiscal,Alta,Resolvida
123,48,27,2026-04-25,Guia vencida,Baixa,Resolvida
124,48,6,2026-06-05,Documento ausente,Alta,Aberta
125,49,1,2025-11-03,Divergência fiscal,Baixa,Resolvida
126,49,8,2025-11-27,Guia vencida,Alta,Aberta
127,49,18,2026-02-26,Guia vencida,Alta,Resolvida
128,49,4,2026-06-04,Cadastro desatualizado,Alta,Aberta
129,50,19,2025-12-09,Divergência fiscal,Alta,Aberta
130,50,35,2026-05-09,Documento ausente,Baixa,Aberta
131,51,3,2025-07-09,Cadastro desatualizado,Baixa,Resolvida
132,51,33,2025-08-20,Documento ausente,Alta,Aberta
133,51,13,2026-03-12,Guia vencida,Alta,Aberta
134,52,25,2025-09-06,Guia vencida,Alta,Resolvida
135,52,17,2025-12-08,Divergência fiscal,Alta,Aberta
136,52,18,2026-02-04,Cadastro desatualizado,Média,Resolvida
137,52,1,2026-04-06,Guia vencida,Alta,Resolvida
138,53,22,2025-09-29,Guia vencida,Alta,Resolvida
139,53,4,2025-12-03,Divergência fiscal,Alta,Aberta
140,54,6,2025-07-03,Cadastro desatualizado,Alta,Resolvida
141,54,7,2026-03-26,Documento ausente,Média,Aberta
142,55,35,2025-09-15,Documento ausente,Alta,Resolvida
143,55,31,2025-10-23,Divergência fiscal,Baixa,Aberta
144,55,5,2025-12-19,Divergência fiscal,Média,Resolvida
145,55,12,2026-05-05,Divergência fiscal,Média,Resolvida
146,55,10,2026-06-06,Divergência fiscal,Alta,Aberta
147,56,29,2025-07-18,Guia vencida,Alta,Aberta
148,56,30,2025-10-23,Guia vencida,Baixa,Resolvida
149,57,6,2026-01-30,Guia vencida,Alta,Aberta
150,57,24,2026-03-18,Cadastro desatualizado,Alta,Resolvida
151,57,33,2026-05-09,Documento ausente,Baixa,Aberta
152,58,25,2026-02-06,Cadastro desatualizado,Média,Aberta
153,58,14,2026-05-15,Cadastro desatualizado,Baixa,Aberta
154,59,33,2026-01-08,Divergência fiscal,Alta,Aberta
155,59,19,2026-01-25,Cadastro desatualizado,Alta,Resolvida
156,59,26,2026-03-01,Guia vencida,Média,Resolvida
157,59,1,2026-04-29,Documento ausente,Alta,Resolvida
158,60,23,2025-12-31,Divergência fiscal,Média,Aberta
159,60,30,2026-02-02,Cadastro desatualizado,Média,Aberta
160,60,35,2026-02-27,Cadastro desatualizado,Baixa,Resolvida
161,60,25,2026-04-11,Cadastro desatualizado,Alta,Aberta
162,60,10,2026-05-10,Divergência fiscal,Alta,Resolvida
163,61,34,2025-08-06,Divergência fiscal,Média,Aberta
164,61,22,2025-10-12,Documento ausente,Alta,Aberta
165,62,16,2025-07-10,Divergência fiscal,Baixa,Aberta
166,62,21,2025-08-09,Documento ausente,Média,Aberta
167,62,28,2025-09-05,Divergência fiscal,Baixa,Resolvida
168,62,30,2025-09-24,Documento ausente,Baixa,Aberta
169,63,3,2025-07-08,Divergência fiscal,Média,Aberta
170,63,10,2025-11-21,Divergência fiscal,Baixa,Resolvida
171,63,28,2025-12-11,Divergência fiscal,Baixa,Resolvida
172,63,17,2026-04-21,Divergência fiscal,Alta,Resolvida
173,64,7,2025-07-29,Documento ausente,Baixa,Resolvida
174,64,13,2026-01-23,Divergência fiscal,Baixa,Resolvida
175,64,34,2026-05-07,Documento ausente,Baixa,Resolvida
176,65,8,2026-02-08,Documento ausente,Média,Resolvida
177,65,7,2026-06-01,Documento ausente,Baixa,Aberta
178,66,2,2025-08-10,Guia vencida,Alta,Resolvida
179,66,13,2026-03-06,Guia vencida,Baixa,Resolvida
180,67,15,2025-06-28,Divergência fiscal,Baixa,Aberta
181,67,14,2025-12-25,Documento ausente,Baixa,Resolvida
182,67,21,2026-05-08,Divergência fiscal,Média,Resolvida
183,68,5,2025-07-06,Documento ausente,Baixa,Aberta
184,68,4,2026-02-02,Documento ausente,Baixa,Resolvida
185,68,14,2026-03-07,Documento ausente,Baixa,Resolvida
186,68,23,2026-04-11,Cadastro desatualizado,Média,Aberta
187,69,25,2025-08-01,Guia vencida,Alta,Aberta
188,69,21,2025-10-22,Cadastro desatualizado,Baixa,Resolvida
189,69,13,2026-05-10,Divergência fiscal,Alta,Resolvida
190,69,2,2026-06-01,Guia vencida,Média,Aberta
191,70,1,2025-07-25,Divergência fiscal,Baixa,Aberta
192,70,34,2025-09-24,Guia vencida,Baixa,Aberta
193,70,19,2026-01-28,Documento ausente,Baixa,Resolvida
194,70,1,2026-03-25,Guia vencida,Baixa,Resolvida
195,70,19,2026-06-11,Divergência fiscal,Baixa,Aberta
196,71,21,2026-02-06,Documento ausente,Alta,Resolvida
197,71,12,2026-03-01,Documento ausente,Alta,Resolvida
198,72,30,2025-08-04,Cadastro desatualizado,Alta,Aberta
199,72,25,2026-01-08,Documento ausente,Média,Resolvida
200,72,8,2026-05-12,Divergência fiscal,Baixa,Aberta
201,73,7,2026-02-20,Cadastro desatualizado,Média,Resolvida
202,73,22,2026-06-09,Cadastro desatualizado,Alta,Resolvida
203,74,8,2025-09-12,Documento ausente,Baixa,Resolvida
204,74,21,2025-12-07,Guia vencida,Baixa,Aberta
205,74,13,2026-02-24,Cadastro desatualizado,Média,Aberta
206,74,32,2026-05-14,Cadastro desatualizado,Alta,Aberta
207,75,17,2025-12-16,Divergência fiscal,Baixa,Resolvida
208,76,6,2025-12-04,Cadastro desatualizado,Baixa,Aberta
209,76,28,2026-01-11,Cadastro desatualizado,Alta,Resolvida
210,76,7,2026-04-27,Divergência fiscal,Média,Resolvida
211,77,26,2025-08-06,Cadastro desatualizado,Alta,Resolvida
212,77,6,2026-04-10,Divergência fiscal,Média,Aberta
213,78,25,2026-03-07,Guia vencida,Média,Resolvida
214,78,7,2026-04-27,Guia vencida,Média,Resolvida
215,79,28,2025-10-04,Guia vencida,Baixa,Aberta
216,79,2,2026-02-20,Guia vencida,Média,Resolvida
217,79,33,2026-04-22,Documento ausente,Baixa,Aberta
218,80,18,2025-09-23,Documento ausente,Média,Resolvida
219,80,19,2025-12-05,Divergência fiscal,Baixa,Resolvida
220,81,8,2026-02-25,Cadastro desatualizado,Média,Resolvida
221,82,30,2025-08-10,Guia vencida,Baixa,Aberta
222,82,26,2026-01-31,Cadastro desatualizado,Baixa,Resolvida
223,82,19,2026-03-01,Cadastro desatualizado,Alta,Resolvida
224,82,14,2026-04-19,Documento ausente,Baixa,Resolvida
225,83,3,2025-07-09,Divergência fiscal,Alta,Resolvida
226,83,26,2025-08-11,Documento ausente,Média,Resolvida
227,83,27,2025-12-04,Guia vencida,Baixa,Aberta
228,83,5,2026-02-12,Guia vencida,Baixa,Resolvida
229,84,4,2026-01-20,Divergência fiscal,Média,Resolvida
230,84,32,2026-04-11,Documento ausente,Média,Aberta
231,84,9,2026-05-03,Guia vencida,Baixa,Aberta
232,85,8,2025-09-16,Cadastro desatualizado,Baixa,Resolvida
233,85,20,2025-11-17,Documento ausente,Média,Aberta
234,85,5,2026-04-25,Divergência fiscal,Média,Resolvida
235,86,1,2025-07-17,Divergência fiscal,Média,Aberta
236,86,7,2026-01-29,Guia vencida,Média,Aberta
237,86,26,2026-06-10,Guia vencida,Média,Aberta
238,87,30,2025-08-05,Cadastro desatualizado,Baixa,Aberta
239,87,25,2025-12-04,Guia vencida,Alta,Aberta
240,89,33,2025-12-27,Documento ausente,Alta,Resolvida
241,89,31,2026-04-30,Documento ausente,Alta,Aberta
242,89,3,2026-06-05,Divergência fiscal,Média,Resolvida
243,90,23,2026-01-08,Documento ausente,Alta,Aberta
244,90,21,2026-02-05,Guia vencida,Média,Aberta
245,90,27,2026-03-05,Documento ausente,Alta,Resolvida
246,90,8,2026-04-03,Documento ausente,Média,Aberta
247,90,17,2026-06-01,Documento ausente,Alta,Aberta
248,91,28,2025-07-07,Guia vencida,Alta,Resolvida
249,91,27,2025-09-06,Guia vencida,Baixa,Resolvida
250,92,20,2025-07-08,Cadastro desatualizado,Baixa,Resolvida
251,92,33,2025-08-20,Documento ausente,Baixa,Resolvida
252,92,14,2026-03-15,Cadastro desatualizado,Média,Resolvida
253,92,3,2026-05-13,Cadastro desatualizado,Média,Aberta
254,92,3,2026-06-05,Cadastro desatualizado,Média,Resolvida
255,93,24,2025-12-21,Documento ausente,Baixa,Resolvida
256,93,21,2026-05-02,Divergência fiscal,Baixa,Resolvida
257,93,22,2026-05-29,Guia vencida,Média,Aberta
258,94,12,2025-07-11,Cadastro desatualizado,Alta,Aberta
259,94,2,2025-09-07,Guia vencida,Baixa,Aberta
260,94,30,2026-03-13,Cadastro desatualizado,Alta,Resolvida
261,95,8,2025-07-19,Divergência fiscal,Baixa,Resolvida
262,95,28,2025-08-10,Cadastro desatualizado,Alta,Resolvida
263,95,16,2025-10-21,Guia vencida,Baixa,Aberta
264,96,4,2025-09-07,Divergência fiscal,Média,Resolvida
265,96,4,2025-11-24,Guia vencida,Baixa,Aberta
266,97,12,2025-11-24,Divergência fiscal,Baixa,Resolvida
267,97,3,2026-01-09,Divergência fiscal,Baixa,Aberta
268,97,14,2026-05-06,Guia vencida,Média,Resolvida
269,98,1,2025-07-13,Documento ausente,Baixa,Resolvida
270,98,28,2025-08-31,Documento ausente,Média,Resolvida
271,98,8,2025-10-05,Divergência fiscal,Baixa,Resolvida
272,98,18,2025-12-08,Guia vencida,Baixa,Aberta
273,99,35,2025-09-13,Guia vencida,Média,Aberta
274,99,6,2026-02-28,Guia vencida,Baixa,Aberta
275,100,24,2025-12-10,Guia vencida,Média,Aberta
276,101,31,2025-09-08,Cadastro desatualizado,Baixa,Resolvida
277,101,5,2025-12-09,Cadastro desatualizado,Baixa,Aberta
278,101,9,2026-04-05,Cadastro desatualizado,Média,Aberta
279,101,7,2026-05-29,Cadastro desatualizado,Média,Aberta
280,102,31,2025-07-20,Divergência fiscal,Média,Aberta
281,102,24,2025-09-07,Documento ausente,Alta,Aberta
282,102,29,2026-02-11,Guia vencida,Baixa,Aberta
283,102,2,2026-04-05,Cadastro desatualizado,Média,Aberta
284,104,22,2025-08-26,Guia vencida,Alta,Aberta
285,104,27,2025-10-28,Divergência fiscal,Média,Aberta
286,104,21,2026-04-01,Guia vencida,Baixa,Resolvida
287,104,10,2026-04-30,Divergência fiscal,Alta,Resolvida
288,105,13,2025-11-24,Guia vencida,Média,Aberta
289,105,16,2026-02-11,Documento ausente,Média,Resolvida
290,106,33,2026-01-13,Guia vencida,Média,Resolvida
291,106,15,2026-02-05,Divergência fiscal,Baixa,Aberta
292,106,14,2026-03-24,Divergência fiscal,Média,Aberta
293,106,27,2026-05-30,Divergência fiscal,Média,Aberta
294,107,22,2025-07-06,Documento ausente,Baixa,Resolvida
295,107,25,2025-11-06,Guia vencida,Baixa,Aberta
296,107,33,2026-03-07,Documento ausente,Baixa,Aberta
297,108,31,2025-07-07,Documento ausente,Baixa,Aberta
298,108,10,2025-08-26,Divergência fiscal,Alta,Resolvida
299,108,34,2025-11-28,Documento ausente,Baixa,Aberta
300,108,21,2026-02-10,Guia vencida,Alta,Resolvida
301,108,25,2026-04-06,Documento ausente,Baixa,Resolvida
302,109,9,2025-08-03,Guia vencida,Média,Resolvida
303,109,29,2025-11-09,Guia vencida,Baixa,Resolvida
304,110,28,2025-10-09,Divergência fiscal,Média,Aberta
305,110,19,2026-02-12,Guia vencida,Alta,Aberta
306,111,17,2025-07-12,Guia vencida,Média,Resolvida
307,111,2,2025-09-14,Documento ausente,Alta,Aberta
308,111,34,2025-11-09,Guia vencida,Alta,Resolvida
309,111,29,2026-01-04,Divergência fiscal,Alta,Aberta
310,112,17,2026-02-06,Divergência fiscal,Média,Resolvida
311,113,1,2025-10-05,Guia vencida,Baixa,Aberta
312,113,3,2026-03-08,Documento ausente,Baixa,Aberta
313,114,13,2026-04-25,Divergência fiscal,Alta,Resolvida
314,115,13,2025-07-05,Divergência fiscal,Alta,Aberta
315,115,8,2025-09-10,Guia vencida,Média,Aberta
316,115,34,2025-11-08,Guia vencida,Alta,Resolvida
317,115,20,2025-12-08,Cadastro desatualizado,Baixa,Aberta
318,116,26,2025-10-15,Documento ausente,Alta,Resolvida
319,116,28,2025-12-07,Guia vencida,Baixa,Aberta
320,117,16,2025-08-13,Cadastro desatualizado,Média,Aberta
321,117,30,2025-11-08,Divergência fiscal,Alta,Aberta
322,117,18,2025-12-03,Cadastro desatualizado,Alta,Resolvida
323,118,15,2025-08-23,Documento ausente,Média,Aberta
324,118,6,2026-02-25,Documento ausente,Média,Resolvida
325,118,11,2026-04-04,Divergência fiscal,Baixa,Resolvida
326,119,16,2025-10-03,Cadastro desatualizado,Baixa,Aberta
327,119,34,2026-03-13,Cadastro desatualizado,Alta,Resolvida
328,119,33,2026-04-12,Divergência fiscal,Média,Aberta
329,120,17,2025-08-25,Guia vencida,Alta,Resolvida
330,120,16,2026-01-05,Divergência fiscal,Baixa,Aberta
331,120,30,2026-04-09,Documento ausente,Baixa,Aberta
332,120,27,2026-06-08,Documento ausente,Média,Resolvida
333,122,14,2025-12-04,Cadastro desatualizado,Alta,Resolvida
334,123,3,2026-05-20,Cadastro desatualizado,Média,Resolvida
335,123,26,2026-05-27,Cadastro desatualizado,Média,Resolvida
336,124,10,2025-07-14,Documento ausente,Baixa,Aberta
337,124,16,2025-12-09,Guia vencida,Média,Resolvida
338,125,8,2026-05-08,Guia vencida,Baixa,Aberta
339,126,2,2025-06-28,Documento ausente,Baixa,Resolvida
340,127,25,2025-08-19,Divergência fiscal,Média,Aberta
341,127,34,2025-11-04,Guia vencida,Baixa,Aberta
342,127,6,2026-02-01,Divergência fiscal,Média,Aberta
343,127,19,2026-02-19,Documento ausente,Baixa,Resolvida
344,128,24,2025-07-03,Cadastro desatualizado,Alta,Aberta
345,128,9,2025-09-10,Guia vencida,Média,Aberta
346,128,22,2025-10-03,Divergência fiscal,Alta,Resolvida
347,128,11,2026-02-28,Documento ausente,Média,Resolvida
348,128,11,2026-05-16,Divergência fiscal,Alta,Resolvida
349,129,19,2025-08-11,Guia vencida,Média,Resolvida
350,129,27,2025-09-04,Guia vencida,Baixa,Aberta
351,129,12,2026-04-13,Guia vencida,Baixa,Resolvida
352,130,24,2025-09-06,Divergência fiscal,Média,Resolvida
353,130,29,2025-11-07,Divergência fiscal,Baixa,Aberta
354,130,10,2026-02-22,Divergência fiscal,Média,Aberta
355,130,4,2026-04-09,Divergência fiscal,Média,Resolvida
356,131,6,2025-07-13,Cadastro desatualizado,Baixa,Resolvida
357,131,33,2025-09-01,Guia vencida,Baixa,Resolvida
358,131,30,2025-12-29,Documento ausente,Baixa,Aberta
359,131,32,2026-05-24,Divergência fiscal,Média,Resolvida
360,132,17,2025-08-05,Divergência fiscal,Alta,Aberta
361,133,22,2025-09-15,Guia vencida,Baixa,Aberta
362,133,5,2025-10-16,Cadastro desatualizado,Média,Aberta
363,133,4,2026-03-13,Cadastro desatualizado,Média,Resolvida
364,134,30,2025-09-13,Divergência fiscal,Média,Resolvida
365,134,14,2025-09-23,Documento ausente,Alta,Resolvida
366,134,4,2026-01-28,Documento ausente,Média,Aberta
367,135,32,2025-09-06,Cadastro desatualizado,Baixa,Aberta
368,135,16,2026-01-22,Guia vencida,Baixa,Resolvida
369,136,8,2026-04-02,Documento ausente,Alta,Aberta
370,137,18,2025-08-06,Guia vencida,Alta,Resolvida
371,137,25,2025-09-26,Documento ausente,Média,Aberta
372,138,16,2025-10-01,Documento ausente,Média,Aberta
373,138,8,2026-01-20,Divergência fiscal,Alta,Resolvida
374,138,15,2026-02-19,Documento ausente,Baixa,Resolvida
375,139,14,2025-07-08,Divergência fiscal,Baixa,Resolvida
376,139,28,2025-11-10,Divergência fiscal,Alta,Aberta
377,139,1,2026-01-30,Cadastro desatualizado,Alta,Resolvida
378,139,9,2026-06-09,Guia vencida,Média,Aberta
379,140,14,2025-07-23,Divergência fiscal,Média,Aberta
380,140,34,2025-12-19,Documento ausente,Baixa,Aberta
381,141,8,2025-07-09,Divergência fiscal,Média,Resolvida
382,141,5,2025-08-13,Documento ausente,Alta,Aberta
383,141,13,2025-08-24,Documento ausente,Alta,Resolvida
384,141,21,2025-11-04,Documento ausente,Média,Resolvida
385,141,14,2026-06-11,Divergência fiscal,Baixa,Aberta
386,142,7,2025-07-10,Guia vencida,Média,Aberta
387,142,6,2025-09-19,Documento ausente,Média,Resolvida
388,142,30,2026-03-31,Guia vencida,Alta,Aberta
389,142,1,2026-05-09,Divergência fiscal,Alta,Aberta
390,143,17,2025-07-27,Cadastro desatualizado,Baixa,Aberta
391,143,5,2026-04-02,Guia vencida,Alta,Aberta
392,144,11,2025-08-14,Guia vencida,Alta,Resolvida
393,144,30,2025-08-31,Documento ausente,Baixa,Resolvida
394,144,7,2025-12-07,Documento ausente,Média,Aberta
395,144,3,2026-05-08,Documento ausente,Alta,Resolvida
396,145,5,2025-08-05,Cadastro desatualizado,Média,Resolvida
397,145,21,2025-11-29,Cadastro desatualizado,Alta,Resolvida
398,146,4,2025-09-01,Cadastro desatualizado,Alta,Resolvida
399,146,15,2025-11-02,Documento ausente,Baixa,Resolvida
400,146,26,2026-02-07,Guia vencida,Média,Aberta
401,146,8,2026-05-14,Cadastro desatualizado,Média,Resolvida
402,147,13,2025-12-18,Divergência fiscal,Baixa,Resolvida
403,147,9,2025-12-27,Documento ausente,Média,Aberta
404,147,33,2026-05-14,Documento ausente,Baixa,Aberta
405,147,30,2026-06-08,Cadastro desatualizado,Baixa,Resolvida
406,148,3,2025-09-01,Documento ausente,Média,Aberta
407,148,7,2025-11-06,Guia vencida,Baixa,Resolvida
408,148,20,2026-04-01,Guia vencida,Média,Aberta
409,149,11,2025-08-12,Guia vencida,Média,Resolvida
410,149,27,2025-11-05,Divergência fiscal,Alta,Aberta
411,149,17,2026-04-19,Divergência fiscal,Baixa,Aberta
412,150,29,2025-11-06,Guia vencida,Média,Resolvida
413,150,18,2025-12-29,Divergência fiscal,Alta,Resolvida
414,150,17,2026-02-15,Cadastro desatualizado,Média,Aberta
415,151,6,2025-07-02,Documento ausente,Baixa,Resolvida
416,151,18,2025-08-28,Divergência fiscal,Alta,Resolvida
417,151,5,2026-03-08,Divergência fiscal,Baixa,Resolvida
418,151,3,2026-04-03,Divergência fiscal,Alta,Aberta
419,152,34,2025-07-18,Documento ausente,Baixa,Resolvida
420,152,27,2025-08-08,Guia vencida,Baixa,Aberta
421,152,4,2025-09-06,Guia vencida,Alta,Resolvida
422,152,23,2025-12-08,Guia vencida,Média,Resolvida
423,152,4,2025-12-24,Cadastro desatualizado,Baixa,Aberta
424,152,26,2026-05-03,Cadastro desatualizado,Baixa,Resolvida
425,153,10,2025-10-28,Cadastro desatualizado,Alta,Resolvida
426,153,22,2025-12-06,Divergência fiscal,Média,Aberta
427,153,35,2026-03-14,Cadastro desatualizado,Média,Aberta
428,154,21,2025-12-09,Documento ausente,Baixa,Resolvida
429,154,32,2026-01-02,Cadastro desatualizado,Alta,Aberta
430,154,14,2026-01-27,Cadastro desatualizado,Alta,Aberta
431,154,18,2026-06-06,Guia vencida,Baixa,Resolvida
432,155,22,2025-12-07,Divergência fiscal,Alta,Resolvida
433,155,26,2026-03-08,Cadastro desatualizado,Média,Resolvida
434,155,4,2026-04-03,Divergência fiscal,Alta,Resolvida
435,155,18,2026-04-22,Divergência fiscal,Média,Aberta
436,156,8,2026-04-15,Divergência fiscal,Média,Resolvida
437,157,30,2025-08-11,Documento ausente,Baixa,Resolvida
438,157,23,2026-04-07,Divergência fiscal,Baixa,Resolvida
439,158,14,2025-08-11,Divergência fiscal,Baixa,Resolvida
440,158,7,2025-12-07,Cadastro desatualizado,Baixa,Aberta
441,158,29,2026-01-28,Guia vencida,Baixa,Aberta
442,158,29,2026-03-06,Divergência fiscal,Média,Aberta
443,159,18,2026-03-07,Documento ausente,Baixa,Resolvida
444,160,31,2026-02-04,Cadastro desatualizado,Alta,Resolvida
445,160,10,2026-03-03,Guia vencida,Baixa,Aberta
446,161,3,2025-09-08,Documento ausente,Baixa,Aberta
447,161,4,2025-12-08,Divergência fiscal,Média,Resolvida
448,161,15,2025-12-31,Guia vencida,Média,Resolvida
