inspecao_id,pessoa_id,data_inspecao,area,condicao_insegura,criticidade
IS00046,P00805,2024-06-12,Laboratório,0,Média
IS00047,P00407,2026-07-03,Manutenção,0,Média
IS00048,P00442,2024-09-28,Laboratório,0,Baixa
IS00049,P01309,2026-03-23,Logística,0,Baixa
IS00050,P01419,2024-02-10,Logística,0,Baixa
IS00051,P00695,2024-02-13,Logística,1,Alta
IS00052,P00827,2025-05-11,Produção,0,Baixa
IS00053,P00427,2025-05-05,Manutenção,0,Baixa
IS00054,P00004,2025-06-12,Logística,1,Alta
IS00055,P01235,2024-03-25,Laboratório,0,Alta
IS00056,P01353,2024-01-07,Manutenção,0,Baixa
IS00057,P00955,2026-01-07,Produção,0,Alta
IS00058,P01056,2026-02-01,Logística,0,Média
IS00059,P01034,2024-03-21,Manutenção,0,Média
IS00060,P00990,2025-11-20,Manutenção,0,Alta
IS00061,P00431,2024-08-20,Logística,0,Alta
IS00062,P01439,2025-06-21,Manutenção,0,Baixa
IS00063,P01146,2026-01-28,Produção,1,Baixa
IS00064,P01068,2024-08-24,Laboratório,0,Média
IS00065,P01188,2026-01-05,Produção,0,Baixa
IS00066,P00773,2024-12-31,Manutenção,0,Média
IS00067,P01138,2026-04-19,Manutenção,0,Alta
IS00068,P00931,2025-03-14,Laboratório,0,Baixa
IS00069,P01212,2024-08-13,Logística,0,Baixa
IS00070,P00049,2024-06-06,Logística,0,Baixa
IS00071,P01242,2026-01-16,Manutenção,0,Alta
IS00072,P00363,2024-11-09,Produção,0,Alta
IS00073,P00540,2025-07-23,Logística,0,Média
IS00074,P01009,2026-01-20,Produção,0,Média
IS00075,P01337,2024-06-21,Produção,0,Média
IS00076,P00298,2025-10-26,Logística,0,Média
IS00077,P00230,2024-06-28,Produção,0,Baixa
IS00078,P01462,2025-04-29,Produção,0,Média
IS00079,P00974,2025-04-24,Manutenção,0,Baixa
IS00080,P00804,2024-03-17,Laboratório,0,Baixa
IS00081,P01031,2025-07-23,Logística,0,Baixa
IS00082,P00372,2025-07-24,Produção,0,Baixa
IS00083,P00577,2026-02-14,Laboratório,1,Baixa
IS00084,P00324,2025-10-19,Laboratório,0,Baixa
IS00085,P01284,2024-06-13,Manutenção,0,Baixa
IS00086,P00543,2025-09-03,Laboratório,1,Média
IS00087,P00735,2025-05-07,Logística,1,Baixa
IS00088,P00088,2024-12-28,Logística,0,Alta
IS00089,P01390,2025-09-25,Produção,0,Alta
IS00090,P00015,2024-12-14,Laboratório,0,Baixa
IS00091,P00238,2024-12-13,Laboratório,0,Média
IS00092,P01416,2025-05-26,Manutenção,0,Alta
IS00093,P00497,2024-04-25,Laboratório,0,Alta
IS00094,P00931,2026-05-22,Laboratório,0,Baixa
IS00095,P01426,2026-06-22,Manutenção,0,Baixa
IS00096,P01010,2026-07-05,Manutenção,0,Alta
IS00097,P00126,2024-01-28,Laboratório,1,Baixa
IS00098,P01111,2026-05-12,Manutenção,0,Baixa
IS00099,P00596,2024-01-11,Logística,0,Média
IS00100,P00676,2026-04-27,Produção,0,Baixa
IS00101,P00691,2026-04-03,Laboratório,0,Média
IS00102,P00278,2025-09-25,Laboratório,1,Alta
IS00103,P01038,2025-12-16,Manutenção,0,Alta
IS00104,P00500,2024-12-11,Logística,0,Alta
IS00105,P01065,2025-07-08,Laboratório,0,Média
IS00106,P00931,2024-08-04,Logística,0,Baixa
IS00107,P00714,2024-09-27,Manutenção,1,Média
IS00108,P00860,2025-09-13,Manutenção,0,Alta
IS00109,P01362,2025-03-14,Laboratório,0,Baixa
IS00110,P00483,2025-02-12,Manutenção,0,Alta
IS00111,P01245,2024-09-30,Produção,0,Média
IS00112,P01496,2026-05-03,Produção,0,Média
IS00113,P01314,2025-11-08,Laboratório,0,Alta
IS00114,P01289,2024-03-03,Laboratório,0,Alta
IS00115,P00599,2026-01-16,Logística,0,Média
IS00116,P01048,2025-01-11,Laboratório,0,Alta
IS00117,P01196,2026-06-29,Produção,0,Alta
IS00118,P00202,2025-01-06,Produção,0,Baixa
IS00119,P00982,2026-07-20,Logística,0,Média
IS00120,P00467,2025-10-11,Logística,0,Média
IS00121,P00717,2024-11-27,Logística,1,Baixa
IS00122,P01075,2025-12-27,Manutenção,1,Média
IS00123,P01117,2025-07-19,Logística,0,Alta
IS00124,P00281,2026-03-28,Produção,1,Baixa
IS00125,P00163,2024-09-05,Laboratório,1,Média
IS00126,P00233,2025-04-26,Produção,0,Alta
IS00127,P00276,2025-12-21,Manutenção,0,Baixa
IS00128,P00848,2024-04-23,Produção,0,Média
IS00129,P00458,2025-04-05,Logística,0,Média
IS00130,P00947,2025-04-03,Logística,0,Alta
IS00131,P00204,2026-01-09,Produção,1,Média
IS00132,P00806,2025-01-03,Manutenção,1,Alta
IS00133,P01088,2024-05-28,Produção,0,Baixa
IS00134,P00498,2025-02-20,Produção,0,Alta
IS00135,P01459,2025-05-14,Laboratório,1,Baixa
IS00136,P00648,2025-10-29,Manutenção,1,Média
IS00137,P00182,2025-02-19,Logística,0,Alta
IS00138,P00749,2025-05-08,Logística,0,Alta
IS00139,P01147,2025-05-19,Manutenção,1,Baixa
IS00140,P00511,2024-08-03,Logística,1,Baixa
IS00141,P00971,2025-08-24,Laboratório,0,Média
IS00142,P00132,2024-01-08,Manutenção,1,Alta
IS00143,P00963,2025-12-23,Manutenção,0,Alta
IS00144,P00241,2024-08-24,Manutenção,0,Alta
IS00145,P01128,2026-04-13,Produção,0,Baixa
IS00146,P00174,2025-03-31,Logística,0,Média
IS00147,P00734,2025-10-19,Logística,0,Alta
IS00148,P01453,2025-02-22,Logística,0,Baixa
IS00149,P00150,2024-04-22,Laboratório,0,Média
IS00150,P00911,2026-05-08,Logística,0,Baixa
IS00151,P00487,2024-08-21,Laboratório,1,Alta
IS00152,P00935,2025-07-12,Logística,1,Alta
IS00153,P00986,2026-02-18,Manutenção,0,Baixa
IS00154,P01454,2026-04-08,Logística,0,Média
IS00155,P01459,2025-11-26,Produção,1,Baixa
IS00156,P00682,2026-05-03,Logística,0,Baixa
IS00157,P01166,2025-05-30,Manutenção,0,Alta
IS00158,P00922,2024-04-10,Manutenção,0,Baixa
IS00159,P00497,2026-03-15,Logística,0,Alta
IS00160,P00960,2024-05-08,Produção,0,Alta
IS00161,P00726,2025-02-18,Logística,0,Alta
IS00162,P00789,2024-07-12,Produção,0,Média
IS00163,P00716,2025-01-24,Laboratório,0,Alta
IS00164,P00011,2025-07-13,Logística,0,Alta
IS00165,P00468,2026-05-10,Logística,1,Média
IS00166,P00015,2026-07-20,Produção,1,Alta
IS00167,P00891,2024-02-04,Manutenção,1,Média
IS00168,P01081,2026-04-13,Logística,0,Média
IS00169,P00480,2025-09-04,Manutenção,0,Média
IS00170,P01085,2025-08-02,Laboratório,0,Baixa
IS00171,P00163,2024-04-09,Laboratório,0,Alta
IS00172,P00962,2026-03-29,Manutenção,0,Alta
IS00173,P00874,2025-12-21,Manutenção,0,Média
IS00174,P00625,2024-07-23,Logística,0,Alta
IS00175,P00685,2025-10-09,Logística,0,Baixa
IS00176,P00516,2025-11-04,Laboratório,0,Baixa
IS00177,P00523,2025-09-23,Laboratório,1,Média
IS00178,P00011,2024-07-11,Produção,0,Alta
IS00179,P00793,2024-10-17,Logística,0,Média
IS00180,P00772,2024-08-09,Produção,0,Alta
IS00181,P00124,2024-12-16,Logística,0,Baixa
IS00182,P01099,2025-05-26,Logística,0,Alta
IS00183,P00188,2026-01-21,Produção,1,Média
IS00184,P00919,2026-02-03,Logística,0,Alta
IS00185,P00785,2024-11-30,Manutenção,0,Média
IS00186,P00122,2025-08-29,Manutenção,0,Baixa
IS00187,P00699,2025-09-01,Manutenção,1,Baixa
IS00188,P01023,2024-07-26,Laboratório,0,Baixa
IS00189,P00191,2025-02-27,Produção,0,Média
IS00190,P00273,2024-12-18,Manutenção,0,Média
IS00191,P00471,2025-03-29,Laboratório,0,Baixa
IS00192,P00951,2024-10-22,Manutenção,0,Alta
IS00193,P00579,2026-03-26,Produção,0,Média
IS00194,P00248,2025-02-20,Logística,1,Média
IS00195,P01282,2024-07-25,Manutenção,0,Média
IS00196,P01113,2026-06-30,Logística,0,Média
IS00197,P01230,2025-05-30,Laboratório,0,Média
IS00198,P00840,2025-04-15,Laboratório,0,Baixa
IS00199,P01193,2026-04-29,Laboratório,1,Baixa
IS00200,P01318,2024-11-28,Manutenção,0,Alta
IS00201,P00351,2025-07-29,Logística,0,Baixa
IS00202,P00604,2025-10-04,Logística,1,Alta
IS00203,P01308,2025-09-21,Logística,0,Média
IS00204,P00263,2024-11-05,Produção,0,Média
IS00205,P00873,2025-11-07,Logística,1,Alta
IS00206,P00963,2025-09-12,Manutenção,0,Alta
IS00207,P00418,2025-06-29,Produção,0,Baixa
IS00208,P00131,2026-05-24,Produção,0,Média
IS00209,P00249,2024-06-29,Manutenção,0,Média
IS00210,P00345,2024-01-05,Manutenção,1,Alta
IS00211,P00406,2024-12-01,Manutenção,0,Baixa
IS00212,P00898,2025-06-11,Logística,1,Média
IS00213,P00232,2024-04-06,Logística,0,Média
IS00214,P00649,2025-04-14,Produção,0,Alta
IS00215,P00775,2026-01-07,Logística,1,Média
IS00216,P01408,2024-07-10,Manutenção,0,Baixa
IS00217,P01312,2026-06-22,Logística,0,Alta
IS00218,P00711,2024-12-01,Laboratório,0,Média
IS00219,P00912,2025-04-11,Produção,1,Alta
IS00220,P00972,2024-08-29,Manutenção,0,Alta
IS00221,P00367,2026-05-10,Produção,0,Baixa
IS00222,P01303,2025-09-11,Laboratório,0,Alta
IS00223,P00748,2025-03-05,Manutenção,0,Média
IS00224,P00776,2024-07-04,Produção,1,Baixa
IS00225,P01195,2024-10-16,Logística,0,Média
IS00226,P00611,2025-12-14,Logística,0,Baixa
IS00227,P00725,2025-01-06,Produção,0,Média
IS00228,P00832,2025-09-04,Produção,0,Baixa
IS00229,P01312,2025-08-10,Laboratório,0,Baixa
IS00230,P00857,2026-02-03,Manutenção,1,Média
IS00231,P00870,2026-07-14,Logística,0,Alta
IS00232,P00431,2024-08-22,Manutenção,0,Baixa
IS00233,P01311,2025-08-02,Laboratório,0,Baixa
IS00234,P00774,2024-09-20,Logística,0,Alta
IS00235,P00008,2025-03-08,Produção,0,Alta
IS00236,P00209,2025-07-11,Manutenção,1,Média
IS00237,P00688,2025-06-19,Laboratório,0,Baixa
IS00238,P01404,2024-01-31,Laboratório,0,Alta
IS00239,P01056,2024-10-01,Logística,0,Alta
IS00240,P00171,2024-02-03,Produção,0,Baixa
IS00241,P00492,2026-07-01,Produção,1,Alta
IS00242,P00863,2024-10-01,Manutenção,1,Alta
IS00243,P00120,2025-09-22,Logística,0,Média
IS00244,P01439,2025-03-08,Manutenção,0,Alta
IS00245,P00660,2026-07-08,Produção,0,Média
IS00246,P00030,2026-03-06,Manutenção,0,Baixa
IS00247,P00925,2026-07-15,Manutenção,0,Alta
IS00248,P00667,2026-07-03,Produção,1,Baixa
IS00249,P00084,2024-04-03,Logística,0,Baixa
IS00250,P00964,2024-04-12,Laboratório,0,Baixa
IS00251,P01210,2024-03-17,Manutenção,0,Média
IS00252,P00520,2024-05-05,Manutenção,0,Média
IS00253,P00310,2025-10-08,Logística,0,Média
IS00254,P00285,2025-06-25,Manutenção,0,Alta
IS00255,P00615,2024-07-26,Logística,0,Alta
IS00256,P01437,2024-07-27,Laboratório,0,Média
IS00257,P00429,2025-09-02,Logística,0,Baixa
IS00258,P01345,2024-11-30,Produção,0,Média
IS00259,P01031,2025-04-28,Produção,0,Baixa
IS00260,P01223,2025-05-04,Laboratório,0,Média
IS00261,P00837,2026-02-11,Logística,0,Baixa
IS00262,P00838,2024-08-19,Logística,0,Alta
IS00263,P00501,2026-02-14,Produção,0,Média
IS00264,P01240,2024-12-27,Produção,0,Alta
IS00265,P01246,2024-08-05,Laboratório,0,Baixa
IS00266,P00860,2024-04-14,Manutenção,0,Baixa
IS00267,P00108,2025-02-01,Manutenção,0,Baixa
IS00268,P01045,2025-06-25,Laboratório,1,Média
IS00269,P00521,2025-11-03,Logística,1,Alta
IS00270,P00426,2025-10-04,Logística,0,Baixa
IS00271,P01469,2026-07-09,Manutenção,0,Média
IS00272,P01417,2025-07-06,Manutenção,1,Baixa
IS00273,P00280,2026-03-06,Laboratório,0,Média
IS00274,P00594,2025-03-26,Manutenção,0,Média
IS00275,P00736,2025-06-02,Logística,0,Baixa
IS00276,P01478,2025-01-08,Produção,0,Baixa
IS00277,P00019,2025-08-11,Laboratório,0,Média
IS00278,P01035,2025-05-04,Logística,0,Baixa
IS00279,P01237,2024-04-24,Logística,0,Média
IS00280,P00957,2024-10-15,Manutenção,0,Baixa
IS00281,P00347,2026-07-02,Produção,0,Alta
IS00282,P00229,2026-02-10,Laboratório,0,Baixa
IS00283,P00233,2024-08-05,Manutenção,0,Baixa
IS00284,P00701,2026-05-23,Produção,0,Alta
IS00285,P00191,2025-12-28,Logística,0,Alta
IS00286,P00654,2025-01-09,Logística,0,Alta
IS00287,P00672,2024-08-23,Produção,0,Alta
IS00288,P00778,2025-05-03,Laboratório,0,Baixa
IS00289,P00729,2025-11-13,Produção,0,Baixa
IS00290,P00205,2024-02-05,Logística,0,Média
IS00291,P00442,2025-08-10,Logística,0,Alta
IS00292,P00465,2025-01-09,Logística,1,Alta
IS00293,P00335,2024-07-14,Laboratório,1,Baixa
IS00294,P00336,2024-03-28,Produção,1,Alta
IS00295,P00726,2024-01-22,Logística,0,Baixa
IS00296,P00575,2026-02-25,Manutenção,1,Alta
IS00297,P01081,2025-04-12,Logística,0,Alta
IS00298,P00208,2025-05-18,Manutenção,0,Alta
IS00299,P00886,2025-02-06,Laboratório,1,Média
IS00300,P00137,2024-03-23,Logística,0,Média
IS00301,P01302,2024-12-31,Manutenção,0,Média
IS00302,P00120,2025-05-28,Logística,0,Baixa
IS00303,P01004,2026-02-08,Laboratório,0,Baixa
IS00304,P01463,2024-10-07,Produção,1,Baixa
IS00305,P01048,2025-11-16,Laboratório,0,Alta
IS00306,P00903,2026-06-17,Logística,0,Média
IS00307,P01420,2026-01-09,Manutenção,0,Alta
IS00308,P00999,2026-06-24,Laboratório,0,Média
IS00309,P00826,2025-08-13,Produção,0,Baixa
IS00310,P00458,2025-07-25,Manutenção,0,Baixa
IS00311,P00273,2025-10-23,Logística,1,Média
IS00312,P01256,2026-03-09,Logística,0,Média
IS00313,P00952,2026-06-24,Laboratório,0,Média
IS00314,P00855,2025-11-30,Produção,0,Baixa
IS00315,P00390,2024-03-11,Logística,1,Baixa
IS00316,P01191,2025-05-20,Produção,1,Baixa
IS00317,P00513,2025-12-26,Logística,0,Média
IS00318,P00367,2026-05-31,Laboratório,1,Alta
IS00319,P01160,2025-09-17,Produção,0,Alta
IS00320,P01050,2025-11-24,Produção,1,Alta
IS00321,P00257,2026-04-25,Manutenção,0,Média
IS00322,P00745,2025-10-13,Logística,0,Média
IS00323,P01433,2026-01-19,Laboratório,0,Alta
IS00324,P00311,2025-01-29,Laboratório,0,Alta
IS00325,P00433,2025-09-21,Manutenção,0,Média
IS00326,P00573,2026-01-11,Laboratório,0,Média
IS00327,P00929,2024-12-13,Laboratório,0,Média
IS00328,P01196,2024-06-23,Logística,0,Alta
IS00329,P00244,2024-01-31,Manutenção,0,Alta
IS00330,P00390,2025-08-10,Logística,0,Baixa
IS00331,P00022,2025-04-16,Logística,0,Alta
IS00332,P01121,2025-10-26,Logística,0,Alta
IS00333,P00185,2025-04-18,Logística,0,Média
IS00334,P00560,2024-02-04,Manutenção,0,Alta
IS00335,P00942,2025-10-24,Manutenção,0,Média
IS00336,P01311,2025-03-23,Logística,0,Média
IS00337,P00796,2025-02-21,Produção,0,Alta
IS00338,P00351,2025-08-11,Produção,0,Alta
IS00339,P00610,2025-02-10,Manutenção,0,Baixa
IS00340,P00100,2024-07-30,Produção,0,Alta
IS00341,P00037,2024-10-26,Manutenção,0,Baixa
IS00342,P00060,2025-08-20,Logística,0,Média
IS00343,P01060,2025-07-18,Logística,0,Alta
IS00344,P00288,2024-01-04,Produção,1,Média
IS00345,P00547,2024-01-31,Logística,0,Média
IS00346,P00409,2025-02-19,Laboratório,0,Baixa
IS00347,P00011,2024-11-04,Laboratório,1,Alta
IS00348,P01390,2024-07-29,Logística,1,Baixa
IS00349,P01228,2026-04-01,Laboratório,0,Baixa
IS00350,P01229,2026-03-05,Manutenção,0,Baixa
IS00351,P01454,2025-09-28,Logística,1,Média
IS00352,P01284,2024-05-29,Manutenção,0,Média
IS00353,P00830,2025-02-18,Logística,1,Média
IS00354,P00003,2024-11-24,Logística,0,Alta
IS00355,P01486,2026-01-11,Logística,0,Média
IS00356,P00733,2026-04-27,Laboratório,0,Baixa
IS00357,P00124,2025-05-13,Logística,0,Alta
IS00358,P00447,2024-02-26,Produção,0,Média
IS00359,P00380,2025-01-23,Manutenção,0,Alta
IS00360,P00348,2024-04-09,Laboratório,0,Baixa
IS00361,P01452,2025-06-16,Produção,0,Alta
IS00362,P00840,2024-05-18,Manutenção,0,Alta
IS00363,P01321,2026-06-28,Logística,0,Baixa
IS00364,P00654,2024-02-16,Laboratório,0,Baixa
IS00365,P00097,2024-06-17,Laboratório,1,Média
IS00366,P00464,2025-06-19,Laboratório,0,Baixa
IS00367,P01322,2024-05-18,Laboratório,0,Baixa
IS00368,P00661,2025-05-13,Manutenção,1,Baixa
IS00369,P00845,2026-01-17,Manutenção,1,Baixa
IS00370,P00511,2026-02-12,Logística,0,Média
IS00371,P00877,2025-05-25,Manutenção,1,Baixa
IS00372,P01121,2024-07-27,Logística,1,Alta
IS00373,P01353,2024-12-09,Laboratório,0,Alta
IS00374,P00209,2025-03-13,Laboratório,1,Média
IS00375,P01422,2025-09-13,Laboratório,0,Média
IS00376,P01201,2025-11-16,Manutenção,0,Baixa
IS00377,P01306,2024-03-16,Manutenção,0,Média
IS00378,P00815,2025-07-21,Logística,0,Alta
IS00379,P00633,2024-04-30,Logística,1,Média
IS00380,P00659,2026-04-05,Manutenção,0,Alta
IS00381,P00759,2026-01-08,Laboratório,0,Alta
IS00382,P01065,2024-07-29,Logística,0,Alta
IS00383,P00812,2025-08-04,Produção,1,Média
IS00384,P01065,2024-02-04,Laboratório,0,Baixa
IS00385,P00886,2024-09-12,Logística,0,Baixa
IS00386,P01002,2025-12-14,Logística,0,Baixa
IS00387,P00047,2025-09-29,Laboratório,1,Média
IS00388,P00351,2024-08-08,Logística,0,Média
IS00389,P00952,2025-07-03,Manutenção,0,Baixa
IS00390,P01420,2025-03-07,Logística,0,Média
IS00391,P00400,2024-07-15,Logística,0,Média
IS00392,P01231,2025-02-11,Produção,0,Média
IS00393,P01439,2025-11-19,Manutenção,0,Alta
IS00394,P00027,2025-02-27,Logística,0,Baixa
IS00395,P00289,2026-01-29,Produção,0,Baixa
IS00396,P01390,2024-06-11,Produção,1,Alta
IS00397,P00680,2026-05-10,Laboratório,0,Baixa
IS00398,P00291,2025-12-17,Manutenção,0,Média
IS00399,P00302,2026-04-10,Produção,0,Alta
IS00400,P00541,2026-07-14,Laboratório,0,Baixa
IS00401,P00103,2024-02-06,Produção,0,Baixa
IS00402,P01014,2026-02-24,Laboratório,0,Média
IS00403,P00471,2025-11-21,Laboratório,0,Baixa
IS00404,P01295,2024-12-20,Produção,0,Baixa
IS00405,P00486,2025-06-13,Laboratório,0,Baixa
IS00406,P00545,2024-10-27,Logística,0,Média
IS00407,P00253,2024-10-11,Manutenção,0,Média
IS00408,P00769,2026-06-22,Manutenção,0,Baixa
IS00409,P00552,2024-11-06,Logística,0,Baixa
IS00410,P00787,2024-06-16,Produção,0,Baixa
IS00411,P00976,2026-01-22,Manutenção,0,Baixa
IS00412,P00710,2024-02-29,Laboratório,0,Alta
IS00413,P00404,2025-01-29,Laboratório,0,Média
IS00414,P00853,2025-06-11,Produção,0,Alta
IS00415,P01059,2024-10-02,Manutenção,0,Alta
IS00416,P00333,2025-09-13,Logística,1,Alta
IS00417,P01075,2025-01-13,Laboratório,1,Alta
IS00418,P01003,2024-09-08,Manutenção,0,Alta
IS00419,P01417,2024-12-26,Produção,0,Média
IS00420,P01413,2024-01-28,Manutenção,0,Baixa
IS00421,P01088,2026-07-30,Produção,0,Média
IS00422,P00614,2024-07-14,Logística,1,Alta
IS00423,P01411,2025-04-26,Laboratório,0,Alta
IS00424,P00103,2024-09-19,Produção,1,Alta
IS00425,P00168,2026-06-03,Produção,0,Média
IS00426,P00823,2024-06-18,Manutenção,0,Média
IS00427,P00756,2024-10-27,Produção,0,Baixa
IS00428,P00959,2024-03-26,Logística,0,Alta
IS00429,P00085,2024-11-01,Produção,1,Média
IS00430,P00191,2026-05-15,Manutenção,0,Alta
IS00431,P00234,2025-05-13,Logística,0,Baixa
IS00432,P00451,2026-01-23,Logística,0,Alta
IS00433,P00473,2026-06-23,Manutenção,1,Baixa
IS00434,P01217,2025-05-22,Manutenção,0,Alta
IS00435,P00171,2024-03-16,Laboratório,0,Baixa
IS00436,P00851,2025-09-27,Produção,0,Baixa
IS00437,P00305,2025-08-04,Laboratório,0,Baixa
IS00438,P01139,2024-12-05,Produção,0,Alta
IS00439,P01155,2024-03-18,Logística,1,Média
IS00440,P01106,2026-02-10,Laboratório,0,Média
IS00441,P00666,2025-12-27,Laboratório,0,Alta
IS00442,P01364,2024-12-18,Manutenção,0,Média
IS00443,P01162,2024-12-20,Manutenção,0,Média
IS00444,P01340,2025-06-30,Manutenção,1,Média
IS00445,P01343,2026-06-18,Manutenção,0,Média
IS00446,P01105,2025-01-03,Laboratório,0,Baixa
IS00447,P00932,2024-02-14,Laboratório,0,Alta
IS00448,P00065,2024-03-04,Laboratório,0,Média
IS00449,P00061,2026-05-24,Laboratório,0,Média
IS00450,P01145,2025-12-07,Manutenção,0,Média
IS00451,P00269,2025-05-07,Manutenção,0,Baixa
IS00452,P00453,2024-01-19,Laboratório,0,Baixa
IS00453,P01322,2025-11-09,Produção,1,Alta
IS00454,P01048,2024-08-12,Laboratório,0,Alta
IS00455,P00966,2024-03-05,Manutenção,0,Alta
IS00456,P01051,2025-02-15,Produção,0,Média
IS00457,P00533,2025-11-15,Laboratório,0,Alta
IS00458,P00951,2024-10-05,Produção,0,Alta
IS00459,P00952,2025-03-24,Logística,1,Baixa
IS00460,P01364,2024-10-08,Logística,1,Média
IS00461,P00708,2024-12-01,Manutenção,1,Alta
IS00462,P00150,2025-10-15,Laboratório,0,Alta
IS00463,P00819,2026-05-05,Manutenção,1,Alta
IS00464,P00924,2026-05-31,Laboratório,1,Baixa
IS00465,P00147,2025-12-19,Manutenção,0,Média
IS00466,P01281,2024-11-20,Logística,0,Alta
IS00467,P01341,2026-06-15,Laboratório,0,Média
IS00468,P01273,2025-03-24,Produção,1,Média
IS00469,P00807,2025-04-24,Laboratório,1,Média
IS00470,P00725,2025-01-02,Laboratório,0,Média
IS00471,P01117,2024-08-04,Logística,0,Baixa
IS00472,P00906,2024-04-19,Logística,1,Baixa
IS00473,P00069,2024-06-23,Manutenção,0,Baixa
IS00474,P01126,2025-01-27,Laboratório,0,Alta
IS00475,P00154,2026-07-01,Logística,0,Alta
IS00476,P00653,2025-08-30,Produção,0,Alta
IS00477,P00066,2024-10-31,Produção,0,Baixa
IS00478,P00087,2024-03-03,Logística,1,Alta
IS00479,P00768,2024-11-02,Produção,0,Baixa
IS00480,P00858,2025-12-08,Laboratório,0,Baixa
IS00481,P01297,2024-01-25,Logística,0,Média
IS00482,P00897,2024-03-09,Produção,0,Média
IS00483,P00078,2024-09-23,Produção,0,Alta
IS00484,P00729,2024-09-27,Manutenção,0,Baixa
IS00485,P00561,2025-08-31,Manutenção,0,Média
IS00486,P01321,2026-07-31,Manutenção,0,Baixa
IS00487,P00436,2025-06-20,Logística,0,Alta
IS00488,P00923,2024-01-28,Logística,0,Alta
IS00489,P01340,2024-05-18,Logística,0,Alta
IS00490,P00527,2024-08-18,Manutenção,0,Média
IS00491,P00723,2025-07-06,Produção,0,Média
IS00492,P00899,2024-11-07,Logística,0,Média
IS00493,P00235,2026-01-23,Laboratório,0,Baixa
IS00494,P01158,2026-03-19,Produção,0,Baixa
IS00495,P00101,2024-08-03,Produção,1,Média
IS00496,P00697,2024-02-15,Manutenção,0,Baixa
IS00497,P01393,2024-05-13,Logística,0,Média
IS00498,P01161,2026-07-14,Manutenção,0,Média
IS00499,P01424,2024-06-24,Logística,0,Média
IS00500,P01424,2025-12-21,Manutenção,1,Alta
IS00501,P00793,2025-01-01,Logística,1,Alta
IS00502,P00517,2025-06-06,Laboratório,0,Média
IS00503,P01457,2025-07-30,Laboratório,0,Alta
IS00504,P00411,2026-04-28,Produção,0,Alta
IS00505,P01265,2026-01-04,Produção,0,Alta
IS00506,P00025,2025-04-08,Produção,0,Média
IS00507,P00557,2025-07-17,Manutenção,0,Baixa
IS00508,P01461,2024-03-02,Logística,1,Alta
IS00509,P01474,2024-05-25,Laboratório,0,Média
IS00510,P01172,2026-01-16,Logística,0,Baixa
IS00511,P00757,2025-09-29,Logística,1,Média
IS00512,P00402,2024-01-27,Manutenção,0,Alta
IS00513,P00516,2024-03-23,Laboratório,0,Média
IS00514,P00353,2024-08-30,Produção,0,Média
IS00515,P00229,2024-03-26,Logística,0,Alta
IS00516,P00759,2025-01-09,Laboratório,0,Baixa
