reserva_id;viagem_id;veiculo_id;km_previsto;km_real
RV00271;VG01354;VE025;1152;1075
RV00272;VG00416;VE005;789;272
RV00273;VG03017;VE068;349;116
RV00274;VG03140;VE061;512;1154
RV00275;VG00192;VE012;86;1107
RV00276;VG00276;VE068;908;526
RV00277;VG03818;VE065;1075;997
RV00278;VG03694;VE068;564;656
RV00279;VG00564;VE063;458;348
RV00280;VG00750;VE005;760;1155
RV00281;VG00258;VE053;1057;924
RV00282;VG03573;VE032;472;1042
RV00283;VG03526;VE023;931;1118
RV00284;VG01781;VE024;600;686
RV00285;VG02427;VE021;983;434
RV00286;VG01240;VE036;1028;1269
RV00287;VG00479;VE013;383;126
RV00288;VG02940;VE025;1177;915
RV00289;VG00104;VE043;311;1215
RV00290;VG03423;VE009;191;785
RV00291;VG03022;VE046;517;1229
RV00292;VG01251;VE015;277;1268
RV00293;VG02899;VE009;856;570
RV00294;VG00574;VE028;1105;371
RV00295;VG00407;VE022;927;1248
RV00296;VG00078;VE070;613;769
RV00297;VG03372;VE052;948;825
RV00298;VG03425;VE063;1043;726
RV00299;VG03616;VE053;91;118
RV00300;VG02199;VE070;994;1250
RV00301;VG01617;VE031;1009;911
RV00302;VG01374;VE015;936;528
RV00303;VG00185;VE056;425;144
RV00304;VG03226;VE051;899;1285
RV00305;VG00269;VE049;555;604
RV00306;VG02409;VE044;1094;258
RV00307;VG03513;VE056;770;421
RV00308;VG00323;VE034;339;1066
RV00309;VG01929;VE013;28;1080
RV00310;VG03308;VE041;1126;560
RV00311;VG01258;VE052;956;338
RV00312;VG00726;VE015;756;681
RV00313;VG04153;VE015;61;67
RV00314;VG03962;VE035;657;339
RV00315;VG01019;VE065;447;1086
RV00316;VG00579;VE001;478;528
RV00317;VG00455;VE069;86;1102
RV00318;VG02740;VE066;213;296
RV00319;VG01942;VE036;126;580
RV00320;VG00327;VE043;1041;657
RV00321;VG03507;VE047;1028;44
RV00322;VG03127;VE002;149;941
RV00323;VG01830;VE063;77;337
RV00324;VG01638;VE019;1192;964
RV00325;VG00111;VE066;1127;223
RV00326;VG02992;VE001;641;510
RV00327;VG01384;VE042;255;356
RV00328;VG01416;VE043;806;1095
RV00329;VG01981;VE027;707;295
RV00330;VG02028;VE024;267;316
RV00331;VG01140;VE017;334;932
RV00332;VG01404;VE027;1068;553
RV00333;VG00615;VE026;961;486
RV00334;VG00824;VE020;225;238
RV00335;VG01060;VE060;998;899
RV00336;VG03927;VE051;620;1048
RV00337;VG02282;VE043;1147;92
RV00338;VG02182;VE012;607;53
RV00339;VG00754;VE029;370;59
RV00340;VG01729;VE015;1070;76
RV00341;VG00205;VE068;845;1239
RV00342;VG01517;VE050;356;800
RV00343;VG02513;VE027;58;26
RV00344;VG00127;VE066;325;789
RV00345;VG00399;VE057;256;619
RV00346;VG00872;VE063;749;481
RV00347;VG01199;VE057;113;184
RV00348;VG00693;VE027;136;518
RV00349;VG03896;VE017;291;730
RV00350;VG00380;VE019;345;153
RV00351;VG04099;VE005;379;61
RV00352;VG03752;VE012;260;1103
RV00353;VG00605;VE020;595;398
RV00354;VG03953;VE058;1052;1175
RV00355;VG02298;VE033;724;1034
RV00356;VG02839;VE052;980;158
RV00357;VG03195;VE064;1198;670
RV00358;VG02191;VE039;640;575
RV00359;VG01012;VE007;856;1232
RV00360;VG02374;VE068;677;1008
RV00361;VG02503;VE047;1178;340
RV00362;VG00119;VE008;672;1012
RV00363;VG00785;VE031;119;1159
RV00364;VG03715;VE053;1140;871
RV00365;VG00181;VE070;1095;862
RV00366;VG03153;VE026;127;247
RV00367;VG02376;VE007;706;1013
RV00368;VG00408;VE036;857;454
RV00369;VG01075;VE005;1147;799
RV00370;VG01006;VE023;292;219
RV00371;VG00023;VE036;344;798
RV00372;VG01657;VE036;164;929
RV00373;VG00642;VE021;867;286
RV00374;VG02497;VE014;638;783
RV00375;VG01629;VE046;1165;1018
RV00376;VG03645;VE006;69;1017
RV00377;VG02557;VE017;25;376
RV00378;VG02930;VE046;1141;1229
RV00379;VG00902;VE051;1007;1116
RV00380;VG01212;VE017;967;896
RV00381;VG03308;VE033;1143;621
RV00382;VG01701;VE066;968;562
RV00383;VG03958;VE070;384;720
RV00384;VG03144;VE035;214;727
RV00385;VG03187;VE041;35;215
RV00386;VG02544;VE059;522;603
RV00387;VG01683;VE063;341;1108
RV00388;VG02981;VE002;333;123
RV00389;VG02861;VE027;1100;76
RV00390;VG02587;VE069;843;526
RV00391;VG03616;VE043;200;1281
RV00392;VG00835;VE018;328;1245
RV00393;VG03527;VE043;283;32
RV00394;VG00521;VE029;362;52
RV00395;VG02646;VE054;31;1034
RV00396;VG03963;VE011;263;1073
RV00397;VG03294;VE061;816;928
RV00398;VG01091;VE005;1154;1150
RV00399;VG03057;VE034;1043;84
RV00400;VG00273;VE006;69;708
RV00401;VG01795;VE014;593;825
RV00402;VG00942;VE023;609;1099
RV00403;VG01454;VE062;843;501
RV00404;VG03424;VE058;245;519
RV00405;VG01679;VE014;854;20
RV00406;VG02785;VE057;1129;1143
RV00407;VG02029;VE070;507;202
RV00408;VG02459;VE005;387;600
RV00409;VG01899;VE068;244;824
RV00410;VG02126;VE010;643;390
RV00411;VG02992;VE001;660;143
RV00412;VG02575;VE069;524;1084
RV00413;VG00598;VE003;398;43
RV00414;VG01849;VE044;1029;1216
RV00415;VG01075;VE032;389;354
RV00416;VG02630;VE019;1034;170
RV00417;VG04053;VE021;21;522
RV00418;VG01653;VE039;847;980
RV00419;VG01008;VE051;723;62
RV00420;VG02894;VE003;222;430
RV00421;VG02858;VE016;343;881
RV00422;VG01020;VE067;443;453
RV00423;VG03822;VE036;991;1069
RV00424;VG00911;VE053;1077;23
RV00425;VG01105;VE069;382;904
RV00426;VG02515;VE022;92;1290
RV00427;VG02645;VE066;57;741
RV00428;VG02623;VE054;812;539
RV00429;VG02877;VE030;717;710
RV00430;VG00818;VE063;844;704
RV00431;VG00567;VE066;376;1049
RV00432;VG01929;VE049;1188;52
RV00433;VG03327;VE031;45;415
RV00434;VG03648;VE043;1115;739
RV00435;VG03690;VE068;534;203
RV00436;VG03068;VE063;770;1119
RV00437;VG00139;VE004;745;593
RV00438;VG00912;VE023;641;1229
RV00439;VG02444;VE035;834;1077
RV00440;VG02175;VE009;964;957
RV00441;VG02636;VE027;1036;818
RV00442;VG03805;VE053;444;100
RV00443;VG01650;VE055;863;695
RV00444;VG04187;VE009;124;866
RV00445;VG01238;VE039;536;659
RV00446;VG02173;VE030;1030;868
RV00447;VG00374;VE010;268;906
RV00448;VG01388;VE070;936;580
RV00449;VG03779;VE001;649;1184
RV00450;VG00599;VE018;759;914
RV00451;VG02044;VE050;418;754
RV00452;VG00453;VE015;517;1075
RV00453;VG01874;VE057;910;126
RV00454;VG00588;VE025;125;199
RV00455;VG03528;VE034;746;1039
RV00456;VG03976;VE003;713;1100
RV00457;VG02977;VE012;738;327
RV00458;VG02976;VE006;522;74
RV00459;VG04085;VE049;624;112
RV00460;VG02166;VE067;681;670
RV00461;VG03260;VE046;210;427
RV00462;VG01225;VE011;375;1120
RV00463;VG01719;VE020;795;407
RV00464;VG00941;VE060;790;1059
RV00465;VG00040;VE052;1099;360
RV00466;VG00925;VE030;767;619
RV00467;VG00322;VE068;615;256
RV00468;VG00648;VE043;906;207
RV00469;VG00199;VE038;158;61
RV00470;VG03191;VE009;972;127
RV00471;VG02275;VE020;1014;774
RV00472;VG01932;VE006;219;380
RV00473;VG03125;VE031;633;44
RV00474;VG01034;VE054;313;850
RV00475;VG00945;VE058;1148;487
RV00476;VG03747;VE009;411;575
RV00477;VG01025;VE054;281;764
RV00478;VG03381;VE011;105;690
RV00479;VG00101;VE044;144;670
RV00480;VG00233;VE020;571;66
RV00481;VG01644;VE067;875;89
RV00482;VG02087;VE038;358;1099
RV00483;VG03365;VE023;68;140
RV00484;VG01589;VE021;1101;186
RV00485;VG02211;VE014;393;735
RV00486;VG02718;VE029;179;1071
RV00487;VG03071;VE001;870;409
RV00488;VG01267;VE028;141;80
RV00489;VG03666;VE052;669;415
RV00490;VG01665;VE035;523;1082
RV00491;VG00661;VE020;335;453
RV00492;VG03346;VE002;1048;144
RV00493;VG00314;VE036;106;704
RV00494;VG02688;VE017;278;813
RV00495;VG01286;VE031;760;496
RV00496;VG01992;VE009;1122;656
RV00497;VG02319;VE019;895;1209
RV00498;VG03498;VE002;180;929
RV00499;VG03947;VE030;298;422
RV00500;VG00546;VE018;991;85
RV00501;VG02551;VE007;767;668
RV00502;VG02942;VE030;706;300
RV00503;VG02455;VE031;348;554
RV00504;VG02561;VE036;769;1281
RV00505;VG01267;VE044;353;995
RV00506;VG02500;VE020;604;242
RV00507;VG01584;VE041;495;851
RV00508;VG03604;VE039;550;1124
RV00509;VG02418;VE058;1099;715
RV00510;VG00791;VE001;852;952
RV00511;VG02725;VE070;584;474
RV00512;VG03551;VE063;101;1216
RV00513;VG02901;VE032;26;1258
RV00514;VG01329;VE015;893;793
RV00515;VG03704;VE054;315;137
RV00516;VG03476;VE050;691;270
RV00517;VG03015;VE012;367;643
RV00518;VG02437;VE062;163;35
RV00519;VG03175;VE011;1047;451
RV00520;VG00636;VE063;792;67
RV00521;VG03685;VE033;1195;476
RV00522;VG01161;VE015;415;516
RV00523;VG00534;VE070;232;160
RV00524;VG01329;VE045;1195;767
RV00525;VG00996;VE036;857;806
RV00526;VG01128;VE031;31;1209
RV00527;VG03021;VE007;273;410
RV00528;VG00330;VE004;1055;587
RV00529;VG00391;VE040;503;671
RV00530;VG01006;VE042;566;1233
RV00531;VG03769;VE011;86;941
RV00532;VG02159;VE025;706;520
RV00533;VG03539;VE009;529;632
RV00534;VG03739;VE004;653;836
RV00535;VG00935;VE022;906;1091
RV00536;VG03229;VE060;314;408
RV00537;VG02785;VE060;822;813
RV00538;VG00022;VE062;452;1199
RV00539;VG02192;VE039;243;977
RV00540;VG01456;VE058;655;1198
RV00541;VG02242;VE035;1144;855
RV00542;VG03048;VE002;1113;819
RV00543;VG01557;VE063;513;145
RV00544;VG03104;VE018;306;1026
RV00545;VG03897;VE038;77;803
RV00546;VG00081;VE006;873;647
RV00547;VG02321;VE007;249;748
RV00548;VG01254;VE049;1168;869
RV00549;VG02979;VE004;523;914
RV00550;VG01752;VE054;669;408
RV00551;VG00916;VE063;287;1267
RV00552;VG00516;VE021;758;894
RV00553;VG02797;VE045;281;1085
RV00554;VG00495;VE049;819;531
RV00555;VG04077;VE021;784;967
RV00556;VG04108;VE032;328;504
RV00557;VG01943;VE053;372;1067
RV00558;VG02569;VE037;800;406
RV00559;VG02110;VE058;206;706
RV00560;VG00614;VE053;623;1185
RV00561;VG03695;VE003;819;549
RV00562;VG00273;VE039;606;1288
RV00563;VG02396;VE046;883;207
RV00564;VG02893;VE051;24;1164
RV00565;VG03354;VE052;1125;365
RV00566;VG00784;VE029;660;168
RV00567;VG03507;VE046;435;381
RV00568;VG00241;VE012;879;655
RV00569;VG02381;VE026;1116;341
RV00570;VG00866;VE020;765;893
RV00571;VG03050;VE024;633;856
RV00572;VG00417;VE048;1018;1044
RV00573;VG01001;VE070;122;1050
RV00574;VG03691;VE063;860;43
RV00575;VG01647;VE013;511;334
RV00576;VG00522;VE024;294;152
RV00577;VG03672;VE065;1067;585
RV00578;VG01159;VE007;754;141
RV00579;VG01913;VE021;693;125
RV00580;VG01494;VE047;970;1049
RV00581;VG00311;VE023;308;482
RV00582;VG02863;VE011;896;923
RV00583;VG03510;VE019;491;838
RV00584;VG01788;VE038;99;1006
RV00585;VG02903;VE063;1102;531
RV00586;VG02870;VE057;576;715
RV00587;VG01238;VE045;682;728
RV00588;VG00912;VE067;443;116
RV00589;VG00753;VE059;1073;632
RV00590;VG03941;VE030;550;647
RV00591;VG02016;VE008;95;234
RV00592;VG03068;VE005;721;311
RV00593;VG02091;VE016;422;1151
RV00594;VG03504;VE017;259;795
RV00595;VG00373;VE025;907;398
RV00596;VG02159;VE055;1015;1044
RV00597;VG02649;VE066;816;399
RV00598;VG01679;VE057;683;286
RV00599;VG00496;VE047;542;934
RV00600;VG01893;VE055;91;1072
RV00601;VG00837;VE053;809;799
RV00602;VG00598;VE052;112;631
RV00603;VG03668;VE054;781;1190
RV00604;VG00224;VE004;420;165
RV00605;VG03648;VE055;1123;706
RV00606;VG02570;VE039;742;484
RV00607;VG01319;VE033;289;768
RV00608;VG02204;VE005;1086;85
RV00609;VG00982;VE023;1198;333
RV00610;VG03237;VE033;142;957
RV00611;VG00895;VE068;781;525
RV00612;VG01356;VE052;442;1082
RV00613;VG00926;VE058;1019;958
RV00614;VG02222;VE019;488;1150
RV00615;VG01623;VE021;828;1032
RV00616;VG03731;VE023;980;290
RV00617;VG02331;VE025;151;329
RV00618;VG04011;VE070;305;227
RV00619;VG03295;VE064;1068;1156
RV00620;VG01785;VE018;504;162
RV00621;VG00189;VE011;283;491
RV00622;VG00592;VE046;762;1143
RV00623;VG04063;VE042;724;315
RV00624;VG00947;VE041;177;599
RV00625;VG00750;VE054;1161;40
RV00626;VG00365;VE060;980;1030
RV00627;VG02848;VE058;124;947
RV00628;VG01038;VE022;885;371
RV00629;VG01911;VE040;885;447
RV00630;VG01966;VE023;442;418
RV00631;VG03588;VE038;727;850
RV00632;VG03795;VE065;99;1003
RV00633;VG00356;VE015;268;415
RV00634;VG01127;VE027;914;838
RV00635;VG02749;VE070;1115;1175
RV00636;VG02858;VE001;1114;22
RV00637;VG00228;VE024;1001;105
RV00638;VG03345;VE018;457;547
RV00639;VG00883;VE002;144;605
RV00640;VG01271;VE033;825;684
RV00641;VG02767;VE038;903;664
RV00642;VG03351;VE025;934;272
RV00643;VG00144;VE012;222;932
RV00644;VG01967;VE068;1198;93
RV00645;VG02966;VE052;960;687
RV00646;VG03583;VE059;704;536
RV00647;VG02518;VE045;333;1065
RV00648;VG01785;VE005;608;750
RV00649;VG02305;VE058;396;1136
RV00650;VG01524;VE016;471;965
RV00651;VG01365;VE006;1120;173
RV00652;VG01752;VE023;1074;1130
RV00653;VG02781;VE037;261;478
RV00654;VG00484;VE043;329;978
RV00655;VG02454;VE005;287;908
RV00656;VG01775;VE018;1013;181
RV00657;VG02521;VE060;251;1055
RV00658;VG01134;VE048;48;66
RV00659;VG03979;VE043;111;672
RV00660;VG04174;VE063;435;194
RV00661;VG01112;VE027;1031;65
RV00662;VG02191;VE025;92;426
RV00663;VG01847;VE041;754;575
RV00664;VG03698;VE032;1081;1037
RV00665;VG01205;VE060;927;818
RV00666;VG00327;VE059;1064;195
RV00667;VG01403;VE002;282;98
RV00668;VG02964;VE015;329;794
RV00669;VG00348;VE031;1177;902
RV00670;VG03088;VE045;984;153
RV00671;VG01114;VE034;751;1218
RV00672;VG00110;VE051;715;504
RV00673;VG02001;VE007;408;1181
RV00674;VG03172;VE003;382;517
RV00675;VG01776;VE054;121;487
RV00676;VG01352;VE039;190;320
RV00677;VG01433;VE046;112;682
RV00678;VG00692;VE020;670;1067
RV00679;VG02626;VE026;365;320
RV00680;VG01298;VE057;919;1201
RV00681;VG02918;VE047;610;990
RV00682;VG02133;VE005;718;246
RV00683;VG01826;VE002;311;722
RV00684;VG02927;VE062;1009;628
RV00685;VG03552;VE030;711;749
RV00686;VG00136;VE026;400;589
RV00687;VG02090;VE018;636;248
RV00688;VG02069;VE025;50;209
RV00689;VG02179;VE068;806;429
RV00690;VG02282;VE039;501;652
RV00691;VG00673;VE066;576;896
RV00692;VG00580;VE001;891;350
RV00693;VG01204;VE004;712;784
RV00694;VG01782;VE057;679;998
RV00695;VG03435;VE050;434;1138
RV00696;VG03751;VE028;597;789
RV00697;VG00827;VE045;843;836
RV00698;VG00126;VE006;839;903
RV00699;VG01227;VE018;1078;578
RV00700;VG03802;VE040;1142;712
RV00701;VG00732;VE011;730;1206
RV00702;VG02998;VE047;1112;311
RV00703;VG01790;VE068;741;638
RV00704;VG02963;VE014;497;226
RV00705;VG01437;VE032;741;556
RV00706;VG00410;VE037;1158;247
RV00707;VG03584;VE069;728;137
RV00708;VG03264;VE061;551;971
RV00709;VG02447;VE032;329;137
RV00710;VG02963;VE012;894;906
RV00711;VG01711;VE028;1168;414
RV00712;VG03368;VE039;754;105
RV00713;VG00660;VE009;141;959
RV00714;VG00883;VE006;1168;317
RV00715;VG03907;VE026;312;122
RV00716;VG02651;VE015;753;945
RV00717;VG00501;VE053;669;930
RV00718;VG01144;VE058;1068;1193
RV00719;VG01302;VE050;1097;1263
RV00720;VG01200;VE039;643;1218
RV00721;VG03529;VE070;984;401
RV00722;VG02924;VE004;489;497
RV00723;VG02234;VE028;115;959
RV00724;VG01910;VE066;395;562
RV00725;VG00634;VE020;830;764
RV00726;VG01519;VE011;23;388
RV00727;VG01504;VE004;320;518
RV00728;VG02195;VE005;717;175
RV00729;VG01148;VE070;554;1016
RV00730;VG03999;VE052;640;1033
RV00731;VG00392;VE041;1130;402
RV00732;VG02687;VE014;839;677
RV00733;VG00278;VE013;1159;346
RV00734;VG03311;VE005;304;548
RV00735;VG03055;VE041;48;444
RV00736;VG02347;VE069;442;638
RV00737;VG00392;VE043;1139;434
RV00738;VG01859;VE067;217;108
RV00739;VG00934;VE027;1022;145
RV00740;VG01230;VE063;694;525
RV00741;VG02391;VE011;764;1294
RV00742;VG00203;VE064;949;668
RV00743;VG03574;VE027;233;709
RV00744;VG02336;VE032;333;166
RV00745;VG00686;VE047;1068;571
RV00746;VG00599;VE004;1082;794
RV00747;VG04049;VE029;903;653
RV00748;VG01356;VE052;1120;586
RV00749;VG00709;VE043;511;1244
RV00750;VG01705;VE038;844;904
RV00751;VG04022;VE029;812;281
RV00752;VG03395;VE043;103;839
RV00753;VG01204;VE014;112;1255
RV00754;VG00611;VE052;793;1059
RV00755;VG03303;VE025;185;825
