aprovacao_id;viagem_id;nivel;tempo_aprovacao_h;resultado
AP00093;VG00093;Diretoria;5,8;Aprovada
AP00094;VG00094;Diretoria;16,1;Aprovada
AP00095;VG00095;Gestor;18,0;Aprovada
AP00096;VG00096;Gestor;6,8;Reprovada
AP00097;VG00097;Diretoria;10,0;Reprovada
AP00098;VG00098;Gestor;27,5;Aprovada
AP00099;VG00099;Gestor;15,2;Aprovada
AP00100;VG00100;Gestor;38,9;Aprovada
AP00101;VG00101;Gestor;16,7;Aprovada
AP00102;VG00102;Diretoria;4,0;Aprovada
AP00103;VG00103;Gestor;19,6;Aprovada
AP00104;VG00104;Gestor;29,0;Aprovada
AP00105;VG00105;Gestor;7,3;Aprovada
AP00106;VG00106;Diretoria;1,6;Aprovada
AP00107;VG00107;Gestor;14,2;Aprovada
AP00108;VG00108;Gestor;22,7;Aprovada
AP00109;VG00109;Gestor;19,9;Aprovada
AP00110;VG00110;Gestor;48,0;Aprovada
AP00111;VG00111;Gestor;35,4;Aprovada
AP00112;VG00112;Diretoria;8,0;Aprovada
AP00113;VG00113;Diretoria;15,0;Aprovada
AP00114;VG00114;Gestor;14,9;Aprovada
AP00115;VG00115;Gestor;12,3;Aprovada
AP00116;VG00116;Gestor;14,6;Aprovada
AP00117;VG00117;Diretoria;47,3;Aprovada
AP00118;VG00118;Gestor;34,9;Aprovada
AP00119;VG00119;Diretoria;11,2;Aprovada
AP00120;VG00120;Gestor;16,3;Aprovada
AP00121;VG00121;Gestor;7,0;Aprovada
AP00122;VG00122;Diretoria;27,6;Aprovada
AP00123;VG00123;Gestor;24,2;Aprovada
AP00124;VG00124;Gestor;16,4;Aprovada
AP00125;VG00125;Gestor;39,1;Aprovada
AP00126;VG00126;Gestor;14,0;Aprovada
AP00127;VG00127;Gestor;5,3;Aprovada
AP00128;VG00128;Diretoria;14,6;Aprovada
AP00129;VG00129;Diretoria;24,6;Aprovada
AP00130;VG00130;Gestor;21,1;Aprovada
AP00131;VG00131;Diretoria;6,0;Aprovada
AP00132;VG00132;Gestor;9,6;Aprovada
AP00133;VG00133;Gestor;19,3;Aprovada
AP00134;VG00134;Diretoria;15,8;Aprovada
AP00135;VG00135;Diretoria;11,9;Aprovada
AP00136;VG00136;Gestor;30,2;Aprovada
AP00137;VG00137;Gestor;13,4;Aprovada
AP00138;VG00138;Diretoria;19,0;Reprovada
AP00139;VG00139;Diretoria;26,6;Aprovada
AP00140;VG00140;Diretoria;14,7;Aprovada
AP00141;VG00141;Diretoria;37,5;Aprovada
AP00142;VG00142;Gestor;56,3;Aprovada
AP00143;VG00143;Gestor;14,7;Aprovada
AP00144;VG00144;Gestor;34,4;Reprovada
AP00145;VG00145;Gestor;43,7;Aprovada
AP00146;VG00146;Diretoria;45,5;Aprovada
AP00147;VG00147;Gestor;18,4;Aprovada
AP00148;VG00148;Gestor;4,4;Aprovada
AP00149;VG00149;Gestor;22,5;Aprovada
AP00150;VG00150;Diretoria;10,3;Aprovada
AP00151;VG00151;Diretoria;15,1;Aprovada
AP00152;VG00152;Gestor;14,4;Aprovada
AP00153;VG00153;Diretoria;11,3;Aprovada
AP00154;VG00154;Gestor;33,9;Aprovada
AP00155;VG00155;Diretoria;13,9;Aprovada
AP00156;VG00156;Gestor;20,5;Reprovada
AP00157;VG00157;Gestor;22,1;Aprovada
AP00158;VG00158;Diretoria;23,7;Aprovada
AP00159;VG00159;Gestor;15,7;Aprovada
AP00160;VG00160;Gestor;6,9;Aprovada
AP00161;VG00161;Gestor;7,6;Aprovada
AP00162;VG00162;Diretoria;23,2;Aprovada
AP00163;VG00163;Diretoria;23,0;Aprovada
AP00164;VG00164;Diretoria;40,6;Aprovada
AP00165;VG00165;Diretoria;4,9;Aprovada
AP00166;VG00166;Diretoria;24,0;Aprovada
AP00167;VG00167;Gestor;15,1;Aprovada
AP00168;VG00168;Diretoria;16,4;Aprovada
AP00169;VG00169;Diretoria;7,7;Aprovada
AP00170;VG00170;Gestor;5,9;Reprovada
AP00171;VG00171;Diretoria;14,5;Aprovada
AP00172;VG00172;Gestor;8,6;Aprovada
AP00173;VG00173;Diretoria;15,9;Aprovada
AP00174;VG00174;Gestor;10,1;Aprovada
AP00175;VG00175;Diretoria;6,5;Aprovada
AP00176;VG00176;Diretoria;21,6;Aprovada
AP00177;VG00177;Gestor;4,0;Aprovada
AP00178;VG00178;Gestor;15,4;Aprovada
AP00179;VG00179;Diretoria;9,2;Aprovada
AP00180;VG00180;Diretoria;10,0;Aprovada
AP00181;VG00181;Gestor;10,5;Aprovada
AP00182;VG00182;Diretoria;2,0;Aprovada
AP00183;VG00183;Gestor;39,4;Aprovada
AP00184;VG00184;Diretoria;2,7;Aprovada
AP00185;VG00185;Gestor;14,5;Aprovada
AP00186;VG00186;Diretoria;10,9;Aprovada
AP00187;VG00187;Diretoria;19,7;Aprovada
AP00188;VG00188;Diretoria;15,3;Aprovada
AP00189;VG00189;Gestor;14,6;Aprovada
AP00190;VG00190;Diretoria;20,6;Aprovada
AP00191;VG00191;Gestor;7,5;Aprovada
AP00192;VG00192;Diretoria;29,7;Aprovada
AP00193;VG00193;Gestor;1,2;Aprovada
AP00194;VG00194;Gestor;13,6;Aprovada
AP00195;VG00195;Diretoria;5,9;Aprovada
AP00196;VG00196;Diretoria;4,9;Aprovada
AP00197;VG00197;Diretoria;17,0;Aprovada
AP00198;VG00198;Gestor;7,0;Aprovada
AP00199;VG00199;Gestor;30,9;Aprovada
AP00200;VG00200;Gestor;23,2;Aprovada
AP00201;VG00201;Gestor;14,1;Aprovada
AP00202;VG00202;Diretoria;31,4;Aprovada
AP00203;VG00203;Gestor;19,2;Aprovada
AP00204;VG00204;Gestor;4,9;Aprovada
AP00205;VG00205;Gestor;20,1;Aprovada
AP00206;VG00206;Diretoria;8,3;Aprovada
AP00207;VG00207;Gestor;15,2;Aprovada
AP00208;VG00208;Gestor;30,7;Reprovada
AP00209;VG00209;Gestor;5,8;Aprovada
AP00210;VG00210;Gestor;40,4;Aprovada
AP00211;VG00211;Gestor;11,4;Aprovada
AP00212;VG00212;Gestor;5,9;Aprovada
AP00213;VG00213;Gestor;3,9;Aprovada
AP00214;VG00214;Gestor;20,9;Aprovada
AP00215;VG00215;Diretoria;18,1;Aprovada
AP00216;VG00216;Diretoria;27,1;Aprovada
AP00217;VG00217;Gestor;18,7;Aprovada
AP00218;VG00218;Gestor;7,1;Aprovada
AP00219;VG00219;Gestor;21,7;Aprovada
AP00220;VG00220;Diretoria;18,8;Aprovada
AP00221;VG00221;Gestor;20,0;Aprovada
AP00222;VG00222;Diretoria;27,6;Aprovada
AP00223;VG00223;Diretoria;44,0;Aprovada
AP00224;VG00224;Diretoria;12,2;Aprovada
AP00225;VG00225;Diretoria;5,5;Aprovada
AP00226;VG00226;Gestor;23,8;Aprovada
AP00227;VG00227;Diretoria;10,8;Aprovada
AP00228;VG00228;Gestor;8,6;Aprovada
AP00229;VG00229;Diretoria;8,0;Aprovada
AP00230;VG00230;Diretoria;22,4;Aprovada
AP00231;VG00231;Gestor;31,0;Reprovada
AP00232;VG00232;Gestor;8,8;Aprovada
AP00233;VG00233;Gestor;15,3;Aprovada
AP00234;VG00234;Diretoria;5,1;Aprovada
AP00235;VG00235;Diretoria;22,5;Aprovada
AP00236;VG00236;Gestor;4,8;Aprovada
AP00237;VG00237;Gestor;26,2;Aprovada
AP00238;VG00238;Gestor;7,1;Aprovada
AP00239;VG00239;Diretoria;15,0;Reprovada
AP00240;VG00240;Gestor;17,5;Aprovada
AP00241;VG00241;Diretoria;0,8;Aprovada
AP00242;VG00242;Diretoria;29,7;Aprovada
AP00243;VG00243;Diretoria;12,5;Aprovada
AP00244;VG00244;Diretoria;8,5;Aprovada
AP00245;VG00245;Diretoria;7,2;Aprovada
AP00246;VG00246;Gestor;14,9;Aprovada
AP00247;VG00247;Diretoria;17,5;Aprovada
AP00248;VG00248;Diretoria;20,6;Aprovada
AP00249;VG00249;Gestor;35,3;Aprovada
AP00250;VG00250;Gestor;11,5;Aprovada
AP00251;VG00251;Diretoria;32,6;Aprovada
AP00252;VG00252;Diretoria;8,8;Aprovada
AP00253;VG00253;Diretoria;27,2;Aprovada
AP00254;VG00254;Diretoria;33,0;Aprovada
AP00255;VG00255;Gestor;11,9;Aprovada
AP00256;VG00256;Diretoria;30,8;Aprovada
AP00257;VG00257;Diretoria;9,4;Aprovada
AP00258;VG00258;Gestor;16,7;Aprovada
AP00259;VG00259;Gestor;9,4;Aprovada
AP00260;VG00260;Diretoria;9,9;Aprovada
AP00261;VG00261;Gestor;10,2;Aprovada
AP00262;VG00262;Gestor;7,2;Reprovada
AP00263;VG00263;Diretoria;11,8;Aprovada
AP00264;VG00264;Gestor;5,2;Aprovada
AP00265;VG00265;Diretoria;37,0;Aprovada
AP00266;VG00266;Gestor;21,8;Aprovada
AP00267;VG00267;Diretoria;4,8;Aprovada
AP00268;VG00268;Gestor;14,5;Aprovada
AP00269;VG00269;Diretoria;25,6;Aprovada
AP00270;VG00270;Diretoria;9,3;Aprovada
AP00271;VG00271;Diretoria;18,5;Aprovada
AP00272;VG00272;Diretoria;24,2;Aprovada
AP00273;VG00273;Gestor;19,0;Aprovada
AP00274;VG00274;Diretoria;17,9;Aprovada
AP00275;VG00275;Diretoria;24,2;Aprovada
AP00276;VG00276;Gestor;5,6;Aprovada
AP00277;VG00277;Diretoria;20,9;Aprovada
AP00278;VG00278;Gestor;19,9;Aprovada
AP00279;VG00279;Diretoria;47,1;Aprovada
AP00280;VG00280;Gestor;2,3;Aprovada
AP00281;VG00281;Diretoria;4,2;Aprovada
AP00282;VG00282;Gestor;25,0;Aprovada
AP00283;VG00283;Gestor;35,9;Aprovada
AP00284;VG00284;Diretoria;16,2;Aprovada
AP00285;VG00285;Diretoria;7,8;Aprovada
AP00286;VG00286;Gestor;6,6;Aprovada
AP00287;VG00287;Diretoria;52,9;Aprovada
AP00288;VG00288;Gestor;16,2;Reprovada
AP00289;VG00289;Gestor;14,8;Aprovada
AP00290;VG00290;Diretoria;40,7;Aprovada
AP00291;VG00291;Gestor;11,6;Aprovada
AP00292;VG00292;Gestor;7,7;Aprovada
AP00293;VG00293;Diretoria;10,8;Aprovada
AP00294;VG00294;Gestor;16,9;Aprovada
AP00295;VG00295;Gestor;14,6;Aprovada
AP00296;VG00296;Diretoria;29,4;Aprovada
AP00297;VG00297;Gestor;13,6;Aprovada
AP00298;VG00298;Gestor;17,3;Aprovada
AP00299;VG00299;Diretoria;0,4;Aprovada
AP00300;VG00300;Diretoria;6,8;Aprovada
AP00301;VG00301;Diretoria;2,1;Aprovada
AP00302;VG00302;Diretoria;9,0;Aprovada
AP00303;VG00303;Gestor;11,7;Aprovada
AP00304;VG00304;Gestor;26,5;Aprovada
AP00305;VG00305;Diretoria;14,1;Aprovada
AP00306;VG00306;Diretoria;10,4;Aprovada
AP00307;VG00307;Diretoria;19,9;Aprovada
AP00308;VG00308;Gestor;8,7;Aprovada
AP00309;VG00309;Diretoria;19,4;Aprovada
AP00310;VG00310;Gestor;17,7;Aprovada
AP00311;VG00311;Gestor;10,4;Aprovada
AP00312;VG00312;Diretoria;32,3;Aprovada
AP00313;VG00313;Diretoria;37,8;Aprovada
AP00314;VG00314;Gestor;20,5;Aprovada
AP00315;VG00315;Diretoria;18,9;Aprovada
AP00316;VG00316;Gestor;14,4;Aprovada
AP00317;VG00317;Diretoria;4,6;Aprovada
AP00318;VG00318;Gestor;16,0;Aprovada
AP00319;VG00319;Gestor;30,1;Aprovada
AP00320;VG00320;Diretoria;33,4;Aprovada
AP00321;VG00321;Gestor;41,5;Aprovada
AP00322;VG00322;Diretoria;46,0;Aprovada
AP00323;VG00323;Diretoria;61,8;Aprovada
AP00324;VG00324;Diretoria;11,4;Aprovada
AP00325;VG00325;Gestor;4,5;Aprovada
AP00326;VG00326;Diretoria;10,5;Aprovada
AP00327;VG00327;Diretoria;31,6;Aprovada
AP00328;VG00328;Diretoria;21,7;Aprovada
AP00329;VG00329;Gestor;13,8;Aprovada
AP00330;VG00330;Diretoria;31,1;Aprovada
AP00331;VG00331;Gestor;13,9;Aprovada
AP00332;VG00332;Diretoria;22,6;Aprovada
AP00333;VG00333;Gestor;13,5;Aprovada
AP00334;VG00334;Gestor;1,5;Aprovada
AP00335;VG00335;Diretoria;9,1;Aprovada
AP00336;VG00336;Gestor;12,5;Aprovada
AP00337;VG00337;Gestor;9,1;Aprovada
AP00338;VG00338;Gestor;4,4;Aprovada
AP00339;VG00339;Diretoria;11,7;Aprovada
AP00340;VG00340;Gestor;18,7;Aprovada
AP00341;VG00341;Gestor;11,4;Aprovada
AP00342;VG00342;Diretoria;38,1;Aprovada
AP00343;VG00343;Diretoria;11,5;Aprovada
AP00344;VG00344;Gestor;19,1;Aprovada
AP00345;VG00345;Diretoria;13,6;Aprovada
AP00346;VG00346;Diretoria;38,3;Aprovada
AP00347;VG00347;Gestor;15,7;Aprovada
AP00348;VG00348;Gestor;8,9;Aprovada
AP00349;VG00349;Gestor;1,5;Reprovada
AP00350;VG00350;Diretoria;10,4;Aprovada
AP00351;VG00351;Gestor;39,6;Aprovada
AP00352;VG00352;Gestor;23,5;Aprovada
AP00353;VG00353;Gestor;24,4;Aprovada
AP00354;VG00354;Diretoria;1,5;Aprovada
AP00355;VG00355;Gestor;4,4;Aprovada
AP00356;VG00356;Diretoria;13,2;Aprovada
AP00357;VG00357;Diretoria;33,6;Aprovada
AP00358;VG00358;Diretoria;13,6;Aprovada
AP00359;VG00359;Diretoria;8,1;Aprovada
AP00360;VG00360;Gestor;4,0;Reprovada
AP00361;VG00361;Gestor;10,9;Aprovada
AP00362;VG00362;Gestor;23,9;Aprovada
AP00363;VG00363;Gestor;63,0;Aprovada
AP00364;VG00364;Diretoria;2,6;Aprovada
AP00365;VG00365;Diretoria;17,4;Aprovada
AP00366;VG00366;Gestor;38,6;Aprovada
AP00367;VG00367;Gestor;3,8;Reprovada
AP00368;VG00368;Diretoria;21,2;Reprovada
AP00369;VG00369;Diretoria;6,7;Aprovada
AP00370;VG00370;Gestor;15,3;Aprovada
AP00371;VG00371;Diretoria;6,5;Aprovada
AP00372;VG00372;Diretoria;8,3;Aprovada
AP00373;VG00373;Gestor;4,6;Aprovada
AP00374;VG00374;Gestor;1,4;Aprovada
AP00375;VG00375;Gestor;21,7;Aprovada
AP00376;VG00376;Gestor;10,6;Aprovada
AP00377;VG00377;Gestor;8,4;Aprovada
AP00378;VG00378;Diretoria;32,9;Aprovada
AP00379;VG00379;Gestor;4,7;Aprovada
AP00380;VG00380;Gestor;13,1;Aprovada
AP00381;VG00381;Diretoria;22,3;Aprovada
AP00382;VG00382;Diretoria;40,7;Aprovada
AP00383;VG00383;Gestor;36,2;Reprovada
AP00384;VG00384;Diretoria;6,0;Aprovada
AP00385;VG00385;Diretoria;11,0;Aprovada
AP00386;VG00386;Gestor;25,1;Reprovada
AP00387;VG00387;Diretoria;11,9;Aprovada
AP00388;VG00388;Diretoria;37,1;Aprovada
AP00389;VG00389;Gestor;39,4;Aprovada
AP00390;VG00390;Diretoria;7,2;Aprovada
AP00391;VG00391;Diretoria;15,5;Aprovada
AP00392;VG00392;Gestor;23,3;Aprovada
AP00393;VG00393;Gestor;1,8;Aprovada
AP00394;VG00394;Gestor;19,6;Aprovada
AP00395;VG00395;Diretoria;35,3;Aprovada
AP00396;VG00396;Gestor;18,4;Aprovada
AP00397;VG00397;Gestor;32,9;Aprovada
AP00398;VG00398;Gestor;12,8;Aprovada
AP00399;VG00399;Diretoria;2,3;Aprovada
AP00400;VG00400;Gestor;11,5;Aprovada
AP00401;VG00401;Gestor;51,8;Aprovada
AP00402;VG00402;Diretoria;25,4;Aprovada
AP00403;VG00403;Gestor;8,6;Aprovada
AP00404;VG00404;Diretoria;69,8;Aprovada
AP00405;VG00405;Diretoria;30,4;Aprovada
AP00406;VG00406;Diretoria;36,2;Aprovada
AP00407;VG00407;Diretoria;65,4;Aprovada
AP00408;VG00408;Diretoria;20,5;Aprovada
AP00409;VG00409;Gestor;13,4;Aprovada
AP00410;VG00410;Diretoria;2,4;Aprovada
AP00411;VG00411;Gestor;14,3;Aprovada
AP00412;VG00412;Gestor;18,7;Aprovada
AP00413;VG00413;Diretoria;13,4;Aprovada
AP00414;VG00414;Diretoria;11,9;Aprovada
AP00415;VG00415;Gestor;28,6;Aprovada
AP00416;VG00416;Gestor;20,0;Aprovada
AP00417;VG00417;Diretoria;3,0;Aprovada
AP00418;VG00418;Diretoria;21,8;Aprovada
AP00419;VG00419;Diretoria;4,2;Aprovada
AP00420;VG00420;Gestor;27,9;Aprovada
AP00421;VG00421;Gestor;22,5;Aprovada
AP00422;VG00422;Gestor;16,9;Aprovada
AP00423;VG00423;Diretoria;17,9;Aprovada
AP00424;VG00424;Gestor;8,9;Aprovada
AP00425;VG00425;Gestor;4,0;Aprovada
AP00426;VG00426;Gestor;36,6;Aprovada
AP00427;VG00427;Gestor;29,4;Aprovada
AP00428;VG00428;Diretoria;20,4;Aprovada
AP00429;VG00429;Gestor;4,4;Aprovada
AP00430;VG00430;Diretoria;13,4;Aprovada
AP00431;VG00431;Diretoria;43,4;Aprovada
AP00432;VG00432;Gestor;21,9;Aprovada
AP00433;VG00433;Gestor;4,7;Aprovada
AP00434;VG00434;Diretoria;30,1;Aprovada
AP00435;VG00435;Diretoria;2,9;Reprovada
AP00436;VG00436;Diretoria;18,7;Aprovada
AP00437;VG00437;Gestor;18,9;Aprovada
AP00438;VG00438;Diretoria;4,9;Reprovada
AP00439;VG00439;Diretoria;14,6;Aprovada
AP00440;VG00440;Diretoria;8,4;Aprovada
AP00441;VG00441;Diretoria;17,0;Aprovada
AP00442;VG00442;Diretoria;2,6;Aprovada
AP00443;VG00443;Diretoria;5,2;Aprovada
AP00444;VG00444;Gestor;22,3;Aprovada
AP00445;VG00445;Gestor;8,5;Aprovada
AP00446;VG00446;Diretoria;20,1;Aprovada
AP00447;VG00447;Gestor;8,3;Aprovada
AP00448;VG00448;Gestor;25,6;Aprovada
AP00449;VG00449;Diretoria;27,1;Aprovada
AP00450;VG00450;Diretoria;7,8;Aprovada
AP00451;VG00451;Gestor;26,1;Aprovada
AP00452;VG00452;Diretoria;22,2;Aprovada
AP00453;VG00453;Diretoria;13,2;Aprovada
AP00454;VG00454;Diretoria;19,1;Aprovada
AP00455;VG00455;Diretoria;9,3;Aprovada
AP00456;VG00456;Gestor;16,7;Aprovada
AP00457;VG00457;Gestor;11,2;Aprovada
AP00458;VG00458;Diretoria;12,7;Reprovada
AP00459;VG00459;Gestor;16,5;Aprovada
AP00460;VG00460;Gestor;9,2;Aprovada
AP00461;VG00461;Gestor;28,7;Aprovada
AP00462;VG00462;Gestor;7,9;Reprovada
AP00463;VG00463;Gestor;12,7;Aprovada
AP00464;VG00464;Gestor;17,6;Aprovada
AP00465;VG00465;Gestor;1,0;Aprovada
AP00466;VG00466;Gestor;22,2;Aprovada
AP00467;VG00467;Gestor;6,1;Aprovada
AP00468;VG00468;Gestor;9,7;Aprovada
AP00469;VG00469;Diretoria;11,1;Aprovada
AP00470;VG00470;Diretoria;21,1;Aprovada
AP00471;VG00471;Gestor;8,7;Aprovada
AP00472;VG00472;Gestor;12,6;Aprovada
AP00473;VG00473;Gestor;41,0;Aprovada
AP00474;VG00474;Gestor;11,2;Aprovada
AP00475;VG00475;Gestor;12,2;Reprovada
AP00476;VG00476;Diretoria;5,8;Aprovada
AP00477;VG00477;Gestor;6,1;Aprovada
AP00478;VG00478;Diretoria;12,9;Aprovada
AP00479;VG00479;Gestor;15,1;Aprovada
AP00480;VG00480;Gestor;41,7;Aprovada
AP00481;VG00481;Gestor;36,6;Aprovada
AP00482;VG00482;Gestor;18,8;Aprovada
AP00483;VG00483;Diretoria;8,0;Aprovada
AP00484;VG00484;Diretoria;6,7;Aprovada
AP00485;VG00485;Gestor;37,4;Aprovada
AP00486;VG00486;Gestor;5,8;Aprovada
AP00487;VG00487;Diretoria;60,0;Aprovada
AP00488;VG00488;Diretoria;25,3;Aprovada
AP00489;VG00489;Gestor;34,4;Aprovada
AP00490;VG00490;Gestor;21,6;Aprovada
AP00491;VG00491;Diretoria;19,9;Aprovada
AP00492;VG00492;Gestor;11,4;Aprovada
AP00493;VG00493;Diretoria;27,6;Aprovada
AP00494;VG00494;Diretoria;14,0;Aprovada
AP00495;VG00495;Gestor;4,0;Aprovada
AP00496;VG00496;Diretoria;42,4;Aprovada
AP00497;VG00497;Diretoria;11,0;Aprovada
AP00498;VG00498;Gestor;16,2;Aprovada
AP00499;VG00499;Gestor;39,2;Aprovada
AP00500;VG00500;Diretoria;14,1;Aprovada
AP00501;VG00501;Diretoria;27,2;Aprovada
AP00502;VG00502;Diretoria;30,3;Aprovada
AP00503;VG00503;Diretoria;31,0;Aprovada
AP00504;VG00504;Gestor;2,4;Aprovada
AP00505;VG00505;Gestor;18,4;Aprovada
AP00506;VG00506;Diretoria;31,4;Aprovada
AP00507;VG00507;Gestor;16,0;Aprovada
AP00508;VG00508;Gestor;27,3;Aprovada
AP00509;VG00509;Gestor;12,3;Aprovada
AP00510;VG00510;Diretoria;55,5;Aprovada
AP00511;VG00511;Gestor;6,2;Aprovada
AP00512;VG00512;Diretoria;16,3;Aprovada
AP00513;VG00513;Gestor;2,2;Reprovada
AP00514;VG00514;Diretoria;22,4;Reprovada
AP00515;VG00515;Gestor;24,1;Aprovada
AP00516;VG00516;Gestor;5,0;Aprovada
AP00517;VG00517;Gestor;29,9;Aprovada
AP00518;VG00518;Gestor;16,6;Aprovada
AP00519;VG00519;Gestor;26,7;Aprovada
AP00520;VG00520;Gestor;61,0;Aprovada
AP00521;VG00521;Gestor;9,1;Aprovada
AP00522;VG00522;Gestor;30,2;Aprovada
AP00523;VG00523;Gestor;23,5;Aprovada
AP00524;VG00524;Diretoria;3,2;Aprovada
AP00525;VG00525;Gestor;5,6;Aprovada
AP00526;VG00526;Diretoria;6,3;Aprovada
AP00527;VG00527;Diretoria;52,1;Aprovada
AP00528;VG00528;Diretoria;15,4;Aprovada
AP00529;VG00529;Gestor;10,8;Aprovada
AP00530;VG00530;Diretoria;7,8;Aprovada
AP00531;VG00531;Gestor;4,3;Aprovada
AP00532;VG00532;Diretoria;21,7;Aprovada
AP00533;VG00533;Gestor;15,0;Aprovada
AP00534;VG00534;Gestor;16,4;Aprovada
AP00535;VG00535;Gestor;16,1;Aprovada
AP00536;VG00536;Diretoria;15,1;Aprovada
AP00537;VG00537;Diretoria;5,4;Reprovada
AP00538;VG00538;Diretoria;5,0;Aprovada
AP00539;VG00539;Diretoria;17,9;Aprovada
AP00540;VG00540;Gestor;4,8;Aprovada
AP00541;VG00541;Gestor;11,4;Aprovada
AP00542;VG00542;Gestor;14,4;Aprovada
AP00543;VG00543;Diretoria;13,7;Reprovada
AP00544;VG00544;Diretoria;26,4;Aprovada
AP00545;VG00545;Diretoria;13,7;Aprovada
AP00546;VG00546;Diretoria;1,0;Aprovada
