cliente_id,segmento,uf,porte
C0060,Manutencao,RJ,Pequeno
C0061,Construcao,GO,Pequeno
C0062,Metalurgico,SC,Medio
C0063,Construcao,SC,Pequeno
C0064,Automotivo,MG,Medio
C0065,Construcao,RJ,Medio
C0066,Manutencao,SP,Medio
C0067,Construcao,SC,Medio
C0068,Manutencao,RJ,Pequeno
C0069,Manutencao,SC,Pequeno
C0070,Manutencao,SP,Medio
C0071,Construcao,SP,Medio
C0072,Distribuidor,SC,Pequeno
C0073,Distribuidor,RJ,Medio
C0074,Distribuidor,MG,Pequeno
C0075,Metalurgico,RJ,Pequeno
C0076,Metalurgico,SP,Medio
C0077,Automotivo,RJ,Pequeno
C0078,Construcao,PR,Medio
C0079,Metalurgico,GO,Medio
C0080,Distribuidor,RJ,Grande
C0081,Automotivo,SP,Medio
C0082,Metalurgico,SC,Medio
C0083,Metalurgico,SP,Grande
C0084,Metalurgico,MG,Pequeno
C0085,Automotivo,RJ,Pequeno
C0086,Distribuidor,GO,Medio
C0087,Automotivo,SC,Medio
C0088,Distribuidor,RJ,Medio
C0089,Construcao,MG,Pequeno
C0090,Manutencao,RJ,Pequeno
C0091,Construcao,GO,Medio
C0092,Automotivo,SP,Medio
C0093,Metalurgico,SP,Medio
C0094,Metalurgico,SP,Medio
C0095,Construcao,SC,Grande
C0096,Construcao,PR,Medio
C0097,Automotivo,PR,Pequeno
C0098,Manutencao,SC,Grande
C0099,Automotivo,MG,Grande
C0100,Construcao,GO,Grande
C0101,Distribuidor,SP,Pequeno
C0102,Distribuidor,GO,Medio
C0103,Construcao,RJ,Medio
C0104,Automotivo,GO,Pequeno
C0105,Automotivo,MG,Pequeno
C0106,Construcao,PR,Medio
C0107,Distribuidor,GO,Pequeno
C0108,Manutencao,MG,Medio
C0109,Distribuidor,PR,Pequeno
C0110,Manutencao,RJ,Medio
C0111,Automotivo,PR,Pequeno
C0112,Construcao,GO,Pequeno
C0113,Distribuidor,MG,Pequeno
C0114,Construcao,MG,Pequeno
C0115,Metalurgico,MG,Grande
C0116,Manutencao,PR,Grande
C0117,Metalurgico,MG,Pequeno
C0118,Distribuidor,PR,Medio
C0119,Manutencao,SP,Medio
C0120,Distribuidor,GO,Pequeno
C0121,Distribuidor,RJ,Medio
C0122,Automotivo,RJ,Pequeno
C0123,Metalurgico,GO,Pequeno
C0124,Automotivo,SC,Grande
C0125,Manutencao,MG,Medio
C0126,Metalurgico,PR,Medio
C0127,Distribuidor,PR,Pequeno
C0128,Metalurgico,RJ,Medio
C0129,Distribuidor,SP,Pequeno
C0130,Metalurgico,SP,Medio
C0131,Distribuidor,RJ,Medio
C0132,Manutencao,RJ,Grande
C0133,Distribuidor,GO,Medio
C0134,Metalurgico,SP,Pequeno
C0135,Manutencao,PR,Medio
C0136,Automotivo,SP,Pequeno
C0137,Manutencao,RJ,Medio
C0138,Manutencao,PR,Medio
C0139,Construcao,RJ,Medio
C0140,Distribuidor,PR,Pequeno
C0141,Automotivo,RJ,Pequeno
C0142,Metalurgico,RJ,Pequeno
C0143,Distribuidor,SC,Medio
C0144,Automotivo,SC,Pequeno
C0145,Metalurgico,PR,Pequeno
C0146,Distribuidor,RJ,Pequeno
C0147,Construcao,GO,Grande
C0148,Construcao,MG,Pequeno
C0149,Metalurgico,SC,Grande
C0150,Automotivo,SP,Medio
C0151,Automotivo,RJ,Pequeno
C0152,Automotivo,SC,Medio
C0153,Automotivo,SP,Medio
C0154,Manutencao,MG,Pequeno
C0155,Automotivo,SP,Pequeno
C0156,Metalurgico,GO,Grande
C0157,Construcao,MG,Medio
C0158,Manutencao,MG,Medio
C0159,Manutencao,SC,Medio
C0160,Construcao,SC,Pequeno
C0161,Metalurgico,GO,Medio
C0162,Automotivo,PR,Grande
C0163,Construcao,RJ,Grande
C0164,Distribuidor,SP,Medio
C0165,Metalurgico,GO,Pequeno
C0166,Distribuidor,PR,Pequeno
C0167,Distribuidor,SP,Medio
C0168,Distribuidor,GO,Grande
C0169,Metalurgico,RJ,Medio
C0170,Manutencao,SP,Medio
C0171,Construcao,MG,Medio
C0172,Distribuidor,PR,Grande
C0173,Construcao,PR,Medio
C0174,Manutencao,RJ,Medio
C0175,Construcao,RJ,Medio
C0176,Automotivo,MG,Grande
C0177,Metalurgico,GO,Medio
C0178,Automotivo,GO,Pequeno
C0179,Automotivo,RJ,Pequeno
C0180,Automotivo,MG,Grande
C0181,Distribuidor,MG,Pequeno
C0182,Automotivo,SC,Pequeno
C0183,Automotivo,SC,Medio
C0184,Automotivo,SC,Pequeno
C0185,Metalurgico,RJ,Medio
C0186,Distribuidor,MG,Medio
C0187,Construcao,SC,Pequeno
C0188,Automotivo,SC,Medio
C0189,Manutencao,MG,Medio
C0190,Metalurgico,SP,Pequeno
C0191,Metalurgico,SP,Pequeno
C0192,Metalurgico,SC,Medio
C0193,Automotivo,MG,Medio
C0194,Construcao,MG,Grande
C0195,Automotivo,MG,Medio
C0196,Manutencao,PR,Pequeno
C0197,Automotivo,GO,Grande
C0198,Metalurgico,GO,Medio
C0199,Construcao,SC,Pequeno
C0200,Construcao,MG,Pequeno
C0201,Construcao,GO,Pequeno
C0202,Construcao,SC,Medio
C0203,Metalurgico,SP,Pequeno
C0204,Construcao,PR,Pequeno
C0205,Manutencao,MG,Medio
C0206,Metalurgico,MG,Medio
C0207,Automotivo,MG,Grande
C0208,Manutencao,SC,Medio
C0209,Automotivo,RJ,Grande
C0210,Automotivo,SC,Medio
C0211,Distribuidor,MG,Medio
C0212,Metalurgico,SP,Medio
C0213,Manutencao,RJ,Pequeno
C0214,Distribuidor,MG,Pequeno
C0215,Automotivo,SP,Pequeno
C0216,Distribuidor,GO,Medio
C0217,Metalurgico,GO,Medio
C0218,Manutencao,PR,Pequeno
C0219,Distribuidor,RJ,Pequeno
C0220,Automotivo,SP,Medio
C0221,Construcao,RJ,Pequeno
C0222,Automotivo,SP,Grande
C0223,Construcao,PR,Grande
C0224,Automotivo,PR,Pequeno
C0225,Automotivo,GO,Medio
C0226,Metalurgico,SC,Pequeno
C0227,Manutencao,RJ,Grande
C0228,Construcao,PR,Medio
C0229,Metalurgico,RJ,Pequeno
C0230,Automotivo,GO,Pequeno
C0231,Metalurgico,RJ,Pequeno
C0232,Metalurgico,SP,Grande
C0233,Construcao,MG,Medio
C0234,Metalurgico,RJ,Medio
C0235,Manutencao,RJ,Pequeno
C0236,Automotivo,PR,Pequeno
C0237,Metalurgico,SP,Medio
C0238,Manutencao,GO,Medio
C0239,Manutencao,SP,Medio
C0240,Construcao,RJ,Pequeno
C0241,Distribuidor,PR,Pequeno
C0242,Distribuidor,PR,Pequeno
C0243,Distribuidor,RJ,Grande
C0244,Construcao,GO,Pequeno
C0245,Construcao,RJ,Medio
C0246,Construcao,RJ,Grande
C0247,Automotivo,SC,Grande
C0248,Construcao,SC,Pequeno
C0249,Construcao,RJ,Grande
C0250,Automotivo,MG,Pequeno
C0251,Distribuidor,SC,Medio
C0252,Construcao,GO,Medio
C0253,Automotivo,RJ,Medio
C0254,Construcao,GO,Grande
C0255,Construcao,PR,Pequeno
C0256,Automotivo,RJ,Medio
C0257,Manutencao,GO,Grande
C0258,Automotivo,RJ,Medio
C0259,Distribuidor,RJ,Grande
C0260,Construcao,MG,Pequeno
C0261,Metalurgico,MG,Pequeno
C0262,Metalurgico,RJ,Medio
C0263,Distribuidor,SP,Medio
C0264,Distribuidor,GO,Pequeno
C0265,Distribuidor,MG,Medio
C0266,Automotivo,SC,Medio
C0267,Automotivo,RJ,Medio
C0268,Construcao,GO,Grande
C0269,Distribuidor,GO,Pequeno
C0270,Distribuidor,MG,Pequeno
C0271,Construcao,PR,Grande
C0272,Distribuidor,MG,Medio
C0273,Distribuidor,GO,Pequeno
C0274,Metalurgico,SP,Grande
C0275,Construcao,GO,Medio
C0276,Manutencao,GO,Medio
C0277,Automotivo,GO,Pequeno
C0278,Construcao,GO,Pequeno
C0279,Construcao,GO,Medio
C0280,Metalurgico,SP,Grande
C0281,Construcao,MG,Medio
C0282,Metalurgico,SC,Pequeno
C0283,Manutencao,PR,Medio
C0284,Automotivo,SC,Pequeno
C0285,Manutencao,RJ,Pequeno
C0286,Metalurgico,MG,Pequeno
C0287,Manutencao,GO,Medio
C0288,Automotivo,MG,Pequeno
C0289,Manutencao,SC,Pequeno
C0290,Distribuidor,PR,Pequeno
C0291,Manutencao,RJ,Medio
C0292,Distribuidor,PR,Grande
C0293,Automotivo,MG,Pequeno
C0294,Automotivo,PR,Medio
C0295,Manutencao,GO,Medio
C0296,Automotivo,RJ,Pequeno
C0297,Automotivo,PR,Medio
C0298,Automotivo,SC,Grande
C0299,Manutencao,GO,Grande
C0300,Manutencao,GO,Pequeno
C0301,Manutencao,RJ,Grande
C0302,Distribuidor,GO,Pequeno
C0303,Distribuidor,SC,Grande
C0304,Distribuidor,SC,Medio
C0305,Distribuidor,SP,Medio
C0306,Manutencao,GO,Medio
C0307,Automotivo,PR,Medio
C0308,Construcao,SC,Medio
C0309,Construcao,SC,Pequeno
C0310,Construcao,SP,Pequeno
C0311,Automotivo,SC,Pequeno
C0312,Automotivo,MG,Medio
C0313,Distribuidor,SC,Medio
C0314,Automotivo,RJ,Pequeno
C0315,Automotivo,MG,Pequeno
C0316,Construcao,SP,Grande
C0317,Automotivo,RJ,Medio
C0318,Metalurgico,RJ,Pequeno
C0319,Distribuidor,SC,Medio
C0320,Automotivo,MG,Medio
C0321,Distribuidor,RJ,Grande
C0322,Manutencao,SP,Medio
C0323,Construcao,GO,Medio
C0324,Automotivo,SC,Pequeno
C0325,Distribuidor,PR,Pequeno
C0326,Construcao,RJ,Pequeno
C0327,Construcao,GO,Pequeno
C0328,Distribuidor,SC,Medio
C0329,Metalurgico,PR,Pequeno
C0330,Construcao,MG,Pequeno
C0331,Automotivo,SP,Medio
C0332,Automotivo,GO,Medio
C0333,Distribuidor,SP,Grande
C0334,Manutencao,PR,Medio
C0335,Construcao,SC,Pequeno
C0336,Automotivo,PR,Medio
C0337,Automotivo,PR,Pequeno
C0338,Construcao,MG,Pequeno
C0339,Automotivo,SC,Grande
C0340,Construcao,GO,Pequeno
C0341,Manutencao,RJ,Pequeno
C0342,Manutencao,SP,Pequeno
C0343,Construcao,MG,Pequeno
C0344,Manutencao,SP,Pequeno
C0345,Distribuidor,MG,Pequeno
C0346,Distribuidor,SC,Pequeno
C0347,Automotivo,SP,Grande
C0348,Manutencao,MG,Pequeno
C0349,Manutencao,PR,Pequeno
C0350,Metalurgico,MG,Pequeno
C0351,Construcao,SC,Pequeno
C0352,Automotivo,SC,Pequeno
C0353,Manutencao,RJ,Medio
C0354,Automotivo,SC,Pequeno
C0355,Construcao,SP,Grande
C0356,Distribuidor,GO,Medio
C0357,Metalurgico,MG,Grande
C0358,Metalurgico,GO,Medio
C0359,Automotivo,MG,Pequeno
C0360,Manutencao,GO,Medio
C0361,Construcao,RJ,Pequeno
C0362,Construcao,RJ,Medio
C0363,Automotivo,SC,Medio
C0364,Metalurgico,MG,Grande
C0365,Metalurgico,RJ,Pequeno
C0366,Metalurgico,SC,Pequeno
C0367,Construcao,PR,Medio
C0368,Automotivo,GO,Medio
C0369,Distribuidor,PR,Pequeno
C0370,Manutencao,SC,Medio
C0371,Automotivo,PR,Grande
C0372,Distribuidor,GO,Pequeno
C0373,Construcao,PR,Pequeno
C0374,Distribuidor,RJ,Pequeno
C0375,Automotivo,MG,Pequeno
C0376,Distribuidor,PR,Grande
C0377,Automotivo,MG,Pequeno
C0378,Construcao,MG,Pequeno
C0379,Automotivo,SC,Pequeno
C0380,Distribuidor,MG,Pequeno
C0381,Metalurgico,MG,Pequeno
C0382,Automotivo,RJ,Pequeno
C0383,Distribuidor,PR,Grande
C0384,Manutencao,SP,Pequeno
C0385,Metalurgico,SC,Grande
C0386,Manutencao,GO,Pequeno
C0387,Distribuidor,SP,Pequeno
C0388,Construcao,MG,Pequeno
C0389,Automotivo,RJ,Pequeno
C0390,Manutencao,SP,Pequeno
C0391,Manutencao,MG,Pequeno
C0392,Construcao,SP,Grande
C0393,Distribuidor,GO,Grande
C0394,Distribuidor,GO,Grande
C0395,Metalurgico,GO,Pequeno
C0396,Distribuidor,RJ,Medio
C0397,Automotivo,SC,Medio
C0398,Metalurgico,GO,Grande
C0399,Distribuidor,MG,Grande
C0400,Distribuidor,SC,Grande
C0401,Construcao,SP,Pequeno
C0402,Manutencao,RJ,Pequeno
C0403,Construcao,PR,Pequeno
C0404,Automotivo,SP,Pequeno
C0405,Distribuidor,SP,Pequeno
C0406,Manutencao,GO,Medio
C0407,Distribuidor,MG,Pequeno
C0408,Construcao,RJ,Medio
C0409,Distribuidor,MG,Medio
C0410,Metalurgico,RJ,Pequeno
C0411,Metalurgico,GO,Medio
C0412,Construcao,PR,Grande
C0413,Construcao,SC,Pequeno
C0414,Metalurgico,PR,Medio
C0415,Manutencao,SP,Pequeno
C0416,Construcao,SP,Pequeno
C0417,Construcao,SP,Medio
C0418,Metalurgico,PR,Medio
C0419,Distribuidor,SC,Pequeno
C0420,Automotivo,GO,Grande
C0421,Distribuidor,MG,Medio
C0422,Construcao,SC,Pequeno
C0423,Metalurgico,PR,Medio
C0424,Manutencao,MG,Medio
C0425,Distribuidor,MG,Grande
C0426,Construcao,MG,Medio
C0427,Construcao,GO,Medio
C0428,Construcao,MG,Pequeno
C0429,Metalurgico,SP,Grande
C0430,Manutencao,RJ,Pequeno
C0431,Construcao,SC,Medio
C0432,Metalurgico,SP,Pequeno
C0433,Distribuidor,MG,Medio
C0434,Metalurgico,RJ,Pequeno
C0435,Automotivo,PR,Grande
C0436,Metalurgico,SC,Grande
C0437,Automotivo,SC,Pequeno
C0438,Construcao,PR,Grande
C0439,Distribuidor,PR,Pequeno
C0440,Manutencao,SP,Grande
C0441,Metalurgico,PR,Pequeno
C0442,Manutencao,SC,Medio
C0443,Automotivo,SP,Medio
C0444,Distribuidor,MG,Medio
C0445,Manutencao,RJ,Medio
C0446,Manutencao,RJ,Pequeno
C0447,Automotivo,GO,Medio
C0448,Metalurgico,SC,Pequeno
C0449,Manutencao,GO,Medio
C0450,Metalurgico,SP,Medio
C0451,Metalurgico,GO,Medio
C0452,Automotivo,PR,Pequeno
C0453,Distribuidor,RJ,Grande
C0454,Construcao,SC,Pequeno
C0455,Automotivo,SP,Pequeno
C0456,Construcao,SP,Grande
C0457,Construcao,SC,Medio
C0458,Automotivo,SP,Grande
C0459,Construcao,PR,Medio
C0460,Metalurgico,SC,Pequeno
C0461,Construcao,RJ,Pequeno
C0462,Automotivo,MG,Medio
C0463,Metalurgico,RJ,Grande
C0464,Automotivo,SP,Medio
C0465,Automotivo,SC,Medio
C0466,Metalurgico,MG,Pequeno
C0467,Construcao,MG,Pequeno
C0468,Automotivo,GO,Pequeno
C0469,Distribuidor,SC,Grande
C0470,Automotivo,RJ,Grande
C0471,Metalurgico,MG,Pequeno
C0472,Distribuidor,SP,Pequeno
C0473,Distribuidor,GO,Pequeno
C0474,Construcao,SP,Pequeno
C0475,Distribuidor,SC,Pequeno
C0476,Construcao,MG,Grande
C0477,Manutencao,RJ,Grande
C0478,Manutencao,PR,Medio
C0479,Manutencao,RJ,Medio
C0480,Automotivo,MG,Pequeno
C0481,Manutencao,RJ,Pequeno
C0482,Automotivo,SP,Pequeno
C0483,Automotivo,GO,Pequeno
C0484,Construcao,GO,Medio
C0485,Manutencao,SP,Pequeno
C0486,Manutencao,MG,Grande
C0487,Metalurgico,PR,Medio
C0488,Construcao,SC,Pequeno
C0489,Manutencao,MG,Grande
C0490,Manutencao,SC,Pequeno
C0491,Manutencao,MG,Medio
C0492,Manutencao,PR,Medio
C0493,Distribuidor,PR,Pequeno
C0494,Metalurgico,SP,Pequeno
C0495,Manutencao,MG,Pequeno
C0496,Automotivo,GO,Medio
C0497,Construcao,SC,Medio
C0498,Manutencao,PR,Medio
C0499,Construcao,PR,Pequeno
C0500,Metalurgico,SP,Grande
