lote_id,produto_id,unidade_id,data_inicio,quantidade_planejada,quantidade_produzida,horas_planejadas,horas_reais,refugo_kg,consumo_energia_kwh,consumo_agua_l,rendimento_pct,refugo_pct,produtividade_kg_h
L000073,P003,U02,2024-09-28,1606.53,1382.08,7.93,10.42,9.08,627.8,3468.44,0.8602889457401978,0.0065698078258856225,132.63723608445298
L000074,P007,U02,2025-06-08,859.94,755.07,5.88,7.7,20.1,249.01,915.29,0.8780496313696304,0.02662004847232707,98.06103896103896
L000075,P004,U02,2025-07-22,1276.68,1142.26,6.91,8.27,20.84,375.96,1337.8,0.8947112823886956,0.018244532768371475,138.12091898428054
L000076,P006,U01,2026-07-29,1920.84,1756.02,15.72,20.57,25.17,1003.72,3345.77,0.9141937902167802,0.014333549731779822,85.3680116674769
L000077,P002,U03,2026-07-29,1707.14,1663.04,11.13,10.15,12.04,600.85,2090.33,0.9741673207821268,0.007239753704060034,163.8463054187192
L000078,P007,U01,2025-07-03,2067.1,1969.88,10.17,9.99,87.52,450.67,4758.52,0.9529679260800156,0.04442910228034194,197.1851851851852
L000079,P003,U02,2025-02-21,2093.06,2031.18,15.31,14.07,17.11,656.86,1911.05,0.9704356301300489,0.008423674908181451,144.362473347548
L000080,P007,U03,2025-04-25,1149.81,1067.85,5.83,5.36,47.85,532.39,1506.91,0.9287186578652125,0.04480966427869083,199.22574626865668
L000081,P007,U03,2025-03-26,1908.61,1832.64,9.93,10.91,36.24,460.52,4302.37,0.9601961637002846,0.019774751178627554,167.97800183318057
L000082,P002,U03,2025-11-29,1957.69,1882.23,9.57,9.11,73.94,604.61,1428.88,0.9614545714592198,0.039283190683391506,206.6114160263447
L000083,P008,U01,2024-01-19,1033.52,1048.64,7.57,7.15,25.84,631.4,2723.01,1.0146296152953016,0.02464144034177601,146.66293706293706
L000084,P002,U01,2024-12-22,838.96,821.77,5.54,5.66,2.98,464.97,1853.77,0.9795103461428435,0.0036263187996641395,145.18904593639576
L000085,P003,U03,2025-09-22,1142.0,1174.13,6.39,5.78,49.89,653.91,1027.25,1.028134851138354,0.04249103591595479,203.13667820069205
L000086,P006,U03,2025-03-23,2012.79,1928.41,13.86,13.96,5.87,594.5,1804.39,0.9580780906105456,0.003043958494303597,138.13825214899714
L000087,P005,U03,2024-10-21,2068.42,1821.97,12.03,15.35,63.65,479.27,4563.7,0.8808510844025874,0.03493471352437197,118.69511400651466
L000088,P003,U03,2025-07-05,1725.25,1507.09,9.77,9.43,50.71,587.79,3415.01,0.8735487610491233,0.03364762555653611,159.81866383881228
L000089,P007,U02,2026-03-14,1417.65,1257.08,11.18,10.99,34.6,348.72,932.39,0.8867350897612245,0.02752410347790117,114.38398544131027
L000090,P002,U01,2025-08-09,783.8,777.03,3.99,5.25,14.39,379.58,1313.85,0.9913625924980862,0.01851923349162838,148.00571428571428
L000091,P004,U02,2024-10-31,1296.67,1303.09,6.41,7.38,24.99,736.29,1773.37,1.0049511440844623,0.019177493496228198,176.57046070460703
L000092,P006,U03,2024-03-14,2181.23,2178.04,16.05,17.97,79.3,487.79,2304.75,0.9985375224070823,0.03640888137958899,121.20422927100724
L000093,P002,U01,2024-12-14,1879.78,1752.91,13.55,14.18,72.56,1045.96,1602.51,0.9325080594537659,0.0413940247930584,123.61847672778562
L000094,P004,U01,2026-04-13,827.17,796.66,4.72,4.94,35.8,430.68,605.21,0.963115200019343,0.04493761454070745,161.26720647773277
L000095,P002,U02,2025-04-18,328.37,337.02,2.05,2.45,1.03,75.33,680.78,1.0263422358924383,0.0030561984451961312,137.55918367346936
L000096,P001,U01,2026-01-16,992.05,1017.21,7.73,7.05,16.7,413.02,2362.52,1.025361624918099,0.01641745558930801,144.28510638297874
L000097,P006,U03,2024-01-15,2075.82,1840.11,15.77,14.96,25.41,804.14,3079.53,0.8864496921698412,0.01380895707321845,123.00200534759357
L000098,P003,U02,2024-06-08,824.5,740.42,4.21,4.03,12.06,260.93,1770.7,0.8980230442692541,0.016288052726830718,183.72704714640196
L000099,P008,U01,2025-07-04,847.28,800.54,5.76,6.46,25.19,270.78,1774.72,0.9448352374657728,0.03146626027431484,123.92260061919504
L000100,P003,U03,2024-10-24,1738.89,1521.18,10.2,11.71,37.03,358.59,1885.98,0.8747994410227213,0.024342944293246033,129.90435525192143
L000101,P006,U01,2024-12-20,544.2,484.08,3.72,4.08,13.66,124.98,1279.63,0.8895259095920617,0.028218476284911587,118.6470588235294
L000102,P008,U02,2024-04-20,588.53,603.82,3.53,3.65,22.23,196.41,1132.7,1.0259799840280022,0.0368156073001888,165.4301369863014
L000103,P005,U01,2025-04-15,757.03,729.75,3.66,3.61,29.35,214.3,945.7,0.9639644399825634,0.04021925316889346,202.14681440443215
L000104,P003,U01,2024-04-14,803.56,756.02,4.77,4.81,4.96,281.38,2030.85,0.9408382696998357,0.006560672998068834,157.1767151767152
L000105,P001,U02,2026-07-25,691.7,608.8,3.72,4.71,25.98,136.7,617.57,0.8801503541997975,0.042674113009198426,129.2569002123142
L000106,P001,U02,2025-09-14,2101.54,2086.01,11.9,13.95,38.38,1035.89,1574.38,0.9926101811052849,0.018398761271518353,149.53476702508962
L000107,P002,U03,2024-06-02,586.06,587.27,3.5,4.35,8.92,190.08,1638.9,1.002064635020305,0.015188925025967612,135.00459770114944
L000108,P002,U01,2025-01-07,347.69,350.74,1.72,1.58,15.75,119.48,539.56,1.008772182116253,0.044905057877630154,221.9873417721519
L000109,P005,U01,2025-02-09,1330.6,1185.1,7.02,9.01,16.0,286.58,2639.87,0.8906508342101308,0.013500970382246225,131.53163152053273
L000110,P004,U01,2026-07-16,2137.68,2018.78,16.13,18.73,72.03,1145.56,3350.88,0.9443789528834999,0.035679965127453216,107.78323545114789
L000111,P008,U01,2024-11-27,1421.73,1354.31,9.32,12.26,11.67,311.36,1383.62,0.9525789003537942,0.008616934084515363,110.46574225122349
L000112,P001,U01,2025-05-20,461.0,459.75,2.54,2.65,19.98,112.16,575.27,0.9972885032537961,0.0434584013050571,173.49056603773585
L000113,P008,U02,2025-06-16,355.43,328.29,1.76,2.31,5.87,88.36,408.92,0.9236417860056833,0.01788053245606019,142.11688311688312
L000114,P001,U02,2025-08-16,791.8,811.42,4.18,3.78,8.26,332.34,627.19,1.0247789845920687,0.010179684996672501,214.66137566137567
L000115,P002,U03,2025-05-21,698.31,670.79,5.03,5.84,6.24,264.39,1557.51,0.9605905686586187,0.009302464258560803,114.86130136986301
L000116,P008,U01,2026-03-08,814.02,835.12,6.53,6.22,28.83,365.8,2220.78,1.0259207390481806,0.034521984864450614,134.26366559485533
L000117,P003,U03,2026-01-03,1024.84,891.39,5.91,6.09,34.83,443.17,1727.56,0.869784551734905,0.03907380607814761,146.36945812807883
L000118,P007,U02,2024-04-05,959.89,946.43,5.33,6.24,33.19,575.84,1821.56,0.9859775599287418,0.03506862631150745,151.67147435897434
L000119,P002,U01,2024-09-20,409.38,415.32,2.02,1.99,5.39,139.54,315.72,1.014509746445845,0.012977944717326398,208.7035175879397
L000120,P005,U02,2026-04-10,1822.49,1602.48,9.63,10.14,21.44,596.67,2579.11,0.8792805447492167,0.0133792621436773,158.03550295857988
L000121,P006,U01,2026-06-23,208.53,203.2,1.08,1.44,4.8,108.25,472.91,0.9744401285186783,0.023622047244094488,141.11111111111111
L000122,P008,U01,2026-03-18,1175.02,1054.31,7.41,8.34,36.68,524.53,2473.22,0.8972698337049582,0.034790526505487,126.41606714628297
L000123,P004,U03,2026-01-03,599.69,550.4,3.01,3.64,7.11,256.82,529.16,0.917807533892511,0.012917877906976745,151.20879120879118
L000124,P006,U03,2026-04-16,217.51,196.35,1.25,1.53,7.79,99.09,277.06,0.9027171164544159,0.039674051438757324,128.33333333333331
L000125,P006,U02,2026-05-27,715.92,643.96,3.61,4.27,22.85,230.53,671.88,0.8994859760867137,0.03548357040809988,150.81030444964873
L000126,P005,U03,2024-09-22,1833.3,1591.94,11.22,13.54,69.99,562.9,1841.97,0.8683466972126767,0.0439652248200309,117.5731166912851
L000127,P007,U02,2026-03-01,505.45,472.95,3.93,4.25,18.38,150.27,1033.17,0.9357008606192502,0.0388624590337245,111.28235294117647
L000128,P004,U02,2026-07-05,947.05,869.02,7.77,8.29,35.74,325.16,1519.84,0.9176073069003748,0.041126786495132454,104.82750301568156
L000129,P007,U02,2025-03-15,1580.97,1614.64,11.46,12.76,15.49,713.06,4467.57,1.0212970518099649,0.009593469751771291,126.53918495297806
L000130,P008,U02,2025-02-09,1749.11,1580.12,14.3,18.28,24.73,770.27,1216.55,0.9033851501620824,0.015650710072652712,86.4398249452954
L000131,P003,U03,2024-01-02,1566.12,1354.1,10.65,10.94,52.3,776.55,3110.7,0.8646208464230072,0.038623439923196216,123.77513711151737
L000132,P008,U01,2025-02-26,1776.65,1739.45,8.71,8.25,64.53,785.99,4844.6,0.9790617172768975,0.03709793325476444,210.84242424242424
L000133,P004,U01,2025-11-29,1729.3,1543.5,9.66,11.52,43.97,514.14,2019.3,0.8925576822991962,0.028487204405571752,133.984375
L000134,P005,U02,2025-02-12,1194.0,1183.36,6.34,6.02,30.09,323.71,2039.46,0.9910887772194305,0.02542759599783667,196.57142857142856
L000135,P002,U03,2026-04-08,996.37,950.79,7.09,8.57,34.51,428.8,1178.43,0.9542539418087658,0.036296132689658075,110.94399066511085
L000136,P005,U02,2025-04-29,377.06,358.44,2.85,2.58,11.87,104.63,382.22,0.9506179387895826,0.03311572369155228,138.93023255813952
L000137,P002,U02,2024-01-27,1982.48,1807.42,14.83,19.64,35.27,592.31,3922.95,0.9116964609983456,0.019514003386041985,92.0274949083503
L000138,P008,U03,2024-10-31,1120.78,976.6,6.09,5.58,37.61,354.72,1569.75,0.8713574474919253,0.03851116117141102,175.0179211469534
L000139,P003,U02,2025-06-12,786.27,785.72,4.52,4.45,32.28,224.51,1311.93,0.9993004947409924,0.04108333757572672,176.56629213483146
L000140,P001,U01,2025-06-07,1718.48,1502.32,13.58,15.3,7.95,617.1,2037.83,0.8742144220473906,0.005291815325629693,98.1908496732026
L000141,P006,U03,2025-06-30,1714.64,1584.34,8.8,8.84,46.14,766.1,1637.3,0.9240073718098258,0.029122536829215954,179.2239819004525
L000142,P006,U02,2024-03-31,1564.49,1532.56,12.61,14.14,33.48,886.93,1580.0,0.979590793165824,0.021845800490682257,108.38472418670437
L000143,P007,U03,2025-08-12,981.25,893.13,6.96,7.0,38.87,225.35,1736.03,0.9101961783439491,0.043521099951854714,127.59
L000144,P008,U03,2025-06-16,276.92,267.85,2.31,2.91,9.02,85.42,656.38,0.9672468582984256,0.03367556468172484,92.0446735395189
L000145,P005,U02,2025-01-09,324.84,280.37,1.8,1.81,5.67,137.59,596.0,0.8631018347494152,0.020223276384777257,154.90055248618785
L000146,P008,U02,2024-05-22,226.03,216.78,1.08,1.2,4.16,128.25,297.54,0.9590762288191833,0.019189962173632256,180.65
L000147,P002,U02,2026-05-07,658.03,677.52,3.27,3.65,3.39,219.19,1389.5,1.0296187103931431,0.005003542330853702,185.62191780821917
L000148,P002,U02,2026-07-01,1088.53,1057.74,5.52,6.32,16.51,613.86,1756.92,0.9717141466013799,0.015608750732694236,167.3639240506329
L000149,P001,U01,2024-03-28,1142.59,1019.65,6.6,8.27,25.6,403.73,2490.03,0.8924023490490902,0.025106654244103372,123.2950423216445
L000150,P005,U03,2024-06-04,2066.01,1994.46,15.86,15.85,35.02,640.73,2857.34,0.9653680282283241,0.017558637425669106,125.83343848580442
L000151,P005,U02,2024-02-27,1640.31,1467.47,9.66,12.29,45.41,408.95,4054.28,0.8946296736592474,0.030944414536583368,119.40358014646054
L000152,P001,U01,2024-07-15,1015.88,922.12,5.74,5.76,26.93,291.97,955.53,0.9077056345237626,0.02920444193814254,160.09027777777777
L000153,P007,U01,2025-04-17,1299.92,1287.96,6.84,8.45,9.44,429.94,2323.44,0.9907994338113114,0.007329420168328209,152.42130177514795
L000154,P003,U02,2026-04-30,1801.12,1622.23,11.16,14.53,55.52,833.84,3347.71,0.9006784667318114,0.03422449344420952,111.64693737095665
L000155,P003,U02,2026-04-10,969.51,930.81,4.84,6.2,24.0,489.37,2012.6,0.9600829284896494,0.02578399458536114,150.13064516129032
L000156,P001,U03,2026-01-08,841.58,842.11,4.14,3.79,28.19,510.3,1701.9,1.0006297678176763,0.03347543670066856,222.19261213720316
L000157,P008,U02,2025-12-06,1101.46,980.93,6.89,8.65,25.51,561.16,1548.02,0.8905725128465853,0.026005933145076612,113.40231213872832
L000158,P005,U02,2024-02-02,356.87,350.53,1.77,1.74,8.24,212.15,476.95,0.982234427102306,0.023507260434199644,201.45402298850573
L000159,P005,U02,2024-01-03,1447.46,1448.09,9.6,8.78,7.5,531.55,2027.96,1.0004352451881227,0.005179236097203903,164.93052391799546
L000160,P002,U01,2025-07-31,364.26,316.91,2.08,2.38,2.71,144.5,574.05,0.8700104321089333,0.008551323719668043,133.15546218487395
L000161,P006,U01,2026-04-17,613.73,544.26,4.59,5.23,5.24,318.73,513.19,0.8868069020579081,0.009627751442325359,104.06500956022944
L000162,P003,U02,2024-07-02,1164.01,1146.4,5.68,5.79,23.72,681.83,2045.61,0.9848712639925775,0.020690858339148636,197.9965457685665
L000163,P001,U02,2025-04-07,2075.64,1896.78,17.27,17.55,28.46,631.9,5217.6,0.9138289876857258,0.015004375836944717,108.07863247863247
L000164,P003,U01,2024-12-18,460.71,465.47,2.3,2.7,11.51,190.68,1061.42,1.0103318790562394,0.02472769458826562,172.3962962962963
L000165,P002,U03,2025-01-03,1777.51,1656.65,12.22,11.13,27.24,587.98,3377.52,0.932006008405016,0.01644282135635167,148.84546271338723
L000166,P007,U03,2026-04-13,1747.56,1547.78,13.77,18.41,58.51,348.51,3629.31,0.8856806061022225,0.037802530075333705,84.0727865290603
L000167,P004,U02,2025-12-17,828.97,725.82,4.04,4.88,15.98,167.25,1860.96,0.8755684765431802,0.022016477914634482,148.73360655737707
L000168,P003,U03,2024-05-08,1243.95,1217.44,9.99,10.32,26.46,586.5,3070.3,0.9786888540536195,0.02173413063477461,117.96899224806202
L000169,P006,U01,2025-03-30,332.88,306.8,1.59,1.73,2.28,74.12,795.9,0.9216534486902187,0.007431551499348109,177.34104046242774
L000170,P007,U03,2025-09-28,1263.09,1105.64,8.35,8.2,45.65,486.83,2281.97,0.8753453831476776,0.04128830360696067,134.83414634146345
L000171,P003,U03,2025-04-13,427.12,405.66,3.51,4.11,5.53,143.55,1043.83,0.9497565087094962,0.013632105704284376,98.7007299270073
L000172,P003,U03,2026-03-27,1025.27,906.92,6.15,7.09,34.67,403.46,1268.29,0.8845669921093956,0.03822828915450095,127.91537376586741
L000173,P005,U01,2026-03-03,1127.58,1056.48,6.65,7.04,44.44,523.78,1127.28,0.9369446070345342,0.04206421323640769,150.0681818181818
L000174,P003,U02,2024-10-07,1774.62,1621.64,11.99,12.95,54.37,873.33,2434.81,0.9137956294868762,0.03352778668508423,125.22316602316604
L000175,P006,U03,2025-11-06,748.11,658.19,3.57,3.27,4.54,399.71,1041.35,0.8798037721725416,0.006897704310305534,201.28134556574926
L000176,P006,U01,2024-03-11,655.84,601.13,3.69,3.42,25.81,136.73,1366.13,0.9165802634788972,0.04293580423535674,175.76900584795322
L000177,P002,U01,2025-04-01,1335.26,1359.46,8.21,9.52,17.94,757.88,2079.43,1.0181238110929707,0.013196416224088977,142.80042016806723
L000178,P001,U02,2024-09-19,1552.28,1379.18,8.03,8.96,9.32,815.28,3131.45,0.8884866132398794,0.006757638596847402,153.92633928571428
L000179,P002,U02,2024-10-19,1293.85,1187.65,7.12,7.0,43.09,409.92,1457.28,0.9179193878734012,0.03628173283374732,169.66428571428574
L000180,P001,U01,2024-06-11,766.53,777.3,4.2,3.95,6.47,300.78,986.45,1.0140503307111268,0.008323684549080149,196.78481012658227
L000181,P007,U02,2025-05-26,697.03,634.2,4.35,5.14,18.81,303.69,747.47,0.90986040772994,0.029659413434247866,123.38521400778212
L000182,P004,U01,2025-05-04,1354.24,1301.74,10.11,9.54,22.39,371.4,3498.87,0.9612328686200378,0.017200055310584297,136.45073375262055
L000183,P008,U02,2026-06-01,438.22,407.68,3.44,3.22,9.74,110.4,987.49,0.9303089772260508,0.023891287284144427,126.6086956521739
L000184,P008,U02,2025-06-03,358.73,332.63,1.77,1.86,5.19,122.58,535.86,0.9272433306386418,0.015602922165769776,178.83333333333331
L000185,P008,U01,2024-02-08,885.01,872.96,7.06,7.75,8.32,395.45,1876.14,0.9863843346402866,0.009530791788856305,112.64
L000186,P006,U02,2025-01-31,2010.74,1751.91,12.02,12.7,46.3,530.02,1658.4,0.8712762465559943,0.02642829825733057,137.9456692913386
L000187,P002,U01,2025-03-10,862.33,765.41,4.51,5.44,18.71,244.04,893.63,0.8876068326510732,0.024444415411348168,140.7003676470588
L000188,P004,U01,2025-02-26,666.18,582.73,5.13,6.59,11.85,162.56,1503.68,0.8747335554955118,0.020335318243440356,88.42640364188165
L000189,P003,U02,2024-02-23,2129.67,2189.66,12.25,14.96,54.06,709.91,1578.42,1.0281686834110448,0.02468876446571614,146.3676470588235
