pedido_id,data_pedido,cliente_id,produto_id,unidade_id,quantidade,desconto_pct,status,receita_bruta,receita_liquida,custo_total,data_prometida,data_entrega,margem,margem_pct
PV000017,2026-05-22,C0237,P003,U01,26.79,0.1241,Faturado,1125.18,985.55,573.91,2026-05-28,2026-05-27,411.64,0.41767540966972755
PV000018,2025-06-30,C0024,P001,U01,19.51,0.1555,Entregue,360.94,304.81,158.36,2025-07-14,2025-07-15,146.45,0.48046323939503294
PV000019,2026-05-15,C0308,P001,U01,39.03,0.0199,Entregue,722.06,707.69,299.97,2026-05-28,2026-05-31,407.72,0.5761279656346705
PV000020,2026-04-23,C0275,P007,U01,162.2,0.0913,Entregue,1589.56,1444.43,730.31,2026-05-06,2026-05-09,714.1200000000001,0.49439571318790115
PV000021,2025-07-25,C0478,P002,U02,45.06,0.1001,Entregue,1031.87,928.58,442.63,2025-08-07,2025-08-07,485.95000000000005,0.5233259385297983
PV000022,2025-05-30,C0268,P002,U01,49.8,0.1482,Entregue,1140.42,971.41,440.41,2025-06-10,2025-06-13,531.0,0.5466280973018602
PV000023,2025-08-06,C0245,P004,U02,45.43,0.072,Entregue,608.76,564.93,253.95,2025-08-10,2025-08-16,310.97999999999996,0.5504752801232011
PV000024,2024-06-07,C0197,P008,U02,17.88,0.0368,Entregue,314.69,303.11,140.81,2024-06-17,2024-06-23,162.3,0.5354491768664841
PV000025,2025-10-14,C0456,P005,U01,56.57,0.1043,Entregue,1793.27,1606.23,766.82,2025-10-25,2025-10-24,839.41,0.522596390305249
PV000026,2026-03-23,C0174,P008,U01,23.31,0.0546,Entregue,410.26,387.86,189.15,2026-03-29,2026-04-01,198.71,0.5123240344454184
PV000028,2024-03-08,C0464,P007,U02,61.7,0.1797,Faturado,604.66,496.0,256.62,2024-03-19,2024-03-17,239.38,0.48262096774193547
PV000029,2026-07-16,C0137,P001,U02,13.81,0.1722,Entregue,255.48,211.49,113.73,2026-07-21,2026-07-21,97.76,0.4622440777341718
PV000030,2026-07-29,C0214,P002,U02,78.33,0.0259,Faturado,1793.76,1747.3,720.32,2026-08-11,2026-08-14,1026.98,0.5877525324786814
PV000031,2025-09-08,C0440,P001,U01,12.54,0.1688,Entregue,231.99,192.83,100.78,2025-09-21,2025-09-24,92.05000000000001,0.47736348078618474
PV000032,2025-06-28,C0490,P002,U03,43.68,0.1026,Entregue,1000.27,897.64,392.15,2025-07-04,2025-07-02,505.49,0.5631322133594759
PV000033,2025-05-10,C0403,P005,U02,30.73,0.101,Faturado,974.14,875.75,402.71,2025-05-20,2025-05-21,473.04,0.5401541535826435
PV000034,2026-01-01,C0031,P006,U02,23.96,0.0372,Entregue,1317.8,1268.78,652.42,2026-01-11,2026-01-11,616.36,0.4857894985734328
PV000035,2024-07-16,C0486,P005,U01,55.42,0.0477,Faturado,1756.81,1673.01,766.96,2024-07-27,2024-07-27,906.05,0.5415687891883492
PV000036,2025-06-18,C0182,P004,U03,169.77,0.09,Faturado,2274.92,2070.18,969.68,2025-06-24,2025-06-27,1100.5,0.5315962863132675
PV000037,2025-05-04,C0406,P007,U03,200.07,0.0174,Entregue,1960.69,1926.57,920.52,2025-05-10,2025-05-10,1006.05,0.5221974804964263
PV000038,2026-03-27,C0142,P005,U01,13.07,0.115,Entregue,414.32,366.67,194.23,2026-04-09,2026-04-10,172.44000000000003,0.470286633757875
PV000039,2024-10-11,C0486,P008,U01,192.28,0.0852,Entregue,3384.13,3095.8,1622.94,2024-10-22,2024-10-22,1472.8600000000001,0.475760708056076
PV000040,2025-04-18,C0076,P005,U02,49.37,0.1507,Entregue,1565.03,1329.18,657.59,2025-04-26,2025-04-29,671.59,0.5052664048511112
PV000041,2024-01-23,C0309,P006,U01,38.9,0.1263,Entregue,2139.5,1869.28,1076.19,2024-02-05,2024-02-05,793.0899999999999,0.4242756569374304
PV000042,2025-02-19,C0432,P006,U03,56.15,0.1525,Faturado,3088.25,2617.29,1408.47,2025-02-24,2025-02-25,1208.82,0.4618594041928865
PV000043,2024-07-19,C0204,P003,U01,37.34,0.0107,Entregue,1568.28,1551.5,751.41,2024-07-23,2024-07-23,800.09,0.515688043828553
PV000044,2024-12-11,C0153,P005,U01,87.62,0.0019,Faturado,2777.55,2772.27,1221.53,2024-12-16,2024-12-16,1550.74,0.5593755298004884
PV000045,2025-09-12,C0246,P002,U01,55.09,0.0645,Entregue,1261.56,1180.19,474.16,2025-09-17,2025-09-17,706.03,0.5982341826316101
PV000046,2026-02-20,C0146,P003,U02,14.56,0.0091,Cancelado,611.52,605.96,313.23,2026-03-02,2026-03-08,292.73,0.48308469205888177
PV000047,2026-06-23,C0408,P003,U03,46.63,0.101,Entregue,1958.46,1760.66,1008.83,2026-07-05,2026-07-05,751.83,0.42701600536162576
PV000048,2025-03-09,C0412,P001,U01,37.79,0.09,Entregue,699.12,636.2,267.3,2025-03-18,2025-03-24,368.90000000000003,0.5798491040553285
PV000049,2026-01-03,C0214,P003,U03,106.65,0.1406,Entregue,4479.3,3849.51,2180.54,2026-01-06,2026-01-04,1668.9700000000003,0.4335538808835411
PV000050,2025-10-24,C0261,P004,U01,33.02,0.1137,Entregue,442.47,392.16,203.62,2025-10-31,2025-10-31,188.54000000000002,0.4807731538147695
PV000051,2024-10-16,C0485,P006,U01,140.13,0.0476,Entregue,7707.15,7340.29,3979.51,2024-10-30,2024-11-05,3360.7799999999997,0.45785384501157306
PV000052,2024-06-30,C0276,P003,U01,99.55,0.1321,Entregue,4181.1,3628.78,1972.79,2024-07-10,2024-07-08,1655.9900000000002,0.4563489657681094
PV000053,2024-02-17,C0313,P004,U01,12.48,0.0653,Entregue,167.23,156.31,72.97,2024-02-21,2024-02-20,83.34,0.5331712622353016
PV000054,2025-09-18,C0269,P003,U03,60.85,0.0672,Entregue,2555.7,2383.96,1315.46,2025-09-30,2025-10-01,1068.5,0.44820382892330407
PV000055,2026-07-03,C0338,P004,U03,16.26,0.1055,Entregue,217.88,194.89,103.76,2026-07-14,2026-07-20,91.12999999999998,0.46759710605982857
PV000056,2025-11-01,C0426,P008,U01,112.73,0.1191,Entregue,1984.05,1747.75,1005.2,2025-11-10,2025-11-13,742.55,0.4248605349735374
PV000057,2024-07-30,C0256,P002,U01,240.69,0.1392,Entregue,5511.8,4744.56,2118.4,2024-08-11,2024-08-09,2626.1600000000003,0.5535097037449205
PV000058,2024-11-20,C0266,P003,U03,15.54,0.1567,Entregue,652.68,550.41,299.4,2024-11-26,2024-11-27,251.01,0.4560418597045839
PV000059,2026-04-22,C0264,P005,U02,29.41,0.1766,Entregue,932.3,767.66,425.04,2026-04-29,2026-04-29,342.61999999999995,0.44631738009014404
PV000060,2025-02-01,C0001,P002,U03,241.35,0.1718,Faturado,5526.92,4577.4,2235.52,2025-02-05,2025-02-07,2341.8799999999997,0.5116179490540481
PV000061,2024-09-11,C0053,P007,U03,20.46,0.0697,Faturado,200.51,186.53,77.66,2024-09-25,2024-09-25,108.87,0.5836594649654211
PV000062,2025-09-17,C0134,P005,U02,86.82,0.0247,Entregue,2752.19,2684.21,1314.74,2025-09-27,2025-09-30,1369.47,0.5101948059205502
PV000063,2024-09-14,C0026,P002,U01,26.06,0.0439,Entregue,596.77,570.57,218.7,2024-09-28,2024-09-30,351.87000000000006,0.616699090383301
PV000064,2024-06-27,C0089,P007,U01,13.52,0.0654,Entregue,132.5,123.83,51.91,2024-07-01,2024-07-04,71.92,0.5807962529274004
PV000065,2024-12-06,C0472,P006,U01,88.68,0.17,Entregue,4877.4,4048.24,2398.39,2024-12-10,2024-12-09,1649.85,0.4075474774222872
PV000066,2025-01-30,C0343,P003,U01,118.78,0.0594,Entregue,4988.76,4692.43,2488.33,2025-02-06,2025-02-12,2204.1000000000004,0.4697139861436399
PV000067,2024-11-05,C0063,P002,U02,31.2,0.0375,Entregue,714.48,687.69,299.11,2024-11-10,2024-11-13,388.58000000000004,0.5650511131469121
PV000068,2025-02-22,C0349,P005,U01,10.17,0.0839,Entregue,322.39,295.34,157.5,2025-02-26,2025-02-26,137.83999999999997,0.46671632694521564
PV000069,2025-08-20,C0382,P003,U01,28.78,0.1135,Entregue,1208.76,1071.57,602.79,2025-08-28,2025-08-26,468.78,0.4374702539264817
PV000070,2025-06-01,C0145,P003,U01,115.68,0.103,Entregue,4858.56,4358.13,2565.62,2025-06-15,2025-06-18,1792.5100000000002,0.41130255407709276
PV000071,2025-02-08,C0273,P003,U01,46.34,0.0023,Entregue,1946.28,1941.8,1029.18,2025-02-16,2025-02-14,912.6199999999999,0.4699866103615202
PV000072,2025-03-30,C0420,P008,U01,31.54,0.1196,Faturado,555.1,488.71,273.07,2025-04-04,2025-04-07,215.64,0.44124327310675043
PV000073,2024-06-06,C0077,P007,U02,43.67,0.0411,Entregue,427.97,410.38,195.1,2024-06-15,2024-06-14,215.28,0.524586968175837
PV000074,2026-07-01,C0191,P005,U02,28.25,0.0729,Faturado,895.52,830.24,437.48,2026-07-13,2026-07-13,392.76,0.4730680285218732
PV000075,2025-07-08,C0392,P007,U03,21.65,0.1359,Entregue,212.17,183.34,96.72,2025-07-11,2025-07-11,86.62,0.4724555470710156
PV000076,2026-07-26,C0404,P002,U01,37.69,0.16,Entregue,863.1,725.0,350.52,2026-08-07,2026-08-07,374.48,0.5165241379310345
PV000077,2024-02-12,C0263,P008,U01,5.18,0.0278,Faturado,91.17,88.64,43.21,2024-02-23,2024-02-21,45.43,0.5125225631768953
PV000078,2025-03-12,C0400,P003,U01,129.82,0.1786,Entregue,5452.44,4478.63,2806.87,2025-03-19,2025-03-20,1671.7600000000002,0.3732748630719662
PV000079,2025-05-15,C0302,P001,U03,103.9,0.0051,Entregue,1922.15,1912.35,722.71,2025-05-21,2025-05-24,1189.6399999999999,0.6220827777342013
PV000080,2024-01-13,C0038,P002,U01,134.34,0.1587,Entregue,3076.39,2588.17,1228.14,2024-01-16,2024-01-16,1360.03,0.5254793927755904
PV000081,2025-01-23,C0110,P003,U02,32.04,0.1568,Entregue,1345.68,1134.68,694.47,2025-01-29,2025-01-30,440.21000000000004,0.3879596009447598
PV000082,2025-10-03,C0460,P002,U02,18.28,0.1248,Entregue,418.61,366.37,187.29,2025-10-06,2025-10-06,179.08,0.488795479979256
PV000083,2026-07-14,C0334,P005,U02,12.9,0.0019,Entregue,408.93,408.15,182.15,2026-07-28,2026-07-28,225.99999999999997,0.5537179958348646
PV000084,2026-06-07,C0382,P001,U02,79.01,0.0593,Entregue,1461.69,1375.01,550.99,2026-06-15,2026-06-13,824.02,0.5992829143060777
PV000085,2025-08-29,C0415,P003,U01,35.5,0.0294,Entregue,1491.0,1447.16,685.99,2025-09-09,2025-09-10,761.1700000000001,0.5259750131291634
PV000086,2025-08-01,C0086,P006,U01,99.39,0.0737,Entregue,5466.45,5063.57,2808.41,2025-08-09,2025-08-07,2255.16,0.44536957127086224
PV000087,2025-06-12,C0396,P007,U02,63.17,0.0019,Entregue,619.07,617.89,242.78,2025-06-20,2025-06-19,375.11,0.6070821667287057
PV000088,2025-02-05,C0189,P002,U02,69.95,0.169,Entregue,1601.86,1331.15,640.51,2025-02-17,2025-02-15,690.6400000000001,0.5188295834428878
PV000089,2025-08-22,C0479,P008,U01,24.3,0.0314,Faturado,427.68,414.25,207.77,2025-09-05,2025-09-11,206.48,0.49844296922148457
PV000090,2025-02-22,C0239,P003,U01,20.61,0.0985,Entregue,865.62,780.36,400.15,2025-03-07,2025-03-09,380.21000000000004,0.48722384540468505
PV000091,2025-04-28,C0438,P001,U01,28.28,0.0761,Entregue,523.18,483.37,204.28,2025-05-03,2025-05-03,279.09000000000003,0.5773837846784038
PV000092,2025-05-17,C0097,P003,U01,33.28,0.1049,Entregue,1397.76,1251.13,702.5,2025-05-28,2025-05-30,548.6300000000001,0.438507589139418
PV000093,2025-05-30,C0276,P004,U02,92.71,0.0024,Entregue,1242.31,1239.33,500.89,2025-06-12,2025-06-15,738.4399999999999,0.5958380737979392
PV000095,2025-04-12,C0377,P003,U02,38.95,0.1385,Entregue,1635.9,1409.33,818.56,2025-04-21,2025-04-24,590.77,0.41918500280275023
PV000096,2025-06-27,C0195,P001,U02,21.61,0.0253,Faturado,399.78,389.67,179.88,2025-07-07,2025-07-07,209.79000000000002,0.5383786280699053
PV000097,2024-08-30,C0065,P007,U01,36.23,0.0305,Entregue,355.05,344.22,158.25,2024-09-03,2024-09-01,185.97000000000003,0.5402649468363256
PV000098,2024-08-10,C0382,P008,U03,91.31,0.0346,Entregue,1607.06,1551.46,674.31,2024-08-14,2024-08-14,877.1500000000001,0.5653706830985008
PV000099,2026-01-18,C0310,P002,U02,55.09,0.1793,Faturado,1261.56,1035.36,535.68,2026-01-27,2026-01-27,499.67999999999995,0.48261474269819193
PV000100,2024-11-18,C0312,P005,U01,61.72,0.1168,Entregue,1956.52,1728.0,881.9,2024-11-25,2024-11-25,846.1,0.48964120370370373
PV000101,2024-07-28,C0034,P003,U02,60.45,0.0376,Entregue,2538.9,2443.44,1136.0,2024-08-10,2024-08-13,1307.44,0.5350816881118423
PV000102,2024-04-28,C0072,P004,U01,124.29,0.1682,Entregue,1665.49,1385.35,752.31,2024-05-08,2024-05-06,633.04,0.45695311654094634
PV000103,2024-02-04,C0148,P002,U01,18.87,0.0048,Entregue,432.12,430.05,188.04,2024-02-11,2024-02-11,242.01000000000002,0.562748517614231
PV000104,2024-01-21,C0330,P006,U02,48.6,0.0801,Entregue,2673.0,2458.89,1364.75,2024-01-29,2024-01-28,1094.1399999999999,0.4449731382859745
PV000105,2024-01-21,C0118,P007,U02,58.46,0.0136,Entregue,572.91,565.12,240.83,2024-01-25,2024-01-26,324.28999999999996,0.5738427236693091
PV000106,2026-06-07,C0133,P002,U02,97.68,0.0668,Entregue,2236.87,2087.45,853.99,2026-06-20,2026-06-20,1233.4599999999998,0.5908931950465879
PV000107,2026-03-28,C0343,P008,U03,41.1,0.1688,Entregue,723.36,601.26,359.36,2026-04-11,2026-04-14,241.89999999999998,0.40232179090576453
PV000108,2026-01-21,C0316,P005,U01,247.5,0.0427,Entregue,7845.75,7510.74,3242.59,2026-02-01,2026-02-01,4268.15,0.5682728998740469
PV000109,2026-04-13,C0438,P003,U02,181.85,0.0081,Entregue,7637.7,7575.83,4000.23,2026-04-19,2026-04-19,3575.6,0.47197468792198344
PV000110,2025-04-14,C0349,P002,U01,132.53,0.1692,Entregue,3034.94,2521.43,1231.87,2025-04-27,2025-04-29,1289.56,0.5114399368612256
PV000111,2024-07-19,C0242,P004,U03,27.9,0.0236,Entregue,373.86,365.04,153.81,2024-07-27,2024-07-27,211.23000000000002,0.5786489151873767
PV000112,2025-09-26,C0422,P003,U01,17.3,0.0365,Entregue,726.6,700.08,348.44,2025-10-09,2025-10-09,351.64000000000004,0.5022854530910753
PV000113,2024-02-28,C0271,P008,U02,23.31,0.0042,Entregue,410.26,408.54,181.45,2024-03-05,2024-03-06,227.09000000000003,0.5558574435795761
PV000114,2024-04-27,C0337,P006,U03,68.62,0.0243,Entregue,3774.1,3682.39,1665.94,2024-04-30,2024-05-03,2016.4499999999998,0.5475927318942317
PV000115,2024-01-28,C0492,P003,U02,42.32,0.1011,Entregue,1777.44,1597.74,833.53,2024-02-02,2024-02-02,764.21,0.47830685843754306
PV000116,2024-11-15,C0444,P006,U03,6.77,0.178,Entregue,372.35,306.07,172.46,2024-11-27,2024-11-27,133.60999999999999,0.43653412618028553
PV000117,2025-12-05,C0166,P008,U01,495.12,0.0677,Faturado,8714.11,8124.16,4419.56,2025-12-18,2025-12-21,3704.5999999999995,0.4559979123995588
PV000118,2025-11-13,C0056,P008,U02,36.3,0.0013,Entregue,638.88,638.05,318.02,2025-11-18,2025-11-17,320.03,0.5015751116683645
PV000119,2025-01-22,C0398,P004,U01,56.51,0.0115,Faturado,757.23,748.52,318.29,2025-02-03,2025-02-02,430.22999999999996,0.5747742211296959
PV000120,2025-06-24,C0262,P008,U01,9.72,0.0259,Faturado,171.07,166.64,79.14,2025-06-27,2025-06-29,87.49999999999999,0.5250840134421507
PV000121,2025-04-21,C0439,P002,U03,47.21,0.0544,Faturado,1081.11,1022.3,408.86,2025-04-24,2025-04-24,613.4399999999999,0.6000586911865401
PV000122,2025-02-08,C0283,P007,U02,67.08,0.0033,Entregue,657.38,655.21,278.32,2025-02-20,2025-02-18,376.89000000000004,0.5752201584224905
PV000123,2024-06-29,C0024,P002,U02,25.13,0.0694,Faturado,575.48,535.54,241.75,2024-07-08,2024-07-09,293.78999999999996,0.5485864734660343
PV000124,2025-06-29,C0045,P005,U01,22.53,0.0871,Entregue,714.2,651.99,347.65,2025-07-12,2025-07-14,304.34000000000003,0.4667863004033805
PV000125,2025-05-21,C0499,P006,U03,15.58,0.0704,Entregue,856.9,796.57,371.96,2025-05-29,2025-05-27,424.61000000000007,0.533047943055852
PV000126,2025-12-15,C0327,P002,U01,48.15,0.1062,Entregue,1102.64,985.54,476.66,2025-12-25,2025-12-31,508.87999999999994,0.5163463684883414
PV000127,2025-02-15,C0361,P006,U01,16.27,0.0264,Faturado,894.85,871.23,436.53,2025-02-24,2025-02-27,434.70000000000005,0.4989497606831721
PV000128,2025-07-01,C0371,P005,U01,129.53,0.0412,Entregue,4106.1,3936.93,1883.04,2025-07-11,2025-07-11,2053.89,0.5216983791939405
PV000129,2025-01-30,C0342,P008,U01,8.51,0.0495,Entregue,149.78,142.37,70.45,2025-02-07,2025-02-05,71.92,0.5051626044812811
PV000130,2026-01-29,C0191,P003,U03,13.94,0.0945,Entregue,585.48,530.15,303.16,2026-02-08,2026-02-07,226.98999999999995,0.42816184098839943
PV000131,2025-09-09,C0343,P005,U01,106.13,0.1545,Entregue,3364.32,2844.53,1624.21,2025-09-20,2025-09-22,1220.3200000000002,0.429005846308529
PV000132,2024-09-24,C0341,P001,U02,87.77,0.0078,Faturado,1623.74,1611.07,621.72,2024-10-05,2024-10-11,989.3499999999999,0.6140949803546711
PV000133,2026-01-18,C0218,P003,U02,170.83,0.0028,Entregue,7174.86,7154.77,3533.08,2026-01-29,2026-01-29,3621.6900000000005,0.5061923723613757
PV000134,2025-04-10,C0257,P006,U01,24.3,0.0575,Entregue,1336.5,1259.65,687.61,2025-04-23,2025-04-23,572.0400000000001,0.4541261461517088
PV000135,2024-06-24,C0196,P006,U02,9.44,0.0682,Entregue,519.2,483.79,248.21,2024-07-08,2024-07-08,235.58,0.4869468157671717
PV000136,2024-05-17,C0178,P006,U01,101.22,0.1531,Entregue,5567.1,4714.78,2376.86,2024-05-25,2024-05-24,2337.9199999999996,0.4958704329788452
PV000137,2026-05-08,C0419,P005,U01,37.23,0.0584,Faturado,1180.19,1111.27,592.43,2026-05-19,2026-05-18,518.84,0.466889234839418
PV000138,2024-01-28,C0127,P005,U02,54.83,0.0421,Cancelado,1738.11,1664.94,859.43,2024-02-05,2024-02-05,805.5100000000001,0.48380722428435863
PV000139,2025-11-05,C0216,P004,U01,73.91,0.0203,Entregue,990.39,970.29,452.36,2025-11-18,2025-11-18,517.93,0.5337888672458749
PV000140,2025-11-18,C0132,P002,U03,19.55,0.1359,Cancelado,447.7,386.86,174.67,2025-12-01,2025-12-04,212.19000000000003,0.5484929948818694
PV000141,2024-03-12,C0076,P008,U01,216.35,0.0462,Faturado,3807.76,3631.84,1839.81,2024-03-24,2024-03-26,1792.0300000000002,0.493422067051412
PV000142,2025-07-29,C0016,P008,U01,25.08,0.0277,Entregue,441.41,429.18,186.81,2025-08-10,2025-08-09,242.37,0.5647280861177129
PV000143,2024-06-13,C0125,P007,U01,30.44,0.1703,Entregue,298.31,247.51,139.19,2024-06-20,2024-06-18,108.32,0.4376388832774433
PV000144,2025-01-05,C0057,P005,U02,62.97,0.0022,Entregue,1996.15,1991.76,883.78,2025-01-09,2025-01-09,1107.98,0.5562818813511669
PV000145,2025-03-11,C0217,P007,U03,51.86,0.1258,Entregue,508.23,444.29,225.09,2025-03-23,2025-03-22,219.20000000000002,0.4933714465776858
PV000146,2024-08-05,C0448,P001,U02,28.44,0.142,Entregue,526.14,451.43,224.76,2024-08-11,2024-08-13,226.67000000000002,0.5021154996344949
PV000147,2025-08-08,C0212,P005,U01,128.09,0.1444,Entregue,4060.45,3474.12,1685.23,2025-08-14,2025-08-14,1788.8899999999999,0.514918885933704
PV000148,2024-02-15,C0339,P005,U02,64.16,0.1026,Entregue,2033.87,1825.19,945.73,2024-02-19,2024-02-19,879.46,0.4818457256504802
PV000149,2026-07-07,C0042,P005,U01,22.76,0.1125,Entregue,721.49,640.32,335.48,2026-07-14,2026-07-12,304.84000000000003,0.4760744627686157
PV000150,2024-12-29,C0381,P002,U01,48.39,0.1205,Entregue,1108.13,974.6,418.42,2025-01-07,2025-01-09,556.1800000000001,0.5706751487789863
PV000151,2026-07-21,C0012,P006,U03,146.28,0.0701,Entregue,8045.4,7481.42,4004.66,2026-07-28,2026-07-29,3476.76,0.46471926452464907
PV000152,2026-05-01,C0149,P006,U01,113.9,0.1564,Faturado,6264.5,5284.73,2967.87,2026-05-12,2026-05-12,2316.8599999999997,0.4384065032650674
PV000153,2026-06-25,C0037,P004,U01,25.84,0.159,Entregue,346.26,291.2,153.31,2026-06-30,2026-06-30,137.89,0.47352335164835163
PV000154,2024-11-27,C0384,P005,U01,82.77,0.1074,Entregue,2623.81,2342.01,1264.47,2024-12-07,2024-12-07,1077.5400000000002,0.46009197228022086
PV000155,2026-01-31,C0313,P001,U01,41.48,0.0158,Entregue,767.38,755.26,334.66,2026-02-13,2026-02-16,420.59999999999997,0.5568943145406879
PV000156,2025-04-14,C0195,P007,U02,106.07,0.1234,Entregue,1039.49,911.22,447.57,2025-04-26,2025-04-24,463.65000000000003,0.5088233357476789
PV000157,2025-01-09,C0485,P002,U01,16.35,0.1703,Entregue,374.42,310.66,149.83,2025-01-23,2025-01-26,160.83,0.5177042425803129
PV000158,2025-03-08,C0008,P005,U01,40.9,0.0706,Entregue,1296.53,1204.99,636.49,2025-03-16,2025-03-16,568.5,0.4717881476194823
PV000159,2026-01-03,C0075,P003,U02,123.5,0.026,Entregue,5187.0,5052.14,2548.53,2026-01-16,2026-01-17,2503.61,0.4955543591428583
PV000160,2026-03-08,C0433,P006,U02,61.25,0.0111,Entregue,3368.75,3331.36,1612.25,2026-03-18,2026-03-21,1719.1100000000001,0.5160384947889151
PV000161,2024-02-02,C0378,P002,U03,12.4,0.1336,Entregue,283.96,246.02,116.57,2024-02-05,2024-02-08,129.45000000000002,0.5261767335988945
PV000162,2025-10-13,C0108,P007,U03,51.82,0.1507,Entregue,507.84,431.31,229.57,2025-10-27,2025-10-27,201.74,0.46773782198418773
PV000163,2026-03-12,C0302,P004,U01,19.74,0.1703,Entregue,264.52,219.47,121.08,2026-03-24,2026-03-22,98.39,0.4483072857338133
PV000164,2024-07-01,C0483,P001,U03,6.53,0.1165,Entregue,120.8,106.73,48.75,2024-07-08,2024-07-09,57.980000000000004,0.5432399512789281
PV000165,2024-05-21,C0280,P008,U01,111.67,0.0626,Entregue,1965.39,1842.36,886.62,2024-05-26,2024-05-26,955.7399999999999,0.5187585488178206
PV000166,2024-04-15,C0123,P008,U01,157.49,0.0611,Entregue,2771.82,2602.46,1395.46,2024-04-19,2024-04-21,1207.0,0.46379195069280604
PV000167,2024-10-20,C0005,P004,U01,181.97,0.0271,Entregue,2438.4,2372.32,1028.97,2024-11-02,2024-11-02,1343.3500000000001,0.566260032373373
PV000168,2025-05-04,C0295,P002,U03,15.71,0.0838,Entregue,359.76,329.61,142.55,2025-05-12,2025-05-10,187.06,0.5675191893449835
PV000169,2025-11-17,C0035,P002,U01,13.27,0.091,Entregue,303.88,276.23,135.32,2025-11-28,2025-11-28,140.91000000000003,0.5101183796111937
PV000170,2024-06-06,C0290,P002,U03,10.4,0.0849,Entregue,238.16,217.94,99.9,2024-06-16,2024-06-22,118.03999999999999,0.5416169587959989
PV000171,2024-01-09,C0340,P007,U01,41.58,0.0092,Faturado,407.48,403.73,192.91,2024-01-22,2024-01-20,210.82000000000002,0.5221806652961137
PV000172,2026-07-22,C0269,P006,U01,214.36,0.0463,Entregue,11789.8,11243.93,5476.49,2026-08-04,2026-08-05,5767.4400000000005,0.5129380919304906
PV000173,2024-08-23,C0272,P002,U01,26.71,0.1212,Faturado,611.66,537.53,238.83,2024-09-05,2024-09-05,298.69999999999993,0.5556899149814893
PV000174,2026-01-21,C0461,P008,U02,26.02,0.0548,Entregue,457.95,432.85,222.32,2026-01-29,2026-01-29,210.53000000000003,0.4863809633822341
PV000175,2024-07-09,C0152,P007,U03,54.03,0.0228,Entregue,529.49,517.42,220.71,2024-07-17,2024-07-16,296.7099999999999,0.5734413049360286
PV000176,2025-12-29,C0477,P005,U02,8.55,0.0848,Entregue,271.04,248.06,127.83,2026-01-08,2026-01-06,120.23,0.484681125534145
PV000177,2024-05-26,C0490,P001,U02,14.06,0.0852,Entregue,260.11,237.95,104.37,2024-06-02,2024-06-02,133.57999999999998,0.5613784408489177
PV000178,2024-02-13,C0477,P005,U02,44.94,0.0616,Entregue,1424.6,1336.84,644.13,2024-02-24,2024-02-25,692.7099999999999,0.5181697136530924
