inspecao_id,lote_id,ph,viscosidade_cp,resultado,tempo_liberacao_h
IQ000165,L000165,7.75,4416.0,Aprovado,3.0
IQ000166,L000166,5.37,4945.0,Aprovado,4.2
IQ000167,L000167,8.53,5758.0,Aprovado,7.5
IQ000168,L000168,7.99,6338.0,Aprovado com desvio,11.6
IQ000169,L000169,7.91,5122.0,Aprovado,4.2
IQ000170,L000170,6.78,4465.0,Aprovado com desvio,21.3
IQ000171,L000171,7.49,4609.0,Aprovado,3.2
IQ000172,L000172,7.87,5390.0,Aprovado,12.0
IQ000173,L000173,7.11,4748.0,Aprovado,4.4
IQ000174,L000174,6.49,4350.0,Aprovado,12.0
IQ000175,L000175,5.85,5603.0,Aprovado,16.1
IQ000176,L000176,8.05,4473.0,Aprovado,16.7
IQ000177,L000177,7.99,6147.0,Aprovado,14.4
IQ000178,L000178,7.21,4877.0,Aprovado,33.5
IQ000179,L000179,8.64,5115.0,Aprovado,2.6
IQ000180,L000180,6.6,4476.0,Aprovado,1.8
IQ000181,L000181,6.25,5402.0,Aprovado,22.1
IQ000182,L000182,7.88,4487.0,Aprovado,27.2
IQ000183,L000183,8.3,6056.0,Aprovado,13.2
IQ000184,L000184,7.56,5248.0,Aprovado,20.3
IQ000185,L000185,5.63,4214.0,Reprovado,37.9
IQ000186,L000186,5.93,3844.0,Aprovado,9.2
IQ000187,L000187,5.96,5391.0,Aprovado,10.8
IQ000188,L000188,8.0,4653.0,Aprovado,2.8
IQ000189,L000189,7.7,4274.0,Aprovado,29.0
IQ000190,L000190,6.79,5553.0,Aprovado,1.3
IQ000191,L000191,6.76,5177.0,Aprovado,1.6
IQ000192,L000192,8.25,5105.0,Aprovado,3.0
IQ000193,L000193,7.2,3515.0,Aprovado,2.6
IQ000194,L000194,7.65,5965.0,Aprovado,10.4
IQ000195,L000195,6.36,5687.0,Aprovado,25.0
IQ000196,L000196,7.0,3613.0,Aprovado com desvio,4.4
IQ000197,L000197,7.79,5311.0,Aprovado,7.5
IQ000198,L000198,8.23,5498.0,Aprovado,4.5
IQ000199,L000199,7.34,5719.0,Aprovado,10.9
IQ000200,L000200,6.54,5643.0,Aprovado,9.6
IQ000201,L000201,7.3,5115.0,Aprovado,8.1
IQ000202,L000202,4.64,3987.0,Aprovado,6.6
IQ000203,L000203,6.75,5382.0,Aprovado,4.5
IQ000204,L000204,7.11,5580.0,Aprovado,2.2
IQ000205,L000205,6.72,5691.0,Aprovado,10.0
IQ000206,L000206,7.23,4661.0,Aprovado,12.4
IQ000207,L000207,6.86,4575.0,Aprovado,31.8
IQ000208,L000208,7.16,5722.0,Aprovado,8.8
IQ000209,L000209,7.16,5277.0,Aprovado,9.2
IQ000210,L000210,6.27,5895.0,Aprovado,27.7
IQ000211,L000211,6.18,5788.0,Aprovado com desvio,19.4
IQ000212,L000212,7.95,5631.0,Aprovado,18.1
IQ000213,L000213,7.17,4753.0,Aprovado,8.3
IQ000214,L000214,7.09,5532.0,Aprovado,22.4
IQ000215,L000215,7.35,6067.0,Aprovado,10.8
IQ000216,L000216,7.33,5535.0,Aprovado,6.3
IQ000217,L000217,6.59,5390.0,Aprovado,6.7
IQ000218,L000218,8.57,5029.0,Aprovado,4.1
IQ000219,L000219,6.99,5757.0,Aprovado,17.8
IQ000220,L000220,8.68,5540.0,Aprovado,7.4
IQ000221,L000221,6.72,5129.0,Aprovado,2.2
IQ000222,L000222,7.16,4304.0,Aprovado,1.7
IQ000223,L000223,5.57,4533.0,Aprovado,9.3
IQ000224,L000224,6.65,5561.0,Aprovado,5.8
IQ000225,L000225,7.36,5091.0,Aprovado,5.5
IQ000226,L000226,8.2,4727.0,Aprovado,17.1
IQ000227,L000227,7.22,6175.0,Aprovado,19.7
IQ000228,L000228,7.8,5325.0,Aprovado,9.9
IQ000229,L000229,9.62,5234.0,Aprovado,9.8
IQ000230,L000230,6.76,4072.0,Aprovado,21.3
IQ000231,L000231,7.49,3943.0,Aprovado,49.6
IQ000232,L000232,7.86,5229.0,Aprovado,11.1
IQ000233,L000233,7.39,5613.0,Aprovado,11.1
IQ000234,L000234,6.63,4422.0,Aprovado,5.2
IQ000236,L000236,5.8,4737.0,Aprovado,18.0
IQ000237,L000237,6.65,5237.0,Aprovado,5.7
IQ000238,L000238,7.99,6135.0,Aprovado,11.5
IQ000239,L000239,6.92,6894.0,Aprovado,6.0
IQ000240,L000240,7.03,4718.0,Aprovado,7.8
IQ000241,L000241,6.24,5016.0,Aprovado,6.1
IQ000242,L000242,6.16,5278.0,Aprovado,12.3
IQ000243,L000243,6.32,5898.0,Aprovado,17.6
IQ000244,L000244,6.33,4783.0,Aprovado,12.8
IQ000245,L000245,8.05,5253.0,Aprovado,18.0
IQ000246,L000246,7.25,4847.0,Aprovado,7.3
IQ000247,L000247,7.38,5343.0,Aprovado com desvio,12.2
IQ000248,L000248,7.93,5622.0,Aprovado,3.2
IQ000249,L000249,6.91,4814.0,Aprovado,23.0
IQ000250,L000250,6.99,5717.0,Aprovado,9.0
IQ000251,L000251,7.7,5827.0,Aprovado,15.8
IQ000252,L000252,6.93,4518.0,Aprovado,10.6
IQ000253,L000253,5.5,5230.0,Aprovado,8.2
IQ000254,L000254,5.34,4539.0,Aprovado,19.4
IQ000255,L000255,6.39,5804.0,Aprovado,7.5
IQ000256,L000256,6.58,5350.0,Aprovado,1.9
IQ000257,L000257,7.11,5354.0,Aprovado,14.9
IQ000258,L000258,7.71,4651.0,Aprovado,5.6
IQ000259,L000259,7.77,6149.0,Aprovado,7.7
IQ000260,L000260,8.2,5026.0,Aprovado,4.8
IQ000261,L000261,5.61,5090.0,Aprovado,9.1
IQ000262,L000262,6.23,5229.0,Aprovado,5.6
IQ000263,L000263,7.92,4793.0,Aprovado,8.5
IQ000264,L000264,5.27,4566.0,Aprovado,24.0
IQ000265,L000265,6.9,5559.0,Aprovado,2.9
IQ000266,L000266,6.25,4619.0,Aprovado,4.8
IQ000267,L000267,7.91,5577.0,Aprovado,12.1
IQ000268,L000268,6.33,5737.0,Aprovado,22.4
IQ000269,L000269,7.17,5209.0,Aprovado,18.1
IQ000270,L000270,6.86,4917.0,Reprovado,1.8
IQ000271,L000271,7.77,5846.0,Aprovado,7.2
IQ000272,L000272,7.38,6016.0,Aprovado,22.6
IQ000273,L000273,8.09,6474.0,Reprovado,18.6
IQ000274,L000274,7.47,4394.0,Aprovado,11.4
IQ000275,L000275,6.96,4947.0,Aprovado,15.3
IQ000276,L000276,8.26,5422.0,Aprovado,3.7
IQ000277,L000277,6.16,5936.0,Aprovado,10.0
IQ000278,L000278,8.52,5566.0,Aprovado,9.2
IQ000279,L000279,7.51,6095.0,Aprovado,11.8
IQ000280,L000280,7.37,6061.0,Aprovado,16.9
IQ000281,L000281,7.55,6112.0,Aprovado com desvio,17.8
IQ000282,L000282,6.46,4725.0,Aprovado,15.6
IQ000283,L000283,8.17,4415.0,Aprovado,13.9
IQ000284,L000284,6.6,5613.0,Aprovado,3.8
IQ000285,L000285,5.78,5249.0,Aprovado,12.3
IQ000286,L000286,8.64,4598.0,Aprovado,11.1
IQ000287,L000287,7.92,4143.0,Aprovado,4.8
IQ000288,L000288,9.09,5687.0,Aprovado,13.2
IQ000289,L000289,7.25,5396.0,Aprovado com desvio,7.8
IQ000290,L000290,6.51,5423.0,Reprovado,2.5
IQ000291,L000291,8.11,4406.0,Aprovado,10.4
IQ000292,L000292,7.35,4395.0,Aprovado,6.6
IQ000293,L000293,6.98,5232.0,Aprovado,15.2
IQ000294,L000294,6.0,5006.0,Aprovado com desvio,13.7
IQ000295,L000295,6.35,5591.0,Aprovado,30.5
IQ000296,L000296,7.06,4770.0,Aprovado,9.0
IQ000297,L000297,7.53,5062.0,Aprovado,33.5
IQ000298,L000298,7.17,4213.0,Aprovado,11.6
IQ000299,L000299,7.44,6754.0,Aprovado,14.6
IQ000300,L000300,8.16,5631.0,Aprovado,9.6
IQ000301,L000301,6.91,5678.0,Aprovado,10.3
IQ000302,L000302,9.09,5503.0,Aprovado,3.9
IQ000303,L000303,8.67,5643.0,Aprovado,11.3
IQ000304,L000304,6.37,4737.0,Aprovado,6.8
IQ000305,L000305,6.18,4314.0,Aprovado,5.6
IQ000306,L000306,6.34,4971.0,Aprovado,5.4
IQ000307,L000307,7.7,4883.0,Aprovado,3.0
IQ000308,L000308,6.92,4619.0,Aprovado,11.9
IQ000309,L000309,7.08,4786.0,Reprovado,18.5
IQ000310,L000310,6.93,4795.0,Aprovado com desvio,3.8
IQ000311,L000311,8.14,5343.0,Aprovado,4.7
IQ000312,L000312,6.18,4477.0,Aprovado,3.3
IQ000313,L000313,6.71,5660.0,Aprovado,13.0
IQ000314,L000314,8.53,5075.0,Aprovado,14.4
IQ000315,L000315,7.47,6235.0,Aprovado,7.4
IQ000316,L000316,6.4,5759.0,Aprovado,8.9
IQ000317,L000317,7.06,5329.0,Aprovado,6.6
IQ000318,L000318,6.84,5689.0,Aprovado,2.8
IQ000319,L000319,6.94,5838.0,Aprovado,3.7
IQ000320,L000320,7.49,4520.0,Aprovado,11.6
IQ000321,L000321,7.16,5347.0,Aprovado,3.1
IQ000322,L000322,6.24,5918.0,Aprovado,12.7
IQ000323,L000323,6.36,5304.0,Aprovado,19.8
IQ000324,L000324,7.14,5266.0,Aprovado,5.7
IQ000325,L000325,6.74,5177.0,Aprovado,10.8
IQ000326,L000326,8.03,4626.0,Aprovado,10.6
IQ000327,L000327,5.76,5051.0,Aprovado,4.6
IQ000328,L000328,6.46,6330.0,Aprovado,25.6
IQ000329,L000329,6.49,5376.0,Aprovado,37.5
IQ000330,L000330,6.52,3949.0,Aprovado,22.5
IQ000331,L000331,5.65,5712.0,Aprovado,14.7
IQ000332,L000332,8.24,3597.0,Aprovado,10.6
IQ000333,L000333,4.98,5281.0,Aprovado,3.5
IQ000334,L000334,8.43,5088.0,Aprovado,13.1
IQ000335,L000335,6.09,5704.0,Aprovado,10.0
IQ000336,L000336,7.05,5726.0,Aprovado,13.4
IQ000337,L000337,6.97,5316.0,Aprovado,8.3
IQ000338,L000338,8.14,4413.0,Aprovado,13.6
IQ000339,L000339,6.33,6016.0,Aprovado com desvio,20.6
IQ000340,L000340,7.74,5101.0,Aprovado,2.2
IQ000341,L000341,7.08,4865.0,Aprovado,23.3
IQ000342,L000342,7.52,5066.0,Aprovado,4.1
IQ000343,L000343,7.26,5333.0,Aprovado,18.2
IQ000344,L000344,7.13,5224.0,Aprovado,16.4
IQ000345,L000345,6.64,5775.0,Aprovado,2.4
IQ000346,L000346,8.12,4916.0,Aprovado,13.1
IQ000347,L000347,8.43,5899.0,Aprovado,19.3
IQ000348,L000348,7.04,4380.0,Aprovado,4.5
IQ000349,L000349,7.9,5269.0,Aprovado,4.3
IQ000350,L000350,8.45,4529.0,Aprovado,11.6
IQ000351,L000351,7.3,5080.0,Aprovado,3.0
IQ000352,L000352,6.45,5003.0,Aprovado,9.4
IQ000353,L000353,6.01,5179.0,Aprovado,2.1
IQ000354,L000354,7.25,5510.0,Aprovado,30.6
IQ000355,L000355,3.81,4606.0,Aprovado,9.3
IQ000356,L000356,6.73,5948.0,Aprovado,8.3
IQ000357,L000357,6.2,5713.0,Aprovado,20.9
IQ000358,L000358,7.7,4876.0,Aprovado,11.1
IQ000359,L000359,5.96,5542.0,Aprovado,6.9
IQ000360,L000360,9.01,6336.0,Aprovado,4.2
IQ000361,L000361,6.68,5065.0,Aprovado,5.7
IQ000362,L000362,6.23,4597.0,Aprovado,16.9
IQ000363,L000363,6.97,5213.0,Aprovado,2.0
IQ000365,L000365,7.53,5620.0,Aprovado,18.8
IQ000366,L000366,7.45,5186.0,Aprovado,1.3
IQ000367,L000367,6.49,5339.0,Aprovado,15.9
IQ000368,L000368,6.72,4698.0,Aprovado com desvio,11.1
IQ000369,L000369,5.57,5064.0,Aprovado,10.6
IQ000370,L000370,6.31,5772.0,Aprovado,32.3
IQ000371,L000371,6.18,5562.0,Aprovado,18.4
IQ000372,L000372,7.15,6114.0,Aprovado,7.9
IQ000373,L000373,6.47,5458.0,Aprovado,10.1
IQ000374,L000374,8.75,4153.0,Aprovado,2.1
IQ000375,L000375,7.48,6529.0,Aprovado,4.2
IQ000376,L000376,8.01,4616.0,Aprovado,2.9
IQ000377,L000377,5.58,5159.0,Aprovado,4.7
IQ000378,L000378,7.0,4715.0,Aprovado,27.5
IQ000379,L000379,8.68,4829.0,Aprovado,11.3
IQ000380,L000380,8.9,4805.0,Aprovado,5.7
IQ000381,L000381,7.7,5325.0,Aprovado,9.1
IQ000382,L000382,5.85,5764.0,Aprovado,11.1
IQ000383,L000383,6.57,4449.0,Aprovado,7.4
IQ000384,L000384,8.1,3689.0,Aprovado,13.5
IQ000386,L000386,9.51,5079.0,Aprovado,24.2
IQ000387,L000387,7.13,5366.0,Aprovado,1.7
IQ000388,L000388,7.33,5885.0,Aprovado,12.1
IQ000389,L000389,5.87,5066.0,Aprovado com desvio,4.8
IQ000390,L000390,7.4,4590.0,Aprovado,32.0
IQ000391,L000391,6.86,6080.0,Aprovado,24.8
IQ000392,L000392,7.52,5607.0,Aprovado,21.9
IQ000393,L000393,6.6,4104.0,Aprovado,10.7
IQ000394,L000394,7.95,4629.0,Aprovado,13.5
IQ000395,L000395,6.34,5736.0,Aprovado,2.1
IQ000396,L000396,8.46,5893.0,Aprovado,1.3
IQ000397,L000397,6.54,5299.0,Aprovado,27.6
IQ000398,L000398,6.84,5454.0,Aprovado,7.4
IQ000399,L000399,6.17,5091.0,Aprovado,18.7
IQ000400,L000400,7.83,5291.0,Aprovado,11.0
IQ000401,L000401,5.12,4697.0,Aprovado,2.9
IQ000402,L000402,7.25,4622.0,Aprovado,12.4
IQ000403,L000403,6.66,5960.0,Aprovado,18.2
IQ000404,L000404,8.09,5582.0,Aprovado,13.5
IQ000405,L000405,7.37,5404.0,Aprovado,10.8
IQ000406,L000406,8.81,5999.0,Aprovado,6.8
IQ000407,L000407,7.43,6047.0,Aprovado,8.8
IQ000408,L000408,7.17,5199.0,Aprovado,8.9
IQ000409,L000409,6.57,5064.0,Aprovado,5.4
IQ000410,L000410,6.72,4886.0,Aprovado,29.0
IQ000411,L000411,6.99,4485.0,Aprovado,7.1
IQ000412,L000412,8.07,5954.0,Aprovado,15.7
IQ000413,L000413,5.17,5590.0,Aprovado,17.3
IQ000414,L000414,6.76,5681.0,Aprovado,12.4
IQ000415,L000415,7.35,5181.0,Aprovado,14.2
IQ000416,L000416,7.63,4077.0,Aprovado,26.8
IQ000417,L000417,6.53,5482.0,Aprovado,19.6
IQ000418,L000418,7.62,5408.0,Aprovado,2.6
IQ000419,L000419,7.68,5496.0,Reprovado,15.5
IQ000420,L000420,5.82,4484.0,Aprovado,14.9
IQ000421,L000421,6.95,5321.0,Aprovado,18.3
IQ000422,L000422,5.97,4777.0,Aprovado,3.3
IQ000423,L000423,8.11,5930.0,Aprovado,21.0
IQ000424,L000424,7.74,5309.0,Aprovado,23.9
IQ000425,L000425,7.12,5678.0,Aprovado,3.0
IQ000426,L000426,6.61,5736.0,Aprovado,8.4
IQ000427,L000427,8.98,5222.0,Aprovado,5.4
IQ000428,L000428,7.38,5532.0,Aprovado,14.1
IQ000429,L000429,7.78,5442.0,Aprovado,19.6
IQ000430,L000430,7.59,4981.0,Aprovado,3.3
IQ000431,L000431,7.72,5818.0,Aprovado,1.6
IQ000432,L000432,8.17,6016.0,Aprovado,1.8
IQ000433,L000433,7.56,4899.0,Aprovado,5.0
IQ000434,L000434,6.52,5188.0,Aprovado,3.9
IQ000435,L000435,7.4,4683.0,Aprovado,17.9
IQ000436,L000436,5.52,5722.0,Aprovado,3.3
IQ000437,L000437,7.97,4816.0,Aprovado,15.1
IQ000438,L000438,6.24,4760.0,Aprovado,13.9
IQ000439,L000439,7.05,6284.0,Aprovado,21.4
IQ000440,L000440,7.28,6026.0,Aprovado,7.5
IQ000441,L000441,7.0,5106.0,Aprovado,9.2
IQ000442,L000442,8.05,4405.0,Aprovado,10.4
IQ000443,L000443,7.57,4836.0,Aprovado,8.3
IQ000444,L000444,7.11,5267.0,Aprovado,18.1
IQ000445,L000445,6.19,5110.0,Aprovado,8.5
IQ000446,L000446,8.37,3523.0,Aprovado,12.5
IQ000447,L000447,5.46,5576.0,Aprovado,18.9
IQ000448,L000448,6.3,4808.0,Reprovado,5.7
IQ000449,L000449,7.7,4127.0,Aprovado,20.7
IQ000450,L000450,6.88,5084.0,Aprovado,7.6
IQ000451,L000451,5.53,5785.0,Aprovado,14.6
IQ000452,L000452,6.78,4489.0,Aprovado com desvio,12.3
IQ000453,L000453,6.85,5340.0,Aprovado,8.8
IQ000454,L000454,7.92,4965.0,Aprovado com desvio,23.6
IQ000455,L000455,8.18,5018.0,Aprovado,4.8
IQ000456,L000456,7.13,5509.0,Aprovado,16.1
IQ000457,L000457,7.39,5707.0,Aprovado,7.6
IQ000458,L000458,7.88,5974.0,Aprovado,11.1
IQ000459,L000459,6.82,5826.0,Reprovado,14.0
IQ000460,L000460,7.59,5319.0,Aprovado,11.4
IQ000461,L000461,7.46,5074.0,Aprovado,8.9
IQ000462,L000462,8.7,5093.0,Aprovado,7.1
IQ000463,L000463,6.02,4635.0,Aprovado,3.6
IQ000464,L000464,7.79,5074.0,Aprovado,7.5
IQ000465,L000465,5.73,5962.0,Aprovado,9.3
IQ000466,L000466,5.9,4260.0,Aprovado,5.0
IQ000467,L000467,5.87,5006.0,Aprovado,3.3
IQ000468,L000468,6.06,4872.0,Aprovado,17.8
IQ000469,L000469,5.78,4771.0,Aprovado,1.0
IQ000470,L000470,7.61,5825.0,Aprovado,9.6
IQ000471,L000471,8.06,5365.0,Aprovado,18.0
IQ000472,L000472,6.89,4909.0,Aprovado,12.7
IQ000473,L000473,6.6,5176.0,Aprovado,3.0
IQ000474,L000474,5.34,5187.0,Aprovado,10.4
IQ000475,L000475,7.75,3897.0,Reprovado,7.7
IQ000476,L000476,7.97,3970.0,Aprovado,4.6
IQ000477,L000477,7.41,4357.0,Aprovado,21.8
IQ000478,L000478,5.55,5465.0,Aprovado,1.9
IQ000479,L000479,6.73,4318.0,Aprovado,24.7
IQ000480,L000480,6.9,4643.0,Aprovado,7.6
IQ000481,L000481,9.03,5211.0,Aprovado,13.7
IQ000482,L000482,7.87,4972.0,Aprovado com desvio,13.8
IQ000483,L000483,5.47,5151.0,Aprovado,5.1
IQ000484,L000484,5.56,4983.0,Aprovado,4.7
