pedido_compra_id,data_pedido,fornecedor_id,unidade_id,material,quantidade_kg,custo_unitario,data_prevista,data_recebimento,status_qualidade,entrega_no_prazo,valor_compra
PC000019,2024-08-14,F013,U03,Isocianato,480.59,33.41,2024-08-22,2024-08-21,Aprovado,True,16056.511899999998
PC000020,2024-01-13,F018,U01,Isocianato,528.56,45.51,2024-02-05,2024-02-06,Aprovado,False,24054.765599999995
PC000021,2025-10-19,F025,U03,Silicone Base,38.55,30.65,2025-11-01,2025-11-01,Aprovado,True,1181.5575
PC000022,2025-07-09,F027,U02,Solvente,351.25,13.83,2025-07-28,2025-07-29,Aprovado,False,4857.7875
PC000023,2024-05-28,F020,U02,Silicone Base,159.75,36.44,2024-06-01,2024-06-06,Aprovado,False,5821.29
PC000024,2025-10-03,F021,U01,Carga Mineral,175.31,16.36,2025-10-11,2025-10-16,Aprovado,False,2868.0715999999998
PC000025,2025-12-17,F015,U02,Poliol,143.24,15.14,2025-12-26,2025-12-31,Aprovado,False,2168.6536
PC000026,2025-07-29,F002,U03,Poliol,414.72,41.27,2025-08-18,2025-08-18,Aprovado,True,17115.494400000003
PC000027,2024-08-14,F001,U03,Embalagem,178.76,4.47,2024-09-04,2024-09-09,Aprovado,False,799.0572
PC000028,2025-03-10,F026,U03,Solvente,276.52,3.89,2025-03-19,2025-03-19,Aprovado,True,1075.6628
PC000029,2026-05-07,F024,U02,Solvente,169.85,8.06,2026-05-25,2026-05-25,Aprovado,True,1368.991
PC000030,2024-10-09,F012,U03,Carga Mineral,223.99,26.37,2024-10-22,2024-10-23,Aprovado,False,5906.616300000001
PC000031,2024-05-18,F021,U02,Silicone Base,91.8,45.79,2024-05-25,2024-05-25,Aprovado,True,4203.522
PC000032,2026-07-09,F015,U01,Solvente,498.4,7.96,2026-07-25,2026-07-24,Aprovado,True,3967.2639999999997
PC000033,2024-06-15,F008,U01,Isocianato,593.63,46.56,2024-06-24,2024-06-25,Aprovado,False,27639.412800000002
PC000034,2025-10-22,F007,U03,Carga Mineral,291.42,41.87,2025-11-09,2025-11-09,Aprovado,True,12201.7554
PC000035,2026-03-01,F028,U02,Pigmento,213.88,6.79,2026-03-18,2026-03-17,Aprovado,True,1452.2452
PC000036,2024-05-19,F028,U01,Silicone Base,211.62,45.94,2024-05-29,2024-05-27,Aprovado,True,9721.8228
PC000037,2025-04-29,F029,U01,Poliol,609.55,38.05,2025-05-22,2025-05-24,Aprovado,False,23193.377499999995
PC000038,2025-10-20,F022,U01,Isocianato,279.57,12.56,2025-11-07,2025-11-07,Aprovado,True,3511.3992
PC000039,2026-01-09,F030,U03,Aditivo,244.48,40.41,2026-01-29,2026-01-29,Aprovado,True,9879.4368
PC000040,2024-08-31,F024,U02,Isocianato,181.02,44.4,2024-09-22,2024-09-20,Aprovado,True,8037.2880000000005
PC000041,2025-01-08,F029,U02,Silicone Base,128.74,45.37,2025-01-15,2025-01-17,Aprovado,False,5840.9338
PC000042,2024-03-07,F023,U02,Aditivo,748.83,22.12,2024-03-18,2024-03-17,Aprovado,True,16564.1196
PC000043,2024-11-28,F030,U01,Aditivo,302.38,15.28,2024-12-05,2024-12-06,Aprovado,False,4620.3664
PC000044,2024-10-29,F011,U03,Solvente,318.32,47.83,2024-11-16,2024-11-14,Aprovado,True,15225.245599999998
PC000045,2025-11-18,F019,U01,Carga Mineral,360.74,8.3,2025-12-04,2025-12-04,Aprovado,True,2994.1420000000003
PC000046,2026-03-27,F022,U03,Embalagem,427.69,28.93,2026-04-08,2026-04-10,Aprovado,False,12373.0717
PC000047,2026-02-05,F006,U02,Silicone Base,160.19,39.45,2026-02-24,2026-03-01,Aprovado,False,6319.4955
PC000048,2024-05-23,F018,U02,Pigmento,1016.24,41.26,2024-05-30,2024-05-30,Aprovado,True,41930.062399999995
PC000049,2024-07-13,F016,U03,Poliol,280.15,3.68,2024-08-06,2024-08-06,Aprovado,True,1030.952
PC000050,2025-02-04,F005,U03,Solvente,615.7,13.23,2025-02-17,2025-02-17,Aprovado,True,8145.711000000001
PC000051,2025-12-26,F002,U02,Pigmento,437.25,10.94,2026-01-07,2026-01-12,Aprovado,False,4783.514999999999
PC000052,2025-08-12,F027,U02,Pigmento,308.95,15.33,2025-08-31,2025-08-30,Aprovado,True,4736.2035
PC000053,2024-05-02,F010,U03,Silicone Base,543.4,7.53,2024-05-22,2024-05-27,Aprovado,False,4091.802
PC000054,2025-05-01,F018,U01,Embalagem,267.56,25.89,2025-05-25,2025-05-27,Aprovado,False,6927.1284000000005
PC000055,2026-01-21,F027,U02,Embalagem,100.49,34.33,2026-01-29,2026-01-29,Aprovado,True,3449.8216999999995
PC000056,2024-04-15,F024,U01,Poliol,292.29,40.47,2024-04-21,2024-04-22,Aprovado,False,11828.9763
PC000057,2025-04-26,F022,U03,Pigmento,388.88,7.31,2025-05-04,2025-05-04,Aprovado,True,2842.7128
PC000058,2024-09-17,F030,U02,Pigmento,111.55,8.84,2024-10-08,2024-10-08,Aprovado,True,986.102
PC000059,2024-01-25,F006,U03,Solvente,116.1,42.29,2024-02-03,2024-02-01,Aprovado,True,4909.869
PC000060,2026-06-23,F022,U01,Silicone Base,224.85,13.71,2026-07-06,2026-07-11,Aprovado,False,3082.6935000000003
PC000061,2024-09-25,F005,U03,Poliol,92.46,27.17,2024-10-17,2024-10-18,Aprovado,False,2512.1382
PC000062,2024-11-16,F022,U02,Carga Mineral,346.03,29.62,2024-11-26,2024-11-26,Aprovado,True,10249.408599999999
PC000063,2024-09-07,F001,U01,Solvente,229.04,43.95,2024-09-20,2024-09-20,Reprovado,True,10066.308
PC000064,2025-11-16,F019,U03,Solvente,344.99,20.45,2025-11-20,2025-11-25,Aprovado,False,7055.0455
PC000065,2024-07-17,F008,U02,Aditivo,329.98,15.58,2024-07-28,2024-07-26,Bloqueado,True,5141.088400000001
PC000066,2024-04-14,F009,U01,Pigmento,456.5,38.56,2024-05-01,2024-05-03,Aprovado,False,17602.64
PC000067,2025-12-08,F003,U02,Aditivo,85.74,22.23,2025-12-16,2025-12-21,Aprovado,False,1906.0002
PC000068,2026-07-13,F018,U03,Pigmento,127.42,28.43,2026-07-25,2026-07-30,Aprovado,False,3622.5506
PC000069,2024-12-19,F008,U02,Carga Mineral,182.07,18.71,2024-12-27,2024-12-27,Aprovado,True,3406.5297
PC000070,2024-12-27,F022,U03,Solvente,318.27,38.33,2025-01-08,2025-01-06,Reprovado,True,12199.289099999998
PC000071,2026-03-09,F019,U01,Embalagem,223.9,40.36,2026-03-18,2026-03-18,Aprovado,True,9036.604
PC000072,2024-08-13,F012,U01,Carga Mineral,251.51,27.67,2024-08-19,2024-08-17,Aprovado,True,6959.2817000000005
PC000073,2024-02-20,F011,U01,Poliol,390.46,8.79,2024-03-07,2024-03-08,Aprovado,False,3432.1433999999995
PC000074,2024-11-25,F021,U01,Silicone Base,422.99,21.75,2024-12-13,2024-12-12,Aprovado,True,9200.0325
PC000075,2025-07-16,F026,U03,Embalagem,239.36,22.4,2025-08-04,2025-08-05,Aprovado,False,5361.664
PC000076,2026-03-21,F010,U02,Isocianato,912.66,13.54,2026-04-03,2026-04-05,Aprovado,False,12357.416399999998
PC000077,2026-05-18,F002,U02,Embalagem,164.68,46.1,2026-06-08,2026-06-10,Aprovado,False,7591.7480000000005
PC000078,2025-03-07,F009,U01,Carga Mineral,302.14,20.99,2025-03-27,2025-03-29,Bloqueado,False,6341.918599999999
PC000079,2024-11-13,F023,U01,Carga Mineral,337.3,29.65,2024-11-28,2024-11-27,Aprovado,True,10000.945
PC000080,2026-07-30,F028,U02,Carga Mineral,137.98,9.06,2026-08-22,2026-08-20,Aprovado,True,1250.0988
PC000081,2024-09-01,F002,U02,Aditivo,77.88,35.69,2024-09-20,2024-09-18,Aprovado,True,2779.5371999999998
PC000082,2025-07-01,F021,U03,Carga Mineral,288.86,19.66,2025-07-22,2025-07-24,Aprovado,False,5678.9876
PC000083,2024-09-09,F017,U03,Silicone Base,535.7,33.63,2024-10-02,2024-09-30,Aprovado,True,18015.591000000004
PC000084,2025-05-22,F030,U02,Silicone Base,89.77,36.31,2025-05-31,2025-06-01,Aprovado,False,3259.5487000000003
PC000085,2025-11-21,F014,U01,Poliol,316.84,29.45,2025-12-03,2025-12-01,Aprovado,True,9330.937999999998
PC000086,2025-10-17,F008,U02,Carga Mineral,229.97,28.21,2025-10-27,2025-10-29,Aprovado,False,6487.4537
PC000087,2024-01-06,F003,U03,Pigmento,369.76,44.01,2024-01-27,2024-01-25,Aprovado,True,16273.137599999998
PC000088,2026-04-20,F028,U02,Solvente,272.26,42.63,2026-04-27,2026-04-29,Aprovado,False,11606.443800000001
PC000089,2025-09-15,F025,U03,Carga Mineral,394.48,34.39,2025-09-26,2025-09-26,Aprovado,True,13566.167200000002
PC000090,2024-03-08,F002,U02,Carga Mineral,450.31,38.83,2024-03-17,2024-03-19,Aprovado,False,17485.5373
PC000091,2024-02-04,F026,U02,Poliol,106.73,23.82,2024-02-25,2024-02-27,Aprovado,False,2542.3086000000003
PC000092,2025-06-26,F004,U02,Silicone Base,348.4,31.28,2025-07-02,2025-07-02,Aprovado,True,10897.952
PC000093,2024-05-27,F022,U03,Silicone Base,355.92,45.0,2024-06-17,2024-06-17,Aprovado,True,16016.400000000001
PC000094,2024-08-16,F024,U01,Silicone Base,179.15,19.59,2024-08-29,2024-08-31,Aprovado,False,3509.5485
PC000095,2024-06-20,F019,U02,Poliol,331.07,14.67,2024-06-26,2024-07-01,Aprovado,False,4856.7969
PC000096,2025-04-21,F028,U02,Pigmento,470.71,16.45,2025-05-06,2025-05-04,Aprovado,True,7743.179499999999
PC000097,2025-05-18,F015,U03,Solvente,1383.9,47.48,2025-06-07,2025-06-09,Aprovado,False,65707.572
PC000098,2024-10-25,F023,U01,Solvente,44.15,34.39,2024-11-16,2024-11-21,Aprovado,False,1518.3185
PC000099,2024-01-10,F017,U01,Aditivo,93.25,22.49,2024-01-16,2024-01-15,Aprovado,True,2097.1924999999997
PC000100,2025-07-19,F016,U01,Isocianato,226.26,33.78,2025-07-29,2025-07-29,Aprovado,True,7643.0628
PC000101,2024-10-04,F018,U02,Solvente,180.93,19.57,2024-10-08,2024-10-06,Aprovado,True,3540.8001000000004
PC000102,2026-04-28,F018,U02,Embalagem,242.01,21.78,2026-05-05,2026-05-06,Aprovado,False,5270.9778
PC000103,2025-07-13,F029,U01,Poliol,304.27,18.69,2025-07-24,2025-07-26,Aprovado,False,5686.8063
PC000104,2025-07-02,F030,U01,Isocianato,152.87,17.81,2025-07-23,2025-07-24,Aprovado,False,2722.6147
PC000105,2026-04-14,F006,U01,Solvente,57.54,46.22,2026-04-30,2026-04-28,Aprovado,True,2659.4988
PC000106,2025-07-30,F020,U01,Embalagem,124.41,7.77,2025-08-15,2025-08-20,Aprovado,False,966.6656999999999
PC000107,2025-01-27,F001,U02,Embalagem,510.88,7.34,2025-02-18,2025-02-16,Aprovado,True,3749.8592
PC000108,2026-04-24,F008,U01,Solvente,563.13,17.7,2026-05-01,2026-05-01,Aprovado,True,9967.401
PC000109,2025-09-04,F014,U03,Pigmento,179.56,39.62,2025-09-13,2025-09-13,Aprovado,True,7114.1672
PC000110,2025-07-01,F019,U03,Pigmento,819.51,3.22,2025-07-23,2025-07-24,Aprovado,False,2638.8222
PC000111,2026-04-29,F008,U02,Carga Mineral,214.8,39.05,2026-05-12,2026-05-17,Aprovado,False,8387.94
PC000112,2024-04-11,F020,U02,Isocianato,1171.15,41.66,2024-05-04,2024-05-06,Aprovado,False,48790.109
PC000113,2024-09-01,F007,U02,Isocianato,518.63,30.8,2024-09-21,2024-09-21,Aprovado,True,15973.804
PC000114,2026-01-26,F012,U01,Isocianato,252.19,46.35,2026-02-05,2026-02-04,Aprovado,True,11689.0065
PC000115,2024-08-06,F004,U01,Pigmento,594.16,15.01,2024-08-16,2024-08-21,Aprovado,False,8918.3416
PC000116,2024-12-06,F013,U01,Pigmento,72.67,6.35,2024-12-27,2024-12-25,Aprovado,True,461.4545
PC000117,2024-12-25,F017,U01,Embalagem,133.25,42.19,2025-01-18,2025-01-17,Aprovado,True,5621.8175
PC000118,2026-02-20,F020,U02,Carga Mineral,83.2,46.41,2026-03-10,2026-03-11,Aprovado,False,3861.312
PC000119,2024-12-05,F009,U01,Poliol,186.28,26.66,2024-12-12,2024-12-13,Aprovado,False,4966.2248
PC000120,2026-02-07,F010,U01,Isocianato,419.5,4.13,2026-02-11,2026-02-10,Aprovado,True,1732.5349999999999
PC000121,2025-09-19,F029,U01,Silicone Base,224.7,46.64,2025-09-29,2025-10-01,Aprovado,False,10480.008
PC000122,2025-12-30,F017,U01,Aditivo,277.56,22.51,2026-01-14,2026-01-15,Bloqueado,False,6247.8756
PC000123,2025-07-02,F013,U03,Poliol,240.97,19.03,2025-07-22,2025-07-22,Aprovado,True,4585.6591
PC000124,2024-11-03,F018,U02,Pigmento,366.24,6.93,2024-11-24,2024-11-26,Aprovado,False,2538.0432
PC000125,2024-05-20,F001,U02,Pigmento,560.42,7.89,2024-06-12,2024-06-12,Aprovado,True,4421.7137999999995
PC000126,2026-06-12,F017,U02,Isocianato,310.87,41.71,2026-06-27,2026-06-27,Aprovado,True,12966.387700000001
PC000127,2026-07-14,F002,U03,Carga Mineral,276.86,33.12,2026-07-25,2026-07-25,Aprovado,True,9169.6032
PC000128,2025-02-25,F021,U03,Silicone Base,258.1,4.96,2025-03-19,2025-03-17,Aprovado,True,1280.1760000000002
PC000129,2026-07-17,F024,U03,Isocianato,291.17,19.88,2026-07-29,2026-07-30,Aprovado,False,5788.4596
PC000130,2024-04-02,F025,U03,Poliol,134.09,47.43,2024-04-22,2024-04-27,Aprovado,False,6359.8887
PC000131,2025-08-11,F005,U02,Aditivo,168.67,40.53,2025-08-30,2025-09-04,Aprovado,False,6836.1951
PC000132,2025-12-10,F030,U02,Silicone Base,242.2,41.55,2025-12-25,2025-12-24,Bloqueado,True,10063.409999999998
PC000133,2024-11-27,F024,U01,Aditivo,197.35,19.61,2024-12-18,2024-12-23,Aprovado,False,3870.0335
PC000134,2026-05-13,F015,U02,Poliol,426.63,40.72,2026-05-27,2026-05-29,Aprovado,False,17372.3736
PC000135,2025-03-06,F005,U01,Solvente,248.41,16.86,2025-03-20,2025-03-21,Aprovado,False,4188.192599999999
PC000136,2025-04-30,F019,U03,Silicone Base,144.29,43.78,2025-05-13,2025-05-11,Aprovado,True,6317.0162
PC000137,2025-11-01,F015,U01,Embalagem,367.78,6.97,2025-11-19,2025-11-20,Aprovado,False,2563.4266
PC000138,2024-05-28,F004,U01,Solvente,339.99,29.1,2024-06-10,2024-06-12,Aprovado,False,9893.709
PC000139,2025-10-08,F026,U02,Pigmento,735.12,18.03,2025-10-15,2025-10-20,Aprovado,False,13254.213600000001
PC000140,2024-12-02,F027,U01,Carga Mineral,193.28,9.45,2024-12-24,2024-12-24,Aprovado,True,1826.4959999999999
PC000141,2024-12-02,F014,U02,Pigmento,146.08,3.39,2024-12-08,2024-12-13,Aprovado,False,495.2112000000001
PC000142,2025-12-05,F021,U02,Carga Mineral,809.3,28.4,2025-12-22,2025-12-22,Aprovado,True,22984.12
PC000143,2024-02-26,F018,U03,Pigmento,817.2,33.03,2024-03-07,2024-03-05,Aprovado,True,26992.116
PC000144,2025-08-03,F006,U01,Poliol,261.72,27.14,2025-08-12,2025-08-10,Aprovado,True,7103.080800000001
PC000145,2024-03-27,F003,U01,Solvente,265.62,36.36,2024-04-14,2024-04-16,Aprovado,False,9657.9432
PC000146,2024-02-24,F009,U01,Embalagem,137.75,39.62,2024-03-10,2024-03-08,Aprovado,True,5457.655
PC000147,2025-12-23,F011,U01,Silicone Base,448.24,17.54,2025-12-27,2025-12-27,Reprovado,True,7862.1296
PC000148,2025-09-01,F012,U03,Pigmento,268.86,44.74,2025-09-10,2025-09-08,Aprovado,True,12028.796400000001
PC000149,2024-11-27,F002,U03,Silicone Base,835.76,36.22,2024-12-02,2024-12-01,Aprovado,True,30271.227199999998
PC000150,2025-12-25,F029,U03,Solvente,200.69,21.55,2026-01-18,2026-01-18,Aprovado,True,4324.8695
PC000151,2025-09-17,F019,U03,Poliol,293.98,32.62,2025-10-10,2025-10-08,Aprovado,True,9589.6276
PC000152,2024-07-23,F021,U01,Solvente,358.97,44.86,2024-08-11,2024-08-16,Aprovado,False,16103.3942
PC000153,2024-09-16,F020,U02,Silicone Base,505.27,45.23,2024-09-25,2024-09-25,Aprovado,True,22853.3621
PC000154,2024-12-18,F019,U03,Carga Mineral,510.67,27.9,2025-01-01,2025-01-03,Aprovado,False,14247.693
PC000155,2025-12-01,F025,U03,Aditivo,308.42,15.61,2025-12-21,2025-12-22,Aprovado,False,4814.4362
PC000156,2024-12-11,F019,U02,Poliol,663.17,30.42,2024-12-30,2024-12-29,Aprovado,True,20173.6314
PC000157,2025-01-27,F010,U01,Embalagem,421.26,21.91,2025-02-07,2025-02-07,Aprovado,True,9229.8066
PC000158,2025-09-03,F014,U03,Poliol,163.57,6.48,2025-09-26,2025-09-26,Aprovado,True,1059.9336
PC000159,2026-02-19,F001,U01,Poliol,182.91,46.47,2026-03-15,2026-03-15,Aprovado,True,8499.8277
PC000160,2024-12-11,F029,U01,Solvente,138.52,43.96,2024-12-29,2024-12-31,Aprovado,False,6089.3392
PC000161,2024-11-06,F007,U02,Carga Mineral,295.95,30.32,2024-11-15,2024-11-16,Aprovado,False,8973.204
PC000162,2024-12-27,F002,U02,Embalagem,344.54,28.87,2025-01-04,2025-01-04,Aprovado,True,9946.8698
PC000163,2024-11-15,F027,U03,Silicone Base,100.28,5.65,2024-12-08,2024-12-09,Aprovado,False,566.582
PC000164,2026-06-28,F018,U03,Silicone Base,769.95,11.68,2026-07-16,2026-07-21,Aprovado,False,8993.016
PC000165,2025-10-21,F007,U01,Isocianato,620.4,40.26,2025-10-27,2025-10-27,Aprovado,True,24977.303999999996
PC000166,2025-07-19,F016,U01,Poliol,145.48,43.11,2025-07-25,2025-07-24,Aprovado,True,6271.6428
PC000167,2025-12-27,F002,U03,Pigmento,265.39,27.11,2026-01-19,2026-01-21,Aprovado,False,7194.7229
PC000168,2026-05-11,F018,U02,Poliol,318.82,9.54,2026-06-04,2026-06-04,Aprovado,True,3041.5427999999997
PC000169,2025-10-06,F029,U02,Carga Mineral,79.83,45.06,2025-10-22,2025-10-27,Aprovado,False,3597.1398
PC000170,2025-07-23,F008,U03,Silicone Base,54.05,32.09,2025-08-06,2025-08-05,Aprovado,True,1734.4645
PC000171,2024-07-06,F019,U01,Solvente,34.53,46.25,2024-07-30,2024-07-30,Aprovado,True,1597.0125
PC000172,2024-12-14,F005,U01,Carga Mineral,188.43,17.51,2024-12-19,2024-12-24,Aprovado,False,3299.4093000000003
PC000173,2026-05-10,F002,U03,Pigmento,140.22,28.17,2026-05-29,2026-05-29,Aprovado,True,3949.9974
PC000174,2025-11-25,F002,U01,Embalagem,305.93,11.48,2025-12-08,2025-12-07,Aprovado,True,3512.0764000000004
PC000175,2024-06-09,F009,U02,Silicone Base,456.61,35.96,2024-06-25,2024-06-27,Aprovado,False,16419.6956
PC000176,2026-06-09,F015,U03,Silicone Base,287.34,31.9,2026-06-22,2026-06-22,Reprovado,True,9166.145999999999
PC000177,2024-05-10,F023,U02,Carga Mineral,45.63,29.74,2024-05-16,2024-05-21,Aprovado,False,1357.0362
PC000178,2025-03-13,F024,U02,Solvente,159.05,45.12,2025-03-27,2025-03-26,Aprovado,True,7176.336
PC000179,2026-05-08,F026,U03,Pigmento,143.79,33.88,2026-05-20,2026-05-22,Aprovado,False,4871.6052
PC000180,2026-01-26,F017,U02,Pigmento,192.32,39.38,2026-02-08,2026-02-13,Aprovado,False,7573.5616
PC000181,2026-04-12,F024,U01,Poliol,342.3,44.49,2026-05-06,2026-05-11,Aprovado,False,15228.927000000001
PC000182,2024-03-29,F025,U03,Solvente,86.03,25.79,2024-04-18,2024-04-16,Aprovado,True,2218.7137
PC000183,2026-07-30,F021,U01,Silicone Base,395.76,41.79,2026-08-05,2026-08-10,Aprovado,False,16538.8104
PC000184,2025-12-03,F010,U02,Silicone Base,135.19,11.15,2025-12-17,2025-12-18,Aprovado,False,1507.3685
PC000185,2024-12-15,F004,U01,Isocianato,446.25,44.82,2024-12-22,2024-12-20,Aprovado,True,20000.925
PC000186,2026-07-19,F012,U01,Pigmento,217.1,35.7,2026-08-04,2026-08-03,Aprovado,True,7750.47
PC000187,2025-05-17,F006,U02,Embalagem,336.45,24.39,2025-06-08,2025-06-08,Aprovado,True,8206.0155
PC000188,2024-09-25,F013,U01,Solvente,136.38,23.59,2024-10-18,2024-10-19,Aprovado,False,3217.2041999999997
PC000189,2024-10-22,F023,U02,Pigmento,190.92,23.48,2024-11-10,2024-11-11,Bloqueado,False,4482.8016
PC000190,2024-02-16,F010,U01,Solvente,86.35,44.47,2024-03-07,2024-03-07,Aprovado,True,3839.9844999999996
PC000191,2024-11-24,F028,U03,Embalagem,102.33,31.16,2024-12-02,2024-12-04,Aprovado,False,3188.6028
PC000192,2024-03-06,F013,U03,Isocianato,216.39,17.24,2024-03-18,2024-03-17,Aprovado,True,3730.5635999999995
PC000193,2025-10-12,F010,U01,Carga Mineral,135.32,44.04,2025-11-04,2025-11-05,Aprovado,False,5959.4928
PC000194,2026-07-12,F017,U01,Silicone Base,399.22,15.12,2026-07-24,2026-07-24,Aprovado,True,6036.2064
PC000195,2026-06-10,F003,U02,Solvente,138.78,31.65,2026-06-30,2026-07-01,Bloqueado,False,4392.387
PC000196,2026-03-11,F013,U02,Isocianato,111.63,38.14,2026-03-27,2026-03-25,Aprovado,True,4257.5682
PC000197,2025-01-06,F002,U01,Silicone Base,174.84,29.9,2025-01-26,2025-01-24,Aprovado,True,5227.715999999999
PC000198,2024-04-16,F008,U01,Isocianato,169.17,4.7,2024-05-02,2024-05-03,Aprovado,False,795.0989999999999
PC000199,2024-01-16,F003,U01,Embalagem,322.98,27.78,2024-01-23,2024-01-24,Aprovado,False,8972.3844
PC000200,2025-05-01,F021,U02,Solvente,444.54,37.06,2025-05-09,2025-05-09,Aprovado,True,16474.652400000003
PC000201,2026-05-25,F020,U02,Solvente,71.74,4.48,2026-06-12,2026-06-17,Aprovado,False,321.3952
PC000202,2025-03-12,F004,U01,Silicone Base,111.62,4.59,2025-03-23,2025-03-21,Aprovado,True,512.3358
PC000203,2026-03-08,F002,U02,Pigmento,229.51,17.95,2026-03-26,2026-03-25,Aprovado,True,4119.7045
PC000204,2024-12-26,F019,U02,Aditivo,151.53,36.95,2025-01-10,2025-01-10,Aprovado,True,5599.0335000000005
PC000205,2024-09-03,F027,U01,Pigmento,97.86,8.48,2024-09-23,2024-09-24,Aprovado,False,829.8528
PC000206,2025-06-21,F028,U01,Poliol,122.61,21.97,2025-07-13,2025-07-13,Aprovado,True,2693.7417
PC000207,2025-10-25,F009,U01,Solvente,199.55,21.99,2025-11-12,2025-11-14,Aprovado,False,4388.1045
PC000208,2024-05-14,F005,U01,Carga Mineral,187.97,33.97,2024-06-05,2024-06-07,Reprovado,False,6385.3409
PC000209,2026-01-13,F015,U03,Pigmento,674.31,39.5,2026-02-06,2026-02-05,Aprovado,True,26635.245
PC000210,2025-12-14,F003,U01,Aditivo,232.13,13.3,2025-12-22,2025-12-22,Aprovado,True,3087.329
PC000211,2024-07-11,F015,U03,Aditivo,217.38,36.22,2024-07-29,2024-08-03,Bloqueado,False,7873.5036
PC000212,2025-07-26,F028,U01,Aditivo,638.5,3.92,2025-08-13,2025-08-15,Bloqueado,False,2502.92
PC000213,2024-01-11,F008,U03,Poliol,116.17,30.59,2024-02-03,2024-02-02,Aprovado,True,3553.6403
PC000214,2026-01-22,F002,U03,Poliol,278.19,17.34,2026-02-09,2026-02-07,Aprovado,True,4823.8146
PC000215,2024-07-03,F024,U01,Isocianato,672.3,29.35,2024-07-26,2024-07-26,Aprovado,True,19732.005
PC000216,2026-04-17,F020,U01,Isocianato,291.66,25.32,2026-05-09,2026-05-09,Aprovado,True,7384.8312000000005
PC000217,2025-06-30,F012,U03,Pigmento,268.2,24.63,2025-07-04,2025-07-06,Aprovado,False,6605.766
PC000218,2025-03-19,F027,U03,Pigmento,146.05,21.09,2025-04-11,2025-04-13,Aprovado,False,3080.1945
PC000219,2024-01-01,F004,U03,Aditivo,561.88,17.06,2024-01-07,2024-01-05,Aprovado,True,9585.672799999998
PC000220,2025-10-21,F009,U01,Pigmento,857.08,45.45,2025-11-08,2025-11-13,Reprovado,False,38954.28600000001
PC000221,2024-09-25,F008,U02,Silicone Base,405.48,7.04,2024-09-29,2024-09-29,Aprovado,True,2854.5792
PC000222,2025-04-21,F027,U02,Embalagem,535.17,19.57,2025-04-25,2025-04-25,Aprovado,True,10473.276899999999
PC000223,2024-10-05,F019,U03,Embalagem,202.85,40.12,2024-10-17,2024-10-15,Aprovado,True,8138.342
PC000224,2025-06-17,F021,U03,Embalagem,269.32,25.77,2025-06-22,2025-06-24,Aprovado,False,6940.3764
PC000225,2026-07-25,F020,U02,Carga Mineral,220.71,44.41,2026-07-30,2026-07-28,Aprovado,True,9801.731099999999
PC000226,2024-09-08,F026,U02,Silicone Base,179.75,14.54,2024-09-30,2024-10-02,Aprovado,False,2613.565
PC000227,2025-01-27,F008,U02,Solvente,131.38,39.59,2025-02-04,2025-02-06,Aprovado,False,5201.3342
