viagem_id,pessoa_id,data_solicitacao,destino,finalidade,status,orcamento
VG00083,P00676,2026-05-25,Rio de Janeiro,Projeto,Cancelada,1638.47
VG00084,P00321,2025-03-30,Campinas,Treinamento,Concluída,2091.75
VG00085,P00383,2024-11-05,Rio de Janeiro,Treinamento,Concluída,535.89
VG00086,P00682,2024-08-07,Rio de Janeiro,Fornecedor,Concluída,2651.89
VG00087,P00015,2024-01-29,São Paulo,Projeto,Concluída,770.23
VG00088,P00785,2024-03-30,Curitiba,Cliente,Em análise,1021.91
VG00089,P00213,2025-02-24,Belo Horizonte,Treinamento,Aprovada,2431.7
VG00090,P00847,2025-01-22,Rio de Janeiro,Fornecedor,Aprovada,3323.29
VG00091,P00655,2026-01-03,Belo Horizonte,Treinamento,Cancelada,3635.89
VG00092,P00584,2026-02-04,Curitiba,Fornecedor,Concluída,1983.69
VG00093,P00876,2025-01-02,Belo Horizonte,Cliente,Concluída,976.56
VG00094,P00116,2024-10-09,Rio de Janeiro,Treinamento,Concluída,1484.37
VG00095,P00492,2025-07-28,Curitiba,Cliente,Aprovada,1619.48
VG00096,P00444,2024-11-04,Curitiba,Cliente,Concluída,1436.47
VG00097,P00222,2024-09-29,Campinas,Projeto,Concluída,2411.45
VG00098,P00056,2025-05-22,Rio de Janeiro,Auditoria,Aprovada,1789.11
VG00099,P00455,2025-11-28,Campinas,Treinamento,Concluída,1827.18
VG00100,P00865,2025-07-28,Rio de Janeiro,Cliente,Concluída,2190.69
VG00101,P00702,2024-04-21,Campinas,Auditoria,Aprovada,1618.38
VG00102,P00666,2025-12-08,Belo Horizonte,Auditoria,Aprovada,1938.23
VG00103,P00246,2024-03-25,Campinas,Treinamento,Concluída,2661.78
VG00104,P00643,2025-08-08,Campinas,Treinamento,Concluída,696.2
VG00105,P00849,2025-02-01,Campinas,Treinamento,Concluída,1504.07
VG00106,P00762,2025-10-28,Rio de Janeiro,Treinamento,Concluída,2108.07
VG00107,P00036,2025-04-22,São Paulo,Treinamento,Concluída,988.37
VG00108,P00315,2025-07-12,Campinas,Treinamento,Em análise,1189.6
VG00109,P00178,2025-06-14,Belo Horizonte,Treinamento,Concluída,2545.77
VG00110,P00271,2026-06-22,São Paulo,Fornecedor,Em análise,2953.06
VG00111,P00128,2026-04-28,Belo Horizonte,Treinamento,Em análise,3423.25
VG00112,P00277,2025-07-14,Campinas,Fornecedor,Concluída,1610.22
VG00113,P00135,2026-03-18,Rio de Janeiro,Fornecedor,Concluída,1013.72
VG00114,P00407,2025-09-30,Rio de Janeiro,Cliente,Concluída,3191.0
VG00115,P00584,2024-02-26,Curitiba,Auditoria,Concluída,2464.93
VG00116,P00841,2024-11-16,Curitiba,Treinamento,Concluída,1298.06
VG00117,P00735,2025-11-16,Campinas,Projeto,Concluída,1568.14
VG00118,P00720,2024-02-26,Belo Horizonte,Projeto,Concluída,1276.44
VG00119,P00514,2025-01-07,São Paulo,Auditoria,Concluída,4603.87
VG00120,P00321,2025-09-10,Rio de Janeiro,Auditoria,Concluída,2521.19
VG00121,P00798,2024-10-26,Belo Horizonte,Projeto,Em análise,1941.25
VG00122,P00556,2024-09-01,São Paulo,Cliente,Concluída,2940.82
VG00123,P00599,2025-12-13,São Paulo,Projeto,Cancelada,1625.83
VG00124,P00427,2025-01-04,Curitiba,Fornecedor,Concluída,3506.18
VG00125,P00026,2024-07-09,Rio de Janeiro,Cliente,Aprovada,1812.69
VG00126,P00448,2024-02-11,Curitiba,Treinamento,Concluída,1683.14
VG00127,P00494,2025-02-27,Campinas,Treinamento,Concluída,1162.04
VG00128,P00009,2025-04-04,Rio de Janeiro,Auditoria,Concluída,2202.51
VG00129,P00341,2025-01-02,São Paulo,Treinamento,Concluída,3703.26
VG00130,P00644,2024-10-14,São Paulo,Projeto,Concluída,1063.82
VG00131,P00599,2025-01-08,Curitiba,Cliente,Concluída,594.05
VG00132,P00730,2024-10-21,São Paulo,Treinamento,Concluída,5837.49
VG00133,P00347,2024-04-11,São Paulo,Auditoria,Cancelada,1501.79
VG00134,P00530,2025-03-21,São Paulo,Fornecedor,Concluída,1218.79
VG00135,P00210,2025-07-28,Rio de Janeiro,Fornecedor,Concluída,1831.08
VG00136,P00302,2024-12-19,Belo Horizonte,Treinamento,Concluída,1579.9
VG00137,P00351,2024-12-07,Belo Horizonte,Treinamento,Concluída,1825.72
VG00138,P00423,2026-02-22,Belo Horizonte,Auditoria,Concluída,3006.51
VG00139,P00324,2024-08-27,Rio de Janeiro,Auditoria,Concluída,525.05
VG00140,P00727,2024-07-01,Rio de Janeiro,Treinamento,Aprovada,1908.45
VG00141,P00022,2025-05-12,Belo Horizonte,Treinamento,Concluída,828.18
VG00142,P00160,2024-04-15,Belo Horizonte,Auditoria,Concluída,1071.59
VG00143,P00491,2024-11-05,Belo Horizonte,Fornecedor,Aprovada,2994.37
VG00144,P00080,2024-10-22,São Paulo,Fornecedor,Cancelada,1989.9
VG00145,P00044,2024-03-06,Campinas,Projeto,Concluída,7312.35
VG00146,P00510,2025-04-27,Campinas,Auditoria,Concluída,541.85
VG00147,P00454,2026-04-29,Curitiba,Treinamento,Concluída,2448.35
VG00148,P00289,2024-02-17,São Paulo,Treinamento,Cancelada,1114.69
VG00149,P00415,2025-09-15,Campinas,Projeto,Concluída,1601.29
VG00150,P00151,2024-10-16,Belo Horizonte,Treinamento,Concluída,494.86
VG00151,P00611,2024-11-24,São Paulo,Treinamento,Concluída,1618.84
VG00152,P00119,2025-12-08,Curitiba,Projeto,Aprovada,755.43
VG00153,P00503,2026-07-27,São Paulo,Cliente,Em análise,2147.29
VG00154,P00089,2024-06-19,São Paulo,Projeto,Aprovada,1484.85
VG00155,P00623,2025-11-23,Belo Horizonte,Treinamento,Cancelada,634.8
VG00156,P00253,2026-04-15,Belo Horizonte,Fornecedor,Cancelada,1131.93
VG00157,P00575,2024-08-28,Curitiba,Fornecedor,Em análise,2795.4
VG00158,P00713,2026-07-10,Campinas,Projeto,Concluída,3094.12
VG00159,P00514,2024-10-26,Campinas,Projeto,Concluída,1875.74
VG00160,P00847,2024-07-24,São Paulo,Fornecedor,Concluída,1051.81
VG00161,P00681,2024-10-25,Rio de Janeiro,Treinamento,Concluída,8452.07
VG00162,P00776,2025-06-01,Belo Horizonte,Treinamento,Concluída,1161.42
VG00163,P00208,2026-07-11,Belo Horizonte,Treinamento,Concluída,1126.72
VG00164,P00597,2025-10-05,Campinas,Auditoria,Concluída,1166.81
VG00165,P00326,2025-08-29,São Paulo,Fornecedor,Concluída,1795.45
VG00166,P00367,2026-05-21,Campinas,Auditoria,Concluída,1576.79
VG00167,P00196,2026-02-19,Rio de Janeiro,Treinamento,Concluída,2566.26
VG00168,P00606,2026-01-10,Curitiba,Projeto,Concluída,2064.17
VG00169,P00177,2024-06-18,Campinas,Fornecedor,Concluída,2182.29
VG00170,P00832,2024-09-05,São Paulo,Fornecedor,Concluída,1944.53
VG00171,P00740,2025-01-10,Rio de Janeiro,Fornecedor,Concluída,980.37
VG00172,P00730,2026-02-08,Rio de Janeiro,Treinamento,Concluída,486.18
VG00173,P00527,2025-12-11,São Paulo,Auditoria,Concluída,2511.07
VG00174,P00517,2026-02-16,Campinas,Treinamento,Aprovada,2386.53
VG00175,P00726,2024-10-14,Belo Horizonte,Fornecedor,Concluída,1796.6
VG00176,P00138,2026-04-11,Curitiba,Treinamento,Concluída,2513.21
VG00177,P00506,2026-06-03,Curitiba,Treinamento,Concluída,966.23
VG00178,P00123,2024-09-28,São Paulo,Treinamento,Concluída,2453.73
VG00179,P00483,2024-12-06,Belo Horizonte,Projeto,Concluída,581.88
VG00180,P00383,2025-07-29,Belo Horizonte,Treinamento,Concluída,1514.69
VG00181,P00070,2025-08-08,Curitiba,Cliente,Concluída,869.28
VG00182,P00500,2024-11-08,Curitiba,Treinamento,Concluída,1517.06
VG00183,P00449,2026-07-30,Belo Horizonte,Auditoria,Concluída,954.56
VG00184,P00318,2024-05-07,Rio de Janeiro,Treinamento,Concluída,697.85
VG00185,P00490,2024-10-05,Belo Horizonte,Treinamento,Concluída,1061.1
VG00186,P00873,2024-12-22,Rio de Janeiro,Cliente,Concluída,2576.95
VG00187,P00870,2026-02-15,Curitiba,Fornecedor,Concluída,1548.47
VG00188,P00529,2025-10-31,Campinas,Auditoria,Concluída,1104.61
VG00189,P00566,2026-05-29,Curitiba,Cliente,Cancelada,1558.68
VG00190,P00698,2025-08-11,Belo Horizonte,Auditoria,Em análise,2175.32
VG00191,P00074,2024-07-29,Belo Horizonte,Treinamento,Concluída,1669.47
VG00192,P00633,2024-01-01,São Paulo,Fornecedor,Cancelada,1082.85
VG00193,P00584,2024-06-08,Rio de Janeiro,Auditoria,Concluída,2031.17
VG00194,P00404,2024-01-28,Rio de Janeiro,Treinamento,Aprovada,1402.89
VG00195,P00501,2026-04-17,Rio de Janeiro,Treinamento,Concluída,2608.44
VG00196,P00183,2024-02-15,Curitiba,Auditoria,Concluída,8886.08
VG00197,P00350,2025-06-12,São Paulo,Treinamento,Aprovada,1175.04
VG00198,P00386,2026-05-24,Rio de Janeiro,Fornecedor,Aprovada,1253.41
VG00199,P00474,2026-06-19,Belo Horizonte,Auditoria,Concluída,1397.52
VG00200,P00264,2026-02-24,Curitiba,Treinamento,Concluída,2403.25
VG00201,P00475,2025-11-24,Campinas,Treinamento,Cancelada,2260.13
VG00202,P00254,2025-11-10,São Paulo,Auditoria,Concluída,1511.28
VG00203,P00470,2024-10-18,Belo Horizonte,Treinamento,Concluída,913.15
VG00204,P00776,2026-05-09,São Paulo,Auditoria,Concluída,2035.46
VG00205,P00889,2025-01-03,Curitiba,Auditoria,Concluída,2488.21
VG00206,P00558,2025-12-08,Curitiba,Projeto,Concluída,1322.89
VG00207,P00221,2025-07-30,Campinas,Treinamento,Concluída,1182.51
VG00208,P00172,2025-09-26,Belo Horizonte,Auditoria,Concluída,2206.63
VG00209,P00369,2024-12-18,Belo Horizonte,Projeto,Em análise,2590.88
VG00210,P00366,2024-01-01,Belo Horizonte,Cliente,Concluída,2130.07
VG00211,P00195,2024-06-16,Rio de Janeiro,Cliente,Concluída,1754.31
VG00212,P00262,2025-07-30,Campinas,Treinamento,Concluída,1174.43
VG00213,P00817,2025-02-19,Rio de Janeiro,Cliente,Cancelada,4111.34
VG00214,P00048,2024-04-18,São Paulo,Projeto,Concluída,3454.25
VG00215,P00890,2026-05-17,São Paulo,Auditoria,Concluída,2602.39
VG00216,P00473,2026-05-14,Belo Horizonte,Projeto,Concluída,2326.05
VG00217,P00625,2025-12-16,São Paulo,Treinamento,Concluída,2668.63
VG00218,P00469,2025-09-01,São Paulo,Auditoria,Aprovada,734.95
VG00219,P00183,2026-07-17,Belo Horizonte,Treinamento,Concluída,1302.29
VG00220,P00595,2026-06-30,Belo Horizonte,Projeto,Concluída,683.88
VG00221,P00276,2025-10-19,Curitiba,Fornecedor,Concluída,526.4
VG00222,P00625,2025-08-27,Curitiba,Auditoria,Em análise,4234.17
VG00223,P00631,2024-10-17,Curitiba,Fornecedor,Concluída,2095.96
VG00224,P00606,2024-08-11,Rio de Janeiro,Projeto,Aprovada,1119.73
VG00225,P00570,2025-03-28,São Paulo,Projeto,Concluída,1914.44
VG00226,P00228,2026-04-03,Campinas,Cliente,Concluída,1871.3
VG00227,P00682,2025-08-11,Campinas,Projeto,Concluída,1441.59
VG00228,P00755,2025-02-28,Campinas,Projeto,Concluída,572.76
VG00229,P00029,2024-05-11,Belo Horizonte,Treinamento,Concluída,642.97
VG00230,P00166,2026-05-07,São Paulo,Projeto,Concluída,3117.93
VG00231,P00810,2025-02-02,São Paulo,Projeto,Concluída,1965.92
VG00232,P00579,2024-12-12,Curitiba,Fornecedor,Concluída,1025.04
VG00233,P00456,2024-01-20,Curitiba,Fornecedor,Concluída,1924.47
VG00234,P00854,2025-03-31,São Paulo,Auditoria,Concluída,922.01
VG00235,P00048,2024-08-30,Curitiba,Cliente,Cancelada,4165.79
VG00236,P00704,2024-06-14,São Paulo,Cliente,Aprovada,2738.01
VG00237,P00493,2026-07-07,Rio de Janeiro,Projeto,Aprovada,1870.69
VG00238,P00017,2024-03-16,São Paulo,Cliente,Concluída,1493.39
VG00239,P00321,2025-03-31,Campinas,Fornecedor,Aprovada,1647.67
VG00240,P00877,2024-07-31,Belo Horizonte,Fornecedor,Concluída,1807.9
VG00241,P00386,2026-02-10,Belo Horizonte,Treinamento,Concluída,1435.36
VG00242,P00735,2024-05-04,Rio de Janeiro,Auditoria,Concluída,1590.59
VG00243,P00483,2024-05-04,Rio de Janeiro,Auditoria,Em análise,1575.04
VG00244,P00717,2025-08-26,Rio de Janeiro,Projeto,Concluída,2511.84
VG00245,P00862,2024-01-29,Belo Horizonte,Auditoria,Concluída,3558.44
VG00246,P00263,2024-01-31,São Paulo,Auditoria,Concluída,2093.45
VG00247,P00370,2025-12-22,São Paulo,Cliente,Concluída,909.09
VG00248,P00150,2026-01-06,Campinas,Projeto,Concluída,3644.09
VG00249,P00806,2024-11-23,Campinas,Projeto,Concluída,1638.6
VG00250,P00140,2026-02-23,Curitiba,Auditoria,Concluída,614.04
VG00251,P00151,2024-05-16,Curitiba,Auditoria,Aprovada,2051.27
VG00252,P00459,2025-09-27,Belo Horizonte,Projeto,Concluída,1502.17
VG00253,P00415,2025-09-21,Belo Horizonte,Auditoria,Concluída,992.74
VG00254,P00727,2026-03-23,Rio de Janeiro,Cliente,Concluída,857.57
VG00255,P00557,2025-01-10,Campinas,Cliente,Concluída,1783.33
VG00256,P00872,2025-05-16,Curitiba,Cliente,Concluída,1130.54
VG00257,P00281,2024-12-18,Curitiba,Treinamento,Em análise,1627.51
VG00258,P00427,2025-04-06,Curitiba,Fornecedor,Concluída,831.29
VG00259,P00819,2026-06-17,Belo Horizonte,Projeto,Concluída,1264.69
VG00260,P00823,2024-07-22,Belo Horizonte,Treinamento,Aprovada,2448.24
VG00261,P00578,2025-04-23,Belo Horizonte,Fornecedor,Concluída,1094.63
VG00262,P00791,2026-01-17,São Paulo,Projeto,Concluída,3768.17
VG00263,P00490,2025-03-07,Campinas,Auditoria,Concluída,2147.22
VG00264,P00440,2025-12-08,São Paulo,Auditoria,Aprovada,5430.96
VG00265,P00456,2024-06-13,Campinas,Treinamento,Em análise,856.36
VG00266,P00082,2025-01-08,Belo Horizonte,Projeto,Concluída,3326.83
VG00267,P00413,2024-02-19,Belo Horizonte,Fornecedor,Concluída,282.98
VG00268,P00193,2024-01-27,Rio de Janeiro,Auditoria,Concluída,540.24
VG00269,P00138,2024-01-07,Rio de Janeiro,Auditoria,Aprovada,955.24
VG00270,P00863,2025-01-11,Campinas,Auditoria,Aprovada,1535.3
VG00271,P00029,2025-04-29,Rio de Janeiro,Auditoria,Concluída,569.36
VG00272,P00511,2026-07-21,Curitiba,Projeto,Cancelada,1093.31
VG00273,P00432,2025-08-10,Rio de Janeiro,Projeto,Concluída,1077.44
VG00274,P00623,2026-01-15,Campinas,Cliente,Em análise,769.47
VG00275,P00880,2024-04-07,São Paulo,Treinamento,Concluída,1135.46
VG00276,P00073,2024-10-31,Curitiba,Fornecedor,Cancelada,1077.42
VG00277,P00067,2024-12-14,Rio de Janeiro,Cliente,Concluída,1615.86
VG00278,P00363,2025-03-27,Campinas,Cliente,Concluída,1698.6
VG00279,P00179,2024-02-10,São Paulo,Projeto,Concluída,1750.61
VG00280,P00263,2025-08-09,Campinas,Cliente,Aprovada,988.95
VG00281,P00456,2025-12-31,São Paulo,Fornecedor,Cancelada,2243.46
VG00282,P00212,2024-11-30,São Paulo,Projeto,Concluída,3495.58
VG00283,P00551,2025-07-25,São Paulo,Cliente,Concluída,860.74
VG00284,P00401,2025-07-26,São Paulo,Projeto,Aprovada,2046.13
VG00285,P00542,2025-06-03,Belo Horizonte,Auditoria,Concluída,2900.15
VG00286,P00414,2024-11-07,São Paulo,Treinamento,Concluída,1491.96
VG00287,P00580,2026-02-12,Rio de Janeiro,Treinamento,Concluída,2343.37
VG00288,P00595,2024-12-13,São Paulo,Cliente,Concluída,1475.43
VG00289,P00618,2024-01-02,São Paulo,Fornecedor,Concluída,858.73
VG00290,P00208,2026-01-14,São Paulo,Cliente,Aprovada,1910.02
VG00291,P00106,2025-06-30,Curitiba,Treinamento,Concluída,3129.57
VG00292,P00267,2025-02-18,Campinas,Cliente,Aprovada,2099.23
VG00293,P00421,2026-01-10,Curitiba,Projeto,Concluída,3093.73
VG00294,P00196,2025-06-21,São Paulo,Projeto,Concluída,1481.71
VG00295,P00290,2025-10-20,Curitiba,Projeto,Concluída,3114.82
VG00296,P00552,2024-03-06,São Paulo,Cliente,Concluída,1112.93
VG00297,P00182,2024-08-15,São Paulo,Projeto,Cancelada,3156.63
VG00298,P00286,2024-02-26,Belo Horizonte,Treinamento,Concluída,1324.62
VG00299,P00682,2024-11-14,Belo Horizonte,Projeto,Concluída,1388.43
VG00300,P00879,2024-08-10,Belo Horizonte,Auditoria,Aprovada,866.9
VG00301,P00666,2024-03-15,Belo Horizonte,Fornecedor,Cancelada,718.43
VG00302,P00846,2024-06-21,São Paulo,Cliente,Cancelada,2249.87
VG00303,P00294,2025-01-16,Belo Horizonte,Auditoria,Concluída,2513.56
VG00304,P00570,2025-02-03,Campinas,Fornecedor,Aprovada,3006.5
VG00305,P00709,2024-08-07,Belo Horizonte,Projeto,Concluída,3029.06
VG00306,P00496,2025-01-06,Curitiba,Auditoria,Cancelada,1966.45
VG00307,P00256,2025-04-15,Belo Horizonte,Fornecedor,Em análise,1066.51
VG00308,P00668,2024-10-28,Campinas,Projeto,Concluída,1948.74
VG00309,P00320,2025-02-07,Campinas,Cliente,Concluída,2687.51
VG00310,P00182,2025-07-24,Curitiba,Fornecedor,Concluída,3568.94
VG00311,P00762,2025-07-08,Campinas,Cliente,Concluída,1133.47
VG00312,P00304,2026-06-22,Curitiba,Projeto,Aprovada,2400.97
VG00313,P00270,2024-08-22,Curitiba,Cliente,Aprovada,4148.36
VG00314,P00041,2026-05-25,Campinas,Projeto,Aprovada,2835.76
VG00315,P00541,2026-06-14,Belo Horizonte,Projeto,Aprovada,1628.03
VG00316,P00145,2024-07-02,Curitiba,Auditoria,Concluída,1134.06
VG00317,P00605,2026-04-04,Campinas,Fornecedor,Concluída,3407.42
VG00318,P00456,2025-08-25,Belo Horizonte,Treinamento,Aprovada,3228.51
VG00319,P00784,2024-08-24,Rio de Janeiro,Projeto,Em análise,1101.0
VG00320,P00346,2025-11-12,São Paulo,Cliente,Concluída,2402.52
VG00321,P00295,2026-05-05,São Paulo,Treinamento,Em análise,1534.5
VG00322,P00575,2026-02-05,Curitiba,Projeto,Concluída,10104.62
VG00323,P00828,2025-04-24,São Paulo,Auditoria,Aprovada,4197.37
VG00324,P00130,2026-04-09,Curitiba,Cliente,Concluída,1812.01
VG00325,P00569,2024-07-05,Rio de Janeiro,Projeto,Concluída,1932.9
VG00326,P00847,2024-05-09,São Paulo,Auditoria,Em análise,3032.13
VG00327,P00104,2025-01-14,Campinas,Treinamento,Concluída,1477.29
VG00328,P00480,2026-01-03,São Paulo,Fornecedor,Concluída,1204.66
VG00329,P00670,2024-07-01,Campinas,Projeto,Concluída,2490.23
VG00330,P00098,2025-05-01,Campinas,Treinamento,Concluída,2673.61
VG00331,P00293,2026-02-14,Belo Horizonte,Fornecedor,Concluída,1894.67
VG00332,P00600,2024-03-02,São Paulo,Auditoria,Concluída,2180.01
VG00333,P00417,2024-06-19,Campinas,Cliente,Concluída,1259.72
VG00334,P00264,2024-08-16,Belo Horizonte,Projeto,Concluída,682.41
VG00335,P00797,2025-12-11,Curitiba,Auditoria,Concluída,718.12
VG00336,P00428,2024-02-10,São Paulo,Auditoria,Concluída,690.63
VG00337,P00786,2025-07-21,Rio de Janeiro,Auditoria,Concluída,1161.62
VG00338,P00517,2024-12-03,Curitiba,Fornecedor,Cancelada,765.63
VG00339,P00780,2025-09-07,Curitiba,Fornecedor,Concluída,2538.96
VG00340,P00228,2026-01-12,São Paulo,Fornecedor,Concluída,1852.6
VG00341,P00004,2025-07-06,São Paulo,Projeto,Concluída,404.71
VG00342,P00143,2025-08-28,Belo Horizonte,Auditoria,Em análise,5425.49
VG00343,P00429,2024-09-17,Curitiba,Cliente,Concluída,368.21
VG00344,P00407,2025-10-14,São Paulo,Auditoria,Concluída,2374.89
VG00345,P00863,2025-12-27,Rio de Janeiro,Fornecedor,Concluída,1897.22
VG00346,P00687,2024-11-05,São Paulo,Cliente,Aprovada,751.57
VG00347,P00216,2025-10-01,São Paulo,Treinamento,Concluída,2792.59
VG00348,P00029,2025-05-29,Rio de Janeiro,Treinamento,Concluída,3605.01
VG00349,P00895,2026-02-23,Curitiba,Fornecedor,Concluída,1387.04
VG00350,P00224,2026-02-07,Campinas,Auditoria,Concluída,1349.71
VG00351,P00776,2025-02-06,Rio de Janeiro,Cliente,Concluída,3052.99
VG00352,P00305,2025-03-30,Campinas,Cliente,Concluída,2415.77
VG00353,P00237,2025-05-02,Rio de Janeiro,Treinamento,Cancelada,719.41
VG00354,P00008,2026-02-24,Curitiba,Treinamento,Concluída,919.64
VG00355,P00137,2026-06-27,Campinas,Cliente,Concluída,1848.01
VG00356,P00589,2025-07-05,Rio de Janeiro,Treinamento,Concluída,1873.97
