pessoa_id,unidade,area,status
P00192,Camaçari,Engenharia,Ativo
P00193,Guarulhos,Compras,Inativo
P00194,Guarulhos,Qualidade,Ativo
P00195,Guarulhos,Produção,Ativo
P00196,Guarulhos,Produção,Ativo
P00197,Jaboticabal,Qualidade,Ativo
P00198,Camaçari,Logística,Ativo
P00199,Jaboticabal,RH,Ativo
P00200,Guarulhos,TI,Ativo
P00201,Guarulhos,Qualidade,Ativo
P00202,Camaçari,Engenharia,Inativo
P00203,Jaboticabal,RH,Ativo
P00204,Guarulhos,RH,Ativo
P00205,Camaçari,Engenharia,Ativo
P00206,Camaçari,Qualidade,Ativo
P00207,Guarulhos,Compras,Ativo
P00208,Camaçari,TI,Ativo
P00209,Jaboticabal,Logística,Inativo
P00210,Guarulhos,TI,Ativo
P00211,Jaboticabal,Qualidade,Ativo
P00212,Camaçari,TI,Ativo
P00213,Camaçari,Engenharia,Ativo
P00214,Joinville,Logística,Ativo
P00215,Camaçari,Compras,Inativo
P00216,Guarulhos,Qualidade,Ativo
P00217,Camaçari,Engenharia,Ativo
P00218,Joinville,Produção,Ativo
P00219,Jaboticabal,TI,Ativo
P00220,Jaboticabal,Produção,Ativo
P00221,Camaçari,Engenharia,Ativo
P00222,Camaçari,TI,Ativo
P00223,Guarulhos,Logística,Ativo
P00224,Joinville,Logística,Ativo
P00225,Joinville,TI,Ativo
P00226,Joinville,Logística,Ativo
P00227,Jaboticabal,TI,Ativo
P00228,Joinville,Engenharia,Ativo
P00229,Joinville,RH,Ativo
P00230,Jaboticabal,Produção,Ativo
P00231,Jaboticabal,TI,Ativo
P00232,Guarulhos,RH,Ativo
P00233,Guarulhos,Compras,Ativo
P00234,Jaboticabal,Produção,Ativo
P00235,Joinville,RH,Ativo
P00236,Camaçari,RH,Ativo
P00237,Guarulhos,TI,Ativo
P00238,Camaçari,Logística,Ativo
P00239,Guarulhos,Produção,Ativo
P00240,Camaçari,TI,Ativo
P00241,Camaçari,Engenharia,Ativo
P00242,Jaboticabal,Engenharia,Ativo
P00243,Guarulhos,Logística,Ativo
P00244,Guarulhos,RH,Ativo
P00245,Jaboticabal,Produção,Ativo
P00246,Joinville,Produção,Ativo
P00247,Guarulhos,Compras,Ativo
P00248,Jaboticabal,Produção,Ativo
P00249,Camaçari,Engenharia,Ativo
P00250,Joinville,Compras,Ativo
P00251,Camaçari,Produção,Ativo
P00252,Joinville,TI,Ativo
P00253,Camaçari,Qualidade,Ativo
P00254,Guarulhos,Produção,Ativo
P00255,Guarulhos,TI,Ativo
P00256,Guarulhos,Logística,Ativo
P00257,Camaçari,Engenharia,Ativo
P00258,Jaboticabal,Engenharia,Inativo
P00259,Jaboticabal,TI,Ativo
P00260,Joinville,Engenharia,Ativo
P00261,Joinville,Produção,Ativo
P00262,Joinville,Logística,Ativo
P00263,Jaboticabal,Produção,Ativo
P00264,Jaboticabal,Qualidade,Ativo
P00265,Jaboticabal,TI,Ativo
P00266,Guarulhos,Engenharia,Ativo
P00267,Guarulhos,Engenharia,Ativo
P00268,Jaboticabal,Produção,Ativo
P00269,Joinville,RH,Ativo
P00270,Joinville,TI,Ativo
P00271,Guarulhos,TI,Ativo
P00272,Guarulhos,Qualidade,Ativo
P00273,Guarulhos,RH,Ativo
P00274,Jaboticabal,Logística,Ativo
P00275,Joinville,Qualidade,Ativo
P00276,Camaçari,Produção,Ativo
P00277,Guarulhos,RH,Inativo
P00278,Guarulhos,Logística,Ativo
P00279,Camaçari,RH,Ativo
P00280,Joinville,Produção,Ativo
P00281,Joinville,Qualidade,Ativo
P00282,Camaçari,RH,Ativo
P00283,Joinville,Compras,Ativo
P00284,Jaboticabal,Qualidade,Inativo
P00285,Jaboticabal,Produção,Ativo
P00286,Camaçari,RH,Ativo
P00287,Joinville,Qualidade,Ativo
P00288,Camaçari,TI,Ativo
P00289,Jaboticabal,Logística,Ativo
P00290,Guarulhos,RH,Ativo
P00291,Camaçari,Logística,Ativo
P00292,Joinville,Logística,Ativo
P00293,Joinville,Qualidade,Ativo
P00294,Guarulhos,RH,Ativo
P00295,Joinville,Engenharia,Ativo
P00296,Guarulhos,Compras,Ativo
P00297,Guarulhos,TI,Ativo
P00298,Jaboticabal,Produção,Ativo
P00299,Camaçari,TI,Ativo
P00300,Jaboticabal,Compras,Ativo
P00301,Joinville,RH,Ativo
P00302,Camaçari,RH,Ativo
P00303,Camaçari,TI,Ativo
P00304,Jaboticabal,Qualidade,Ativo
P00305,Guarulhos,Qualidade,Ativo
P00306,Camaçari,Logística,Ativo
P00307,Guarulhos,Produção,Ativo
P00308,Guarulhos,Logística,Ativo
P00309,Guarulhos,Logística,Inativo
P00310,Joinville,Engenharia,Ativo
P00311,Guarulhos,TI,Ativo
P00312,Jaboticabal,Produção,Ativo
P00313,Joinville,TI,Ativo
P00314,Jaboticabal,Compras,Ativo
P00315,Camaçari,Logística,Ativo
P00316,Guarulhos,Logística,Ativo
P00317,Camaçari,TI,Ativo
P00318,Camaçari,TI,Ativo
P00319,Camaçari,TI,Ativo
P00320,Jaboticabal,RH,Ativo
P00321,Guarulhos,Compras,Ativo
P00322,Camaçari,Logística,Ativo
P00323,Joinville,Produção,Ativo
P00324,Joinville,Logística,Ativo
P00325,Camaçari,Compras,Ativo
P00326,Joinville,TI,Ativo
P00327,Joinville,Engenharia,Ativo
P00328,Guarulhos,RH,Inativo
P00329,Joinville,Qualidade,Ativo
P00330,Guarulhos,TI,Ativo
P00331,Camaçari,Produção,Ativo
P00332,Jaboticabal,Qualidade,Ativo
P00333,Joinville,RH,Ativo
P00334,Camaçari,Logística,Ativo
P00335,Jaboticabal,RH,Ativo
P00336,Jaboticabal,Qualidade,Ativo
P00337,Guarulhos,Qualidade,Ativo
P00338,Jaboticabal,Produção,Inativo
P00339,Guarulhos,Engenharia,Ativo
P00340,Jaboticabal,Logística,Ativo
P00341,Camaçari,Logística,Ativo
P00342,Joinville,Produção,Ativo
P00343,Jaboticabal,RH,Ativo
P00344,Guarulhos,Compras,Ativo
P00345,Joinville,RH,Ativo
P00346,Joinville,Qualidade,Ativo
P00347,Camaçari,TI,Ativo
P00348,Camaçari,TI,Ativo
P00349,Jaboticabal,Produção,Ativo
P00350,Guarulhos,Compras,Ativo
P00351,Guarulhos,Engenharia,Ativo
P00352,Guarulhos,Produção,Ativo
P00353,Jaboticabal,Engenharia,Inativo
P00354,Camaçari,Produção,Ativo
P00355,Joinville,TI,Ativo
P00356,Jaboticabal,Qualidade,Ativo
P00357,Camaçari,RH,Ativo
P00358,Guarulhos,Qualidade,Ativo
P00359,Joinville,RH,Ativo
P00360,Camaçari,Produção,Ativo
P00361,Joinville,Produção,Ativo
P00362,Guarulhos,RH,Ativo
P00363,Joinville,Produção,Ativo
P00364,Joinville,Logística,Ativo
P00365,Guarulhos,TI,Ativo
P00366,Camaçari,Logística,Ativo
P00367,Joinville,Logística,Ativo
P00368,Guarulhos,Compras,Ativo
P00369,Joinville,RH,Ativo
P00370,Camaçari,RH,Ativo
P00371,Camaçari,RH,Ativo
P00372,Camaçari,RH,Ativo
P00373,Jaboticabal,Compras,Ativo
P00374,Jaboticabal,Compras,Ativo
P00375,Camaçari,TI,Ativo
P00376,Guarulhos,Engenharia,Ativo
P00377,Jaboticabal,Compras,Ativo
P00378,Guarulhos,Compras,Ativo
P00379,Guarulhos,Qualidade,Ativo
P00380,Camaçari,Logística,Ativo
P00381,Joinville,RH,Ativo
P00382,Camaçari,Compras,Ativo
P00383,Guarulhos,Produção,Ativo
P00384,Jaboticabal,Produção,Ativo
P00385,Guarulhos,Engenharia,Ativo
P00386,Camaçari,RH,Ativo
P00387,Jaboticabal,TI,Ativo
P00388,Guarulhos,Qualidade,Ativo
P00389,Jaboticabal,Qualidade,Ativo
P00390,Jaboticabal,Logística,Ativo
P00391,Camaçari,Qualidade,Ativo
P00392,Jaboticabal,Qualidade,Ativo
P00393,Camaçari,Qualidade,Inativo
P00394,Guarulhos,Qualidade,Ativo
P00395,Camaçari,Compras,Ativo
P00396,Joinville,Compras,Ativo
P00397,Guarulhos,Engenharia,Ativo
P00398,Guarulhos,TI,Inativo
P00399,Guarulhos,Compras,Ativo
P00400,Jaboticabal,Logística,Ativo
P00401,Guarulhos,Compras,Ativo
P00402,Camaçari,Qualidade,Ativo
P00403,Camaçari,Compras,Ativo
P00404,Guarulhos,Engenharia,Ativo
P00405,Camaçari,Compras,Ativo
P00406,Camaçari,RH,Ativo
P00407,Joinville,RH,Ativo
P00408,Camaçari,Compras,Ativo
P00409,Guarulhos,RH,Ativo
P00410,Jaboticabal,Produção,Ativo
P00411,Camaçari,RH,Ativo
P00412,Joinville,Compras,Ativo
P00413,Joinville,TI,Ativo
P00414,Jaboticabal,RH,Ativo
P00415,Camaçari,TI,Ativo
P00416,Camaçari,Compras,Ativo
P00417,Joinville,Produção,Ativo
P00418,Guarulhos,TI,Ativo
P00419,Camaçari,TI,Ativo
P00420,Joinville,Engenharia,Ativo
P00421,Guarulhos,Produção,Ativo
P00422,Jaboticabal,Compras,Ativo
P00423,Camaçari,RH,Ativo
P00424,Guarulhos,Engenharia,Ativo
P00425,Guarulhos,Logística,Ativo
P00426,Jaboticabal,Engenharia,Ativo
P00427,Jaboticabal,Logística,Ativo
P00428,Guarulhos,Qualidade,Ativo
P00429,Joinville,Logística,Ativo
P00430,Joinville,Engenharia,Ativo
P00431,Guarulhos,RH,Ativo
P00432,Camaçari,Logística,Inativo
P00433,Camaçari,Compras,Ativo
P00434,Joinville,Qualidade,Ativo
P00435,Joinville,Qualidade,Ativo
P00436,Camaçari,Logística,Ativo
P00437,Guarulhos,RH,Ativo
P00438,Jaboticabal,Produção,Ativo
P00439,Jaboticabal,Logística,Ativo
P00440,Camaçari,Compras,Ativo
P00441,Guarulhos,Qualidade,Ativo
P00442,Guarulhos,TI,Inativo
P00443,Guarulhos,Qualidade,Inativo
P00444,Camaçari,Engenharia,Ativo
P00445,Camaçari,RH,Ativo
P00446,Camaçari,Compras,Ativo
P00447,Guarulhos,Compras,Ativo
P00448,Camaçari,RH,Ativo
P00449,Camaçari,Produção,Ativo
P00450,Camaçari,TI,Inativo
P00451,Joinville,TI,Ativo
P00452,Jaboticabal,RH,Ativo
P00453,Guarulhos,Qualidade,Ativo
P00454,Camaçari,TI,Ativo
P00455,Camaçari,RH,Ativo
P00456,Joinville,Engenharia,Ativo
P00457,Camaçari,Qualidade,Ativo
P00458,Camaçari,Logística,Ativo
P00459,Camaçari,Compras,Ativo
P00460,Joinville,Qualidade,Ativo
P00461,Camaçari,Produção,Ativo
P00462,Camaçari,TI,Ativo
P00463,Joinville,RH,Ativo
P00464,Guarulhos,Produção,Ativo
P00465,Guarulhos,RH,Ativo
P00466,Guarulhos,Compras,Ativo
P00467,Guarulhos,Engenharia,Ativo
P00468,Jaboticabal,RH,Ativo
P00469,Joinville,TI,Ativo
P00470,Jaboticabal,Engenharia,Ativo
P00471,Guarulhos,Compras,Ativo
P00472,Joinville,TI,Inativo
P00473,Camaçari,Produção,Ativo
P00474,Joinville,Produção,Ativo
P00475,Jaboticabal,RH,Ativo
P00476,Joinville,TI,Ativo
P00477,Joinville,RH,Ativo
P00478,Camaçari,Engenharia,Inativo
P00479,Guarulhos,Qualidade,Ativo
P00480,Guarulhos,TI,Ativo
P00481,Joinville,Compras,Ativo
P00482,Guarulhos,Qualidade,Ativo
P00483,Camaçari,Engenharia,Inativo
P00484,Jaboticabal,RH,Ativo
P00485,Joinville,Compras,Ativo
P00486,Joinville,RH,Ativo
P00487,Guarulhos,RH,Ativo
P00488,Joinville,Produção,Ativo
P00489,Guarulhos,Produção,Ativo
P00490,Joinville,Produção,Ativo
P00491,Camaçari,Logística,Ativo
P00492,Jaboticabal,RH,Inativo
P00493,Guarulhos,TI,Ativo
P00494,Guarulhos,TI,Ativo
P00495,Joinville,RH,Ativo
P00496,Joinville,Qualidade,Ativo
P00497,Joinville,Compras,Inativo
P00498,Jaboticabal,Produção,Ativo
P00499,Jaboticabal,Logística,Ativo
P00500,Guarulhos,Compras,Ativo
P00501,Jaboticabal,TI,Ativo
P00502,Jaboticabal,TI,Ativo
P00503,Guarulhos,Produção,Ativo
P00504,Camaçari,Produção,Ativo
P00505,Guarulhos,Engenharia,Ativo
P00506,Joinville,Produção,Ativo
P00507,Jaboticabal,TI,Ativo
P00508,Joinville,RH,Inativo
P00509,Jaboticabal,Produção,Ativo
P00510,Guarulhos,TI,Inativo
P00511,Jaboticabal,Qualidade,Inativo
P00512,Joinville,Engenharia,Ativo
P00513,Guarulhos,Produção,Ativo
P00514,Guarulhos,Produção,Ativo
P00515,Joinville,TI,Ativo
P00516,Guarulhos,Qualidade,Ativo
P00517,Guarulhos,TI,Ativo
P00518,Joinville,Qualidade,Ativo
P00519,Camaçari,Qualidade,Ativo
P00520,Joinville,Engenharia,Ativo
P00521,Guarulhos,RH,Ativo
P00522,Jaboticabal,Logística,Inativo
P00523,Jaboticabal,Logística,Ativo
P00524,Jaboticabal,Logística,Ativo
P00525,Guarulhos,Logística,Ativo
P00526,Camaçari,Qualidade,Inativo
P00527,Joinville,Engenharia,Ativo
P00528,Joinville,Compras,Ativo
P00529,Joinville,Produção,Ativo
P00530,Camaçari,RH,Inativo
P00531,Jaboticabal,Logística,Ativo
P00532,Guarulhos,Logística,Ativo
P00533,Joinville,Compras,Ativo
P00534,Camaçari,TI,Ativo
P00535,Joinville,Logística,Ativo
P00536,Guarulhos,RH,Ativo
P00537,Joinville,Compras,Ativo
P00538,Joinville,Produção,Ativo
P00539,Guarulhos,Qualidade,Ativo
P00540,Joinville,TI,Inativo
P00541,Guarulhos,RH,Ativo
P00542,Guarulhos,Compras,Ativo
P00543,Jaboticabal,RH,Ativo
P00544,Guarulhos,TI,Ativo
P00545,Jaboticabal,Compras,Ativo
P00546,Guarulhos,Logística,Ativo
P00547,Joinville,Qualidade,Ativo
P00548,Joinville,TI,Ativo
P00549,Guarulhos,TI,Ativo
P00550,Joinville,RH,Ativo
P00551,Jaboticabal,TI,Ativo
P00552,Joinville,Produção,Ativo
P00553,Guarulhos,Qualidade,Inativo
P00554,Guarulhos,RH,Ativo
P00555,Guarulhos,TI,Ativo
P00556,Jaboticabal,TI,Inativo
P00557,Joinville,Produção,Ativo
P00558,Guarulhos,Produção,Ativo
P00559,Joinville,Qualidade,Ativo
P00560,Joinville,TI,Ativo
P00561,Jaboticabal,RH,Ativo
P00562,Joinville,TI,Ativo
P00563,Camaçari,RH,Ativo
P00564,Guarulhos,Logística,Ativo
P00565,Jaboticabal,Qualidade,Ativo
P00566,Joinville,Compras,Ativo
P00567,Camaçari,Logística,Ativo
P00568,Jaboticabal,Produção,Ativo
P00569,Camaçari,Compras,Ativo
P00570,Guarulhos,Produção,Ativo
P00571,Jaboticabal,Qualidade,Ativo
P00572,Joinville,Qualidade,Ativo
P00573,Guarulhos,RH,Ativo
P00574,Guarulhos,Qualidade,Inativo
P00575,Camaçari,Compras,Ativo
P00576,Jaboticabal,Logística,Ativo
P00577,Jaboticabal,Qualidade,Ativo
P00578,Camaçari,Qualidade,Ativo
P00579,Joinville,Produção,Ativo
P00580,Camaçari,Compras,Ativo
P00581,Jaboticabal,Qualidade,Ativo
P00582,Jaboticabal,Engenharia,Ativo
P00583,Joinville,RH,Ativo
P00584,Camaçari,Compras,Ativo
P00585,Camaçari,Qualidade,Inativo
P00586,Joinville,TI,Ativo
P00587,Camaçari,Engenharia,Ativo
P00588,Guarulhos,Compras,Ativo
P00589,Jaboticabal,TI,Ativo
P00590,Joinville,RH,Ativo
P00591,Guarulhos,Engenharia,Ativo
P00592,Joinville,Engenharia,Ativo
P00593,Camaçari,Engenharia,Ativo
P00594,Joinville,RH,Ativo
P00595,Guarulhos,TI,Ativo
P00596,Jaboticabal,Compras,Ativo
P00597,Jaboticabal,Logística,Ativo
P00598,Joinville,Logística,Ativo
P00599,Jaboticabal,Qualidade,Ativo
P00600,Joinville,Compras,Ativo
P00601,Joinville,Logística,Ativo
P00602,Guarulhos,TI,Ativo
P00603,Camaçari,Compras,Ativo
P00604,Camaçari,TI,Ativo
P00605,Jaboticabal,Qualidade,Ativo
P00606,Joinville,Compras,Ativo
P00607,Joinville,Qualidade,Ativo
P00608,Jaboticabal,Logística,Ativo
P00609,Guarulhos,Compras,Ativo
P00610,Joinville,Logística,Ativo
P00611,Camaçari,Engenharia,Ativo
P00612,Joinville,Produção,Ativo
P00613,Camaçari,Logística,Ativo
P00614,Guarulhos,Produção,Ativo
P00615,Joinville,Compras,Ativo
P00616,Camaçari,Qualidade,Ativo
P00617,Camaçari,Logística,Ativo
P00618,Jaboticabal,Engenharia,Ativo
P00619,Camaçari,Logística,Ativo
P00620,Camaçari,Produção,Ativo
P00621,Camaçari,Engenharia,Ativo
P00622,Joinville,Compras,Inativo
P00623,Camaçari,RH,Ativo
P00624,Camaçari,Produção,Ativo
P00625,Camaçari,Logística,Ativo
P00626,Jaboticabal,Produção,Ativo
P00627,Jaboticabal,Qualidade,Ativo
P00628,Camaçari,Produção,Ativo
P00629,Jaboticabal,RH,Ativo
P00630,Joinville,Logística,Ativo
P00631,Guarulhos,Qualidade,Ativo
P00632,Joinville,Engenharia,Ativo
P00633,Guarulhos,Logística,Ativo
P00634,Jaboticabal,Compras,Ativo
P00635,Joinville,Engenharia,Ativo
P00636,Camaçari,TI,Ativo
P00637,Camaçari,TI,Ativo
P00638,Jaboticabal,Compras,Inativo
P00639,Joinville,Logística,Ativo
P00640,Guarulhos,Logística,Ativo
P00641,Jaboticabal,Produção,Ativo
P00642,Joinville,Logística,Ativo
P00643,Joinville,Compras,Ativo
P00644,Camaçari,Engenharia,Ativo
P00645,Joinville,Compras,Inativo
P00646,Guarulhos,RH,Ativo
P00647,Jaboticabal,Engenharia,Ativo
P00648,Camaçari,RH,Ativo
P00649,Camaçari,Logística,Ativo
P00650,Joinville,Qualidade,Ativo
P00651,Joinville,TI,Ativo
P00652,Camaçari,Logística,Ativo
P00653,Joinville,RH,Ativo
P00654,Camaçari,RH,Ativo
P00655,Jaboticabal,TI,Ativo
P00656,Jaboticabal,Qualidade,Ativo
P00657,Jaboticabal,TI,Ativo
P00658,Camaçari,RH,Ativo
P00659,Joinville,Qualidade,Ativo
P00660,Camaçari,Produção,Ativo
P00661,Joinville,Qualidade,Ativo
P00662,Camaçari,TI,Ativo
P00663,Joinville,Engenharia,Ativo
P00664,Guarulhos,RH,Ativo
P00665,Guarulhos,Qualidade,Ativo
P00666,Camaçari,Produção,Ativo
P00667,Camaçari,TI,Ativo
P00668,Joinville,Produção,Inativo
P00669,Joinville,Compras,Ativo
P00670,Guarulhos,RH,Ativo
P00671,Guarulhos,Produção,Ativo
P00672,Camaçari,Logística,Ativo
P00673,Guarulhos,Compras,Inativo
P00674,Joinville,Qualidade,Ativo
P00675,Guarulhos,Engenharia,Ativo
P00676,Jaboticabal,Produção,Inativo
P00677,Guarulhos,Qualidade,Ativo
P00678,Jaboticabal,Logística,Ativo
P00679,Guarulhos,TI,Ativo
P00680,Joinville,Logística,Ativo
P00681,Guarulhos,TI,Ativo
P00682,Joinville,Compras,Ativo
P00683,Joinville,Produção,Ativo
P00684,Jaboticabal,Logística,Ativo
P00685,Camaçari,Compras,Ativo
P00686,Joinville,RH,Ativo
P00687,Jaboticabal,Logística,Ativo
P00688,Jaboticabal,RH,Ativo
P00689,Jaboticabal,Compras,Ativo
P00690,Jaboticabal,Qualidade,Ativo
P00691,Camaçari,Logística,Ativo
P00692,Guarulhos,Logística,Ativo
P00693,Jaboticabal,RH,Ativo
P00694,Guarulhos,Engenharia,Ativo
P00695,Guarulhos,Produção,Ativo
P00696,Joinville,RH,Ativo
P00697,Camaçari,Produção,Ativo
P00698,Camaçari,TI,Ativo
P00699,Guarulhos,Produção,Ativo
P00700,Camaçari,Logística,Ativo
P00701,Camaçari,Engenharia,Ativo
P00702,Camaçari,Logística,Inativo
P00703,Guarulhos,Compras,Ativo
P00704,Camaçari,TI,Ativo
P00705,Guarulhos,TI,Ativo
P00706,Guarulhos,Logística,Ativo
P00707,Camaçari,Logística,Ativo
P00708,Jaboticabal,TI,Ativo
P00709,Camaçari,Engenharia,Ativo
