honorario_id,processo_id,modelo_cobranca,valor_contratado,percentual_exito,data_contrato,status,motivo_rejeicao
1843,1843,Hora,2392.95,345.47,2026-03-05,Ativo,fk_invalida:processo_id
1857,1857,Êxito,22359.9,7703.81,2025-05-12,Em atraso,fk_invalida:processo_id
1868,1868,Misto,5576.76,216.05,2026-08-03,Em atraso,fk_invalida:processo_id
1893,1893,Fixo,42306.7,9494.42,2026-07-06,Ativo,fk_invalida:processo_id
1899,1899,Hora,27263.98,3353.92,2025-07-11,Em atraso,fk_invalida:processo_id
1926,1926,Misto,5421.38,1831.3,2026-02-02,Ativo,fk_invalida:processo_id
1932,1932,Misto,6604.03,1427.57,2025-12-10,Em atraso,fk_invalida:processo_id
1933,1933,Fixo,13492.92,3543.13,2025-08-10,Quitado,fk_invalida:processo_id
1937,1937,Êxito,8012.27,1299.26,2025-11-12,Quitado,fk_invalida:processo_id
1949,1949,Hora,24672.07,6884.18,2026-10-02,Em atraso,fk_invalida:processo_id
1970,1970,Misto,11572.3,3052.85,2025-09-11,Em atraso,fk_invalida:processo_id
1993,1993,Êxito,27089.1,1200.07,2025-09-07,Em atraso,fk_invalida:processo_id
2005,2005,Fixo,42611.39,7817.66,2026-04-03,Quitado,fk_invalida:processo_id
2007,2007,Hora,18609.02,181.16,2026-11-02,Quitado,fk_invalida:processo_id
2019,2019,Hora,7180.35,1703.56,2025-09-09,Ativo,fk_invalida:processo_id
2030,2030,Êxito,9831.93,2492.02,2026-10-05,Ativo,fk_invalida:processo_id
2035,2035,Misto,37856.34,3899.06,2025-12-07,Ativo,fk_invalida:processo_id
2073,2073,Hora,29364.26,3947.5,2025-06-07,Em atraso,fk_invalida:processo_id
2096,2096,Êxito,5852.3,845.15,2025-12-11,Quitado,fk_invalida:processo_id
2104,2104,Hora,29816.69,1623.31,2026-02-05,Quitado,fk_invalida:processo_id
2107,2107,Misto,26828.81,8358.77,2025-07-10,Ativo,fk_invalida:processo_id
2127,2127,Hora,44819.85,741.13,2026-01-02,Quitado,fk_invalida:processo_id
2134,2134,Misto,27024.32,8085.97,2026-12-06,Ativo,fk_invalida:processo_id
2143,2143,Êxito,6991.54,2374.76,2025-03-12,Ativo,fk_invalida:processo_id
2148,2148,Hora,9836.28,1651.54,2025-05-11,Em atraso,fk_invalida:processo_id
2149,2149,Fixo,6947.39,297.06,2026-12-06,Ativo,fk_invalida:processo_id
2158,2158,Fixo,24140.57,3313.94,2026-04-04,Ativo,fk_invalida:processo_id
2162,2162,Hora,33398.02,7841.09,2025-12-10,Ativo,fk_invalida:processo_id
