prazo_id,processo_id,tipo_prazo,data_vencimento,data_conclusao,status,prioridade,motivo_rejeicao
355,139,Recurso,2027-02-05,,Aberto,Baixa,fk_invalida:processo_id
356,140,Recurso,2026-11-11,2026-11-18,Concluído,Média,fk_invalida:processo_id
357,140,Pagamento,2026-09-11,2026-10-22,Concluído,Alta,fk_invalida:processo_id
358,140,Pagamento,2026-03-08,2026-07-14,Concluído,Baixa,fk_invalida:processo_id
359,140,Pagamento,2026-12-03,2026-03-19,Concluído,Alta,fk_invalida:processo_id
360,141,Documento,2027-05-02,,Aberto,Alta,fk_invalida:processo_id
366,143,Manifestação,2026-01-10,2026-09-23,Concluído,Baixa,fk_invalida:processo_id
367,144,Recurso,2026-09-09,,Aberto,Alta,fk_invalida:processo_id
369,145,Documento,2026-01-02,2026-01-29,Concluído,Média,fk_invalida:processo_id
374,147,Recurso,2026-12-07,2026-06-28,Concluído,Média,fk_invalida:processo_id
375,147,Contestação,2026-04-12,2026-11-17,Concluído,Baixa,fk_invalida:processo_id
376,147,Contestação,2026-04-09,2026-09-05,Concluído,Baixa,fk_invalida:processo_id
379,149,Manifestação,2026-06-05,2026-04-23,Concluído,Alta,fk_invalida:processo_id
389,153,Recurso,2026-09-06,2026-06-17,Concluído,Baixa,fk_invalida:processo_id
390,153,Manifestação,2027-03-05,2027-04-19,Concluído,Alta,fk_invalida:processo_id
393,154,Pagamento,2026-05-06,2026-06-13,Concluído,Baixa,fk_invalida:processo_id
399,155,Manifestação,2027-05-07,2027-07-01,Concluído,Alta,fk_invalida:processo_id
400,155,Recurso,2027-01-03,2027-03-05,Concluído,Alta,fk_invalida:processo_id
417,163,Recurso,2026-06-10,2026-10-04,Concluído,Alta,fk_invalida:processo_id
419,163,Manifestação,2026-04-07,2026-06-14,Concluído,Baixa,fk_invalida:processo_id
424,165,Documento,2026-06-09,2026-09-12,Concluído,Alta,fk_invalida:processo_id
425,165,Manifestação,2026-07-12,2026-11-22,Concluído,Média,fk_invalida:processo_id
430,167,Recurso,2026-09-05,,Vencido,Baixa,fk_invalida:processo_id
432,167,Contestação,2026-02-12,2026-11-14,Concluído,Média,fk_invalida:processo_id
440,171,Manifestação,2026-09-06,2026-05-30,Concluído,Baixa,fk_invalida:processo_id
450,176,Pagamento,2026-04-01,2025-12-27,Concluído,Baixa,fk_invalida:processo_id
451,176,Documento,2026-04-11,2026-11-12,Concluído,Baixa,fk_invalida:processo_id
464,182,Recurso,2027-04-08,2027-07-29,Concluído,Alta,fk_invalida:processo_id
469,183,Contestação,2027-12-01,2027-01-04,Concluído,Baixa,fk_invalida:processo_id
476,186,Manifestação,2027-01-02,,Aberto,Baixa,fk_invalida:processo_id
477,186,Recurso,2026-09-05,2026-04-21,Concluído,Baixa,fk_invalida:processo_id
480,187,Recurso,2025-04-09,2025-08-28,Concluído,Média,fk_invalida:processo_id
481,188,Documento,2026-12-03,2026-02-26,Concluído,Média,fk_invalida:processo_id
483,189,Documento,2026-09-08,2026-08-19,Concluído,Alta,fk_invalida:processo_id
485,189,Pagamento,2027-07-02,2027-02-13,Concluído,Alta,fk_invalida:processo_id
489,191,Manifestação,2027-05-02,2027-02-15,Concluído,Alta,fk_invalida:processo_id
491,192,Pagamento,2026-12-09,2026-09-09,Concluído,Baixa,fk_invalida:processo_id
502,196,Documento,2026-12-09,2026-09-03,Concluído,Baixa,fk_invalida:processo_id
503,196,Contestação,2027-07-08,2027-08-09,Concluído,Alta,fk_invalida:processo_id
509,198,Pagamento,2026-01-08,2026-08-02,Concluído,Baixa,fk_invalida:processo_id
510,199,Manifestação,2027-06-06,2027-05-27,Concluído,Alta,fk_invalida:processo_id
512,200,Recurso,2026-05-01,2026-01-13,Concluído,Alta,fk_invalida:processo_id
515,200,Pagamento,2025-02-08,2025-07-13,Concluído,Alta,fk_invalida:processo_id
520,202,Manifestação,2026-05-04,2026-04-07,Concluído,Baixa,fk_invalida:processo_id
522,203,Pagamento,2026-07-07,2026-06-23,Concluído,Baixa,fk_invalida:processo_id
523,203,Pagamento,2025-03-11,,Vencido,Baixa,fk_invalida:processo_id
530,207,Recurso,2026-01-08,,Aberto,Média,fk_invalida:processo_id
532,207,Contestação,2027-07-03,2027-03-04,Concluído,Baixa,fk_invalida:processo_id
534,208,Documento,2026-05-08,,Aberto,Alta,fk_invalida:processo_id
535,208,Documento,2025-01-11,2025-11-05,Concluído,Alta,fk_invalida:processo_id
542,212,Documento,2026-06-07,2026-06-24,Concluído,Média,fk_invalida:processo_id
547,213,Manifestação,2026-01-02,2026-02-02,Concluído,Média,fk_invalida:processo_id
552,216,Pagamento,2026-04-04,2026-03-25,Concluído,Média,fk_invalida:processo_id
554,216,Manifestação,2026-04-07,2026-06-22,Concluído,Baixa,fk_invalida:processo_id
555,216,Contestação,2027-10-01,2026-12-28,Concluído,Baixa,fk_invalida:processo_id
557,217,Contestação,2026-07-07,2026-07-12,Concluído,Alta,fk_invalida:processo_id
560,219,Documento,2027-01-02,,Aberto,Baixa,fk_invalida:processo_id
564,220,Documento,2026-08-10,,Aberto,Média,fk_invalida:processo_id
573,224,Contestação,2026-04-02,,Vencido,Alta,fk_invalida:processo_id
577,226,Contestação,2026-01-10,2026-09-12,Concluído,Baixa,fk_invalida:processo_id
585,230,Documento,2025-05-11,2025-10-18,Concluído,Baixa,fk_invalida:processo_id
589,232,Manifestação,2027-11-10,2027-10-21,Concluído,Média,fk_invalida:processo_id
592,234,Recurso,2026-08-04,2026-03-23,Concluído,Baixa,fk_invalida:processo_id
601,238,Contestação,2026-02-12,2026-11-15,Concluído,Baixa,fk_invalida:processo_id
605,241,Manifestação,2027-03-02,,Aberto,Baixa,fk_invalida:processo_id
609,242,Recurso,2026-10-12,2026-12-12,Concluído,Baixa,fk_invalida:processo_id
610,242,Contestação,2026-02-01,2025-12-23,Concluído,Baixa,fk_invalida:processo_id
615,245,Pagamento,2027-11-10,2027-09-29,Concluído,Alta,fk_invalida:processo_id
616,245,Documento,2027-02-07,2027-06-19,Concluído,Baixa,fk_invalida:processo_id
617,245,Documento,2027-10-08,2027-07-24,Concluído,Baixa,fk_invalida:processo_id
619,247,Documento,2025-03-08,2025-08-12,Concluído,Média,fk_invalida:processo_id
621,247,Documento,2026-11-01,2026-01-13,Concluído,Média,fk_invalida:processo_id
626,248,Contestação,2027-11-04,2027-03-24,Concluído,Baixa,fk_invalida:processo_id
643,256,Contestação,2026-12-06,2026-06-09,Concluído,Baixa,fk_invalida:processo_id
657,262,Pagamento,2027-08-02,2027-01-20,Concluído,Alta,fk_invalida:processo_id
658,262,Pagamento,2026-06-07,2026-07-11,Concluído,Média,fk_invalida:processo_id
667,266,Documento,2027-08-02,,Aberto,Baixa,fk_invalida:processo_id
668,266,Documento,2027-12-02,2027-02-04,Concluído,Baixa,fk_invalida:processo_id
674,269,Documento,2026-02-12,2026-11-19,Concluído,Alta,fk_invalida:processo_id
676,269,Contestação,2026-11-08,,Aberto,Baixa,fk_invalida:processo_id
680,270,Pagamento,2027-12-01,2026-12-31,Concluído,Média,fk_invalida:processo_id
682,271,Contestação,2026-11-05,2026-04-26,Concluído,Baixa,fk_invalida:processo_id
683,271,Pagamento,2026-12-03,,Vencido,Alta,fk_invalida:processo_id
686,272,Pagamento,2026-10-06,2026-06-11,Concluído,Baixa,fk_invalida:processo_id
687,273,Recurso,2027-08-03,2027-02-28,Concluído,Baixa,fk_invalida:processo_id
688,274,Manifestação,2026-05-05,2026-05-13,Concluído,Baixa,fk_invalida:processo_id
690,274,Documento,2026-02-12,,Aberto,Baixa,fk_invalida:processo_id
693,276,Documento,2026-07-12,2026-11-20,Concluído,Média,fk_invalida:processo_id
694,277,Pagamento,2027-06-01,,Aberto,Alta,fk_invalida:processo_id
697,279,Recurso,2026-05-08,2026-08-10,Concluído,Baixa,fk_invalida:processo_id
699,279,Documento,2026-08-04,2026-03-25,Concluído,Baixa,fk_invalida:processo_id
701,280,Recurso,2026-11-05,,Vencido,Baixa,fk_invalida:processo_id
702,280,Contestação,2026-12-01,,Vencido,Baixa,fk_invalida:processo_id
704,281,Recurso,2026-07-05,2026-04-19,Concluído,Baixa,fk_invalida:processo_id
705,281,Manifestação,2025-12-09,2025-08-25,Concluído,Alta,fk_invalida:processo_id
706,281,Manifestação,2026-08-08,,Aberto,Média,fk_invalida:processo_id
708,282,Pagamento,2026-02-11,2026-10-20,Concluído,Média,fk_invalida:processo_id
712,284,Manifestação,2026-05-09,2026-08-16,Concluído,Média,fk_invalida:processo_id
728,291,Contestação,2027-08-02,2027-02-03,Concluído,Alta,fk_invalida:processo_id
729,291,Contestação,2026-06-04,2026-03-29,Concluído,Alta,fk_invalida:processo_id
731,292,Contestação,2027-02-04,2027-03-31,Concluído,Média,fk_invalida:processo_id
732,292,Recurso,2026-10-03,2026-02-23,Concluído,Média,fk_invalida:processo_id
734,292,Contestação,2026-11-12,,Aberto,Baixa,fk_invalida:processo_id
747,296,Documento,2027-11-05,,Aberto,Baixa,fk_invalida:processo_id
750,298,Contestação,2026-09-02,,Vencido,Média,fk_invalida:processo_id
751,298,Recurso,2026-01-10,2026-10-10,Concluído,Baixa,fk_invalida:processo_id
752,299,Manifestação,2026-01-10,2026-09-19,Concluído,Média,fk_invalida:processo_id
757,301,Contestação,2026-11-09,2026-08-29,Concluído,Baixa,fk_invalida:processo_id
759,301,Recurso,2027-08-01,2026-12-21,Concluído,Média,fk_invalida:processo_id
768,306,Documento,2027-11-08,,Aberto,Baixa,fk_invalida:processo_id
769,306,Documento,2027-12-07,2027-07-09,Concluído,Alta,fk_invalida:processo_id
770,306,Documento,2026-08-11,2026-10-28,Concluído,Alta,fk_invalida:processo_id
774,307,Manifestação,2026-02-11,2026-10-16,Concluído,Média,fk_invalida:processo_id
776,308,Pagamento,2027-05-04,2027-03-16,Concluído,Média,fk_invalida:processo_id
781,309,Contestação,2026-09-01,2026-01-18,Concluído,Média,fk_invalida:processo_id
782,310,Contestação,2026-06-10,,Aberto,Baixa,fk_invalida:processo_id
789,313,Recurso,2027-04-02,,Aberto,Alta,fk_invalida:processo_id
792,315,Pagamento,2027-04-01,2027-01-13,Concluído,Alta,fk_invalida:processo_id
793,316,Documento,2026-01-02,,Vencido,Alta,fk_invalida:processo_id
796,317,Pagamento,2026-04-04,,Vencido,Média,fk_invalida:processo_id
797,318,Recurso,2026-11-10,2026-09-24,Concluído,Alta,fk_invalida:processo_id
798,319,Pagamento,2027-03-02,2027-01-31,Concluído,Média,fk_invalida:processo_id
807,325,Contestação,2027-12-10,2027-10-12,Concluído,Baixa,fk_invalida:processo_id
813,328,Manifestação,2027-09-09,2027-09-12,Concluído,Baixa,fk_invalida:processo_id
814,328,Contestação,2027-01-02,2027-01-28,Concluído,Alta,fk_invalida:processo_id
820,330,Recurso,2026-08-06,2026-05-27,Concluído,Média,fk_invalida:processo_id
834,335,Recurso,2025-10-08,,Vencido,Alta,fk_invalida:processo_id
838,337,Recurso,2026-09-05,2026-04-25,Concluído,Média,fk_invalida:processo_id
844,338,Contestação,2025-04-12,,Vencido,Baixa,fk_invalida:processo_id
845,339,Manifestação,2027-10-02,2027-02-04,Concluído,Média,fk_invalida:processo_id
847,340,Contestação,2026-12-06,2026-06-02,Concluído,Média,fk_invalida:processo_id
848,340,Recurso,2027-08-05,2027-05-12,Concluído,Alta,fk_invalida:processo_id
850,341,Contestação,2026-04-05,,Vencido,Baixa,fk_invalida:processo_id
851,341,Pagamento,2026-10-08,2026-07-26,Concluído,Média,fk_invalida:processo_id
853,342,Documento,2026-04-07,,Aberto,Média,fk_invalida:processo_id
857,344,Recurso,2026-11-06,2026-05-24,Concluído,Alta,fk_invalida:processo_id
858,344,Manifestação,2026-03-09,2026-09-10,Concluído,Média,fk_invalida:processo_id
866,346,Contestação,2026-10-10,2026-09-25,Concluído,Média,fk_invalida:processo_id
872,348,Documento,2027-05-01,,Aberto,Alta,fk_invalida:processo_id
877,350,Documento,2026-02-11,2026-10-14,Concluído,Média,fk_invalida:processo_id
884,353,Recurso,2026-09-11,2026-11-08,Concluído,Alta,fk_invalida:processo_id
886,355,Contestação,2026-03-12,2026-11-18,Concluído,Média,fk_invalida:processo_id
887,355,Contestação,2026-06-08,2026-08-06,Concluído,Alta,fk_invalida:processo_id
888,355,Pagamento,2026-04-02,2026-02-13,Concluído,Baixa,fk_invalida:processo_id
890,356,Documento,2026-04-03,2026-03-02,Concluído,Baixa,fk_invalida:processo_id
896,358,Recurso,2027-07-02,2027-02-12,Concluído,Baixa,fk_invalida:processo_id
897,359,Contestação,2026-09-08,2026-07-20,Concluído,Média,fk_invalida:processo_id
899,360,Recurso,2025-01-10,2025-09-12,Concluído,Média,fk_invalida:processo_id
904,361,Contestação,2025-07-12,2025-11-18,Concluído,Alta,fk_invalida:processo_id
911,364,Documento,2026-08-09,2026-08-23,Concluído,Alta,fk_invalida:processo_id
912,364,Contestação,2026-03-03,2026-03-08,Concluído,Média,fk_invalida:processo_id
913,364,Pagamento,2026-02-08,2026-08-11,Concluído,Alta,fk_invalida:processo_id
921,370,Documento,2026-02-12,2026-11-14,Concluído,Média,fk_invalida:processo_id
923,371,Documento,2026-02-03,2026-02-23,Concluído,Baixa,fk_invalida:processo_id
925,371,Recurso,2027-12-03,2027-02-21,Concluído,Média,fk_invalida:processo_id
926,372,Pagamento,2026-07-08,,Aberto,Alta,fk_invalida:processo_id
928,372,Recurso,2025-10-09,2025-09-03,Concluído,Média,fk_invalida:processo_id
942,377,Pagamento,2026-03-04,2026-04-08,Concluído,Alta,fk_invalida:processo_id
943,377,Documento,2026-01-06,,Vencido,Alta,fk_invalida:processo_id
950,380,Manifestação,2027-10-08,2027-08-05,Concluído,Alta,fk_invalida:processo_id
951,380,Documento,2027-07-05,,Aberto,Alta,fk_invalida:processo_id
954,381,Recurso,2026-10-01,2026-01-03,Concluído,Baixa,fk_invalida:processo_id
962,387,Recurso,2027-09-07,2027-06-19,Concluído,Alta,fk_invalida:processo_id
975,392,Recurso,2027-08-02,2027-02-05,Concluído,Média,fk_invalida:processo_id
976,392,Documento,2027-01-02,2027-01-29,Concluído,Alta,fk_invalida:processo_id
978,392,Recurso,2027-07-05,,Aberto,Baixa,fk_invalida:processo_id
979,393,Pagamento,2026-09-06,2026-06-01,Concluído,Alta,fk_invalida:processo_id
988,396,Contestação,2026-08-03,2026-03-07,Concluído,Média,fk_invalida:processo_id
998,401,Manifestação,2026-10-12,2026-12-11,Concluído,Baixa,fk_invalida:processo_id
999,402,Pagamento,2026-02-12,,Aberto,Alta,fk_invalida:processo_id
1002,403,Contestação,2026-07-11,,Aberto,Alta,fk_invalida:processo_id
1013,407,Manifestação,2025-04-12,2025-12-03,Concluído,Alta,fk_invalida:processo_id
1015,407,Pagamento,2026-07-07,2026-06-30,Concluído,Alta,fk_invalida:processo_id
1017,409,Recurso,2027-01-07,2027-07-01,Concluído,Baixa,fk_invalida:processo_id
1019,409,Recurso,2026-12-08,2026-08-22,Concluído,Média,fk_invalida:processo_id
1020,410,Manifestação,2027-10-04,2027-03-22,Concluído,Alta,fk_invalida:processo_id
1021,410,Manifestação,2027-04-05,2027-05-09,Concluído,Média,fk_invalida:processo_id
1022,410,Contestação,2027-03-01,2027-01-08,Concluído,Alta,fk_invalida:processo_id
1029,413,Contestação,2026-03-03,,Vencido,Baixa,fk_invalida:processo_id
1031,414,Contestação,2027-09-06,2027-05-21,Concluído,Baixa,fk_invalida:processo_id
1046,420,Manifestação,2025-09-09,2025-09-16,Concluído,Alta,fk_invalida:processo_id
1048,421,Recurso,2027-08-08,2027-08-12,Concluído,Média,fk_invalida:processo_id
1050,422,Pagamento,2026-10-03,,Vencido,Baixa,fk_invalida:processo_id
1051,422,Manifestação,2026-07-03,2026-02-17,Concluído,Média,fk_invalida:processo_id
1053,423,Contestação,2026-01-07,2026-06-14,Concluído,Alta,fk_invalida:processo_id
1057,424,Recurso,2026-08-09,2026-09-04,Concluído,Alta,fk_invalida:processo_id
1059,424,Recurso,2026-07-07,,Aberto,Média,fk_invalida:processo_id
1062,425,Manifestação,2027-04-04,2027-03-19,Concluído,Baixa,fk_invalida:processo_id
1063,425,Contestação,2027-09-05,2027-05-05,Concluído,Média,fk_invalida:processo_id
1066,427,Recurso,2026-11-05,,Vencido,Alta,fk_invalida:processo_id
1070,429,Pagamento,2027-07-05,,Aberto,Alta,fk_invalida:processo_id
1071,430,Pagamento,2025-02-11,2025-11-05,Concluído,Baixa,fk_invalida:processo_id
1072,430,Pagamento,2025-06-11,2025-11-12,Concluído,Baixa,fk_invalida:processo_id
1078,433,Pagamento,2026-01-06,2026-06-11,Concluído,Baixa,fk_invalida:processo_id
1080,434,Contestação,2027-12-02,2027-02-11,Concluído,Baixa,fk_invalida:processo_id
1086,436,Recurso,2026-10-01,2026-01-16,Concluído,Baixa,fk_invalida:processo_id
1087,436,Manifestação,2026-04-12,2026-12-03,Concluído,Baixa,fk_invalida:processo_id
1105,444,Documento,2026-09-07,2026-07-01,Concluído,Alta,fk_invalida:processo_id
1106,444,Recurso,2025-11-09,2025-09-01,Concluído,Baixa,fk_invalida:processo_id
1107,444,Manifestação,2025-08-10,2025-09-26,Concluído,Média,fk_invalida:processo_id
1114,447,Documento,2026-03-11,2026-11-01,Concluído,Baixa,fk_invalida:processo_id
1115,447,Manifestação,2026-04-05,2026-04-28,Concluído,Média,fk_invalida:processo_id
1120,450,Contestação,2027-06-02,2027-01-21,Concluído,Alta,fk_invalida:processo_id
1121,451,Manifestação,2027-03-04,2027-04-13,Concluído,Baixa,fk_invalida:processo_id
1123,452,Manifestação,2026-11-07,2026-07-09,Concluído,Alta,fk_invalida:processo_id
1127,454,Documento,2026-08-08,,Aberto,Média,fk_invalida:processo_id
1128,454,Contestação,2026-09-08,2026-07-27,Concluído,Baixa,fk_invalida:processo_id
1137,460,Pagamento,2025-07-09,,Vencido,Baixa,fk_invalida:processo_id
1139,460,Documento,2026-05-01,2026-01-10,Concluído,Média,fk_invalida:processo_id
1150,464,Pagamento,2026-06-07,2026-07-05,Concluído,Baixa,fk_invalida:processo_id
1159,467,Manifestação,2026-12-02,2026-01-31,Concluído,Média,fk_invalida:processo_id
1160,467,Contestação,2026-01-06,2026-05-15,Concluído,Baixa,fk_invalida:processo_id
1161,468,Contestação,2027-03-03,2027-02-19,Concluído,Alta,fk_invalida:processo_id
1162,469,Manifestação,2026-03-12,2026-11-13,Concluído,Média,fk_invalida:processo_id
1163,469,Pagamento,2027-01-09,2027-09-03,Concluído,Média,fk_invalida:processo_id
1169,471,Manifestação,2027-03-09,2027-09-08,Concluído,Média,fk_invalida:processo_id
1171,472,Contestação,2026-05-07,2026-06-18,Concluído,Média,fk_invalida:processo_id
1172,472,Contestação,2026-01-06,,Vencido,Alta,fk_invalida:processo_id
1173,472,Manifestação,2026-09-05,2026-05-01,Concluído,Alta,fk_invalida:processo_id
1180,474,Manifestação,2026-12-09,,Aberto,Baixa,fk_invalida:processo_id
1182,475,Manifestação,2027-02-01,2026-12-17,Concluído,Baixa,fk_invalida:processo_id
1183,475,Documento,2026-12-07,2026-06-24,Concluído,Média,fk_invalida:processo_id
1185,475,Recurso,2026-09-03,2026-03-19,Concluído,Média,fk_invalida:processo_id
1186,476,Documento,2026-11-12,2026-12-09,Concluído,Baixa,fk_invalida:processo_id
1187,476,Documento,2027-04-05,2027-04-30,Concluído,Alta,fk_invalida:processo_id
1204,483,Pagamento,2026-04-03,2026-02-28,Concluído,Baixa,fk_invalida:processo_id
1206,483,Recurso,2027-10-05,2027-04-22,Concluído,Baixa,fk_invalida:processo_id
1207,484,Manifestação,2026-02-02,2026-02-12,Concluído,Baixa,fk_invalida:processo_id
1210,485,Documento,2026-10-06,2026-06-02,Concluído,Média,fk_invalida:processo_id
