imposto_id;cliente_id;competencia;tributo;valor_apurado;data_vencimento
171;15;2025-08;IRPJ/CSLL;35000,28;2025-09-19
172;15;2025-09;IRPJ/CSLL;21415,82;2025-10-19
173;15;2025-10;ISS;26066,24;2025-11-18
174;15;2025-11;IRPJ/CSLL;13264,92;2025-12-23
175;15;2025-12;PIS/COFINS;61311,2;2026-01-08
176;15;2026-01;PIS/COFINS;1581,35;2026-02-09
177;15;2026-02;IRPJ/CSLL;29853,58;2026-03-10
178;15;2026-03;IRPJ/CSLL;57709,75;2026-04-19
179;15;2026-04;IRPJ/CSLL;34451,17;2026-05-10
180;15;2026-05;FGTS;53090,92;2026-06-11
181;16;2025-07;PIS/COFINS;7742,46;2025-07-22
182;16;2025-07;ISS;45939,97;2025-08-20
183;16;2025-08;FGTS;9787,63;2025-09-23
184;16;2025-09;INSS;18822,34;2025-10-14
185;16;2025-10;ICMS;60421,02;2025-11-10
186;16;2025-11;INSS;54294,75;2025-12-15
187;16;2025-12;PIS/COFINS;63270,88;2026-01-17
188;16;2026-01;ICMS;49359,71;2026-02-17
189;16;2026-02;ISS;4943,94;2026-03-14
190;16;2026-03;FGTS;2383,13;2026-04-22
191;16;2026-04;ICMS;33816,44;2026-05-21
192;16;2026-05;FGTS;17348,31;2026-06-06
193;17;2025-07;FGTS;1959,48;2025-07-22
194;17;2025-07;ICMS;49573,37;2025-08-20
195;17;2025-08;INSS;28920,35;2025-09-10
196;17;2025-09;PIS/COFINS;42193,13;2025-10-24
197;17;2025-10;IRPJ/CSLL;33426,56;2025-11-20
198;17;2025-11;ISS;25488,68;2025-12-14
199;17;2025-12;IRPJ/CSLL;54663,11;2026-01-12
200;17;2026-01;ICMS;19986,16;2026-02-20
201;17;2026-02;FGTS;42448,92;2026-03-13
202;17;2026-03;ICMS;7302,19;2026-04-09
203;17;2026-04;PIS/COFINS;13257,82;2026-05-09
204;17;2026-05;ISS;52612,98;2026-06-14
205;18;2025-07;ISS;35335,29;2025-07-11
206;18;2025-07;IRPJ/CSLL;43377,97;2025-08-16
207;18;2025-08;INSS;20227,04;2025-09-24
208;18;2025-09;IRPJ/CSLL;4569,69;2025-10-12
209;18;2025-10;INSS;24982,79;2025-11-11
210;18;2025-11;FGTS;6226,67;2025-12-08
211;18;2025-12;ISS;5086,27;2026-01-17
212;18;2026-01;ICMS;50550,46;2026-02-18
213;18;2026-02;INSS;63782,35;2026-03-11
214;18;2026-03;INSS;45163,1;2026-04-17
215;18;2026-04;ISS;32669,45;2026-05-10
216;18;2026-05;INSS;17119,81;2026-06-10
217;19;2025-07;PIS/COFINS;56227,95;2025-07-25
218;19;2025-07;ISS;35847,95;2025-08-24
219;19;2025-08;PIS/COFINS;47612,21;2025-09-10
220;19;2025-09;IRPJ/CSLL;13522,77;2025-10-18
221;19;2025-10;FGTS;8458,79;2025-11-14
222;19;2025-11;IRPJ/CSLL;4315,08;2025-12-08
223;19;2025-12;IRPJ/CSLL;5356,72;2026-01-12
224;19;2026-01;PIS/COFINS;19065,95;2026-02-06
225;19;2026-02;PIS/COFINS;31089,23;2026-03-12
226;19;2026-03;IRPJ/CSLL;40423,51;2026-04-18
227;19;2026-04;ISS;38041,93;2026-05-14
228;19;2026-05;INSS;46155,42;2026-06-16
229;20;2025-07;ISS;41714,62;2025-07-19
230;20;2025-07;FGTS;61467,51;2025-08-13
231;20;2025-08;ISS;59723,68;2025-09-14
232;20;2025-09;FGTS;63986,49;2025-10-12
233;20;2025-10;FGTS;5713,56;2025-11-16
234;20;2025-11;IRPJ/CSLL;63989,48;2025-12-19
235;20;2025-12;INSS;53579,24;2026-01-10
236;20;2026-01;ICMS;1426,95;2026-02-11
237;20;2026-02;INSS;7426,56;2026-03-11
238;20;2026-03;ICMS;44728,26;2026-04-09
239;20;2026-04;IRPJ/CSLL;50573,65;2026-05-07
240;20;2026-05;PIS/COFINS;42194,87;2026-06-17
241;21;2025-07;PIS/COFINS;63698,03;2025-07-25
242;21;2025-07;ICMS;9542,71;2025-08-18
243;21;2025-08;PIS/COFINS;20663,07;2025-09-16
244;21;2025-09;PIS/COFINS;16772,14;2025-10-16
245;21;2025-10;ISS;47053,3;2025-11-13
246;21;2025-11;FGTS;38515,74;2025-12-08
247;21;2025-12;ISS;21924,12;2026-01-17
248;21;2026-01;FGTS;60032,87;2026-02-17
249;21;2026-02;ICMS;3533,34;2026-03-17
250;21;2026-03;INSS;46282,4;2026-04-07
251;21;2026-04;ICMS;25867,13;2026-05-09
252;21;2026-05;PIS/COFINS;48345,91;2026-06-08
253;22;2025-07;ICMS;55286,92;2025-07-25
254;22;2025-07;IRPJ/CSLL;50862,34;2025-08-22
255;22;2025-08;FGTS;64722,44;2025-09-24
256;22;2025-09;ISS;42296,18;2025-10-22
257;22;2025-10;ICMS;55797,41;2025-11-17
258;22;2025-11;ICMS;38041,77;2025-12-23
259;22;2025-12;ISS;5461,29;2026-01-15
260;22;2026-01;INSS;54013,98;2026-02-10
261;22;2026-02;ISS;35065,73;2026-03-08
262;22;2026-03;ISS;63508,26;2026-04-13
263;22;2026-04;IRPJ/CSLL;18364,48;2026-05-11
264;22;2026-05;INSS;60976,04;2026-06-15
265;23;2025-07;INSS;10000,59;2025-07-18
266;23;2025-07;ICMS;8907,06;2025-08-18
267;23;2025-08;ICMS;27447,73;2025-09-16
268;23;2025-09;FGTS;11812,84;2025-10-18
269;23;2025-10;PIS/COFINS;24646,34;2025-11-23
270;23;2025-11;PIS/COFINS;19396,22;2025-12-23
271;23;2025-12;PIS/COFINS;21272,92;2026-01-18
272;23;2026-01;PIS/COFINS;7526,66;2026-02-10
273;23;2026-02;INSS;15593,13;2026-03-22
274;23;2026-03;ICMS;25259,3;2026-04-11
275;23;2026-04;ISS;41626,12;2026-05-12
276;23;2026-05;ICMS;16422,32;2026-06-11
277;24;2025-07;ISS;45811,46;2025-07-22
278;24;2025-07;ICMS;55867,62;2025-08-17
279;24;2025-08;ISS;11718,72;2025-09-15
280;24;2025-09;FGTS;16466,22;2025-10-24
281;24;2025-10;INSS;14570,79;2025-11-20
282;24;2025-11;PIS/COFINS;25361,31;2025-12-09
283;24;2025-12;PIS/COFINS;16230,51;2026-01-15
284;24;2026-01;INSS;43315,92;2026-02-12
285;24;2026-02;FGTS;29001,89;2026-03-12
286;24;2026-03;IRPJ/CSLL;31484,52;2026-04-12
287;24;2026-04;ICMS;33341,45;2026-05-07
288;24;2026-05;FGTS;35955,6;2026-06-07
289;25;2025-07;PIS/COFINS;20534,14;2025-07-15
290;25;2025-07;ICMS;25577,24;2025-08-16
291;25;2025-08;INSS;32272,09;2025-09-12
292;25;2025-09;PIS/COFINS;31311,31;2025-10-17
293;25;2025-10;PIS/COFINS;2271,27;2025-11-16
294;25;2025-11;FGTS;1284,85;2025-12-17
295;25;2025-12;ISS;3185,73;2026-01-08
296;25;2026-01;ISS;14158,7;2026-02-20
297;25;2026-02;ISS;61178,74;2026-03-13
298;25;2026-03;ICMS;32057,71;2026-04-07
299;25;2026-04;PIS/COFINS;39792,11;2026-05-16
300;25;2026-05;ISS;16820,09;2026-06-10
301;26;2025-07;IRPJ/CSLL;26201,61;2025-07-20
302;26;2025-07;INSS;1467,93;2025-08-21
303;26;2025-08;IRPJ/CSLL;50303,59;2025-09-18
304;26;2025-09;PIS/COFINS;31545,16;2025-10-20
305;26;2025-10;FGTS;28051,69;2025-11-14
306;26;2025-11;PIS/COFINS;36605,27;2025-12-12
307;26;2025-12;PIS/COFINS;26099,27;2026-01-21
308;26;2026-01;ICMS;60397,5;2026-02-08
309;26;2026-02;FGTS;51689,11;2026-03-12
310;26;2026-03;INSS;53583,07;2026-04-10
311;26;2026-04;ISS;46520,74;2026-05-13
312;26;2026-05;IRPJ/CSLL;33951,47;2026-06-06
313;27;2025-07;IRPJ/CSLL;33409,26;2025-07-14
314;27;2025-07;IRPJ/CSLL;1481,29;2025-08-12
315;27;2025-08;IRPJ/CSLL;26286,05;2025-09-18
316;27;2025-09;ISS;41763,42;2025-10-14
317;27;2025-10;PIS/COFINS;30525,44;2025-11-22
318;27;2025-11;FGTS;56561,16;2025-12-16
319;27;2025-12;INSS;37676,65;2026-01-16
320;27;2026-01;PIS/COFINS;5471,08;2026-02-16
321;27;2026-02;FGTS;14415,8;2026-03-12
322;27;2026-03;FGTS;28533,03;2026-04-13
323;27;2026-04;PIS/COFINS;24636,87;2026-05-21
324;27;2026-05;ICMS;10731,61;2026-06-12
325;28;2025-07;IRPJ/CSLL;34741,34;2025-07-22
326;28;2025-07;FGTS;24364,29;2025-08-21
327;28;2025-08;ISS;35032,29;2025-09-21
328;28;2025-09;ICMS;9658,66;2025-10-11
329;28;2025-10;PIS/COFINS;28920,22;2025-11-11
330;28;2025-11;ICMS;27728,03;2025-12-18
331;28;2025-12;FGTS;59912,57;2026-01-10
332;28;2026-01;ISS;5921,23;2026-02-09
333;28;2026-02;INSS;31902,1;2026-03-17
334;28;2026-03;FGTS;58459,8;2026-04-18
335;28;2026-04;PIS/COFINS;59058,71;2026-05-13
336;28;2026-05;FGTS;56095,34;2026-06-13
337;29;2025-07;PIS/COFINS;57547,51;2025-07-14
338;29;2025-07;IRPJ/CSLL;23606,99;2025-08-15
339;29;2025-08;INSS;16355,17;2025-09-21
340;29;2025-09;FGTS;4311,46;2025-10-20
341;29;2025-10;INSS;40148,18;2025-11-20
342;29;2025-11;INSS;8653,69;2025-12-16
343;29;2025-12;INSS;33969,9;2026-01-20
344;29;2026-01;ISS;45573,85;2026-02-10
345;29;2026-02;FGTS;1545,05;2026-03-14
346;29;2026-03;ICMS;39702,29;2026-04-10
347;29;2026-04;FGTS;42264,2;2026-05-08
348;29;2026-05;ICMS;15929,64;2026-06-16
349;30;2025-07;FGTS;22453,28;2025-07-20
350;30;2025-07;ISS;3141,41;2025-08-13
351;30;2025-08;INSS;61986,17;2025-09-22
352;30;2025-09;ICMS;23336,69;2025-10-24
353;30;2025-10;ISS;54460,64;2025-11-19
354;30;2025-11;ICMS;13529,33;2025-12-08
355;30;2025-12;PIS/COFINS;55143,44;2026-01-10
356;30;2026-01;PIS/COFINS;8779,42;2026-02-17
357;30;2026-02;IRPJ/CSLL;31457,4;2026-03-13
358;30;2026-03;ICMS;21792,37;2026-04-17
359;30;2026-04;FGTS;63319,62;2026-05-11
360;30;2026-05;IRPJ/CSLL;15307,31;2026-06-11
361;31;2025-07;ISS;22700,02;2025-07-19
362;31;2025-07;FGTS;9152,31;2025-08-22
363;31;2025-08;ISS;16433,85;2025-09-12
364;31;2025-09;INSS;40080,55;2025-10-18
365;31;2025-10;ISS;762,73;2025-11-22
366;31;2025-11;PIS/COFINS;53024,38;2025-12-13
367;31;2025-12;FGTS;42261,88;2026-01-11
368;31;2026-01;PIS/COFINS;27680,12;2026-02-14
369;31;2026-02;IRPJ/CSLL;45501,55;2026-03-16
370;31;2026-03;ICMS;64570,09;2026-04-10
371;31;2026-04;IRPJ/CSLL;49955,82;2026-05-11
372;31;2026-05;PIS/COFINS;18139,7;2026-06-13
373;32;2025-07;ISS;48375,33;2025-07-19
374;32;2025-07;PIS/COFINS;16804,9;2025-08-15
375;32;2025-08;INSS;59339,32;2025-09-13
376;32;2025-09;INSS;35166,19;2025-10-11
377;32;2025-10;ICMS;56495,47;2025-11-08
378;32;2025-11;PIS/COFINS;61293,54;2025-12-13
379;32;2025-12;ICMS;22421,61;2026-01-18
380;32;2026-01;ICMS;23204,62;2026-02-16
381;32;2026-02;IRPJ/CSLL;20376,51;2026-03-17
382;32;2026-03;ISS;28035,16;2026-04-07
383;32;2026-04;ICMS;29977,02;2026-05-22
384;32;2026-05;PIS/COFINS;16131,16;2026-06-11
385;33;2025-07;INSS;20688,08;2025-07-17
386;33;2025-07;INSS;42955,27;2025-08-17
387;33;2025-08;INSS;23425,04;2025-09-18
388;33;2025-09;ICMS;37803,21;2025-10-19
389;33;2025-10;INSS;2062,14;2025-11-20
390;33;2025-11;PIS/COFINS;4377,99;2025-12-17
391;33;2025-12;ICMS;10577,1;2026-01-07
392;33;2026-01;FGTS;52030,83;2026-02-18
393;33;2026-02;IRPJ/CSLL;14019,11;2026-03-12
394;33;2026-03;INSS;35851,69;2026-04-22
395;33;2026-04;INSS;17846,9;2026-05-15
396;33;2026-05;INSS;48108,62;2026-06-21
397;34;2025-07;ISS;32214,51;2025-07-13
398;34;2025-07;IRPJ/CSLL;13042,03;2025-08-12
399;34;2025-08;ICMS;16305,91;2025-09-23
400;34;2025-09;ISS;30491,35;2025-10-10
401;34;2025-10;IRPJ/CSLL;56699,29;2025-11-23
402;34;2025-11;INSS;51708,82;2025-12-17
403;34;2025-12;FGTS;21927,5;2026-01-18
404;34;2026-01;ICMS;47215,33;2026-02-20
405;34;2026-02;ICMS;10557,18;2026-03-12
406;34;2026-03;PIS/COFINS;18254,47;2026-04-07
407;34;2026-04;FGTS;63585,96;2026-05-11
408;34;2026-05;FGTS;21327,08;2026-06-06
409;35;2025-07;PIS/COFINS;19968,48;2025-07-20
410;35;2025-07;INSS;20924,67;2025-08-18
411;35;2025-08;IRPJ/CSLL;34526,59;2025-09-17
412;35;2025-09;FGTS;14037,04;2025-10-13
413;35;2025-10;ISS;14427,6;2025-11-14
414;35;2025-11;IRPJ/CSLL;45156,08;2025-12-20
415;35;2025-12;ICMS;17051,02;2026-01-08
416;35;2026-01;ISS;60090,34;2026-02-18
417;35;2026-02;ISS;1515,65;2026-03-20
418;35;2026-03;ISS;5979,77;2026-04-21
419;35;2026-04;PIS/COFINS;62748,31;2026-05-21
420;35;2026-05;PIS/COFINS;61910,02;2026-06-10
421;36;2025-07;INSS;44183,42;2025-07-24
422;36;2025-07;FGTS;14017,45;2025-08-19
423;36;2025-08;FGTS;44484,77;2025-09-21
424;36;2025-09;IRPJ/CSLL;56935,9;2025-10-10
425;36;2025-10;INSS;9531,67;2025-11-15
426;36;2025-11;ISS;24224,99;2025-12-18
427;36;2025-12;ICMS;26522,26;2026-01-11
428;36;2026-01;IRPJ/CSLL;51962,44;2026-02-09
429;36;2026-02;IRPJ/CSLL;24402,96;2026-03-18
430;36;2026-03;ICMS;19280,33;2026-04-08
431;36;2026-04;ISS;48214,49;2026-05-17
432;36;2026-05;FGTS;31852,75;2026-06-20
433;37;2025-07;FGTS;63820,75;2025-07-16
434;37;2025-07;FGTS;60481,17;2025-08-21
435;37;2025-08;PIS/COFINS;22761,92;2025-09-15
436;37;2025-09;ISS;58288,53;2025-10-21
437;37;2025-10;INSS;62474,9;2025-11-17
438;37;2025-11;FGTS;57587,75;2025-12-08
439;37;2025-12;PIS/COFINS;58840,66;2026-01-12
440;37;2026-01;PIS/COFINS;51955,74;2026-02-21
441;37;2026-02;INSS;37498,87;2026-03-20
442;37;2026-03;ISS;62245,58;2026-04-21
443;37;2026-04;ICMS;53260,22;2026-05-11
444;37;2026-05;IRPJ/CSLL;37231,26;2026-06-11
445;38;2025-07;ISS;5411,56;2025-07-22
446;38;2025-07;ICMS;34173,45;2025-08-23
447;38;2025-08;PIS/COFINS;3726,64;2025-09-17
448;38;2025-09;FGTS;59801,73;2025-10-10
449;38;2025-10;ISS;52266,67;2025-11-22
450;38;2025-11;IRPJ/CSLL;40963,71;2025-12-22
451;38;2025-12;ISS;1560,2;2026-01-20
452;38;2026-01;PIS/COFINS;17581,83;2026-02-09
453;38;2026-02;ICMS;16045,44;2026-03-17
454;38;2026-03;IRPJ/CSLL;8193,91;2026-04-11
455;38;2026-04;IRPJ/CSLL;7035,11;2026-05-21
456;38;2026-05;FGTS;14651,84;2026-06-11
457;39;2025-07;ISS;13442,71;2025-07-21
458;39;2025-07;PIS/COFINS;51064,97;2025-08-19
459;39;2025-08;FGTS;38927,83;2025-09-23
460;39;2025-09;PIS/COFINS;40921,11;2025-10-23
461;39;2025-10;ICMS;36749,97;2025-11-08
462;39;2025-11;ISS;31684,85;2025-12-14
463;39;2025-12;FGTS;63837,76;2026-01-22
464;39;2026-01;FGTS;44491,01;2026-02-13
465;39;2026-02;PIS/COFINS;36383,6;2026-03-14
466;39;2026-03;INSS;39995,63;2026-04-09
467;39;2026-04;INSS;58380,95;2026-05-22
468;39;2026-05;FGTS;57995,48;2026-06-18
469;40;2025-07;INSS;3267,14;2025-07-14
470;40;2025-07;INSS;10731,77;2025-08-17
471;40;2025-08;PIS/COFINS;45168,84;2025-09-20
472;40;2025-09;PIS/COFINS;64777,43;2025-10-12
473;40;2025-10;INSS;6193,06;2025-11-17
474;40;2025-11;ICMS;58965,34;2025-12-12
475;40;2025-12;PIS/COFINS;8345,87;2026-01-21
476;40;2026-01;ICMS;52166,73;2026-02-08
477;40;2026-02;IRPJ/CSLL;38341,21;2026-03-17
478;40;2026-03;IRPJ/CSLL;49160,8;2026-04-22
479;40;2026-04;INSS;27019,02;2026-05-12
480;40;2026-05;PIS/COFINS;48130,91;2026-06-14
481;41;2025-07;PIS/COFINS;31079,44;2025-07-23
482;41;2025-07;ISS;36077,61;2025-08-11
483;41;2025-08;FGTS;57906,39;2025-09-11
484;41;2025-09;ISS;17977,35;2025-10-13
485;41;2025-10;ICMS;18746,23;2025-11-17
486;41;2025-11;IRPJ/CSLL;50668,66;2025-12-20
487;41;2025-12;PIS/COFINS;3480,4;2026-01-21
488;41;2026-01;ISS;53178,46;2026-02-08
489;41;2026-02;FGTS;15388,48;2026-03-12
490;41;2026-03;INSS;38806,98;2026-04-07
491;41;2026-04;FGTS;21890,57;2026-05-15
492;41;2026-05;ISS;29827,26;2026-06-14
493;42;2025-07;PIS/COFINS;48538,28;2025-07-25
494;42;2025-07;ISS;40556,03;2025-08-10
495;42;2025-08;IRPJ/CSLL;30099,54;2025-09-20
496;42;2025-09;IRPJ/CSLL;44015,61;2025-10-18
497;42;2025-10;FGTS;46175,57;2025-11-19
498;42;2025-11;ICMS;61737,25;2025-12-21
499;42;2025-12;IRPJ/CSLL;1142,26;2026-01-12
500;42;2026-01;INSS;59334,04;2026-02-18
501;42;2026-02;IRPJ/CSLL;33769,48;2026-03-18
502;42;2026-03;INSS;56368,88;2026-04-08
503;42;2026-04;INSS;57893,91;2026-05-08
504;42;2026-05;INSS;30065,57;2026-06-16
505;43;2025-07;ISS;38618,73;2025-07-22
506;43;2025-07;INSS;43959,38;2025-08-14
507;43;2025-08;FGTS;51394,25;2025-09-20
