cliente_id;codigo_cliente;regime_id;setor;uf;status
199;EMP-00199;2;Saúde;SC;Ativo
200;EMP-00200;3;Indústria;MG;Ativo
201;EMP-00201;4;Construção;SP;Ativo
202;EMP-00202;4;Indústria;SP;Ativo
203;EMP-00203;1;Indústria;MG;Ativo
204;EMP-00204;4;Indústria;SP;Ativo
205;EMP-00205;2;Construção;PR;Ativo
206;EMP-00206;1;Saúde;RJ;Ativo
207;EMP-00207;2;Indústria;PR;Inativo
208;EMP-00208;3;Saúde;MG;Inativo
209;EMP-00209;2;Saúde;PR;Ativo
210;EMP-00210;3;Serviços;RJ;Inativo
211;EMP-00211;2;Saúde;RJ;Ativo
212;EMP-00212;4;Construção;PR;Inativo
213;EMP-00213;4;Serviços;SC;Ativo
214;EMP-00214;1;Construção;RJ;Ativo
215;EMP-00215;3;Indústria;PR;Ativo
216;EMP-00216;4;Saúde;SP;Ativo
217;EMP-00217;3;Serviços;MG;Ativo
218;EMP-00218;3;Comércio;MG;Ativo
219;EMP-00219;1;Construção;MG;Ativo
220;EMP-00220;1;Comércio;SP;Ativo
221;EMP-00221;1;Indústria;SC;Ativo
222;EMP-00222;1;Indústria;RJ;Ativo
223;EMP-00223;2;Comércio;RJ;Ativo
224;EMP-00224;3;Comércio;MG;Ativo
225;EMP-00225;4;Construção;SP;Ativo
226;EMP-00226;2;Indústria;PR;Ativo
227;EMP-00227;3;Saúde;MG;Ativo
228;EMP-00228;2;Saúde;SP;Ativo
229;EMP-00229;4;Indústria;SP;Inativo
230;EMP-00230;2;Comércio;PR;Ativo
231;EMP-00231;4;Saúde;SP;Ativo
232;EMP-00232;2;Serviços;RJ;Ativo
233;EMP-00233;4;Serviços;PR;Inativo
234;EMP-00234;2;Saúde;SP;Ativo
235;EMP-00235;2;Saúde;MG;Ativo
236;EMP-00236;3;Serviços;RJ;Inativo
237;EMP-00237;3;Indústria;SP;Ativo
238;EMP-00238;2;Serviços;SP;Ativo
239;EMP-00239;4;Serviços;RJ;Ativo
240;EMP-00240;3;Construção;SC;Ativo
241;EMP-00241;4;Serviços;MG;Ativo
242;EMP-00242;4;Saúde;SC;Ativo
243;EMP-00243;2;Comércio;MG;Ativo
244;EMP-00244;3;Comércio;RJ;Ativo
245;EMP-00245;2;Serviços;SC;Ativo
246;EMP-00246;3;Serviços;SC;Inativo
247;EMP-00247;1;Comércio;SP;Ativo
248;EMP-00248;3;Saúde;MG;Ativo
249;EMP-00249;1;Serviços;RJ;Ativo
250;EMP-00250;1;Comércio;RJ;Ativo
251;EMP-00251;3;Comércio;SC;Ativo
252;EMP-00252;4;Serviços;MG;Ativo
253;EMP-00253;3;Serviços;SP;Ativo
254;EMP-00254;4;Saúde;SC;Ativo
255;EMP-00255;1;Comércio;SP;Ativo
256;EMP-00256;1;Serviços;SC;Ativo
257;EMP-00257;4;Comércio;RJ;Ativo
258;EMP-00258;1;Saúde;RJ;Ativo
259;EMP-00259;1;Comércio;SC;Ativo
260;EMP-00260;3;Saúde;RJ;Inativo
261;EMP-00261;1;Comércio;SP;Ativo
262;EMP-00262;4;Serviços;MG;Ativo
263;EMP-00263;1;Saúde;SP;Ativo
264;EMP-00264;3;Comércio;RJ;Ativo
265;EMP-00265;2;Indústria;SC;Ativo
266;EMP-00266;1;Serviços;RJ;Ativo
267;EMP-00267;4;Comércio;RJ;Inativo
268;EMP-00268;1;Serviços;SC;Ativo
269;EMP-00269;3;Comércio;RJ;Ativo
270;EMP-00270;1;Comércio;SC;Ativo
271;EMP-00271;4;Comércio;MG;Ativo
272;EMP-00272;3;Indústria;MG;Ativo
273;EMP-00273;4;Saúde;MG;Ativo
274;EMP-00274;3;Serviços;MG;Ativo
275;EMP-00275;3;Saúde;RJ;Ativo
276;EMP-00276;2;Indústria;SC;Ativo
277;EMP-00277;4;Saúde;SC;Ativo
278;EMP-00278;3;Comércio;RJ;Ativo
279;EMP-00279;4;Serviços;PR;Ativo
280;EMP-00280;4;Saúde;SC;Ativo
281;EMP-00281;3;Construção;SC;Ativo
282;EMP-00282;1;Serviços;SC;Ativo
283;EMP-00283;4;Comércio;SC;Ativo
284;EMP-00284;4;Serviços;SP;Ativo
285;EMP-00285;4;Comércio;SP;Inativo
286;EMP-00286;1;Construção;SC;Ativo
287;EMP-00287;3;Construção;SC;Ativo
288;EMP-00288;4;Indústria;SC;Ativo
289;EMP-00289;2;Comércio;SP;Ativo
290;EMP-00290;2;Comércio;SC;Ativo
291;EMP-00291;2;Construção;PR;Ativo
292;EMP-00292;1;Saúde;MG;Ativo
293;EMP-00293;1;Construção;RJ;Ativo
294;EMP-00294;3;Saúde;MG;Ativo
295;EMP-00295;1;Saúde;MG;Ativo
296;EMP-00296;4;Comércio;RJ;Inativo
297;EMP-00297;1;Comércio;RJ;Ativo
298;EMP-00298;2;Saúde;RJ;Ativo
299;EMP-00299;4;Serviços;SP;Ativo
300;EMP-00300;1;Saúde;RJ;Ativo
301;EMP-00301;3;Serviços;MG;Ativo
302;EMP-00302;1;Serviços;SC;Ativo
303;EMP-00303;4;Construção;RJ;Ativo
304;EMP-00304;1;Indústria;MG;Ativo
305;EMP-00305;4;Indústria;SC;Ativo
306;EMP-00306;1;Construção;SC;Ativo
307;EMP-00307;3;Comércio;SC;Inativo
308;EMP-00308;2;Construção;MG;Ativo
309;EMP-00309;4;Indústria;SP;Ativo
310;EMP-00310;3;Serviços;RJ;Ativo
311;EMP-00311;4;Construção;PR;Ativo
312;EMP-00312;1;Saúde;SC;Ativo
313;EMP-00313;3;Serviços;MG;Ativo
314;EMP-00314;2;Comércio;PR;Ativo
315;EMP-00315;1;Saúde;MG;Ativo
316;EMP-00316;4;Construção;RJ;Ativo
317;EMP-00317;2;Construção;SP;Ativo
318;EMP-00318;3;Serviços;MG;Ativo
319;EMP-00319;3;Construção;MG;Ativo
320;EMP-00320;2;Serviços;RJ;Ativo
321;EMP-00321;4;Comércio;PR;Ativo
322;EMP-00322;4;Serviços;SC;Ativo
323;EMP-00323;4;Indústria;MG;Ativo
324;EMP-00324;4;Saúde;PR;Ativo
325;EMP-00325;2;Construção;PR;Ativo
326;EMP-00326;1;Comércio;RJ;Ativo
327;EMP-00327;3;Comércio;SP;Ativo
328;EMP-00328;4;Saúde;PR;Ativo
329;EMP-00329;1;Serviços;PR;Ativo
330;EMP-00330;3;Serviços;PR;Ativo
331;EMP-00331;2;Serviços;PR;Inativo
332;EMP-00332;3;Comércio;SP;Inativo
333;EMP-00333;1;Serviços;MG;Ativo
334;EMP-00334;4;Comércio;MG;Ativo
335;EMP-00335;3;Construção;SP;Ativo
336;EMP-00336;1;Serviços;SP;Ativo
337;EMP-00337;4;Saúde;MG;Ativo
338;EMP-00338;4;Serviços;SP;Ativo
339;EMP-00339;1;Saúde;MG;Inativo
340;EMP-00340;1;Construção;PR;Ativo
341;EMP-00341;4;Comércio;RJ;Ativo
342;EMP-00342;2;Serviços;RJ;Ativo
343;EMP-00343;3;Indústria;MG;Ativo
344;EMP-00344;3;Saúde;SC;Ativo
345;EMP-00345;4;Construção;SP;Inativo
346;EMP-00346;2;Indústria;PR;Ativo
347;EMP-00347;2;Construção;PR;Inativo
348;EMP-00348;2;Construção;RJ;Ativo
349;EMP-00349;1;Comércio;MG;Ativo
350;EMP-00350;4;Serviços;SP;Ativo
351;EMP-00351;3;Construção;PR;Ativo
352;EMP-00352;1;Saúde;PR;Inativo
353;EMP-00353;4;Indústria;RJ;Ativo
354;EMP-00354;4;Construção;PR;Inativo
355;EMP-00355;4;Saúde;SP;Ativo
356;EMP-00356;4;Saúde;PR;Ativo
357;EMP-00357;2;Construção;SC;Ativo
358;EMP-00358;2;Comércio;MG;Ativo
359;EMP-00359;3;Indústria;RJ;Ativo
360;EMP-00360;1;Indústria;MG;Ativo
361;EMP-00361;1;Serviços;PR;Ativo
362;EMP-00362;2;Saúde;SP;Ativo
363;EMP-00363;3;Comércio;SP;Ativo
364;EMP-00364;3;Comércio;SP;Ativo
365;EMP-00365;4;Indústria;PR;Ativo
366;EMP-00366;4;Comércio;SC;Ativo
367;EMP-00367;2;Construção;SC;Ativo
368;EMP-00368;4;Construção;RJ;Ativo
369;EMP-00369;3;Serviços;PR;Ativo
370;EMP-00370;2;Indústria;SC;Ativo
371;EMP-00371;2;Comércio;RJ;Ativo
372;EMP-00372;3;Construção;MG;Ativo
373;EMP-00373;2;Construção;PR;Ativo
374;EMP-00374;2;Serviços;SP;Ativo
375;EMP-00375;1;Construção;SC;Ativo
376;EMP-00376;1;Saúde;RJ;Ativo
377;EMP-00377;2;Comércio;SP;Inativo
378;EMP-00378;4;Construção;RJ;Ativo
379;EMP-00379;3;Indústria;MG;Ativo
380;EMP-00380;3;Serviços;SP;Ativo
381;EMP-00381;2;Saúde;SC;Ativo
382;EMP-00382;1;Construção;MG;Inativo
383;EMP-00383;4;Comércio;SP;Ativo
384;EMP-00384;1;Comércio;PR;Ativo
385;EMP-00385;2;Indústria;PR;Inativo
386;EMP-00386;4;Indústria;MG;Ativo
387;EMP-00387;1;Comércio;MG;Ativo
388;EMP-00388;2;Construção;RJ;Ativo
389;EMP-00389;2;Comércio;RJ;Ativo
390;EMP-00390;3;Indústria;RJ;Ativo
391;EMP-00391;2;Comércio;PR;Ativo
392;EMP-00392;3;Comércio;RJ;Ativo
393;EMP-00393;3;Indústria;PR;Ativo
394;EMP-00394;3;Serviços;PR;Ativo
395;EMP-00395;3;Serviços;SP;Ativo
396;EMP-00396;1;Serviços;MG;Inativo
397;EMP-00397;1;Indústria;SC;Ativo
398;EMP-00398;3;Comércio;SC;Ativo
399;EMP-00399;2;Comércio;RJ;Ativo
400;EMP-00400;2;Construção;MG;Ativo
401;EMP-00401;4;Construção;SP;Ativo
402;EMP-00402;3;Indústria;PR;Ativo
403;EMP-00403;2;Indústria;SC;Ativo
404;EMP-00404;1;Indústria;SC;Inativo
405;EMP-00405;2;Indústria;PR;Ativo
406;EMP-00406;2;Construção;SP;Inativo
407;EMP-00407;1;Indústria;PR;Ativo
408;EMP-00408;2;Serviços;MG;Ativo
409;EMP-00409;2;Serviços;SC;Ativo
410;EMP-00410;3;Construção;PR;Ativo
411;EMP-00411;3;Saúde;RJ;Ativo
412;EMP-00412;1;Saúde;SP;Ativo
413;EMP-00413;4;Indústria;RJ;Ativo
414;EMP-00414;3;Saúde;RJ;Ativo
415;EMP-00415;4;Serviços;RJ;Ativo
416;EMP-00416;2;Indústria;MG;Inativo
417;EMP-00417;2;Serviços;RJ;Ativo
418;EMP-00418;1;Indústria;SP;Ativo
419;EMP-00419;2;Construção;SC;Ativo
420;EMP-00420;4;Indústria;PR;Ativo
421;EMP-00421;1;Indústria;SC;Ativo
422;EMP-00422;2;Construção;MG;Inativo
423;EMP-00423;4;Comércio;PR;Ativo
424;EMP-00424;1;Serviços;PR;Ativo
425;EMP-00425;4;Construção;MG;Ativo
426;EMP-00426;1;Saúde;SC;Ativo
427;EMP-00427;1;Serviços;SC;Inativo
428;EMP-00428;1;Saúde;SP;Ativo
429;EMP-00429;3;Serviços;PR;Ativo
430;EMP-00430;2;Serviços;PR;Ativo
431;EMP-00431;2;Construção;MG;Ativo
432;EMP-00432;1;Indústria;SC;Ativo
433;EMP-00433;3;Comércio;MG;Ativo
434;EMP-00434;3;Indústria;SP;Inativo
435;EMP-00435;4;Construção;MG;Ativo
436;EMP-00436;2;Comércio;SC;Ativo
437;EMP-00437;2;Serviços;SC;Ativo
438;EMP-00438;3;Comércio;SC;Inativo
439;EMP-00439;3;Serviços;RJ;Ativo
440;EMP-00440;2;Saúde;PR;Ativo
441;EMP-00441;1;Comércio;PR;Inativo
442;EMP-00442;4;Saúde;SC;Ativo
443;EMP-00443;3;Indústria;PR;Ativo
444;EMP-00444;2;Indústria;MG;Ativo
445;EMP-00445;1;Indústria;PR;Ativo
446;EMP-00446;3;Serviços;PR;Ativo
447;EMP-00447;1;Comércio;PR;Ativo
448;EMP-00448;1;Saúde;SP;Inativo
449;EMP-00449;3;Serviços;RJ;Ativo
450;EMP-00450;1;Saúde;PR;Inativo
451;EMP-00451;4;Serviços;MG;Ativo
452;EMP-00452;3;Serviços;SC;Ativo
453;EMP-00453;2;Construção;SC;Ativo
454;EMP-00454;4;Comércio;PR;Ativo
455;EMP-00455;4;Saúde;RJ;Ativo
456;EMP-00456;3;Saúde;RJ;Ativo
457;EMP-00457;4;Indústria;SC;Ativo
458;EMP-00458;3;Saúde;SP;Ativo
459;EMP-00459;1;Indústria;PR;Ativo
460;EMP-00460;3;Indústria;SC;Ativo
461;EMP-00461;4;Indústria;RJ;Ativo
462;EMP-00462;1;Saúde;RJ;Ativo
463;EMP-00463;3;Construção;MG;Ativo
464;EMP-00464;4;Construção;RJ;Ativo
465;EMP-00465;4;Construção;MG;Ativo
466;EMP-00466;2;Construção;MG;Ativo
467;EMP-00467;3;Comércio;SP;Inativo
468;EMP-00468;3;Comércio;PR;Ativo
469;EMP-00469;2;Comércio;RJ;Ativo
470;EMP-00470;4;Saúde;SC;Inativo
471;EMP-00471;1;Saúde;SP;Ativo
472;EMP-00472;1;Indústria;SP;Ativo
473;EMP-00473;2;Comércio;SP;Ativo
474;EMP-00474;2;Comércio;MG;Ativo
475;EMP-00475;4;Saúde;MG;Ativo
476;EMP-00476;4;Saúde;SC;Ativo
477;EMP-00477;3;Saúde;RJ;Ativo
478;EMP-00478;3;Saúde;MG;Ativo
479;EMP-00479;4;Indústria;PR;Ativo
480;EMP-00480;1;Construção;MG;Ativo
481;EMP-00481;3;Construção;RJ;Ativo
482;EMP-00482;4;Comércio;SC;Ativo
483;EMP-00483;3;Construção;SC;Ativo
484;EMP-00484;4;Saúde;SP;Ativo
485;EMP-00485;4;Indústria;SP;Ativo
486;EMP-00486;3;Comércio;PR;Ativo
487;EMP-00487;2;Serviços;SP;Ativo
488;EMP-00488;4;Indústria;RJ;Ativo
489;EMP-00489;3;Serviços;SC;Ativo
490;EMP-00490;2;Indústria;RJ;Inativo
491;EMP-00491;1;Serviços;SC;Ativo
492;EMP-00492;3;Serviços;PR;Ativo
493;EMP-00493;2;Indústria;SP;Ativo
494;EMP-00494;1;Saúde;RJ;Ativo
495;EMP-00495;2;Construção;MG;Ativo
496;EMP-00496;2;Saúde;RJ;Inativo
497;EMP-00497;1;Saúde;PR;Ativo
498;EMP-00498;1;Indústria;PR;Ativo
499;EMP-00499;3;Construção;PR;Ativo
500;EMP-00500;1;Construção;SC;Ativo
501;EMP-00501;4;Construção;SP;Ativo
502;EMP-00502;2;Saúde;RJ;Ativo
503;EMP-00503;3;Comércio;SP;Ativo
504;EMP-00504;3;Indústria;MG;Ativo
505;EMP-00505;1;Serviços;SC;Ativo
506;EMP-00506;4;Construção;PR;Ativo
507;EMP-00507;2;Indústria;RJ;Ativo
508;EMP-00508;1;Comércio;PR;Ativo
509;EMP-00509;4;Serviços;MG;Ativo
510;EMP-00510;2;Indústria;MG;Inativo
511;EMP-00511;2;Saúde;SP;Ativo
512;EMP-00512;3;Indústria;RJ;Ativo
513;EMP-00513;2;Comércio;MG;Ativo
514;EMP-00514;3;Serviços;PR;Ativo
515;EMP-00515;4;Serviços;SC;Ativo
516;EMP-00516;3;Saúde;SC;Inativo
517;EMP-00517;1;Construção;PR;Ativo
518;EMP-00518;4;Comércio;PR;Ativo
519;EMP-00519;1;Comércio;RJ;Ativo
520;EMP-00520;1;Construção;SP;Ativo
521;EMP-00521;4;Serviços;MG;Inativo
522;EMP-00522;4;Serviços;SP;Ativo
523;EMP-00523;3;Saúde;MG;Ativo
524;EMP-00524;4;Saúde;PR;Ativo
525;EMP-00525;1;Indústria;RJ;Ativo
526;EMP-00526;3;Comércio;SP;Ativo
527;EMP-00527;1;Indústria;SC;Ativo
528;EMP-00528;3;Indústria;SP;Ativo
529;EMP-00529;1;Construção;SC;Inativo
530;EMP-00530;2;Saúde;SP;Ativo
531;EMP-00531;3;Construção;RJ;Ativo
532;EMP-00532;3;Comércio;RJ;Ativo
533;EMP-00533;1;Saúde;PR;Ativo
534;EMP-00534;3;Indústria;PR;Ativo
535;EMP-00535;1;Indústria;MG;Ativo
536;EMP-00536;4;Construção;RJ;Ativo
537;EMP-00537;4;Saúde;SP;Ativo
538;EMP-00538;3;Comércio;MG;Ativo
539;EMP-00539;1;Comércio;RJ;Ativo
540;EMP-00540;3;Serviços;MG;Inativo
541;EMP-00541;2;Serviços;SP;Ativo
542;EMP-00542;1;Serviços;SP;Ativo
543;EMP-00543;1;Construção;SC;Ativo
544;EMP-00544;2;Indústria;MG;Ativo
545;EMP-00545;2;Construção;MG;Ativo
546;EMP-00546;1;Saúde;MG;Inativo
547;EMP-00547;4;Construção;RJ;Ativo
548;EMP-00548;2;Comércio;RJ;Ativo
549;EMP-00549;3;Construção;PR;Ativo
550;EMP-00550;4;Indústria;RJ;Ativo
551;EMP-00551;4;Indústria;SP;Ativo
552;EMP-00552;1;Construção;RJ;Ativo
553;EMP-00553;2;Serviços;MG;Ativo
554;EMP-00554;3;Comércio;RJ;Ativo
555;EMP-00555;1;Saúde;PR;Inativo
556;EMP-00556;2;Construção;RJ;Inativo
557;EMP-00557;3;Indústria;PR;Ativo
558;EMP-00558;2;Indústria;RJ;Ativo
559;EMP-00559;2;Saúde;PR;Ativo
560;EMP-00560;3;Serviços;PR;Ativo
561;EMP-00561;4;Serviços;SC;Ativo
562;EMP-00562;4;Comércio;SC;Ativo
563;EMP-00563;2;Comércio;SC;Inativo
564;EMP-00564;1;Comércio;SC;Ativo
565;EMP-00565;1;Construção;SC;Ativo
566;EMP-00566;3;Comércio;SC;Ativo
567;EMP-00567;4;Indústria;RJ;Ativo
568;EMP-00568;3;Saúde;RJ;Ativo
569;EMP-00569;2;Indústria;SC;Inativo
570;EMP-00570;1;Saúde;SP;Ativo
571;EMP-00571;2;Construção;MG;Ativo
572;EMP-00572;2;Saúde;SC;Ativo
573;EMP-00573;1;Serviços;PR;Ativo
574;EMP-00574;3;Indústria;RJ;Ativo
575;EMP-00575;3;Serviços;SP;Ativo
576;EMP-00576;3;Construção;MG;Ativo
577;EMP-00577;3;Construção;RJ;Ativo
578;EMP-00578;3;Indústria;MG;Ativo
579;EMP-00579;2;Indústria;RJ;Ativo
