mensuracao_id,projeto_id,competencia,valor_realizado,saving_validado,status
MN00032,CS01574,2024-10-01,8942.28,1501.62,Validado
MN00033,CS02012,2024-08-01,2186.89,2046.02,Rejeitado
MN00034,CS02366,2024-03-01,16625.4,2331.05,Validado
MN00035,CS01359,2024-10-01,6010.28,478.42,Validado
MN00036,CS02423,2024-06-01,3538.79,417.74,Validado
MN00037,CS01870,2024-11-01,10007.18,788.99,Validado
MN00038,CS01319,2026-04-01,7724.67,70.72,Pendente
MN00039,CS00341,2025-11-01,5499.64,281.38,Validado
MN00040,CS01218,2025-05-01,12509.06,843.93,Validado
MN00041,CS03254,2026-02-01,4871.88,553.14,Validado
MN00042,CS01423,2024-10-01,3223.85,1094.67,Validado
MN00043,CS00279,2024-01-01,2143.72,2083.63,Pendente
MN00044,CS02051,2025-02-01,9063.9,499.64,Validado
MN00045,CS02822,2025-12-01,14665.07,2118.01,Validado
MN00046,CS00733,2025-06-01,6809.37,1856.29,Validado
MN00047,CS01352,2024-03-01,4436.71,1310.53,Validado
MN00048,CS01216,2025-10-01,4252.55,1392.62,Validado
MN00049,CS02962,2024-10-01,2731.34,940.01,Validado
MN00050,CS00429,2026-07-01,2154.5,316.17,Validado
MN00051,CS02634,2025-06-01,8599.75,437.57,Validado
MN00052,CS03017,2024-03-01,10695.08,775.69,Validado
MN00053,CS02887,2024-10-01,7321.3,3259.58,Validado
MN00054,CS00113,2025-06-01,852.03,1490.33,Validado
MN00055,CS00562,2024-10-01,671.22,1626.71,Validado
MN00056,CS02103,2026-05-01,31700.57,570.72,Pendente
MN00057,CS01394,2024-08-01,9208.69,729.13,Validado
MN00058,CS02183,2026-03-01,1736.91,821.52,Validado
MN00059,CS00741,2025-05-01,33576.43,459.46,Validado
MN00060,CS01436,2025-09-01,2518.78,750.15,Pendente
MN00061,CS03232,2025-02-01,3335.44,1822.74,Rejeitado
MN00062,CS02321,2024-08-01,1210.65,1693.69,Pendente
MN00063,CS02589,2026-07-01,5667.16,3066.06,Validado
MN00064,CS01487,2024-11-01,8972.71,1691.77,Validado
MN00065,CS00375,2025-03-01,3161.54,1146.37,Pendente
MN00066,CS02610,2025-05-01,6168.85,750.29,Validado
MN00067,CS03367,2026-04-01,17530.36,652.29,Validado
MN00068,CS02205,2025-11-01,1134.22,3438.93,Validado
MN00069,CS02232,2025-08-01,4090.16,1254.18,Validado
MN00070,CS01957,2025-12-01,23763.24,1102.36,Validado
MN00071,CS03285,2025-07-01,1818.32,560.87,Validado
MN00072,CS03365,2026-04-01,889.13,297.89,Validado
MN00073,CS00378,2024-12-01,1489.94,854.89,Pendente
MN00074,CS01122,2024-12-01,1224.7,1123.58,Validado
MN00075,CS02680,2024-01-01,16526.19,1593.95,Validado
MN00076,CS02339,2024-11-01,19673.1,1496.37,Validado
MN00077,CS01607,2024-06-01,6551.54,2194.9,Validado
MN00078,CS03057,2024-10-01,577.27,490.32,Validado
MN00079,CS01226,2026-06-01,2057.73,411.85,Validado
MN00080,CS03075,2026-03-01,5388.46,767.62,Validado
MN00081,CS01288,2025-03-01,12559.47,826.42,Validado
MN00082,CS00917,2025-01-01,5585.95,189.24,Validado
MN00083,CS01490,2026-01-01,2334.62,727.88,Validado
MN00084,CS03129,2024-11-01,2215.0,1820.14,Validado
MN00085,CS03144,2025-07-01,2621.08,1580.35,Validado
MN00086,CS02218,2025-11-01,4083.5,1818.38,Validado
MN00087,CS01025,2024-04-01,2284.27,873.93,Pendente
MN00088,CS01713,2025-05-01,7123.57,275.33,Validado
MN00089,CS01775,2026-02-01,3705.68,2936.47,Validado
MN00090,CS01018,2024-01-01,2631.14,288.46,Validado
MN00091,CS01126,2024-07-01,4835.44,274.13,Validado
MN00092,CS02330,2024-07-01,1454.66,337.18,Validado
MN00093,CS00371,2024-07-01,6116.06,367.41,Validado
MN00094,CS02410,2026-03-01,1975.03,2320.39,Validado
MN00095,CS01960,2025-11-01,23290.39,2809.67,Pendente
MN00096,CS02523,2026-01-01,5764.42,543.29,Validado
MN00097,CS02080,2024-04-01,30232.02,581.9,Validado
MN00098,CS02329,2024-06-01,1796.71,1067.84,Validado
MN00099,CS00046,2025-02-01,2497.44,4045.98,Pendente
MN00100,CS00472,2025-05-01,6003.82,230.11,Validado
MN00101,CS02522,2025-06-01,7770.71,811.8,Pendente
MN00102,CS03124,2025-03-01,3366.32,4076.77,Validado
MN00103,CS03681,2025-01-01,26683.54,852.15,Validado
MN00104,CS03649,2025-09-01,510.21,2929.14,Validado
MN00105,CS01609,2025-01-01,415.81,3079.22,Rejeitado
MN00106,CS00695,2025-02-01,23233.82,226.97,Pendente
MN00107,CS02226,2026-06-01,3714.78,1899.03,Pendente
MN00108,CS03191,2024-06-01,10446.39,2551.77,Validado
MN00109,CS01621,2026-03-01,3113.09,782.81,Validado
MN00110,CS02172,2025-07-01,8783.31,1996.17,Validado
MN00111,CS02317,2025-07-01,3647.37,593.96,Validado
MN00112,CS02558,2026-07-01,12433.42,376.09,Pendente
MN00113,CS00828,2026-03-01,2737.16,1991.18,Validado
MN00114,CS02326,2026-06-01,2286.03,1204.96,Pendente
MN00115,CS01042,2025-10-01,5717.3,1364.1,Pendente
MN00116,CS01871,2025-07-01,2779.6,4563.48,Validado
MN00117,CS02993,2024-02-01,1990.44,488.13,Validado
MN00118,CS00392,2024-08-01,3296.97,689.43,Validado
MN00119,CS00260,2025-10-01,13423.62,1634.2,Validado
MN00120,CS00501,2025-12-01,2796.36,562.25,Validado
MN00121,CS02672,2026-01-01,10134.07,2010.95,Validado
MN00122,CS03443,2024-07-01,3421.0,409.19,Validado
MN00123,CS00091,2025-09-01,1811.05,1041.4,Validado
MN00124,CS02556,2024-03-01,311.47,1380.6,Validado
MN00125,CS00472,2026-02-01,3230.36,672.87,Validado
MN00126,CS00953,2024-05-01,3173.25,651.93,Validado
MN00127,CS01801,2026-01-01,2368.13,566.16,Validado
MN00128,CS01615,2025-06-01,6180.14,835.49,Validado
MN00129,CS03491,2025-04-01,15400.14,1142.87,Validado
MN00130,CS02941,2024-10-01,17982.34,3143.27,Validado
MN00131,CS00091,2024-04-01,3495.67,2447.96,Validado
MN00132,CS01610,2024-09-01,2148.88,2673.33,Validado
MN00133,CS03610,2025-07-01,7389.12,1476.19,Pendente
MN00134,CS02599,2026-06-01,2589.11,1820.35,Rejeitado
MN00135,CS00890,2024-03-01,4079.9,9696.16,Validado
MN00136,CS02889,2024-01-01,7006.61,1031.18,Validado
MN00137,CS02478,2025-02-01,2255.15,370.88,Validado
MN00138,CS01997,2025-07-01,2854.58,1394.55,Validado
MN00139,CS02299,2024-12-01,11686.22,259.86,Rejeitado
MN00140,CS01821,2025-04-01,24152.09,3478.72,Validado
MN00141,CS02868,2025-05-01,12124.93,304.46,Validado
MN00142,CS02446,2025-03-01,2568.75,431.2,Validado
MN00143,CS03540,2024-05-01,9346.82,1521.19,Validado
MN00144,CS03321,2025-12-01,14008.77,351.81,Validado
MN00145,CS03639,2024-01-01,2165.65,595.1,Validado
MN00146,CS00332,2026-01-01,2005.17,963.77,Validado
MN00147,CS01177,2025-03-01,2135.44,360.74,Validado
MN00148,CS00376,2024-02-01,1544.57,150.85,Validado
MN00149,CS02322,2024-11-01,4117.15,2019.28,Pendente
MN00150,CS00110,2026-05-01,5682.4,267.01,Validado
MN00151,CS03084,2025-12-01,1404.25,8239.1,Validado
MN00152,CS01887,2026-02-01,1942.55,673.69,Validado
MN00153,CS02650,2024-08-01,33422.64,3998.54,Validado
MN00154,CS01788,2025-04-01,3198.43,372.32,Pendente
MN00155,CS01599,2024-10-01,1230.73,1239.69,Validado
MN00156,CS01142,2025-06-01,6902.23,2838.69,Validado
MN00157,CS02682,2026-02-01,512.19,652.8,Validado
MN00158,CS02605,2026-07-01,4522.0,1367.93,Validado
MN00159,CS02857,2026-01-01,2634.8,5591.71,Validado
MN00160,CS01010,2026-02-01,1225.68,1199.32,Validado
MN00161,CS01336,2025-03-01,2486.33,1139.61,Validado
MN00162,CS03228,2025-08-01,948.58,595.97,Validado
MN00163,CS01933,2026-01-01,2185.23,195.51,Validado
MN00164,CS03133,2025-08-01,1625.28,2317.74,Pendente
MN00165,CS00056,2026-03-01,30299.46,2386.18,Validado
MN00166,CS01666,2026-07-01,5646.38,752.6,Validado
MN00167,CS03092,2025-06-01,913.95,2703.22,Pendente
MN00168,CS03208,2024-02-01,1628.47,1332.02,Validado
MN00169,CS01247,2025-11-01,2399.46,1115.84,Validado
MN00170,CS00233,2025-01-01,13194.22,4950.43,Validado
MN00171,CS02300,2024-04-01,2272.29,1659.07,Validado
MN00172,CS01328,2025-12-01,22905.35,9417.37,Validado
MN00173,CS00707,2025-12-01,774.46,1568.8,Validado
MN00174,CS02685,2025-02-01,2284.82,3433.58,Validado
MN00175,CS02924,2024-12-01,7036.19,888.79,Validado
MN00176,CS01884,2024-08-01,3525.85,1776.6,Validado
MN00177,CS03782,2026-06-01,16093.56,3039.45,Validado
MN00178,CS00464,2026-05-01,4393.31,611.83,Validado
MN00179,CS02301,2024-03-01,1368.13,1405.94,Validado
MN00180,CS01761,2024-03-01,2824.19,2425.96,Validado
MN00181,CS01422,2025-08-01,6040.37,795.26,Validado
MN00182,CS01409,2025-01-01,3506.14,98.53,Validado
MN00183,CS01549,2024-08-01,1840.75,103.51,Validado
MN00184,CS02483,2025-11-01,6077.24,1145.6,Validado
MN00185,CS00634,2024-11-01,1183.98,556.54,Pendente
MN00186,CS00914,2024-02-01,3454.3,7438.78,Validado
MN00187,CS00359,2026-07-01,10246.47,4469.73,Validado
MN00188,CS02870,2025-05-01,19719.42,841.3,Pendente
MN00189,CS00376,2024-06-01,1237.31,913.16,Pendente
MN00190,CS01629,2024-11-01,3088.29,1166.74,Validado
MN00191,CS01121,2026-07-01,11282.61,587.75,Pendente
MN00192,CS03620,2025-09-01,3164.59,796.22,Validado
MN00193,CS03425,2024-04-01,36300.54,390.14,Validado
MN00194,CS00022,2024-02-01,2396.81,176.51,Validado
MN00195,CS01259,2024-08-01,1770.64,966.87,Validado
MN00196,CS03177,2024-04-01,5377.69,793.82,Validado
MN00197,CS00255,2025-06-01,1419.27,1222.12,Validado
MN00198,CS02400,2024-06-01,2864.63,890.97,Validado
MN00199,CS00679,2026-06-01,9507.13,97.29,Pendente
MN00200,CS01640,2024-08-01,6938.55,409.03,Pendente
MN00201,CS02035,2026-02-01,1067.51,479.81,Pendente
MN00202,CS01926,2025-02-01,37320.67,717.6,Pendente
MN00203,CS01270,2024-09-01,1456.77,278.51,Validado
MN00204,CS03492,2026-02-01,2847.9,2960.04,Validado
MN00205,CS01414,2026-06-01,6955.86,657.07,Validado
MN00206,CS03719,2024-09-01,4951.82,349.74,Validado
MN00207,CS01248,2026-07-01,9888.01,1719.73,Validado
MN00208,CS01934,2025-10-01,8008.58,1667.35,Validado
MN00209,CS01191,2026-02-01,207.66,2159.82,Validado
MN00210,CS02630,2024-04-01,1581.39,303.45,Rejeitado
MN00211,CS02681,2026-06-01,4448.02,3113.81,Rejeitado
MN00212,CS03119,2024-07-01,21117.41,3661.97,Validado
MN00213,CS03627,2025-10-01,2342.85,648.62,Rejeitado
MN00214,CS00238,2026-03-01,9142.49,476.07,Validado
MN00215,CS02964,2024-06-01,4256.48,306.17,Validado
MN00216,CS01454,2026-07-01,1306.74,641.71,Validado
MN00217,CS01116,2026-03-01,437.54,675.19,Pendente
MN00218,CS01211,2024-08-01,2131.25,2087.7,Validado
MN00219,CS00543,2024-10-01,1403.68,2623.53,Validado
MN00220,CS01291,2026-04-01,3197.26,1056.8,Rejeitado
MN00221,CS01903,2024-11-01,10138.38,1914.75,Validado
MN00222,CS02823,2024-02-01,11615.18,2239.08,Validado
MN00223,CS02319,2025-02-01,5508.56,1112.96,Pendente
MN00224,CS01678,2026-01-01,885.47,2397.75,Validado
MN00225,CS02309,2025-03-01,8975.06,421.77,Validado
MN00226,CS02927,2026-06-01,8037.11,198.66,Pendente
MN00227,CS01386,2026-05-01,35056.47,504.45,Validado
MN00228,CS02497,2025-09-01,7753.49,1612.81,Validado
MN00229,CS01042,2024-03-01,9206.96,4891.6,Validado
MN00230,CS01244,2026-04-01,6952.18,2072.88,Validado
MN00231,CS02247,2024-04-01,4733.1,1431.9,Validado
MN00232,CS02190,2024-12-01,5644.42,2304.02,Validado
MN00233,CS01946,2024-08-01,5243.1,631.92,Validado
MN00234,CS03553,2025-02-01,4360.68,1491.18,Validado
MN00235,CS02257,2025-06-01,1060.25,1028.09,Pendente
MN00236,CS02744,2026-07-01,5058.36,1509.6,Validado
MN00237,CS02014,2025-06-01,15798.48,2286.15,Validado
MN00238,CS00200,2025-07-01,6963.42,4948.69,Rejeitado
MN00239,CS02182,2024-04-01,2456.85,981.18,Validado
MN00240,CS01206,2026-04-01,944.92,461.22,Validado
MN00241,CS01174,2024-05-01,1775.81,282.44,Validado
MN00242,CS01410,2024-07-01,18572.55,1775.63,Validado
MN00243,CS01586,2026-04-01,3936.21,1095.48,Validado
MN00244,CS03240,2024-06-01,15666.11,522.21,Validado
MN00245,CS02048,2024-12-01,7314.15,393.25,Validado
MN00246,CS00861,2024-09-01,5628.49,223.73,Validado
MN00247,CS02092,2024-07-01,2833.65,1595.51,Validado
MN00248,CS01426,2024-10-01,3886.56,5646.37,Validado
MN00249,CS01120,2024-10-01,4468.97,3597.55,Validado
MN00250,CS00031,2024-08-01,2171.3,2611.44,Validado
MN00251,CS02783,2025-10-01,7096.1,736.59,Validado
MN00252,CS01374,2026-01-01,1626.36,1934.26,Validado
MN00253,CS01104,2024-09-01,2522.27,366.36,Validado
MN00254,CS03621,2026-05-01,9161.76,560.71,Validado
MN00255,CS00861,2024-01-01,27914.29,1501.45,Validado
MN00256,CS03003,2025-01-01,3388.04,851.68,Rejeitado
MN00257,CS00897,2024-03-01,4648.28,673.42,Validado
MN00258,CS01250,2024-03-01,7676.04,402.75,Validado
MN00259,CS01014,2026-07-01,4906.6,747.56,Validado
MN00260,CS00794,2025-08-01,3122.89,348.15,Validado
MN00261,CS02517,2026-01-01,8502.98,2468.13,Validado
MN00262,CS03115,2026-02-01,1670.39,3039.86,Validado
MN00263,CS00029,2024-11-01,5839.04,5679.33,Validado
MN00264,CS02606,2025-05-01,3941.56,461.29,Validado
MN00265,CS00506,2025-05-01,9489.9,528.01,Validado
MN00266,CS02069,2024-02-01,8445.32,647.82,Pendente
MN00267,CS02107,2025-09-01,8625.03,644.1,Validado
MN00268,CS02062,2024-12-01,10405.55,840.09,Validado
MN00269,CS03797,2025-01-01,6696.62,2332.12,Validado
MN00270,CS03124,2026-01-01,2858.95,1391.72,Validado
MN00271,CS01069,2024-02-01,4515.12,2107.84,Validado
MN00272,CS01295,2026-01-01,1231.02,7197.5,Validado
MN00273,CS03420,2026-07-01,1370.81,2527.11,Validado
MN00274,CS00588,2025-05-01,3915.49,1121.82,Pendente
MN00275,CS01871,2025-07-01,5472.8,608.8,Validado
MN00276,CS03431,2024-06-01,5107.08,1412.71,Validado
MN00277,CS00243,2024-05-01,814.77,599.11,Validado
MN00278,CS01147,2024-05-01,2978.05,1643.25,Validado
MN00279,CS02827,2024-05-01,7900.68,1860.97,Validado
MN00280,CS01663,2026-01-01,1603.92,225.6,Pendente
MN00281,CS02947,2024-08-01,5226.46,2185.78,Validado
MN00282,CS03384,2024-03-01,14489.39,241.5,Validado
MN00283,CS00643,2026-05-01,2900.89,239.91,Validado
MN00284,CS00939,2024-09-01,3390.5,463.15,Validado
MN00285,CS00767,2025-01-01,5522.72,2123.23,Validado
MN00286,CS01805,2025-12-01,59929.9,338.13,Validado
MN00287,CS01182,2025-05-01,1978.51,2142.87,Validado
MN00288,CS02872,2025-07-01,6560.87,394.34,Validado
MN00289,CS00883,2024-07-01,1990.46,710.25,Validado
MN00290,CS00670,2025-04-01,29466.5,2184.34,Validado
MN00291,CS03133,2026-06-01,1091.35,1046.1,Validado
MN00292,CS00040,2024-12-01,6809.52,1792.9,Validado
MN00293,CS02340,2024-07-01,3285.38,1293.96,Pendente
MN00294,CS03656,2025-04-01,3147.95,1030.57,Validado
MN00295,CS01503,2024-08-01,13845.58,357.27,Validado
MN00296,CS02584,2024-01-01,4337.83,1480.73,Validado
MN00297,CS01346,2025-12-01,2468.22,864.39,Validado
MN00298,CS03062,2025-08-01,20837.49,515.86,Validado
MN00299,CS01674,2024-08-01,12006.86,482.81,Validado
MN00300,CS02963,2025-05-01,28382.3,965.31,Validado
MN00301,CS03205,2024-02-01,1754.8,1557.8,Pendente
MN00302,CS01512,2025-10-01,5434.95,489.46,Validado
MN00303,CS01863,2024-06-01,2730.52,1844.3,Validado
MN00304,CS00169,2024-06-01,1223.6,467.46,Validado
MN00305,CS01336,2024-12-01,2100.37,641.12,Validado
MN00306,CS02270,2024-06-01,2757.9,383.99,Validado
MN00307,CS02824,2026-04-01,19202.03,1027.17,Validado
MN00308,CS02406,2025-08-01,2285.91,64.48,Validado
MN00309,CS01141,2025-09-01,2337.27,328.16,Validado
MN00310,CS02727,2026-02-01,1320.95,252.67,Validado
MN00311,CS00612,2025-01-01,8738.57,498.66,Validado
MN00312,CS00993,2024-09-01,2254.36,2224.71,Validado
MN00313,CS00411,2024-07-01,1248.44,5158.9,Validado
MN00314,CS00808,2026-01-01,3343.1,375.2,Rejeitado
MN00315,CS01178,2026-04-01,1195.23,2384.71,Validado
MN00316,CS02675,2024-09-01,398.76,743.85,Validado
MN00317,CS00827,2024-11-01,5948.84,1517.0,Validado
MN00318,CS01657,2025-08-01,1703.87,506.14,Validado
MN00319,CS01815,2024-10-01,961.93,546.68,Validado
MN00320,CS01577,2025-11-01,13850.83,515.12,Validado
MN00321,CS02790,2025-01-01,11208.3,989.25,Pendente
MN00322,CS00037,2025-09-01,4744.82,269.67,Validado
MN00323,CS01561,2026-04-01,2022.06,520.2,Pendente
MN00324,CS01467,2024-02-01,2109.17,791.95,Validado
MN00325,CS00952,2025-03-01,3308.38,275.39,Validado
MN00326,CS03677,2025-01-01,9671.26,554.94,Validado
MN00327,CS00825,2025-07-01,11130.67,1397.35,Validado
MN00328,CS01755,2025-11-01,10398.53,547.28,Validado
MN00329,CS02103,2024-07-01,6989.18,1243.86,Validado
MN00330,CS00825,2024-09-01,5463.17,892.65,Validado
MN00331,CS03775,2025-02-01,12674.46,1768.79,Validado
MN00332,CS00149,2025-05-01,18874.35,289.54,Validado
MN00333,CS03280,2024-09-01,911.94,5244.97,Validado
MN00334,CS00012,2024-10-01,4594.16,2186.52,Validado
MN00335,CS01774,2025-05-01,2279.3,3860.23,Rejeitado
MN00336,CS02361,2025-09-01,4475.01,983.21,Rejeitado
MN00337,CS03231,2024-11-01,642.74,430.21,Validado
MN00338,CS00265,2025-11-01,20417.89,1029.17,Validado
MN00339,CS02671,2024-09-01,15116.16,1007.23,Validado
MN00340,CS02944,2025-08-01,5038.3,613.76,Validado
MN00341,CS01033,2025-04-01,2144.92,1987.19,Validado
MN00342,CS01746,2025-04-01,4412.59,6203.54,Validado
MN00343,CS00290,2024-06-01,2009.34,1529.74,Pendente
MN00344,CS00932,2025-07-01,1882.21,517.24,Validado
MN00345,CS01613,2024-01-01,2175.52,528.6,Pendente
MN00346,CS03226,2025-05-01,8149.95,1562.28,Validado
MN00347,CS00779,2026-07-01,8111.3,213.65,Validado
MN00348,CS02424,2026-06-01,1393.28,1846.59,Validado
MN00349,CS01738,2024-01-01,1906.24,590.01,Pendente
MN00350,CS01678,2025-06-01,18577.3,1786.75,Validado
MN00351,CS00251,2024-06-01,1998.76,491.03,Validado
MN00352,CS02314,2024-01-01,10276.76,828.33,Validado
MN00353,CS00963,2025-11-01,3382.51,322.05,Validado
MN00354,CS01856,2025-09-01,10277.28,1510.95,Validado
MN00355,CS02085,2025-01-01,17108.63,2211.87,Validado
MN00356,CS03245,2024-03-01,4671.99,792.88,Validado
MN00357,CS01187,2024-05-01,7386.22,1069.52,Validado
MN00358,CS01931,2024-10-01,14947.34,1685.7,Validado
MN00359,CS00457,2025-01-01,251.77,2048.9,Validado
MN00360,CS01877,2025-08-01,11990.36,1056.01,Validado
MN00361,CS01599,2024-05-01,2697.7,2304.34,Validado
MN00362,CS01763,2024-08-01,13113.46,1133.05,Validado
MN00363,CS03245,2025-12-01,3866.36,189.54,Pendente
MN00364,CS00228,2025-05-01,3758.43,1248.28,Pendente
MN00365,CS03386,2025-07-01,7371.8,3014.63,Validado
MN00366,CS03750,2024-04-01,4453.43,3123.5,Validado
MN00367,CS01554,2024-04-01,2627.97,1672.38,Validado
MN00368,CS01270,2024-06-01,1538.02,516.59,Validado
MN00369,CS00792,2026-07-01,3396.6,70.93,Validado
MN00370,CS00182,2024-10-01,5618.3,634.94,Validado
MN00371,CS01703,2024-10-01,15025.71,1664.5,Validado
MN00372,CS02605,2025-10-01,4416.75,2996.58,Validado
MN00373,CS01789,2025-08-01,1595.39,1090.97,Validado
MN00374,CS02896,2025-11-01,2680.13,1391.39,Pendente
MN00375,CS00840,2024-06-01,3608.53,298.89,Validado
MN00376,CS00260,2025-06-01,6853.24,985.23,Pendente
MN00377,CS00683,2024-04-01,4861.19,1971.31,Pendente
MN00378,CS02733,2025-04-01,4842.92,1668.55,Validado
MN00379,CS02555,2024-02-01,24664.24,165.1,Validado
MN00380,CS00059,2025-02-01,37703.3,1329.93,Validado
MN00381,CS00844,2024-09-01,5146.84,338.88,Validado
MN00382,CS02626,2024-03-01,4275.09,1111.24,Validado
MN00383,CS03034,2024-03-01,12040.68,2080.78,Validado
MN00384,CS00461,2024-06-01,2149.17,1602.77,Validado
MN00385,CS01019,2025-11-01,1559.16,5372.39,Validado
MN00386,CS00479,2025-04-01,12523.95,606.25,Validado
MN00387,CS02597,2025-12-01,2097.85,259.54,Validado
MN00388,CS01662,2025-04-01,25871.16,858.56,Validado
MN00389,CS01029,2025-06-01,4167.53,4195.39,Validado
MN00390,CS02147,2024-04-01,4535.61,608.01,Pendente
MN00391,CS02967,2024-11-01,9178.1,147.13,Validado
MN00392,CS00549,2024-09-01,4842.39,2076.75,Validado
MN00393,CS03125,2026-03-01,4355.16,461.39,Validado
MN00394,CS00083,2024-04-01,6571.75,805.8,Validado
MN00395,CS01118,2024-03-01,6064.71,1358.24,Validado
MN00396,CS00599,2025-01-01,1667.36,408.04,Pendente
MN00397,CS03250,2025-08-01,5155.44,1124.4,Validado
MN00398,CS03394,2024-07-01,4904.79,983.03,Validado
MN00399,CS01185,2025-06-01,622.34,559.33,Validado
MN00400,CS00891,2026-01-01,7635.86,1483.43,Validado
MN00401,CS00828,2024-01-01,5386.1,2191.87,Pendente
MN00402,CS02354,2026-05-01,3556.1,1742.83,Validado
MN00403,CS01607,2024-11-01,2980.88,386.85,Validado
MN00404,CS01931,2025-04-01,10075.97,3602.25,Pendente
MN00405,CS01991,2024-11-01,393.76,1025.87,Validado
MN00406,CS01369,2024-05-01,25483.0,330.97,Validado
MN00407,CS02842,2026-06-01,1688.28,949.41,Rejeitado
MN00408,CS01138,2024-06-01,1650.7,515.46,Validado
MN00409,CS00440,2025-03-01,1865.55,1033.39,Validado
MN00410,CS02572,2025-10-01,3126.28,1746.9,Validado
MN00411,CS02567,2024-01-01,2743.46,1585.37,Pendente
MN00412,CS01840,2024-05-01,1780.6,380.36,Validado
MN00413,CS03770,2024-07-01,1892.64,1065.62,Validado
MN00414,CS00981,2025-07-01,4722.38,1947.39,Validado
MN00415,CS02804,2026-06-01,10841.18,1893.67,Validado
MN00416,CS00086,2025-10-01,6276.93,3815.03,Validado
MN00417,CS00977,2024-09-01,1524.11,1285.68,Validado
MN00418,CS00528,2025-09-01,5143.25,647.1,Rejeitado
MN00419,CS02243,2024-04-01,517.39,1217.94,Validado
MN00420,CS01664,2025-04-01,2645.45,870.84,Validado
MN00421,CS03723,2025-05-01,28923.93,739.62,Validado
MN00422,CS02781,2025-10-01,686.95,177.39,Validado
MN00423,CS01907,2024-04-01,3583.28,1975.19,Validado
MN00424,CS00793,2025-10-01,1441.85,1763.16,Validado
MN00425,CS02510,2026-06-01,82222.27,1661.16,Validado
MN00426,CS03216,2025-03-01,26333.72,1806.04,Validado
MN00427,CS03259,2026-03-01,1761.17,564.22,Validado
MN00428,CS02306,2025-08-01,840.32,2628.68,Validado
MN00429,CS00738,2025-12-01,3619.22,621.32,Validado
MN00430,CS00435,2025-04-01,907.94,462.18,Validado
MN00431,CS03744,2025-09-01,5278.98,3783.91,Validado
MN00432,CS02362,2025-06-01,8349.38,431.02,Validado
MN00433,CS02009,2024-04-01,1869.35,1193.29,Validado
MN00434,CS02867,2024-08-01,2187.0,5020.64,Validado
MN00435,CS03715,2025-03-01,11433.22,5037.38,Pendente
MN00436,CS00280,2025-08-01,1611.03,745.52,Validado
MN00437,CS00057,2025-09-01,2121.11,6843.09,Validado
MN00438,CS01775,2024-05-01,2538.3,4229.16,Validado
MN00439,CS00386,2026-02-01,11503.8,102.91,Pendente
MN00440,CS02313,2024-11-01,1734.42,465.26,Validado
MN00441,CS02386,2026-03-01,8840.19,1639.67,Validado
MN00442,CS03134,2025-10-01,2018.1,1569.95,Validado
MN00443,CS01083,2024-07-01,2193.31,57.45,Validado
MN00444,CS00907,2026-04-01,3117.64,421.68,Validado
MN00445,CS02553,2024-12-01,1704.33,1471.37,Validado
MN00446,CS00366,2025-06-01,6392.08,1640.84,Pendente
MN00447,CS03093,2026-01-01,1843.88,5270.04,Validado
MN00448,CS03486,2024-10-01,1018.26,387.17,Validado
MN00449,CS02292,2024-10-01,3518.62,5117.02,Validado
MN00450,CS03757,2025-07-01,1264.81,881.71,Validado
MN00451,CS02492,2024-02-01,344.46,4170.78,Validado
MN00452,CS01809,2024-04-01,8600.71,3186.97,Validado
MN00453,CS00518,2025-06-01,3035.04,170.3,Validado
