pedido_id,fornecedor_id,comprador_id,data_pedido,valor,prazo_dias,entregue_no_prazo
PC00169,FO0008,CB005,2025-05-29,6543.61,40,1
PC00170,FO0183,CB040,2024-02-20,354.51,46,1
PC00171,FO0169,CB005,2024-11-22,10408.06,31,1
PC00172,FO0102,CB034,2025-04-21,1388.32,19,1
PC00173,FO0014,CB031,2026-07-23,1717.66,34,1
PC00174,FO0144,CB002,2024-04-20,1913.41,44,1
PC00175,FO0026,CB034,2026-02-13,1019.58,27,1
PC00176,FO0073,CB006,2025-02-24,4767.4,6,0
PC00177,FO0126,CB006,2026-07-16,489.26,58,1
PC00178,FO0150,CB024,2025-07-15,476.85,37,1
PC00179,FO0179,CB026,2024-07-24,3229.99,17,1
PC00180,FO0245,CB010,2025-06-06,6266.98,34,1
PC00181,FO0124,CB037,2025-06-30,6020.99,54,1
PC00182,FO0215,CB028,2024-12-04,2307.53,46,1
PC00183,FO0240,CB031,2024-06-14,2000.98,44,1
PC00184,FO0158,CB003,2024-12-28,21113.54,9,1
PC00185,FO0115,CB009,2026-06-29,11719.9,30,1
PC00186,FO0098,CB034,2024-03-14,7167.25,54,1
PC00187,FO0262,CB015,2025-03-26,568.2,54,1
PC00188,FO0263,CB033,2024-03-19,6060.86,36,1
PC00189,FO0310,CB003,2024-11-17,1875.4,4,1
PC00190,FO0212,CB039,2025-11-20,4175.4,10,1
PC00191,FO0301,CB004,2025-07-05,680.72,17,1
PC00192,FO0239,CB021,2024-01-24,1918.26,55,1
PC00193,FO0118,CB022,2024-10-07,6983.73,12,1
PC00194,FO0023,CB032,2026-02-05,12280.04,49,1
PC00195,FO0095,CB032,2025-11-07,3966.77,59,1
PC00196,FO0239,CB030,2026-06-06,8347.26,21,1
PC00197,FO0101,CB012,2024-12-31,2987.89,4,1
PC00198,FO0116,CB017,2026-04-13,1960.9,20,1
PC00199,FO0104,CB006,2024-03-04,5417.73,16,1
PC00200,FO0181,CB026,2025-10-19,3582.73,46,1
PC00201,FO0156,CB018,2024-05-25,6417.91,46,1
PC00202,FO0021,CB028,2024-07-27,3188.93,31,1
PC00203,FO0044,CB015,2026-06-13,598.57,30,0
PC00204,FO0026,CB009,2026-04-21,7579.52,31,1
PC00205,FO0273,CB038,2024-06-05,22140.13,10,1
PC00206,FO0079,CB023,2024-05-19,750.62,39,1
PC00207,FO0085,CB023,2025-09-21,887.95,52,1
PC00208,FO0140,CB001,2026-06-02,769.3,53,0
PC00209,FO0181,CB010,2025-11-01,575.33,18,1
PC00210,FO0108,CB011,2024-09-29,5325.07,6,1
PC00211,FO0266,CB006,2026-03-24,2264.86,24,0
PC00212,FO0238,CB008,2024-03-03,3177.48,48,1
PC00213,FO0090,CB022,2025-07-06,2156.14,45,0
PC00214,FO0285,CB015,2024-06-02,3474.07,48,1
PC00215,FO0283,CB037,2024-06-21,429.33,28,1
PC00216,FO0218,CB038,2025-01-19,7357.94,26,1
PC00217,FO0059,CB015,2024-12-29,2093.24,57,1
PC00218,FO0223,CB033,2026-02-09,1220.46,44,0
PC00219,FO0031,CB026,2025-08-31,1022.98,15,1
PC00220,FO0058,CB036,2025-03-31,6888.57,12,1
PC00221,FO0220,CB038,2024-05-05,14254.37,9,1
PC00222,FO0172,CB003,2025-11-18,1956.41,32,1
PC00223,FO0123,CB002,2026-01-01,11030.92,56,1
PC00224,FO0147,CB002,2024-01-10,5575.92,2,1
PC00225,FO0217,CB002,2025-05-05,3615.37,29,1
PC00226,FO0282,CB035,2024-09-17,3205.2,58,1
PC00227,FO0210,CB013,2025-05-16,1229.41,48,1
PC00228,FO0227,CB016,2025-07-28,3800.14,48,1
PC00229,FO0067,CB039,2026-03-13,1684.16,10,1
PC00230,FO0112,CB035,2024-11-22,327.01,2,0
PC00231,FO0312,CB009,2024-04-03,2297.92,57,0
PC00232,FO0027,CB004,2024-10-05,2616.5,53,1
PC00233,FO0079,CB004,2025-07-04,2746.75,9,1
PC00234,FO0193,CB028,2026-02-16,582.36,4,0
PC00235,FO0048,CB012,2025-04-19,6684.5,36,0
PC00236,FO0048,CB029,2025-07-27,2506.66,9,0
PC00237,FO0267,CB022,2025-10-18,1529.7,49,0
PC00238,FO0183,CB040,2026-03-10,1651.87,24,1
PC00239,FO0215,CB026,2025-02-10,4021.57,22,1
PC00240,FO0140,CB017,2025-10-30,1801.37,51,1
PC00241,FO0142,CB029,2026-01-10,4813.62,12,1
PC00242,FO0287,CB026,2025-03-20,866.86,16,1
PC00243,FO0009,CB021,2025-10-10,33859.71,10,1
PC00244,FO0058,CB036,2026-06-21,5569.31,18,1
PC00245,FO0068,CB011,2025-05-23,1846.65,7,1
PC00246,FO0240,CB024,2025-02-26,3735.68,9,1
PC00247,FO0255,CB011,2026-02-04,1609.35,11,0
PC00248,FO0105,CB034,2024-03-25,3305.89,47,0
PC00249,FO0068,CB012,2025-11-09,1625.61,9,1
PC00250,FO0024,CB013,2025-02-12,1329.19,16,1
PC00251,FO0303,CB033,2026-01-02,5089.16,27,0
PC00252,FO0161,CB040,2025-01-13,236.48,11,1
PC00253,FO0102,CB001,2024-08-03,1020.87,44,1
PC00254,FO0317,CB002,2024-01-15,243.7,22,1
PC00255,FO0132,CB033,2026-07-25,10269.16,18,1
PC00256,FO0253,CB010,2025-05-17,7279.15,53,0
PC00257,FO0253,CB007,2026-05-25,284.39,12,1
PC00258,FO0019,CB003,2024-05-18,2136.69,47,1
PC00259,FO0123,CB009,2025-09-15,958.43,57,0
PC00260,FO0301,CB038,2026-01-06,6680.57,9,1
PC00261,FO0110,CB005,2025-01-15,2867.44,13,1
PC00262,FO0154,CB015,2026-04-15,3166.17,48,1
PC00263,FO0263,CB026,2024-12-03,694.17,43,1
PC00264,FO0101,CB021,2025-10-16,23082.79,12,0
PC00265,FO0077,CB007,2024-12-10,1692.06,42,1
PC00266,FO0304,CB035,2026-04-01,4635.98,54,1
PC00267,FO0060,CB018,2025-06-01,19034.37,16,1
PC00268,FO0309,CB038,2024-07-13,1048.59,51,1
PC00269,FO0116,CB023,2024-01-06,4762.39,4,1
PC00270,FO0038,CB025,2025-10-20,22983.1,32,0
PC00271,FO0201,CB013,2025-03-03,1453.25,17,1
PC00272,FO0294,CB025,2026-04-29,6201.6,46,1
PC00273,FO0218,CB027,2024-12-05,820.07,7,1
PC00274,FO0256,CB030,2025-03-29,2659.1,20,1
PC00275,FO0184,CB025,2025-03-21,1252.3,17,1
PC00276,FO0130,CB002,2024-08-20,497.02,10,1
PC00277,FO0144,CB004,2025-10-12,1284.97,28,1
PC00278,FO0317,CB022,2026-05-27,453.36,18,0
PC00279,FO0207,CB022,2026-06-23,1584.14,41,1
PC00280,FO0158,CB012,2024-04-17,5670.86,2,1
PC00281,FO0267,CB033,2024-03-03,85781.56,49,1
PC00282,FO0039,CB034,2026-05-27,2560.43,29,1
PC00283,FO0107,CB016,2025-09-24,2398.82,9,1
PC00284,FO0089,CB037,2026-05-19,1824.93,42,0
PC00285,FO0092,CB030,2026-04-11,40812.6,19,1
PC00286,FO0115,CB018,2024-06-09,3715.01,52,0
PC00287,FO0208,CB015,2025-05-06,2161.85,38,1
PC00288,FO0008,CB007,2025-05-03,662.65,7,1
PC00289,FO0122,CB022,2025-06-22,914.21,58,0
PC00290,FO0119,CB008,2026-05-02,976.85,59,1
PC00291,FO0181,CB017,2025-03-20,469.33,12,1
PC00292,FO0256,CB002,2026-05-28,308.91,44,1
PC00293,FO0209,CB028,2024-07-21,678.04,46,1
PC00294,FO0200,CB024,2024-03-24,2567.87,48,1
PC00295,FO0208,CB030,2025-07-01,1171.32,5,1
PC00296,FO0106,CB007,2024-05-26,425.8,49,0
PC00297,FO0317,CB028,2024-04-13,1759.79,56,0
PC00298,FO0174,CB033,2024-04-01,986.45,18,1
PC00299,FO0149,CB020,2025-06-16,425.8,9,1
PC00300,FO0292,CB021,2025-06-23,562.86,39,1
PC00301,FO0176,CB010,2026-01-11,2255.59,13,1
PC00302,FO0201,CB029,2025-06-16,4958.49,2,1
PC00303,FO0189,CB033,2025-05-30,1328.53,45,1
PC00304,FO0068,CB029,2025-04-18,22367.08,33,1
PC00305,FO0070,CB002,2024-10-14,945.81,8,0
PC00306,FO0010,CB029,2026-07-26,1492.62,38,0
PC00307,FO0258,CB038,2026-06-10,468.6,21,1
PC00308,FO0175,CB015,2025-10-17,1147.31,3,1
PC00309,FO0175,CB031,2024-09-02,4116.17,15,1
PC00310,FO0227,CB040,2025-02-16,445.34,52,1
PC00311,FO0095,CB031,2024-09-30,125.28,50,1
PC00312,FO0235,CB024,2026-01-09,3587.82,17,1
PC00313,FO0147,CB023,2025-10-06,23437.18,51,1
PC00314,FO0228,CB017,2024-03-14,3071.82,33,1
PC00315,FO0056,CB035,2026-07-10,1557.2,21,1
PC00316,FO0148,CB016,2026-06-29,3361.5,32,1
PC00317,FO0263,CB017,2025-07-15,2106.91,31,1
PC00318,FO0277,CB036,2025-05-13,1215.96,6,1
PC00319,FO0282,CB015,2024-11-26,2831.12,8,0
PC00320,FO0308,CB013,2026-07-20,4696.83,52,1
PC00321,FO0317,CB007,2024-03-31,2882.75,8,1
PC00322,FO0189,CB024,2024-06-29,1079.73,26,1
PC00323,FO0012,CB001,2025-02-10,45738.38,24,0
PC00324,FO0010,CB008,2026-05-18,2823.91,9,1
PC00325,FO0256,CB004,2026-05-20,2502.11,37,0
PC00326,FO0259,CB024,2025-02-20,908.43,10,0
PC00327,FO0291,CB025,2025-04-24,4154.43,6,1
PC00328,FO0160,CB028,2025-01-14,1829.19,41,1
PC00329,FO0272,CB018,2024-08-16,6157.76,19,0
PC00330,FO0295,CB012,2024-01-07,7749.25,14,1
PC00331,FO0266,CB017,2025-06-08,4044.74,48,1
PC00332,FO0206,CB034,2024-04-07,1747.43,10,1
PC00333,FO0092,CB030,2026-05-20,3963.82,12,1
PC00334,FO0058,CB036,2025-03-22,3669.24,13,1
PC00335,FO0179,CB039,2024-07-02,6854.94,6,1
PC00336,FO0234,CB032,2024-05-23,2814.32,14,1
PC00337,FO0227,CB008,2024-04-10,3855.19,22,1
PC00338,FO0214,CB005,2025-08-02,7727.42,8,1
PC00339,FO0104,CB015,2025-02-20,422.73,41,1
PC00340,FO0189,CB014,2026-06-10,1779.8,28,1
PC00341,FO0269,CB029,2025-08-22,5779.28,52,1
PC00342,FO0309,CB022,2025-07-06,2478.69,23,1
PC00343,FO0048,CB040,2025-08-19,4061.94,58,1
PC00344,FO0031,CB015,2025-11-26,4017.35,54,1
PC00345,FO0018,CB010,2024-06-21,9385.85,46,0
PC00346,FO0067,CB004,2024-07-11,446.43,9,1
PC00347,FO0189,CB013,2024-01-09,1544.23,57,1
PC00348,FO0045,CB005,2024-10-18,5463.22,51,1
PC00349,FO0315,CB007,2024-11-28,831.95,48,1
PC00350,FO0257,CB023,2025-01-12,2184.82,59,1
PC00351,FO0134,CB022,2025-12-16,8402.75,3,1
PC00352,FO0206,CB028,2026-03-14,170.94,21,1
PC00353,FO0135,CB021,2025-01-04,1254.7,42,1
PC00354,FO0267,CB007,2026-04-11,1515.79,44,1
PC00355,FO0154,CB003,2026-02-03,14696.43,30,1
PC00356,FO0020,CB001,2025-05-30,1245.74,50,1
PC00357,FO0041,CB013,2025-07-29,3386.37,44,1
PC00358,FO0145,CB027,2024-12-07,2041.18,28,1
PC00359,FO0263,CB027,2025-03-08,2510.25,18,1
PC00360,FO0220,CB038,2026-03-21,2342.76,13,1
PC00361,FO0097,CB012,2024-04-24,12599.44,58,1
PC00362,FO0142,CB036,2025-12-20,6157.37,12,0
PC00363,FO0194,CB014,2026-02-05,1362.44,44,1
PC00364,FO0258,CB035,2026-06-23,2895.64,16,0
PC00365,FO0095,CB002,2026-02-06,3194.03,36,1
PC00366,FO0289,CB021,2026-01-03,1575.32,18,1
PC00367,FO0309,CB009,2026-04-26,3431.84,38,1
PC00368,FO0309,CB014,2026-04-30,4559.74,31,1
PC00369,FO0070,CB027,2025-07-28,4035.02,34,1
PC00370,FO0092,CB036,2024-10-14,13878.65,35,1
PC00371,FO0207,CB008,2026-06-05,5919.98,51,1
PC00372,FO0138,CB027,2025-04-05,1396.03,59,1
PC00373,FO0044,CB007,2026-02-18,1053.58,54,1
PC00374,FO0228,CB034,2024-10-18,1898.09,3,1
PC00375,FO0179,CB035,2026-05-03,93.14,12,1
PC00376,FO0264,CB040,2025-07-09,899.82,54,1
PC00377,FO0266,CB025,2025-03-25,673.45,29,1
PC00378,FO0310,CB016,2025-04-21,10823.76,37,1
PC00379,FO0129,CB022,2024-02-08,2920.19,9,1
PC00380,FO0226,CB023,2025-02-22,1432.95,23,1
PC00381,FO0250,CB040,2025-07-31,4097.69,25,1
PC00382,FO0214,CB006,2025-10-28,1120.12,7,1
PC00383,FO0239,CB026,2025-08-02,6094.99,24,0
PC00384,FO0300,CB018,2025-01-10,1983.62,42,1
PC00385,FO0282,CB032,2024-09-23,723.37,2,1
PC00386,FO0119,CB012,2024-07-30,3705.61,41,1
PC00387,FO0056,CB027,2024-12-05,2900.96,52,1
PC00388,FO0255,CB017,2026-04-05,7882.61,40,1
PC00389,FO0021,CB040,2024-10-27,21638.53,22,0
PC00390,FO0016,CB012,2026-01-09,2128.94,18,1
PC00391,FO0095,CB027,2026-04-03,900.52,53,1
PC00392,FO0246,CB021,2024-11-28,6828.42,19,1
PC00393,FO0297,CB035,2025-10-09,1707.97,55,1
PC00394,FO0091,CB008,2025-08-27,685.51,21,1
PC00395,FO0120,CB011,2024-03-02,2255.93,16,1
PC00396,FO0065,CB019,2025-04-06,5977.6,31,1
PC00397,FO0315,CB025,2024-01-26,1961.8,28,1
PC00398,FO0073,CB015,2026-06-17,4923.44,50,1
PC00399,FO0044,CB020,2024-08-05,454.97,41,1
PC00400,FO0138,CB029,2025-03-22,5836.63,7,1
PC00401,FO0193,CB002,2025-03-20,1643.15,19,1
PC00402,FO0201,CB005,2026-06-16,1696.61,55,1
PC00403,FO0280,CB038,2024-07-20,3771.13,14,1
PC00404,FO0280,CB035,2024-06-26,3140.2,59,1
PC00405,FO0038,CB037,2025-05-18,2691.92,5,1
PC00406,FO0218,CB039,2025-06-14,5791.9,27,1
PC00407,FO0072,CB025,2025-08-06,1091.42,47,1
PC00408,FO0185,CB007,2026-07-13,993.34,41,1
PC00409,FO0019,CB040,2025-08-10,318.2,55,1
PC00410,FO0205,CB001,2025-04-12,5691.61,18,1
PC00411,FO0201,CB006,2026-04-26,614.32,38,1
PC00412,FO0032,CB031,2024-01-03,3771.1,44,1
PC00413,FO0315,CB025,2025-10-03,638.49,3,1
PC00414,FO0094,CB021,2024-10-10,1637.4,24,1
PC00415,FO0192,CB013,2024-06-08,8162.17,27,0
PC00416,FO0173,CB025,2025-03-13,820.38,36,0
PC00417,FO0203,CB027,2024-05-24,1604.46,42,1
PC00418,FO0089,CB002,2025-07-16,9103.95,23,1
PC00419,FO0166,CB007,2026-01-03,3636.1,56,1
PC00420,FO0259,CB016,2026-06-15,3128.48,45,1
PC00421,FO0130,CB034,2025-12-31,8147.1,26,0
PC00422,FO0034,CB014,2024-09-15,1151.46,10,0
PC00423,FO0102,CB028,2024-10-27,3069.56,43,1
PC00424,FO0083,CB031,2025-09-29,2697.56,29,1
PC00425,FO0259,CB001,2025-03-15,1304.73,48,1
PC00426,FO0015,CB030,2024-04-04,1382.14,57,1
PC00427,FO0242,CB001,2025-09-18,1987.11,8,1
PC00428,FO0240,CB010,2024-10-01,739.21,14,1
PC00429,FO0185,CB024,2025-11-08,2745.81,59,1
PC00430,FO0252,CB014,2024-09-27,7038.7,33,1
PC00431,FO0161,CB022,2026-07-11,3954.73,28,0
PC00432,FO0031,CB026,2025-12-25,2450.81,51,0
PC00433,FO0163,CB029,2026-07-01,5603.34,57,1
PC00434,FO0296,CB021,2024-12-29,3300.36,24,1
PC00435,FO0316,CB015,2025-03-01,2563.12,58,1
PC00436,FO0058,CB007,2026-05-30,2448.25,20,1
PC00437,FO0260,CB008,2024-09-04,2889.32,4,1
PC00438,FO0039,CB035,2024-02-27,891.98,45,1
PC00439,FO0206,CB017,2024-06-12,578.1,59,0
PC00440,FO0084,CB038,2024-12-13,1131.05,28,1
PC00441,FO0019,CB030,2024-01-23,1202.85,10,1
PC00442,FO0040,CB016,2024-05-09,710.42,15,1
PC00443,FO0161,CB031,2024-11-07,1014.66,13,0
PC00444,FO0209,CB002,2025-10-31,4977.82,42,1
PC00445,FO0190,CB040,2026-03-28,1219.94,34,1
PC00446,FO0238,CB011,2025-10-30,1214.39,43,1
PC00447,FO0164,CB002,2026-03-05,7585.74,15,1
PC00448,FO0028,CB020,2025-01-25,1529.27,39,1
PC00449,FO0117,CB037,2025-08-21,4638.86,59,0
PC00450,FO0217,CB038,2025-07-12,1753.99,22,1
PC00451,FO0048,CB037,2024-11-07,18211.44,11,1
PC00452,FO0211,CB022,2025-01-12,1000.55,31,0
PC00453,FO0011,CB019,2025-08-20,1296.54,24,0
PC00454,FO0212,CB018,2025-01-15,4005.63,20,1
PC00455,FO0053,CB007,2024-07-29,15869.73,25,1
PC00456,FO0278,CB013,2024-04-17,1377.37,33,1
PC00457,FO0305,CB009,2025-05-19,1514.41,2,1
PC00458,FO0292,CB023,2026-01-31,1909.02,57,1
PC00459,FO0079,CB012,2025-11-20,2502.77,16,1
PC00460,FO0156,CB006,2026-07-14,651.68,36,1
PC00461,FO0232,CB032,2024-03-15,413.88,29,0
PC00462,FO0294,CB008,2024-11-14,15271.41,49,1
PC00463,FO0001,CB012,2024-07-22,2095.95,19,1
PC00464,FO0141,CB040,2024-02-07,28831.84,54,0
PC00465,FO0120,CB003,2025-01-01,8155.93,51,1
PC00466,FO0269,CB030,2025-09-21,10737.34,29,1
