uso_id,reparo_id,peca_id,quantidade,custo_total
141,88,24,2,425.38
142,88,36,2,303.55
143,88,45,1,262.79
144,91,64,2,325.24
145,91,21,2,130.63
146,93,37,2,394.1
147,93,59,2,96.28
148,93,4,1,501.27
149,94,23,2,448.57
150,95,48,1,730.07
151,95,74,1,662.37
152,96,24,2,290.23
153,96,17,2,704.63
154,97,68,2,681.88
155,97,14,1,569.24
156,98,7,2,275.72
157,100,73,2,241.36
158,100,71,1,51.33
159,102,7,2,268.78
160,102,39,1,818.9
161,102,77,1,343.21
162,106,12,1,134.99
163,106,10,2,456.55
164,108,43,1,677.9
165,108,19,2,715.53
166,109,14,1,143.75
167,109,48,1,685.04
168,109,37,1,690.81
169,110,15,2,696.57
170,110,72,1,472.3
171,111,80,1,223.98
172,112,21,1,121.59
173,112,15,1,553.87
174,112,30,1,33.12
175,114,55,2,758.78
176,114,58,2,60.62
177,114,22,2,496.36
178,116,38,1,767.51
179,116,12,1,743.8
180,116,37,2,387.16
181,117,63,1,73.38
182,118,47,1,191.76
183,119,22,2,133.65
184,119,58,2,502.48
185,120,3,2,229.06
186,120,80,1,644.35
187,121,68,2,70.68
188,122,63,1,639.39
189,122,48,2,497.32
190,122,23,2,841.79
191,123,10,2,845.9
192,123,58,1,99.69
193,123,16,2,283.58
194,124,40,2,594.59
195,124,26,2,489.5
196,126,19,2,763.65
197,126,24,1,354.65
198,127,18,2,828.17
199,127,13,1,501.3
200,127,73,1,48.51
201,130,18,1,179.07
202,130,41,2,268.54
203,131,49,2,134.61
204,131,71,1,304.87
205,131,32,1,524.85
206,132,46,2,199.19
207,132,24,1,677.75
208,132,16,1,733.15
209,134,29,1,697.61
210,134,61,2,805.9
211,135,57,1,380.59
212,136,32,2,462.36
213,138,57,2,215.08
214,139,22,2,839.89
215,139,8,2,182.3
216,140,34,1,445.49
217,140,72,2,761.67
218,140,72,1,545.64
219,141,71,1,598.13
220,141,50,2,343.53
221,141,7,1,343.76
222,142,50,1,250.05
223,142,26,2,252.82
224,142,46,2,59.9
225,143,57,1,603.02
226,143,72,2,234.45
227,144,51,1,98.92
228,144,2,1,757.38
229,145,23,1,808.25
230,145,68,1,808.19
231,145,32,1,696.06
232,146,40,2,171.92
233,146,33,2,411.28
234,147,15,2,106.55
235,148,39,1,767.4
236,148,71,1,512.41
237,151,27,2,577.06
238,151,72,2,543.01
239,151,35,1,96.26
240,152,3,1,156.12
241,154,7,1,413.89
242,154,44,1,208.01
243,154,69,1,391.65
244,155,2,2,654.13
245,155,49,2,651.89
246,158,19,2,733.84
247,159,19,1,30.59
248,160,80,2,354.21
249,160,24,1,829.46
250,162,57,1,553.95
251,163,39,2,808.07
252,164,39,1,257.75
253,164,23,1,803.7
254,165,12,1,182.65
255,165,13,1,570.77
256,166,52,2,639.99
257,166,24,2,373.54
258,166,24,2,425.15
259,169,28,1,34.53
260,170,13,2,576.79
261,170,29,2,193.4
262,170,74,2,340.86
263,171,12,2,253.77
264,174,54,2,718.85
265,174,28,2,76.45
266,176,71,2,70.62
267,176,12,1,225.23
268,177,28,2,15.79
269,178,37,1,766.55
270,178,61,1,356.05
271,178,44,1,753.1
272,179,24,1,598.95
273,179,56,2,358.74
274,180,61,1,171.49
275,181,73,2,545.11
276,182,53,1,738.23
277,182,35,1,493.27
278,183,60,1,24.61
279,183,24,2,158.55
280,185,62,2,633.36
281,185,37,1,87.7
282,186,23,2,557.51
283,186,2,2,753.61
284,186,20,2,406.14
285,187,59,1,339.7
286,187,80,2,848.9
287,188,5,2,304.54
288,189,75,1,444.81
289,189,4,2,249.59
290,190,26,1,520.57
291,190,75,1,661.25
292,193,2,2,184.35
293,193,25,2,697.38
294,194,49,2,212.51
295,194,1,2,373.09
296,194,31,2,521.9
297,195,73,1,604.75
298,195,38,1,719.54
299,196,26,1,124.6
300,196,80,2,551.31
301,199,6,2,535.86
302,199,38,2,285.23
303,200,75,2,610.62
304,200,22,2,351.21
305,201,3,1,491.05
306,202,10,2,177.37
307,203,63,2,820.36
308,205,56,2,382.66
309,206,14,1,371.35
310,206,30,2,744.41
311,207,41,1,152.59
312,207,12,2,416.41
313,207,11,1,593.57
314,208,44,1,456.44
315,208,53,1,43.7
316,211,76,2,61.82
317,212,57,1,335.47
318,212,4,2,229.27
319,212,29,1,295.15
320,213,52,2,162.07
321,214,11,2,258.91
322,214,63,1,489.24
323,215,35,1,347.17
324,216,68,2,173.5
325,216,6,1,454.39
326,216,3,1,429.16
327,217,63,2,447.69
328,217,79,2,74.13
329,217,72,1,328.58
330,218,39,1,811.37
331,218,28,1,239.04
332,219,12,2,306.14
333,220,76,1,335.05
334,220,42,2,252.21
335,220,20,2,634.74
336,221,5,2,178.71
337,221,70,2,379.38
338,223,62,2,734.7
339,223,62,1,360.76
340,223,50,2,668.96
341,224,26,2,83.65
342,225,2,1,355.37
343,225,49,2,614.29
344,226,79,1,799.02
345,226,37,1,793.91
346,227,24,2,270.0
347,227,32,1,556.41
348,227,30,2,554.22
349,228,12,2,625.54
350,229,11,1,414.38
351,229,22,1,761.51
352,229,63,1,402.55
353,230,33,2,627.67
354,231,7,2,713.74
355,231,41,1,113.98
356,232,20,1,82.79
357,232,25,2,294.52
358,232,70,1,764.46
359,233,3,1,170.93
360,234,53,2,549.46
361,234,56,2,171.74
362,235,4,2,37.7
363,235,17,2,505.66
364,237,5,2,449.76
365,237,75,2,671.13
366,238,14,1,389.68
367,238,2,1,201.9
368,238,66,2,410.65
369,239,30,2,774.53
370,239,76,2,605.97
371,240,65,2,683.43
372,240,45,2,315.53
373,240,49,2,617.9
374,241,5,2,352.71
375,241,18,2,745.83
376,241,35,2,26.88
377,242,32,1,793.45
378,242,10,1,401.75
379,242,19,2,333.77
380,244,39,2,74.87
381,244,57,1,849.37
382,245,28,1,771.83
383,245,73,1,819.37
384,247,70,2,560.78
385,247,51,2,263.13
386,247,31,2,605.79
387,248,7,1,362.65
388,248,53,1,689.24
389,248,45,2,397.32
390,250,51,2,137.96
391,250,22,2,273.71
392,251,40,2,632.76
393,251,55,2,638.63
394,252,78,1,524.61
395,253,9,2,197.25
396,254,58,2,205.64
397,254,30,1,440.82
398,255,72,2,682.06
399,255,76,1,388.0
400,256,70,1,672.6
401,256,80,1,500.45
402,258,49,2,123.69
403,258,59,2,387.63
404,259,37,2,667.76
405,259,65,1,570.81
406,259,39,2,222.18
407,260,1,2,825.74
408,260,37,2,499.89
409,261,14,2,50.83
410,262,44,1,81.21
411,262,16,1,74.58
412,263,8,1,444.22
413,265,42,1,696.23
414,266,12,2,326.8
415,266,40,1,294.95
416,266,55,1,777.98
417,267,17,2,72.64
418,267,62,1,617.45
419,269,79,2,26.58
420,269,17,1,460.07
421,270,12,1,292.32
422,270,53,1,202.1
423,270,60,1,553.0
424,271,26,2,292.97
425,271,59,1,527.67
426,271,10,1,134.95
427,272,57,2,504.13
428,272,27,1,579.76
429,273,74,1,568.38
430,274,44,1,435.13
431,274,12,2,750.45
432,275,13,2,779.74
433,275,69,2,706.91
434,275,2,2,751.32
435,276,38,1,540.21
436,277,56,1,39.79
437,277,19,1,414.98
438,278,26,1,709.8
439,278,29,1,670.94
440,278,20,1,146.0
441,279,64,2,585.98
442,279,15,1,619.15
443,279,46,1,296.58
444,282,64,2,151.44
445,283,2,1,523.71
446,283,1,2,495.46
447,284,21,1,161.24
448,284,72,1,325.53
449,284,45,2,666.88
450,285,26,1,591.91
451,288,15,1,808.94
452,290,78,2,806.1
453,290,10,2,437.77
454,290,40,1,415.8
455,292,52,2,605.85
456,293,53,2,409.77
457,293,19,2,152.36
458,294,68,2,556.97
459,294,41,1,20.7
460,295,51,1,546.7
461,296,44,2,285.39
462,296,8,1,104.36
463,296,43,1,155.25
464,297,12,1,78.62
465,297,39,2,38.04
466,297,7,1,144.0
467,298,76,1,413.31
468,298,32,1,89.27
469,298,72,1,567.72
470,299,32,1,83.08
471,300,78,1,528.75
472,300,37,2,50.24
473,301,41,2,838.29
474,301,41,2,346.62
475,302,21,1,440.71
476,302,52,2,412.81
477,302,18,2,749.68
478,303,41,1,264.93
479,305,40,2,57.43
480,305,12,1,318.6
481,305,47,1,265.0
482,306,52,2,120.85
483,306,34,2,683.31
484,308,43,1,779.04
485,309,61,1,164.02
486,309,4,1,303.53
487,311,25,2,362.39
488,311,21,1,499.43
489,311,59,2,544.17
490,313,30,1,656.74
491,314,72,2,561.41
492,315,51,1,118.3
493,316,11,1,122.03
494,316,33,2,590.53
495,316,27,1,487.59
496,318,25,2,274.69
497,318,17,1,831.72
498,318,11,2,673.57
499,320,56,2,654.55
500,321,56,2,604.57
501,322,77,2,615.75
502,322,52,2,132.86
503,322,19,1,396.05
504,323,32,2,44.34
505,324,68,2,829.13
506,324,22,1,607.72
507,325,25,1,410.51
508,325,34,1,364.43
509,325,61,1,258.0
510,327,58,1,673.32
511,327,39,2,210.98
512,327,8,2,444.62
513,328,6,1,485.22
514,329,75,2,741.04
515,330,80,2,797.96
516,331,23,1,448.0
517,331,41,1,160.48
518,331,41,2,674.78
519,332,17,1,294.87
520,332,59,2,264.17
521,333,26,1,747.81
522,334,56,2,566.54
523,334,43,2,630.88
524,334,28,2,603.18
525,335,27,2,374.34
526,335,43,2,32.94
527,335,39,1,668.79
528,336,55,1,136.14
529,336,1,1,286.0
530,336,46,1,360.64
531,337,14,1,96.06
532,337,23,1,251.09
533,337,65,2,700.15
534,338,27,1,130.76
535,339,45,2,442.89
536,340,63,1,312.35
537,340,54,2,214.13
538,340,55,1,432.41
539,341,16,2,462.63
540,341,20,2,816.01
541,342,37,1,651.19
542,343,27,1,256.41
543,344,55,2,575.71
544,344,51,1,684.81
545,344,45,1,631.99
546,345,63,1,570.28
547,345,21,1,95.6
548,345,66,1,602.93
549,346,56,1,330.45
550,346,11,2,303.6
551,346,40,1,474.32
552,347,60,1,137.72
553,347,70,1,723.75
554,347,16,1,525.66
555,348,8,2,16.0
556,348,22,1,706.65
557,349,48,1,151.93
558,349,55,1,176.06
559,349,30,2,681.19
560,352,21,1,685.54
561,352,43,2,544.6
562,352,66,2,517.9
563,354,39,1,521.56
564,354,23,1,149.16
565,355,49,2,366.95
566,355,48,2,316.68
567,356,79,1,668.34
568,357,12,1,546.51
569,357,53,1,666.78
570,357,75,1,539.01
571,358,51,1,259.33
572,359,31,2,36.58
573,359,16,2,473.93
574,359,16,2,160.66
575,360,28,1,137.82
576,360,56,2,222.38
577,361,38,1,588.53
578,361,57,1,216.76
579,362,29,2,88.58
580,362,41,1,284.3
581,362,42,1,791.03
582,364,45,1,427.35
583,364,19,1,833.43
584,364,47,2,271.21
585,365,9,1,30.78
586,365,30,1,27.05
587,366,18,2,827.44
588,367,35,2,166.81
589,367,8,2,570.23
590,368,77,2,806.09
591,368,11,1,371.96
592,369,60,1,19.97
593,370,26,2,470.56
594,371,44,2,159.77
595,372,60,1,787.17
596,373,43,2,443.45
597,373,49,2,552.62
598,374,50,1,236.97
599,376,30,1,249.11
600,376,3,1,498.11
601,377,42,1,449.23
602,378,10,2,64.45
603,379,22,1,682.36
604,379,30,1,685.51
605,380,79,2,394.86
606,380,54,1,556.43
607,380,25,2,623.49
608,381,48,2,445.18
609,382,79,1,260.98
610,382,40,1,775.19
611,382,52,1,381.81
612,384,76,2,141.52
613,384,58,1,168.61
614,384,78,1,279.8
615,385,48,2,232.59
616,385,48,2,506.22
617,386,34,1,758.02
618,387,35,1,679.73
619,387,56,1,339.57
620,388,41,2,471.05
621,388,44,1,418.95
622,389,64,2,397.58
623,389,7,2,31.86
624,390,15,2,291.91
625,391,5,1,486.12
626,391,58,1,120.96
627,392,47,1,751.8
628,392,36,2,781.39
629,393,75,1,598.45
630,393,13,2,97.11
631,397,15,1,159.05
632,397,39,1,193.45
633,397,7,1,702.39
634,398,5,2,492.43
635,399,37,2,577.72
636,399,8,1,841.83
637,400,72,1,816.16
638,401,57,1,715.91
639,401,61,1,675.21
640,401,25,2,590.82
641,404,24,2,302.75
642,404,52,2,724.29
643,407,11,2,750.07
644,407,73,1,640.54
645,407,11,2,169.06
646,408,28,1,245.91
647,409,44,1,691.66
648,409,77,1,791.38
649,411,1,1,579.4
650,412,59,1,733.26
651,412,28,1,76.02
652,412,63,2,323.52
653,414,76,2,504.1
654,414,47,2,126.25
655,417,31,1,113.06
656,418,31,1,562.68
657,418,42,2,172.78
658,418,3,2,435.77
659,419,30,1,788.6
660,420,31,1,222.0
661,420,41,1,848.87
662,421,50,2,130.25
663,422,69,1,77.88
664,423,35,2,194.0
665,423,41,1,379.01
666,426,60,2,220.14
667,426,71,2,715.95
668,426,8,2,231.47
669,427,23,2,454.94
670,427,63,1,103.14
671,428,26,2,86.36
672,428,69,1,528.67
673,428,67,1,352.96
674,430,2,1,161.41
675,430,20,1,752.99
676,430,73,1,164.7
677,431,13,2,651.1
678,431,67,2,625.18
679,432,45,2,50.88
680,432,50,2,720.11
681,432,47,2,707.87
682,433,35,2,340.12
683,434,11,2,231.07
684,434,70,2,686.01
685,434,33,2,365.99
686,435,78,2,817.43
687,436,60,2,561.57
688,438,16,2,76.48
689,438,36,2,849.16
690,440,58,1,405.36
691,442,39,1,832.84
692,443,39,2,151.1
693,444,4,2,843.73
694,444,19,2,479.83
695,444,66,1,319.61
696,445,45,2,489.21
697,445,66,2,254.38
698,445,16,1,277.27
699,447,80,2,381.78
700,448,60,2,74.86
701,448,15,1,736.86
702,448,24,1,388.65
703,450,19,1,285.54
704,451,74,1,631.26
705,451,43,2,91.1
706,451,40,2,370.11
707,452,42,2,787.23
708,453,71,1,151.81
709,453,59,1,716.46
710,454,61,1,817.51
711,454,40,1,474.96
712,454,79,2,65.45
713,455,34,1,786.29
714,455,65,2,752.21
715,456,22,2,754.46
716,456,37,2,252.17
717,457,51,2,758.24
718,458,20,1,61.12
719,458,69,1,47.55
720,458,71,2,21.6
721,459,67,2,522.56
722,459,31,1,505.16
723,461,23,2,420.57
724,461,75,2,124.68
725,461,18,2,378.69
726,464,22,2,257.06
727,464,69,2,311.7
728,466,40,1,662.87
729,466,20,2,468.6
730,466,3,2,846.8
731,467,61,2,262.57
732,470,4,1,614.63
733,470,1,2,531.38
734,471,16,1,204.41
735,473,68,2,830.22
736,474,38,2,323.88
737,474,51,1,34.41
738,475,25,1,626.46
739,475,77,1,321.44
740,476,8,2,605.66
741,476,64,2,708.4
742,476,37,1,108.16
743,477,21,1,220.77
744,477,5,2,572.78
745,478,28,1,49.91
746,478,56,2,546.91
747,478,53,1,275.81
748,479,62,2,250.05
749,479,4,2,324.76
750,479,45,2,784.29
751,480,30,1,231.03
752,480,8,2,570.58
753,481,4,1,314.37
754,481,70,2,454.57
755,481,79,1,192.59
756,482,31,2,594.49
757,482,60,2,599.68
758,482,4,2,347.18
759,483,2,2,63.63
760,483,19,2,443.52
761,483,15,2,82.55
762,484,7,2,638.82
763,485,12,1,323.82
764,485,40,2,463.14
765,487,50,2,192.15
766,488,21,1,153.08
767,489,54,2,599.98
768,490,20,2,90.53
769,491,15,2,748.54
770,491,67,2,696.35
771,492,48,2,554.47
772,492,35,2,410.82
773,493,20,1,548.82
774,493,7,2,234.1
775,494,70,1,358.36
776,494,4,1,309.61
777,496,49,1,444.12
778,496,38,1,848.87
779,498,28,1,421.18
780,498,78,2,391.71
781,498,80,1,503.47
782,499,77,2,777.68
783,499,54,1,139.54
784,502,22,2,33.27
785,502,16,1,189.19
786,503,21,2,123.33
787,503,77,2,584.95
788,503,33,2,330.64
789,504,32,1,796.72
790,504,64,1,632.94
791,504,68,2,732.03
792,505,39,2,717.66
793,505,25,1,145.47
794,506,59,1,336.67
795,506,46,1,490.53
796,507,14,1,620.03
797,507,42,1,464.22
798,507,24,2,73.62
799,508,78,2,348.47
800,509,43,2,621.75
801,509,59,1,239.97
802,510,64,1,143.79
803,510,10,2,699.97
804,511,5,1,537.12
805,512,76,1,66.85
806,512,10,1,648.88
807,513,59,2,630.99
808,514,22,2,399.88
809,514,80,1,828.38
810,515,53,1,529.47
811,515,6,1,171.29
812,515,35,2,539.7
813,516,7,2,811.57
814,516,43,1,311.92
815,517,57,2,645.01
816,517,77,1,240.71
817,517,10,1,227.16
818,518,11,2,400.03
819,518,15,2,339.47
820,518,60,1,221.39
821,519,12,1,557.53
822,520,60,1,734.5
823,521,3,1,215.3
824,521,44,1,25.24
825,522,55,2,200.74
826,522,54,2,826.83
827,523,4,2,732.37
828,524,11,1,754.32
829,524,75,2,47.83
830,524,47,1,613.91
831,526,69,1,23.73
832,527,18,2,50.24
833,528,43,2,496.47
834,528,26,2,296.7
835,528,33,1,836.74
836,529,57,2,732.72
837,529,35,2,453.03
838,530,37,1,467.73
839,530,29,1,642.16
840,530,33,2,347.53
841,532,44,1,198.36
842,533,76,1,324.94
843,533,61,1,755.56
844,534,33,1,203.54
845,534,18,2,126.75
846,534,57,2,253.73
847,535,8,1,415.63
848,536,75,2,560.6
849,537,60,1,394.93
850,538,26,2,602.02
851,538,44,1,417.69
852,539,5,2,698.61
853,539,79,1,836.89
854,539,26,2,71.14
855,541,65,2,412.64
856,542,49,2,123.48
857,542,20,2,487.74
858,542,76,2,352.13
859,543,59,1,819.63
860,543,54,2,126.44
861,543,22,2,845.17
862,544,62,2,125.92
863,544,18,1,217.31
864,544,38,1,574.6
865,545,4,2,788.31
866,545,21,1,131.93
867,546,68,2,194.96
868,546,49,2,785.54
869,546,56,1,190.5
870,547,22,2,489.13
871,547,43,1,823.8
872,547,55,1,404.89
873,548,47,1,162.33
874,548,22,2,530.16
875,548,16,1,514.36
876,550,19,2,647.43
877,550,59,1,721.33
878,551,46,2,636.43
879,552,64,2,205.98
880,552,53,2,671.33
881,552,53,1,415.76
882,553,55,1,314.19
883,553,71,2,734.03
884,553,46,2,797.2
885,555,36,2,382.44
886,555,61,2,409.21
887,555,55,2,440.74
888,557,30,2,647.83
889,557,17,1,473.17
890,557,80,1,15.99
891,558,32,2,607.88
892,558,4,2,453.24
893,558,72,2,454.83
894,559,61,1,240.35
895,559,52,1,212.32
896,559,40,1,792.62
897,560,77,1,690.91
898,561,28,2,233.88
899,562,21,1,605.83
900,562,44,2,221.76
901,562,54,1,81.28
902,563,47,2,566.13
903,563,41,1,707.44
904,563,8,2,541.76
905,564,69,1,106.49
906,564,10,1,574.91
907,565,71,1,175.68
908,565,37,2,155.28
909,565,8,2,148.89
910,567,19,1,697.32
911,567,28,2,439.43
912,567,79,2,744.02
913,568,6,1,849.52
914,568,34,1,298.91
915,568,22,1,377.66
916,569,9,1,44.94
917,569,43,2,237.22
918,569,31,2,323.42
919,570,25,1,294.98
920,572,60,1,513.26
921,572,21,2,240.67
922,573,53,1,39.5
923,574,33,1,315.41
924,574,2,1,595.19
925,575,3,1,691.26
926,575,45,1,136.86
927,575,33,1,104.4
928,576,67,1,593.53
929,576,41,2,395.13
930,576,48,2,789.8
931,577,55,1,508.39
932,578,6,2,58.37
933,579,8,2,221.77
934,579,75,1,133.39
935,581,46,2,817.39
936,583,76,2,143.95
937,583,68,1,182.92
938,583,23,1,620.51
939,584,48,2,222.38
940,584,53,1,49.9
941,585,75,1,652.92
942,586,18,1,226.32
943,586,36,2,427.13
944,586,17,1,138.33
945,588,30,2,411.23
946,588,40,2,48.6
947,589,61,2,118.98
948,589,33,1,647.86
949,589,71,2,622.64
950,590,26,1,722.4
951,590,64,2,141.16
952,590,21,1,591.16
953,591,55,2,575.37
954,591,4,1,543.89
955,592,60,1,424.58
956,592,11,2,398.96
957,593,3,2,87.56
958,594,3,2,764.57
959,595,49,1,671.72
960,595,8,2,795.32
961,595,17,1,837.44
962,596,63,2,755.09
963,596,35,2,838.28
964,596,23,1,760.88
965,597,66,1,468.52
966,597,24,1,589.65
967,598,14,2,604.43
968,599,1,2,23.24
969,599,43,1,536.65
970,601,48,2,329.8
971,601,17,2,537.8
972,601,36,1,653.17
973,602,19,1,28.0
974,602,1,1,837.33
975,602,16,2,435.37
976,603,36,1,703.65
977,604,5,2,477.97
978,606,2,1,559.92
979,606,2,2,212.38
980,606,22,1,477.5
981,608,63,1,657.02
982,609,2,2,337.64
983,610,32,1,612.33
984,610,45,1,610.11
985,611,9,1,344.76
986,611,10,1,517.81
987,611,48,1,408.49
988,612,19,1,664.12
989,613,80,1,410.41
990,614,12,2,630.47
991,614,63,1,511.19
992,614,72,2,389.9
993,615,61,1,837.17
994,617,44,1,534.85
995,617,16,1,324.19
996,618,50,2,422.68
997,618,9,1,593.1
998,618,62,2,789.68
999,620,67,2,337.4
1000,621,26,1,72.01
1001,623,22,1,355.15
1002,623,57,1,185.65
1003,624,42,2,710.72
1004,624,42,2,556.42
1005,626,42,2,760.16
1006,626,36,2,781.09
1007,628,1,1,599.71
1008,628,6,1,346.32
1009,629,70,2,376.04
1010,629,52,2,421.87
1011,630,22,2,565.71
1012,630,25,2,186.68
1013,631,58,2,303.14
1014,633,42,1,783.56
1015,634,47,2,813.32
1016,636,59,1,60.18
1017,636,13,1,683.17
1018,638,26,1,299.34
1019,638,69,1,60.27
1020,639,16,1,127.71
1021,639,23,2,84.38
1022,639,62,1,475.24
1023,640,25,1,109.09
1024,640,55,1,15.81
1025,640,57,1,95.34
1026,641,65,1,810.95
1027,642,24,2,466.64
1028,646,7,2,230.82
1029,646,54,2,430.68
1030,646,23,2,455.57
1031,648,49,2,276.67
1032,648,60,1,417.42
1033,649,71,1,447.55
1034,650,54,2,767.37
1035,650,60,2,639.35
1036,651,35,2,789.92
1037,651,35,1,595.7
1038,651,50,2,554.72
1039,653,53,2,322.13
1040,653,80,1,529.56
1041,654,68,2,154.64
1042,655,49,1,187.57
1043,655,8,2,327.58
1044,657,63,1,540.0
1045,657,8,1,665.23
1046,657,77,1,159.96
1047,658,45,1,835.51
1048,660,57,2,170.78
1049,660,35,2,527.4
1050,660,41,2,492.67
1051,661,54,2,355.25
1052,661,73,2,521.4
1053,661,5,2,649.83
1054,662,73,2,702.22
1055,662,55,1,620.17
1056,662,3,1,740.03
1057,665,71,2,795.71
1058,665,16,1,339.12
1059,665,40,2,304.16
1060,666,14,2,418.36
1061,666,15,1,32.65
1062,666,77,1,248.57
1063,667,77,2,193.84
1064,668,56,2,33.32
1065,669,50,2,662.13
1066,669,26,2,507.34
1067,669,80,2,614.28
1068,670,71,1,630.32
1069,671,51,1,679.77
1070,671,7,1,80.6
1071,672,30,2,481.77
1072,672,12,1,387.45
1073,673,51,2,841.88
1074,673,6,2,475.64
1075,674,18,2,476.54
1076,674,46,2,462.92
1077,675,36,2,833.48
1078,675,6,1,697.22
1079,677,28,1,430.29
1080,677,22,1,270.84
1081,678,80,1,44.53
1082,678,6,1,74.96
1083,678,70,1,106.28
1084,679,13,1,253.42
1085,679,42,2,494.43
1086,680,53,1,419.84
1087,680,40,1,17.81
1088,680,42,2,526.94
1089,681,17,2,249.47
1090,681,14,1,666.34
1091,681,77,1,810.12
1092,682,79,2,313.33
1093,682,64,1,528.95
1094,683,15,2,687.57
1095,684,71,2,308.78
1096,686,50,1,756.57
1097,686,27,1,498.75
1098,687,43,1,158.47
1099,687,6,2,128.59
1100,687,14,1,24.33
1101,688,17,1,478.95
1102,688,53,2,361.79
1103,688,78,1,311.26
1104,689,4,1,92.73
1105,689,26,2,76.0
1106,689,49,2,719.97
1107,691,75,1,349.67
1108,693,36,2,420.21
1109,694,23,2,21.69
1110,694,76,1,496.92
1111,695,65,2,231.17
1112,695,74,2,412.7
1113,697,36,1,434.31
1114,697,77,1,76.55
1115,698,72,2,153.4
1116,698,20,1,210.38
1117,699,45,1,41.22
1118,700,49,2,603.34
1119,700,26,1,257.9
1120,701,4,2,580.28
1121,701,78,1,837.1
1122,701,43,2,197.36
1123,702,70,2,72.82
1124,703,75,2,529.17
1125,703,71,1,585.26
1126,704,56,1,633.87
1127,704,36,1,304.99
1128,704,50,1,408.95
1129,706,5,1,810.39
1130,706,37,2,661.93
1131,707,36,2,135.31
1132,708,18,1,560.37
1133,711,61,2,556.85
1134,711,74,2,767.48
1135,712,80,2,826.28
1136,712,58,1,389.07
1137,713,35,1,234.43
1138,713,40,1,224.48
1139,714,40,1,39.22
1140,714,26,1,679.91
1141,715,42,1,686.94
1142,715,69,1,717.31
1143,717,80,2,33.13
1144,717,42,2,219.17
1145,719,4,2,581.56
1146,720,30,2,449.1
1147,720,14,1,546.51
1148,720,54,2,223.21
1149,721,38,2,623.97
