reparo_id,os_id,data_inicio,data_fim,solucao,horas_tecnicas,resultado
234,234,2025-09-22,2025-09-23,Reparo de placa,4.0,Resolvido
235,235,2025-08-16,2025-08-21,Reparo de placa,22.9,Resolvido
237,237,2026-02-01,2026-02-07,Atualização de software,22.7,Resolvido
238,238,2026-05-13,2026-05-19,Reparo de placa,13.5,Resolvido
239,239,2026-03-31,2026-04-07,Troca de componente,31.8,Resolvido
240,240,2025-08-16,2025-08-27,Troca de componente,23.7,Resolvido
241,241,2025-08-24,2025-09-03,Reparo de placa,15.0,Resolvido
242,242,2026-03-26,2026-03-30,Atualização de software,18.2,Resolvido
244,244,2025-09-23,2025-09-23,Reparo de placa,2.4,Resolvido
245,245,2025-10-30,2025-11-02,Reparo de placa,6.5,Resolvido
247,247,2025-10-18,2025-10-23,Reparo de placa,16.2,Resolvido
248,248,2025-09-04,2025-09-17,Reparo de placa,40.3,Resolvido
250,250,2026-05-06,2026-05-08,Troca de componente,4.3,Resolvido
251,251,2025-08-14,2025-08-21,Reparo de placa,24.6,Resolvido
252,252,2026-04-02,2026-04-08,Reparo de placa,15.4,Resolvido
253,253,2026-01-03,2026-01-05,Troca de componente,9.6,Resolvido
254,254,2026-04-21,2026-05-04,Limpeza técnica,34.7,Resolvido
255,255,2026-01-22,2026-01-24,Atualização de software,3.5,Resolvido
256,256,2026-04-06,2026-04-08,Limpeza técnica,3.1,Resolvido
258,258,2026-02-18,2026-02-24,Limpeza técnica,16.4,Resolvido
259,259,2025-07-28,2025-07-31,Troca de componente,14.7,Resolvido
260,260,2026-04-11,2026-04-18,Atualização de software,18.7,Resolvido
261,261,2025-10-16,2025-10-24,Reparo de placa,27.6,Resolvido
262,262,2026-03-15,2026-03-23,Reparo de placa,15.0,Resolvido
263,263,2026-01-13,2026-01-18,Reparo de placa,23.2,Retorno
265,265,2025-12-30,2026-01-07,Atualização de software,30.5,Resolvido
266,266,2026-01-28,2026-02-02,Troca de componente,10.9,Resolvido
267,267,2026-04-29,2026-05-12,Limpeza técnica,27.4,Resolvido
269,269,2026-05-15,2026-05-20,Reparo de placa,17.7,Resolvido
270,270,2025-09-30,2025-10-06,Troca de componente,26.2,Resolvido
271,271,2025-07-24,2025-07-24,Reparo de placa,2.6,Resolvido
272,272,2025-11-14,2025-11-23,Limpeza técnica,38.2,Resolvido
273,273,2025-09-21,2025-09-28,Troca de componente,26.5,Resolvido
274,274,2026-03-16,2026-03-20,Troca de componente,18.0,Resolvido
275,275,2026-02-10,2026-02-13,Atualização de software,5.1,Resolvido
276,276,2025-08-01,2025-08-09,Troca de componente,28.7,Resolvido
277,277,2026-06-01,2026-06-06,Troca de componente,7.9,Resolvido
278,278,2025-12-26,2026-01-06,Atualização de software,30.8,Resolvido
279,279,2026-05-25,2026-06-07,Limpeza técnica,17.3,Resolvido
282,282,2025-07-19,2025-07-26,Atualização de software,21.7,Resolvido
283,283,2026-01-12,2026-01-23,Troca de componente,31.5,Resolvido
284,284,2025-11-02,2025-11-11,Troca de componente,22.0,Resolvido
285,285,2026-06-13,2026-06-18,Reparo de placa,22.9,Resolvido
288,288,2025-09-12,2025-09-14,Troca de componente,7.2,Resolvido
290,290,2025-07-12,2025-07-21,Limpeza técnica,19.7,Resolvido
292,292,2025-12-10,2025-12-22,Limpeza técnica,22.8,Resolvido
293,293,2025-11-18,2025-11-27,Reparo de placa,29.0,Resolvido
294,294,2025-07-13,2025-07-25,Troca de componente,47.8,Resolvido
295,295,2026-06-14,2026-06-16,Reparo de placa,10.4,Resolvido
296,296,2026-05-09,2026-05-22,Atualização de software,24.3,Resolvido
297,297,2026-05-03,2026-05-16,Reparo de placa,22.6,Resolvido
298,298,2025-11-19,2025-11-26,Atualização de software,30.3,Resolvido
299,299,2025-07-15,2025-07-23,Limpeza técnica,14.2,Resolvido
300,300,2025-11-26,2025-12-07,Atualização de software,36.4,Resolvido
301,301,2026-05-24,2026-06-01,Limpeza técnica,11.5,Resolvido
302,302,2025-09-28,2025-09-30,Reparo de placa,10.0,Resolvido
303,303,2025-09-22,2025-10-04,Troca de componente,26.9,Resolvido
305,305,2025-10-06,2025-10-10,Atualização de software,14.2,Retorno
306,306,2026-06-19,2026-06-19,Atualização de software,1.1,Resolvido
308,308,2025-09-18,2025-09-20,Reparo de placa,9.8,Resolvido
309,309,2025-11-25,2025-11-25,Atualização de software,2.7,Resolvido
311,311,2026-06-30,2026-06-30,Atualização de software,1.7,Resolvido
313,313,2026-01-13,2026-01-26,Reparo de placa,28.3,Resolvido
314,314,2025-07-28,2025-08-05,Troca de componente,20.5,Resolvido
315,315,2025-08-24,2025-08-28,Limpeza técnica,13.0,Resolvido
316,316,2025-08-08,2025-08-19,Reparo de placa,42.1,Resolvido
318,318,2025-07-24,2025-07-29,Limpeza técnica,20.8,Resolvido
320,320,2026-04-03,2026-04-14,Atualização de software,12.9,Resolvido
321,321,2026-03-03,2026-03-14,Atualização de software,23.3,Resolvido
322,322,2025-09-22,2025-09-27,Limpeza técnica,14.2,Resolvido
323,323,2026-02-13,2026-02-16,Troca de componente,8.4,Resolvido
324,324,2025-10-18,2025-10-30,Limpeza técnica,14.8,Resolvido
325,325,2026-01-11,2026-01-14,Troca de componente,12.6,Resolvido
327,327,2026-01-22,2026-02-02,Limpeza técnica,40.9,Resolvido
328,328,2025-12-04,2025-12-09,Atualização de software,19.6,Resolvido
329,329,2026-01-16,2026-01-20,Limpeza técnica,14.1,Resolvido
330,330,2026-03-04,2026-03-11,Reparo de placa,10.7,Resolvido
331,331,2026-01-05,2026-01-12,Troca de componente,21.6,Resolvido
332,332,2026-01-31,2026-02-12,Limpeza técnica,16.2,Resolvido
333,333,2026-01-31,2026-02-03,Atualização de software,7.6,Resolvido
334,334,2026-04-12,2026-04-18,Atualização de software,7.8,Resolvido
335,335,2026-06-21,2026-06-21,Troca de componente,2.2,Resolvido
336,336,2026-01-27,2026-01-30,Limpeza técnica,6.8,Resolvido
337,337,2025-12-27,2025-12-31,Troca de componente,12.2,Resolvido
338,338,2025-10-15,2025-10-15,Limpeza técnica,3.1,Resolvido
339,339,2025-11-10,2025-11-22,Limpeza técnica,40.7,Resolvido
340,340,2026-06-06,2026-06-09,Atualização de software,7.3,Resolvido
341,341,2025-12-05,2025-12-08,Atualização de software,15.3,Resolvido
342,342,2025-07-12,2025-07-25,Atualização de software,28.9,Resolvido
343,343,2025-11-14,2025-11-25,Reparo de placa,27.7,Resolvido
344,344,2025-12-03,2025-12-09,Troca de componente,12.1,Resolvido
345,345,2025-11-03,2025-11-04,Reparo de placa,3.3,Resolvido
346,346,2026-04-06,2026-04-16,Limpeza técnica,30.4,Resolvido
347,347,2026-03-07,2026-03-10,Atualização de software,14.3,Resolvido
348,348,2026-05-07,2026-05-12,Limpeza técnica,23.9,Resolvido
349,349,2025-09-16,2025-09-29,Reparo de placa,38.0,Resolvido
352,352,2026-02-14,2026-02-17,Atualização de software,12.4,Retorno
354,354,2026-06-22,2026-06-26,Reparo de placa,16.6,Resolvido
355,355,2025-07-22,2025-08-04,Limpeza técnica,40.9,Resolvido
356,356,2025-07-13,2025-07-13,Reparo de placa,1.4,Resolvido
357,357,2025-10-20,2025-10-20,Troca de componente,2.5,Resolvido
358,358,2025-09-14,2025-09-14,Troca de componente,3.1,Resolvido
359,359,2026-02-09,2026-02-12,Atualização de software,10.5,Resolvido
360,360,2026-03-26,2026-03-30,Troca de componente,11.5,Resolvido
361,361,2025-08-13,2025-08-14,Atualização de software,2.4,Resolvido
362,362,2026-03-14,2026-03-24,Troca de componente,33.3,Resolvido
364,364,2026-03-03,2026-03-09,Reparo de placa,10.7,Resolvido
365,365,2026-01-18,2026-01-23,Limpeza técnica,11.8,Resolvido
366,366,2026-03-08,2026-03-11,Troca de componente,10.7,Resolvido
367,367,2026-06-15,2026-06-24,Reparo de placa,28.4,Resolvido
368,368,2026-04-29,2026-04-30,Troca de componente,2.7,Resolvido
369,369,2026-04-21,2026-04-21,Limpeza técnica,3.7,Resolvido
370,370,2026-02-20,2026-02-20,Reparo de placa,1.5,Resolvido
371,371,2025-08-13,2025-08-26,Troca de componente,21.8,Resolvido
372,372,2025-07-15,2025-07-25,Troca de componente,20.7,Resolvido
373,373,2025-11-01,2025-11-13,Troca de componente,42.5,Resolvido
374,374,2025-07-17,2025-07-22,Limpeza técnica,20.3,Resolvido
376,376,2025-12-21,2026-01-02,Reparo de placa,48.5,Resolvido
377,377,2025-12-23,2026-01-04,Limpeza técnica,15.5,Resolvido
378,378,2026-06-25,2026-07-05,Troca de componente,39.4,Resolvido
379,379,2025-09-03,2025-09-13,Reparo de placa,42.8,Resolvido
380,380,2026-05-06,2026-05-08,Troca de componente,4.5,Resolvido
381,381,2026-01-26,2026-02-06,Troca de componente,28.5,Resolvido
382,382,2025-09-16,2025-09-25,Limpeza técnica,14.6,Resolvido
384,384,2025-08-09,2025-08-18,Reparo de placa,39.9,Resolvido
385,385,2026-05-02,2026-05-14,Atualização de software,13.6,Resolvido
386,386,2026-05-09,2026-05-14,Limpeza técnica,7.6,Resolvido
387,387,2025-08-22,2025-08-30,Limpeza técnica,23.9,Resolvido
388,388,2026-01-03,2026-01-15,Reparo de placa,45.1,Resolvido
389,389,2026-06-25,2026-06-29,Limpeza técnica,6.7,Retorno
390,390,2026-01-13,2026-01-17,Limpeza técnica,16.9,Retorno
391,391,2025-10-18,2025-10-24,Limpeza técnica,8.3,Resolvido
392,392,2026-06-07,2026-06-07,Limpeza técnica,3.8,Resolvido
393,393,2026-04-22,2026-04-30,Reparo de placa,34.6,Resolvido
397,397,2025-09-07,2025-09-16,Troca de componente,11.8,Resolvido
398,398,2026-02-10,2026-02-16,Troca de componente,16.6,Resolvido
399,399,2026-02-05,2026-02-05,Limpeza técnica,3.6,Resolvido
400,400,2025-10-10,2025-10-15,Limpeza técnica,10.3,Resolvido
401,401,2026-06-08,2026-06-19,Limpeza técnica,23.8,Resolvido
404,404,2026-02-07,2026-02-19,Atualização de software,23.1,Resolvido
407,407,2026-03-12,2026-03-13,Reparo de placa,2.5,Resolvido
408,408,2025-09-14,2025-09-26,Troca de componente,25.8,Resolvido
409,409,2026-02-13,2026-02-17,Limpeza técnica,7.8,Resolvido
411,411,2025-09-07,2025-09-16,Troca de componente,18.1,Resolvido
412,412,2026-04-14,2026-04-22,Atualização de software,16.5,Resolvido
414,414,2026-01-14,2026-01-14,Limpeza técnica,2.9,Resolvido
417,417,2026-02-14,2026-02-15,Atualização de software,6.9,Resolvido
418,418,2025-09-23,2025-09-27,Limpeza técnica,5.9,Resolvido
419,419,2025-12-28,2026-01-01,Limpeza técnica,14.2,Resolvido
420,420,2025-07-31,2025-08-09,Atualização de software,24.7,Resolvido
421,421,2026-05-15,2026-05-23,Reparo de placa,13.1,Resolvido
422,422,2026-04-06,2026-04-12,Reparo de placa,15.4,Resolvido
423,423,2025-10-28,2025-11-01,Troca de componente,19.5,Resolvido
426,426,2025-09-20,2025-09-27,Atualização de software,25.5,Resolvido
427,427,2025-07-25,2025-08-05,Atualização de software,15.2,Resolvido
428,428,2026-04-21,2026-04-26,Limpeza técnica,8.4,Resolvido
430,430,2026-03-27,2026-03-29,Troca de componente,7.2,Resolvido
431,431,2026-01-10,2026-01-23,Limpeza técnica,20.9,Resolvido
432,432,2026-03-24,2026-03-30,Limpeza técnica,12.4,Resolvido
433,433,2026-02-17,2026-02-19,Reparo de placa,5.0,Retorno
434,434,2025-11-12,2025-11-17,Limpeza técnica,7.4,Resolvido
435,435,2025-11-01,2025-11-08,Atualização de software,26.6,Resolvido
436,436,2026-06-09,2026-06-21,Limpeza técnica,36.9,Resolvido
438,438,2026-01-30,2026-02-03,Limpeza técnica,13.7,Resolvido
440,440,2026-02-15,2026-02-17,Atualização de software,9.7,Resolvido
442,442,2026-03-12,2026-03-25,Reparo de placa,49.0,Resolvido
443,443,2025-07-11,2025-07-22,Limpeza técnica,38.7,Resolvido
444,444,2026-05-19,2026-05-26,Reparo de placa,9.2,Resolvido
445,445,2025-07-28,2025-08-05,Atualização de software,33.4,Resolvido
447,447,2026-01-01,2026-01-10,Limpeza técnica,16.5,Resolvido
448,448,2026-06-22,2026-07-01,Atualização de software,25.0,Resolvido
450,450,2026-05-11,2026-05-17,Limpeza técnica,10.4,Resolvido
451,451,2025-09-20,2025-10-01,Atualização de software,22.4,Resolvido
452,452,2025-08-06,2025-08-19,Troca de componente,28.4,Resolvido
453,453,2026-06-28,2026-07-04,Reparo de placa,19.1,Resolvido
454,454,2026-05-04,2026-05-07,Atualização de software,4.4,Resolvido
455,455,2025-09-28,2025-10-11,Troca de componente,26.3,Resolvido
456,456,2025-09-29,2025-10-07,Reparo de placa,28.3,Resolvido
457,457,2025-08-06,2025-08-17,Reparo de placa,35.2,Resolvido
458,458,2026-05-09,2026-05-15,Reparo de placa,22.6,Resolvido
459,459,2025-08-18,2025-08-20,Reparo de placa,5.4,Resolvido
461,461,2025-07-14,2025-07-16,Reparo de placa,7.6,Resolvido
464,464,2026-06-18,2026-06-29,Reparo de placa,31.7,Resolvido
466,466,2026-05-23,2026-06-01,Atualização de software,24.0,Resolvido
467,467,2026-02-17,2026-02-25,Atualização de software,35.9,Retorno
470,470,2025-11-16,2025-11-24,Limpeza técnica,18.3,Resolvido
471,471,2026-01-20,2026-02-02,Troca de componente,16.1,Resolvido
473,473,2025-09-24,2025-10-03,Limpeza técnica,28.1,Resolvido
474,474,2026-05-22,2026-06-02,Reparo de placa,38.0,Retorno
475,475,2025-08-26,2025-08-29,Limpeza técnica,6.4,Resolvido
476,476,2025-08-05,2025-08-05,Atualização de software,1.4,Resolvido
477,477,2026-01-28,2026-02-01,Limpeza técnica,10.9,Resolvido
478,478,2025-08-11,2025-08-11,Limpeza técnica,2.9,Resolvido
479,479,2026-04-06,2026-04-06,Atualização de software,2.8,Resolvido
480,480,2026-04-07,2026-04-15,Limpeza técnica,16.4,Resolvido
481,481,2026-04-14,2026-04-23,Troca de componente,10.3,Resolvido
482,482,2025-11-17,2025-11-30,Troca de componente,53.5,Resolvido
483,483,2026-03-05,2026-03-10,Troca de componente,7.6,Resolvido
484,484,2025-10-27,2025-11-06,Atualização de software,18.8,Retorno
485,485,2025-11-25,2025-11-29,Atualização de software,6.2,Resolvido
487,487,2026-03-16,2026-03-17,Troca de componente,7.8,Resolvido
488,488,2025-07-26,2025-07-30,Atualização de software,15.6,Resolvido
489,489,2026-04-04,2026-04-14,Reparo de placa,35.5,Resolvido
490,490,2026-04-18,2026-04-26,Atualização de software,33.0,Resolvido
491,491,2026-06-21,2026-07-01,Troca de componente,25.5,Resolvido
492,492,2025-11-13,2025-11-16,Reparo de placa,10.6,Resolvido
493,493,2025-09-24,2025-10-03,Troca de componente,29.4,Resolvido
494,494,2025-09-07,2025-09-16,Atualização de software,16.2,Resolvido
496,496,2025-11-05,2025-11-18,Troca de componente,42.0,Resolvido
498,498,2026-03-20,2026-03-21,Limpeza técnica,2.6,Resolvido
499,499,2025-10-30,2025-11-04,Limpeza técnica,6.3,Resolvido
502,502,2025-08-12,2025-08-20,Reparo de placa,14.7,Resolvido
