cliente_id,codigo_cliente,tipo_cliente,uf
259,CLI-00259,Empresa,MG
260,CLI-00260,Empresa,RJ
261,CLI-00261,Pessoa Física,SC
262,CLI-00262,Empresa,SC
263,CLI-00263,Pessoa Física,RJ
264,CLI-00264,Empresa,RJ
265,CLI-00265,Empresa,SC
266,CLI-00266,Pessoa Física,RJ
267,CLI-00267,Empresa,RJ
268,CLI-00268,Pessoa Física,SP
269,CLI-00269,Pessoa Física,MG
270,CLI-00270,Pessoa Física,SP
271,CLI-00271,Pessoa Física,RJ
272,CLI-00272,Empresa,SP
273,CLI-00273,Empresa,SC
274,CLI-00274,Empresa,SC
275,CLI-00275,Empresa,MG
276,CLI-00276,Pessoa Física,SC
277,CLI-00277,Pessoa Física,SC
278,CLI-00278,Empresa,SC
279,CLI-00279,Pessoa Física,MG
280,CLI-00280,Empresa,SP
281,CLI-00281,Empresa,RJ
282,CLI-00282,Pessoa Física,SP
283,CLI-00283,Empresa,MG
284,CLI-00284,Empresa,MG
285,CLI-00285,Empresa,MG
286,CLI-00286,Pessoa Física,SC
287,CLI-00287,Pessoa Física,PR
288,CLI-00288,Pessoa Física,MG
289,CLI-00289,Pessoa Física,SC
290,CLI-00290,Pessoa Física,SC
291,CLI-00291,Empresa,SC
292,CLI-00292,Pessoa Física,MG
293,CLI-00293,Pessoa Física,SC
294,CLI-00294,Pessoa Física,PR
295,CLI-00295,Pessoa Física,MG
296,CLI-00296,Pessoa Física,PR
297,CLI-00297,Empresa,MG
298,CLI-00298,Pessoa Física,RJ
299,CLI-00299,Empresa,MG
300,CLI-00300,Empresa,SP
301,CLI-00301,Pessoa Física,SC
302,CLI-00302,Empresa,SC
303,CLI-00303,Pessoa Física,MG
304,CLI-00304,Empresa,MG
305,CLI-00305,Empresa,SC
306,CLI-00306,Empresa,SC
307,CLI-00307,Pessoa Física,SP
308,CLI-00308,Pessoa Física,SC
309,CLI-00309,Pessoa Física,MG
310,CLI-00310,Pessoa Física,SP
311,CLI-00311,Pessoa Física,SC
312,CLI-00312,Empresa,SP
313,CLI-00313,Pessoa Física,MG
314,CLI-00314,Empresa,SC
315,CLI-00315,Pessoa Física,MG
316,CLI-00316,Pessoa Física,RJ
317,CLI-00317,Pessoa Física,MG
318,CLI-00318,Empresa,PR
319,CLI-00319,Empresa,SP
320,CLI-00320,Pessoa Física,MG
321,CLI-00321,Pessoa Física,SP
322,CLI-00322,Empresa,MG
323,CLI-00323,Pessoa Física,RJ
324,CLI-00324,Empresa,PR
325,CLI-00325,Empresa,SC
326,CLI-00326,Pessoa Física,RJ
327,CLI-00327,Empresa,PR
328,CLI-00328,Empresa,PR
329,CLI-00329,Empresa,SC
330,CLI-00330,Empresa,PR
331,CLI-00331,Empresa,SP
332,CLI-00332,Empresa,SP
333,CLI-00333,Empresa,PR
334,CLI-00334,Pessoa Física,SC
335,CLI-00335,Pessoa Física,PR
336,CLI-00336,Pessoa Física,SC
337,CLI-00337,Empresa,SP
338,CLI-00338,Pessoa Física,PR
339,CLI-00339,Empresa,SC
340,CLI-00340,Pessoa Física,SP
341,CLI-00341,Empresa,SC
342,CLI-00342,Empresa,PR
343,CLI-00343,Empresa,SC
344,CLI-00344,Empresa,PR
345,CLI-00345,Empresa,PR
346,CLI-00346,Pessoa Física,SP
347,CLI-00347,Pessoa Física,PR
348,CLI-00348,Empresa,SP
349,CLI-00349,Empresa,SC
350,CLI-00350,Pessoa Física,RJ
351,CLI-00351,Pessoa Física,RJ
352,CLI-00352,Empresa,SC
353,CLI-00353,Pessoa Física,SP
354,CLI-00354,Empresa,PR
355,CLI-00355,Pessoa Física,PR
356,CLI-00356,Empresa,PR
357,CLI-00357,Pessoa Física,SC
358,CLI-00358,Pessoa Física,PR
359,CLI-00359,Empresa,MG
360,CLI-00360,Pessoa Física,PR
361,CLI-00361,Empresa,MG
362,CLI-00362,Pessoa Física,SP
363,CLI-00363,Pessoa Física,SP
364,CLI-00364,Pessoa Física,SC
365,CLI-00365,Empresa,PR
366,CLI-00366,Pessoa Física,MG
367,CLI-00367,Pessoa Física,SP
368,CLI-00368,Pessoa Física,SP
369,CLI-00369,Empresa,RJ
370,CLI-00370,Empresa,PR
371,CLI-00371,Empresa,SP
372,CLI-00372,Pessoa Física,MG
373,CLI-00373,Empresa,SP
374,CLI-00374,Pessoa Física,MG
375,CLI-00375,Empresa,SC
376,CLI-00376,Empresa,PR
377,CLI-00377,Pessoa Física,RJ
378,CLI-00378,Pessoa Física,SP
379,CLI-00379,Empresa,PR
380,CLI-00380,Pessoa Física,RJ
381,CLI-00381,Empresa,SC
382,CLI-00382,Empresa,SC
383,CLI-00383,Empresa,MG
384,CLI-00384,Empresa,RJ
385,CLI-00385,Empresa,RJ
386,CLI-00386,Pessoa Física,RJ
387,CLI-00387,Pessoa Física,MG
388,CLI-00388,Pessoa Física,SC
389,CLI-00389,Empresa,MG
390,CLI-00390,Pessoa Física,MG
391,CLI-00391,Empresa,SC
392,CLI-00392,Empresa,SP
393,CLI-00393,Empresa,RJ
394,CLI-00394,Empresa,RJ
395,CLI-00395,Pessoa Física,RJ
396,CLI-00396,Empresa,RJ
397,CLI-00397,Pessoa Física,PR
398,CLI-00398,Empresa,MG
399,CLI-00399,Empresa,PR
400,CLI-00400,Empresa,PR
401,CLI-00401,Pessoa Física,PR
402,CLI-00402,Empresa,PR
403,CLI-00403,Pessoa Física,PR
404,CLI-00404,Pessoa Física,RJ
405,CLI-00405,Empresa,RJ
406,CLI-00406,Empresa,SP
407,CLI-00407,Empresa,SC
408,CLI-00408,Pessoa Física,MG
409,CLI-00409,Pessoa Física,RJ
410,CLI-00410,Pessoa Física,RJ
411,CLI-00411,Empresa,SC
412,CLI-00412,Empresa,RJ
413,CLI-00413,Empresa,SP
414,CLI-00414,Empresa,RJ
415,CLI-00415,Empresa,PR
416,CLI-00416,Empresa,PR
417,CLI-00417,Empresa,PR
418,CLI-00418,Empresa,PR
419,CLI-00419,Pessoa Física,SP
420,CLI-00420,Empresa,SP
421,CLI-00421,Pessoa Física,PR
422,CLI-00422,Pessoa Física,PR
423,CLI-00423,Empresa,PR
424,CLI-00424,Empresa,SC
425,CLI-00425,Pessoa Física,PR
426,CLI-00426,Pessoa Física,SP
427,CLI-00427,Empresa,SC
428,CLI-00428,Pessoa Física,PR
429,CLI-00429,Empresa,PR
430,CLI-00430,Pessoa Física,MG
431,CLI-00431,Pessoa Física,SC
432,CLI-00432,Empresa,RJ
433,CLI-00433,Empresa,RJ
434,CLI-00434,Pessoa Física,MG
435,CLI-00435,Empresa,SC
436,CLI-00436,Pessoa Física,RJ
437,CLI-00437,Pessoa Física,RJ
438,CLI-00438,Empresa,RJ
439,CLI-00439,Empresa,SC
440,CLI-00440,Empresa,MG
441,CLI-00441,Empresa,RJ
442,CLI-00442,Pessoa Física,SP
443,CLI-00443,Pessoa Física,MG
444,CLI-00444,Empresa,SP
445,CLI-00445,Empresa,MG
446,CLI-00446,Pessoa Física,PR
447,CLI-00447,Empresa,SC
448,CLI-00448,Pessoa Física,MG
449,CLI-00449,Empresa,SP
450,CLI-00450,Pessoa Física,SP
451,CLI-00451,Pessoa Física,RJ
452,CLI-00452,Pessoa Física,MG
453,CLI-00453,Empresa,SC
454,CLI-00454,Pessoa Física,RJ
455,CLI-00455,Pessoa Física,MG
456,CLI-00456,Empresa,MG
457,CLI-00457,Empresa,SP
458,CLI-00458,Pessoa Física,SC
459,CLI-00459,Empresa,MG
460,CLI-00460,Empresa,RJ
461,CLI-00461,Empresa,RJ
462,CLI-00462,Empresa,MG
463,CLI-00463,Pessoa Física,RJ
464,CLI-00464,Empresa,RJ
465,CLI-00465,Empresa,MG
466,CLI-00466,Pessoa Física,RJ
467,CLI-00467,Pessoa Física,PR
468,CLI-00468,Empresa,MG
469,CLI-00469,Empresa,RJ
470,CLI-00470,Pessoa Física,SC
471,CLI-00471,Pessoa Física,SC
472,CLI-00472,Pessoa Física,RJ
473,CLI-00473,Pessoa Física,MG
474,CLI-00474,Pessoa Física,MG
475,CLI-00475,Empresa,SC
476,CLI-00476,Pessoa Física,SC
477,CLI-00477,Empresa,MG
478,CLI-00478,Pessoa Física,SP
479,CLI-00479,Empresa,RJ
480,CLI-00480,Empresa,RJ
481,CLI-00481,Empresa,SC
482,CLI-00482,Pessoa Física,PR
483,CLI-00483,Pessoa Física,SP
484,CLI-00484,Empresa,SP
485,CLI-00485,Empresa,RJ
486,CLI-00486,Pessoa Física,MG
487,CLI-00487,Empresa,MG
488,CLI-00488,Empresa,PR
489,CLI-00489,Empresa,PR
490,CLI-00490,Pessoa Física,SC
491,CLI-00491,Empresa,MG
492,CLI-00492,Empresa,SP
493,CLI-00493,Pessoa Física,PR
494,CLI-00494,Pessoa Física,PR
495,CLI-00495,Pessoa Física,SP
496,CLI-00496,Empresa,RJ
497,CLI-00497,Pessoa Física,MG
498,CLI-00498,Empresa,SP
499,CLI-00499,Pessoa Física,SP
500,CLI-00500,Pessoa Física,SP
501,CLI-00501,Pessoa Física,SP
502,CLI-00502,Pessoa Física,SC
503,CLI-00503,Empresa,SC
504,CLI-00504,Pessoa Física,PR
505,CLI-00505,Pessoa Física,PR
506,CLI-00506,Pessoa Física,PR
507,CLI-00507,Pessoa Física,SC
508,CLI-00508,Empresa,SP
509,CLI-00509,Pessoa Física,PR
510,CLI-00510,Pessoa Física,PR
511,CLI-00511,Pessoa Física,PR
512,CLI-00512,Empresa,RJ
513,CLI-00513,Pessoa Física,PR
514,CLI-00514,Pessoa Física,PR
515,CLI-00515,Empresa,SP
516,CLI-00516,Empresa,MG
517,CLI-00517,Empresa,SC
518,CLI-00518,Pessoa Física,MG
519,CLI-00519,Pessoa Física,MG
520,CLI-00520,Pessoa Física,MG
521,CLI-00521,Empresa,SP
522,CLI-00522,Pessoa Física,SC
523,CLI-00523,Empresa,PR
524,CLI-00524,Empresa,PR
525,CLI-00525,Pessoa Física,PR
526,CLI-00526,Empresa,SC
527,CLI-00527,Pessoa Física,SP
528,CLI-00528,Pessoa Física,SP
529,CLI-00529,Pessoa Física,SP
530,CLI-00530,Pessoa Física,MG
531,CLI-00531,Pessoa Física,SP
532,CLI-00532,Empresa,PR
533,CLI-00533,Pessoa Física,RJ
534,CLI-00534,Pessoa Física,SC
535,CLI-00535,Pessoa Física,PR
536,CLI-00536,Pessoa Física,PR
537,CLI-00537,Empresa,PR
538,CLI-00538,Pessoa Física,SP
539,CLI-00539,Pessoa Física,SC
540,CLI-00540,Empresa,RJ
541,CLI-00541,Pessoa Física,SP
542,CLI-00542,Pessoa Física,MG
543,CLI-00543,Empresa,RJ
544,CLI-00544,Empresa,SP
545,CLI-00545,Pessoa Física,SP
546,CLI-00546,Empresa,SC
547,CLI-00547,Empresa,MG
548,CLI-00548,Pessoa Física,MG
549,CLI-00549,Empresa,MG
550,CLI-00550,Pessoa Física,SC
551,CLI-00551,Pessoa Física,SP
552,CLI-00552,Pessoa Física,MG
553,CLI-00553,Pessoa Física,PR
554,CLI-00554,Empresa,PR
555,CLI-00555,Empresa,PR
556,CLI-00556,Pessoa Física,RJ
557,CLI-00557,Pessoa Física,PR
558,CLI-00558,Empresa,SC
559,CLI-00559,Empresa,RJ
560,CLI-00560,Pessoa Física,MG
561,CLI-00561,Empresa,SC
562,CLI-00562,Empresa,SC
563,CLI-00563,Empresa,RJ
564,CLI-00564,Empresa,PR
565,CLI-00565,Empresa,SC
566,CLI-00566,Empresa,RJ
567,CLI-00567,Empresa,RJ
568,CLI-00568,Empresa,RJ
569,CLI-00569,Empresa,MG
570,CLI-00570,Pessoa Física,PR
571,CLI-00571,Empresa,RJ
572,CLI-00572,Pessoa Física,SP
573,CLI-00573,Pessoa Física,PR
574,CLI-00574,Empresa,SP
575,CLI-00575,Pessoa Física,SP
576,CLI-00576,Empresa,RJ
577,CLI-00577,Empresa,PR
578,CLI-00578,Pessoa Física,SP
579,CLI-00579,Empresa,SC
580,CLI-00580,Empresa,RJ
581,CLI-00581,Pessoa Física,SP
582,CLI-00582,Empresa,SC
583,CLI-00583,Empresa,PR
584,CLI-00584,Pessoa Física,SP
585,CLI-00585,Pessoa Física,SC
586,CLI-00586,Pessoa Física,RJ
587,CLI-00587,Empresa,SP
588,CLI-00588,Pessoa Física,PR
589,CLI-00589,Pessoa Física,PR
590,CLI-00590,Pessoa Física,SC
591,CLI-00591,Empresa,PR
592,CLI-00592,Empresa,RJ
593,CLI-00593,Empresa,SC
594,CLI-00594,Empresa,MG
595,CLI-00595,Empresa,PR
596,CLI-00596,Empresa,RJ
597,CLI-00597,Pessoa Física,SP
598,CLI-00598,Pessoa Física,RJ
599,CLI-00599,Pessoa Física,SP
600,CLI-00600,Pessoa Física,PR
601,CLI-00601,Empresa,RJ
602,CLI-00602,Pessoa Física,PR
603,CLI-00603,Pessoa Física,RJ
604,CLI-00604,Empresa,SP
605,CLI-00605,Empresa,PR
606,CLI-00606,Empresa,PR
607,CLI-00607,Empresa,RJ
608,CLI-00608,Pessoa Física,RJ
609,CLI-00609,Pessoa Física,SC
610,CLI-00610,Pessoa Física,RJ
611,CLI-00611,Pessoa Física,PR
612,CLI-00612,Empresa,SP
613,CLI-00613,Pessoa Física,RJ
614,CLI-00614,Pessoa Física,MG
615,CLI-00615,Pessoa Física,RJ
616,CLI-00616,Empresa,SC
617,CLI-00617,Pessoa Física,PR
618,CLI-00618,Pessoa Física,SP
619,CLI-00619,Pessoa Física,SC
620,CLI-00620,Pessoa Física,PR
621,CLI-00621,Empresa,PR
622,CLI-00622,Empresa,PR
623,CLI-00623,Pessoa Física,MG
624,CLI-00624,Pessoa Física,MG
625,CLI-00625,Empresa,PR
626,CLI-00626,Pessoa Física,MG
627,CLI-00627,Empresa,SC
628,CLI-00628,Empresa,SP
629,CLI-00629,Pessoa Física,RJ
630,CLI-00630,Pessoa Física,MG
631,CLI-00631,Empresa,SC
632,CLI-00632,Pessoa Física,SC
633,CLI-00633,Pessoa Física,RJ
634,CLI-00634,Empresa,MG
635,CLI-00635,Empresa,SC
636,CLI-00636,Pessoa Física,SC
637,CLI-00637,Pessoa Física,RJ
638,CLI-00638,Empresa,SC
639,CLI-00639,Empresa,RJ
640,CLI-00640,Empresa,MG
641,CLI-00641,Pessoa Física,SP
642,CLI-00642,Empresa,PR
643,CLI-00643,Pessoa Física,SC
644,CLI-00644,Empresa,MG
645,CLI-00645,Empresa,SP
646,CLI-00646,Pessoa Física,RJ
647,CLI-00647,Pessoa Física,RJ
648,CLI-00648,Empresa,RJ
649,CLI-00649,Pessoa Física,SP
650,CLI-00650,Pessoa Física,SC
651,CLI-00651,Pessoa Física,MG
652,CLI-00652,Empresa,RJ
653,CLI-00653,Empresa,RJ
654,CLI-00654,Empresa,SC
655,CLI-00655,Pessoa Física,PR
656,CLI-00656,Pessoa Física,SP
657,CLI-00657,Pessoa Física,SC
658,CLI-00658,Pessoa Física,PR
659,CLI-00659,Empresa,MG
660,CLI-00660,Pessoa Física,MG
661,CLI-00661,Empresa,PR
662,CLI-00662,Pessoa Física,PR
663,CLI-00663,Empresa,MG
664,CLI-00664,Pessoa Física,RJ
665,CLI-00665,Empresa,MG
666,CLI-00666,Empresa,SC
667,CLI-00667,Empresa,MG
668,CLI-00668,Pessoa Física,SC
669,CLI-00669,Pessoa Física,RJ
670,CLI-00670,Empresa,RJ
671,CLI-00671,Empresa,SP
672,CLI-00672,Pessoa Física,SC
673,CLI-00673,Empresa,SC
674,CLI-00674,Pessoa Física,MG
675,CLI-00675,Empresa,PR
676,CLI-00676,Pessoa Física,MG
677,CLI-00677,Pessoa Física,SP
678,CLI-00678,Pessoa Física,RJ
679,CLI-00679,Empresa,MG
680,CLI-00680,Pessoa Física,PR
681,CLI-00681,Pessoa Física,RJ
682,CLI-00682,Empresa,PR
683,CLI-00683,Empresa,RJ
684,CLI-00684,Empresa,SC
685,CLI-00685,Pessoa Física,MG
686,CLI-00686,Empresa,SP
687,CLI-00687,Pessoa Física,SC
688,CLI-00688,Pessoa Física,SP
689,CLI-00689,Pessoa Física,MG
690,CLI-00690,Empresa,MG
691,CLI-00691,Pessoa Física,SC
692,CLI-00692,Pessoa Física,RJ
693,CLI-00693,Empresa,SP
694,CLI-00694,Empresa,SC
695,CLI-00695,Empresa,SC
696,CLI-00696,Pessoa Física,SP
697,CLI-00697,Pessoa Física,MG
698,CLI-00698,Pessoa Física,RJ
699,CLI-00699,Pessoa Física,PR
700,CLI-00700,Pessoa Física,SC
701,CLI-00701,Pessoa Física,RJ
702,CLI-00702,Empresa,MG
703,CLI-00703,Empresa,RJ
704,CLI-00704,Pessoa Física,SP
705,CLI-00705,Pessoa Física,PR
706,CLI-00706,Pessoa Física,MG
707,CLI-00707,Pessoa Física,PR
708,CLI-00708,Pessoa Física,RJ
709,CLI-00709,Empresa,PR
710,CLI-00710,Empresa,MG
711,CLI-00711,Pessoa Física,SC
712,CLI-00712,Empresa,RJ
713,CLI-00713,Pessoa Física,PR
714,CLI-00714,Empresa,MG
715,CLI-00715,Pessoa Física,RJ
716,CLI-00716,Pessoa Física,PR
717,CLI-00717,Empresa,RJ
718,CLI-00718,Pessoa Física,SP
719,CLI-00719,Empresa,SP
720,CLI-00720,Pessoa Física,MG
721,CLI-00721,Pessoa Física,MG
722,CLI-00722,Pessoa Física,PR
723,CLI-00723,Empresa,SC
724,CLI-00724,Empresa,PR
725,CLI-00725,Pessoa Física,SP
726,CLI-00726,Empresa,RJ
727,CLI-00727,Pessoa Física,RJ
728,CLI-00728,Pessoa Física,SC
729,CLI-00729,Pessoa Física,SP
730,CLI-00730,Empresa,RJ
731,CLI-00731,Empresa,MG
732,CLI-00732,Empresa,MG
733,CLI-00733,Empresa,MG
734,CLI-00734,Empresa,PR
735,CLI-00735,Empresa,SC
736,CLI-00736,Pessoa Física,PR
737,CLI-00737,Pessoa Física,RJ
738,CLI-00738,Empresa,RJ
739,CLI-00739,Pessoa Física,PR
740,CLI-00740,Empresa,PR
741,CLI-00741,Empresa,SP
742,CLI-00742,Pessoa Física,RJ
743,CLI-00743,Empresa,SC
744,CLI-00744,Pessoa Física,SC
745,CLI-00745,Empresa,SP
