equipamento_id,cliente_id,tipo_id,marca_id,modelo,numero_serie_ficticio,ano_fabricacao
406,966,8,3,MOD-845,SER-0000406,2021
407,577,10,9,MOD-877,SER-0000407,2021
408,409,2,2,MOD-898,SER-0000408,2024
409,805,9,7,MOD-665,SER-0000409,2022
410,756,6,11,MOD-766,SER-0000410,2025
411,977,4,2,MOD-504,SER-0000411,2019
412,961,9,7,MOD-553,SER-0000412,2019
413,577,9,8,MOD-869,SER-0000413,2021
414,656,7,8,MOD-976,SER-0000414,2022
415,265,4,5,MOD-468,SER-0000415,2021
416,1059,6,7,MOD-821,SER-0000416,2019
417,778,10,12,MOD-317,SER-0000417,2023
418,981,9,3,MOD-225,SER-0000418,2022
419,54,10,9,MOD-252,SER-0000419,2025
420,740,2,2,MOD-554,SER-0000420,2026
421,347,9,6,MOD-208,SER-0000421,2026
422,106,5,7,MOD-231,SER-0000422,2025
423,433,5,1,MOD-928,SER-0000423,2025
424,1051,10,1,MOD-561,SER-0000424,2020
425,644,10,1,MOD-286,SER-0000425,2020
426,21,9,4,MOD-289,SER-0000426,2020
427,245,2,1,MOD-404,SER-0000427,2018
428,1095,6,1,MOD-709,SER-0000428,2020
429,754,7,8,MOD-487,SER-0000429,2024
430,1144,10,12,MOD-931,SER-0000430,2025
431,98,1,9,MOD-325,SER-0000431,2021
432,436,2,3,MOD-886,SER-0000432,2024
433,113,10,8,MOD-727,SER-0000433,2026
434,812,5,7,MOD-298,SER-0000434,2022
435,129,9,2,MOD-997,SER-0000435,2019
436,690,6,2,MOD-971,SER-0000436,2024
437,548,2,8,MOD-168,SER-0000437,2021
438,1046,3,8,MOD-209,SER-0000438,2024
439,686,5,10,MOD-570,SER-0000439,2021
440,791,5,2,MOD-976,SER-0000440,2024
441,554,7,10,MOD-323,SER-0000441,2026
442,934,1,8,MOD-729,SER-0000442,2025
443,406,10,1,MOD-266,SER-0000443,2023
444,197,1,5,MOD-272,SER-0000444,2020
445,820,7,5,MOD-893,SER-0000445,2018
446,1073,5,7,MOD-236,SER-0000446,2022
447,243,10,2,MOD-988,SER-0000447,2020
448,90,4,12,MOD-402,SER-0000448,2018
449,600,7,2,MOD-534,SER-0000449,2020
450,277,3,12,MOD-835,SER-0000450,2021
451,757,2,6,MOD-471,SER-0000451,2021
452,67,7,3,MOD-792,SER-0000452,2019
453,733,10,3,MOD-853,SER-0000453,2025
454,1048,5,9,MOD-561,SER-0000454,2025
455,509,4,10,MOD-727,SER-0000455,2019
456,460,10,5,MOD-470,SER-0000456,2021
457,1084,10,6,MOD-655,SER-0000457,2018
458,588,6,1,MOD-479,SER-0000458,2023
459,532,4,1,MOD-922,SER-0000459,2023
460,289,4,8,MOD-149,SER-0000460,2020
461,248,9,3,MOD-169,SER-0000461,2019
462,663,10,10,MOD-133,SER-0000462,2024
463,80,1,7,MOD-447,SER-0000463,2020
464,46,9,6,MOD-415,SER-0000464,2026
465,167,6,3,MOD-414,SER-0000465,2021
466,853,3,4,MOD-587,SER-0000466,2024
467,1127,1,6,MOD-290,SER-0000467,2020
468,1043,9,10,MOD-491,SER-0000468,2024
469,299,9,2,MOD-572,SER-0000469,2022
470,760,2,3,MOD-500,SER-0000470,2025
471,895,4,11,MOD-178,SER-0000471,2026
472,136,6,12,MOD-681,SER-0000472,2023
473,971,4,9,MOD-907,SER-0000473,2018
474,497,1,9,MOD-739,SER-0000474,2021
475,1031,10,10,MOD-558,SER-0000475,2018
476,88,1,1,MOD-984,SER-0000476,2024
477,54,10,5,MOD-318,SER-0000477,2025
478,280,8,6,MOD-557,SER-0000478,2021
479,744,8,8,MOD-844,SER-0000479,2022
480,557,9,5,MOD-604,SER-0000480,2022
481,932,9,10,MOD-180,SER-0000481,2022
482,255,10,1,MOD-622,SER-0000482,2023
483,994,8,5,MOD-684,SER-0000483,2022
484,344,10,1,MOD-795,SER-0000484,2018
485,565,2,3,MOD-822,SER-0000485,2022
486,973,5,2,MOD-953,SER-0000486,2026
487,512,5,1,MOD-664,SER-0000487,2022
488,440,1,3,MOD-614,SER-0000488,2023
489,430,5,11,MOD-915,SER-0000489,2022
490,253,3,1,MOD-328,SER-0000490,2019
491,1003,1,7,MOD-679,SER-0000491,2020
492,326,1,9,MOD-833,SER-0000492,2025
493,450,5,3,MOD-304,SER-0000493,2021
494,1084,6,2,MOD-253,SER-0000494,2026
495,339,9,9,MOD-463,SER-0000495,2024
496,414,3,4,MOD-821,SER-0000496,2022
497,555,8,10,MOD-642,SER-0000497,2023
498,368,3,8,MOD-751,SER-0000498,2024
499,947,4,8,MOD-728,SER-0000499,2018
500,575,8,4,MOD-217,SER-0000500,2022
501,446,4,11,MOD-809,SER-0000501,2022
502,754,9,4,MOD-311,SER-0000502,2026
503,1031,4,8,MOD-716,SER-0000503,2020
504,919,2,10,MOD-950,SER-0000504,2025
505,145,2,4,MOD-722,SER-0000505,2021
506,1096,3,9,MOD-694,SER-0000506,2019
507,282,3,6,MOD-625,SER-0000507,2023
508,1192,3,5,MOD-864,SER-0000508,2020
509,484,6,7,MOD-312,SER-0000509,2019
510,607,10,2,MOD-678,SER-0000510,2019
511,152,10,7,MOD-428,SER-0000511,2021
512,721,2,6,MOD-846,SER-0000512,2026
513,1062,6,4,MOD-707,SER-0000513,2026
514,255,5,3,MOD-196,SER-0000514,2021
515,604,2,7,MOD-804,SER-0000515,2022
516,407,3,1,MOD-573,SER-0000516,2024
517,305,8,11,MOD-705,SER-0000517,2025
518,31,8,6,MOD-952,SER-0000518,2018
519,125,3,3,MOD-294,SER-0000519,2020
520,223,9,1,MOD-819,SER-0000520,2025
521,647,1,6,MOD-619,SER-0000521,2022
522,166,5,1,MOD-632,SER-0000522,2022
523,67,5,1,MOD-729,SER-0000523,2021
524,47,4,5,MOD-853,SER-0000524,2019
525,243,9,9,MOD-945,SER-0000525,2021
526,504,7,8,MOD-810,SER-0000526,2018
527,1170,9,12,MOD-105,SER-0000527,2021
528,825,6,2,MOD-733,SER-0000528,2021
529,1082,2,7,MOD-833,SER-0000529,2023
530,942,5,6,MOD-890,SER-0000530,2023
531,153,1,7,MOD-281,SER-0000531,2024
532,1036,9,9,MOD-743,SER-0000532,2022
533,978,6,6,MOD-671,SER-0000533,2021
534,925,1,12,MOD-195,SER-0000534,2023
535,344,1,4,MOD-856,SER-0000535,2018
536,761,9,3,MOD-892,SER-0000536,2024
537,763,1,3,MOD-658,SER-0000537,2020
538,142,7,6,MOD-676,SER-0000538,2020
539,292,3,2,MOD-592,SER-0000539,2023
540,338,6,7,MOD-732,SER-0000540,2018
541,484,6,2,MOD-479,SER-0000541,2025
542,849,9,5,MOD-951,SER-0000542,2023
543,683,10,8,MOD-461,SER-0000543,2024
544,441,10,5,MOD-656,SER-0000544,2026
545,679,1,9,MOD-208,SER-0000545,2023
546,534,8,4,MOD-662,SER-0000546,2024
547,351,3,1,MOD-826,SER-0000547,2020
548,790,5,10,MOD-531,SER-0000548,2023
549,910,3,11,MOD-233,SER-0000549,2023
550,95,10,2,MOD-546,SER-0000550,2020
551,1139,10,2,MOD-516,SER-0000551,2019
552,271,10,7,MOD-350,SER-0000552,2021
553,79,2,5,MOD-360,SER-0000553,2020
554,821,6,8,MOD-628,SER-0000554,2018
555,684,1,8,MOD-589,SER-0000555,2022
556,680,5,11,MOD-313,SER-0000556,2026
557,1017,9,5,MOD-965,SER-0000557,2018
558,184,7,10,MOD-786,SER-0000558,2024
559,729,2,4,MOD-597,SER-0000559,2021
560,1074,6,11,MOD-210,SER-0000560,2022
561,922,2,5,MOD-412,SER-0000561,2020
562,808,8,11,MOD-704,SER-0000562,2021
563,376,6,6,MOD-736,SER-0000563,2023
564,389,9,8,MOD-429,SER-0000564,2023
565,122,1,11,MOD-240,SER-0000565,2023
566,148,3,6,MOD-830,SER-0000566,2024
567,766,7,3,MOD-964,SER-0000567,2026
568,4,4,2,MOD-479,SER-0000568,2020
569,589,8,2,MOD-347,SER-0000569,2023
570,1133,3,7,MOD-885,SER-0000570,2026
571,90,10,10,MOD-326,SER-0000571,2019
572,398,7,9,MOD-880,SER-0000572,2024
573,73,10,3,MOD-819,SER-0000573,2019
574,200,7,6,MOD-615,SER-0000574,2020
575,2,4,5,MOD-285,SER-0000575,2018
