pagamento_id,matricula_id,competencia,valor,data_vencimento,data_pagamento,status
37,4,2025-07,99,2025-07-01,2025-06-30,Pago
38,4,2025-08,199,2025-08-01,2025-08-14,Pago
39,4,2025-09,199,2025-09-01,2025-09-12,Pago
40,4,2025-10,1199,2025-10-01,2025-10-07,Pago
41,4,2025-11,35,2025-11-02,2025-11-17,Pago
42,4,2025-12,399,2025-12-01,2025-12-02,Pago
43,4,2026-01,109,2026-01-02,2026-01-04,Pago
44,4,2026-01,399,2026-01-28,2026-02-01,Pago
45,4,2026-02,1199,2026-02-28,2026-03-03,Pago
46,4,2026-03,399,2026-03-31,2026-03-31,Pago
47,4,2026-05,99,2026-05-02,2026-05-08,Pago
48,4,2026-05,109,2026-05-29,2026-06-09,Pago
49,5,2025-07,399,2025-07-03,2025-07-02,Pago
50,5,2025-08,1199,2025-08-01,2025-08-07,Pago
51,5,2025-09,99,2025-09-04,,Vencido
52,5,2025-10,149,2025-10-02,2025-10-10,Pago
53,5,2025-11,109,2025-11-01,2025-11-13,Pago
54,5,2025-12,99,2025-12-03,2025-12-20,Pago
55,5,2025-12,109,2025-12-30,2026-01-14,Pago
56,5,2026-01,399,2026-01-28,2026-01-30,Pago
57,5,2026-02,149,2026-02-27,2026-02-27,Pago
58,5,2026-04,149,2026-04-02,,Vencido
59,5,2026-05,399,2026-05-01,2026-05-06,Pago
60,5,2026-05,35,2026-05-27,2026-06-09,Pago
61,6,2025-07,109,2025-07-05,2025-07-15,Pago
62,6,2025-07,699,2025-07-31,2025-08-09,Pago
63,6,2025-08,109,2025-08-31,2025-09-11,Pago
64,6,2025-09,199,2025-09-29,2025-10-11,Pago
65,6,2025-10,99,2025-10-31,2025-11-01,Pago
66,6,2025-11,699,2025-11-28,2025-12-15,Pago
67,6,2025-12,399,2025-12-28,2026-01-13,Pago
68,6,2026-01,35,2026-01-31,2026-02-04,Pago
69,6,2026-02,149,2026-02-26,2026-02-23,Pago
70,6,2026-03,399,2026-03-30,2026-04-10,Pago
71,6,2026-04,199,2026-04-30,2026-05-07,Pago
72,6,2026-05,109,2026-05-27,2026-06-13,Pago
73,7,2025-07,199,2025-07-06,2025-07-13,Pago
74,7,2025-08,35,2025-08-05,2025-08-18,Pago
75,7,2025-09,109,2025-09-01,2025-09-08,Pago
76,7,2025-10,35,2025-10-03,2025-09-30,Pago
77,7,2025-11,109,2025-11-03,2025-11-09,Pago
78,7,2025-11,109,2025-11-29,2025-12-08,Pago
79,7,2025-12,35,2025-12-28,,Vencido
80,7,2026-01,99,2026-01-29,2026-02-15,Pago
81,7,2026-02,199,2026-02-27,,Vencido
82,7,2026-04,149,2026-04-01,2026-04-05,Pago
83,7,2026-04,99,2026-04-28,,Vencido
84,7,2026-05,399,2026-05-27,2026-05-24,Pago
85,8,2025-07,99,2025-07-05,2025-07-16,Pago
86,8,2025-08,109,2025-08-03,2025-08-02,Pago
87,8,2025-09,699,2025-09-01,,Vencido
88,8,2025-09,1199,2025-09-29,2025-10-12,Pago
89,8,2025-10,199,2025-10-31,2025-11-12,Pago
90,8,2025-11,109,2025-11-30,2025-11-30,Pago
91,8,2025-12,35,2025-12-31,2026-01-05,Pago
92,8,2026-01,699,2026-01-29,2026-01-26,Pago
93,8,2026-03,149,2026-03-02,,Vencido
94,8,2026-03,149,2026-03-30,,Vencido
95,8,2026-04,399,2026-04-29,2026-04-27,Pago
96,8,2026-05,699,2026-05-30,2026-06-17,Pago
97,9,2025-07,109,2025-07-05,2025-07-23,Pago
98,9,2025-08,699,2025-08-03,2025-08-18,Pago
99,9,2025-08,399,2025-08-31,2025-09-02,Pago
100,9,2025-10,99,2025-10-01,2025-10-16,Pago
101,9,2025-10,1199,2025-10-31,2025-10-29,Pago
102,9,2025-12,99,2025-12-03,2025-12-04,Pago
103,9,2025-12,199,2025-12-30,2026-01-02,Pago
104,9,2026-01,1199,2026-01-30,2026-01-29,Pago
105,9,2026-03,399,2026-03-01,2026-03-11,Pago
106,9,2026-03,399,2026-03-28,2026-04-03,Pago
107,9,2026-05,699,2026-05-01,2026-05-18,Pago
108,9,2026-05,399,2026-05-30,,Vencido
109,10,2025-07,149,2025-07-02,2025-07-13,Pago
110,10,2025-07,109,2025-07-31,2025-08-08,Pago
111,10,2025-08,149,2025-08-31,2025-09-02,Pago
112,10,2025-09,699,2025-09-30,2025-10-07,Pago
113,10,2025-11,99,2025-11-02,2025-11-09,Pago
114,10,2025-12,199,2025-12-01,,Vencido
115,10,2025-12,99,2025-12-31,2026-01-13,Pago
116,10,2026-01,399,2026-01-31,2026-02-06,Pago
117,10,2026-02,199,2026-02-27,,Vencido
118,10,2026-03,399,2026-03-31,2026-03-31,Pago
119,10,2026-05,199,2026-05-01,2026-05-08,Pago
120,10,2026-06,1199,2026-06-01,,Vencido
121,11,2025-07,99,2025-07-06,2025-07-08,Pago
122,11,2025-08,35,2025-08-04,2025-08-18,Pago
123,11,2025-09,35,2025-09-04,2025-09-13,Pago
124,11,2025-10,35,2025-10-04,2025-10-08,Pago
125,11,2025-11,149,2025-11-03,2025-11-20,Pago
126,11,2025-12,35,2025-12-02,,Vencido
127,11,2026-01,99,2026-01-01,2026-01-18,Pago
128,11,2026-01,109,2026-01-28,2026-02-06,Pago
129,11,2026-03,109,2026-03-03,2026-03-21,Pago
130,11,2026-03,149,2026-03-28,2026-03-27,Pago
131,11,2026-05,109,2026-05-01,2026-05-08,Pago
132,11,2026-05,399,2026-05-28,2026-06-05,Pago
133,12,2025-07,35,2025-07-03,2025-07-02,Pago
134,12,2025-08,1199,2025-08-01,2025-08-03,Pago
135,12,2025-09,99,2025-09-02,2025-09-05,Pago
136,12,2025-10,1199,2025-10-01,2025-10-03,Pago
137,12,2025-11,199,2025-11-01,2025-10-30,Pago
138,12,2025-11,109,2025-11-28,2025-12-14,Pago
139,12,2026-01,699,2026-01-01,2025-12-29,Pago
140,12,2026-01,199,2026-01-29,2026-01-30,Pago
141,12,2026-02,109,2026-02-26,2026-03-08,Pago
142,12,2026-03,149,2026-03-29,,Vencido
143,12,2026-04,99,2026-04-28,2026-04-30,Pago
144,12,2026-05,1199,2026-05-31,2026-06-11,Pago
145,13,2025-07,109,2025-07-06,2025-07-13,Pago
146,13,2025-08,149,2025-08-04,2025-08-14,Pago
147,13,2025-09,699,2025-09-03,2025-09-02,Pago
148,13,2025-10,109,2025-10-02,2025-10-03,Pago
149,13,2025-10,399,2025-10-30,2025-11-11,Pago
150,13,2025-11,109,2025-11-29,2025-11-26,Pago
151,13,2025-12,1199,2025-12-29,,Vencido
152,13,2026-01,35,2026-01-29,2026-01-30,Pago
153,13,2026-03,199,2026-03-02,2026-03-06,Pago
154,13,2026-03,109,2026-03-28,2026-04-01,Pago
155,13,2026-04,1199,2026-04-29,2026-05-06,Pago
156,13,2026-05,99,2026-05-28,2026-05-30,Pago
157,14,2025-07,109,2025-07-03,2025-07-09,Pago
158,14,2025-08,1199,2025-08-02,2025-08-14,Pago
159,14,2025-09,1199,2025-09-02,2025-09-10,Pago
160,14,2025-09,35,2025-09-30,2025-10-02,Pago
161,14,2025-10,199,2025-10-29,2025-11-13,Pago
162,14,2025-12,699,2025-12-03,2025-12-21,Pago
163,14,2025-12,35,2025-12-28,2026-01-06,Pago
164,14,2026-01,99,2026-01-31,2026-02-05,Pago
165,14,2026-03,699,2026-03-03,2026-03-07,Pago
166,14,2026-03,1199,2026-03-30,,Vencido
167,14,2026-05,99,2026-05-02,2026-05-02,Pago
168,14,2026-05,99,2026-05-29,2026-06-07,Pago
169,15,2025-07,399,2025-07-04,2025-07-01,Pago
170,15,2025-08,199,2025-08-03,2025-08-10,Pago
171,15,2025-08,699,2025-08-30,2025-08-31,Pago
172,15,2025-10,199,2025-10-02,2025-10-03,Pago
173,15,2025-11,399,2025-11-01,2025-11-03,Pago
174,15,2025-11,1199,2025-11-28,2025-12-02,Pago
175,15,2026-01,35,2026-01-02,2026-01-18,Pago
176,15,2026-01,149,2026-01-29,2026-02-09,Pago
177,15,2026-03,99,2026-03-01,2026-02-28,Pago
178,15,2026-03,399,2026-03-31,2026-04-11,Pago
179,15,2026-04,199,2026-04-27,2026-05-05,Pago
180,15,2026-05,699,2026-05-28,2026-06-15,Pago
181,16,2025-07,99,2025-07-04,2025-07-06,Pago
182,16,2025-07,699,2025-07-31,,Vencido
183,16,2025-08,1199,2025-08-30,2025-08-30,Pago
184,16,2025-10,35,2025-10-02,2025-10-05,Pago
185,16,2025-11,149,2025-11-01,2025-11-12,Pago
186,16,2025-11,399,2025-11-28,2025-11-28,Pago
187,16,2025-12,199,2025-12-30,2026-01-12,Pago
188,16,2026-01,199,2026-01-30,2026-02-06,Pago
189,16,2026-03,1199,2026-03-01,2026-03-07,Pago
190,16,2026-04,109,2026-04-01,2026-03-31,Pago
191,16,2026-05,199,2026-05-01,2026-05-04,Pago
192,16,2026-05,699,2026-05-28,2026-06-15,Pago
193,17,2025-07,149,2025-07-01,2025-07-17,Pago
194,17,2025-08,35,2025-08-02,2025-08-11,Pago
195,17,2025-09,199,2025-09-04,2025-09-20,Pago
196,17,2025-10,35,2025-10-03,2025-09-30,Pago
197,17,2025-10,1199,2025-10-31,2025-11-01,Pago
198,17,2025-11,399,2025-11-29,,Vencido
199,17,2025-12,35,2025-12-28,2026-01-11,Pago
200,17,2026-01,399,2026-01-29,2026-02-11,Pago
201,17,2026-02,109,2026-02-27,2026-03-16,Pago
202,17,2026-04,399,2026-04-01,2026-04-14,Pago
203,17,2026-04,399,2026-04-27,2026-05-11,Pago
204,17,2026-05,35,2026-05-28,,Vencido
205,18,2025-07,199,2025-07-02,2025-07-12,Pago
206,18,2025-08,109,2025-08-03,2025-08-06,Pago
207,18,2025-09,699,2025-09-01,,Vencido
208,18,2025-10,199,2025-10-04,2025-10-12,Pago
209,18,2025-10,149,2025-10-29,2025-10-28,Pago
210,18,2025-12,149,2025-12-02,2025-12-03,Pago
211,18,2025-12,149,2025-12-30,2025-12-31,Pago
212,18,2026-01,699,2026-01-31,2026-02-06,Pago
213,18,2026-02,109,2026-02-26,2026-03-06,Pago
214,18,2026-03,399,2026-03-28,2026-04-14,Pago
215,18,2026-04,1199,2026-04-27,2026-05-05,Pago
216,18,2026-06,199,2026-06-01,2026-05-29,Pago
217,19,2025-07,699,2025-07-03,2025-07-07,Pago
218,19,2025-07,399,2025-07-31,2025-08-09,Pago
219,19,2025-09,109,2025-09-04,2025-09-05,Pago
220,19,2025-09,99,2025-09-30,,Vencido
221,19,2025-10,109,2025-10-31,2025-11-17,Pago
222,19,2025-12,399,2025-12-02,,Vencido
223,19,2026-01,399,2026-01-02,2026-01-04,Pago
224,19,2026-01,699,2026-01-29,2026-02-10,Pago
225,19,2026-02,399,2026-02-26,2026-03-02,Pago
226,19,2026-04,149,2026-04-01,,Vencido
227,19,2026-05,399,2026-05-01,2026-05-17,Pago
228,19,2026-06,99,2026-06-01,2026-06-05,Pago
229,20,2025-07,399,2025-07-03,,Vencido
230,20,2025-07,35,2025-07-31,2025-08-10,Pago
231,20,2025-09,35,2025-09-01,2025-09-05,Pago
232,20,2025-10,149,2025-10-03,2025-10-17,Pago
233,20,2025-11,149,2025-11-03,2025-11-17,Pago
234,20,2025-12,99,2025-12-02,2025-12-19,Pago
235,20,2025-12,149,2025-12-28,2025-12-30,Pago
236,20,2026-01,99,2026-01-31,2026-02-01,Pago
237,20,2026-02,99,2026-02-26,,Vencido
238,20,2026-04,109,2026-04-01,2026-04-02,Pago
239,20,2026-04,99,2026-04-27,2026-05-09,Pago
240,20,2026-06,149,2026-06-01,,Vencido
241,21,2025-07,199,2025-07-06,2025-07-07,Pago
242,21,2025-08,99,2025-08-03,2025-08-09,Pago
243,21,2025-08,149,2025-08-30,2025-09-10,Pago
244,21,2025-10,35,2025-10-03,2025-10-15,Pago
245,21,2025-10,109,2025-10-31,2025-11-16,Pago
246,21,2025-12,1199,2025-12-03,2025-12-02,Pago
247,21,2025-12,699,2025-12-30,2026-01-06,Pago
248,21,2026-01,199,2026-01-31,2026-02-03,Pago
249,21,2026-03,109,2026-03-01,2026-03-13,Pago
250,21,2026-03,109,2026-03-31,2026-04-18,Pago
251,21,2026-04,699,2026-04-30,2026-05-13,Pago
252,21,2026-05,35,2026-05-29,2026-06-08,Pago
253,22,2025-07,149,2025-07-01,2025-07-07,Pago
254,22,2025-08,1199,2025-08-04,2025-08-09,Pago
255,22,2025-09,699,2025-09-02,2025-09-17,Pago
256,22,2025-09,99,2025-09-29,2025-09-27,Pago
257,22,2025-10,199,2025-10-29,2025-10-29,Pago
258,22,2025-11,699,2025-11-29,2025-12-10,Pago
259,22,2026-01,99,2026-01-01,2026-01-09,Pago
260,22,2026-01,199,2026-01-30,2026-02-04,Pago
261,22,2026-03,109,2026-03-02,2026-03-20,Pago
262,22,2026-03,1199,2026-03-28,2026-04-07,Pago
263,22,2026-04,149,2026-04-27,2026-05-11,Pago
264,22,2026-05,99,2026-05-27,2026-06-10,Pago
265,23,2025-07,399,2025-07-03,2025-07-02,Pago
266,23,2025-08,699,2025-08-04,2025-08-16,Pago
267,23,2025-09,99,2025-09-04,2025-09-14,Pago
268,23,2025-09,199,2025-09-30,2025-09-29,Pago
269,23,2025-10,199,2025-10-30,2025-11-03,Pago
270,23,2025-12,109,2025-12-02,2025-12-03,Pago
271,23,2025-12,399,2025-12-30,2026-01-14,Pago
272,23,2026-01,149,2026-01-29,2026-01-31,Pago
273,23,2026-02,99,2026-02-28,2026-03-12,Pago
274,23,2026-03,149,2026-03-28,2026-04-02,Pago
275,23,2026-05,399,2026-05-01,2026-05-04,Pago
276,23,2026-06,99,2026-06-01,2026-06-12,Pago
277,24,2025-07,1199,2025-07-02,2025-06-30,Pago
278,24,2025-08,399,2025-08-03,2025-08-01,Pago
279,24,2025-09,1199,2025-09-03,2025-09-19,Pago
280,24,2025-10,99,2025-10-01,2025-10-05,Pago
281,24,2025-10,399,2025-10-29,2025-11-13,Pago
282,24,2025-12,699,2025-12-02,2025-12-12,Pago
283,24,2025-12,699,2025-12-28,2025-12-29,Pago
284,24,2026-01,1199,2026-01-27,2026-02-02,Pago
285,24,2026-03,1199,2026-03-02,2026-03-17,Pago
286,24,2026-03,109,2026-03-31,2026-03-30,Pago
287,24,2026-04,149,2026-04-29,2026-05-10,Pago
288,24,2026-05,149,2026-05-27,2026-05-31,Pago
289,25,2025-07,1199,2025-07-02,2025-07-02,Pago
290,25,2025-08,99,2025-08-04,2025-08-21,Pago
291,25,2025-09,1199,2025-09-04,2025-09-06,Pago
292,25,2025-09,35,2025-09-30,2025-10-08,Pago
293,25,2025-10,399,2025-10-29,2025-11-10,Pago
294,25,2025-11,1199,2025-11-29,2025-11-30,Pago
295,25,2025-12,699,2025-12-29,2026-01-03,Pago
296,25,2026-01,149,2026-01-28,2026-02-09,Pago
297,25,2026-02,1199,2026-02-27,2026-02-26,Pago
298,25,2026-03,399,2026-03-28,2026-03-30,Pago
299,25,2026-04,99,2026-04-29,2026-05-04,Pago
300,25,2026-05,109,2026-05-28,2026-06-12,Pago
301,26,2025-07,35,2025-07-06,2025-07-17,Pago
302,26,2025-08,35,2025-08-03,2025-07-31,Pago
303,26,2025-08,699,2025-08-30,,Vencido
304,26,2025-10,109,2025-10-03,2025-10-01,Pago
305,26,2025-10,109,2025-10-30,2025-11-15,Pago
306,26,2025-12,35,2025-12-03,2025-12-06,Pago
307,26,2025-12,699,2025-12-30,2026-01-05,Pago
308,26,2026-01,109,2026-01-30,2026-02-11,Pago
309,26,2026-03,699,2026-03-03,2026-03-15,Pago
310,26,2026-03,699,2026-03-30,2026-04-11,Pago
311,26,2026-04,1199,2026-04-29,2026-05-10,Pago
312,26,2026-05,35,2026-05-31,2026-05-31,Pago
313,27,2025-07,399,2025-07-06,2025-07-09,Pago
314,27,2025-08,149,2025-08-05,2025-08-10,Pago
315,27,2025-08,699,2025-08-31,2025-09-14,Pago
316,27,2025-09,1199,2025-09-30,2025-09-30,Pago
317,27,2025-10,199,2025-10-30,2025-11-06,Pago
318,27,2025-12,149,2025-12-03,2025-12-03,Pago
319,27,2026-01,699,2026-01-02,2025-12-30,Pago
320,27,2026-01,699,2026-01-31,2026-01-31,Pago
321,27,2026-03,99,2026-03-02,2026-03-12,Pago
322,27,2026-04,149,2026-04-01,2026-04-01,Pago
323,27,2026-04,399,2026-04-27,2026-05-08,Pago
324,27,2026-05,99,2026-05-29,2026-06-03,Pago
325,28,2025-07,699,2025-07-03,2025-07-07,Pago
326,28,2025-08,35,2025-08-03,2025-08-16,Pago
327,28,2025-09,109,2025-09-03,2025-09-01,Pago
328,28,2025-10,109,2025-10-02,2025-10-13,Pago
329,28,2025-11,199,2025-11-01,2025-10-31,Pago
330,28,2025-12,1199,2025-12-02,2025-12-06,Pago
331,28,2026-01,99,2026-01-01,2026-01-04,Pago
332,28,2026-02,399,2026-02-01,2026-02-15,Pago
333,28,2026-02,699,2026-02-26,2026-03-11,Pago
334,28,2026-03,109,2026-03-30,,Vencido
335,28,2026-04,149,2026-04-28,2026-05-03,Pago
336,28,2026-05,699,2026-05-29,2026-06-16,Pago
337,29,2025-07,35,2025-07-02,2025-07-05,Pago
338,29,2025-07,149,2025-07-31,2025-08-13,Pago
339,29,2025-09,199,2025-09-02,2025-09-11,Pago
340,29,2025-10,199,2025-10-03,2025-10-13,Pago
341,29,2025-11,1199,2025-11-03,2025-11-14,Pago
342,29,2025-12,199,2025-12-03,2025-12-10,Pago
343,29,2025-12,199,2025-12-30,2026-01-08,Pago
344,29,2026-01,699,2026-01-29,2026-01-28,Pago
345,29,2026-03,149,2026-03-03,2026-03-07,Pago
346,29,2026-03,699,2026-03-31,2026-04-14,Pago
347,29,2026-04,399,2026-04-28,,Vencido
348,29,2026-05,399,2026-05-30,2026-06-11,Pago
349,30,2025-07,109,2025-07-03,2025-07-04,Pago
350,30,2025-08,399,2025-08-02,2025-08-07,Pago
351,30,2025-09,149,2025-09-03,2025-09-16,Pago
352,30,2025-10,109,2025-10-02,2025-10-02,Pago
353,30,2025-10,399,2025-10-31,2025-11-13,Pago
354,30,2025-11,99,2025-11-30,2025-12-05,Pago
355,30,2025-12,149,2025-12-29,2026-01-15,Pago
356,30,2026-01,99,2026-01-29,2026-02-09,Pago
357,30,2026-03,399,2026-03-01,2026-03-09,Pago
358,30,2026-04,35,2026-04-02,2026-04-09,Pago
359,30,2026-05,149,2026-05-02,2026-05-07,Pago
360,30,2026-05,109,2026-05-27,2026-05-29,Pago
361,31,2025-07,1199,2025-07-05,2025-07-22,Pago
362,31,2025-08,149,2025-08-02,2025-08-13,Pago
363,31,2025-08,35,2025-08-31,2025-08-28,Pago
364,31,2025-10,99,2025-10-01,2025-10-15,Pago
365,31,2025-10,1199,2025-10-31,2025-11-04,Pago
366,31,2025-11,35,2025-11-30,2025-12-02,Pago
367,31,2025-12,399,2025-12-29,2026-01-04,Pago
368,31,2026-01,699,2026-01-27,2026-02-02,Pago
369,31,2026-03,199,2026-03-03,,Vencido
370,31,2026-04,99,2026-04-01,2026-04-05,Pago
371,31,2026-04,99,2026-04-27,2026-04-25,Pago
372,31,2026-06,99,2026-06-01,2026-06-17,Pago
373,32,2025-07,1199,2025-07-05,2025-07-23,Pago
374,32,2025-08,109,2025-08-05,2025-08-06,Pago
375,32,2025-09,109,2025-09-01,2025-09-09,Pago
376,32,2025-10,149,2025-10-03,2025-10-15,Pago
377,32,2025-10,149,2025-10-29,2025-11-02,Pago
378,32,2025-11,1199,2025-11-28,2025-11-26,Pago
379,32,2026-01,699,2026-01-02,,Vencido
380,32,2026-01,149,2026-01-27,2026-01-30,Pago
381,32,2026-03,1199,2026-03-02,2026-03-15,Pago
382,32,2026-03,35,2026-03-28,2026-04-08,Pago
383,32,2026-04,1199,2026-04-30,2026-05-05,Pago
384,32,2026-05,99,2026-05-28,2026-06-10,Pago
385,33,2025-07,699,2025-07-06,2025-07-13,Pago
386,33,2025-08,199,2025-08-05,2025-08-13,Pago
387,33,2025-09,199,2025-09-02,2025-09-07,Pago
388,33,2025-09,1199,2025-09-30,2025-09-27,Pago
389,33,2025-10,109,2025-10-30,2025-11-11,Pago
390,33,2025-12,149,2025-12-02,,Vencido
391,33,2026-01,199,2026-01-02,2026-01-11,Pago
392,33,2026-01,399,2026-01-27,2026-02-07,Pago
393,33,2026-02,149,2026-02-27,2026-03-04,Pago
394,33,2026-03,109,2026-03-29,2026-04-01,Pago
395,33,2026-04,699,2026-04-27,2026-05-08,Pago
396,33,2026-06,399,2026-06-01,2026-06-04,Pago
397,34,2025-07,199,2025-07-04,,Vencido
398,34,2025-07,199,2025-07-31,2025-08-05,Pago
399,34,2025-09,699,2025-09-03,2025-09-18,Pago
400,34,2025-09,99,2025-09-30,2025-10-13,Pago
401,34,2025-10,399,2025-10-29,2025-11-01,Pago
402,34,2025-12,399,2025-12-02,2025-12-01,Pago
403,34,2025-12,149,2025-12-28,2026-01-10,Pago
404,34,2026-02,699,2026-02-01,2026-02-17,Pago
405,34,2026-03,699,2026-03-02,2026-03-14,Pago
406,34,2026-04,399,2026-04-02,2026-04-02,Pago
407,34,2026-05,35,2026-05-01,2026-05-10,Pago
408,34,2026-05,35,2026-05-30,2026-06-03,Pago
409,35,2025-07,99,2025-07-03,2025-07-21,Pago
410,35,2025-08,399,2025-08-03,2025-08-18,Pago
411,35,2025-09,149,2025-09-01,2025-09-10,Pago
412,35,2025-10,149,2025-10-04,2025-10-04,Pago
413,35,2025-10,399,2025-10-30,,Vencido
414,35,2025-12,35,2025-12-02,2025-12-08,Pago
415,35,2025-12,99,2025-12-30,2026-01-15,Pago
416,35,2026-01,699,2026-01-28,,Vencido
417,35,2026-03,699,2026-03-01,2026-03-03,Pago
418,35,2026-04,699,2026-04-01,2026-04-07,Pago
419,35,2026-05,35,2026-05-01,2026-05-18,Pago
420,35,2026-05,199,2026-05-29,,Vencido
421,36,2025-07,399,2025-07-06,2025-07-24,Pago
422,36,2025-08,35,2025-08-01,2025-08-09,Pago
423,36,2025-09,199,2025-09-02,2025-09-18,Pago
424,36,2025-10,199,2025-10-01,2025-10-16,Pago
425,36,2025-11,1199,2025-11-03,2025-11-08,Pago
426,36,2025-12,109,2025-12-01,2025-12-08,Pago
427,36,2025-12,149,2025-12-31,2026-01-07,Pago
428,36,2026-01,1199,2026-01-31,2026-01-30,Pago
429,36,2026-03,99,2026-03-02,2026-03-18,Pago
430,36,2026-03,35,2026-03-31,2026-03-28,Pago
431,36,2026-05,35,2026-05-01,2026-05-15,Pago
432,36,2026-05,99,2026-05-27,2026-06-14,Pago
433,37,2025-07,99,2025-07-02,2025-07-01,Pago
434,37,2025-08,35,2025-08-03,2025-08-08,Pago
435,37,2025-09,35,2025-09-03,2025-09-07,Pago
436,37,2025-09,199,2025-09-30,2025-10-13,Pago
437,37,2025-10,35,2025-10-30,2025-11-13,Pago
438,37,2025-12,109,2025-12-02,2025-12-05,Pago
439,37,2026-01,109,2026-01-02,2025-12-31,Pago
440,37,2026-02,109,2026-02-01,2026-02-15,Pago
441,37,2026-03,699,2026-03-03,2026-03-09,Pago
442,37,2026-03,99,2026-03-29,2026-04-13,Pago
443,37,2026-04,199,2026-04-30,2026-05-02,Pago
444,37,2026-05,35,2026-05-30,2026-06-02,Pago
445,38,2025-07,35,2025-07-05,2025-07-08,Pago
446,38,2025-08,99,2025-08-01,2025-08-11,Pago
447,38,2025-09,699,2025-09-02,2025-09-01,Pago
448,38,2025-10,35,2025-10-03,2025-10-20,Pago
449,38,2025-11,199,2025-11-01,2025-11-16,Pago
450,38,2025-11,109,2025-11-30,2025-12-09,Pago
451,38,2025-12,149,2025-12-30,2026-01-07,Pago
452,38,2026-01,699,2026-01-31,2026-02-16,Pago
453,38,2026-03,699,2026-03-02,2026-03-06,Pago
454,38,2026-04,1199,2026-04-02,2026-04-11,Pago
455,38,2026-05,99,2026-05-02,2026-05-18,Pago
456,38,2026-05,99,2026-05-30,2026-05-28,Pago
457,39,2025-07,149,2025-07-02,2025-07-01,Pago
458,39,2025-08,1199,2025-08-01,2025-08-19,Pago
459,39,2025-08,699,2025-08-31,2025-09-10,Pago
460,39,2025-09,699,2025-09-29,2025-09-27,Pago
461,39,2025-10,35,2025-10-31,2025-10-29,Pago
462,39,2025-11,149,2025-11-30,2025-12-03,Pago
463,39,2025-12,109,2025-12-31,2026-01-04,Pago
464,39,2026-02,699,2026-02-01,2026-02-18,Pago
465,39,2026-02,149,2026-02-27,2026-02-24,Pago
466,39,2026-03,149,2026-03-29,,Vencido
467,39,2026-04,109,2026-04-27,,Vencido
468,39,2026-05,99,2026-05-27,2026-06-01,Pago
469,40,2025-07,99,2025-07-06,2025-07-08,Pago
470,40,2025-08,99,2025-08-01,2025-08-01,Pago
471,40,2025-09,1199,2025-09-02,2025-09-04,Pago
472,40,2025-10,109,2025-10-04,2025-10-17,Pago
473,40,2025-11,99,2025-11-03,2025-11-15,Pago
474,40,2025-11,399,2025-11-29,2025-12-03,Pago
475,40,2025-12,109,2025-12-31,2026-01-12,Pago
476,40,2026-01,699,2026-01-30,2026-02-17,Pago
477,40,2026-03,199,2026-03-02,2026-03-15,Pago
478,40,2026-04,699,2026-04-01,2026-04-12,Pago
479,40,2026-04,109,2026-04-29,2026-05-09,Pago
480,40,2026-05,699,2026-05-27,2026-06-10,Pago
481,41,2025-07,399,2025-07-06,2025-07-11,Pago
482,41,2025-07,149,2025-07-31,2025-08-02,Pago
483,41,2025-08,35,2025-08-31,2025-08-30,Pago
484,41,2025-10,99,2025-10-03,,Vencido
485,41,2025-10,399,2025-10-30,2025-11-08,Pago
