medicao_id,calibracao_id,ponto,erro,tolerancia
ME00199,CA02961,50%,-0.1433,0.221
ME00200,CA00184,75%,0.1044,0.222
ME00201,CA01859,75%,0.2816,0.498
ME00202,CA05151,100%,0.1488,0.164
ME00203,CA00854,50%,-0.1263,0.423
ME00204,CA04009,75%,-0.1267,0.151
ME00205,CA02177,100%,-0.1457,0.32
ME00206,CA05625,75%,0.0677,0.34
ME00207,CA02111,25%,0.0491,0.394
ME00208,CA00417,25%,-0.2315,0.435
ME00209,CA05557,50%,0.0587,0.427
ME00210,CA06014,25%,0.0539,0.241
ME00211,CA05937,75%,-0.0848,0.221
ME00212,CA03295,50%,-0.0087,0.458
ME00213,CA02873,50%,-0.0033,0.138
ME00214,CA03337,75%,-0.0868,0.174
ME00215,CA06341,100%,-0.0336,0.165
ME00216,CA04134,100%,0.3926,0.111
ME00217,CA03077,50%,0.1513,0.123
ME00218,CA01458,75%,0.2065,0.42
ME00219,CA00042,50%,-0.3473,0.132
ME00220,CA01591,75%,0.0956,0.147
ME00221,CA06365,25%,0.0271,0.395
ME00222,CA02662,100%,-0.2357,0.113
ME00223,CA02292,50%,0.169,0.293
ME00224,CA01315,100%,-0.0604,0.278
ME00225,CA07090,100%,0.0284,0.343
ME00226,CA02803,100%,-0.1456,0.181
ME00227,CA05892,25%,-0.2252,0.1
ME00228,CA00334,25%,0.2697,0.289
ME00229,CA01802,100%,0.0705,0.294
ME00230,CA04311,100%,0.0253,0.473
ME00231,CA00539,50%,0.1118,0.352
ME00232,CA00928,25%,-0.1095,0.342
ME00233,CA05753,50%,-0.1557,0.406
ME00234,CA05767,100%,-0.3441,0.359
ME00235,CA01945,25%,-0.2006,0.45
ME00236,CA04120,25%,-0.0026,0.116
ME00237,CA04845,25%,-0.2003,0.413
ME00238,CA06032,100%,-0.1878,0.36
ME00239,CA03960,25%,-0.019,0.198
ME00240,CA04977,50%,0.1927,0.184
ME00241,CA02197,25%,-0.017,0.322
ME00242,CA02870,75%,-0.0528,0.198
ME00243,CA00787,100%,-0.1842,0.137
ME00244,CA01872,50%,0.0975,0.368
ME00245,CA00525,50%,0.2252,0.392
ME00246,CA06005,25%,-0.0933,0.239
ME00247,CA00759,25%,0.0253,0.123
ME00248,CA06004,75%,-0.3821,0.276
ME00249,CA00471,25%,-0.0827,0.183
ME00250,CA05631,75%,-0.213,0.494
ME00251,CA01984,75%,-0.0015,0.461
ME00252,CA02491,25%,-0.0243,0.438
ME00253,CA06185,100%,0.1076,0.15
ME00254,CA02374,50%,-0.289,0.408
ME00255,CA03448,100%,-0.0213,0.233
ME00256,CA06248,50%,-0.2643,0.466
ME00257,CA06735,100%,-0.2712,0.218
ME00258,CA05479,75%,-0.182,0.159
ME00259,CA01637,75%,0.2005,0.336
ME00260,CA04823,75%,-0.2917,0.492
ME00261,CA04695,75%,0.0147,0.238
ME00262,CA03673,50%,0.1187,0.456
ME00263,CA02733,50%,0.0423,0.315
ME00264,CA01239,75%,0.0611,0.281
ME00265,CA02024,50%,0.0828,0.23
ME00266,CA00840,75%,0.0452,0.377
ME00267,CA03549,25%,0.3676,0.368
ME00268,CA00616,50%,0.1138,0.46
ME00269,CA00594,100%,-0.0299,0.49
ME00270,CA02972,50%,0.1628,0.131
ME00271,CA00837,25%,-0.0075,0.262
ME00272,CA03469,75%,0.4825,0.402
ME00273,CA02193,50%,0.1589,0.238
ME00274,CA02630,100%,-0.2587,0.365
ME00275,CA06442,100%,-0.1164,0.484
ME00276,CA01203,100%,0.0984,0.407
ME00277,CA02668,75%,-0.2451,0.372
ME00278,CA03272,50%,-0.0845,0.266
ME00279,CA00560,75%,-0.1665,0.403
ME00280,CA03722,75%,-0.1924,0.422
ME00281,CA02811,75%,0.1049,0.368
ME00282,CA03736,75%,0.0972,0.291
ME00283,CA06768,50%,-0.1042,0.123
ME00284,CA01848,100%,0.1898,0.383
ME00285,CA05759,25%,-0.2439,0.343
ME00286,CA03515,50%,0.075,0.481
ME00287,CA02488,75%,0.171,0.434
ME00288,CA02747,100%,-0.1127,0.289
ME00289,CA06589,100%,-0.0198,0.161
ME00290,CA02669,100%,-0.1796,0.296
ME00291,CA06380,50%,-0.0718,0.37
ME00292,CA01976,75%,-0.0892,0.331
ME00293,CA00638,100%,0.046,0.256
ME00294,CA00366,100%,0.04,0.335
ME00295,CA00858,100%,-0.1647,0.222
ME00296,CA03446,25%,-0.1571,0.114
ME00297,CA04051,50%,-0.085,0.359
ME00298,CA06508,100%,0.1981,0.489
ME00299,CA04132,100%,-0.048,0.419
ME00300,CA00553,25%,-0.1379,0.283
ME00301,CA01557,25%,-0.2707,0.361
ME00302,CA03501,25%,-0.1917,0.389
ME00303,CA06391,75%,-0.0977,0.423
ME00304,CA03744,50%,0.0924,0.186
ME00305,CA05469,100%,0.2128,0.359
ME00306,CA01916,25%,0.2619,0.119
ME00307,CA05485,75%,0.3268,0.137
ME00308,CA01943,75%,0.0093,0.38
ME00309,CA01220,25%,0.0309,0.479
ME00310,CA05979,100%,0.0519,0.384
ME00311,CA04122,25%,-0.1184,0.302
ME00312,CA04325,75%,0.0763,0.324
ME00313,CA05311,100%,-0.0818,0.282
ME00314,CA02166,75%,-0.1466,0.285
ME00315,CA00776,100%,0.2733,0.205
ME00316,CA02526,50%,-0.0968,0.208
ME00317,CA00329,100%,-0.2231,0.416
ME00318,CA05354,25%,-0.1196,0.328
ME00319,CA02605,50%,0.2148,0.21
ME00320,CA07037,25%,0.1366,0.454
ME00321,CA05078,75%,-0.3305,0.208
ME00322,CA06349,25%,0.0034,0.425
ME00323,CA05814,100%,0.178,0.265
ME00324,CA00757,25%,-0.2832,0.341
ME00325,CA00053,100%,-0.1839,0.405
ME00326,CA01497,100%,0.1403,0.451
ME00327,CA04741,25%,0.0529,0.458
ME00328,CA06434,25%,0.0591,0.328
ME00329,CA02745,50%,0.1191,0.317
ME00330,CA06805,50%,-0.044,0.469
ME00331,CA07033,75%,-0.1169,0.32
ME00332,CA02919,100%,-0.3308,0.471
ME00333,CA01503,50%,0.1978,0.407
ME00334,CA01487,100%,-0.0875,0.438
ME00335,CA02355,75%,-0.0601,0.46
ME00336,CA02372,50%,0.1071,0.152
ME00337,CA03198,25%,-0.0294,0.367
ME00338,CA01675,25%,0.0134,0.314
ME00339,CA01914,100%,0.0168,0.305
ME00340,CA04901,75%,0.3083,0.425
ME00341,CA04674,100%,-0.1306,0.291
ME00342,CA05165,50%,0.0198,0.229
ME00343,CA04391,100%,0.1504,0.291
ME00344,CA04401,25%,-0.0369,0.296
ME00345,CA02830,100%,-0.377,0.194
ME00346,CA04038,100%,0.0528,0.47
ME00347,CA06424,25%,0.0912,0.155
ME00348,CA05706,50%,-0.0935,0.106
ME00349,CA01232,25%,-0.039,0.358
ME00350,CA05795,100%,-0.293,0.403
ME00351,CA01763,50%,0.0387,0.433
ME00352,CA06510,100%,0.0415,0.332
ME00353,CA03665,100%,0.1926,0.465
ME00354,CA07153,50%,-0.0441,0.488
ME00355,CA06811,50%,0.1364,0.376
ME00356,CA00979,75%,-0.095,0.432
ME00357,CA06544,75%,-0.0037,0.181
ME00358,CA00305,75%,0.3519,0.29
ME00359,CA01929,75%,0.0744,0.339
ME00360,CA01770,50%,-0.1822,0.172
ME00361,CA05188,50%,-0.3101,0.202
ME00362,CA01011,75%,-0.2734,0.162
ME00363,CA03623,75%,0.1813,0.287
ME00364,CA02313,75%,0.5359,0.147
ME00365,CA06113,100%,-0.032,0.307
ME00366,CA05026,100%,-0.2737,0.497
ME00367,CA01487,100%,0.1501,0.388
ME00368,CA04466,75%,0.0874,0.223
ME00369,CA04892,25%,0.2487,0.222
ME00370,CA02357,25%,-0.0228,0.331
ME00371,CA02064,75%,-0.1798,0.425
ME00372,CA02044,50%,0.1154,0.492
ME00373,CA01691,25%,0.1378,0.307
ME00374,CA05428,100%,-0.0494,0.214
ME00375,CA02849,25%,-0.2359,0.137
ME00376,CA05137,100%,0.0234,0.174
ME00377,CA02843,50%,-0.1988,0.455
ME00378,CA01790,25%,-0.174,0.141
ME00379,CA07135,25%,0.0278,0.408
ME00380,CA00411,50%,-0.1953,0.367
ME00381,CA03687,75%,0.0915,0.179
ME00382,CA06831,75%,-0.0742,0.343
ME00383,CA03164,75%,-0.1689,0.401
ME00384,CA00201,100%,-0.1336,0.453
ME00385,CA03297,50%,0.0199,0.4
ME00386,CA04085,25%,0.0098,0.101
ME00387,CA04016,50%,-0.2001,0.243
ME00388,CA01419,50%,0.0752,0.112
ME00389,CA05167,50%,-0.0687,0.466
ME00390,CA06972,50%,0.0175,0.352
ME00391,CA07058,50%,0.0814,0.114
ME00392,CA01255,100%,0.098,0.318
ME00393,CA01741,75%,0.1669,0.398
ME00394,CA06117,50%,0.2147,0.397
ME00395,CA02021,50%,0.3876,0.334
ME00396,CA03647,75%,-0.1428,0.305
ME00397,CA07174,50%,-0.1938,0.426
ME00398,CA00845,25%,0.1997,0.444
ME00399,CA03604,50%,-0.2044,0.155
ME00400,CA01478,100%,-0.0295,0.117
ME00401,CA03035,75%,0.208,0.175
ME00402,CA05427,25%,-0.1551,0.193
ME00403,CA01388,75%,-0.1181,0.109
ME00404,CA03990,75%,0.3939,0.308
ME00405,CA06023,75%,0.1853,0.3
ME00406,CA06002,75%,0.1532,0.487
ME00407,CA02845,100%,-0.0414,0.225
ME00408,CA03792,75%,0.1149,0.402
ME00409,CA04415,75%,0.03,0.369
ME00410,CA04234,50%,-0.1766,0.218
ME00411,CA04045,25%,0.3838,0.372
ME00412,CA02903,50%,-0.0541,0.349
ME00413,CA03714,25%,0.1809,0.232
ME00414,CA03440,75%,-0.0153,0.173
ME00415,CA06259,25%,0.0376,0.198
ME00416,CA03880,50%,-0.0227,0.397
ME00417,CA05136,100%,-0.2434,0.324
ME00418,CA06690,75%,-0.0044,0.18
ME00419,CA02831,50%,-0.3391,0.161
ME00420,CA03405,75%,-0.0888,0.206
ME00421,CA03565,100%,0.1194,0.263
ME00422,CA02610,50%,-0.1517,0.462
ME00423,CA02897,25%,-0.1004,0.275
ME00424,CA05258,25%,0.1184,0.472
ME00425,CA05294,75%,0.175,0.282
ME00426,CA03215,50%,0.2416,0.456
ME00427,CA05793,75%,0.0467,0.302
ME00428,CA05824,25%,-0.1663,0.218
ME00429,CA05399,50%,0.0528,0.107
ME00430,CA05564,25%,-0.0734,0.43
ME00431,CA07106,50%,0.3004,0.337
ME00432,CA03750,75%,0.0057,0.445
ME00433,CA05809,100%,-0.3993,0.314
ME00434,CA01583,50%,-0.6293,0.42
ME00435,CA00055,75%,-0.2326,0.188
ME00436,CA00152,50%,0.2461,0.334
ME00437,CA00623,25%,-0.1132,0.353
ME00438,CA03978,100%,-0.1174,0.119
ME00439,CA05075,50%,-0.0412,0.197
ME00440,CA01163,50%,-0.0829,0.162
ME00441,CA03407,75%,0.3174,0.429
ME00442,CA03032,100%,-0.0079,0.285
ME00443,CA03310,50%,-0.3398,0.272
ME00444,CA03294,25%,-0.1301,0.169
ME00445,CA06445,75%,0.0202,0.204
ME00446,CA06506,50%,0.0238,0.451
ME00447,CA03080,50%,0.366,0.45
ME00448,CA07018,100%,0.1167,0.262
ME00449,CA07041,75%,0.0398,0.233
ME00450,CA05385,25%,-0.1774,0.474
ME00451,CA03963,25%,-0.1306,0.386
ME00452,CA04085,100%,-0.2469,0.169
ME00453,CA02475,100%,-0.2079,0.239
ME00454,CA05336,50%,-0.0088,0.303
ME00455,CA02022,100%,-0.0872,0.397
ME00456,CA06976,75%,-0.0967,0.11
ME00457,CA05159,75%,-0.1842,0.116
ME00458,CA00495,25%,-0.1268,0.26
ME00459,CA03589,75%,0.0641,0.243
ME00460,CA00145,75%,-0.042,0.222
ME00461,CA00305,100%,0.0679,0.475
ME00462,CA06646,75%,0.2542,0.12
ME00463,CA03176,25%,0.1621,0.226
ME00464,CA06705,25%,0.252,0.452
ME00465,CA03151,75%,0.3166,0.185
ME00466,CA03841,100%,0.1792,0.436
ME00467,CA01245,25%,-0.0234,0.194
ME00468,CA04597,100%,0.3458,0.486
ME00469,CA01925,100%,-0.2257,0.167
ME00470,CA04165,25%,0.0448,0.326
ME00471,CA06334,50%,-0.3066,0.268
ME00472,CA03572,75%,0.2978,0.326
ME00473,CA00168,50%,-0.4301,0.252
ME00474,CA05120,100%,-0.0122,0.487
ME00475,CA06501,75%,-0.0775,0.458
ME00476,CA01633,25%,-0.2129,0.117
ME00477,CA01886,50%,-0.2565,0.163
ME00478,CA00751,100%,-0.1093,0.427
ME00479,CA05195,25%,0.0301,0.141
ME00480,CA00814,100%,0.2015,0.208
ME00481,CA06225,25%,0.0548,0.394
ME00482,CA00393,100%,0.3018,0.291
ME00483,CA06918,100%,-0.0058,0.477
ME00484,CA02579,50%,0.0461,0.286
ME00485,CA05571,50%,0.1372,0.255
ME00486,CA06237,75%,-0.0367,0.242
ME00487,CA00144,75%,-0.0645,0.149
ME00488,CA07134,75%,-0.2553,0.434
ME00489,CA04506,100%,0.008,0.313
ME00490,CA00787,25%,-0.0775,0.447
ME00491,CA06874,25%,0.11,0.345
ME00492,CA04392,100%,0.1253,0.383
ME00493,CA04966,75%,-0.3301,0.397
ME00494,CA01725,50%,0.0074,0.449
ME00495,CA00903,50%,-0.1559,0.271
ME00496,CA03316,75%,0.0547,0.32
ME00497,CA03343,75%,0.4538,0.38
ME00498,CA03261,75%,0.1009,0.343
ME00499,CA01656,100%,-0.2036,0.442
ME00500,CA01839,25%,-0.2705,0.17
ME00501,CA03570,50%,0.0366,0.379
ME00502,CA07044,100%,0.2165,0.351
ME00503,CA00730,75%,-0.1298,0.427
ME00504,CA03382,25%,-0.0523,0.464
ME00505,CA02839,50%,-0.007,0.219
ME00506,CA06332,100%,-0.2139,0.42
ME00507,CA03191,75%,-0.197,0.165
ME00508,CA06361,100%,0.0533,0.153
ME00509,CA06897,75%,0.1368,0.345
ME00510,CA00420,25%,0.0091,0.111
ME00511,CA05509,100%,0.0226,0.302
ME00512,CA03366,100%,-0.1673,0.17
ME00513,CA02424,100%,0.3184,0.148
ME00514,CA03600,100%,-0.1485,0.15
ME00515,CA00006,100%,0.1255,0.325
ME00516,CA06706,25%,0.0028,0.476
ME00517,CA02060,25%,-0.1972,0.235
ME00518,CA02797,100%,0.1511,0.444
ME00519,CA01483,25%,0.0298,0.244
ME00520,CA01722,50%,0.303,0.192
ME00521,CA04516,100%,-0.0268,0.209
ME00522,CA04414,75%,-0.2776,0.202
ME00523,CA05851,50%,-0.1619,0.465
ME00524,CA04187,75%,-0.0484,0.307
ME00525,CA00273,100%,-0.122,0.345
ME00526,CA02384,75%,-0.0635,0.167
ME00527,CA01857,100%,-0.1637,0.2
ME00528,CA00524,25%,-0.2119,0.483
ME00529,CA04942,100%,-0.1202,0.373
ME00530,CA03898,25%,0.0144,0.49
ME00531,CA04136,100%,-0.0478,0.468
ME00532,CA04127,25%,0.1776,0.475
ME00533,CA02701,50%,0.1183,0.254
ME00534,CA01329,75%,-0.0231,0.225
ME00535,CA06903,50%,-0.0612,0.101
ME00536,CA03066,75%,0.0297,0.416
ME00537,CA03589,100%,0.2583,0.445
ME00538,CA04894,50%,-0.022,0.196
ME00539,CA00684,50%,-0.0555,0.168
ME00540,CA01925,75%,-0.2684,0.218
ME00541,CA05260,25%,0.393,0.207
ME00542,CA01366,50%,-0.106,0.257
ME00543,CA04323,75%,0.0059,0.452
ME00544,CA00828,50%,-0.208,0.406
ME00545,CA00019,25%,-0.1254,0.385
ME00546,CA05095,100%,0.0254,0.203
ME00547,CA00578,50%,0.0652,0.279
ME00548,CA01647,75%,-0.4137,0.203
ME00549,CA00494,75%,0.0516,0.202
ME00550,CA04045,25%,0.2392,0.171
ME00551,CA06968,25%,-0.1787,0.237
ME00552,CA05610,25%,-0.1556,0.251
ME00553,CA05558,25%,0.0491,0.307
ME00554,CA03882,25%,-0.0321,0.197
ME00555,CA01553,100%,-0.1324,0.228
ME00556,CA02998,50%,-0.0183,0.492
ME00557,CA02408,50%,0.0959,0.366
ME00558,CA05846,75%,-0.0324,0.493
ME00559,CA03043,75%,0.1429,0.177
ME00560,CA03998,50%,0.0821,0.469
ME00561,CA00528,50%,0.1774,0.248
ME00562,CA02423,50%,0.2348,0.253
ME00563,CA03617,75%,-0.223,0.454
ME00564,CA06299,50%,0.2363,0.464
ME00565,CA03311,75%,-0.0307,0.21
ME00566,CA06861,50%,-0.1319,0.18
ME00567,CA01166,100%,-0.232,0.217
ME00568,CA03966,75%,-0.1662,0.183
ME00569,CA01515,50%,-0.1133,0.352
ME00570,CA01947,75%,0.3058,0.26
ME00571,CA03990,100%,-0.0873,0.266
ME00572,CA01132,75%,0.1934,0.112
ME00573,CA02491,100%,-0.2006,0.471
ME00574,CA03589,25%,0.0574,0.485
ME00575,CA01005,50%,0.0372,0.435
ME00576,CA05000,50%,-0.1788,0.364
ME00577,CA00472,50%,0.2327,0.25
ME00578,CA01341,75%,-0.111,0.494
ME00579,CA01075,50%,0.3228,0.401
ME00580,CA00782,50%,0.5109,0.437
ME00581,CA00176,75%,-0.0801,0.161
ME00582,CA01442,75%,0.1152,0.477
ME00583,CA05098,75%,-0.0751,0.38
ME00584,CA01038,100%,0.0371,0.119
ME00585,CA06835,100%,-0.2252,0.473
ME00586,CA00020,75%,0.433,0.485
ME00587,CA01118,75%,0.1557,0.47
ME00588,CA05023,100%,-0.0472,0.178
ME00589,CA05931,100%,-0.032,0.311
ME00590,CA01070,50%,0.0895,0.452
ME00591,CA06732,100%,-0.1533,0.431
ME00592,CA07147,100%,0.1072,0.301
ME00593,CA04943,25%,-0.1603,0.372
ME00594,CA03073,25%,-0.147,0.487
ME00595,CA00838,50%,0.0764,0.364
ME00596,CA05858,50%,-0.4989,0.5
ME00597,CA01639,75%,0.1535,0.412
ME00598,CA06190,75%,0.2065,0.244
ME00599,CA06472,75%,-0.0525,0.241
ME00600,CA03310,25%,0.2061,0.264
ME00601,CA00082,75%,0.2286,0.436
ME00602,CA01025,50%,-0.0454,0.469
ME00603,CA04870,100%,0.3522,0.159
ME00604,CA00825,100%,0.2915,0.344
ME00605,CA00816,25%,0.1145,0.193
ME00606,CA06250,100%,0.043,0.17
ME00607,CA02070,25%,-0.0002,0.372
ME00608,CA05314,75%,0.3124,0.202
ME00609,CA06723,25%,-0.2168,0.222
ME00610,CA04193,25%,-0.0495,0.495
ME00611,CA07192,50%,0.1797,0.292
ME00612,CA06899,100%,0.2096,0.161
ME00613,CA03338,50%,0.1058,0.273
ME00614,CA02040,75%,-0.22,0.38
ME00615,CA02878,100%,0.1904,0.386
ME00616,CA06607,25%,-0.0367,0.302
ME00617,CA01501,25%,-0.0195,0.117
ME00618,CA04619,25%,0.1105,0.371
ME00619,CA05721,50%,-0.0119,0.27
ME00620,CA02943,50%,0.371,0.306
ME00621,CA06881,75%,0.0753,0.14
ME00622,CA06508,75%,0.0129,0.177
