calibracao_id;equipamento_id;laboratorio_id;data_programada;data_realizada;custo;resultado
CA00030;EQ00239;LB002;2024-02-03 00:00:00;2024-10-07;269,47;Aprovado
CA00031;EQ00401;LB005;2025-01-03 00:00:00;2025-12-03;1277,73;Aprovado
CA00032;EQ01072;LB016;2024-08-01 00:00:00;2024-02-15;396,17;Aprovado
CA00033;EQ00637;LB020;2024-03-09 00:00:00;2024-01-03;1217,12;Aprovado
CA00034;EQ01400;LB005;2025-01-08 00:00:00;2026-05-02;992,07;Aprovado
CA00035;EQ00715;LB020;2025-05-19 00:00:00;2025-01-27;1006,12;Aprovado
CA00036;EQ01360;LB020;2025-02-05 00:00:00;2026-05-15;263,12;Aprovado
CA00037;EQ00860;LB009;2026-01-31 00:00:00;2024-10-20;727,02;Aprovado
CA00038;EQ00994;LB022;2026-02-17 00:00:00;2025-03-20;360,87;Aprovado
CA00039;EQ01078;LB015;2026-06-09 00:00:00;2026-07-27;1250,95;Aprovado
CA00040;EQ00601;LB011;2024-07-09 00:00:00;2025-11-16;476,31;Aprovado
CA00041;EQ00603;LB004;2026-07-02 00:00:00;2024-06-10;208,31;Aprovado
CA00042;EQ00654;LB004;2026-02-16 00:00:00;2025-10-15;1184,55;Aprovado
CA00043;EQ00642;LB005;2024-11-20 00:00:00;2024-02-27;1057,3;Aprovado
CA00044;EQ00101;LB011;2025-08-21 00:00:00;2024-01-20;1155,6;Aprovado
CA00045;EQ01040;LB022;2026-04-21 00:00:00;2026-06-05;1517,79;Ajustado
CA00046;EQ00348;LB021;2026-06-17 00:00:00;2025-04-12;1042,82;Aprovado
CA00047;EQ01391;LB007;2025-02-02 00:00:00;2025-02-06;245,84;Aprovado
CA00048;EQ00414;LB014;2026-02-16 00:00:00;2024-10-05;1354,78;Aprovado
CA00049;EQ01039;LB007;2024-03-22 00:00:00;2025-02-09;725,36;Aprovado
CA00050;EQ00073;LB015;2026-01-01 00:00:00;2025-07-28;1532,71;Aprovado
CA00051;EQ00828;LB023;2026-01-24 00:00:00;2025-01-16;378,71;Ajustado
CA00052;EQ00959;LB020;2025-04-29 00:00:00;2024-05-16;1556,08;Aprovado
CA00053;EQ00719;LB002;2026-02-21 00:00:00;2025-09-24;1343,58;Aprovado
CA00054;EQ00795;LB014;2025-05-28 00:00:00;2026-07-20;356,54;Ajustado
CA00055;EQ01361;LB019;2024-11-12 00:00:00;2025-03-20;598,3;Aprovado
CA00056;EQ00969;LB021;2025-07-12 00:00:00;2026-02-17;167,68;Aprovado
CA00057;EQ00766;LB020;2024-07-26 00:00:00;2026-01-04;1298,99;Aprovado
CA00058;EQ00157;LB017;2024-12-17 00:00:00;2024-02-19;1543,24;Aprovado
CA00059;EQ00794;LB022;2026-03-13 00:00:00;2024-10-02;556,4;Aprovado
CA00060;EQ00617;LB022;2024-08-18 00:00:00;2026-01-09;231,09;Aprovado
CA00061;EQ00367;LB018;2025-08-01 00:00:00;2025-07-26;489,13;Ajustado
CA00062;EQ00237;LB018;2024-07-15 00:00:00;2024-04-13;418,76;Aprovado
CA00063;EQ00034;LB009;2026-07-21 00:00:00;2025-10-03;516,16;Aprovado
CA00064;EQ00478;LB004;2024-10-10 00:00:00;2025-11-13;226,03;Aprovado
CA00065;EQ00820;LB023;2024-04-09 00:00:00;2024-02-11;1216,74;Aprovado
CA00066;EQ00979;LB002;2025-06-24 00:00:00;2024-12-26;1415,61;Aprovado
CA00067;EQ00127;LB008;2025-07-24 00:00:00;2025-10-07;1302,74;Aprovado
CA00068;EQ00938;LB013;2024-11-08 00:00:00;2024-01-09;1160,77;Aprovado
CA00069;EQ00582;LB013;2024-03-18 00:00:00;2025-10-24;1181,31;Aprovado
CA00070;EQ00135;LB011;2026-04-27 00:00:00;2026-04-09;993,38;Aprovado
CA00071;EQ01072;LB006;2025-12-24 00:00:00;2024-01-12;130,09;Aprovado
CA00072;EQ00089;LB002;2025-05-03 00:00:00;2025-05-02;149,16;Aprovado
CA00073;EQ01247;LB006;2025-04-05 00:00:00;2025-02-02;1066,82;Aprovado
CA00074;EQ00129;LB011;2026-07-03 00:00:00;2025-01-16;914,57;Aprovado
CA00075;EQ00068;LB005;2024-10-12 00:00:00;2024-06-07;432,65;Aprovado
CA00076;EQ01237;LB007;2025-08-20 00:00:00;2024-12-30;316,39;Aprovado
CA00077;EQ01130;LB002;2026-03-21 00:00:00;2025-10-01;693,74;Aprovado
CA00078;EQ01279;LB023;2025-06-30 00:00:00;2026-04-24;1375,84;Aprovado
CA00079;EQ00245;LB017;2024-03-15 00:00:00;2024-07-26;844,49;Aprovado
CA00080;EQ00009;LB006;2025-10-24 00:00:00;2024-07-04;1405,29;Aprovado
CA00081;EQ00117;LB017;2024-07-31 00:00:00;2026-07-18;1007,83;Ajustado
CA00082;EQ01047;LB018;2026-06-29 00:00:00;2026-04-17;1155,06;Aprovado
CA00083;EQ00522;LB021;2024-09-30 00:00:00;2025-04-22;423,96;Reprovado
CA00084;EQ01155;LB004;2026-01-30 00:00:00;2024-04-21;260,29;Aprovado
CA00085;EQ00020;LB008;2026-01-31 00:00:00;2026-03-31;529,63;Aprovado
CA00086;EQ01297;LB006;2026-02-09 00:00:00;2024-08-14;289,62;Aprovado
CA00087;EQ00508;LB006;2026-02-25 00:00:00;2026-06-01;1252,32;Aprovado
CA00088;EQ00477;LB015;2025-07-04 00:00:00;2025-07-11;1315,17;Aprovado
CA00089;EQ01310;LB021;2026-06-01 00:00:00;2026-07-30;950,25;Aprovado
CA00090;EQ00764;LB008;2024-11-24 00:00:00;2025-07-15;283,38;Aprovado
CA00091;EQ00507;LB022;2025-07-12 00:00:00;2024-12-02;463,12;Aprovado
CA00092;EQ01386;LB002;2024-05-13 00:00:00;2025-09-07;1269,23;Aprovado
CA00093;EQ00382;LB005;2024-03-22 00:00:00;2026-05-17;549,74;Aprovado
CA00094;EQ01387;LB005;2024-07-19 00:00:00;2025-08-09;1399,16;Aprovado
CA00095;EQ01257;LB020;2024-01-20 00:00:00;2024-06-01;749,43;Aprovado
CA00096;EQ01289;LB005;2025-10-03 00:00:00;2024-08-01;1508,98;Aprovado
CA00097;EQ00919;LB010;2025-11-01 00:00:00;2025-09-05;1174,65;Aprovado
CA00098;EQ00351;LB025;2025-05-18 00:00:00;2026-01-21;776,3;Aprovado
CA00099;EQ00768;LB010;2025-12-25 00:00:00;2024-06-28;1597,04;Aprovado
CA00100;EQ00667;LB007;2025-10-30 00:00:00;2024-06-07;296,8;Aprovado
CA00101;EQ00783;LB011;2024-07-25 00:00:00;2024-07-04;599,73;Aprovado
CA00102;EQ00962;LB005;2026-01-16 00:00:00;2025-07-03;134,85;Reprovado
CA00103;EQ00660;LB025;2025-05-23 00:00:00;2025-04-25;144,78;Reprovado
CA00104;EQ00662;LB016;2026-05-11 00:00:00;2026-02-22;966,36;Aprovado
CA00105;EQ01090;LB005;2025-04-13 00:00:00;2025-01-31;694,38;Aprovado
CA00106;EQ00379;LB025;2025-01-07 00:00:00;2026-04-12;665,01;Aprovado
CA00107;EQ00961;LB017;2025-09-18 00:00:00;2026-05-14;871,16;Aprovado
CA00108;EQ01313;LB021;2024-05-07 00:00:00;2025-10-25;1554,07;Aprovado
CA00109;EQ00349;LB003;2025-11-09 00:00:00;2026-02-14;1503,57;Aprovado
CA00110;EQ00370;LB004;2026-07-01 00:00:00;2024-11-04;1428,16;Aprovado
CA00111;EQ00190;LB004;2024-10-25 00:00:00;2025-10-28;1018,26;Reprovado
CA00112;EQ00890;LB009;2025-11-23 00:00:00;2026-06-25;298,05;Aprovado
CA00113;EQ00655;LB022;2025-09-01 00:00:00;2025-04-24;1325,68;Aprovado
CA00114;EQ00891;LB014;2024-02-10 00:00:00;2024-01-23;1236,95;Aprovado
CA00115;EQ00683;LB017;2025-09-28 00:00:00;2024-07-04;1289,44;Aprovado
CA00116;EQ00357;LB016;2024-12-09 00:00:00;2025-04-19;1380,19;Ajustado
CA00117;EQ00892;LB019;2025-08-23 00:00:00;2026-01-05;1064,19;Aprovado
CA00118;EQ00465;LB007;2026-05-21 00:00:00;2024-04-19;1300,05;Aprovado
CA00119;EQ01272;LB016;2025-06-19 00:00:00;2024-03-22;1169,79;Aprovado
CA00120;EQ00865;LB001;2024-09-07 00:00:00;2024-10-27;1068,27;Aprovado
CA00121;EQ01262;LB009;2024-12-17 00:00:00;2025-12-01;1429,06;Aprovado
CA00122;EQ01189;LB017;2024-01-16 00:00:00;2025-10-16;1272,1;Ajustado
CA00123;EQ00879;LB011;2026-02-02 00:00:00;2026-06-26;1233,91;Aprovado
CA00124;EQ00046;LB011;2025-04-04 00:00:00;2024-07-24;1309,37;Aprovado
CA00125;EQ00641;LB005;2024-10-03 00:00:00;2024-07-10;185,47;Aprovado
CA00126;EQ00336;LB003;2026-04-26 00:00:00;2025-05-08;1179,74;Aprovado
CA00127;EQ00086;LB024;2024-11-08 00:00:00;2024-11-19;1128,87;Aprovado
CA00128;EQ00729;LB003;2026-07-10 00:00:00;2024-05-29;948,31;Aprovado
CA00129;EQ00976;LB024;2026-01-20 00:00:00;2025-11-12;1504,95;Aprovado
CA00130;EQ00325;LB007;2025-12-29 00:00:00;2026-02-07;1173,38;Aprovado
CA00131;EQ00277;LB021;2024-11-17 00:00:00;2026-03-06;554,91;Aprovado
CA00132;EQ00278;LB022;2025-07-02 00:00:00;2025-11-11;833,34;Aprovado
CA00133;EQ00673;LB001;2025-01-29 00:00:00;2025-06-11;133,79;Aprovado
CA00134;EQ00192;LB006;2024-03-03 00:00:00;2025-03-11;183,65;Aprovado
CA00135;EQ00440;LB008;2025-08-24 00:00:00;2025-09-19;1572,48;Aprovado
CA00136;EQ00828;LB019;2025-03-15 00:00:00;2024-07-13;570,45;Aprovado
CA00137;EQ00445;LB004;2025-06-03 00:00:00;2025-03-17;438,22;Aprovado
CA00138;EQ01292;LB024;2026-01-23 00:00:00;2025-06-07;315,51;Aprovado
CA00139;EQ00307;LB024;2024-01-02 00:00:00;2024-06-18;1423,08;Reprovado
CA00140;EQ01245;LB023;2024-05-21 00:00:00;2025-01-02;1181,75;Aprovado
CA00141;EQ00677;LB008;2024-01-22 00:00:00;2024-12-05;1135,43;Aprovado
CA00142;EQ00438;LB015;2025-09-04 00:00:00;2025-12-08;1393,94;Aprovado
CA00143;EQ01037;LB023;2025-02-10 00:00:00;2024-06-15;105,13;Aprovado
CA00144;EQ00014;LB022;2026-06-20 00:00:00;2025-09-24;969,69;Aprovado
CA00145;EQ00586;LB008;2025-12-11 00:00:00;2024-09-27;962,75;Aprovado
CA00146;EQ01036;LB009;2025-11-27 00:00:00;2025-03-13;1104,06;Aprovado
CA00147;EQ00920;LB011;2025-10-22 00:00:00;2026-01-14;1509,4;Aprovado
CA00148;EQ01224;LB016;2025-12-01 00:00:00;2024-06-30;766,44;Aprovado
CA00149;EQ00797;LB005;2024-05-11 00:00:00;2025-09-18;955,94;Aprovado
CA00150;EQ00682;LB012;2026-06-13 00:00:00;2026-04-16;216,63;Aprovado
CA00151;EQ00616;LB003;2025-01-02 00:00:00;2025-11-10;459,48;Aprovado
CA00152;EQ00775;LB023;2025-04-19 00:00:00;2024-01-06;126,48;Aprovado
CA00153;EQ00023;LB023;2026-07-17 00:00:00;2024-04-30;1412,39;Aprovado
CA00154;EQ01015;LB021;2024-12-15 00:00:00;2024-10-01;827,1;Aprovado
CA00155;EQ01004;LB024;2024-07-26 00:00:00;2025-10-17;128,08;Aprovado
CA00156;EQ00705;LB015;2025-07-29 00:00:00;2024-03-15;1322,51;Aprovado
CA00157;EQ00928;LB022;2025-07-11 00:00:00;2025-01-10;246,48;Aprovado
CA00158;EQ01318;LB018;2024-10-12 00:00:00;2026-07-14;1470,85;Aprovado
CA00159;EQ01331;LB022;2024-09-19 00:00:00;2026-03-14;1452,31;Aprovado
CA00160;EQ00785;LB005;2026-04-11 00:00:00;2024-01-04;162,86;Reprovado
CA00161;EQ00768;LB017;2024-02-01 00:00:00;2024-04-04;196,25;Ajustado
CA00162;EQ00273;LB012;2024-02-05 00:00:00;2024-12-26;1007,19;Aprovado
CA00163;EQ00426;LB011;2025-04-07 00:00:00;2025-07-14;477,66;Aprovado
CA00164;EQ01031;LB005;2025-12-01 00:00:00;2024-01-31;820,22;Aprovado
CA00165;EQ00883;LB008;2024-06-07 00:00:00;2024-08-10;831,53;Aprovado
CA00166;EQ01134;LB003;2024-04-08 00:00:00;2026-05-17;985,56;Aprovado
CA00167;EQ00297;LB001;2025-08-14 00:00:00;2025-11-16;856,53;Aprovado
CA00168;EQ01329;LB009;2025-03-15 00:00:00;2024-09-05;205,94;Aprovado
CA00169;EQ00260;LB025;2025-10-16 00:00:00;2024-07-17;1351,33;Aprovado
CA00170;EQ01259;LB009;2025-09-01 00:00:00;2025-11-21;977,8;Aprovado
CA00171;EQ00135;LB008;2024-07-10 00:00:00;2024-11-03;436,23;Aprovado
CA00172;EQ00208;LB006;2026-05-06 00:00:00;2026-05-20;1327,14;Aprovado
CA00173;EQ00968;LB019;2024-08-15 00:00:00;2025-02-27;320,83;Ajustado
CA00174;EQ01146;LB025;2025-04-01 00:00:00;2024-04-03;1467,73;Aprovado
CA00175;EQ00814;LB013;2024-06-09 00:00:00;2024-03-29;960,04;Aprovado
CA00176;EQ00787;LB018;2025-09-11 00:00:00;2024-04-12;1051,97;Aprovado
CA00177;EQ01297;LB022;2024-12-14 00:00:00;2025-01-01;1291,04;Aprovado
CA00178;EQ00814;LB015;2024-07-26 00:00:00;2025-11-04;1183,31;Aprovado
CA00179;EQ01182;LB024;2025-01-29 00:00:00;2026-05-26;707,11;Ajustado
CA00180;EQ00571;LB009;2026-02-11 00:00:00;2024-09-03;101,47;Aprovado
CA00181;EQ01356;LB012;2024-09-16 00:00:00;2026-07-12;913,97;Aprovado
CA00182;EQ00736;LB021;2024-07-18 00:00:00;2025-06-18;767,71;Aprovado
CA00183;EQ00544;LB011;2024-05-19 00:00:00;2026-04-13;296,11;Aprovado
CA00184;EQ00357;LB017;2024-12-09 00:00:00;2025-05-07;244,13;Reprovado
CA00185;EQ00710;LB006;2024-09-06 00:00:00;2025-08-20;210,12;Ajustado
CA00186;EQ00225;LB022;2026-05-04 00:00:00;2024-04-26;1262,99;Aprovado
CA00187;EQ00064;LB003;2024-11-23 00:00:00;2025-07-02;1311,51;Aprovado
CA00188;EQ01372;LB012;2025-06-26 00:00:00;2025-04-24;142,78;Aprovado
CA00189;EQ00540;LB015;2026-03-07 00:00:00;2025-12-12;450,13;Aprovado
CA00190;EQ00660;LB003;2026-07-09 00:00:00;2026-01-08;822,15;Aprovado
CA00191;EQ00626;LB006;2025-12-17 00:00:00;2026-01-24;474,62;Reprovado
CA00192;EQ01046;LB007;2026-02-26 00:00:00;2025-09-02;1416,83;Aprovado
CA00193;EQ00509;LB008;2026-01-14 00:00:00;2026-07-26;665,63;Aprovado
CA00194;EQ00456;LB001;2024-02-07 00:00:00;2026-02-06;517,03;Aprovado
CA00195;EQ01252;LB007;2026-07-19 00:00:00;2024-07-16;188,61;Aprovado
CA00196;EQ01137;LB010;2026-04-09 00:00:00;2024-06-17;1332,51;Ajustado
CA00197;EQ00863;LB003;2025-04-11 00:00:00;2026-05-23;1440,26;Aprovado
CA00198;EQ01242;LB005;2024-06-19 00:00:00;2025-09-06;1575,13;Aprovado
CA00199;EQ00237;LB024;2025-08-29 00:00:00;2026-05-15;1418,51;Aprovado
CA00200;EQ00834;LB007;2026-06-08 00:00:00;2026-02-15;1101,59;Aprovado
CA00201;EQ00648;LB018;2024-08-28 00:00:00;2025-07-11;908,7;Aprovado
CA00202;EQ00553;LB005;2025-09-29 00:00:00;2026-03-12;92,68;Reprovado
CA00203;EQ00024;LB014;2025-11-21 00:00:00;2026-05-15;1109,72;Aprovado
CA00204;EQ00711;LB019;2025-09-15 00:00:00;2025-05-06;458,23;Aprovado
CA00205;EQ00259;LB019;2026-03-15 00:00:00;2025-06-01;734,7;Ajustado
CA00206;EQ01325;LB001;2026-06-18 00:00:00;2025-08-30;132,91;Aprovado
CA00207;EQ00974;LB001;2024-05-22 00:00:00;2024-12-09;784,29;Aprovado
CA00208;EQ00228;LB013;2025-07-24 00:00:00;2026-05-23;355,26;Aprovado
CA00209;EQ00902;LB006;2025-10-02 00:00:00;2026-06-09;523,82;Reprovado
CA00210;EQ00689;LB005;2024-06-28 00:00:00;2025-05-10;1404,93;Aprovado
CA00211;EQ01229;LB011;2024-10-15 00:00:00;2024-08-01;141,08;Aprovado
CA00212;EQ00050;LB021;2024-10-16 00:00:00;2026-05-07;717,13;Aprovado
CA00213;EQ00508;LB024;2025-07-01 00:00:00;2025-10-14;966,74;Aprovado
CA00214;EQ00939;LB018;2025-10-11 00:00:00;2026-06-25;1481,35;Aprovado
CA00215;EQ01048;LB017;2026-05-14 00:00:00;2025-11-28;577,35;Aprovado
CA00216;EQ00133;LB011;2024-12-29 00:00:00;2026-02-23;1579,51;Ajustado
CA00217;EQ01282;LB012;2024-08-24 00:00:00;2025-02-10;1079,88;Aprovado
CA00218;EQ01251;LB024;2025-12-29 00:00:00;2024-07-10;618,93;Aprovado
CA00219;EQ00522;LB015;2024-05-09 00:00:00;2025-07-28;649,71;Aprovado
CA00220;EQ00154;LB020;2026-03-02 00:00:00;2025-04-25;795,7;Aprovado
CA00221;EQ01017;LB013;2024-09-06 00:00:00;2025-10-07;135,97;Aprovado
CA00222;EQ00565;LB001;2025-10-19 00:00:00;2024-11-01;1547,18;Aprovado
CA00223;EQ00133;LB012;2025-05-07 00:00:00;2025-04-04;1125,2;Aprovado
CA00224;EQ00386;LB019;2024-01-09 00:00:00;2024-04-06;1398,1;Aprovado
CA00225;EQ00942;LB019;2024-08-07 00:00:00;2026-03-12;1471,33;Aprovado
CA00226;EQ00131;LB003;2025-11-23 00:00:00;2025-02-10;266,6;Aprovado
CA00227;EQ01171;LB017;2024-04-07 00:00:00;2025-11-01;1544,78;Aprovado
CA00228;EQ00236;LB010;2025-09-17 00:00:00;2024-05-31;220,51;Aprovado
CA00229;EQ01363;LB002;2025-03-29 00:00:00;2024-10-22;698,85;Aprovado
CA00230;EQ00138;LB009;2025-02-06 00:00:00;2024-10-20;1141,98;Aprovado
CA00231;EQ01110;LB016;2024-11-26 00:00:00;2025-09-07;1274,4;Aprovado
CA00232;EQ00864;LB005;2025-04-12 00:00:00;2024-06-21;1527,09;Aprovado
CA00233;EQ00670;LB022;2025-05-12 00:00:00;2026-03-31;140,89;Aprovado
CA00234;EQ00309;LB025;2024-12-16 00:00:00;2024-05-07;794,52;Aprovado
CA00235;EQ00884;LB019;2026-03-18 00:00:00;2025-06-26;723,18;Aprovado
CA00236;EQ00534;LB012;2026-06-04 00:00:00;2025-10-02;1160,7;Aprovado
CA00237;EQ01023;LB011;2026-03-04 00:00:00;2025-01-25;1384,94;Aprovado
CA00238;EQ00408;LB001;2024-12-14 00:00:00;2024-05-27;728,91;Aprovado
CA00239;EQ00491;LB024;2025-05-15 00:00:00;2024-05-14;885,65;Aprovado
CA00240;EQ00732;LB005;2025-12-15 00:00:00;2026-02-09;181,76;Aprovado
CA00241;EQ00319;LB019;2024-08-17 00:00:00;2024-06-12;906,73;Aprovado
CA00242;EQ00714;LB005;2025-11-10 00:00:00;2026-02-26;341,81;Ajustado
CA00243;EQ00371;LB023;2025-03-22 00:00:00;2025-12-01;305,33;Aprovado
CA00244;EQ00239;LB018;2026-01-04 00:00:00;2024-02-10;1249,51;Aprovado
CA00245;EQ01017;LB023;2025-04-20 00:00:00;2024-10-10;213,88;Aprovado
CA00246;EQ00613;LB015;2026-02-17 00:00:00;2024-11-23;549,18;Aprovado
CA00247;EQ00441;LB024;2024-12-22 00:00:00;2024-01-04;1339,33;Aprovado
CA00248;EQ01281;LB003;2024-11-27 00:00:00;2024-02-13;1061,97;Aprovado
CA00249;EQ01120;LB009;2024-09-02 00:00:00;2026-06-20;396,13;Aprovado
CA00250;EQ00805;LB024;2025-03-13 00:00:00;2026-05-06;288,77;Aprovado
CA00251;EQ00899;LB024;2024-10-18 00:00:00;2025-12-02;1208,53;Aprovado
CA00252;EQ00068;LB020;2024-05-20 00:00:00;2024-01-05;1176,16;Aprovado
CA00253;EQ01015;LB009;2025-12-20 00:00:00;2024-07-13;671,8;Aprovado
CA00254;EQ00664;LB008;2024-05-17 00:00:00;2024-08-31;708,91;Reprovado
CA00255;EQ00617;LB009;2024-08-10 00:00:00;2025-05-28;1022,74;Aprovado
CA00256;EQ00540;LB016;2026-06-11 00:00:00;2025-01-03;990,61;Aprovado
CA00257;EQ00498;LB018;2026-02-10 00:00:00;2024-10-22;1430,32;Aprovado
CA00258;EQ00334;LB006;2025-04-23 00:00:00;2024-08-04;1278,47;Aprovado
CA00259;EQ00881;LB003;2026-03-20 00:00:00;2026-03-28;1182,79;Aprovado
CA00260;EQ00049;LB015;2024-12-30 00:00:00;2024-12-24;584,19;Aprovado
CA00261;EQ00379;LB021;2024-10-02 00:00:00;2026-03-19;595,98;Aprovado
CA00262;EQ00030;LB021;2025-07-27 00:00:00;2026-01-01;1020,24;Aprovado
CA00263;EQ01258;LB010;2025-11-25 00:00:00;2024-11-24;1106,36;Aprovado
CA00264;EQ00995;LB002;2025-07-04 00:00:00;2025-04-17;1212,1;Aprovado
CA00265;EQ01358;LB017;2025-07-25 00:00:00;2025-07-16;1463,96;Aprovado
CA00266;EQ00621;LB013;2025-12-16 00:00:00;2024-05-18;1065,35;Aprovado
CA00267;EQ00746;LB019;2024-09-23 00:00:00;2026-01-23;650,4;Ajustado
CA00268;EQ00272;LB008;2024-11-02 00:00:00;2024-03-10;1401,35;Aprovado
CA00269;EQ01091;LB017;2024-10-19 00:00:00;2026-07-25;1514,2;Aprovado
CA00270;EQ00011;LB007;2024-04-13 00:00:00;2026-01-17;908,01;Aprovado
CA00271;EQ00937;LB009;2025-11-02 00:00:00;2025-12-29;1578,32;Aprovado
CA00272;EQ01249;LB021;2024-09-25 00:00:00;2024-08-25;842,99;Aprovado
CA00273;EQ00659;LB020;2026-05-13 00:00:00;2025-10-26;319,89;Aprovado
CA00274;EQ00120;LB023;2024-10-21 00:00:00;2024-02-24;204,86;Aprovado
CA00275;EQ00431;LB017;2026-02-21 00:00:00;2025-07-31;471,22;Aprovado
CA00276;EQ00634;LB024;2026-03-29 00:00:00;2024-02-03;572,83;Aprovado
CA00277;EQ00427;LB023;2024-01-24 00:00:00;2024-01-12;1293,39;Aprovado
CA00278;EQ00539;LB018;2025-03-23 00:00:00;2024-12-11;653,21;Ajustado
CA00279;EQ00829;LB011;2025-10-15 00:00:00;2025-09-30;1578,37;Aprovado
CA00280;EQ00895;LB001;2026-01-08 00:00:00;2024-09-04;733,59;Aprovado
CA00281;EQ00846;LB016;2024-11-22 00:00:00;2024-07-28;752,86;Aprovado
CA00282;EQ01084;LB003;2025-06-20 00:00:00;2026-06-21;1118,85;Aprovado
CA00283;EQ00518;LB022;2024-02-20 00:00:00;2024-08-19;1185,8;Aprovado
CA00284;EQ00731;LB003;2026-07-26 00:00:00;2024-05-20;1301,66;Aprovado
CA00285;EQ00895;LB007;2025-07-16 00:00:00;2024-12-04;1177,53;Ajustado
CA00286;EQ00427;LB020;2026-01-12 00:00:00;2024-04-05;1033,09;Aprovado
CA00287;EQ01067;LB025;2026-04-04 00:00:00;2025-02-10;721,44;Reprovado
CA00288;EQ01149;LB001;2024-02-19 00:00:00;2025-05-13;1128,6;Ajustado
CA00289;EQ00432;LB020;2024-07-05 00:00:00;2024-04-28;967,34;Aprovado
CA00290;EQ00323;LB007;2024-01-13 00:00:00;2024-04-28;443,94;Aprovado
CA00291;EQ00971;LB001;2026-06-15 00:00:00;2024-11-09;1046,38;Aprovado
CA00292;EQ01247;LB001;2025-09-15 00:00:00;2026-06-30;1040,89;Aprovado
CA00293;EQ01134;LB020;2024-08-11 00:00:00;2024-02-08;266,05;Aprovado
CA00294;EQ00046;LB025;2026-07-17 00:00:00;2024-06-13;1149,61;Aprovado
CA00295;EQ00765;LB006;2025-12-20 00:00:00;2026-06-19;1055,74;Reprovado
CA00296;EQ00055;LB019;2024-02-19 00:00:00;2024-04-11;1430,93;Aprovado
CA00297;EQ00717;LB024;2025-10-09 00:00:00;2026-02-01;532,92;Aprovado
CA00298;EQ01301;LB011;2025-08-31 00:00:00;2025-05-07;719,49;Aprovado
CA00299;EQ00596;LB024;2025-09-08 00:00:00;2026-04-13;159,41;Aprovado
CA00300;EQ00901;LB013;2025-10-11 00:00:00;2024-09-25;1081,79;Aprovado
CA00301;EQ00235;LB019;2024-03-22 00:00:00;2024-03-25;1333,29;Aprovado
CA00302;EQ00845;LB015;2024-11-07 00:00:00;2026-05-24;929,62;Aprovado
CA00303;EQ00566;LB002;2025-05-22 00:00:00;2025-12-23;549,54;Aprovado
CA00304;EQ00274;LB019;2025-02-25 00:00:00;2026-07-20;1114,99;Aprovado
CA00305;EQ00187;LB007;2025-10-29 00:00:00;2025-07-29;190,11;Aprovado
