nao_conformidade_id;calibracao_id;tipo;criticidade;status
NC00125;CA01735;Dano físico;Média;Em análise
NC00126;CA01065;Dano físico;Média;Aberta
NC00127;CA06142;Certificado incompleto;Alta;Em análise
NC00128;CA00965;Dano físico;Média;Tratada
NC00129;CA03288;Fora de tolerância;Baixa;Em análise
NC00130;CA05086;Dano físico;Alta;Tratada
NC00131;CA05361;Dano físico;Média;Tratada
NC00132;CA06411;Dano físico;Alta;Aberta
NC00133;CA05701;Dano físico;Baixa;Em análise
NC00134;CA06438;Fora de tolerância;Média;Aberta
NC00135;CA00494;Fora de tolerância;Alta;Aberta
NC00136;CA00993;Certificado incompleto;Média;Tratada
NC00137;CA03106;Certificado incompleto;Baixa;Aberta
NC00138;CA04243;Fora de tolerância;Alta;Aberta
NC00139;CA05310;Certificado incompleto;Baixa;Em análise
NC00140;CA03186;Certificado incompleto;Baixa;Em análise
NC00141;CA06518;Certificado incompleto;Baixa;Tratada
NC00142;CA05268;Fora de tolerância;Baixa;Aberta
NC00143;CA02135;Fora de tolerância;Alta;Aberta
NC00144;CA04266;Dano físico;Média;Aberta
NC00145;CA05446;Certificado incompleto;Alta;Aberta
NC00146;CA01802;Fora de tolerância;Média;Tratada
NC00147;CA01872;Certificado incompleto;Baixa;Tratada
NC00148;CA04695;Fora de tolerância;Baixa;Tratada
NC00149;CA02360;Certificado incompleto;Alta;Aberta
NC00150;CA00245;Fora de tolerância;Baixa;Aberta
NC00151;CA02571;Fora de tolerância;Média;Aberta
NC00152;CA05586;Dano físico;Alta;Tratada
NC00153;CA04126;Dano físico;Média;Aberta
NC00154;CA05353;Dano físico;Baixa;Em análise
NC00155;CA01951;Certificado incompleto;Baixa;Tratada
NC00156;CA01547;Certificado incompleto;Média;Em análise
NC00157;CA05030;Dano físico;Média;Em análise
NC00158;CA01975;Fora de tolerância;Baixa;Aberta
NC00159;CA01441;Dano físico;Alta;Em análise
NC00160;CA06383;Dano físico;Baixa;Em análise
NC00161;CA00697;Fora de tolerância;Alta;Aberta
NC00162;CA03355;Certificado incompleto;Média;Em análise
NC00163;CA04367;Fora de tolerância;Alta;Aberta
NC00164;CA06917;Dano físico;Baixa;Tratada
NC00165;CA05874;Fora de tolerância;Alta;Aberta
NC00166;CA04998;Certificado incompleto;Média;Tratada
NC00167;CA03260;Dano físico;Média;Tratada
NC00168;CA06524;Dano físico;Alta;Tratada
NC00169;CA06525;Fora de tolerância;Alta;Em análise
NC00170;CA02946;Dano físico;Média;Tratada
NC00171;CA01246;Fora de tolerância;Baixa;Aberta
NC00172;CA02743;Fora de tolerância;Baixa;Tratada
NC00173;CA00188;Fora de tolerância;Média;Tratada
NC00174;CA00884;Certificado incompleto;Média;Aberta
NC00175;CA05916;Dano físico;Média;Tratada
NC00176;CA05670;Certificado incompleto;Alta;Tratada
NC00177;CA02676;Certificado incompleto;Baixa;Tratada
NC00178;CA02616;Fora de tolerância;Média;Aberta
NC00179;CA00654;Fora de tolerância;Baixa;Em análise
NC00180;CA04995;Certificado incompleto;Baixa;Tratada
NC00181;CA07050;Dano físico;Média;Em análise
NC00182;CA05163;Certificado incompleto;Média;Aberta
NC00183;CA01226;Dano físico;Média;Em análise
NC00184;CA00922;Fora de tolerância;Baixa;Em análise
NC00185;CA05167;Certificado incompleto;Baixa;Aberta
NC00186;CA02507;Fora de tolerância;Baixa;Tratada
NC00187;CA05833;Dano físico;Média;Tratada
NC00188;CA02750;Certificado incompleto;Média;Em análise
NC00189;CA00454;Dano físico;Alta;Aberta
NC00190;CA01249;Fora de tolerância;Média;Em análise
NC00191;CA03660;Fora de tolerância;Alta;Em análise
NC00192;CA00470;Certificado incompleto;Alta;Aberta
NC00193;CA06367;Certificado incompleto;Baixa;Aberta
NC00194;CA02237;Dano físico;Média;Tratada
NC00195;CA07078;Dano físico;Alta;Tratada
NC00196;CA06216;Dano físico;Baixa;Aberta
NC00197;CA02108;Certificado incompleto;Média;Tratada
NC00198;CA02857;Certificado incompleto;Alta;Em análise
NC00199;CA04702;Dano físico;Média;Aberta
NC00200;CA05041;Fora de tolerância;Alta;Tratada
NC00201;CA05283;Fora de tolerância;Alta;Aberta
NC00202;CA06812;Dano físico;Alta;Tratada
NC00203;CA02951;Certificado incompleto;Alta;Em análise
NC00204;CA01719;Certificado incompleto;Alta;Tratada
NC00205;CA05085;Fora de tolerância;Média;Em análise
NC00206;CA05947;Fora de tolerância;Alta;Em análise
NC00207;CA03823;Certificado incompleto;Média;Tratada
NC00208;CA01577;Certificado incompleto;Alta;Aberta
NC00209;CA01249;Fora de tolerância;Baixa;Tratada
NC00210;CA02338;Dano físico;Média;Aberta
NC00211;CA06255;Certificado incompleto;Média;Aberta
NC00212;CA04637;Certificado incompleto;Média;Tratada
NC00213;CA04924;Dano físico;Média;Em análise
NC00214;CA01617;Fora de tolerância;Média;Aberta
NC00215;CA01871;Fora de tolerância;Média;Em análise
NC00216;CA04793;Certificado incompleto;Média;Aberta
NC00217;CA05793;Certificado incompleto;Alta;Tratada
NC00218;CA04445;Certificado incompleto;Alta;Tratada
NC00219;CA04657;Fora de tolerância;Média;Em análise
NC00220;CA02335;Fora de tolerância;Alta;Tratada
NC00221;CA02154;Dano físico;Baixa;Tratada
NC00222;CA05997;Certificado incompleto;Alta;Em análise
NC00223;CA00403;Dano físico;Alta;Em análise
NC00224;CA06452;Dano físico;Alta;Tratada
NC00225;CA00625;Fora de tolerância;Alta;Em análise
NC00226;CA00598;Fora de tolerância;Média;Aberta
NC00227;CA01778;Dano físico;Alta;Em análise
NC00228;CA07056;Fora de tolerância;Alta;Em análise
NC00229;CA04291;Fora de tolerância;Baixa;Aberta
NC00230;CA05728;Certificado incompleto;Baixa;Aberta
NC00231;CA06866;Certificado incompleto;Baixa;Em análise
NC00232;CA02288;Fora de tolerância;Baixa;Aberta
NC00233;CA02723;Dano físico;Média;Em análise
NC00234;CA04141;Dano físico;Média;Em análise
NC00235;CA02057;Fora de tolerância;Baixa;Em análise
NC00236;CA01796;Dano físico;Baixa;Tratada
NC00237;CA05227;Fora de tolerância;Média;Aberta
NC00238;CA03534;Dano físico;Alta;Aberta
NC00239;CA02565;Certificado incompleto;Alta;Aberta
NC00240;CA05955;Dano físico;Baixa;Tratada
NC00241;CA05472;Dano físico;Baixa;Tratada
NC00242;CA04898;Fora de tolerância;Alta;Tratada
NC00243;CA05850;Dano físico;Média;Tratada
NC00244;CA01995;Fora de tolerância;Alta;Em análise
NC00245;CA01922;Dano físico;Alta;Aberta
NC00246;CA06079;Dano físico;Alta;Tratada
NC00247;CA06628;Dano físico;Média;Em análise
NC00248;CA03513;Dano físico;Média;Em análise
NC00249;CA06544;Dano físico;Baixa;Tratada
NC00250;CA00139;Certificado incompleto;Média;Aberta
NC00251;CA01161;Fora de tolerância;Alta;Em análise
NC00252;CA01369;Certificado incompleto;Média;Em análise
NC00253;CA02599;Fora de tolerância;Média;Aberta
NC00254;CA07187;Fora de tolerância;Baixa;Aberta
NC00255;CA00505;Certificado incompleto;Média;Aberta
NC00256;CA04060;Certificado incompleto;Alta;Tratada
NC00257;CA01528;Fora de tolerância;Baixa;Aberta
NC00258;CA05507;Fora de tolerância;Baixa;Em análise
NC00259;CA03929;Fora de tolerância;Alta;Em análise
NC00260;CA05571;Certificado incompleto;Alta;Aberta
NC00261;CA01636;Fora de tolerância;Alta;Aberta
NC00262;CA04438;Certificado incompleto;Baixa;Em análise
NC00263;CA05420;Dano físico;Baixa;Em análise
NC00264;CA04950;Fora de tolerância;Baixa;Aberta
NC00265;CA04331;Dano físico;Alta;Em análise
NC00266;CA01410;Fora de tolerância;Baixa;Em análise
NC00267;CA00741;Dano físico;Média;Em análise
NC00268;CA02878;Fora de tolerância;Baixa;Aberta
NC00269;CA04756;Dano físico;Baixa;Aberta
NC00270;CA04465;Dano físico;Média;Em análise
NC00271;CA01962;Dano físico;Média;Tratada
NC00272;CA03563;Dano físico;Baixa;Aberta
NC00273;CA06125;Fora de tolerância;Baixa;Aberta
NC00274;CA02604;Dano físico;Alta;Aberta
NC00275;CA06346;Dano físico;Baixa;Tratada
NC00276;CA04888;Dano físico;Média;Em análise
NC00277;CA02919;Dano físico;Alta;Tratada
NC00278;CA04132;Fora de tolerância;Baixa;Em análise
NC00279;CA05330;Fora de tolerância;Alta;Em análise
NC00280;CA00365;Fora de tolerância;Baixa;Em análise
NC00281;CA01662;Dano físico;Alta;Tratada
NC00282;CA04448;Dano físico;Alta;Em análise
NC00283;CA04489;Fora de tolerância;Baixa;Tratada
NC00284;CA00247;Certificado incompleto;Alta;Aberta
NC00285;CA03860;Dano físico;Alta;Tratada
NC00286;CA02649;Fora de tolerância;Alta;Aberta
NC00287;CA02657;Certificado incompleto;Média;Tratada
NC00288;CA06125;Certificado incompleto;Baixa;Tratada
NC00289;CA00804;Dano físico;Média;Em análise
NC00290;CA03398;Fora de tolerância;Baixa;Tratada
NC00291;CA01027;Certificado incompleto;Média;Aberta
NC00292;CA01720;Fora de tolerância;Baixa;Aberta
NC00293;CA01416;Dano físico;Baixa;Tratada
NC00294;CA04352;Certificado incompleto;Média;Aberta
NC00295;CA04859;Dano físico;Baixa;Em análise
NC00296;CA07106;Certificado incompleto;Alta;Tratada
NC00297;CA02172;Fora de tolerância;Baixa;Em análise
NC00298;CA04266;Dano físico;Média;Aberta
NC00299;CA04497;Dano físico;Alta;Aberta
NC00300;CA04510;Certificado incompleto;Alta;Em análise
NC00301;CA00213;Dano físico;Baixa;Em análise
NC00302;CA05226;Dano físico;Baixa;Tratada
NC00303;CA02248;Dano físico;Baixa;Em análise
NC00304;CA03270;Fora de tolerância;Média;Aberta
NC00305;CA02448;Fora de tolerância;Baixa;Tratada
NC00306;CA02880;Certificado incompleto;Baixa;Aberta
NC00307;CA05308;Certificado incompleto;Alta;Em análise
NC00308;CA03498;Fora de tolerância;Baixa;Tratada
NC00309;CA04220;Fora de tolerância;Baixa;Em análise
NC00310;CA01695;Dano físico;Média;Tratada
NC00311;CA05808;Dano físico;Baixa;Tratada
NC00312;CA02689;Dano físico;Média;Tratada
NC00313;CA00785;Fora de tolerância;Baixa;Aberta
NC00314;CA04397;Dano físico;Alta;Aberta
NC00315;CA01095;Dano físico;Baixa;Tratada
NC00316;CA02765;Fora de tolerância;Baixa;Tratada
NC00317;CA02506;Fora de tolerância;Média;Aberta
NC00318;CA04346;Fora de tolerância;Média;Aberta
NC00319;CA00426;Certificado incompleto;Média;Tratada
NC00320;CA00517;Dano físico;Alta;Aberta
NC00321;CA06460;Certificado incompleto;Baixa;Tratada
NC00322;CA05607;Dano físico;Baixa;Aberta
NC00323;CA03014;Dano físico;Média;Aberta
NC00324;CA02794;Dano físico;Média;Em análise
NC00325;CA05755;Certificado incompleto;Alta;Tratada
NC00326;CA01813;Fora de tolerância;Média;Aberta
NC00327;CA01833;Fora de tolerância;Baixa;Tratada
NC00328;CA04507;Fora de tolerância;Alta;Tratada
NC00329;CA04449;Certificado incompleto;Média;Em análise
NC00330;CA01403;Dano físico;Baixa;Em análise
NC00331;CA04070;Fora de tolerância;Média;Tratada
NC00332;CA04590;Fora de tolerância;Baixa;Tratada
NC00333;CA01189;Dano físico;Média;Tratada
NC00334;CA02806;Fora de tolerância;Alta;Tratada
NC00335;CA04670;Certificado incompleto;Média;Tratada
NC00336;CA02479;Certificado incompleto;Média;Em análise
NC00337;CA07026;Fora de tolerância;Baixa;Aberta
NC00338;CA01864;Dano físico;Baixa;Aberta
NC00339;CA04956;Certificado incompleto;Alta;Aberta
NC00340;CA01857;Dano físico;Baixa;Em análise
NC00341;CA03256;Dano físico;Baixa;Em análise
NC00342;CA06870;Certificado incompleto;Alta;Tratada
NC00343;CA02979;Certificado incompleto;Baixa;Tratada
NC00344;CA01103;Certificado incompleto;Baixa;Aberta
NC00345;CA03121;Dano físico;Baixa;Tratada
NC00346;CA00619;Certificado incompleto;Alta;Em análise
NC00347;CA05701;Dano físico;Média;Em análise
NC00348;CA00229;Dano físico;Alta;Aberta
NC00349;CA02311;Fora de tolerância;Média;Tratada
NC00350;CA03633;Dano físico;Média;Tratada
NC00351;CA01956;Certificado incompleto;Baixa;Aberta
NC00352;CA05320;Certificado incompleto;Baixa;Aberta
NC00353;CA00512;Fora de tolerância;Média;Aberta
NC00354;CA06376;Certificado incompleto;Alta;Tratada
NC00355;CA04037;Fora de tolerância;Alta;Tratada
NC00356;CA02576;Certificado incompleto;Alta;Em análise
NC00357;CA03214;Fora de tolerância;Alta;Aberta
NC00358;CA03370;Fora de tolerância;Baixa;Em análise
NC00359;CA06451;Fora de tolerância;Alta;Aberta
NC00360;CA05842;Certificado incompleto;Baixa;Aberta
NC00361;CA02462;Certificado incompleto;Alta;Aberta
NC00362;CA00953;Dano físico;Baixa;Em análise
NC00363;CA00294;Certificado incompleto;Alta;Aberta
NC00364;CA05631;Dano físico;Baixa;Tratada
NC00365;CA00448;Dano físico;Alta;Em análise
NC00366;CA02524;Dano físico;Média;Tratada
NC00367;CA04958;Fora de tolerância;Baixa;Tratada
NC00368;CA04733;Dano físico;Média;Tratada
NC00369;CA02931;Dano físico;Alta;Em análise
NC00370;CA03700;Certificado incompleto;Média;Em análise
NC00371;CA06299;Dano físico;Alta;Tratada
NC00372;CA04042;Certificado incompleto;Média;Tratada
NC00373;CA05372;Fora de tolerância;Baixa;Tratada
NC00374;CA00210;Certificado incompleto;Baixa;Tratada
NC00375;CA05959;Fora de tolerância;Baixa;Em análise
NC00376;CA04106;Fora de tolerância;Média;Tratada
NC00377;CA06220;Fora de tolerância;Baixa;Tratada
NC00378;CA04193;Certificado incompleto;Média;Em análise
NC00379;CA00382;Dano físico;Média;Em análise
NC00380;CA02975;Fora de tolerância;Baixa;Em análise
NC00381;CA05490;Fora de tolerância;Média;Aberta
NC00382;CA07044;Certificado incompleto;Média;Aberta
NC00383;CA03664;Certificado incompleto;Baixa;Em análise
NC00384;CA04392;Dano físico;Alta;Em análise
NC00385;CA01208;Fora de tolerância;Alta;Aberta
NC00386;CA03577;Certificado incompleto;Média;Aberta
NC00387;CA05375;Certificado incompleto;Alta;Aberta
NC00388;CA03807;Dano físico;Média;Tratada
NC00389;CA06342;Certificado incompleto;Baixa;Tratada
NC00390;CA06553;Certificado incompleto;Média;Tratada
NC00391;CA00480;Dano físico;Alta;Tratada
NC00392;CA02389;Certificado incompleto;Alta;Em análise
NC00393;CA00167;Dano físico;Baixa;Aberta
NC00394;CA05786;Dano físico;Média;Tratada
NC00395;CA02821;Certificado incompleto;Baixa;Em análise
NC00396;CA01257;Fora de tolerância;Alta;Em análise
NC00397;CA05938;Dano físico;Alta;Em análise
NC00398;CA01067;Fora de tolerância;Média;Tratada
NC00399;CA02414;Dano físico;Alta;Em análise
NC00400;CA06645;Dano físico;Baixa;Em análise
NC00401;CA02076;Fora de tolerância;Alta;Aberta
NC00402;CA04859;Certificado incompleto;Alta;Tratada
NC00403;CA04306;Dano físico;Alta;Aberta
NC00404;CA00316;Fora de tolerância;Baixa;Aberta
NC00405;CA05327;Certificado incompleto;Média;Aberta
NC00406;CA03322;Fora de tolerância;Alta;Aberta
NC00407;CA02218;Fora de tolerância;Alta;Tratada
NC00408;CA06399;Certificado incompleto;Média;Em análise
NC00409;CA01915;Dano físico;Alta;Em análise
NC00410;CA01002;Dano físico;Baixa;Em análise
NC00411;CA04508;Dano físico;Baixa;Tratada
NC00412;CA05303;Certificado incompleto;Alta;Aberta
NC00413;CA00835;Certificado incompleto;Alta;Em análise
NC00414;CA05668;Certificado incompleto;Alta;Aberta
NC00415;CA02933;Dano físico;Alta;Tratada
NC00416;CA06649;Dano físico;Baixa;Aberta
NC00417;CA05731;Dano físico;Baixa;Tratada
NC00418;CA05367;Fora de tolerância;Baixa;Tratada
NC00419;CA06377;Dano físico;Média;Em análise
NC00420;CA03681;Dano físico;Alta;Tratada
NC00421;CA01143;Dano físico;Alta;Aberta
NC00422;CA01575;Dano físico;Baixa;Em análise
NC00423;CA01709;Fora de tolerância;Baixa;Em análise
NC00424;CA04675;Dano físico;Baixa;Aberta
NC00425;CA03704;Fora de tolerância;Baixa;Aberta
NC00426;CA05724;Certificado incompleto;Média;Aberta
NC00427;CA05834;Fora de tolerância;Alta;Em análise
NC00428;CA05573;Fora de tolerância;Alta;Tratada
NC00429;CA01372;Dano físico;Baixa;Em análise
NC00430;CA04448;Dano físico;Alta;Tratada
NC00431;CA06357;Dano físico;Alta;Tratada
NC00432;CA06104;Certificado incompleto;Média;Tratada
NC00433;CA00539;Dano físico;Baixa;Tratada
NC00434;CA04375;Fora de tolerância;Média;Em análise
NC00435;CA02709;Certificado incompleto;Média;Aberta
NC00436;CA03722;Fora de tolerância;Baixa;Tratada
NC00437;CA07068;Fora de tolerância;Alta;Tratada
NC00438;CA03984;Fora de tolerância;Média;Aberta
NC00439;CA05121;Dano físico;Baixa;Em análise
NC00440;CA00770;Fora de tolerância;Alta;Em análise
NC00441;CA01587;Fora de tolerância;Alta;Aberta
NC00442;CA02670;Certificado incompleto;Baixa;Aberta
NC00443;CA07067;Certificado incompleto;Baixa;Em análise
NC00444;CA06180;Fora de tolerância;Baixa;Aberta
NC00445;CA04601;Certificado incompleto;Média;Em análise
NC00446;CA06182;Dano físico;Baixa;Em análise
NC00447;CA01249;Certificado incompleto;Alta;Tratada
NC00448;CA04577;Dano físico;Média;Aberta
NC00449;CA03707;Certificado incompleto;Média;Aberta
NC00450;CA05911;Certificado incompleto;Média;Aberta
NC00451;CA05023;Certificado incompleto;Alta;Aberta
NC00452;CA05748;Dano físico;Média;Tratada
NC00453;CA00526;Dano físico;Média;Em análise
NC00454;CA05791;Dano físico;Baixa;Aberta
NC00455;CA06912;Certificado incompleto;Baixa;Aberta
NC00456;CA01140;Certificado incompleto;Média;Aberta
NC00457;CA00565;Dano físico;Alta;Em análise
NC00458;CA03896;Dano físico;Alta;Tratada
NC00459;CA01571;Dano físico;Média;Aberta
NC00460;CA02418;Certificado incompleto;Média;Tratada
NC00461;CA05946;Certificado incompleto;Média;Tratada
NC00462;CA04222;Certificado incompleto;Média;Tratada
NC00463;CA03855;Fora de tolerância;Baixa;Em análise
NC00464;CA03567;Certificado incompleto;Baixa;Aberta
NC00465;CA03226;Fora de tolerância;Média;Tratada
NC00466;CA05885;Dano físico;Alta;Em análise
NC00467;CA00071;Dano físico;Média;Tratada
NC00468;CA04444;Fora de tolerância;Baixa;Em análise
NC00469;CA06793;Dano físico;Alta;Aberta
NC00470;CA05146;Certificado incompleto;Baixa;Tratada
NC00471;CA02548;Dano físico;Alta;Aberta
NC00472;CA06609;Fora de tolerância;Baixa;Tratada
NC00473;CA05963;Fora de tolerância;Baixa;Tratada
NC00474;CA02533;Fora de tolerância;Baixa;Aberta
NC00475;CA03228;Certificado incompleto;Baixa;Em análise
NC00476;CA02916;Dano físico;Alta;Tratada
NC00477;CA00119;Dano físico;Alta;Tratada
NC00478;CA00764;Fora de tolerância;Baixa;Aberta
NC00479;CA06544;Certificado incompleto;Média;Tratada
NC00480;CA04724;Fora de tolerância;Alta;Tratada
NC00481;CA05020;Fora de tolerância;Alta;Tratada
NC00482;CA05451;Certificado incompleto;Alta;Em análise
NC00483;CA04968;Fora de tolerância;Média;Tratada
NC00484;CA04842;Dano físico;Baixa;Aberta
NC00485;CA05051;Certificado incompleto;Baixa;Tratada
NC00486;CA01707;Certificado incompleto;Média;Aberta
NC00487;CA03640;Fora de tolerância;Alta;Em análise
NC00488;CA01393;Fora de tolerância;Média;Aberta
NC00489;CA02917;Fora de tolerância;Média;Tratada
NC00490;CA03985;Certificado incompleto;Alta;Aberta
NC00491;CA00702;Dano físico;Alta;Em análise
NC00492;CA04491;Certificado incompleto;Alta;Aberta
NC00493;CA01438;Fora de tolerância;Alta;Em análise
NC00494;CA05439;Dano físico;Alta;Aberta
NC00495;CA02944;Dano físico;Baixa;Aberta
NC00496;CA03734;Certificado incompleto;Alta;Aberta
NC00497;CA04431;Fora de tolerância;Média;Em análise
NC00498;CA01576;Dano físico;Alta;Tratada
NC00499;CA01351;Dano físico;Alta;Aberta
NC00500;CA04726;Dano físico;Baixa;Aberta
NC00501;CA06786;Fora de tolerância;Baixa;Aberta
NC00502;CA02163;Dano físico;Média;Em análise
NC00503;CA02928;Certificado incompleto;Alta;Tratada
NC00504;CA05204;Fora de tolerância;Média;Aberta
NC00505;CA00367;Fora de tolerância;Baixa;Em análise
NC00506;CA04814;Dano físico;Média;Aberta
NC00507;CA05167;Certificado incompleto;Baixa;Em análise
NC00508;CA05439;Fora de tolerância;Baixa;Aberta
NC00509;CA03972;Certificado incompleto;Baixa;Em análise
NC00510;CA00389;Fora de tolerância;Média;Em análise
NC00511;CA05588;Fora de tolerância;Alta;Em análise
NC00512;CA03565;Fora de tolerância;Alta;Aberta
NC00513;CA01470;Certificado incompleto;Alta;Em análise
NC00514;CA01614;Fora de tolerância;Alta;Em análise
NC00515;CA05857;Dano físico;Alta;Em análise
NC00516;CA04100;Certificado incompleto;Baixa;Aberta
NC00517;CA05284;Dano físico;Baixa;Em análise
