equipamento_id;tipo;unidade;criticidade;periodicidade_dias
EQ00074;Micrômetro;Jaboticabal;Alta;365
EQ00075;Paquímetro;Jaboticabal;Baixa;180
EQ00076;Paquímetro;Guarulhos;Baixa;180
EQ00077;Balança;Joinville;Média;365
EQ00078;Paquímetro;Guarulhos;Baixa;180
EQ00079;Balança;Joinville;Média;90
EQ00080;Balança;Jaboticabal;Média;365
EQ00081;Micrômetro;Guarulhos;Média;365
EQ00082;Manômetro;Joinville;Alta;365
EQ00083;Termômetro;Jaboticabal;Média;365
EQ00084;Torquímetro;Joinville;Média;90
EQ00085;Micrômetro;Jaboticabal;Média;180
EQ00086;Paquímetro;Guarulhos;Baixa;90
EQ00087;Manômetro;Guarulhos;Baixa;180
EQ00088;Termômetro;Joinville;Baixa;365
EQ00089;Termômetro;Guarulhos;Média;90
EQ00090;Paquímetro;Joinville;Baixa;365
EQ00091;Manômetro;Joinville;Baixa;90
EQ00092;Torquímetro;Jaboticabal;Média;365
EQ00093;Micrômetro;Joinville;Média;180
EQ00094;Manômetro;Jaboticabal;Média;365
EQ00095;Manômetro;Joinville;Baixa;180
EQ00096;Manômetro;Joinville;Baixa;180
EQ00097;Paquímetro;Guarulhos;Baixa;90
EQ00098;Torquímetro;Jaboticabal;Baixa;365
EQ00099;Manômetro;Jaboticabal;Média;180
EQ00100;Torquímetro;Jaboticabal;Média;90
EQ00101;Micrômetro;Joinville;Média;90
EQ00102;Balança;Guarulhos;Média;180
EQ00103;Balança;Guarulhos;Média;90
EQ00104;Manômetro;Guarulhos;Média;365
EQ00105;Micrômetro;Guarulhos;Média;365
EQ00106;Torquímetro;Joinville;Alta;365
EQ00107;Manômetro;Jaboticabal;Média;90
EQ00108;Manômetro;Joinville;Alta;180
EQ00109;Paquímetro;Jaboticabal;Média;180
EQ00110;Balança;Joinville;Alta;90
EQ00111;Paquímetro;Joinville;Média;180
EQ00112;Termômetro;Jaboticabal;Alta;180
EQ00113;Torquímetro;Jaboticabal;Baixa;180
EQ00114;Termômetro;Jaboticabal;Baixa;180
EQ00115;Paquímetro;Jaboticabal;Alta;180
EQ00116;Manômetro;Guarulhos;Baixa;180
EQ00117;Manômetro;Jaboticabal;Alta;180
EQ00118;Paquímetro;Joinville;Alta;365
EQ00119;Torquímetro;Jaboticabal;Baixa;365
EQ00120;Manômetro;Guarulhos;Alta;180
EQ00121;Micrômetro;Jaboticabal;Média;90
EQ00122;Termômetro;Jaboticabal;Baixa;365
EQ00123;Balança;Guarulhos;Média;365
EQ00124;Torquímetro;Guarulhos;Baixa;90
EQ00125;Balança;Joinville;Alta;365
EQ00126;Termômetro;Joinville;Baixa;180
EQ00127;Paquímetro;Jaboticabal;Média;90
EQ00128;Torquímetro;Jaboticabal;Alta;365
EQ00129;Termômetro;Guarulhos;Média;180
EQ00130;Paquímetro;Guarulhos;Baixa;365
EQ00131;Torquímetro;Guarulhos;Alta;180
EQ00132;Termômetro;Guarulhos;Média;90
EQ00133;Balança;Jaboticabal;Média;365
EQ00134;Paquímetro;Joinville;Média;180
EQ00135;Torquímetro;Jaboticabal;Alta;90
EQ00136;Manômetro;Guarulhos;Alta;365
EQ00137;Paquímetro;Guarulhos;Baixa;180
EQ00138;Micrômetro;Jaboticabal;Alta;365
EQ00139;Torquímetro;Jaboticabal;Média;90
EQ00140;Manômetro;Joinville;Média;365
EQ00141;Manômetro;Guarulhos;Baixa;90
EQ00142;Torquímetro;Guarulhos;Média;365
EQ00143;Paquímetro;Guarulhos;Média;365
EQ00144;Termômetro;Jaboticabal;Média;365
EQ00145;Micrômetro;Guarulhos;Média;90
EQ00146;Torquímetro;Guarulhos;Média;365
EQ00147;Paquímetro;Guarulhos;Média;90
EQ00148;Paquímetro;Jaboticabal;Baixa;365
EQ00149;Manômetro;Guarulhos;Média;365
EQ00150;Manômetro;Guarulhos;Média;180
EQ00151;Termômetro;Guarulhos;Média;365
EQ00152;Torquímetro;Jaboticabal;Alta;180
EQ00153;Termômetro;Guarulhos;Baixa;90
EQ00154;Termômetro;Jaboticabal;Média;90
EQ00155;Micrômetro;Guarulhos;Baixa;90
EQ00156;Torquímetro;Joinville;Baixa;90
EQ00157;Micrômetro;Jaboticabal;Média;90
EQ00158;Micrômetro;Guarulhos;Alta;365
EQ00159;Balança;Jaboticabal;Média;365
EQ00160;Balança;Joinville;Baixa;90
EQ00161;Termômetro;Guarulhos;Alta;90
EQ00162;Termômetro;Joinville;Baixa;180
EQ00163;Manômetro;Joinville;Média;90
EQ00164;Termômetro;Guarulhos;Média;180
EQ00165;Torquímetro;Guarulhos;Baixa;365
EQ00166;Micrômetro;Joinville;Média;180
EQ00167;Termômetro;Jaboticabal;Alta;180
EQ00168;Paquímetro;Jaboticabal;Baixa;365
EQ00169;Micrômetro;Joinville;Média;180
EQ00170;Torquímetro;Guarulhos;Média;90
EQ00171;Manômetro;Jaboticabal;Alta;365
EQ00172;Torquímetro;Guarulhos;Média;90
EQ00173;Balança;Guarulhos;Baixa;180
EQ00174;Termômetro;Jaboticabal;Alta;180
EQ00175;Balança;Guarulhos;Média;90
EQ00176;Torquímetro;Jaboticabal;Média;90
EQ00177;Paquímetro;Jaboticabal;Média;180
EQ00178;Manômetro;Jaboticabal;Média;180
EQ00179;Manômetro;Jaboticabal;Baixa;365
EQ00180;Balança;Joinville;Média;180
EQ00181;Manômetro;Joinville;Média;90
EQ00182;Balança;Jaboticabal;Baixa;365
EQ00183;Micrômetro;Guarulhos;Média;365
EQ00184;Micrômetro;Joinville;Média;90
EQ00185;Termômetro;Guarulhos;Alta;90
EQ00186;Torquímetro;Guarulhos;Média;90
EQ00187;Torquímetro;Jaboticabal;Baixa;180
EQ00188;Termômetro;Jaboticabal;Baixa;365
EQ00189;Torquímetro;Jaboticabal;Baixa;180
EQ00190;Micrômetro;Guarulhos;Baixa;180
EQ00191;Manômetro;Guarulhos;Média;180
EQ00192;Torquímetro;Joinville;Média;180
EQ00193;Paquímetro;Jaboticabal;Média;90
EQ00194;Balança;Guarulhos;Média;365
EQ00195;Balança;Jaboticabal;Alta;90
EQ00196;Termômetro;Jaboticabal;Baixa;90
EQ00197;Micrômetro;Guarulhos;Baixa;180
EQ00198;Manômetro;Jaboticabal;Alta;90
EQ00199;Manômetro;Jaboticabal;Média;365
EQ00200;Paquímetro;Jaboticabal;Média;365
EQ00201;Manômetro;Jaboticabal;Média;365
EQ00202;Termômetro;Joinville;Baixa;180
EQ00203;Manômetro;Jaboticabal;Média;90
EQ00204;Manômetro;Joinville;Baixa;365
EQ00205;Termômetro;Jaboticabal;Média;90
EQ00206;Termômetro;Jaboticabal;Média;365
EQ00207;Termômetro;Joinville;Alta;365
EQ00208;Micrômetro;Guarulhos;Média;180
EQ00209;Balança;Jaboticabal;Baixa;365
EQ00210;Micrômetro;Guarulhos;Média;365
EQ00211;Paquímetro;Jaboticabal;Alta;180
EQ00212;Torquímetro;Jaboticabal;Média;365
EQ00213;Paquímetro;Guarulhos;Média;365
EQ00214;Micrômetro;Guarulhos;Baixa;180
EQ00215;Paquímetro;Guarulhos;Alta;90
EQ00216;Manômetro;Jaboticabal;Alta;180
EQ00217;Micrômetro;Guarulhos;Média;90
EQ00218;Micrômetro;Guarulhos;Baixa;365
EQ00219;Micrômetro;Joinville;Baixa;365
EQ00220;Termômetro;Joinville;Baixa;365
EQ00221;Paquímetro;Joinville;Alta;90
EQ00222;Paquímetro;Jaboticabal;Baixa;90
EQ00223;Micrômetro;Joinville;Alta;180
EQ00224;Termômetro;Guarulhos;Média;180
EQ00225;Balança;Joinville;Média;365
EQ00226;Torquímetro;Guarulhos;Baixa;365
EQ00227;Torquímetro;Joinville;Baixa;180
EQ00228;Manômetro;Joinville;Média;365
EQ00229;Paquímetro;Jaboticabal;Alta;365
EQ00230;Torquímetro;Jaboticabal;Alta;180
EQ00231;Termômetro;Guarulhos;Média;90
EQ00232;Paquímetro;Jaboticabal;Baixa;180
EQ00233;Termômetro;Joinville;Alta;365
EQ00234;Balança;Joinville;Baixa;365
EQ00235;Manômetro;Guarulhos;Média;90
EQ00236;Manômetro;Joinville;Baixa;90
EQ00237;Paquímetro;Joinville;Baixa;180
EQ00238;Paquímetro;Joinville;Alta;180
EQ00239;Micrômetro;Joinville;Média;365
EQ00240;Balança;Jaboticabal;Alta;90
EQ00241;Manômetro;Jaboticabal;Baixa;90
EQ00242;Paquímetro;Joinville;Média;180
EQ00243;Micrômetro;Jaboticabal;Baixa;90
EQ00244;Manômetro;Guarulhos;Baixa;180
EQ00245;Manômetro;Joinville;Alta;180
EQ00246;Micrômetro;Joinville;Baixa;365
EQ00247;Paquímetro;Joinville;Baixa;180
EQ00248;Balança;Joinville;Média;365
EQ00249;Micrômetro;Guarulhos;Baixa;90
EQ00250;Paquímetro;Guarulhos;Média;365
EQ00251;Manômetro;Guarulhos;Média;365
EQ00252;Paquímetro;Jaboticabal;Média;180
EQ00253;Micrômetro;Guarulhos;Média;180
EQ00254;Torquímetro;Joinville;Baixa;90
EQ00255;Torquímetro;Jaboticabal;Baixa;90
EQ00256;Micrômetro;Joinville;Alta;180
EQ00257;Paquímetro;Joinville;Média;365
EQ00258;Torquímetro;Joinville;Baixa;180
EQ00259;Paquímetro;Joinville;Média;365
EQ00260;Micrômetro;Guarulhos;Média;365
EQ00261;Balança;Guarulhos;Baixa;90
EQ00262;Torquímetro;Joinville;Alta;180
EQ00263;Paquímetro;Jaboticabal;Baixa;180
EQ00264;Paquímetro;Jaboticabal;Média;365
EQ00265;Manômetro;Guarulhos;Média;90
EQ00266;Torquímetro;Jaboticabal;Baixa;90
EQ00267;Balança;Joinville;Baixa;90
EQ00268;Balança;Guarulhos;Baixa;180
EQ00269;Torquímetro;Guarulhos;Baixa;365
EQ00270;Torquímetro;Guarulhos;Baixa;90
EQ00271;Balança;Jaboticabal;Média;365
EQ00272;Balança;Jaboticabal;Alta;365
EQ00273;Paquímetro;Joinville;Baixa;180
EQ00274;Paquímetro;Joinville;Média;365
EQ00275;Termômetro;Guarulhos;Média;90
EQ00276;Micrômetro;Joinville;Alta;90
EQ00277;Paquímetro;Guarulhos;Média;365
EQ00278;Manômetro;Jaboticabal;Baixa;180
EQ00279;Manômetro;Joinville;Média;180
EQ00280;Micrômetro;Joinville;Alta;180
EQ00281;Termômetro;Jaboticabal;Média;365
EQ00282;Balança;Jaboticabal;Alta;90
EQ00283;Balança;Guarulhos;Baixa;180
EQ00284;Balança;Jaboticabal;Alta;90
EQ00285;Manômetro;Joinville;Média;90
EQ00286;Manômetro;Jaboticabal;Baixa;365
EQ00287;Micrômetro;Jaboticabal;Baixa;180
EQ00288;Balança;Jaboticabal;Média;365
EQ00289;Manômetro;Joinville;Alta;365
EQ00290;Balança;Guarulhos;Baixa;180
EQ00291;Manômetro;Guarulhos;Média;180
EQ00292;Paquímetro;Guarulhos;Alta;365
EQ00293;Micrômetro;Joinville;Média;365
EQ00294;Paquímetro;Joinville;Alta;365
EQ00295;Micrômetro;Guarulhos;Média;90
EQ00296;Micrômetro;Guarulhos;Alta;180
EQ00297;Micrômetro;Jaboticabal;Média;90
EQ00298;Torquímetro;Joinville;Média;365
EQ00299;Paquímetro;Guarulhos;Média;90
EQ00300;Manômetro;Guarulhos;Alta;365
EQ00301;Termômetro;Guarulhos;Alta;90
EQ00302;Paquímetro;Guarulhos;Média;90
EQ00303;Torquímetro;Jaboticabal;Média;365
EQ00304;Balança;Joinville;Alta;365
EQ00305;Termômetro;Jaboticabal;Alta;180
EQ00306;Balança;Jaboticabal;Média;90
EQ00307;Termômetro;Joinville;Média;365
EQ00308;Paquímetro;Guarulhos;Média;365
EQ00309;Micrômetro;Jaboticabal;Alta;180
EQ00310;Balança;Joinville;Alta;365
EQ00311;Termômetro;Guarulhos;Baixa;365
EQ00312;Micrômetro;Joinville;Média;365
EQ00313;Torquímetro;Joinville;Alta;180
EQ00314;Paquímetro;Jaboticabal;Baixa;90
EQ00315;Termômetro;Jaboticabal;Média;365
EQ00316;Balança;Guarulhos;Alta;90
EQ00317;Micrômetro;Jaboticabal;Média;90
EQ00318;Balança;Joinville;Média;90
EQ00319;Manômetro;Joinville;Média;180
EQ00320;Micrômetro;Joinville;Média;365
EQ00321;Termômetro;Joinville;Baixa;90
EQ00322;Paquímetro;Joinville;Alta;180
EQ00323;Torquímetro;Jaboticabal;Alta;180
EQ00324;Manômetro;Jaboticabal;Baixa;365
EQ00325;Micrômetro;Guarulhos;Baixa;365
EQ00326;Termômetro;Jaboticabal;Baixa;90
EQ00327;Micrômetro;Jaboticabal;Alta;365
EQ00328;Paquímetro;Joinville;Média;365
EQ00329;Torquímetro;Joinville;Média;365
EQ00330;Paquímetro;Guarulhos;Baixa;365
EQ00331;Manômetro;Joinville;Média;90
EQ00332;Torquímetro;Jaboticabal;Baixa;180
EQ00333;Torquímetro;Jaboticabal;Baixa;90
EQ00334;Manômetro;Joinville;Média;90
EQ00335;Paquímetro;Guarulhos;Alta;90
EQ00336;Manômetro;Jaboticabal;Média;180
EQ00337;Termômetro;Guarulhos;Média;180
EQ00338;Balança;Joinville;Média;180
EQ00339;Micrômetro;Jaboticabal;Média;180
EQ00340;Torquímetro;Jaboticabal;Média;90
EQ00341;Termômetro;Joinville;Alta;365
EQ00342;Paquímetro;Joinville;Média;90
EQ00343;Torquímetro;Jaboticabal;Média;180
EQ00344;Torquímetro;Jaboticabal;Baixa;180
EQ00345;Balança;Jaboticabal;Baixa;180
EQ00346;Manômetro;Joinville;Média;180
EQ00347;Manômetro;Jaboticabal;Baixa;180
EQ00348;Manômetro;Joinville;Alta;180
EQ00349;Paquímetro;Jaboticabal;Alta;365
EQ00350;Micrômetro;Jaboticabal;Média;365
EQ00351;Termômetro;Joinville;Alta;365
EQ00352;Paquímetro;Jaboticabal;Baixa;90
EQ00353;Micrômetro;Joinville;Média;365
EQ00354;Paquímetro;Jaboticabal;Baixa;180
EQ00355;Micrômetro;Jaboticabal;Baixa;365
EQ00356;Balança;Joinville;Baixa;180
EQ00357;Manômetro;Jaboticabal;Baixa;365
EQ00358;Manômetro;Joinville;Baixa;180
EQ00359;Balança;Joinville;Média;365
EQ00360;Paquímetro;Guarulhos;Baixa;365
EQ00361;Paquímetro;Joinville;Média;90
EQ00362;Micrômetro;Guarulhos;Baixa;365
EQ00363;Paquímetro;Guarulhos;Alta;365
EQ00364;Manômetro;Guarulhos;Média;180
EQ00365;Balança;Joinville;Baixa;90
EQ00366;Paquímetro;Joinville;Baixa;180
EQ00367;Balança;Guarulhos;Baixa;365
EQ00368;Paquímetro;Guarulhos;Média;90
EQ00369;Balança;Joinville;Baixa;365
EQ00370;Balança;Jaboticabal;Alta;90
EQ00371;Termômetro;Joinville;Baixa;365
EQ00372;Manômetro;Jaboticabal;Alta;365
EQ00373;Termômetro;Joinville;Baixa;180
EQ00374;Torquímetro;Joinville;Média;180
EQ00375;Torquímetro;Jaboticabal;Baixa;90
EQ00376;Termômetro;Guarulhos;Média;180
EQ00377;Manômetro;Jaboticabal;Baixa;180
EQ00378;Balança;Joinville;Média;180
EQ00379;Micrômetro;Joinville;Média;180
EQ00380;Balança;Guarulhos;Média;90
EQ00381;Balança;Guarulhos;Média;365
EQ00382;Termômetro;Joinville;Média;90
EQ00383;Manômetro;Jaboticabal;Baixa;180
EQ00384;Torquímetro;Joinville;Baixa;90
EQ00385;Balança;Guarulhos;Média;365
EQ00386;Manômetro;Guarulhos;Baixa;365
EQ00387;Paquímetro;Joinville;Média;90
EQ00388;Manômetro;Joinville;Baixa;365
EQ00389;Torquímetro;Guarulhos;Média;90
EQ00390;Balança;Guarulhos;Alta;180
EQ00391;Torquímetro;Guarulhos;Média;180
EQ00392;Manômetro;Jaboticabal;Alta;365
EQ00393;Termômetro;Guarulhos;Baixa;365
EQ00394;Micrômetro;Jaboticabal;Baixa;365
EQ00395;Balança;Guarulhos;Média;365
EQ00396;Paquímetro;Guarulhos;Baixa;180
EQ00397;Micrômetro;Joinville;Alta;90
EQ00398;Balança;Guarulhos;Média;365
EQ00399;Torquímetro;Jaboticabal;Média;90
EQ00400;Termômetro;Guarulhos;Baixa;180
EQ00401;Termômetro;Joinville;Baixa;90
EQ00402;Paquímetro;Jaboticabal;Baixa;90
EQ00403;Micrômetro;Jaboticabal;Baixa;180
EQ00404;Balança;Joinville;Média;90
EQ00405;Torquímetro;Joinville;Baixa;90
EQ00406;Micrômetro;Joinville;Alta;90
EQ00407;Manômetro;Jaboticabal;Alta;90
EQ00408;Micrômetro;Guarulhos;Média;90
EQ00409;Balança;Guarulhos;Alta;180
EQ00410;Manômetro;Guarulhos;Baixa;365
EQ00411;Termômetro;Jaboticabal;Baixa;180
EQ00412;Torquímetro;Guarulhos;Média;180
EQ00413;Termômetro;Jaboticabal;Média;365
EQ00414;Balança;Guarulhos;Baixa;90
EQ00415;Paquímetro;Joinville;Média;180
EQ00416;Balança;Joinville;Alta;365
EQ00417;Manômetro;Jaboticabal;Alta;90
EQ00418;Paquímetro;Jaboticabal;Baixa;365
EQ00419;Termômetro;Guarulhos;Alta;365
EQ00420;Termômetro;Joinville;Média;180
EQ00421;Paquímetro;Guarulhos;Alta;365
EQ00422;Micrômetro;Jaboticabal;Alta;180
EQ00423;Torquímetro;Joinville;Baixa;180
EQ00424;Manômetro;Joinville;Média;365
EQ00425;Balança;Guarulhos;Média;365
EQ00426;Torquímetro;Joinville;Alta;90
EQ00427;Paquímetro;Guarulhos;Alta;90
EQ00428;Micrômetro;Jaboticabal;Média;180
EQ00429;Termômetro;Guarulhos;Média;180
EQ00430;Micrômetro;Jaboticabal;Média;365
EQ00431;Manômetro;Jaboticabal;Média;365
EQ00432;Termômetro;Joinville;Alta;365
EQ00433;Balança;Guarulhos;Média;365
EQ00434;Balança;Joinville;Alta;180
EQ00435;Paquímetro;Joinville;Média;365
EQ00436;Termômetro;Guarulhos;Baixa;90
EQ00437;Balança;Joinville;Média;365
EQ00438;Manômetro;Jaboticabal;Média;180
EQ00439;Micrômetro;Jaboticabal;Média;365
EQ00440;Termômetro;Jaboticabal;Alta;90
EQ00441;Torquímetro;Joinville;Alta;180
EQ00442;Termômetro;Joinville;Baixa;90
EQ00443;Termômetro;Jaboticabal;Média;90
EQ00444;Termômetro;Guarulhos;Média;180
EQ00445;Termômetro;Guarulhos;Média;365
EQ00446;Paquímetro;Guarulhos;Média;365
EQ00447;Balança;Jaboticabal;Média;365
EQ00448;Paquímetro;Jaboticabal;Média;90
EQ00449;Manômetro;Joinville;Média;180
EQ00450;Paquímetro;Jaboticabal;Média;180
EQ00451;Termômetro;Guarulhos;Média;90
EQ00452;Balança;Joinville;Baixa;90
EQ00453;Termômetro;Joinville;Alta;365
EQ00454;Micrômetro;Jaboticabal;Média;180
EQ00455;Termômetro;Jaboticabal;Média;90
EQ00456;Balança;Joinville;Alta;180
EQ00457;Paquímetro;Jaboticabal;Média;180
EQ00458;Torquímetro;Guarulhos;Alta;180
EQ00459;Termômetro;Guarulhos;Alta;365
EQ00460;Balança;Jaboticabal;Alta;90
EQ00461;Paquímetro;Jaboticabal;Média;90
EQ00462;Termômetro;Joinville;Média;365
EQ00463;Micrômetro;Joinville;Média;90
EQ00464;Micrômetro;Guarulhos;Baixa;180
EQ00465;Termômetro;Joinville;Alta;365
EQ00466;Balança;Jaboticabal;Alta;90
EQ00467;Micrômetro;Guarulhos;Baixa;90
EQ00468;Paquímetro;Joinville;Média;365
EQ00469;Manômetro;Guarulhos;Baixa;365
EQ00470;Micrômetro;Jaboticabal;Baixa;180
EQ00471;Balança;Guarulhos;Baixa;180
EQ00472;Manômetro;Joinville;Média;365
EQ00473;Torquímetro;Joinville;Média;365
EQ00474;Torquímetro;Joinville;Baixa;180
EQ00475;Balança;Guarulhos;Alta;90
EQ00476;Micrômetro;Guarulhos;Baixa;365
EQ00477;Torquímetro;Guarulhos;Baixa;365
EQ00478;Paquímetro;Guarulhos;Média;90
EQ00479;Paquímetro;Guarulhos;Baixa;180
EQ00480;Manômetro;Guarulhos;Média;365
EQ00481;Paquímetro;Joinville;Média;365
EQ00482;Torquímetro;Guarulhos;Média;180
EQ00483;Torquímetro;Jaboticabal;Baixa;90
EQ00484;Manômetro;Guarulhos;Média;180
EQ00485;Torquímetro;Jaboticabal;Média;90
EQ00486;Manômetro;Jaboticabal;Média;365
EQ00487;Balança;Guarulhos;Média;180
EQ00488;Torquímetro;Guarulhos;Baixa;90
EQ00489;Paquímetro;Joinville;Baixa;365
EQ00490;Manômetro;Jaboticabal;Média;180
EQ00491;Termômetro;Jaboticabal;Baixa;90
EQ00492;Termômetro;Guarulhos;Alta;90
EQ00493;Termômetro;Joinville;Alta;180
EQ00494;Manômetro;Joinville;Média;365
EQ00495;Manômetro;Joinville;Baixa;365
EQ00496;Balança;Jaboticabal;Alta;90
EQ00497;Torquímetro;Guarulhos;Alta;365
EQ00498;Torquímetro;Guarulhos;Média;90
EQ00499;Paquímetro;Joinville;Baixa;365
EQ00500;Manômetro;Joinville;Média;90
EQ00501;Paquímetro;Joinville;Baixa;365
EQ00502;Torquímetro;Jaboticabal;Média;365
EQ00503;Balança;Jaboticabal;Baixa;90
EQ00504;Paquímetro;Guarulhos;Média;180
EQ00505;Termômetro;Guarulhos;Média;90
EQ00506;Termômetro;Guarulhos;Baixa;90
EQ00507;Termômetro;Jaboticabal;Média;365
EQ00508;Paquímetro;Guarulhos;Média;180
EQ00509;Torquímetro;Jaboticabal;Alta;365
EQ00510;Manômetro;Guarulhos;Baixa;90
EQ00511;Balança;Jaboticabal;Média;180
EQ00512;Torquímetro;Jaboticabal;Média;365
EQ00513;Torquímetro;Joinville;Baixa;90
EQ00514;Micrômetro;Joinville;Média;180
EQ00515;Manômetro;Jaboticabal;Alta;90
EQ00516;Manômetro;Jaboticabal;Alta;90
EQ00517;Torquímetro;Joinville;Média;180
EQ00518;Micrômetro;Joinville;Média;365
EQ00519;Paquímetro;Guarulhos;Média;90
EQ00520;Balança;Jaboticabal;Média;365
EQ00521;Manômetro;Guarulhos;Média;365
EQ00522;Balança;Guarulhos;Média;180
EQ00523;Termômetro;Joinville;Média;365
EQ00524;Manômetro;Guarulhos;Média;180
EQ00525;Micrômetro;Joinville;Média;90
EQ00526;Manômetro;Guarulhos;Média;365
EQ00527;Micrômetro;Jaboticabal;Média;365
EQ00528;Termômetro;Guarulhos;Média;90
EQ00529;Paquímetro;Jaboticabal;Média;180
EQ00530;Paquímetro;Joinville;Média;180
EQ00531;Paquímetro;Jaboticabal;Média;90
EQ00532;Termômetro;Jaboticabal;Média;365
EQ00533;Micrômetro;Joinville;Baixa;365
EQ00534;Paquímetro;Jaboticabal;Alta;180
EQ00535;Termômetro;Guarulhos;Baixa;180
EQ00536;Termômetro;Joinville;Média;180
EQ00537;Micrômetro;Guarulhos;Alta;90
EQ00538;Torquímetro;Guarulhos;Baixa;180
EQ00539;Balança;Jaboticabal;Média;90
EQ00540;Micrômetro;Jaboticabal;Média;90
EQ00541;Paquímetro;Jaboticabal;Média;90
EQ00542;Micrômetro;Guarulhos;Média;180
EQ00543;Micrômetro;Joinville;Baixa;90
EQ00544;Micrômetro;Guarulhos;Média;180
EQ00545;Balança;Joinville;Baixa;180
EQ00546;Torquímetro;Guarulhos;Média;90
EQ00547;Termômetro;Guarulhos;Alta;180
EQ00548;Paquímetro;Joinville;Média;365
EQ00549;Paquímetro;Jaboticabal;Média;180
EQ00550;Paquímetro;Jaboticabal;Média;365
EQ00551;Torquímetro;Jaboticabal;Baixa;180
EQ00552;Termômetro;Jaboticabal;Baixa;90
EQ00553;Torquímetro;Jaboticabal;Alta;180
EQ00554;Paquímetro;Joinville;Baixa;90
EQ00555;Manômetro;Jaboticabal;Média;180
EQ00556;Torquímetro;Guarulhos;Média;180
EQ00557;Paquímetro;Jaboticabal;Média;365
EQ00558;Termômetro;Joinville;Média;365
EQ00559;Termômetro;Jaboticabal;Média;90
EQ00560;Manômetro;Guarulhos;Média;365
EQ00561;Micrômetro;Jaboticabal;Média;365
EQ00562;Torquímetro;Guarulhos;Média;90
EQ00563;Manômetro;Joinville;Média;180
