processo_id;codigo_processo;cliente_id;area_id;advogado_id;data_abertura;data_encerramento;status;risco;valor_causa;desfecho
25;PROC-000025;676;1;39;2025-12-26;;Ativo;Baixo;688896,15;
26;PROC-000026;144;7;8;2025-11-01;;Ativo;Alto;432140,14;
27;PROC-000027;592;8;34;2026-01-24;2027-07-19;Encerrado;Médio;389253,95;Acordo
28;PROC-000028;163;2;32;2025-12-28;;Ativo;Alto;721120,23;
29;PROC-000029;67;3;30;2025-12-15;;Ativo;Baixo;681989,21;
30;PROC-000030;651;7;2;2025-09-06;;Ativo;Baixo;18602,96;
31;PROC-000031;1;8;33;2025-09-25;;Ativo;Alto;659938,36;
32;PROC-000032;127;7;37;2026-05-15;2027-11-03;Encerrado;Médio;573717,34;Acordo
33;PROC-000033;298;1;22;2026-05-14;2027-12-21;Encerrado;Médio;422674,32;Favorável
34;PROC-000034;462;1;2;2026-05-10;2027-07-16;Encerrado;Baixo;483012,58;Desfavorável
35;PROC-000035;402;8;27;2026-03-03;;Ativo;Médio;113602,05;
36;PROC-000036;499;3;31;2026-06-15;;Ativo;Médio;521234,98;
37;PROC-000037;356;6;33;2026-05-31;2027-01-03;Encerrado;Médio;546851,59;Desfavorável
38;PROC-000038;562;4;11;2026-02-09;2027-10-08;Encerrado;Médio;199141,14;Acordo
39;PROC-000039;379;5;32;2026-05-25;;Ativo;Alto;20318,13;
40;PROC-000040;540;1;35;2026-04-15;;Ativo;Médio;659830,19;
41;PROC-000041;400;4;12;2025-10-26;;Ativo;Médio;795769,77;
42;PROC-000042;76;8;22;2026-02-02;;Ativo;Baixo;356631,11;
43;PROC-000043;224;3;18;2026-06-17;;Ativo;Médio;96445,98;
44;PROC-000044;479;8;23;2026-04-17;;Ativo;Médio;528975,99;
45;PROC-000045;133;5;22;2025-12-30;;Ativo;Baixo;308003,29;
46;PROC-000046;504;3;5;2025-08-13;2025-10-02;Encerrado;Alto;144107,55;Acordo
47;PROC-000047;451;4;40;2025-10-20;;Ativo;Baixo;423542,81;
48;PROC-000048;613;6;14;2025-07-19;;Ativo;Alto;773408,04;
49;PROC-000049;572;5;21;2025-10-05;;Ativo;Baixo;630066,07;
50;PROC-000050;191;8;11;2025-08-07;2025-10-23;Encerrado;Alto;510392,47;Favorável
51;PROC-000051;302;2;18;2025-08-29;2026-02-21;Encerrado;Baixo;191430,19;Favorável
52;PROC-000052;335;6;10;2025-10-16;;Ativo;Médio;427538,91;
53;PROC-000053;573;2;25;2025-08-24;;Ativo;Baixo;263981,75;
54;PROC-000054;228;4;18;2025-10-11;;Ativo;Alto;454793,12;
55;PROC-000055;184;6;16;2026-06-21;;Ativo;Médio;736688,24;
56;PROC-000056;411;4;37;2026-05-15;;Ativo;Alto;207322,53;
57;PROC-000057;164;6;18;2025-11-25;;Ativo;Baixo;80125,41;
58;PROC-000058;41;7;12;2025-07-15;2025-09-30;Encerrado;Baixo;577888,36;Favorável
59;PROC-000059;601;3;6;2026-06-11;;Ativo;Médio;216693,66;
60;PROC-000060;119;3;34;2025-07-18;;Ativo;Alto;263945,74;
61;PROC-000061;688;7;40;2025-10-21;;Ativo;Médio;575312,18;
62;PROC-000062;174;4;13;2025-07-21;;Ativo;Alto;370838,88;
63;PROC-000063;384;2;17;2026-01-31;2027-02-06;Encerrado;Alto;303999,31;Acordo
64;PROC-000064;522;8;18;2026-01-13;;Ativo;Baixo;27694,08;
65;PROC-000065;377;2;13;2025-07-08;;Ativo;Médio;60950,72;
66;PROC-000066;116;5;13;2025-10-22;;Ativo;Médio;590581,81;
67;PROC-000067;574;2;31;2025-12-09;;Ativo;Médio;794686,94;
68;PROC-000068;375;8;7;2025-12-04;;Ativo;Baixo;511228,96;
69;PROC-000069;637;5;3;2026-02-13;;Ativo;Baixo;724142,91;
70;PROC-000070;181;5;1;2025-08-24;;Ativo;Médio;311059,99;
71;PROC-000071;430;4;38;2025-11-21;;Ativo;Alto;111231,87;
72;PROC-000072;586;5;37;2026-05-26;;Ativo;Alto;274404,41;
73;PROC-000073;622;3;27;2026-05-24;;Suspenso;Baixo;550219,24;
74;PROC-000074;57;8;10;2026-05-21;;Ativo;Baixo;535005,97;
75;PROC-000075;340;5;20;2026-02-12;2027-05-26;Encerrado;Alto;179756,27;Desfavorável
76;PROC-000076;217;8;35;2025-10-05;2026-06-06;Encerrado;Médio;224478,27;Desfavorável
77;PROC-000077;325;3;2;2026-01-25;;Suspenso;Baixo;594553,2;
78;PROC-000078;542;4;14;2025-08-20;;Ativo;Médio;583178,3;
79;PROC-000079;190;7;21;2025-07-13;;Ativo;Médio;384463,64;
80;PROC-000080;674;1;36;2026-02-24;;Ativo;Alto;20524,74;
81;PROC-000081;405;3;5;2025-12-22;;Ativo;Médio;207293,88;
82;PROC-000082;542;6;23;2026-05-10;;Ativo;Médio;383707,09;
83;PROC-000083;201;2;34;2025-12-07;;Ativo;Médio;439292,51;
84;PROC-000084;414;7;34;2026-02-23;;Ativo;Baixo;545085,09;
85;PROC-000085;551;8;27;2025-08-05;2026-02-13;Encerrado;Baixo;401989,19;Desfavorável
86;PROC-000086;627;8;26;2026-03-30;;Ativo;Alto;308705,81;
87;PROC-000087;68;8;1;2025-08-03;2026-02-24;Encerrado;Médio;799246,39;Favorável
88;PROC-000088;525;4;34;2025-08-18;;Ativo;Alto;474695,22;
89;PROC-000089;358;8;32;2025-07-27;2026-05-04;Encerrado;Médio;14025,18;Desfavorável
90;PROC-000090;356;5;8;2025-09-29;2026-02-05;Encerrado;Baixo;181724,93;Desfavorável
91;PROC-000091;444;2;34;2025-08-01;2027-06-06;Encerrado;Alto;232895,92;Acordo
92;PROC-000092;449;4;3;2025-10-08;;Ativo;Baixo;168414,89;
93;PROC-000093;458;6;39;2025-12-17;;Suspenso;Médio;4567,05;
94;PROC-000094;590;1;11;2026-05-03;;Ativo;Alto;290475,79;
95;PROC-000095;562;7;10;2026-04-06;2027-05-12;Encerrado;Médio;552165,1;Desfavorável
96;PROC-000096;619;6;7;2025-09-14;2026-04-12;Encerrado;Alto;75739,26;Desfavorável
97;PROC-000097;361;4;14;2025-12-09;2026-03-20;Encerrado;Alto;521901,54;Desfavorável
98;PROC-000098;71;3;17;2025-12-01;;Ativo;Baixo;34254,89;
99;PROC-000099;230;3;39;2026-05-12;;Ativo;Alto;184708,76;
100;PROC-000100;186;4;15;2025-12-07;;Ativo;Baixo;283823,75;
101;PROC-000101;613;6;18;2025-08-18;;Ativo;Médio;474062,1;
102;PROC-000102;616;5;7;2026-04-25;;Ativo;Médio;753528,04;
103;PROC-000103;110;8;10;2026-06-26;;Ativo;Alto;179393,39;
104;PROC-000104;188;8;39;2026-05-28;;Ativo;Médio;606545,54;
105;PROC-000105;271;2;34;2025-08-17;;Ativo;Baixo;411509,55;
106;PROC-000106;317;5;15;2026-04-22;;Ativo;Baixo;578120,33;
107;PROC-000107;523;2;21;2025-11-06;2026-09-14;Encerrado;Baixo;314410,49;Favorável
108;PROC-000108;34;2;5;2025-07-09;;Ativo;Alto;286388,89;
109;PROC-000109;259;1;32;2025-11-02;;Ativo;Baixo;724233,75;
110;PROC-000110;227;8;18;2025-08-15;;Ativo;Baixo;631145,37;
111;PROC-000111;459;3;24;2025-12-24;;Ativo;Alto;104720,07;
112;PROC-000112;541;8;17;2026-05-19;2026-07-02;Encerrado;Médio;58940,57;Acordo
113;PROC-000113;154;3;1;2025-07-12;;Ativo;Médio;290538,9;
114;PROC-000114;5;5;7;2025-07-15;;Suspenso;Alto;783359,62;
115;PROC-000115;661;6;35;2025-09-27;;Ativo;Médio;572462,59;
116;PROC-000116;191;3;2;2025-09-18;;Ativo;Baixo;195610,06;
117;PROC-000117;296;1;10;2025-11-28;;Ativo;Baixo;9527,72;
118;PROC-000118;529;8;12;2026-01-06;2027-10-03;Encerrado;Médio;650119,53;Favorável
119;PROC-000119;407;3;14;2025-12-23;2027-03-02;Encerrado;Baixo;718538,03;Acordo
120;PROC-000120;184;5;36;2026-06-25;;Suspenso;Baixo;258711,87;
121;PROC-000121;287;7;26;2026-03-28;;Ativo;Alto;277528,32;
122;PROC-000122;561;3;40;2025-07-27;;Ativo;Alto;653105,62;
123;PROC-000123;482;8;27;2025-08-12;;Ativo;Alto;71696,88;
124;PROC-000124;570;3;20;2026-04-11;2026-06-29;Encerrado;Baixo;591895,2;Acordo
125;PROC-000125;522;1;18;2025-11-26;;Ativo;Baixo;88283,31;
126;PROC-000126;624;5;29;2025-11-20;2027-09-01;Encerrado;Baixo;678872,75;Desfavorável
127;PROC-000127;174;6;8;2026-04-27;;Ativo;Médio;619924,16;
128;PROC-000128;657;5;24;2025-12-17;;Ativo;Alto;787415,74;
129;PROC-000129;378;8;4;2025-08-09;2026-10-18;Encerrado;Médio;489418,91;Acordo
130;PROC-000130;137;1;8;2025-08-12;;Ativo;Médio;219195,61;
131;PROC-000131;72;6;1;2025-11-05;2026-08-13;Encerrado;Alto;175206,1;Desfavorável
132;PROC-000132;113;3;14;2025-09-12;;Ativo;Baixo;344196,72;
133;PROC-000133;397;7;38;2026-03-10;;Ativo;Médio;743700,39;
134;PROC-000134;269;6;35;2026-02-12;;Suspenso;Alto;390412,12;
135;PROC-000135;634;2;9;2025-09-04;;Ativo;Baixo;383608,81;
136;PROC-000136;700;6;24;2025-10-31;2027-04-21;Encerrado;Alto;412424,55;Acordo
137;PROC-000137;494;3;5;2026-02-09;2027-09-09;Encerrado;Médio;162819,67;Desfavorável
138;PROC-000138;82;6;38;2026-01-21;;Ativo;Alto;591011,0;
139;PROC-000139;129;5;14;2026-06-20;;Ativo;Médio;101502,42;
140;PROC-000140;440;3;25;2025-10-16;2027-02-23;Encerrado;Alto;160944,2;Desfavorável
141;PROC-000141;692;1;29;2026-06-14;;Ativo;Médio;142895,44;
142;PROC-000142;362;6;14;2026-04-11;;Ativo;Alto;726923,54;
143;PROC-000143;223;5;24;2025-12-17;;Ativo;Alto;93616,65;
144;PROC-000144;473;2;8;2026-03-18;2026-11-29;Encerrado;Médio;372700,97;Favorável
145;PROC-000145;319;2;18;2025-10-05;2027-07-25;Encerrado;Médio;181325,61;Desfavorável
146;PROC-000146;529;2;19;2026-06-06;2027-09-30;Encerrado;Alto;359069,52;Favorável
147;PROC-000147;111;7;9;2025-12-13;;Ativo;Alto;180036,66;
148;PROC-000148;334;2;37;2026-01-06;;Ativo;Médio;798947,71;
149;PROC-000149;125;6;27;2025-10-14;;Ativo;Médio;682562,8;
150;PROC-000150;365;8;33;2025-11-25;;Ativo;Médio;655892,91;
151;PROC-000151;29;4;23;2026-02-12;;Ativo;Baixo;467616,54;
152;PROC-000152;378;8;39;2025-09-14;;Ativo;Alto;724291,21;
153;PROC-000153;550;7;18;2026-01-30;2026-03-03;Encerrado;Alto;775208,92;Desfavorável
154;PROC-000154;327;3;28;2026-01-16;;Ativo;Baixo;513014,74;
155;PROC-000155;496;8;28;2026-06-17;;Ativo;Médio;775285,21;
156;PROC-000156;225;6;31;2025-10-15;2026-05-04;Encerrado;Alto;119187,91;Acordo
157;PROC-000157;122;1;23;2026-04-01;;Ativo;Baixo;612964,99;
158;PROC-000158;515;7;16;2025-12-09;;Ativo;Baixo;580513,94;
159;PROC-000159;424;3;19;2026-05-29;;Ativo;Médio;97297,49;
160;PROC-000160;234;4;35;2025-07-29;;Ativo;Baixo;444147,1;
161;PROC-000161;282;1;27;2025-11-28;;Ativo;Médio;369251,39;
162;PROC-000162;538;6;26;2025-11-10;;Suspenso;Baixo;483983,68;
163;PROC-000163;576;3;38;2026-03-30;;Ativo;Alto;181861,39;
164;PROC-000164;601;8;8;2025-08-06;2027-03-01;Encerrado;Alto;330442,44;Favorável
165;PROC-000165;661;5;3;2025-12-18;;Ativo;Médio;760296,34;
166;PROC-000166;340;3;14;2025-08-31;;Ativo;Baixo;322670,19;
167;PROC-000167;422;6;16;2026-03-25;;Ativo;Alto;118573,82;
168;PROC-000168;102;8;2;2026-03-31;2027-10-07;Encerrado;Alto;610870,39;Favorável
169;PROC-000169;506;2;15;2026-02-20;;Ativo;Médio;452091,92;
170;PROC-000170;643;3;3;2025-07-01;;Suspenso;Baixo;261660,25;
171;PROC-000171;661;1;39;2025-08-26;;Ativo;Alto;312477,04;
172;PROC-000172;19;8;19;2026-02-24;;Ativo;Alto;194254,92;
173;PROC-000173;350;8;24;2026-06-02;2026-10-01;Encerrado;Alto;732352,44;Desfavorável
174;PROC-000174;150;6;24;2026-03-01;2026-06-12;Encerrado;Baixo;712886,89;Favorável
175;PROC-000175;251;3;27;2026-02-08;;Ativo;Alto;330324,99;
176;PROC-000176;530;5;20;2025-12-30;;Ativo;Médio;636210,03;
177;PROC-000177;578;5;17;2025-12-04;;Ativo;Baixo;172304,06;
178;PROC-000178;288;5;24;2025-11-10;;Ativo;Médio;488424,38;
179;PROC-000179;470;7;11;2025-07-07;2026-01-07;Encerrado;Alto;253031,59;Acordo
180;PROC-000180;396;2;18;2025-10-09;;Ativo;Baixo;253228,45;
181;PROC-000181;311;2;36;2026-02-16;;Ativo;Baixo;231140,29;
182;PROC-000182;280;8;6;2026-03-30;;Ativo;Alto;243672,98;
183;PROC-000183;592;3;30;2026-03-04;2026-08-20;Encerrado;Baixo;629536,53;Desfavorável
184;PROC-000184;298;2;39;2025-11-12;2027-05-10;Encerrado;Médio;571839,98;Acordo
185;PROC-000185;214;4;37;2026-01-25;;Ativo;Alto;35239,93;
186;PROC-000186;514;5;34;2025-12-18;;Ativo;Baixo;583084,19;
187;PROC-000187;22;4;7;2025-07-26;;Ativo;Baixo;63060,94;
188;PROC-000188;469;6;13;2025-12-21;;Ativo;Baixo;483199,78;
189;PROC-000189;411;6;36;2026-06-23;2027-12-30;Encerrado;Baixo;19542,52;Favorável
190;PROC-000190;506;3;16;2026-03-02;2026-09-06;Encerrado;Alto;11196,4;Favorável
191;PROC-000191;685;7;9;2026-02-18;2027-11-26;Encerrado;Alto;306694,62;Acordo
192;PROC-000192;154;1;15;2026-06-13;;Ativo;Baixo;453505,77;
193;PROC-000193;503;1;35;2026-04-06;;Ativo;Alto;447425,99;
194;PROC-000194;647;1;9;2025-12-12;;Ativo;Baixo;346681,84;
195;PROC-000195;626;5;6;2025-10-22;;Ativo;Alto;486388,89;
196;PROC-000196;490;5;12;2026-04-14;;Ativo;Alto;395477,3;
197;PROC-000197;100;6;1;2026-03-06;;Ativo;Alto;615209,43;
198;PROC-000198;151;7;40;2025-07-28;;Ativo;Alto;620654,68;
199;PROC-000199;180;3;12;2026-05-20;;Ativo;Baixo;262907,25;
200;PROC-000200;283;2;40;2025-07-27;;Ativo;Alto;763178,23;
201;PROC-000201;148;7;25;2025-08-11;;Suspenso;Baixo;154194,55;
202;PROC-000202;215;3;20;2025-11-24;;Ativo;Alto;395968,62;
203;PROC-000203;625;8;8;2025-09-23;;Ativo;Alto;174048,89;
204;PROC-000204;83;7;12;2026-06-30;;Ativo;Médio;751241,12;
205;PROC-000205;334;7;31;2026-04-07;;Ativo;Baixo;326654,09;
206;PROC-000206;203;3;28;2026-06-27;2027-10-22;Encerrado;Médio;380040,18;Favorável
207;PROC-000207;288;7;22;2026-03-29;2026-06-26;Encerrado;Médio;237807,76;Favorável
208;PROC-000208;351;3;38;2025-07-20;;Ativo;Médio;722480,82;
209;PROC-000209;48;5;5;2026-04-04;;Ativo;Alto;490004,65;
210;PROC-000210;432;8;10;2025-09-30;;Ativo;Médio;346832,96;
211;PROC-000211;68;2;5;2026-01-24;;Ativo;Alto;663217,7;
212;PROC-000212;114;8;22;2025-12-25;;Ativo;Alto;594962,46;
213;PROC-000213;366;6;9;2026-01-09;2026-09-22;Encerrado;Médio;575093,39;Acordo
214;PROC-000214;202;7;13;2025-07-11;;Ativo;Alto;120566,26;
215;PROC-000215;288;1;38;2025-10-12;;Ativo;Alto;75387,74;
216;PROC-000216;597;8;25;2026-01-23;2027-09-18;Encerrado;Médio;85125,98;Desfavorável
217;PROC-000217;301;5;1;2025-07-30;2026-01-22;Encerrado;Alto;518641,94;Desfavorável
218;PROC-000218;651;2;12;2026-02-11;;Ativo;Médio;148268,73;
219;PROC-000219;266;5;30;2025-12-27;;Ativo;Médio;184142,35;
220;PROC-000220;424;5;2;2025-11-20;2026-03-27;Encerrado;Baixo;649168,22;Acordo
221;PROC-000221;38;1;19;2025-11-08;;Ativo;Alto;6448,41;
222;PROC-000222;138;4;37;2026-04-29;2027-02-22;Encerrado;Médio;34470,75;Favorável
223;PROC-000223;307;1;4;2025-08-02;2027-01-14;Encerrado;Alto;677102,88;Acordo
224;PROC-000224;25;7;12;2025-12-10;2026-11-30;Encerrado;Médio;479105,96;Desfavorável
225;PROC-000225;281;2;32;2025-12-07;;Ativo;Alto;47432,81;
226;PROC-000226;399;3;8;2026-05-18;;Ativo;Baixo;742122,5;
227;PROC-000227;578;2;26;2025-09-05;;Ativo;Baixo;735760,78;
228;PROC-000228;134;6;26;2026-05-09;;Ativo;Médio;270353,77;
229;PROC-000229;588;2;34;2025-07-08;;Ativo;Alto;164842,97;
230;PROC-000230;387;3;9;2025-08-19;;Ativo;Médio;163101,26;
231;PROC-000231;123;1;5;2026-02-17;;Ativo;Médio;277483,15;
232;PROC-000232;517;3;37;2026-06-05;2027-08-30;Encerrado;Baixo;236282,13;Acordo
233;PROC-000233;199;4;26;2026-05-07;2027-10-05;Encerrado;Alto;727947,59;Favorável
234;PROC-000234;604;5;34;2025-08-27;;Ativo;Médio;633807,43;
235;PROC-000235;682;7;5;2025-07-06;;Ativo;Alto;181720,52;
236;PROC-000236;168;5;38;2025-12-07;;Ativo;Baixo;253284,21;
237;PROC-000237;203;8;24;2025-12-10;;Ativo;Baixo;208111,32;
238;PROC-000238;317;1;17;2025-08-23;2025-12-12;Encerrado;Baixo;307267,75;Acordo
239;PROC-000239;418;8;11;2025-09-12;;Ativo;Médio;166222,73;
240;PROC-000240;211;5;35;2026-04-24;;Ativo;Médio;3961,61;
241;PROC-000241;261;1;19;2026-02-18;;Ativo;Médio;444038,26;
242;PROC-000242;207;8;15;2025-10-14;;Ativo;Alto;51585,94;
243;PROC-000243;347;4;29;2026-02-12;2026-10-10;Encerrado;Médio;731604,21;Acordo
244;PROC-000244;327;4;18;2025-08-10;;Ativo;Alto;390188,57;
245;PROC-000245;596;6;38;2026-06-16;;Ativo;Baixo;708402,49;
246;PROC-000246;656;6;12;2026-06-13;;Ativo;Médio;695772,73;
247;PROC-000247;264;5;25;2025-07-18;;Ativo;Médio;531648,83;
248;PROC-000248;341;1;15;2026-01-24;2026-04-05;Encerrado;Médio;605609,75;Acordo
249;PROC-000249;87;3;17;2026-06-08;;Ativo;Alto;713099,46;
250;PROC-000250;371;4;14;2026-04-01;;Ativo;Médio;470798,67;
251;PROC-000251;33;8;2;2025-11-16;2025-12-25;Encerrado;Baixo;588154,33;Acordo
252;PROC-000252;125;5;25;2025-12-06;2026-07-07;Encerrado;Alto;473285,71;Desfavorável
253;PROC-000253;110;2;34;2025-09-01;;Suspenso;Alto;335027,12;
254;PROC-000254;199;6;23;2025-11-19;;Ativo;Médio;623130,77;
255;PROC-000255;609;8;9;2025-09-28;;Suspenso;Médio;162352,93;
256;PROC-000256;34;2;13;2026-04-29;2027-04-29;Encerrado;Alto;559947,62;Acordo
257;PROC-000257;197;2;20;2025-11-05;;Ativo;Alto;486125,06;
258;PROC-000258;18;3;18;2025-10-25;;Ativo;Médio;92306,52;
259;PROC-000259;571;1;30;2026-01-07;;Ativo;Baixo;553717,22;
260;PROC-000260;650;2;14;2025-10-17;;Ativo;Alto;88965,22;
261;PROC-000261;452;8;34;2025-07-12;;Ativo;Baixo;596300,11;
262;PROC-000262;453;3;24;2026-01-17;;Ativo;Baixo;162811,73;
263;PROC-000263;680;8;34;2025-10-08;;Ativo;Médio;404057,61;
264;PROC-000264;500;2;6;2026-06-06;;Ativo;Baixo;617423,82;
265;PROC-000265;603;8;13;2026-06-07;;Ativo;Médio;502252,69;
266;PROC-000266;9;2;21;2026-03-06;2026-08-26;Encerrado;Médio;467230,49;Favorável
267;PROC-000267;408;5;8;2025-11-05;;Ativo;Médio;38326,85;
268;PROC-000268;528;6;32;2025-09-13;;Suspenso;Alto;477372,2;
269;PROC-000269;188;6;5;2026-04-25;;Suspenso;Alto;340647,21;
270;PROC-000270;269;5;34;2026-05-26;;Ativo;Alto;799466,28;
271;PROC-000271;487;7;3;2026-02-19;;Ativo;Médio;229804,19;
272;PROC-000272;590;3;18;2025-09-13;;Ativo;Baixo;337706,9;
273;PROC-000273;66;7;20;2025-11-20;;Ativo;Baixo;89200,54;
274;PROC-000274;565;5;29;2025-10-30;2027-09-25;Encerrado;Médio;712893,4;Acordo
275;PROC-000275;149;8;24;2025-12-06;;Ativo;Médio;51862,07;
276;PROC-000276;506;3;20;2026-03-25;;Ativo;Alto;680621,38;
277;PROC-000277;164;5;17;2025-12-24;2027-10-20;Encerrado;Alto;717457,71;Favorável
278;PROC-000278;475;6;27;2025-08-25;2026-10-28;Encerrado;Alto;723911,62;Acordo
279;PROC-000279;137;1;20;2025-09-14;;Ativo;Alto;129039,96;
280;PROC-000280;484;2;12;2025-07-02;2026-04-26;Encerrado;Baixo;244236,05;Acordo
281;PROC-000281;368;7;29;2025-08-13;;Ativo;Médio;32572,24;
282;PROC-000282;388;5;3;2026-05-03;2026-11-20;Encerrado;Baixo;686995,81;Desfavorável
283;PROC-000283;685;1;23;2025-08-01;;Ativo;Alto;496363,2;
284;PROC-000284;417;7;30;2026-06-15;;Ativo;Baixo;714384,78;
285;PROC-000285;550;6;30;2026-05-30;2028-01-02;Encerrado;Baixo;251151,04;Desfavorável
286;PROC-000286;534;3;18;2025-09-03;;Ativo;Médio;9973,69;
287;PROC-000287;57;2;22;2025-11-03;;Ativo;Alto;46241,58;
288;PROC-000288;550;5;27;2026-01-01;2027-05-24;Encerrado;Alto;765584,8;Favorável
289;PROC-000289;6;7;28;2025-11-06;2026-06-26;Encerrado;Médio;672603,07;Acordo
290;PROC-000290;532;7;19;2025-12-09;2026-06-10;Encerrado;Médio;702715,21;Acordo
291;PROC-000291;697;3;28;2025-12-19;;Ativo;Baixo;626216,95;
292;PROC-000292;231;7;34;2026-02-20;;Ativo;Baixo;85469,24;
293;PROC-000293;339;1;17;2025-07-05;;Ativo;Baixo;658193,79;
294;PROC-000294;455;5;34;2025-07-08;;Ativo;Baixo;789761,54;
295;PROC-000295;88;6;30;2025-07-07;;Ativo;Médio;322143,31;
296;PROC-000296;96;2;35;2026-02-19;;Ativo;Alto;28128,39;
297;PROC-000297;117;3;5;2026-06-19;;Ativo;Médio;441588,35;
298;PROC-000298;99;2;7;2025-08-23;2027-01-20;Encerrado;Médio;306930,95;Desfavorável
299;PROC-000299;572;1;9;2025-07-14;;Ativo;Alto;424334,55;
300;PROC-000300;90;6;32;2026-06-06;2027-02-11;Encerrado;Baixo;275594,84;Acordo
301;PROC-000301;536;6;30;2025-10-22;;Ativo;Médio;190567,57;
302;PROC-000302;600;1;1;2026-02-01;;Ativo;Baixo;453780,69;
303;PROC-000303;309;7;1;2026-01-16;;Ativo;Alto;30823,64;
304;PROC-000304;532;2;14;2026-02-07;2026-07-24;Encerrado;Alto;146972,59;Favorável
305;PROC-000305;119;6;17;2026-05-08;;Ativo;Baixo;728112,73;
306;PROC-000306;27;5;39;2026-04-18;;Ativo;Médio;241559,71;
307;PROC-000307;365;8;17;2026-06-13;;Ativo;Médio;254187,93;
308;PROC-000308;421;5;15;2026-03-24;2027-05-12;Encerrado;Alto;481862,67;Acordo
309;PROC-000309;105;8;36;2025-07-02;2025-11-19;Encerrado;Alto;278503,5;Desfavorável
310;PROC-000310;214;5;40;2026-06-17;2027-12-04;Encerrado;Baixo;423074,18;Acordo
311;PROC-000311;93;6;20;2026-03-15;;Ativo;Alto;541463,73;
312;PROC-000312;309;2;20;2025-11-06;2027-10-06;Encerrado;Médio;627462,32;Desfavorável
313;PROC-000313;671;5;23;2026-05-28;;Ativo;Alto;601930,83;
314;PROC-000314;582;5;5;2026-03-10;;Ativo;Alto;474045,41;
315;PROC-000315;202;1;21;2025-08-30;;Ativo;Médio;221353,17;
316;PROC-000316;193;4;27;2025-07-20;;Suspenso;Alto;39057,7;
317;PROC-000317;422;3;1;2026-03-27;;Ativo;Médio;475359,4;
318;PROC-000318;438;6;36;2025-12-08;2027-06-16;Encerrado;Alto;302849,42;Favorável
319;PROC-000319;362;4;22;2026-02-16;;Suspenso;Médio;229823,61;
320;PROC-000320;644;2;9;2026-01-10;;Ativo;Médio;215700,37;
321;PROC-000321;490;4;11;2026-01-08;;Ativo;Médio;251135,81;
322;PROC-000322;640;6;14;2026-03-13;2027-10-29;Encerrado;Médio;119474,03;Acordo
323;PROC-000323;210;1;33;2026-06-09;;Ativo;Alto;238947,73;
324;PROC-000324;345;3;14;2025-10-30;2026-06-21;Encerrado;Baixo;714385,33;Acordo
325;PROC-000325;393;7;3;2026-06-21;;Ativo;Alto;637088,16;
326;PROC-000326;570;4;18;2026-05-12;2028-04-06;Encerrado;Alto;53576,5;Favorável
327;PROC-000327;76;5;37;2025-10-03;;Ativo;Baixo;145104,33;
328;PROC-000328;412;6;29;2026-05-26;;Suspenso;Alto;499993,58;
329;PROC-000329;265;2;15;2026-03-04;;Ativo;Baixo;254648,23;
330;PROC-000330;52;4;24;2026-03-13;;Ativo;Baixo;787080,16;
331;PROC-000331;543;8;3;2026-02-09;;Ativo;Médio;318080,86;
332;PROC-000332;556;1;39;2025-12-04;;Ativo;Médio;227692,19;
333;PROC-000333;489;6;27;2026-06-26;;Suspenso;Médio;235835,98;
334;PROC-000334;595;4;39;2025-07-08;;Ativo;Alto;503286,95;
