prazo_id;processo_id;tipo_prazo;data_vencimento;data_conclusao;status;prioridade
133;49;Documento;2026-10-13;;Aberto;Baixa
134;49;Documento;2026-11-27;2026-11-13;Concluído;Média
135;50;Contestação;2026-12-04;2026-11-16;Concluído;Média
136;50;Documento;2026-10-10;2026-09-21;Concluído;Média
137;50;Documento;2026-08-23;2026-08-06;Concluído;Alta
138;51;Recurso;2026-01-17;2026-01-24;Concluído;Alta
139;52;Contestação;2026-08-10;;Aberto;Média
140;52;Manifestação;2026-01-02;;Vencido;Média
141;53;Contestação;2026-01-15;2026-01-17;Concluído;Alta
142;53;Pagamento;2026-09-25;;Aberto;Baixa
143;53;Recurso;2025-11-29;;Vencido;Alta
144;54;Contestação;2027-02-18;2027-02-22;Concluído;Média
145;54;Manifestação;2025-10-17;2025-10-25;Concluído;Média
146;54;Documento;2025-11-15;2025-11-20;Concluído;Média
147;54;Recurso;2026-04-09;2026-03-26;Concluído;Baixa
148;55;Manifestação;2026-09-01;2026-08-28;Concluído;Baixa
149;56;Recurso;2026-10-31;2026-11-07;Concluído;Média
150;56;Documento;2026-10-28;2026-10-16;Concluído;Alta
151;56;Manifestação;2026-08-27;2026-08-27;Concluído;Baixa
152;56;Manifestação;2027-06-28;2027-06-15;Concluído;Alta
153;57;Documento;2026-07-24;;Aberto;Baixa
154;58;Documento;2026-10-20;2026-10-27;Concluído;Baixa
155;58;Manifestação;2025-09-18;2025-09-24;Concluído;Baixa
156;58;Pagamento;2026-02-21;2026-02-27;Concluído;Média
157;58;Recurso;2025-11-11;2025-11-07;Concluído;Baixa
158;59;Recurso;2027-08-19;2027-08-06;Concluído;Média
159;60;Manifestação;2026-05-18;2026-05-08;Concluído;Baixa
160;60;Pagamento;2026-06-18;2026-06-11;Concluído;Média
161;60;Documento;2026-07-03;2026-07-01;Concluído;Baixa
162;60;Contestação;2026-10-04;2026-10-08;Concluído;Baixa
163;61;Contestação;2026-06-13;2026-06-14;Concluído;Alta
164;61;Recurso;2025-11-30;2025-11-25;Concluído;Média
165;61;Pagamento;2026-05-26;2026-06-03;Concluído;Média
166;61;Documento;2026-05-14;2026-05-13;Concluído;Baixa
167;62;Contestação;2025-10-23;2025-10-18;Concluído;Alta
168;62;Contestação;2026-09-22;2026-09-03;Concluído;Alta
169;63;Manifestação;2027-04-27;2027-04-28;Concluído;Alta
170;63;Documento;2026-05-22;;Vencido;Média
171;63;Contestação;2026-06-13;;Vencido;Alta
172;63;Pagamento;2026-07-17;;Aberto;Baixa
173;64;Manifestação;2026-12-16;;Aberto;Média
174;64;Documento;2026-08-17;2026-08-14;Concluído;Média
175;64;Documento;2026-11-15;;Aberto;Média
176;64;Manifestação;2026-02-12;2026-02-19;Concluído;Baixa
177;65;Contestação;2026-09-17;2026-09-12;Concluído;Baixa
178;66;Pagamento;2026-08-24;2026-08-27;Concluído;Alta
179;66;Pagamento;2025-10-28;2025-10-25;Concluído;Baixa
180;66;Contestação;2026-04-27;;Vencido;Baixa
181;67;Manifestação;2026-10-09;;Aberto;Alta
182;67;Recurso;2026-04-22;2026-04-13;Concluído;Média
183;68;Pagamento;2026-04-19;2026-04-28;Concluído;Baixa
184;69;Contestação;2027-01-21;2027-01-20;Concluído;Média
185;70;Manifestação;2026-06-08;2026-05-22;Concluído;Alta
186;70;Recurso;2025-11-30;2025-11-19;Concluído;Alta
187;70;Documento;2026-05-28;;Vencido;Média
188;71;Documento;2026-09-22;2026-09-08;Concluído;Alta
189;72;Documento;2027-02-17;;Aberto;Baixa
190;73;Pagamento;2026-07-11;;Aberto;Média
191;73;Recurso;2026-10-18;2026-10-04;Concluído;Baixa
192;74;Pagamento;2026-08-10;2026-07-29;Concluído;Média
193;74;Pagamento;2027-07-07;2027-07-01;Concluído;Alta
194;74;Manifestação;2027-07-15;;Aberto;Alta
195;75;Documento;2027-03-02;2027-02-21;Concluído;Alta
196;76;Contestação;2027-02-15;;Aberto;Média
197;76;Pagamento;2026-01-24;;Vencido;Média
198;76;Contestação;2027-01-02;2027-01-09;Concluído;Alta
199;76;Contestação;2025-10-26;2025-11-02;Concluído;Média
200;77;Recurso;2026-09-24;2026-10-01;Concluído;Alta
201;77;Pagamento;2027-01-28;2027-01-29;Concluído;Média
202;77;Contestação;2026-03-04;2026-02-18;Concluído;Alta
203;77;Recurso;2026-12-19;2026-12-17;Concluído;Baixa
204;78;Documento;2025-12-19;2025-12-06;Concluído;Alta
205;78;Recurso;2026-06-01;2026-05-27;Concluído;Média
206;79;Recurso;2026-04-02;2026-03-27;Concluído;Baixa
207;79;Contestação;2026-02-27;2026-02-22;Concluído;Alta
208;79;Contestação;2025-12-08;;Vencido;Baixa
209;79;Manifestação;2026-08-17;2026-08-07;Concluído;Baixa
210;80;Recurso;2026-04-02;2026-03-22;Concluído;Baixa
211;80;Documento;2027-01-27;2027-01-20;Concluído;Baixa
212;80;Manifestação;2026-03-03;2026-02-12;Concluído;Alta
213;80;Manifestação;2026-11-04;2026-10-18;Concluído;Alta
214;81;Pagamento;2026-12-03;2026-11-30;Concluído;Baixa
215;82;Recurso;2026-09-23;2026-09-27;Concluído;Alta
216;82;Pagamento;2027-03-11;2027-03-17;Concluído;Média
217;83;Documento;2026-08-13;2026-07-28;Concluído;Média
218;83;Contestação;2027-03-10;2027-03-06;Concluído;Média
219;83;Contestação;2027-03-04;2027-02-24;Concluído;Alta
220;84;Pagamento;2026-04-24;;Vencido;Alta
221;84;Pagamento;2026-04-04;2026-03-26;Concluído;Alta
222;84;Manifestação;2026-07-04;2026-07-03;Concluído;Baixa
223;84;Documento;2026-07-30;2026-08-07;Concluído;Baixa
224;85;Manifestação;2025-08-16;2025-08-15;Concluído;Alta
225;86;Manifestação;2026-11-06;2026-11-03;Concluído;Média
226;86;Recurso;2027-06-12;2027-06-17;Concluído;Alta
227;86;Documento;2026-09-10;2026-08-27;Concluído;Baixa
228;86;Manifestação;2026-05-23;;Vencido;Baixa
229;87;Contestação;2026-07-02;;Aberto;Baixa
230;87;Documento;2025-10-31;2025-10-21;Concluído;Baixa
231;88;Documento;2026-08-15;;Aberto;Alta
232;88;Documento;2026-03-04;2026-02-16;Concluído;Média
233;89;Pagamento;2026-01-29;2026-02-08;Concluído;Alta
234;89;Pagamento;2026-06-16;2026-06-09;Concluído;Alta
235;89;Documento;2026-01-28;2026-01-30;Concluído;Baixa
236;89;Manifestação;2026-06-06;2026-05-19;Concluído;Média
237;90;Contestação;2026-06-11;2026-06-03;Concluído;Baixa
238;90;Recurso;2026-07-14;2026-07-08;Concluído;Alta
239;90;Manifestação;2026-05-18;2026-05-07;Concluído;Baixa
240;91;Recurso;2025-11-07;2025-10-20;Concluído;Alta
241;91;Contestação;2026-06-21;;Vencido;Média
242;91;Contestação;2026-03-11;2026-03-10;Concluído;Média
243;92;Pagamento;2026-08-02;2026-08-04;Concluído;Alta
244;93;Contestação;2027-04-09;2027-04-01;Concluído;Alta
245;93;Manifestação;2026-09-24;2026-09-08;Concluído;Alta
246;93;Pagamento;2026-09-24;2026-09-28;Concluído;Baixa
247;93;Contestação;2026-02-26;2026-02-28;Concluído;Média
248;94;Recurso;2026-10-12;2026-10-19;Concluído;Baixa
249;94;Manifestação;2027-05-14;2027-05-23;Concluído;Alta
250;95;Contestação;2027-06-22;2027-06-20;Concluído;Baixa
251;95;Pagamento;2026-07-29;;Aberto;Baixa
252;95;Pagamento;2027-01-04;2026-12-16;Concluído;Média
253;95;Documento;2027-04-06;2027-03-28;Concluído;Média
254;96;Manifestação;2026-07-13;2026-07-22;Concluído;Baixa
255;97;Manifestação;2027-03-26;2027-03-16;Concluído;Média
256;97;Contestação;2026-09-08;2026-09-12;Concluído;Média
257;98;Pagamento;2026-09-20;;Aberto;Alta
258;98;Recurso;2026-03-07;2026-03-09;Concluído;Alta
259;99;Documento;2026-11-03;2026-10-15;Concluído;Média
260;99;Documento;2027-09-04;;Aberto;Alta
261;100;Manifestação;2026-01-28;;Vencido;Média
262;100;Pagamento;2026-10-06;;Aberto;Média
263;100;Recurso;2026-01-03;2025-12-17;Concluído;Alta
264;100;Manifestação;2027-01-24;;Aberto;Baixa
265;101;Manifestação;2026-12-31;;Aberto;Alta
266;101;Pagamento;2026-08-19;;Aberto;Baixa
267;101;Recurso;2025-09-04;2025-09-10;Concluído;Baixa
268;102;Manifestação;2026-09-16;2026-09-01;Concluído;Alta
269;103;Manifestação;2026-11-20;2026-11-27;Concluído;Alta
270;103;Contestação;2027-06-29;2027-06-28;Concluído;Média
271;104;Pagamento;2027-06-22;2027-06-27;Concluído;Baixa
272;104;Manifestação;2027-09-27;2027-10-06;Concluído;Baixa
273;104;Documento;2026-09-07;2026-09-02;Concluído;Alta
274;105;Contestação;2026-02-28;2026-03-06;Concluído;Média
275;105;Pagamento;2025-11-20;2025-11-19;Concluído;Baixa
276;106;Contestação;2027-04-02;2027-03-26;Concluído;Média
277;107;Manifestação;2026-07-27;2026-07-18;Concluído;Baixa
278;107;Pagamento;2026-12-22;2026-12-08;Concluído;Baixa
279;107;Documento;2026-09-21;;Aberto;Baixa
280;107;Pagamento;2026-05-21;;Vencido;Alta
281;108;Contestação;2026-02-18;;Vencido;Baixa
282;109;Contestação;2026-10-24;2026-10-19;Concluído;Média
283;110;Manifestação;2026-03-15;;Vencido;Baixa
284;110;Recurso;2026-03-21;2026-03-29;Concluído;Alta
285;110;Recurso;2026-01-06;;Vencido;Baixa
286;111;Contestação;2026-08-17;;Aberto;Média
287;111;Contestação;2026-11-17;2026-11-03;Concluído;Alta
288;112;Manifestação;2027-03-07;2027-02-23;Concluído;Alta
289;113;Documento;2026-01-24;2026-02-01;Concluído;Média
290;113;Manifestação;2025-09-11;;Vencido;Média
291;113;Manifestação;2026-04-25;2026-04-22;Concluído;Média
292;114;Contestação;2026-09-22;2026-09-16;Concluído;Baixa
293;114;Pagamento;2025-08-19;2025-08-14;Concluído;Baixa
294;114;Manifestação;2026-06-25;2026-06-24;Concluído;Alta
295;114;Contestação;2026-10-04;2026-10-02;Concluído;Alta
296;115;Recurso;2026-09-08;2026-09-09;Concluído;Média
297;115;Manifestação;2026-09-12;2026-08-30;Concluído;Baixa
298;116;Documento;2026-07-15;2026-06-26;Concluído;Alta
299;116;Contestação;2026-05-06;2026-05-03;Concluído;Baixa
300;117;Recurso;2026-10-10;;Aberto;Média
301;118;Recurso;2027-02-25;2027-02-18;Concluído;Baixa
302;118;Pagamento;2026-12-17;2026-12-25;Concluído;Baixa
303;119;Recurso;2026-06-30;2026-06-19;Concluído;Alta
304;119;Pagamento;2026-02-08;2026-02-16;Concluído;Média
305;119;Recurso;2027-02-19;;Aberto;Alta
306;119;Contestação;2026-06-04;;Vencido;Baixa
307;120;Recurso;2027-09-30;2027-09-20;Concluído;Alta
308;121;Documento;2027-01-07;2027-01-15;Concluído;Alta
309;121;Contestação;2026-08-23;2026-08-16;Concluído;Média
310;121;Contestação;2027-06-03;;Aberto;Alta
311;121;Pagamento;2026-08-29;;Aberto;Média
312;122;Documento;2025-11-22;2025-11-16;Concluído;Baixa
313;122;Recurso;2026-01-14;2026-01-03;Concluído;Baixa
314;122;Manifestação;2026-04-28;2026-05-07;Concluído;Alta
315;122;Pagamento;2026-02-04;2026-02-06;Concluído;Alta
316;123;Documento;2025-08-19;2025-08-19;Concluído;Alta
317;123;Documento;2026-02-02;2026-01-27;Concluído;Alta
318;123;Documento;2025-09-20;2025-09-09;Concluído;Alta
319;123;Pagamento;2026-10-07;2026-10-09;Concluído;Média
320;124;Recurso;2027-01-25;2027-01-14;Concluído;Média
321;124;Recurso;2026-11-07;2026-11-14;Concluído;Média
322;124;Manifestação;2027-06-08;;Aberto;Média
323;125;Recurso;2027-01-07;2026-12-29;Concluído;Alta
324;126;Documento;2026-10-20;2026-10-27;Concluído;Alta
325;126;Documento;2027-02-15;2027-02-02;Concluído;Alta
326;126;Pagamento;2026-11-10;2026-10-29;Concluído;Alta
327;127;Recurso;2027-04-04;;Aberto;Baixa
328;127;Manifestação;2027-03-07;2027-03-02;Concluído;Alta
329;127;Recurso;2027-03-12;2027-03-19;Concluído;Média
330;127;Pagamento;2027-03-20;2027-03-03;Concluído;Baixa
331;128;Manifestação;2026-07-22;2026-07-28;Concluído;Alta
332;128;Recurso;2026-05-29;;Vencido;Alta
333;128;Pagamento;2027-01-17;2027-01-21;Concluído;Baixa
334;129;Documento;2026-12-09;2026-12-14;Concluído;Média
335;130;Recurso;2026-03-02;2026-02-19;Concluído;Alta
336;130;Recurso;2026-02-14;2026-02-24;Concluído;Baixa
337;130;Manifestação;2026-10-01;;Aberto;Média
338;131;Pagamento;2025-12-22;2025-12-08;Concluído;Média
339;131;Pagamento;2025-12-06;2025-11-18;Concluído;Média
340;132;Recurso;2025-09-19;;Vencido;Baixa
341;132;Manifestação;2025-12-21;2025-12-03;Concluído;Baixa
342;132;Recurso;2025-10-21;2025-10-22;Concluído;Baixa
343;133;Recurso;2026-04-20;2026-04-22;Concluído;Média
344;134;Documento;2026-10-02;2026-09-27;Concluído;Baixa
345;134;Manifestação;2026-12-18;;Aberto;Alta
346;135;Recurso;2025-12-26;2026-01-04;Concluído;Média
347;136;Contestação;2026-05-04;2026-04-19;Concluído;Média
348;136;Manifestação;2026-11-23;2026-11-22;Concluído;Baixa
349;136;Manifestação;2027-01-15;2027-01-18;Concluído;Alta
350;137;Documento;2027-04-28;2027-04-21;Concluído;Baixa
351;138;Pagamento;2026-12-27;2026-12-12;Concluído;Média
352;139;Pagamento;2027-10-01;2027-09-25;Concluído;Alta
353;139;Contestação;2026-07-25;2026-07-15;Concluído;Baixa
354;139;Documento;2027-06-06;2027-05-29;Concluído;Média
355;139;Recurso;2027-05-02;;Aberto;Baixa
356;140;Recurso;2026-11-11;2026-11-18;Concluído;Média
357;140;Pagamento;2026-11-09;2026-10-22;Concluído;Alta
358;140;Pagamento;2026-08-03;2026-07-14;Concluído;Baixa
359;140;Pagamento;2026-03-12;2026-03-19;Concluído;Alta
360;141;Documento;2027-02-05;;Aberto;Alta
361;142;Recurso;2026-11-21;2026-11-04;Concluído;Média
362;142;Pagamento;2027-08-17;2027-08-02;Concluído;Baixa
363;143;Manifestação;2026-04-20;2026-04-02;Concluído;Média
364;143;Contestação;2026-07-23;2026-07-24;Concluído;Baixa
365;143;Pagamento;2026-06-30;2026-06-22;Concluído;Alta
366;143;Manifestação;2026-10-01;2026-09-23;Concluído;Baixa
367;144;Recurso;2026-09-09;;Aberto;Alta
368;144;Recurso;2027-07-14;2027-06-29;Concluído;Baixa
369;145;Documento;2026-02-01;2026-01-29;Concluído;Média
370;145;Recurso;2027-01-18;2027-01-13;Concluído;Alta
371;146;Manifestação;2026-11-20;;Aberto;Alta
372;146;Pagamento;2027-04-17;2027-04-08;Concluído;Alta
373;146;Manifestação;2026-07-19;2026-07-05;Concluído;Baixa
374;147;Recurso;2026-07-12;2026-06-28;Concluído;Média
375;147;Contestação;2026-12-04;2026-11-17;Concluído;Baixa
376;147;Contestação;2026-09-04;2026-09-05;Concluído;Baixa
377;148;Manifestação;2027-03-25;2027-03-20;Concluído;Alta
378;148;Manifestação;2026-06-17;;Vencido;Alta
379;149;Manifestação;2026-05-06;2026-04-23;Concluído;Alta
380;149;Contestação;2026-05-23;2026-05-30;Concluído;Alta
381;149;Manifestação;2027-01-14;2027-01-04;Concluído;Alta
382;149;Documento;2026-07-13;2026-07-08;Concluído;Baixa
383;150;Documento;2026-01-22;2026-01-20;Concluído;Baixa
384;151;Documento;2026-07-30;;Aberto;Alta
385;151;Manifestação;2026-12-07;2026-11-20;Concluído;Média
386;152;Manifestação;2026-09-22;2026-09-11;Concluído;Baixa
387;152;Documento;2026-11-18;2026-10-29;Concluído;Alta
388;152;Documento;2025-11-22;2025-11-21;Concluído;Baixa
389;153;Recurso;2026-06-09;2026-06-17;Concluído;Baixa
390;153;Manifestação;2027-05-03;2027-04-19;Concluído;Alta
391;153;Contestação;2026-06-20;;Vencido;Baixa
392;153;Documento;2026-11-28;2026-11-20;Concluído;Baixa
393;154;Pagamento;2026-06-05;2026-06-13;Concluído;Baixa
394;154;Pagamento;2026-07-25;2026-07-24;Concluído;Alta
395;154;Recurso;2027-03-28;2027-03-25;Concluído;Baixa
396;154;Manifestação;2026-03-17;2026-03-05;Concluído;Média
397;155;Documento;2027-05-14;;Aberto;Alta
398;155;Manifestação;2027-04-30;2027-04-12;Concluído;Média
399;155;Manifestação;2027-07-05;2027-07-01;Concluído;Alta
400;155;Recurso;2027-03-01;2027-03-05;Concluído;Alta
401;156;Documento;2026-02-23;2026-03-05;Concluído;Alta
402;156;Documento;2025-11-14;;Vencido;Baixa
403;156;Manifestação;2026-09-18;2026-09-25;Concluído;Alta
404;157;Documento;2026-04-06;;Vencido;Média
405;157;Manifestação;2026-06-21;2026-06-22;Concluído;Alta
406;157;Contestação;2026-11-29;2026-11-16;Concluído;Alta
407;157;Manifestação;2027-05-19;2027-05-03;Concluído;Média
408;158;Manifestação;2026-12-07;2026-12-02;Concluído;Média
409;159;Contestação;2027-06-26;;Aberto;Baixa
410;159;Recurso;2027-07-13;2027-06-30;Concluído;Média
411;159;Documento;2027-02-15;2027-02-15;Concluído;Média
412;159;Documento;2026-08-13;2026-08-02;Concluído;Alta
413;160;Recurso;2026-10-20;2026-10-10;Concluído;Baixa
414;161;Documento;2026-12-29;2026-12-14;Concluído;Média
415;162;Documento;2026-02-22;;Vencido;Média
416;162;Contestação;2026-11-02;2026-10-17;Concluído;Baixa
417;163;Recurso;2026-10-06;2026-10-04;Concluído;Alta
418;163;Recurso;2026-11-30;2026-11-10;Concluído;Média
419;163;Manifestação;2026-07-04;2026-06-14;Concluído;Baixa
420;164;Pagamento;2026-05-02;2026-04-30;Concluído;Média
421;164;Documento;2026-01-11;;Vencido;Baixa
422;164;Manifestação;2026-06-01;2026-05-15;Concluído;Baixa
423;165;Manifestação;2026-07-23;2026-07-06;Concluído;Média
424;165;Documento;2026-09-06;2026-09-12;Concluído;Alta
425;165;Manifestação;2026-12-07;2026-11-22;Concluído;Média
426;166;Contestação;2026-12-26;2026-12-08;Concluído;Baixa
427;166;Contestação;2025-12-14;2025-11-26;Concluído;Baixa
428;166;Contestação;2026-11-26;2026-12-03;Concluído;Alta
429;166;Manifestação;2025-11-25;2025-11-17;Concluído;Média
430;167;Recurso;2026-05-09;;Vencido;Baixa
431;167;Pagamento;2027-06-19;2027-05-30;Concluído;Média
432;167;Contestação;2026-12-02;2026-11-14;Concluído;Média
433;168;Manifestação;2027-07-17;;Aberto;Alta
434;168;Manifestação;2027-07-14;;Aberto;Média
435;169;Recurso;2027-04-30;2027-05-08;Concluído;Alta
436;170;Documento;2026-04-29;2026-04-27;Concluído;Baixa
437;170;Documento;2025-12-08;;Vencido;Alta
438;170;Pagamento;2026-04-23;2026-04-15;Concluído;Média
439;170;Manifestação;2026-06-27;2026-06-25;Concluído;Alta
440;171;Manifestação;2026-06-09;2026-05-30;Concluído;Baixa
441;172;Manifestação;2026-10-25;2026-11-02;Concluído;Baixa
442;173;Documento;2026-07-06;2026-06-30;Concluído;Baixa
443;173;Pagamento;2027-10-11;2027-09-29;Concluído;Alta
444;173;Manifestação;2026-09-04;2026-08-18;Concluído;Alta
445;174;Recurso;2027-04-13;;Aberto;Alta
446;174;Pagamento;2026-10-15;;Aberto;Alta
447;175;Manifestação;2026-03-04;2026-02-18;Concluído;Média
448;175;Documento;2026-07-08;2026-07-14;Concluído;Alta
449;175;Manifestação;2026-12-08;2026-12-10;Concluído;Média
