audiencia_id;processo_id;data_audiencia;tipo;modalidade;status;resultado
118;177;2027-04-05;Conciliação;Presencial;Realizada;Adiada
119;178;2027-03-15;Julgamento;Presencial;Cancelada;Pendente
120;179;2026-11-19;Instrução;Presencial;Agendada;Acordo
121;180;2027-01-28;Instrução;Virtual;Cancelada;Pendente
122;181;2027-01-11;Conciliação;Virtual;Cancelada;Pendente
123;182;2027-02-06;Conciliação;Presencial;Cancelada;Adiada
124;183;2026-11-30;Julgamento;Presencial;Agendada;Acordo
125;184;2026-04-22;Instrução;Presencial;Agendada;Adiada
126;185;2027-01-03;Julgamento;Presencial;Cancelada;Sem acordo
127;186;2026-04-09;Instrução;Virtual;Cancelada;Adiada
128;188;2026-10-29;Julgamento;Presencial;Agendada;Adiada
129;190;2027-03-07;Conciliação;Presencial;Realizada;Acordo
130;191;2027-04-18;Conciliação;Virtual;Agendada;Pendente
131;195;2026-05-16;Instrução;Presencial;Realizada;Pendente
132;196;2026-11-22;Conciliação;Presencial;Cancelada;Adiada
133;197;2026-12-20;Conciliação;Presencial;Agendada;Acordo
134;198;2025-09-20;Conciliação;Presencial;Cancelada;Pendente
135;199;2027-02-09;Conciliação;Virtual;Cancelada;Adiada
136;200;2026-07-23;Instrução;Virtual;Cancelada;Adiada
137;201;2026-11-24;Julgamento;Virtual;Realizada;Acordo
138;202;2025-12-23;Instrução;Virtual;Agendada;Sem acordo
139;203;2026-07-31;Julgamento;Presencial;Cancelada;Adiada
140;206;2026-12-07;Instrução;Virtual;Agendada;Adiada
141;207;2026-12-25;Instrução;Presencial;Agendada;Sem acordo
142;208;2025-09-19;Julgamento;Presencial;Agendada;Sem acordo
143;209;2026-11-19;Instrução;Presencial;Agendada;Acordo
144;211;2026-02-19;Conciliação;Presencial;Agendada;Pendente
145;212;2026-08-20;Instrução;Presencial;Cancelada;Sem acordo
146;213;2026-03-17;Julgamento;Presencial;Cancelada;Adiada
147;217;2026-03-29;Instrução;Virtual;Cancelada;Sem acordo
148;219;2026-07-17;Conciliação;Presencial;Cancelada;Sem acordo
149;220;2025-12-29;Instrução;Presencial;Cancelada;Pendente
150;222;2027-05-20;Conciliação;Virtual;Cancelada;Acordo
151;223;2026-02-18;Conciliação;Virtual;Cancelada;Sem acordo
152;224;2026-07-11;Julgamento;Virtual;Cancelada;Acordo
153;226;2026-11-10;Instrução;Virtual;Realizada;Adiada
154;227;2027-02-02;Conciliação;Presencial;Realizada;Pendente
155;229;2026-05-30;Conciliação;Virtual;Agendada;Sem acordo
156;230;2025-11-17;Julgamento;Presencial;Cancelada;Acordo
157;231;2026-07-26;Instrução;Presencial;Agendada;Sem acordo
158;233;2027-01-21;Julgamento;Presencial;Realizada;Pendente
159;234;2025-12-05;Julgamento;Virtual;Agendada;Pendente
160;235;2026-08-09;Conciliação;Presencial;Agendada;Adiada
161;237;2026-10-13;Julgamento;Presencial;Agendada;Acordo
162;239;2026-06-22;Conciliação;Presencial;Agendada;Pendente
163;240;2027-02-15;Conciliação;Presencial;Cancelada;Adiada
164;242;2027-01-09;Julgamento;Presencial;Realizada;Adiada
165;245;2026-08-19;Julgamento;Presencial;Cancelada;Acordo
166;246;2026-11-08;Instrução;Presencial;Agendada;Pendente
167;247;2025-09-30;Julgamento;Presencial;Agendada;Adiada
168;248;2026-04-16;Julgamento;Presencial;Realizada;Pendente
169;249;2027-04-25;Conciliação;Presencial;Realizada;Pendente
170;252;2026-03-10;Conciliação;Virtual;Agendada;Acordo
171;253;2026-01-16;Julgamento;Virtual;Cancelada;Adiada
172;255;2026-10-28;Instrução;Virtual;Agendada;Sem acordo
173;256;2027-05-29;Instrução;Virtual;Realizada;Adiada
174;259;2027-05-14;Julgamento;Virtual;Cancelada;Acordo
175;260;2026-08-05;Julgamento;Virtual;Cancelada;Pendente
176;261;2026-09-24;Conciliação;Virtual;Cancelada;Adiada
177;262;2027-04-01;Instrução;Presencial;Cancelada;Sem acordo
178;263;2026-12-16;Conciliação;Presencial;Agendada;Pendente
179;264;2027-08-08;Instrução;Virtual;Realizada;Acordo
180;265;2027-04-29;Julgamento;Virtual;Agendada;Adiada
181;266;2026-12-14;Conciliação;Virtual;Cancelada;Acordo
182;268;2025-10-19;Instrução;Presencial;Realizada;Sem acordo
183;269;2027-08-07;Conciliação;Virtual;Agendada;Adiada
184;270;2027-03-15;Julgamento;Virtual;Agendada;Acordo
185;272;2026-10-28;Julgamento;Presencial;Agendada;Acordo
186;273;2026-10-29;Julgamento;Virtual;Cancelada;Acordo
187;274;2026-02-06;Instrução;Virtual;Cancelada;Adiada
188;276;2027-08-16;Julgamento;Virtual;Agendada;Acordo
189;277;2026-09-20;Conciliação;Virtual;Realizada;Sem acordo
190;280;2026-07-24;Conciliação;Virtual;Cancelada;Acordo
191;281;2025-09-26;Julgamento;Presencial;Agendada;Adiada
192;283;2025-08-19;Julgamento;Virtual;Cancelada;Pendente
193;284;2026-07-16;Instrução;Virtual;Agendada;Sem acordo
194;285;2026-09-13;Julgamento;Virtual;Agendada;Pendente
195;286;2026-06-09;Julgamento;Presencial;Cancelada;Adiada
196;287;2026-01-05;Instrução;Presencial;Agendada;Adiada
197;288;2026-07-16;Instrução;Virtual;Realizada;Adiada
198;292;2026-09-10;Conciliação;Virtual;Realizada;Adiada
199;297;2026-08-11;Julgamento;Virtual;Agendada;Pendente
200;298;2026-12-19;Instrução;Virtual;Agendada;Pendente
201;299;2026-05-04;Conciliação;Virtual;Agendada;Pendente
202;300;2026-08-11;Instrução;Presencial;Realizada;Sem acordo
203;301;2027-01-25;Julgamento;Presencial;Realizada;Acordo
204;302;2027-01-23;Conciliação;Virtual;Agendada;Adiada
205;305;2027-04-22;Julgamento;Virtual;Agendada;Sem acordo
206;306;2027-05-08;Conciliação;Virtual;Cancelada;Pendente
207;308;2027-01-01;Julgamento;Virtual;Cancelada;Pendente
208;312;2026-10-15;Julgamento;Presencial;Cancelada;Adiada
209;313;2027-09-30;Julgamento;Presencial;Realizada;Adiada
210;314;2026-07-29;Julgamento;Virtual;Cancelada;Acordo
211;315;2026-01-05;Instrução;Presencial;Agendada;Pendente
212;316;2026-01-06;Julgamento;Presencial;Realizada;Sem acordo
213;317;2026-12-09;Julgamento;Presencial;Cancelada;Pendente
214;319;2026-09-20;Conciliação;Presencial;Cancelada;Sem acordo
215;320;2026-03-13;Conciliação;Virtual;Agendada;Adiada
216;321;2026-02-19;Instrução;Presencial;Agendada;Adiada
217;322;2026-09-04;Instrução;Virtual;Agendada;Pendente
218;323;2026-12-08;Conciliação;Presencial;Realizada;Adiada
219;325;2026-10-24;Julgamento;Virtual;Agendada;Adiada
220;326;2026-09-15;Conciliação;Virtual;Cancelada;Sem acordo
221;327;2026-10-18;Conciliação;Presencial;Cancelada;Acordo
222;328;2026-08-08;Conciliação;Virtual;Agendada;Acordo
223;330;2026-12-04;Julgamento;Presencial;Cancelada;Sem acordo
224;332;2027-02-03;Julgamento;Virtual;Realizada;Adiada
225;333;2027-08-22;Instrução;Virtual;Cancelada;Pendente
226;334;2026-09-18;Julgamento;Presencial;Realizada;Pendente
227;336;2026-10-19;Conciliação;Virtual;Agendada;Acordo
228;337;2027-05-07;Julgamento;Presencial;Cancelada;Adiada
229;338;2027-01-05;Conciliação;Virtual;Agendada;Adiada
230;339;2026-09-25;Julgamento;Presencial;Realizada;Acordo
231;340;2027-01-08;Julgamento;Presencial;Agendada;Sem acordo
232;341;2026-09-23;Instrução;Presencial;Realizada;Sem acordo
233;342;2026-07-03;Conciliação;Presencial;Cancelada;Acordo
234;343;2027-06-09;Julgamento;Virtual;Agendada;Pendente
235;344;2026-08-16;Conciliação;Presencial;Realizada;Pendente
236;345;2026-06-12;Julgamento;Presencial;Realizada;Acordo
237;346;2026-03-13;Julgamento;Virtual;Cancelada;Sem acordo
238;347;2027-02-23;Julgamento;Virtual;Realizada;Sem acordo
239;348;2026-04-16;Julgamento;Virtual;Realizada;Sem acordo
240;350;2026-07-18;Julgamento;Virtual;Realizada;Sem acordo
241;352;2027-03-22;Instrução;Virtual;Realizada;Pendente
242;356;2026-05-06;Instrução;Presencial;Realizada;Pendente
243;357;2026-05-23;Conciliação;Virtual;Realizada;Acordo
244;358;2026-05-29;Conciliação;Virtual;Agendada;Pendente
245;359;2026-09-03;Julgamento;Presencial;Realizada;Sem acordo
246;360;2026-09-19;Conciliação;Virtual;Cancelada;Adiada
247;361;2026-10-14;Conciliação;Presencial;Agendada;Acordo
248;362;2027-05-05;Instrução;Presencial;Realizada;Adiada
249;364;2026-11-04;Julgamento;Virtual;Agendada;Acordo
250;365;2025-09-17;Conciliação;Presencial;Realizada;Adiada
251;366;2026-04-30;Julgamento;Presencial;Realizada;Sem acordo
252;367;2026-08-12;Conciliação;Presencial;Realizada;Pendente
253;369;2026-06-12;Julgamento;Presencial;Agendada;Pendente
254;370;2026-01-26;Conciliação;Presencial;Realizada;Sem acordo
255;371;2026-05-24;Instrução;Virtual;Realizada;Acordo
256;373;2026-10-23;Conciliação;Virtual;Cancelada;Pendente
257;374;2027-07-03;Instrução;Presencial;Cancelada;Sem acordo
258;375;2026-03-07;Conciliação;Virtual;Agendada;Adiada
259;376;2027-02-13;Conciliação;Virtual;Realizada;Adiada
260;377;2026-12-21;Julgamento;Virtual;Agendada;Pendente
261;378;2026-05-27;Conciliação;Virtual;Realizada;Adiada
262;381;2026-09-10;Conciliação;Virtual;Agendada;Pendente
263;383;2026-11-15;Instrução;Virtual;Realizada;Pendente
264;384;2027-04-14;Conciliação;Virtual;Realizada;Adiada
265;385;2026-01-03;Instrução;Presencial;Realizada;Adiada
266;386;2026-09-27;Conciliação;Presencial;Realizada;Sem acordo
267;388;2026-03-27;Julgamento;Virtual;Realizada;Acordo
268;389;2026-04-07;Conciliação;Presencial;Agendada;Pendente
269;390;2027-01-20;Instrução;Presencial;Agendada;Adiada
270;391;2026-06-28;Instrução;Presencial;Realizada;Pendente
271;392;2027-04-25;Conciliação;Presencial;Agendada;Pendente
272;394;2026-12-07;Julgamento;Virtual;Agendada;Pendente
273;395;2026-02-21;Conciliação;Virtual;Cancelada;Pendente
274;396;2027-01-11;Conciliação;Virtual;Agendada;Sem acordo
275;400;2025-12-07;Conciliação;Virtual;Agendada;Sem acordo
276;401;2026-05-24;Julgamento;Presencial;Realizada;Acordo
277;404;2026-08-03;Conciliação;Virtual;Agendada;Sem acordo
278;405;2026-06-13;Julgamento;Virtual;Realizada;Adiada
279;406;2027-04-10;Julgamento;Virtual;Cancelada;Pendente
280;407;2027-01-09;Instrução;Virtual;Agendada;Adiada
281;408;2026-07-22;Instrução;Virtual;Agendada;Sem acordo
282;409;2027-08-27;Conciliação;Virtual;Cancelada;Pendente
283;411;2025-11-03;Julgamento;Virtual;Cancelada;Acordo
284;412;2026-07-06;Julgamento;Presencial;Agendada;Adiada
285;413;2027-02-23;Julgamento;Virtual;Agendada;Pendente
286;416;2027-04-28;Julgamento;Presencial;Realizada;Acordo
287;417;2026-11-08;Instrução;Presencial;Agendada;Sem acordo
288;419;2027-03-31;Instrução;Virtual;Realizada;Acordo
289;420;2025-12-16;Julgamento;Virtual;Cancelada;Adiada
290;421;2027-03-17;Conciliação;Virtual;Realizada;Acordo
291;422;2027-06-16;Instrução;Presencial;Cancelada;Adiada
292;423;2026-08-15;Instrução;Presencial;Cancelada;Pendente
293;424;2026-05-17;Instrução;Virtual;Agendada;Adiada
294;426;2026-03-19;Instrução;Virtual;Realizada;Pendente
295;427;2026-12-27;Conciliação;Virtual;Agendada;Adiada
296;429;2026-05-24;Instrução;Virtual;Realizada;Pendente
297;430;2026-07-01;Conciliação;Virtual;Cancelada;Adiada
298;432;2027-07-27;Julgamento;Presencial;Cancelada;Pendente
299;434;2026-03-09;Julgamento;Presencial;Cancelada;Adiada
300;435;2026-12-19;Julgamento;Virtual;Realizada;Acordo
301;437;2025-11-28;Julgamento;Virtual;Realizada;Acordo
302;438;2026-10-27;Conciliação;Virtual;Cancelada;Acordo
303;439;2026-02-03;Julgamento;Presencial;Agendada;Pendente
304;440;2026-09-14;Julgamento;Presencial;Realizada;Adiada
305;441;2027-09-04;Conciliação;Presencial;Cancelada;Sem acordo
306;442;2027-01-04;Conciliação;Virtual;Realizada;Sem acordo
307;443;2026-03-07;Julgamento;Presencial;Agendada;Pendente
308;444;2026-10-02;Instrução;Virtual;Cancelada;Sem acordo
309;445;2026-04-25;Instrução;Presencial;Cancelada;Pendente
310;447;2025-11-29;Julgamento;Presencial;Cancelada;Acordo
311;448;2026-08-26;Julgamento;Presencial;Realizada;Pendente
312;449;2027-06-28;Julgamento;Presencial;Agendada;Pendente
313;450;2026-11-17;Julgamento;Presencial;Agendada;Sem acordo
314;451;2026-10-22;Instrução;Virtual;Realizada;Acordo
315;452;2027-08-04;Julgamento;Virtual;Realizada;Sem acordo
316;453;2027-06-03;Instrução;Presencial;Cancelada;Acordo
317;454;2026-08-08;Julgamento;Virtual;Cancelada;Pendente
318;455;2026-01-20;Instrução;Presencial;Cancelada;Adiada
319;456;2026-12-27;Julgamento;Presencial;Agendada;Sem acordo
320;457;2026-01-03;Julgamento;Virtual;Agendada;Pendente
321;460;2026-01-16;Julgamento;Presencial;Cancelada;Adiada
322;461;2027-02-07;Instrução;Presencial;Agendada;Sem acordo
323;462;2027-03-01;Conciliação;Virtual;Agendada;Sem acordo
324;465;2026-01-02;Julgamento;Presencial;Agendada;Acordo
325;466;2027-03-16;Conciliação;Virtual;Cancelada;Sem acordo
326;467;2026-04-07;Instrução;Virtual;Cancelada;Sem acordo
327;469;2027-07-04;Instrução;Presencial;Agendada;Acordo
328;471;2026-08-01;Instrução;Presencial;Agendada;Acordo
329;474;2027-02-03;Julgamento;Virtual;Cancelada;Acordo
330;475;2025-09-27;Julgamento;Virtual;Cancelada;Adiada
331;476;2026-08-06;Instrução;Presencial;Agendada;Pendente
332;479;2026-12-28;Conciliação;Virtual;Cancelada;Adiada
333;480;2027-10-03;Conciliação;Presencial;Agendada;Adiada
334;481;2026-06-12;Julgamento;Virtual;Agendada;Adiada
335;482;2026-04-10;Instrução;Presencial;Cancelada;Acordo
336;483;2026-08-24;Julgamento;Virtual;Cancelada;Acordo
337;484;2026-04-30;Conciliação;Virtual;Agendada;Pendente
338;485;2027-02-12;Julgamento;Presencial;Cancelada;Acordo
339;486;2026-03-22;Julgamento;Virtual;Agendada;Sem acordo
340;487;2026-11-29;Instrução;Presencial;Cancelada;Sem acordo
341;489;2025-11-18;Instrução;Presencial;Agendada;Acordo
342;490;2025-11-03;Instrução;Virtual;Cancelada;Acordo
343;491;2027-02-12;Julgamento;Presencial;Realizada;Sem acordo
344;492;2026-04-16;Conciliação;Presencial;Cancelada;Adiada
345;493;2027-03-22;Julgamento;Presencial;Realizada;Sem acordo
346;494;2026-06-03;Julgamento;Presencial;Realizada;Adiada
347;495;2027-02-18;Conciliação;Presencial;Realizada;Acordo
348;496;2027-02-12;Instrução;Presencial;Realizada;Sem acordo
349;497;2025-12-29;Instrução;Presencial;Cancelada;Sem acordo
350;498;2026-10-22;Julgamento;Presencial;Cancelada;Adiada
351;499;2027-07-03;Instrução;Presencial;Agendada;Acordo
352;501;2026-06-02;Instrução;Presencial;Agendada;Pendente
353;502;2026-02-12;Instrução;Presencial;Realizada;Adiada
354;503;2027-01-27;Instrução;Presencial;Realizada;Pendente
355;504;2026-10-16;Conciliação;Presencial;Agendada;Sem acordo
356;505;2027-02-04;Instrução;Presencial;Cancelada;Adiada
357;506;2026-11-30;Julgamento;Virtual;Cancelada;Sem acordo
358;507;2027-03-20;Julgamento;Presencial;Agendada;Pendente
359;508;2026-09-05;Conciliação;Virtual;Agendada;Acordo
360;510;2026-12-27;Instrução;Presencial;Realizada;Adiada
361;511;2026-10-11;Instrução;Presencial;Agendada;Acordo
362;512;2027-03-11;Conciliação;Virtual;Agendada;Sem acordo
363;513;2027-06-03;Conciliação;Virtual;Realizada;Pendente
364;514;2026-12-01;Conciliação;Presencial;Cancelada;Pendente
365;515;2026-02-07;Julgamento;Virtual;Agendada;Acordo
366;516;2027-01-23;Julgamento;Virtual;Realizada;Adiada
367;517;2026-05-23;Conciliação;Virtual;Cancelada;Acordo
368;518;2027-01-01;Conciliação;Presencial;Realizada;Acordo
369;520;2026-04-09;Instrução;Presencial;Cancelada;Sem acordo
370;522;2026-02-18;Conciliação;Presencial;Realizada;Sem acordo
371;523;2027-09-14;Instrução;Presencial;Agendada;Sem acordo
372;524;2027-06-18;Julgamento;Presencial;Agendada;Sem acordo
373;526;2026-11-15;Instrução;Presencial;Agendada;Acordo
374;527;2026-09-23;Instrução;Presencial;Agendada;Sem acordo
375;528;2025-11-07;Conciliação;Virtual;Realizada;Sem acordo
376;529;2026-11-07;Instrução;Presencial;Cancelada;Acordo
377;530;2026-09-29;Julgamento;Presencial;Agendada;Sem acordo
378;531;2026-12-04;Instrução;Virtual;Cancelada;Sem acordo
379;533;2025-11-30;Instrução;Presencial;Agendada;Adiada
380;534;2027-02-06;Instrução;Presencial;Cancelada;Acordo
381;535;2026-09-24;Julgamento;Presencial;Agendada;Pendente
382;536;2026-07-11;Julgamento;Presencial;Cancelada;Sem acordo
383;540;2027-01-03;Julgamento;Virtual;Cancelada;Sem acordo
384;542;2026-05-18;Instrução;Virtual;Agendada;Adiada
385;543;2026-08-20;Julgamento;Virtual;Cancelada;Acordo
386;545;2025-11-28;Conciliação;Presencial;Cancelada;Pendente
387;546;2026-10-06;Conciliação;Virtual;Agendada;Pendente
388;547;2026-02-21;Julgamento;Presencial;Realizada;Adiada
389;548;2027-03-26;Instrução;Presencial;Agendada;Pendente
390;551;2026-06-25;Conciliação;Virtual;Realizada;Adiada
391;552;2027-05-06;Conciliação;Virtual;Realizada;Adiada
392;553;2027-04-23;Julgamento;Presencial;Cancelada;Acordo
393;554;2026-03-10;Julgamento;Presencial;Cancelada;Sem acordo
394;556;2027-05-11;Conciliação;Virtual;Cancelada;Pendente
395;558;2026-08-31;Julgamento;Virtual;Agendada;Acordo
396;559;2027-07-15;Instrução;Presencial;Agendada;Adiada
397;560;2026-07-23;Conciliação;Presencial;Realizada;Pendente
398;561;2025-10-15;Julgamento;Virtual;Agendada;Sem acordo
399;562;2026-04-14;Instrução;Virtual;Agendada;Pendente
400;563;2027-04-10;Julgamento;Presencial;Agendada;Sem acordo
401;566;2025-09-21;Conciliação;Virtual;Cancelada;Pendente
402;568;2026-08-02;Conciliação;Presencial;Agendada;Pendente
403;569;2026-11-11;Conciliação;Presencial;Realizada;Adiada
404;571;2026-10-27;Instrução;Virtual;Cancelada;Adiada
405;572;2026-03-30;Instrução;Virtual;Realizada;Sem acordo
406;573;2026-05-15;Julgamento;Presencial;Agendada;Pendente
407;575;2025-10-20;Conciliação;Presencial;Realizada;Pendente
408;576;2026-11-25;Instrução;Presencial;Realizada;Sem acordo
409;578;2026-05-11;Instrução;Virtual;Agendada;Adiada
410;579;2026-05-27;Conciliação;Virtual;Cancelada;Pendente
411;580;2026-03-11;Conciliação;Presencial;Cancelada;Pendente
412;582;2026-08-02;Julgamento;Presencial;Cancelada;Sem acordo
413;583;2026-11-20;Instrução;Presencial;Agendada;Adiada
414;584;2026-01-20;Julgamento;Virtual;Cancelada;Sem acordo
415;585;2026-04-23;Conciliação;Presencial;Agendada;Adiada
416;587;2027-06-27;Conciliação;Presencial;Agendada;Sem acordo
417;588;2026-01-09;Julgamento;Presencial;Realizada;Pendente
418;589;2027-01-19;Conciliação;Presencial;Agendada;Adiada
419;590;2026-02-01;Julgamento;Virtual;Agendada;Sem acordo
420;591;2026-05-15;Conciliação;Virtual;Cancelada;Pendente
421;592;2026-07-23;Conciliação;Virtual;Cancelada;Adiada
422;593;2027-05-08;Conciliação;Presencial;Agendada;Adiada
423;598;2026-02-16;Julgamento;Virtual;Realizada;Acordo
424;599;2026-07-20;Instrução;Presencial;Agendada;Adiada
425;600;2027-04-19;Instrução;Presencial;Realizada;Sem acordo
426;601;2026-01-22;Instrução;Virtual;Agendada;Sem acordo
427;602;2026-04-16;Conciliação;Presencial;Agendada;Pendente
