cliente_id;codigo_cliente;tipo_pessoa;uf;data_cadastro;status
108;CLI-00108;Pessoa Jurídica;SP;2025-06-01;Ativo
109;CLI-00109;Pessoa Física;SC;2023-06-26;Ativo
110;CLI-00110;Pessoa Jurídica;RJ;2021-11-17;Ativo
111;CLI-00111;Pessoa Física;RJ;2021-09-06;Ativo
112;CLI-00112;Pessoa Jurídica;SP;2021-10-01;Ativo
113;CLI-00113;Pessoa Física;PR;2023-03-21;Ativo
114;CLI-00114;Pessoa Física;MG;2024-11-25;Ativo
115;CLI-00115;Pessoa Jurídica;SP;2025-06-20;Ativo
116;CLI-00116;Pessoa Física;SP;2021-12-19;Ativo
117;CLI-00117;Pessoa Jurídica;MG;2023-09-20;Ativo
118;CLI-00118;Pessoa Jurídica;MG;2023-10-02;Ativo
119;CLI-00119;Pessoa Física;MG;2024-07-28;Inativo
120;CLI-00120;Pessoa Jurídica;SP;2023-04-04;Ativo
121;CLI-00121;Pessoa Jurídica;SP;2023-06-11;Ativo
122;CLI-00122;Pessoa Jurídica;RJ;2023-06-17;Inativo
123;CLI-00123;Pessoa Jurídica;SP;2024-04-17;Ativo
124;CLI-00124;Pessoa Jurídica;MG;2022-06-18;Ativo
125;CLI-00125;Pessoa Física;SP;2022-03-31;Ativo
126;CLI-00126;Pessoa Jurídica;RJ;2021-10-05;Ativo
127;CLI-00127;Pessoa Física;SC;2024-08-03;Ativo
128;CLI-00128;Pessoa Jurídica;MG;2025-02-22;Ativo
129;CLI-00129;Pessoa Física;PR;2024-06-25;Ativo
130;CLI-00130;Pessoa Física;SC;2023-01-26;Ativo
131;CLI-00131;Pessoa Jurídica;RJ;2022-05-16;Ativo
132;CLI-00132;Pessoa Jurídica;MG;2025-03-24;Ativo
133;CLI-00133;Pessoa Física;MG;2021-05-26;Ativo
134;CLI-00134;Pessoa Física;MG;2024-04-18;Ativo
135;CLI-00135;Pessoa Jurídica;SP;2025-02-05;Inativo
136;CLI-00136;Pessoa Jurídica;PR;2021-07-15;Ativo
137;CLI-00137;Pessoa Física;SP;2025-01-31;Ativo
138;CLI-00138;Pessoa Jurídica;SP;2023-02-24;Ativo
139;CLI-00139;Pessoa Jurídica;SC;2022-12-31;Ativo
140;CLI-00140;Pessoa Física;SP;2024-06-13;Ativo
141;CLI-00141;Pessoa Jurídica;PR;2023-09-12;Ativo
142;CLI-00142;Pessoa Física;PR;2021-10-19;Ativo
143;CLI-00143;Pessoa Física;SP;2022-03-18;Ativo
144;CLI-00144;Pessoa Física;PR;2025-04-30;Ativo
145;CLI-00145;Pessoa Física;SC;2023-10-08;Inativo
146;CLI-00146;Pessoa Física;RJ;2024-02-21;Ativo
147;CLI-00147;Pessoa Jurídica;MG;2024-03-16;Ativo
148;CLI-00148;Pessoa Jurídica;SC;2025-06-05;Ativo
149;CLI-00149;Pessoa Jurídica;RJ;2021-05-29;Ativo
150;CLI-00150;Pessoa Física;MG;2021-11-03;Ativo
151;CLI-00151;Pessoa Física;SP;2023-09-12;Ativo
152;CLI-00152;Pessoa Jurídica;RJ;2022-10-03;Ativo
153;CLI-00153;Pessoa Jurídica;SC;2022-11-11;Ativo
154;CLI-00154;Pessoa Jurídica;PR;2024-06-12;Ativo
155;CLI-00155;Pessoa Jurídica;SP;2025-02-19;Ativo
156;CLI-00156;Pessoa Jurídica;SC;2025-03-08;Ativo
157;CLI-00157;Pessoa Física;SC;2021-10-01;Ativo
158;CLI-00158;Pessoa Física;PR;2023-01-08;Ativo
159;CLI-00159;Pessoa Jurídica;SC;2025-06-06;Ativo
160;CLI-00160;Pessoa Jurídica;SP;2021-12-04;Inativo
161;CLI-00161;Pessoa Física;MG;2024-03-05;Ativo
162;CLI-00162;Pessoa Jurídica;RJ;2024-06-07;Ativo
163;CLI-00163;Pessoa Física;RJ;2022-03-21;Ativo
164;CLI-00164;Pessoa Jurídica;SP;2021-12-13;Ativo
165;CLI-00165;Pessoa Física;PR;2022-04-12;Ativo
166;CLI-00166;Pessoa Física;SC;2025-06-22;Ativo
167;CLI-00167;Pessoa Jurídica;SC;2024-11-02;Inativo
168;CLI-00168;Pessoa Jurídica;PR;2021-05-25;Ativo
169;CLI-00169;Pessoa Jurídica;PR;2023-03-25;Ativo
170;CLI-00170;Pessoa Física;PR;2023-08-08;Ativo
171;CLI-00171;Pessoa Física;RJ;2022-08-06;Ativo
172;CLI-00172;Pessoa Jurídica;MG;2021-07-04;Ativo
173;CLI-00173;Pessoa Física;PR;2022-12-03;Ativo
174;CLI-00174;Pessoa Física;PR;2024-02-19;Ativo
175;CLI-00175;Pessoa Física;RJ;2022-10-08;Ativo
176;CLI-00176;Pessoa Física;SC;2021-06-04;Ativo
177;CLI-00177;Pessoa Física;SC;2022-08-31;Ativo
178;CLI-00178;Pessoa Jurídica;RJ;2024-05-15;Ativo
179;CLI-00179;Pessoa Jurídica;SC;2021-12-31;Ativo
180;CLI-00180;Pessoa Física;MG;2024-03-31;Ativo
181;CLI-00181;Pessoa Jurídica;RJ;2022-09-04;Ativo
182;CLI-00182;Pessoa Jurídica;RJ;2021-08-19;Ativo
183;CLI-00183;Pessoa Jurídica;MG;2022-08-06;Ativo
184;CLI-00184;Pessoa Física;MG;2022-04-14;Ativo
185;CLI-00185;Pessoa Jurídica;SP;2021-08-19;Ativo
186;CLI-00186;Pessoa Física;PR;2023-05-14;Ativo
187;CLI-00187;Pessoa Física;SP;2022-03-11;Inativo
188;CLI-00188;Pessoa Jurídica;PR;2025-06-08;Ativo
189;CLI-00189;Pessoa Física;PR;2022-02-02;Ativo
190;CLI-00190;Pessoa Física;SP;2024-01-13;Ativo
191;CLI-00191;Pessoa Jurídica;PR;2024-08-23;Ativo
192;CLI-00192;Pessoa Jurídica;MG;2023-04-18;Ativo
193;CLI-00193;Pessoa Jurídica;MG;2024-06-28;Inativo
194;CLI-00194;Pessoa Física;RJ;2023-12-17;Ativo
195;CLI-00195;Pessoa Física;MG;2024-05-05;Ativo
196;CLI-00196;Pessoa Jurídica;RJ;2021-11-09;Ativo
197;CLI-00197;Pessoa Física;PR;2021-05-28;Ativo
198;CLI-00198;Pessoa Física;SC;2023-07-28;Ativo
199;CLI-00199;Pessoa Física;SC;2024-09-10;Ativo
200;CLI-00200;Pessoa Física;PR;2024-07-04;Inativo
201;CLI-00201;Pessoa Jurídica;SC;2022-08-05;Ativo
202;CLI-00202;Pessoa Jurídica;PR;2021-06-20;Ativo
203;CLI-00203;Pessoa Jurídica;MG;2024-03-14;Ativo
204;CLI-00204;Pessoa Jurídica;SP;2024-09-16;Ativo
205;CLI-00205;Pessoa Física;SP;2022-12-21;Ativo
206;CLI-00206;Pessoa Física;SC;2024-07-29;Ativo
207;CLI-00207;Pessoa Jurídica;SC;2024-06-28;Ativo
208;CLI-00208;Pessoa Jurídica;SP;2022-05-28;Ativo
209;CLI-00209;Pessoa Jurídica;SP;2022-03-18;Ativo
210;CLI-00210;Pessoa Jurídica;PR;2024-03-22;Ativo
211;CLI-00211;Pessoa Jurídica;SP;2025-01-22;Ativo
212;CLI-00212;Pessoa Jurídica;MG;2025-02-20;Ativo
213;CLI-00213;Pessoa Jurídica;SP;2022-01-30;Ativo
214;CLI-00214;Pessoa Jurídica;SC;2025-04-15;Ativo
215;CLI-00215;Pessoa Jurídica;RJ;2023-07-18;Ativo
216;CLI-00216;Pessoa Jurídica;PR;2023-06-24;Ativo
217;CLI-00217;Pessoa Jurídica;RJ;2023-11-20;Ativo
218;CLI-00218;Pessoa Jurídica;RJ;2024-09-21;Inativo
219;CLI-00219;Pessoa Jurídica;SC;2024-09-15;Ativo
220;CLI-00220;Pessoa Jurídica;RJ;2023-05-20;Ativo
221;CLI-00221;Pessoa Física;RJ;2025-06-05;Ativo
222;CLI-00222;Pessoa Física;PR;2024-03-21;Ativo
223;CLI-00223;Pessoa Física;MG;2022-03-03;Ativo
224;CLI-00224;Pessoa Jurídica;MG;2024-03-25;Ativo
225;CLI-00225;Pessoa Jurídica;PR;2024-12-26;Ativo
226;CLI-00226;Pessoa Física;SP;2023-02-08;Ativo
227;CLI-00227;Pessoa Física;PR;2024-05-03;Ativo
228;CLI-00228;Pessoa Jurídica;RJ;2025-04-10;Ativo
229;CLI-00229;Pessoa Física;SC;2021-09-05;Ativo
230;CLI-00230;Pessoa Jurídica;PR;2023-05-29;Ativo
231;CLI-00231;Pessoa Física;SP;2022-01-01;Ativo
232;CLI-00232;Pessoa Jurídica;MG;2022-11-25;Ativo
233;CLI-00233;Pessoa Física;SC;2023-08-26;Inativo
234;CLI-00234;Pessoa Física;MG;2021-12-29;Ativo
235;CLI-00235;Pessoa Física;SP;2024-04-15;Ativo
236;CLI-00236;Pessoa Física;PR;2022-07-25;Ativo
237;CLI-00237;Pessoa Jurídica;SC;2022-05-30;Ativo
238;CLI-00238;Pessoa Jurídica;RJ;2025-06-24;Ativo
239;CLI-00239;Pessoa Jurídica;PR;2021-11-24;Ativo
240;CLI-00240;Pessoa Física;SP;2023-02-06;Ativo
241;CLI-00241;Pessoa Jurídica;PR;2023-12-18;Ativo
242;CLI-00242;Pessoa Jurídica;RJ;2024-10-02;Ativo
243;CLI-00243;Pessoa Física;SP;2022-02-11;Ativo
244;CLI-00244;Pessoa Jurídica;PR;2022-06-18;Ativo
245;CLI-00245;Pessoa Física;RJ;2021-07-24;Ativo
246;CLI-00246;Pessoa Jurídica;SC;2025-03-16;Ativo
247;CLI-00247;Pessoa Física;MG;2024-02-28;Ativo
248;CLI-00248;Pessoa Jurídica;RJ;2025-03-05;Ativo
249;CLI-00249;Pessoa Jurídica;SP;2024-05-20;Ativo
250;CLI-00250;Pessoa Física;RJ;2021-06-07;Ativo
251;CLI-00251;Pessoa Física;PR;2021-07-30;Ativo
252;CLI-00252;Pessoa Jurídica;SP;2022-06-14;Ativo
253;CLI-00253;Pessoa Física;SP;2024-06-09;Ativo
254;CLI-00254;Pessoa Física;RJ;2024-03-21;Ativo
255;CLI-00255;Pessoa Jurídica;SC;2021-12-02;Ativo
256;CLI-00256;Pessoa Física;PR;2022-04-09;Inativo
257;CLI-00257;Pessoa Física;RJ;2021-06-30;Inativo
258;CLI-00258;Pessoa Jurídica;RJ;2023-09-08;Ativo
259;CLI-00259;Pessoa Física;SC;2024-12-23;Ativo
260;CLI-00260;Pessoa Física;MG;2025-04-20;Ativo
261;CLI-00261;Pessoa Jurídica;MG;2023-06-20;Ativo
262;CLI-00262;Pessoa Física;PR;2024-07-19;Ativo
263;CLI-00263;Pessoa Jurídica;PR;2025-04-07;Ativo
264;CLI-00264;Pessoa Física;SP;2021-10-07;Ativo
265;CLI-00265;Pessoa Jurídica;SP;2021-08-14;Inativo
266;CLI-00266;Pessoa Jurídica;RJ;2021-06-18;Ativo
267;CLI-00267;Pessoa Física;RJ;2025-06-20;Ativo
268;CLI-00268;Pessoa Jurídica;PR;2022-10-01;Ativo
269;CLI-00269;Pessoa Física;MG;2025-03-01;Ativo
270;CLI-00270;Pessoa Física;SC;2021-09-29;Ativo
271;CLI-00271;Pessoa Jurídica;SC;2023-03-13;Ativo
272;CLI-00272;Pessoa Física;MG;2025-02-20;Ativo
273;CLI-00273;Pessoa Física;SP;2023-09-12;Ativo
274;CLI-00274;Pessoa Física;MG;2022-08-05;Ativo
275;CLI-00275;Pessoa Jurídica;SC;2023-11-24;Ativo
276;CLI-00276;Pessoa Jurídica;SC;2021-12-26;Ativo
277;CLI-00277;Pessoa Jurídica;RJ;2024-01-03;Ativo
278;CLI-00278;Pessoa Física;RJ;2022-07-19;Ativo
279;CLI-00279;Pessoa Jurídica;SC;2025-05-17;Ativo
280;CLI-00280;Pessoa Física;PR;2024-08-26;Ativo
281;CLI-00281;Pessoa Jurídica;PR;2023-09-10;Ativo
282;CLI-00282;Pessoa Jurídica;RJ;2024-03-31;Ativo
283;CLI-00283;Pessoa Jurídica;RJ;2023-04-18;Ativo
284;CLI-00284;Pessoa Jurídica;SC;2022-05-29;Inativo
285;CLI-00285;Pessoa Física;PR;2023-04-26;Ativo
286;CLI-00286;Pessoa Jurídica;PR;2023-01-04;Ativo
287;CLI-00287;Pessoa Física;MG;2024-03-09;Ativo
288;CLI-00288;Pessoa Física;MG;2022-02-10;Inativo
289;CLI-00289;Pessoa Física;MG;2021-06-26;Ativo
290;CLI-00290;Pessoa Física;SP;2022-08-01;Ativo
291;CLI-00291;Pessoa Jurídica;SC;2023-04-14;Ativo
292;CLI-00292;Pessoa Jurídica;PR;2025-01-13;Ativo
293;CLI-00293;Pessoa Jurídica;MG;2025-01-04;Ativo
294;CLI-00294;Pessoa Jurídica;SC;2023-07-09;Ativo
295;CLI-00295;Pessoa Física;MG;2023-01-05;Ativo
296;CLI-00296;Pessoa Física;SP;2021-10-16;Ativo
297;CLI-00297;Pessoa Jurídica;SP;2024-01-13;Inativo
298;CLI-00298;Pessoa Física;SC;2021-09-11;Ativo
299;CLI-00299;Pessoa Física;MG;2023-04-12;Ativo
300;CLI-00300;Pessoa Jurídica;RJ;2021-10-06;Ativo
301;CLI-00301;Pessoa Jurídica;SC;2024-03-02;Ativo
302;CLI-00302;Pessoa Física;SP;2021-11-18;Ativo
303;CLI-00303;Pessoa Jurídica;SC;2024-02-17;Ativo
304;CLI-00304;Pessoa Jurídica;MG;2022-03-26;Ativo
305;CLI-00305;Pessoa Física;SC;2021-11-04;Ativo
306;CLI-00306;Pessoa Física;RJ;2022-06-12;Ativo
307;CLI-00307;Pessoa Jurídica;SP;2023-03-05;Ativo
308;CLI-00308;Pessoa Física;MG;2024-12-19;Inativo
309;CLI-00309;Pessoa Jurídica;MG;2024-10-18;Ativo
310;CLI-00310;Pessoa Jurídica;SC;2024-10-09;Ativo
311;CLI-00311;Pessoa Física;MG;2022-06-19;Ativo
312;CLI-00312;Pessoa Jurídica;SC;2025-04-01;Ativo
313;CLI-00313;Pessoa Física;RJ;2024-10-15;Ativo
314;CLI-00314;Pessoa Física;RJ;2024-01-13;Ativo
315;CLI-00315;Pessoa Jurídica;MG;2023-02-23;Ativo
316;CLI-00316;Pessoa Física;SP;2023-10-01;Ativo
317;CLI-00317;Pessoa Física;SP;2023-12-22;Ativo
318;CLI-00318;Pessoa Física;PR;2025-01-28;Ativo
319;CLI-00319;Pessoa Física;MG;2022-10-09;Ativo
320;CLI-00320;Pessoa Jurídica;PR;2023-06-17;Ativo
321;CLI-00321;Pessoa Jurídica;SC;2023-02-04;Ativo
322;CLI-00322;Pessoa Física;SC;2023-09-13;Ativo
323;CLI-00323;Pessoa Física;SP;2024-09-23;Ativo
324;CLI-00324;Pessoa Jurídica;PR;2024-10-17;Ativo
325;CLI-00325;Pessoa Física;PR;2025-04-14;Ativo
326;CLI-00326;Pessoa Jurídica;PR;2025-01-27;Ativo
327;CLI-00327;Pessoa Física;SC;2022-03-01;Ativo
328;CLI-00328;Pessoa Jurídica;PR;2021-12-06;Ativo
329;CLI-00329;Pessoa Jurídica;RJ;2021-07-10;Ativo
330;CLI-00330;Pessoa Jurídica;SP;2021-12-08;Inativo
331;CLI-00331;Pessoa Física;SC;2024-07-02;Ativo
332;CLI-00332;Pessoa Jurídica;SP;2022-02-23;Ativo
333;CLI-00333;Pessoa Jurídica;MG;2022-08-07;Ativo
334;CLI-00334;Pessoa Jurídica;SC;2022-09-15;Ativo
335;CLI-00335;Pessoa Jurídica;SC;2024-09-06;Ativo
336;CLI-00336;Pessoa Física;MG;2021-09-21;Ativo
337;CLI-00337;Pessoa Física;PR;2021-10-03;Ativo
338;CLI-00338;Pessoa Jurídica;PR;2023-10-05;Ativo
339;CLI-00339;Pessoa Jurídica;MG;2021-09-26;Ativo
340;CLI-00340;Pessoa Física;PR;2022-07-10;Ativo
341;CLI-00341;Pessoa Jurídica;RJ;2021-08-27;Ativo
342;CLI-00342;Pessoa Física;SP;2022-09-29;Ativo
343;CLI-00343;Pessoa Física;SC;2023-03-16;Ativo
344;CLI-00344;Pessoa Física;SC;2023-07-17;Ativo
345;CLI-00345;Pessoa Física;SP;2023-01-19;Ativo
346;CLI-00346;Pessoa Jurídica;MG;2021-11-03;Ativo
347;CLI-00347;Pessoa Jurídica;PR;2022-02-22;Ativo
348;CLI-00348;Pessoa Física;SP;2025-04-21;Ativo
349;CLI-00349;Pessoa Jurídica;MG;2021-09-14;Inativo
350;CLI-00350;Pessoa Jurídica;SC;2021-09-09;Ativo
351;CLI-00351;Pessoa Física;SP;2023-05-04;Ativo
352;CLI-00352;Pessoa Física;RJ;2023-09-11;Inativo
353;CLI-00353;Pessoa Jurídica;SP;2023-10-29;Ativo
354;CLI-00354;Pessoa Física;PR;2021-05-23;Ativo
355;CLI-00355;Pessoa Física;SP;2021-08-09;Ativo
356;CLI-00356;Pessoa Jurídica;MG;2023-09-16;Ativo
357;CLI-00357;Pessoa Jurídica;PR;2023-11-04;Ativo
358;CLI-00358;Pessoa Jurídica;RJ;2021-10-20;Ativo
359;CLI-00359;Pessoa Física;RJ;2021-05-25;Ativo
360;CLI-00360;Pessoa Jurídica;PR;2024-11-23;Inativo
361;CLI-00361;Pessoa Jurídica;SP;2022-08-17;Ativo
362;CLI-00362;Pessoa Física;SP;2021-08-02;Ativo
363;CLI-00363;Pessoa Física;MG;2024-09-23;Ativo
364;CLI-00364;Pessoa Jurídica;MG;2022-03-07;Ativo
365;CLI-00365;Pessoa Jurídica;PR;2023-04-16;Ativo
366;CLI-00366;Pessoa Jurídica;RJ;2021-12-30;Ativo
367;CLI-00367;Pessoa Jurídica;RJ;2023-10-02;Ativo
368;CLI-00368;Pessoa Física;PR;2023-07-17;Ativo
369;CLI-00369;Pessoa Física;SP;2023-06-28;Ativo
370;CLI-00370;Pessoa Jurídica;MG;2023-01-28;Ativo
371;CLI-00371;Pessoa Física;SC;2024-10-04;Ativo
372;CLI-00372;Pessoa Física;SP;2024-10-27;Ativo
373;CLI-00373;Pessoa Física;SC;2021-10-29;Ativo
374;CLI-00374;Pessoa Jurídica;MG;2021-10-02;Ativo
375;CLI-00375;Pessoa Física;PR;2021-11-30;Inativo
376;CLI-00376;Pessoa Jurídica;RJ;2025-03-20;Ativo
377;CLI-00377;Pessoa Física;RJ;2022-09-17;Ativo
378;CLI-00378;Pessoa Jurídica;SP;2023-02-24;Ativo
379;CLI-00379;Pessoa Jurídica;SC;2021-12-07;Inativo
380;CLI-00380;Pessoa Física;RJ;2023-12-15;Inativo
381;CLI-00381;Pessoa Jurídica;SP;2023-11-30;Ativo
382;CLI-00382;Pessoa Física;PR;2023-10-03;Ativo
383;CLI-00383;Pessoa Física;MG;2023-09-13;Ativo
384;CLI-00384;Pessoa Física;MG;2022-08-30;Ativo
385;CLI-00385;Pessoa Jurídica;SP;2025-03-13;Ativo
386;CLI-00386;Pessoa Física;PR;2021-12-24;Ativo
387;CLI-00387;Pessoa Física;RJ;2023-12-26;Ativo
388;CLI-00388;Pessoa Jurídica;MG;2023-02-27;Ativo
389;CLI-00389;Pessoa Física;PR;2025-04-05;Ativo
390;CLI-00390;Pessoa Física;RJ;2023-10-03;Ativo
391;CLI-00391;Pessoa Jurídica;PR;2023-03-30;Ativo
392;CLI-00392;Pessoa Jurídica;PR;2024-04-04;Ativo
393;CLI-00393;Pessoa Jurídica;MG;2022-08-20;Inativo
394;CLI-00394;Pessoa Física;MG;2022-03-11;Inativo
395;CLI-00395;Pessoa Jurídica;MG;2025-01-08;Ativo
396;CLI-00396;Pessoa Jurídica;MG;2022-07-31;Ativo
397;CLI-00397;Pessoa Jurídica;MG;2022-04-13;Inativo
398;CLI-00398;Pessoa Jurídica;SP;2023-03-02;Ativo
399;CLI-00399;Pessoa Física;RJ;2021-07-22;Ativo
400;CLI-00400;Pessoa Física;MG;2022-04-22;Ativo
401;CLI-00401;Pessoa Física;SC;2022-04-14;Ativo
402;CLI-00402;Pessoa Jurídica;RJ;2023-09-20;Ativo
403;CLI-00403;Pessoa Física;RJ;2025-03-26;Ativo
404;CLI-00404;Pessoa Física;SP;2025-04-16;Ativo
405;CLI-00405;Pessoa Física;SP;2022-06-27;Ativo
406;CLI-00406;Pessoa Jurídica;RJ;2023-04-11;Ativo
407;CLI-00407;Pessoa Física;RJ;2021-09-13;Ativo
408;CLI-00408;Pessoa Física;SC;2021-12-07;Ativo
409;CLI-00409;Pessoa Física;MG;2021-11-07;Ativo
410;CLI-00410;Pessoa Jurídica;SC;2023-01-22;Ativo
411;CLI-00411;Pessoa Jurídica;PR;2022-11-07;Ativo
412;CLI-00412;Pessoa Jurídica;SC;2024-05-02;Ativo
