visita_id,terceiro_id,data_visita,unidade,motivo,status
VI00054,TE01627,2025-11-22,Jaboticabal,Auditoria,Realizada
VI00055,TE01295,2026-03-09,Joinville,Entrega,Realizada
VI00056,TE02863,2025-03-05,Joinville,Serviço,Realizada
VI00057,TE00090,2026-05-03,Joinville,Auditoria,Realizada
VI00058,TE01415,2025-01-25,Jaboticabal,Auditoria,Agendada
VI00059,TE00228,2025-10-26,Joinville,Auditoria,Realizada
VI00060,TE00225,2025-11-02,Joinville,Auditoria,Cancelada
VI00061,TE02902,2024-05-30,Jaboticabal,Reunião,Realizada
VI00062,TE01367,2026-04-29,Joinville,Entrega,Realizada
VI00063,TE02875,2025-10-16,Joinville,Auditoria,Realizada
VI00064,TE00389,2024-01-02,Joinville,Entrega,Agendada
VI00065,TE03170,2026-01-21,Joinville,Auditoria,Realizada
VI00066,TE02194,2025-03-07,Jaboticabal,Reunião,Realizada
VI00067,TE01700,2025-10-07,Joinville,Serviço,Cancelada
VI00068,TE02345,2024-01-03,Joinville,Auditoria,Cancelada
VI00069,TE01275,2024-11-09,Guarulhos,Entrega,Agendada
VI00070,TE02290,2024-08-26,Guarulhos,Reunião,Realizada
VI00071,TE00274,2024-01-19,Jaboticabal,Auditoria,Cancelada
VI00072,TE02225,2025-11-27,Jaboticabal,Auditoria,Realizada
VI00073,TE02982,2025-05-26,Guarulhos,Reunião,Realizada
VI00074,TE00616,2024-10-06,Jaboticabal,Entrega,Realizada
VI00075,TE01592,2026-03-25,Guarulhos,Serviço,Realizada
VI00076,TE01391,2024-11-03,Joinville,Serviço,Realizada
VI00077,TE02257,2026-06-17,Joinville,Reunião,Realizada
VI00078,TE00799,2025-01-18,Jaboticabal,Auditoria,Agendada
VI00079,TE01901,2025-11-06,Jaboticabal,Reunião,Agendada
VI00080,TE01640,2026-04-09,Jaboticabal,Reunião,Realizada
VI00081,TE00803,2026-04-23,Guarulhos,Entrega,Agendada
VI00082,TE01332,2026-07-03,Jaboticabal,Serviço,Realizada
VI00083,TE01866,2026-01-18,Jaboticabal,Serviço,Realizada
VI00084,TE01958,2026-07-26,Jaboticabal,Serviço,Realizada
VI00085,TE01392,2026-03-28,Jaboticabal,Entrega,Realizada
VI00086,TE02510,2026-02-11,Joinville,Auditoria,Agendada
VI00087,TE02743,2024-09-24,Guarulhos,Entrega,Realizada
VI00088,TE00679,2025-09-09,Jaboticabal,Serviço,Realizada
VI00089,TE00690,2024-06-16,Guarulhos,Serviço,Agendada
VI00090,TE02557,2025-06-15,Guarulhos,Serviço,Agendada
VI00091,TE01945,2024-05-06,Joinville,Entrega,Realizada
VI00092,TE03162,2024-06-19,Joinville,Serviço,Realizada
VI00093,TE00873,2024-06-10,Jaboticabal,Auditoria,Realizada
VI00094,TE00736,2024-03-26,Joinville,Reunião,Realizada
VI00095,TE01909,2026-01-06,Guarulhos,Entrega,Realizada
VI00096,TE02486,2024-05-02,Jaboticabal,Auditoria,Realizada
VI00097,TE02953,2025-10-01,Guarulhos,Entrega,Realizada
VI00098,TE02679,2025-06-26,Joinville,Reunião,Realizada
VI00099,TE03063,2026-06-20,Joinville,Auditoria,Realizada
VI00100,TE02489,2026-05-28,Guarulhos,Entrega,Realizada
VI00101,TE02747,2025-03-29,Joinville,Auditoria,Realizada
VI00102,TE01151,2026-05-10,Guarulhos,Entrega,Realizada
VI00103,TE02868,2024-12-06,Jaboticabal,Entrega,Agendada
VI00104,TE00259,2025-08-18,Jaboticabal,Serviço,Realizada
VI00105,TE02250,2024-10-01,Jaboticabal,Entrega,Realizada
VI00106,TE00300,2026-01-23,Guarulhos,Entrega,Realizada
VI00107,TE02526,2024-01-27,Guarulhos,Serviço,Realizada
VI00108,TE01167,2026-07-28,Joinville,Auditoria,Realizada
VI00109,TE02126,2026-03-29,Guarulhos,Entrega,Agendada
VI00110,TE00063,2025-09-09,Guarulhos,Auditoria,Realizada
VI00111,TE02977,2024-07-09,Guarulhos,Entrega,Realizada
VI00112,TE02599,2025-05-14,Guarulhos,Serviço,Realizada
VI00113,TE00064,2025-10-01,Jaboticabal,Serviço,Realizada
VI00114,TE02618,2025-02-18,Guarulhos,Reunião,Realizada
VI00115,TE00977,2024-01-11,Joinville,Entrega,Realizada
VI00116,TE01106,2026-07-25,Jaboticabal,Serviço,Realizada
VI00117,TE00338,2025-09-04,Joinville,Reunião,Agendada
VI00118,TE02363,2025-05-27,Jaboticabal,Serviço,Realizada
VI00119,TE02564,2025-04-06,Guarulhos,Reunião,Agendada
VI00120,TE01753,2024-04-02,Guarulhos,Entrega,Realizada
VI00121,TE01337,2025-11-02,Joinville,Auditoria,Realizada
VI00122,TE01046,2026-02-11,Guarulhos,Entrega,Realizada
VI00123,TE00393,2024-05-11,Joinville,Serviço,Realizada
VI00124,TE03086,2025-10-05,Joinville,Entrega,Agendada
VI00125,TE00415,2025-07-28,Guarulhos,Reunião,Realizada
VI00126,TE02851,2024-06-29,Guarulhos,Entrega,Agendada
VI00127,TE00019,2024-06-14,Jaboticabal,Auditoria,Realizada
VI00128,TE01662,2024-12-09,Joinville,Serviço,Realizada
VI00129,TE03113,2024-09-23,Guarulhos,Serviço,Realizada
VI00130,TE02403,2025-08-16,Guarulhos,Auditoria,Agendada
VI00131,TE00835,2024-01-21,Jaboticabal,Entrega,Realizada
VI00132,TE02444,2026-01-17,Guarulhos,Serviço,Agendada
VI00133,TE02160,2025-05-03,Guarulhos,Auditoria,Realizada
VI00134,TE02060,2026-02-06,Guarulhos,Reunião,Realizada
VI00135,TE01277,2026-02-14,Jaboticabal,Serviço,Realizada
VI00136,TE00574,2024-05-02,Jaboticabal,Reunião,Realizada
VI00137,TE02269,2025-06-21,Jaboticabal,Auditoria,Realizada
VI00138,TE02374,2024-06-12,Joinville,Auditoria,Realizada
VI00139,TE01893,2025-06-15,Jaboticabal,Reunião,Realizada
VI00140,TE03091,2024-06-19,Guarulhos,Serviço,Realizada
VI00141,TE00301,2024-03-12,Guarulhos,Serviço,Agendada
VI00142,TE01429,2024-06-01,Guarulhos,Entrega,Cancelada
VI00143,TE03069,2024-01-17,Guarulhos,Auditoria,Realizada
VI00144,TE01328,2025-05-10,Guarulhos,Auditoria,Realizada
VI00145,TE02074,2026-01-07,Joinville,Serviço,Realizada
VI00146,TE02940,2024-02-08,Jaboticabal,Reunião,Realizada
VI00147,TE00028,2024-12-04,Joinville,Reunião,Realizada
VI00148,TE01289,2024-08-02,Jaboticabal,Serviço,Realizada
VI00149,TE01131,2024-12-14,Guarulhos,Serviço,Realizada
VI00150,TE02298,2024-02-19,Guarulhos,Entrega,Realizada
VI00151,TE00659,2026-05-28,Joinville,Entrega,Realizada
VI00152,TE00565,2026-02-16,Guarulhos,Serviço,Realizada
VI00153,TE01635,2025-05-08,Guarulhos,Serviço,Realizada
VI00154,TE00797,2026-03-31,Joinville,Entrega,Realizada
VI00155,TE01413,2024-06-13,Guarulhos,Reunião,Realizada
VI00156,TE01957,2025-10-02,Guarulhos,Entrega,Realizada
VI00157,TE02685,2026-05-22,Joinville,Serviço,Realizada
VI00158,TE02028,2024-05-24,Joinville,Reunião,Realizada
VI00159,TE02689,2024-06-19,Guarulhos,Auditoria,Realizada
VI00160,TE00132,2026-04-22,Joinville,Auditoria,Realizada
VI00161,TE01171,2026-04-24,Joinville,Reunião,Realizada
VI00162,TE02886,2026-01-28,Joinville,Serviço,Realizada
VI00163,TE00590,2026-04-02,Joinville,Auditoria,Realizada
VI00164,TE02516,2026-02-11,Jaboticabal,Entrega,Realizada
VI00165,TE01094,2025-06-07,Jaboticabal,Reunião,Realizada
VI00166,TE02075,2024-03-28,Guarulhos,Reunião,Agendada
VI00167,TE00339,2026-01-23,Jaboticabal,Auditoria,Realizada
VI00168,TE00219,2026-07-26,Jaboticabal,Entrega,Realizada
VI00169,TE02956,2026-03-15,Jaboticabal,Serviço,Realizada
VI00170,TE02816,2025-01-30,Jaboticabal,Reunião,Realizada
VI00171,TE02821,2024-07-10,Joinville,Entrega,Realizada
VI00172,TE02464,2026-02-23,Guarulhos,Auditoria,Realizada
VI00173,TE02324,2026-05-24,Joinville,Entrega,Realizada
VI00174,TE01164,2026-07-18,Guarulhos,Serviço,Realizada
VI00175,TE01508,2025-04-07,Jaboticabal,Reunião,Realizada
VI00176,TE02566,2025-10-20,Joinville,Auditoria,Agendada
VI00177,TE01168,2024-01-13,Joinville,Reunião,Cancelada
VI00178,TE00179,2025-07-06,Guarulhos,Reunião,Realizada
VI00179,TE01762,2026-06-10,Jaboticabal,Entrega,Realizada
VI00180,TE02114,2024-08-27,Guarulhos,Reunião,Agendada
VI00181,TE01122,2024-02-20,Jaboticabal,Reunião,Realizada
VI00182,TE02773,2025-09-18,Guarulhos,Serviço,Agendada
VI00183,TE02060,2024-07-01,Joinville,Entrega,Realizada
VI00184,TE00248,2025-04-11,Joinville,Reunião,Realizada
VI00185,TE00938,2024-07-05,Joinville,Reunião,Realizada
VI00186,TE02972,2024-07-22,Guarulhos,Auditoria,Realizada
VI00187,TE02636,2025-02-06,Jaboticabal,Serviço,Realizada
VI00188,TE00112,2025-04-17,Guarulhos,Entrega,Realizada
VI00189,TE02676,2024-05-14,Jaboticabal,Auditoria,Realizada
VI00190,TE00467,2026-01-26,Jaboticabal,Entrega,Realizada
VI00191,TE00261,2024-08-07,Joinville,Entrega,Realizada
VI00192,TE03065,2025-03-19,Jaboticabal,Entrega,Realizada
VI00193,TE01121,2024-11-25,Jaboticabal,Auditoria,Realizada
VI00194,TE02518,2025-09-10,Guarulhos,Auditoria,Realizada
VI00195,TE00896,2024-04-06,Jaboticabal,Auditoria,Agendada
VI00196,TE01428,2024-07-23,Joinville,Reunião,Realizada
VI00197,TE02798,2024-03-15,Guarulhos,Reunião,Realizada
VI00198,TE02602,2024-05-18,Joinville,Auditoria,Realizada
VI00199,TE01311,2025-07-21,Guarulhos,Serviço,Realizada
VI00200,TE00143,2024-01-27,Jaboticabal,Entrega,Realizada
VI00201,TE00378,2024-03-16,Jaboticabal,Entrega,Realizada
VI00202,TE02863,2025-04-02,Guarulhos,Auditoria,Realizada
VI00203,TE00910,2025-01-25,Jaboticabal,Entrega,Realizada
VI00204,TE00178,2026-03-04,Jaboticabal,Entrega,Realizada
VI00205,TE00297,2024-01-17,Guarulhos,Reunião,Cancelada
VI00206,TE02579,2024-04-14,Jaboticabal,Serviço,Realizada
VI00207,TE03131,2025-06-24,Joinville,Auditoria,Realizada
VI00208,TE01250,2026-06-27,Joinville,Reunião,Realizada
VI00209,TE01317,2025-12-30,Jaboticabal,Serviço,Agendada
VI00210,TE00063,2024-08-24,Jaboticabal,Auditoria,Realizada
VI00211,TE00819,2024-04-29,Guarulhos,Entrega,Realizada
VI00212,TE03027,2024-02-01,Guarulhos,Auditoria,Realizada
VI00213,TE03118,2026-07-28,Jaboticabal,Auditoria,Realizada
VI00214,TE01144,2024-01-13,Jaboticabal,Serviço,Realizada
VI00215,TE01695,2025-12-16,Guarulhos,Serviço,Realizada
VI00216,TE02515,2025-04-22,Joinville,Reunião,Realizada
VI00217,TE01044,2025-02-07,Guarulhos,Entrega,Realizada
VI00218,TE02700,2025-06-13,Jaboticabal,Auditoria,Agendada
VI00219,TE02110,2026-07-01,Guarulhos,Serviço,Realizada
VI00220,TE02377,2024-08-08,Joinville,Entrega,Realizada
VI00221,TE01992,2025-08-08,Jaboticabal,Serviço,Realizada
VI00222,TE00445,2024-04-25,Guarulhos,Auditoria,Agendada
VI00223,TE03098,2025-08-04,Joinville,Auditoria,Realizada
VI00224,TE03069,2024-10-16,Jaboticabal,Auditoria,Realizada
VI00225,TE00070,2024-05-18,Guarulhos,Auditoria,Realizada
VI00226,TE01725,2025-05-02,Joinville,Serviço,Realizada
VI00227,TE00816,2025-05-02,Jaboticabal,Auditoria,Realizada
VI00228,TE00049,2025-10-14,Guarulhos,Entrega,Realizada
VI00229,TE02489,2024-05-03,Joinville,Reunião,Realizada
VI00230,TE02277,2024-08-14,Joinville,Reunião,Realizada
VI00231,TE00134,2025-09-09,Guarulhos,Entrega,Realizada
VI00232,TE00861,2024-05-07,Joinville,Reunião,Realizada
VI00233,TE00947,2025-09-07,Guarulhos,Reunião,Realizada
VI00234,TE02664,2026-02-17,Joinville,Serviço,Agendada
VI00235,TE01835,2026-07-30,Guarulhos,Auditoria,Agendada
VI00236,TE02149,2026-07-13,Joinville,Serviço,Realizada
VI00237,TE00511,2024-02-11,Joinville,Reunião,Realizada
VI00238,TE03068,2024-06-13,Joinville,Reunião,Realizada
VI00239,TE01261,2024-08-21,Guarulhos,Auditoria,Realizada
VI00240,TE00459,2026-07-12,Jaboticabal,Auditoria,Realizada
VI00241,TE03015,2025-09-26,Guarulhos,Serviço,Realizada
VI00242,TE02136,2025-08-15,Jaboticabal,Reunião,Realizada
VI00243,TE01642,2026-01-16,Guarulhos,Entrega,Cancelada
VI00244,TE00004,2024-05-01,Jaboticabal,Auditoria,Agendada
VI00245,TE02555,2025-05-16,Jaboticabal,Auditoria,Realizada
VI00246,TE01790,2024-08-27,Guarulhos,Entrega,Realizada
VI00247,TE01328,2025-03-19,Guarulhos,Auditoria,Realizada
VI00248,TE00898,2025-08-15,Joinville,Serviço,Realizada
VI00249,TE02913,2025-02-24,Jaboticabal,Auditoria,Realizada
VI00250,TE03094,2024-09-23,Jaboticabal,Serviço,Realizada
VI00251,TE00957,2025-06-06,Joinville,Entrega,Agendada
VI00252,TE02156,2025-10-21,Joinville,Auditoria,Realizada
VI00253,TE01932,2024-07-07,Guarulhos,Entrega,Agendada
VI00254,TE01662,2025-12-02,Jaboticabal,Serviço,Realizada
VI00255,TE01768,2024-10-31,Joinville,Serviço,Realizada
VI00256,TE02986,2025-06-06,Guarulhos,Entrega,Realizada
VI00257,TE00487,2024-02-17,Joinville,Auditoria,Realizada
VI00258,TE01657,2024-01-11,Guarulhos,Reunião,Realizada
VI00259,TE03042,2025-12-27,Jaboticabal,Auditoria,Realizada
VI00260,TE00926,2024-06-03,Guarulhos,Serviço,Realizada
VI00261,TE02490,2026-06-27,Guarulhos,Entrega,Realizada
VI00262,TE01391,2025-10-15,Guarulhos,Reunião,Realizada
VI00263,TE02754,2024-09-20,Joinville,Serviço,Realizada
VI00264,TE00197,2025-04-24,Jaboticabal,Auditoria,Agendada
VI00265,TE00251,2025-06-07,Joinville,Entrega,Realizada
VI00266,TE00805,2024-06-10,Jaboticabal,Reunião,Realizada
VI00267,TE02852,2025-01-08,Guarulhos,Reunião,Realizada
VI00268,TE02263,2024-06-14,Jaboticabal,Entrega,Realizada
VI00269,TE02061,2025-04-29,Joinville,Serviço,Realizada
VI00270,TE02031,2024-02-09,Joinville,Entrega,Realizada
VI00271,TE01737,2024-04-24,Jaboticabal,Entrega,Realizada
VI00272,TE02178,2026-04-10,Joinville,Serviço,Agendada
VI00273,TE00740,2024-08-19,Guarulhos,Auditoria,Realizada
VI00274,TE00692,2025-01-16,Guarulhos,Auditoria,Realizada
VI00275,TE02397,2025-09-19,Joinville,Entrega,Agendada
VI00276,TE01437,2026-07-30,Jaboticabal,Reunião,Realizada
VI00277,TE03184,2025-05-09,Joinville,Auditoria,Realizada
VI00278,TE01653,2024-07-31,Jaboticabal,Reunião,Realizada
VI00279,TE02243,2026-01-09,Jaboticabal,Serviço,Realizada
VI00280,TE02627,2024-09-26,Joinville,Serviço,Realizada
VI00281,TE01594,2026-01-29,Jaboticabal,Reunião,Agendada
VI00282,TE01530,2025-04-30,Jaboticabal,Reunião,Realizada
VI00283,TE03140,2026-03-15,Guarulhos,Auditoria,Realizada
VI00284,TE02278,2024-07-14,Joinville,Serviço,Agendada
VI00285,TE02526,2024-07-26,Jaboticabal,Auditoria,Realizada
VI00286,TE02545,2026-01-19,Jaboticabal,Auditoria,Agendada
VI00287,TE00556,2025-09-21,Jaboticabal,Auditoria,Agendada
VI00288,TE02006,2026-02-14,Joinville,Serviço,Realizada
VI00289,TE00207,2024-02-02,Joinville,Entrega,Cancelada
VI00290,TE01743,2024-10-23,Guarulhos,Entrega,Realizada
VI00291,TE01298,2024-09-15,Joinville,Entrega,Realizada
VI00292,TE01336,2025-02-27,Joinville,Auditoria,Realizada
VI00293,TE01937,2024-07-25,Joinville,Reunião,Realizada
VI00294,TE01552,2024-03-06,Joinville,Entrega,Agendada
VI00295,TE00889,2026-04-18,Jaboticabal,Serviço,Realizada
VI00296,TE02049,2024-12-31,Jaboticabal,Entrega,Cancelada
VI00297,TE02638,2026-03-02,Guarulhos,Auditoria,Realizada
VI00298,TE03049,2024-04-15,Joinville,Entrega,Realizada
VI00299,TE02341,2025-05-17,Guarulhos,Serviço,Realizada
VI00300,TE00380,2025-08-23,Jaboticabal,Entrega,Agendada
VI00301,TE01316,2025-11-20,Joinville,Reunião,Realizada
VI00302,TE00348,2024-07-10,Jaboticabal,Entrega,Agendada
VI00303,TE01027,2024-04-23,Joinville,Reunião,Realizada
VI00304,TE02496,2024-10-27,Jaboticabal,Auditoria,Realizada
VI00305,TE00735,2026-02-04,Guarulhos,Auditoria,Realizada
VI00306,TE00935,2024-03-05,Guarulhos,Auditoria,Agendada
VI00307,TE03002,2024-09-23,Guarulhos,Entrega,Realizada
VI00308,TE02702,2025-11-08,Guarulhos,Reunião,Cancelada
VI00309,TE02448,2026-04-22,Joinville,Entrega,Realizada
VI00310,TE03155,2025-12-05,Jaboticabal,Entrega,Agendada
VI00311,TE00107,2026-07-24,Guarulhos,Serviço,Realizada
VI00312,TE00371,2025-08-04,Joinville,Entrega,Realizada
VI00313,TE02009,2024-12-02,Joinville,Reunião,Realizada
VI00314,TE02562,2024-04-22,Guarulhos,Auditoria,Realizada
VI00315,TE01268,2025-12-16,Joinville,Reunião,Realizada
VI00316,TE00588,2024-09-11,Jaboticabal,Reunião,Realizada
VI00317,TE01543,2025-03-24,Guarulhos,Reunião,Realizada
VI00318,TE00111,2026-02-05,Jaboticabal,Entrega,Realizada
VI00319,TE00182,2026-06-29,Guarulhos,Entrega,Realizada
VI00320,TE01044,2024-07-29,Jaboticabal,Reunião,Realizada
VI00321,TE03083,2024-04-24,Joinville,Entrega,Realizada
VI00322,TE00094,2024-10-06,Guarulhos,Reunião,Realizada
VI00323,TE00971,2025-08-30,Jaboticabal,Reunião,Realizada
VI00324,TE01538,2025-02-11,Joinville,Auditoria,Realizada
VI00325,TE02504,2025-06-25,Joinville,Serviço,Realizada
VI00326,TE00543,2025-01-31,Guarulhos,Entrega,Realizada
VI00327,TE02160,2024-05-22,Jaboticabal,Auditoria,Realizada
VI00328,TE03125,2024-04-03,Guarulhos,Reunião,Agendada
VI00329,TE02905,2025-03-17,Jaboticabal,Entrega,Realizada
VI00330,TE02518,2025-09-17,Guarulhos,Reunião,Realizada
VI00331,TE01322,2024-06-18,Joinville,Serviço,Cancelada
VI00332,TE00354,2026-04-07,Joinville,Auditoria,Agendada
VI00333,TE01721,2024-12-04,Joinville,Reunião,Realizada
VI00334,TE03069,2024-06-09,Guarulhos,Reunião,Realizada
VI00335,TE02101,2024-09-04,Guarulhos,Serviço,Cancelada
VI00336,TE02708,2025-11-24,Jaboticabal,Entrega,Cancelada
VI00337,TE02525,2026-06-23,Guarulhos,Auditoria,Realizada
VI00338,TE03174,2024-05-17,Jaboticabal,Serviço,Realizada
VI00339,TE02235,2025-12-23,Guarulhos,Auditoria,Agendada
VI00340,TE03095,2024-10-29,Joinville,Auditoria,Realizada
VI00341,TE03062,2024-01-07,Jaboticabal,Serviço,Agendada
VI00342,TE02560,2024-10-25,Guarulhos,Reunião,Realizada
VI00343,TE00429,2024-06-25,Guarulhos,Auditoria,Realizada
VI00344,TE01270,2025-07-10,Joinville,Entrega,Realizada
VI00345,TE02354,2024-05-24,Jaboticabal,Entrega,Realizada
VI00346,TE02278,2025-08-17,Guarulhos,Entrega,Realizada
VI00347,TE03171,2025-11-15,Guarulhos,Serviço,Realizada
VI00348,TE02238,2025-09-14,Joinville,Entrega,Realizada
VI00349,TE02204,2026-05-15,Joinville,Reunião,Realizada
VI00350,TE01499,2025-04-10,Joinville,Reunião,Cancelada
VI00351,TE00574,2024-04-13,Joinville,Serviço,Agendada
VI00352,TE00064,2025-03-21,Jaboticabal,Entrega,Realizada
VI00353,TE03133,2024-01-01,Jaboticabal,Entrega,Cancelada
VI00354,TE00416,2026-02-14,Guarulhos,Reunião,Realizada
VI00355,TE02166,2025-02-13,Jaboticabal,Auditoria,Realizada
VI00356,TE01808,2024-03-27,Jaboticabal,Entrega,Realizada
VI00357,TE02328,2024-11-05,Guarulhos,Entrega,Realizada
VI00358,TE02144,2026-04-02,Jaboticabal,Reunião,Realizada
VI00359,TE02529,2024-04-11,Guarulhos,Serviço,Realizada
VI00360,TE01184,2025-02-13,Jaboticabal,Entrega,Realizada
VI00361,TE01974,2025-12-09,Guarulhos,Serviço,Agendada
VI00362,TE03184,2025-12-12,Jaboticabal,Entrega,Realizada
VI00363,TE01945,2025-01-13,Guarulhos,Serviço,Realizada
VI00364,TE02481,2024-03-11,Jaboticabal,Auditoria,Realizada
VI00365,TE01335,2025-01-19,Guarulhos,Reunião,Realizada
VI00366,TE01469,2025-07-29,Jaboticabal,Serviço,Realizada
VI00367,TE02281,2024-10-10,Jaboticabal,Auditoria,Agendada
VI00368,TE00206,2025-08-01,Guarulhos,Reunião,Cancelada
VI00369,TE02701,2025-07-24,Joinville,Serviço,Cancelada
VI00370,TE02937,2026-05-04,Joinville,Reunião,Realizada
VI00371,TE01964,2025-08-12,Jaboticabal,Auditoria,Realizada
VI00372,TE00352,2026-04-05,Jaboticabal,Reunião,Agendada
VI00373,TE03149,2025-05-02,Jaboticabal,Entrega,Realizada
VI00374,TE00082,2025-11-12,Guarulhos,Auditoria,Realizada
VI00375,TE01910,2025-01-03,Joinville,Entrega,Realizada
VI00376,TE01373,2025-01-25,Joinville,Entrega,Realizada
VI00377,TE01039,2025-05-21,Jaboticabal,Auditoria,Realizada
VI00378,TE00726,2024-06-12,Jaboticabal,Entrega,Realizada
VI00379,TE01190,2025-11-02,Joinville,Auditoria,Realizada
VI00380,TE00529,2026-06-20,Joinville,Auditoria,Agendada
VI00381,TE00949,2026-03-20,Guarulhos,Serviço,Realizada
VI00382,TE01530,2024-05-28,Joinville,Auditoria,Cancelada
VI00383,TE00331,2025-05-24,Jaboticabal,Serviço,Realizada
VI00384,TE01770,2024-02-12,Jaboticabal,Entrega,Realizada
VI00385,TE00681,2025-08-15,Jaboticabal,Reunião,Agendada
VI00386,TE00794,2025-02-04,Guarulhos,Auditoria,Realizada
VI00387,TE02585,2025-06-17,Guarulhos,Entrega,Realizada
VI00388,TE02558,2024-05-16,Joinville,Auditoria,Realizada
VI00389,TE00905,2024-02-28,Guarulhos,Auditoria,Agendada
VI00390,TE02683,2024-05-02,Joinville,Reunião,Realizada
VI00391,TE01325,2024-09-02,Joinville,Entrega,Realizada
VI00392,TE00856,2026-04-26,Jaboticabal,Reunião,Realizada
VI00393,TE01874,2026-07-14,Joinville,Serviço,Realizada
VI00394,TE02644,2026-05-13,Joinville,Reunião,Agendada
VI00395,TE03027,2025-10-21,Joinville,Reunião,Realizada
VI00396,TE01968,2025-01-22,Joinville,Auditoria,Realizada
VI00397,TE02114,2026-05-10,Guarulhos,Reunião,Cancelada
VI00398,TE01192,2024-10-05,Joinville,Reunião,Realizada
VI00399,TE01209,2024-11-03,Guarulhos,Entrega,Realizada
VI00400,TE02440,2024-03-28,Guarulhos,Reunião,Realizada
VI00401,TE01554,2026-01-13,Jaboticabal,Auditoria,Realizada
VI00402,TE02981,2025-10-28,Joinville,Auditoria,Realizada
VI00403,TE03085,2025-04-17,Jaboticabal,Serviço,Realizada
VI00404,TE00683,2024-05-26,Joinville,Reunião,Realizada
VI00405,TE02076,2025-01-17,Joinville,Entrega,Realizada
VI00406,TE00528,2024-07-15,Jaboticabal,Serviço,Agendada
VI00407,TE00119,2026-05-17,Jaboticabal,Serviço,Realizada
VI00408,TE01914,2026-07-30,Joinville,Serviço,Agendada
VI00409,TE03136,2025-08-12,Jaboticabal,Entrega,Realizada
VI00410,TE02235,2026-03-17,Joinville,Entrega,Realizada
