terceiro_id,empresa_id,funcao,data_inicio,data_fim,status
TE00211,EM032,Consultor,2024-08-03,2025-09-13,Ativo
TE00212,EM043,Inspetor,2024-01-11,2025-10-24,Ativo
TE00213,EM006,Motorista,2026-02-01,2026-02-17,Ativo
TE00214,EM029,Consultor,2024-08-06,2024-05-21,Ativo
TE00215,EM092,Inspetor,2025-04-17,2024-05-30,Bloqueado
TE00216,EM094,Inspetor,2025-01-25,2024-04-30,Inativo
TE00217,EM083,Montador,2025-12-23,2026-06-02,Ativo
TE00218,EM083,Motorista,2026-07-09,2025-01-19,Ativo
TE00219,EM078,Consultor,2024-01-17,2025-10-20,Ativo
TE00220,EM085,Consultor,2026-05-24,2025-10-26,Ativo
TE00221,EM174,Consultor,2025-09-02,2026-05-26,Inativo
TE00222,EM025,Montador,2025-03-08,2025-04-07,Ativo
TE00223,EM112,Motorista,2026-04-11,2025-12-11,Ativo
TE00224,EM197,Inspetor,2025-02-10,2026-02-16,Ativo
TE00225,EM080,Inspetor,2026-01-10,2024-10-02,Ativo
TE00226,EM097,Técnico,2026-03-07,2026-06-12,Ativo
TE00227,EM057,Inspetor,2024-08-21,2025-09-10,Ativo
TE00228,EM050,Consultor,2024-09-03,2026-05-03,Ativo
TE00229,EM104,Motorista,2025-04-25,2025-09-22,Ativo
TE00230,EM197,Motorista,2024-11-15,2025-03-12,Ativo
TE00231,EM084,Técnico,2024-08-04,2026-06-20,Ativo
TE00232,EM024,Inspetor,2025-02-24,2026-07-01,Ativo
TE00233,EM164,Inspetor,2025-05-12,2025-10-03,Ativo
TE00234,EM131,Consultor,2024-12-31,2025-10-27,Ativo
TE00235,EM106,Inspetor,2024-04-07,2026-02-21,Ativo
TE00236,EM025,Técnico,2024-05-29,2025-09-18,Ativo
TE00237,EM092,Motorista,2025-12-30,2024-08-08,Ativo
TE00238,EM130,Montador,2024-05-06,2025-10-05,Ativo
TE00239,EM189,Técnico,2026-05-13,2024-02-13,Ativo
TE00240,EM120,Inspetor,2025-05-01,2024-11-30,Inativo
TE00241,EM146,Técnico,2026-07-06,2026-03-18,Ativo
TE00242,EM186,Inspetor,2025-11-26,2026-04-08,Bloqueado
TE00243,EM153,Técnico,2025-06-13,2024-06-30,Inativo
TE00244,EM005,Motorista,2025-10-08,2025-12-11,Inativo
TE00245,EM125,Motorista,2025-03-24,2025-05-15,Ativo
TE00246,EM015,Consultor,2025-09-20,2024-03-02,Inativo
TE00247,EM151,Inspetor,2026-03-12,2024-10-10,Ativo
TE00248,EM181,Inspetor,2025-06-24,2024-05-10,Ativo
TE00249,EM191,Técnico,2024-06-28,2025-09-30,Ativo
TE00250,EM004,Técnico,2026-07-06,2024-05-30,Ativo
TE00251,EM034,Técnico,2025-03-12,2026-05-06,Ativo
TE00252,EM104,Motorista,2024-07-04,2024-10-09,Ativo
TE00253,EM173,Inspetor,2025-10-19,2025-02-22,Ativo
TE00254,EM126,Consultor,2025-12-07,2024-01-26,Ativo
TE00255,EM103,Consultor,2025-01-20,2026-06-09,Ativo
TE00256,EM038,Técnico,2025-09-18,2025-03-31,Ativo
TE00257,EM042,Técnico,2024-04-24,2026-05-04,Ativo
TE00258,EM190,Técnico,2025-02-06,2025-07-22,Bloqueado
TE00259,EM192,Consultor,2024-12-18,2025-08-17,Inativo
TE00260,EM176,Consultor,2025-02-16,2026-05-31,Ativo
TE00261,EM198,Montador,2026-06-25,2025-05-29,Inativo
TE00262,EM124,Inspetor,2025-01-26,2024-07-18,Ativo
TE00263,EM110,Consultor,2026-07-24,2026-05-25,Ativo
TE00264,EM112,Técnico,2024-08-08,2024-07-11,Ativo
TE00265,EM001,Inspetor,2024-04-16,2025-01-04,Ativo
TE00266,EM097,Inspetor,2024-04-10,2025-09-21,Inativo
TE00267,EM134,Técnico,2025-10-03,2024-10-01,Ativo
TE00268,EM145,Consultor,2025-03-10,2024-05-25,Ativo
TE00269,EM126,Motorista,2025-10-01,2024-03-20,Ativo
TE00270,EM085,Técnico,2025-04-08,2025-01-23,Ativo
TE00271,EM107,Motorista,2026-02-13,2024-12-19,Ativo
TE00272,EM209,Montador,2025-01-09,2024-12-31,Ativo
TE00273,EM069,Técnico,2025-06-28,2024-02-01,Ativo
TE00274,EM131,Consultor,2026-04-21,2024-05-19,Ativo
TE00275,EM132,Técnico,2024-07-19,2025-01-17,Ativo
TE00276,EM202,Técnico,2024-05-12,2024-03-06,Ativo
TE00277,EM093,Consultor,2026-06-09,2026-05-07,Ativo
TE00278,EM121,Inspetor,2024-05-26,2025-10-27,Ativo
TE00279,EM076,Motorista,2024-04-25,2026-04-09,Ativo
TE00280,EM199,Montador,2026-03-02,2025-12-24,Ativo
TE00281,EM176,Motorista,2024-02-29,2025-07-28,Ativo
TE00282,EM220,Técnico,2025-09-16,2024-02-06,Ativo
TE00283,EM082,Motorista,2024-11-05,2025-06-06,Ativo
TE00284,EM084,Técnico,2026-06-07,2026-06-17,Inativo
TE00285,EM115,Consultor,2026-03-05,2024-07-29,Ativo
TE00286,EM001,Montador,2026-07-22,2025-02-03,Inativo
TE00287,EM208,Inspetor,2025-04-06,2024-07-04,Ativo
TE00288,EM188,Montador,2026-01-16,2025-05-19,Inativo
TE00289,EM065,Consultor,2024-12-04,2026-04-29,Ativo
TE00290,EM145,Inspetor,2026-06-15,2024-02-09,Ativo
TE00291,EM167,Consultor,2025-11-09,2026-04-04,Ativo
TE00292,EM064,Técnico,2026-04-14,2024-12-19,Ativo
TE00293,EM156,Inspetor,2025-02-03,2026-02-02,Ativo
TE00294,EM159,Técnico,2025-04-27,2024-06-07,Ativo
TE00295,EM194,Montador,2026-02-18,2024-11-13,Ativo
TE00296,EM195,Técnico,2025-10-07,2025-09-28,Ativo
TE00297,EM218,Motorista,2024-01-16,2026-07-25,Ativo
TE00298,EM073,Motorista,2025-12-02,2025-09-05,Ativo
TE00299,EM203,Consultor,2025-07-29,2024-03-20,Ativo
TE00300,EM113,Inspetor,2025-09-17,2024-11-20,Ativo
TE00301,EM118,Consultor,2024-07-18,2025-11-16,Ativo
TE00302,EM121,Inspetor,2026-01-15,2025-05-16,Ativo
TE00303,EM072,Montador,2024-11-06,2026-03-01,Ativo
TE00304,EM217,Técnico,2024-03-09,2026-01-18,Inativo
TE00305,EM115,Consultor,2024-04-24,2025-03-16,Inativo
TE00306,EM107,Montador,2024-04-27,2025-04-09,Ativo
TE00307,EM128,Técnico,2024-12-14,2024-04-06,Ativo
TE00308,EM030,Motorista,2024-09-23,2024-04-17,Ativo
TE00309,EM110,Inspetor,2024-11-12,2024-09-29,Ativo
TE00310,EM107,Inspetor,2024-07-24,2024-01-15,Ativo
TE00311,EM213,Consultor,2024-11-02,2024-03-22,Inativo
TE00312,EM144,Consultor,2025-04-01,2024-08-18,Ativo
TE00313,EM026,Técnico,2024-04-18,2025-04-01,Ativo
TE00314,EM218,Consultor,2025-01-11,2024-02-29,Ativo
TE00315,EM139,Técnico,2024-07-15,2024-11-10,Ativo
TE00316,EM028,Inspetor,2024-08-15,2025-07-14,Ativo
TE00317,EM105,Montador,2024-11-17,2024-09-26,Ativo
TE00318,EM131,Técnico,2024-01-22,2024-03-05,Ativo
TE00319,EM077,Montador,2025-05-30,2025-08-12,Ativo
TE00320,EM066,Inspetor,2024-03-17,2026-02-08,Ativo
TE00321,EM091,Inspetor,2024-05-24,2026-02-13,Ativo
TE00322,EM078,Motorista,2024-02-09,2025-04-12,Ativo
TE00323,EM056,Consultor,2024-02-21,2024-11-22,Ativo
TE00324,EM049,Montador,2025-01-02,2025-08-02,Ativo
TE00325,EM198,Consultor,2026-01-26,2026-05-01,Ativo
TE00326,EM046,Montador,2026-01-28,2024-10-28,Ativo
TE00327,EM102,Motorista,2024-12-11,2024-12-24,Ativo
TE00328,EM128,Inspetor,2025-01-29,2026-05-27,Bloqueado
TE00329,EM021,Técnico,2024-12-23,2024-10-18,Ativo
TE00330,EM133,Montador,2026-04-29,2025-08-18,Ativo
TE00331,EM101,Inspetor,2025-09-26,2025-07-25,Ativo
TE00332,EM142,Consultor,2024-10-04,2026-07-19,Ativo
TE00333,EM043,Motorista,2024-07-09,2026-04-24,Ativo
TE00334,EM157,Montador,2024-09-18,2025-08-01,Ativo
TE00335,EM018,Montador,2024-01-11,2026-02-27,Ativo
TE00336,EM057,Montador,2026-06-04,2026-05-15,Ativo
TE00337,EM108,Motorista,2024-08-08,2024-06-30,Ativo
TE00338,EM020,Motorista,2026-06-02,2026-04-27,Inativo
TE00339,EM184,Consultor,2024-01-05,2025-08-23,Ativo
TE00340,EM015,Técnico,2024-03-29,2026-01-27,Ativo
TE00341,EM025,Consultor,2024-03-09,2026-02-15,Ativo
TE00342,EM129,Montador,2026-07-12,2024-02-12,Ativo
TE00343,EM162,Inspetor,2026-01-20,2026-07-28,Ativo
TE00344,EM176,Consultor,2024-10-06,2025-03-23,Ativo
TE00345,EM183,Técnico,2025-03-16,2026-02-21,Inativo
TE00346,EM132,Motorista,2026-04-04,2026-06-18,Ativo
TE00347,EM129,Consultor,2025-04-16,2024-02-22,Ativo
TE00348,EM032,Técnico,2024-11-18,2025-02-18,Inativo
TE00349,EM092,Motorista,2024-08-04,2024-10-28,Ativo
TE00350,EM067,Montador,2026-06-21,2024-10-29,Ativo
TE00351,EM118,Consultor,2025-12-11,2024-03-23,Ativo
TE00352,EM078,Inspetor,2025-03-30,2024-12-23,Ativo
TE00353,EM065,Montador,2025-05-29,2024-12-11,Inativo
TE00354,EM011,Técnico,2025-02-17,2024-08-30,Ativo
TE00355,EM052,Técnico,2025-05-25,2024-11-03,Ativo
TE00356,EM054,Técnico,2024-10-10,2026-07-05,Ativo
TE00357,EM026,Motorista,2025-03-07,2026-02-22,Ativo
TE00358,EM163,Técnico,2024-11-09,2026-01-31,Ativo
TE00359,EM029,Motorista,2025-07-09,2026-05-29,Ativo
TE00360,EM111,Inspetor,2024-05-21,2024-05-16,Inativo
TE00361,EM115,Técnico,2024-05-25,2026-01-12,Ativo
TE00362,EM151,Motorista,2024-07-16,2024-09-17,Ativo
TE00363,EM196,Montador,2026-03-05,2025-01-09,Inativo
TE00364,EM058,Montador,2025-10-22,2024-02-06,Ativo
TE00365,EM198,Motorista,2026-07-07,2024-09-30,Inativo
TE00366,EM021,Motorista,2024-08-12,2024-01-29,Inativo
TE00367,EM012,Consultor,2025-11-24,2025-03-02,Ativo
TE00368,EM034,Técnico,2024-05-15,2025-07-10,Ativo
TE00369,EM190,Montador,2025-12-06,2026-03-06,Ativo
TE00370,EM136,Motorista,2026-04-12,2026-04-30,Ativo
TE00371,EM194,Consultor,2024-03-31,2025-11-28,Ativo
TE00372,EM203,Montador,2024-01-04,2024-10-17,Inativo
TE00373,EM091,Motorista,2024-03-23,2025-12-01,Bloqueado
TE00374,EM100,Motorista,2025-03-09,2026-06-17,Ativo
TE00375,EM087,Consultor,2024-01-23,2024-01-28,Bloqueado
TE00376,EM090,Motorista,2024-04-14,2024-10-13,Ativo
TE00377,EM023,Montador,2025-01-27,2025-09-29,Ativo
TE00378,EM138,Motorista,2024-08-22,2026-01-07,Inativo
TE00379,EM064,Consultor,2024-06-18,2025-03-08,Ativo
TE00380,EM068,Técnico,2024-09-21,2025-09-11,Ativo
TE00381,EM105,Consultor,2025-03-21,2024-09-29,Ativo
TE00382,EM213,Consultor,2026-01-15,2025-03-22,Ativo
TE00383,EM078,Motorista,2024-08-13,2025-04-08,Ativo
TE00384,EM155,Técnico,2025-07-17,2025-02-12,Ativo
TE00385,EM152,Montador,2026-03-07,2026-01-01,Ativo
TE00386,EM051,Consultor,2026-05-10,2025-11-29,Ativo
TE00387,EM145,Motorista,2024-01-27,2024-08-06,Ativo
TE00388,EM052,Motorista,2025-09-02,2025-10-17,Inativo
TE00389,EM017,Montador,2024-01-12,2024-12-14,Ativo
TE00390,EM211,Consultor,2025-01-22,2024-08-30,Ativo
TE00391,EM215,Motorista,2025-12-16,2025-02-07,Inativo
TE00392,EM042,Inspetor,2026-07-27,2024-12-28,Ativo
TE00393,EM193,Montador,2025-01-22,2025-02-01,Bloqueado
TE00394,EM180,Consultor,2024-11-28,2024-12-09,Ativo
TE00395,EM020,Inspetor,2024-07-25,2025-02-21,Ativo
TE00396,EM134,Montador,2026-05-28,2025-08-30,Ativo
TE00397,EM195,Consultor,2025-01-13,2024-11-05,Ativo
TE00398,EM124,Técnico,2026-03-05,2025-02-14,Ativo
TE00399,EM084,Inspetor,2026-01-11,2024-08-02,Ativo
TE00400,EM102,Inspetor,2024-02-19,2025-01-13,Inativo
TE00401,EM108,Consultor,2024-04-08,2025-11-22,Ativo
TE00402,EM052,Consultor,2024-11-11,2025-05-02,Bloqueado
TE00403,EM062,Técnico,2025-06-01,2024-03-04,Inativo
TE00404,EM008,Inspetor,2026-05-20,2025-02-12,Ativo
TE00405,EM112,Montador,2025-09-28,2025-11-29,Ativo
TE00406,EM212,Técnico,2025-02-02,2024-11-01,Bloqueado
TE00407,EM130,Montador,2026-07-05,2026-04-01,Ativo
TE00408,EM186,Inspetor,2026-01-04,2024-09-09,Ativo
TE00409,EM191,Técnico,2025-05-20,2025-09-07,Ativo
TE00410,EM023,Inspetor,2025-05-12,2025-03-06,Ativo
TE00411,EM111,Inspetor,2026-06-13,2026-05-19,Ativo
TE00412,EM001,Técnico,2024-03-13,2026-03-03,Ativo
TE00413,EM045,Consultor,2024-09-03,2024-11-07,Ativo
TE00414,EM044,Consultor,2025-10-07,2025-10-25,Ativo
TE00415,EM077,Técnico,2026-03-22,2025-01-09,Ativo
TE00416,EM108,Consultor,2025-01-10,2024-05-26,Ativo
TE00417,EM081,Técnico,2025-06-29,2026-03-28,Ativo
TE00418,EM125,Consultor,2026-02-16,2024-09-22,Ativo
TE00419,EM076,Técnico,2024-11-27,2025-12-14,Bloqueado
TE00420,EM151,Inspetor,2025-07-10,2025-09-11,Ativo
