avaliacao_id,os_id,nota_atendimento,nota_servico,comentario_categoria,data_avaliacao
148,267,4,2,Preço,2026-05-12
149,269,2,2,Sem comentário,2026-05-20
150,270,2,2,Atendimento,2025-10-06
151,271,3,5,Preço,2025-07-24
152,273,1,1,Prazo,2025-09-28
153,274,1,2,Sem comentário,2026-03-20
154,276,4,4,Elogio,2025-08-09
155,278,1,2,Sem comentário,2026-01-06
156,279,1,4,Prazo,2026-06-07
157,282,2,5,Sem comentário,2025-07-26
158,283,1,4,Preço,2026-01-23
159,284,5,1,Sem comentário,2025-11-11
160,288,4,5,Sem comentário,2025-09-14
161,290,4,4,Elogio,2025-07-21
162,293,2,3,Sem comentário,2025-11-27
163,294,2,5,Prazo,2025-07-25
164,295,5,4,Sem comentário,2026-06-16
165,296,1,3,Elogio,2026-05-22
166,298,5,4,Atendimento,2025-11-26
167,299,2,1,Preço,2025-07-23
168,300,4,4,Prazo,2025-12-07
169,301,2,5,Preço,2026-06-01
170,302,1,1,Atendimento,2025-09-30
171,303,1,1,Atendimento,2025-10-04
172,305,3,1,Preço,2025-10-10
173,306,3,5,Preço,2026-06-19
174,308,4,1,Elogio,2025-09-20
175,309,4,5,Sem comentário,2025-11-25
176,313,3,4,Prazo,2026-01-26
177,314,3,3,Prazo,2025-08-05
178,315,3,4,Sem comentário,2025-08-28
179,316,1,1,Prazo,2025-08-19
180,318,2,1,Preço,2025-07-29
181,320,4,3,Preço,2026-04-14
182,321,2,4,Atendimento,2026-03-14
183,322,5,4,Preço,2025-09-27
184,323,1,1,Sem comentário,2026-02-16
185,325,2,2,Elogio,2026-01-14
186,329,5,3,Prazo,2026-01-20
187,330,5,4,Atendimento,2026-03-11
188,332,4,5,Sem comentário,2026-02-12
189,333,5,2,Preço,2026-02-03
190,334,3,3,Elogio,2026-04-18
191,336,5,3,Atendimento,2026-01-30
192,337,3,4,Atendimento,2025-12-31
193,338,1,4,Sem comentário,2025-10-15
194,339,5,3,Prazo,2025-11-22
195,341,2,4,Preço,2025-12-08
196,342,3,1,Preço,2025-07-25
197,343,4,2,Elogio,2025-11-25
198,344,3,3,Atendimento,2025-12-09
199,345,2,1,Atendimento,2025-11-04
200,347,1,3,Prazo,2026-03-10
201,349,3,5,Prazo,2025-09-29
202,352,2,1,Sem comentário,2026-02-17
203,354,5,1,Elogio,2026-06-26
204,355,2,2,Preço,2025-08-04
205,356,3,4,Preço,2025-07-13
206,358,2,4,Preço,2025-09-14
207,359,2,3,Atendimento,2026-02-12
208,360,3,5,Sem comentário,2026-03-30
209,361,2,4,Sem comentário,2025-08-14
210,362,3,5,Elogio,2026-03-24
211,365,1,2,Sem comentário,2026-01-23
212,368,5,2,Atendimento,2026-04-30
213,369,4,4,Atendimento,2026-04-21
214,370,4,2,Prazo,2026-02-20
215,371,5,2,Preço,2025-08-26
216,372,1,1,Atendimento,2025-07-25
217,373,1,1,Prazo,2025-11-13
218,374,3,3,Atendimento,2025-07-22
219,376,4,2,Preço,2026-01-02
220,377,4,5,Sem comentário,2026-01-04
221,378,5,5,Elogio,2026-07-05
222,379,3,4,Preço,2025-09-13
223,381,5,3,Preço,2026-02-06
224,382,5,4,Atendimento,2025-09-25
225,384,2,2,Atendimento,2025-08-18
226,385,3,1,Preço,2026-05-14
227,386,4,1,Atendimento,2026-05-14
228,389,4,5,Sem comentário,2026-06-29
229,390,4,2,Elogio,2026-01-17
230,392,1,1,Atendimento,2026-06-07
231,398,2,3,Elogio,2026-02-16
232,399,5,5,Preço,2026-02-05
233,400,1,1,Atendimento,2025-10-15
234,401,2,3,Prazo,2026-06-19
235,404,5,2,Atendimento,2026-02-19
236,407,1,3,Elogio,2026-03-13
237,408,4,1,Preço,2025-09-26
238,409,3,2,Sem comentário,2026-02-17
239,412,2,4,Sem comentário,2026-04-22
240,414,5,2,Sem comentário,2026-01-14
241,418,1,2,Atendimento,2025-09-27
242,420,5,3,Preço,2025-08-09
243,421,3,1,Prazo,2026-05-23
244,423,4,5,Prazo,2025-11-01
245,426,1,3,Preço,2025-09-27
246,430,2,3,Atendimento,2026-03-29
247,431,1,5,Preço,2026-01-23
248,433,1,5,Elogio,2026-02-19
249,434,5,4,Prazo,2025-11-17
250,436,2,5,Elogio,2026-06-21
251,438,1,2,Elogio,2026-02-03
252,440,5,1,Preço,2026-02-17
253,442,2,2,Atendimento,2026-03-25
254,443,3,2,Prazo,2025-07-22
255,444,5,1,Sem comentário,2026-05-26
256,448,5,2,Sem comentário,2026-07-01
257,453,1,2,Atendimento,2026-07-04
258,454,4,1,Elogio,2026-05-07
259,455,3,4,Prazo,2025-10-11
260,456,5,1,Prazo,2025-10-07
261,457,5,1,Atendimento,2025-08-17
262,458,5,4,Elogio,2026-05-15
263,459,2,1,Elogio,2025-08-20
264,461,3,1,Elogio,2025-07-16
265,464,1,4,Preço,2026-06-29
266,466,1,2,Sem comentário,2026-06-01
267,467,5,4,Sem comentário,2026-02-25
268,470,1,4,Atendimento,2025-11-24
269,471,5,5,Atendimento,2026-02-02
270,474,4,3,Atendimento,2026-06-02
271,475,4,1,Prazo,2025-08-29
272,476,3,4,Atendimento,2025-08-05
273,477,1,5,Preço,2026-02-01
274,478,5,5,Prazo,2025-08-11
275,479,3,1,Elogio,2026-04-06
276,480,5,5,Atendimento,2026-04-15
277,482,5,3,Prazo,2025-11-30
278,483,5,2,Prazo,2026-03-10
279,484,4,3,Prazo,2025-11-06
280,485,1,2,Atendimento,2025-11-29
281,487,3,3,Sem comentário,2026-03-17
282,488,2,3,Elogio,2025-07-30
283,489,3,1,Sem comentário,2026-04-14
284,491,1,5,Atendimento,2026-07-01
285,492,1,4,Elogio,2025-11-16
286,493,1,2,Preço,2025-10-03
287,496,4,5,Atendimento,2025-11-18
288,498,5,3,Atendimento,2026-03-21
289,499,5,3,Elogio,2025-11-04
290,502,5,4,Sem comentário,2025-08-20
291,503,3,5,Atendimento,2025-12-16
292,504,2,1,Prazo,2025-12-27
293,505,2,4,Preço,2025-11-22
294,506,1,4,Prazo,2025-10-30
295,507,1,4,Sem comentário,2026-01-21
296,508,3,3,Atendimento,2026-02-24
297,510,3,2,Prazo,2026-01-25
298,511,4,2,Preço,2026-05-07
299,514,4,3,Sem comentário,2025-10-08
300,515,4,3,Atendimento,2026-03-28
301,516,2,5,Prazo,2026-01-06
302,517,1,4,Elogio,2025-10-30
303,518,5,1,Preço,2025-10-07
304,519,2,3,Elogio,2026-01-20
305,520,2,4,Preço,2026-01-29
306,526,5,3,Atendimento,2025-10-17
307,527,2,3,Preço,2025-10-15
308,528,2,5,Atendimento,2025-12-19
309,529,1,4,Atendimento,2026-03-31
310,530,2,2,Sem comentário,2026-03-30
311,533,4,4,Prazo,2025-10-03
312,535,5,3,Elogio,2026-05-23
313,536,2,3,Elogio,2026-03-02
314,537,2,1,Prazo,2026-03-24
315,538,1,3,Preço,2026-03-01
316,539,4,1,Sem comentário,2026-01-20
317,541,1,4,Preço,2026-05-24
318,542,3,4,Preço,2026-05-15
319,544,3,1,Preço,2026-02-05
320,545,1,3,Preço,2026-01-26
321,546,1,2,Prazo,2026-03-13
322,547,2,2,Atendimento,2026-01-08
323,548,2,5,Preço,2026-01-23
324,551,5,5,Atendimento,2025-07-08
325,552,5,1,Preço,2025-08-09
326,553,3,3,Preço,2026-06-28
327,555,4,2,Sem comentário,2026-02-08
328,557,4,2,Atendimento,2026-05-14
329,559,1,4,Atendimento,2026-06-12
330,560,1,4,Sem comentário,2026-06-25
331,561,5,4,Atendimento,2025-11-30
332,562,4,5,Prazo,2026-01-05
333,563,2,1,Preço,2026-02-14
334,564,5,3,Sem comentário,2025-10-23
335,565,3,3,Preço,2026-05-22
336,568,2,5,Atendimento,2026-05-19
337,570,5,1,Elogio,2025-12-30
338,572,5,4,Preço,2025-12-17
339,573,4,4,Atendimento,2026-03-01
340,574,4,5,Atendimento,2025-10-10
341,575,5,5,Elogio,2025-12-30
342,576,1,5,Atendimento,2025-07-14
343,577,5,5,Prazo,2026-02-07
344,578,1,5,Preço,2025-08-08
345,579,4,4,Preço,2025-08-04
346,581,1,5,Preço,2026-03-08
347,583,4,4,Preço,2026-02-17
348,584,3,4,Prazo,2025-12-08
349,586,2,1,Preço,2025-12-06
350,588,1,2,Prazo,2026-01-13
351,589,5,2,Atendimento,2025-07-08
352,590,4,5,Sem comentário,2025-10-04
353,592,2,4,Atendimento,2025-08-08
354,593,5,4,Elogio,2026-03-29
355,595,5,3,Elogio,2025-12-04
356,596,4,4,Atendimento,2025-11-08
357,597,3,1,Elogio,2025-12-07
358,599,4,2,Elogio,2026-04-30
359,601,3,1,Atendimento,2025-07-26
360,602,1,4,Preço,2026-06-14
361,603,4,1,Sem comentário,2025-10-06
362,604,2,4,Prazo,2025-10-04
363,606,4,3,Sem comentário,2025-11-07
364,608,2,4,Preço,2026-02-25
365,610,5,1,Elogio,2026-03-01
366,611,2,4,Sem comentário,2026-06-14
367,612,2,3,Elogio,2025-08-26
368,613,4,5,Preço,2025-08-19
369,617,5,3,Atendimento,2026-07-01
370,618,2,2,Elogio,2025-11-07
371,620,2,2,Sem comentário,2025-09-03
372,621,2,2,Elogio,2026-04-14
373,623,1,4,Preço,2026-01-18
374,624,4,5,Preço,2026-06-18
375,626,5,3,Sem comentário,2026-02-02
376,628,2,5,Atendimento,2025-10-12
377,629,4,5,Atendimento,2026-05-18
378,630,1,1,Elogio,2025-08-30
379,631,4,2,Sem comentário,2026-06-13
380,633,1,4,Preço,2026-02-10
381,634,5,4,Elogio,2026-05-23
382,636,5,5,Sem comentário,2025-07-16
383,638,2,2,Elogio,2025-11-19
384,646,2,1,Elogio,2025-10-26
385,648,2,5,Prazo,2025-12-18
386,651,4,1,Elogio,2026-03-07
387,654,4,1,Prazo,2026-05-05
388,655,3,1,Preço,2026-01-06
389,657,1,1,Atendimento,2026-03-10
390,658,3,1,Preço,2026-05-10
391,660,3,3,Elogio,2025-12-30
392,662,5,3,Sem comentário,2026-04-05
393,665,3,3,Preço,2026-04-27
394,666,4,3,Elogio,2025-07-31
395,667,5,4,Atendimento,2026-05-02
396,668,5,5,Preço,2025-08-21
397,670,2,5,Prazo,2025-11-26
398,671,1,4,Sem comentário,2026-01-17
399,672,1,4,Elogio,2026-04-08
400,673,2,2,Preço,2025-08-30
401,674,3,1,Prazo,2026-04-23
402,679,5,5,Preço,2025-10-12
403,680,3,2,Prazo,2026-06-06
404,682,5,4,Preço,2026-03-16
405,683,2,1,Preço,2026-04-09
406,686,5,4,Sem comentário,2026-04-17
407,689,5,1,Atendimento,2026-02-21
408,691,2,3,Atendimento,2025-10-23
409,693,2,3,Sem comentário,2026-01-05
410,695,4,3,Prazo,2025-09-06
411,697,5,1,Prazo,2025-09-02
412,698,2,2,Sem comentário,2025-09-28
413,699,4,2,Elogio,2025-10-16
414,700,3,1,Elogio,2026-01-16
415,702,3,5,Elogio,2026-02-21
416,703,4,1,Elogio,2025-09-06
417,706,1,5,Sem comentário,2026-06-20
418,707,2,3,Elogio,2026-04-20
419,711,4,4,Elogio,2025-09-03
420,713,2,2,Elogio,2026-01-23
421,717,2,1,Preço,2026-02-08
422,719,5,4,Elogio,2025-10-22
423,720,1,1,Elogio,2026-01-08
424,721,2,4,Prazo,2025-10-05
425,722,1,2,Elogio,2026-07-04
426,723,5,4,Sem comentário,2026-07-14
427,724,1,4,Atendimento,2026-02-12
428,726,5,3,Elogio,2025-10-17
429,727,1,4,Elogio,2025-10-31
430,728,2,4,Sem comentário,2025-11-27
431,729,5,1,Prazo,2026-03-19
432,730,1,3,Atendimento,2025-09-02
433,731,4,1,Sem comentário,2025-08-01
434,732,4,5,Prazo,2025-09-15
435,733,4,1,Atendimento,2025-07-20
436,734,2,4,Atendimento,2025-08-08
437,735,3,2,Elogio,2025-12-08
438,736,4,3,Elogio,2025-12-19
439,737,3,2,Prazo,2025-11-21
440,741,1,3,Preço,2025-11-25
441,742,3,1,Sem comentário,2025-08-14
442,744,1,2,Elogio,2025-09-19
443,745,2,4,Sem comentário,2025-10-19
444,746,3,4,Sem comentário,2025-09-21
445,747,5,1,Sem comentário,2026-03-22
446,748,3,2,Elogio,2025-10-03
447,749,2,3,Sem comentário,2026-03-12
448,751,2,2,Prazo,2026-03-11
449,752,5,5,Sem comentário,2025-10-21
450,753,1,2,Preço,2025-10-22
451,755,4,2,Preço,2025-10-22
452,756,3,2,Atendimento,2025-10-21
453,757,4,5,Atendimento,2026-01-18
454,758,5,5,Elogio,2026-05-29
455,761,1,3,Sem comentário,2026-06-16
456,762,5,3,Elogio,2026-02-21
457,763,2,5,Prazo,2026-03-11
458,766,3,1,Prazo,2025-11-18
459,768,4,4,Atendimento,2025-12-27
460,772,5,3,Elogio,2025-08-05
461,773,3,1,Atendimento,2026-06-12
462,774,2,4,Elogio,2026-01-19
463,775,3,1,Elogio,2025-11-24
464,776,3,3,Sem comentário,2025-12-16
465,777,1,2,Preço,2026-05-16
466,780,1,1,Atendimento,2026-06-20
467,781,2,3,Preço,2026-06-01
468,782,2,3,Sem comentário,2026-03-26
469,783,1,1,Atendimento,2025-12-13
470,784,4,4,Prazo,2026-01-24
471,785,5,1,Sem comentário,2025-12-07
472,786,3,3,Sem comentário,2025-10-19
473,787,1,2,Atendimento,2025-12-09
474,788,4,3,Sem comentário,2025-10-13
475,790,3,2,Preço,2026-06-21
476,793,2,3,Prazo,2026-06-27
477,794,5,5,Preço,2025-12-02
478,795,5,1,Sem comentário,2025-09-01
479,798,3,3,Atendimento,2026-03-24
480,801,1,3,Atendimento,2025-10-26
481,802,4,4,Elogio,2025-08-16
482,805,3,2,Sem comentário,2026-02-04
483,808,5,1,Atendimento,2025-07-26
484,811,5,3,Atendimento,2026-04-08
485,815,1,2,Prazo,2026-03-31
486,817,3,2,Elogio,2025-09-06
487,818,1,4,Atendimento,2026-03-06
488,819,5,3,Elogio,2026-03-14
489,820,1,2,Atendimento,2026-05-28
490,821,2,2,Preço,2026-05-16
491,822,2,5,Preço,2026-06-20
492,823,4,1,Sem comentário,2026-02-16
493,826,1,4,Preço,2026-04-09
494,828,3,5,Preço,2026-03-14
495,829,3,4,Sem comentário,2026-02-13
496,830,5,3,Sem comentário,2026-03-13
497,832,2,2,Preço,2025-08-15
498,833,2,1,Prazo,2025-10-31
499,835,5,2,Sem comentário,2026-04-02
500,837,3,1,Elogio,2025-08-18
501,840,5,2,Preço,2026-06-18
502,841,1,2,Prazo,2026-04-04
503,844,3,3,Elogio,2025-08-23
504,845,4,1,Preço,2026-06-17
505,846,5,3,Preço,2025-12-06
506,848,3,3,Preço,2026-07-06
507,850,4,5,Elogio,2025-12-08
508,851,3,2,Elogio,2025-10-22
509,852,2,4,Elogio,2026-03-25
510,853,2,4,Atendimento,2025-12-18
511,854,2,1,Preço,2026-02-19
512,856,5,2,Elogio,2026-04-24
513,857,5,2,Atendimento,2026-04-20
514,858,5,5,Preço,2025-10-29
515,859,3,2,Atendimento,2026-04-13
516,860,5,4,Elogio,2026-05-30
517,862,5,1,Atendimento,2025-07-17
518,863,1,2,Sem comentário,2026-05-11
519,866,1,4,Sem comentário,2026-01-04
520,867,3,4,Sem comentário,2026-04-14
521,870,4,2,Prazo,2026-01-06
522,871,4,3,Elogio,2025-09-10
523,874,2,5,Prazo,2025-12-01
524,875,3,4,Preço,2026-06-04
525,876,3,4,Elogio,2026-04-16
526,877,4,3,Atendimento,2026-03-26
527,878,4,4,Elogio,2025-07-11
528,880,3,3,Preço,2025-12-24
529,881,3,3,Prazo,2026-01-01
530,882,1,3,Prazo,2025-08-09
531,883,5,2,Atendimento,2025-12-14
532,885,1,4,Sem comentário,2025-11-25
533,887,3,1,Prazo,2025-09-23
534,890,3,3,Preço,2025-09-23
535,892,5,4,Elogio,2025-08-21
536,894,3,2,Sem comentário,2026-01-30
537,895,4,4,Prazo,2025-07-11
538,897,2,3,Sem comentário,2025-08-10
539,903,5,3,Prazo,2025-09-18
540,905,5,5,Atendimento,2025-08-10
541,906,2,4,Atendimento,2026-01-30
542,907,5,4,Sem comentário,2025-08-15
543,908,1,3,Atendimento,2026-05-03
544,909,5,4,Prazo,2026-04-24
545,910,3,5,Atendimento,2026-02-13
546,911,1,1,Elogio,2025-10-25
547,914,3,4,Prazo,2025-08-13
548,916,2,3,Sem comentário,2025-08-31
549,917,2,3,Atendimento,2025-09-19
550,918,2,2,Preço,2025-08-02
551,920,2,2,Atendimento,2025-08-02
552,922,5,2,Atendimento,2026-04-14
553,923,5,2,Sem comentário,2025-10-16
554,924,2,3,Preço,2026-01-30
555,926,3,1,Elogio,2026-06-21
556,927,3,3,Atendimento,2025-08-14
557,928,4,4,Sem comentário,2025-08-21
558,930,2,2,Preço,2026-03-31
559,931,1,5,Preço,2026-02-05
560,932,5,4,Preço,2025-11-22
561,934,2,3,Atendimento,2026-01-11
562,936,1,4,Atendimento,2025-09-07
563,937,4,3,Atendimento,2026-06-13
564,938,1,4,Prazo,2026-01-13
565,939,4,2,Atendimento,2025-12-11
566,940,4,5,Preço,2025-07-24
567,943,4,1,Preço,2025-10-14
568,944,5,1,Prazo,2026-02-21
569,945,5,1,Prazo,2025-10-26
570,946,2,4,Prazo,2026-04-07
571,947,1,1,Prazo,2026-04-16
572,948,2,5,Atendimento,2026-06-11
573,949,3,5,Preço,2026-06-10
574,950,4,2,Sem comentário,2025-08-13
575,951,3,5,Prazo,2026-04-06
576,953,2,2,Prazo,2026-03-13
577,954,3,3,Atendimento,2026-05-04
578,955,1,3,Prazo,2025-12-10
579,957,2,5,Preço,2025-12-03
580,958,4,2,Preço,2026-04-25
581,959,5,5,Sem comentário,2025-08-09
582,961,5,2,Atendimento,2025-11-29
583,963,3,5,Prazo,2025-10-26
584,965,3,2,Prazo,2026-04-28
585,966,4,1,Sem comentário,2026-06-06
586,967,4,3,Preço,2025-12-20
587,968,1,1,Elogio,2025-09-09
588,971,3,1,Sem comentário,2025-08-30
589,972,1,4,Prazo,2025-11-21
590,973,3,2,Preço,2026-02-23
591,974,4,1,Elogio,2025-12-24
592,975,1,4,Elogio,2026-06-14
593,976,3,5,Sem comentário,2025-10-05
594,978,2,5,Sem comentário,2026-01-24
595,980,2,5,Prazo,2026-02-15
596,982,5,2,Prazo,2026-03-06
597,983,3,5,Atendimento,2025-08-04
598,986,1,1,Atendimento,2026-06-25
599,987,2,3,Prazo,2025-11-23
600,988,5,4,Sem comentário,2026-06-28
601,989,4,4,Preço,2025-07-13
602,990,3,5,Atendimento,2025-12-21
603,992,2,1,Sem comentário,2026-04-01
604,994,5,5,Prazo,2026-02-28
605,995,3,5,Elogio,2026-05-04
606,996,4,5,Elogio,2025-12-31
607,998,4,5,Sem comentário,2025-07-17
608,1001,3,2,Elogio,2026-05-22
609,1002,2,2,Atendimento,2025-10-05
610,1003,4,2,Atendimento,2025-09-25
611,1004,4,1,Elogio,2025-11-15
612,1006,3,1,Elogio,2026-01-05
613,1007,2,3,Prazo,2026-02-24
614,1009,5,4,Prazo,2025-09-15
615,1011,3,5,Sem comentário,2026-04-26
616,1013,3,3,Sem comentário,2025-10-30
617,1016,3,5,Sem comentário,2025-11-26
618,1018,2,3,Sem comentário,2025-07-23
619,1022,1,3,Sem comentário,2025-10-28
620,1026,1,3,Preço,2026-03-18
621,1027,4,2,Atendimento,2026-03-15
622,1028,2,3,Atendimento,2026-01-12
623,1029,5,3,Atendimento,2026-06-22
624,1031,1,5,Prazo,2026-03-18
625,1034,2,4,Atendimento,2026-06-09
626,1035,2,5,Elogio,2026-06-05
627,1037,4,5,Sem comentário,2026-01-10
628,1038,2,5,Sem comentário,2025-10-20
629,1039,3,4,Preço,2026-06-22
630,1040,3,4,Preço,2025-08-01
631,1043,3,4,Sem comentário,2025-10-10
632,1045,2,3,Atendimento,2026-06-05
633,1046,5,3,Atendimento,2026-03-29
634,1049,2,3,Preço,2026-01-10
635,1052,2,1,Atendimento,2026-06-08
636,1057,5,2,Elogio,2026-02-02
637,1059,4,5,Sem comentário,2026-06-09
638,1060,3,2,Sem comentário,2025-09-15
639,1061,3,1,Atendimento,2026-04-04
640,1063,2,1,Prazo,2025-11-10
641,1065,2,1,Sem comentário,2026-04-08
642,1066,5,3,Sem comentário,2026-06-24
643,1067,4,5,Prazo,2026-03-12
644,1068,3,2,Prazo,2025-11-16
645,1070,4,2,Sem comentário,2025-08-14
646,1075,2,4,Sem comentário,2025-10-05
647,1076,1,4,Preço,2025-08-12
648,1077,4,1,Prazo,2025-07-18
649,1078,2,1,Sem comentário,2026-03-09
650,1079,4,1,Prazo,2025-10-04
651,1081,5,5,Elogio,2025-12-08
652,1082,5,5,Elogio,2025-08-14
653,1083,5,2,Prazo,2026-06-15
654,1084,2,4,Prazo,2026-03-16
655,1085,5,3,Elogio,2025-08-01
656,1086,3,1,Elogio,2026-03-03
657,1087,1,5,Prazo,2025-12-21
658,1088,1,5,Preço,2026-05-22
659,1090,3,2,Sem comentário,2025-07-21
660,1091,3,4,Elogio,2025-08-15
661,1092,3,3,Preço,2025-11-07
662,1093,3,5,Preço,2025-09-06
663,1095,2,3,Atendimento,2026-05-31
664,1099,3,1,Sem comentário,2025-09-11
665,1100,2,2,Sem comentário,2025-11-30
666,1101,5,1,Sem comentário,2026-06-18
667,1103,5,5,Elogio,2026-07-05
668,1104,4,2,Sem comentário,2025-08-07
669,1105,4,1,Prazo,2025-12-31
670,1106,5,1,Elogio,2025-08-15
671,1108,5,5,Atendimento,2025-11-06
672,1109,3,4,Prazo,2025-08-11
673,1110,1,1,Atendimento,2025-10-14
674,1114,5,4,Sem comentário,2026-06-01
675,1115,2,1,Prazo,2026-06-25
676,1116,1,4,Elogio,2026-03-19
677,1117,4,2,Sem comentário,2025-10-26
