orcamento_id,os_id,valor_pecas,valor_mao_obra,valor_total,data_orcamento,status
261,261,1183.28,199.73,1383.01,2025-10-16,Aprovado
262,262,804.68,137.09,941.77,2026-03-15,Aprovado
263,263,289.99,171.78,461.77,2026-01-13,Aprovado
264,264,1108.56,551.17,1659.73,2025-12-27,Recusado
265,265,225.06,89.26,314.32,2025-12-30,Aprovado
266,266,473.33,389.43,862.76,2026-01-28,Aprovado
267,267,838.9,417.72,1256.62,2026-04-29,Aprovado
268,268,221.79,482.89,704.68,2025-11-11,Recusado
269,269,20.44,188.38,208.82,2026-05-15,Aprovado
270,270,445.25,419.17,864.42,2025-09-30,Aprovado
271,271,1012.82,146.47,1159.29,2025-07-24,Aprovado
272,272,851.73,93.93,945.66,2025-11-14,Aprovado
273,273,161.47,199.01,360.48,2025-09-21,Aprovado
274,274,987.06,407.75,1394.81,2026-03-16,Aprovado
275,275,1272.1,137.41,1409.51,2026-02-10,Aprovado
276,276,706.5,310.9,1017.4,2025-08-01,Aprovado
277,277,49.0,200.67,249.67,2026-06-01,Aprovado
278,278,202.14,414.98,617.12,2025-12-26,Aprovado
279,279,1124.33,344.79,1469.12,2026-05-25,Aprovado
280,280,1185.68,586.02,1771.7,2025-10-15,Recusado
281,281,829.85,186.19,1016.04,2026-04-13,Recusado
282,282,322.81,515.57,838.38,2025-07-19,Aprovado
283,283,732.3,639.13,1371.43,2026-01-12,Aprovado
284,284,24.35,146.43,170.78,2025-11-02,Aprovado
285,285,571.15,530.79,1101.94,2026-06-13,Aprovado
286,286,966.58,578.46,1545.04,2026-02-25,Recusado
287,287,249.5,202.11,451.61,2025-08-03,Recusado
288,288,977.37,177.06,1154.43,2025-09-12,Aprovado
289,289,1107.49,449.98,1557.47,2026-03-11,Recusado
290,290,1202.21,239.59,1441.8,2025-07-12,Aprovado
291,291,1192.52,500.62,1693.14,2025-09-27,Recusado
292,292,658.07,284.93,943.0,2025-12-10,Aprovado
293,293,1053.22,125.36,1178.58,2025-11-18,Aprovado
294,294,337.49,396.01,733.5,2025-07-13,Aprovado
295,295,975.92,415.76,1391.68,2026-06-14,Aprovado
296,296,573.34,96.55,669.89,2026-05-09,Aprovado
297,297,40.7,363.92,404.62,2026-05-03,Aprovado
298,298,565.96,475.09,1041.05,2025-11-19,Aprovado
299,299,384.94,578.08,963.02,2025-07-15,Aprovado
300,300,255.72,92.97,348.69,2025-11-26,Aprovado
301,301,576.66,263.7,840.36,2026-05-24,Aprovado
302,302,1018.22,606.04,1624.26,2025-09-28,Aprovado
303,303,847.87,128.72,976.59,2025-09-22,Aprovado
304,304,347.16,357.07,704.23,2026-01-04,Recusado
305,305,514.96,603.26,1118.22,2025-10-06,Aprovado
306,306,1249.54,504.05,1753.59,2026-06-19,Aprovado
307,307,103.3,361.58,464.88,2025-09-27,Recusado
308,308,484.12,302.73,786.85,2025-09-18,Aprovado
309,309,210.72,275.36,486.08,2025-11-25,Aprovado
310,310,725.77,211.1,936.87,2025-07-13,Recusado
311,311,448.23,454.46,902.69,2026-06-30,Aprovado
312,312,433.29,145.94,579.23,2026-01-24,Recusado
313,313,873.31,266.25,1139.56,2026-01-13,Aprovado
314,314,217.78,269.23,487.01,2025-07-28,Aprovado
315,315,1251.04,242.34,1493.38,2025-08-24,Aprovado
316,316,429.87,199.52,629.39,2025-08-08,Aprovado
317,317,609.43,167.05,776.48,2026-04-05,Recusado
318,318,702.32,363.08,1065.4,2025-07-24,Aprovado
319,319,1017.38,638.38,1655.76,2026-06-06,Recusado
320,320,1118.49,128.57,1247.06,2026-04-03,Aprovado
321,321,259.34,351.99,611.33,2026-03-03,Aprovado
322,322,268.16,606.0,874.16,2025-09-22,Aprovado
323,323,325.81,153.54,479.35,2026-02-13,Aprovado
324,324,217.32,494.92,712.24,2025-10-18,Aprovado
325,325,402.14,557.92,960.06,2026-01-11,Aprovado
326,326,1013.15,306.25,1319.4,2025-12-31,Recusado
327,327,1231.69,578.44,1810.13,2026-01-22,Aprovado
328,328,518.24,370.37,888.61,2025-12-04,Aprovado
329,329,509.84,329.89,839.73,2026-01-16,Aprovado
330,330,216.09,244.21,460.3,2026-03-04,Aprovado
331,331,1145.45,434.37,1579.82,2026-01-05,Aprovado
332,332,1066.72,474.27,1540.99,2026-01-31,Aprovado
333,333,73.44,203.33,276.77,2026-01-31,Aprovado
334,334,1163.49,394.86,1558.35,2026-04-12,Aprovado
335,335,961.62,240.69,1202.31,2026-06-21,Aprovado
336,336,765.11,397.24,1162.35,2026-01-27,Aprovado
337,337,276.35,202.91,479.26,2025-12-27,Aprovado
338,338,1078.55,442.43,1520.98,2025-10-15,Aprovado
339,339,1281.34,314.51,1595.85,2025-11-10,Aprovado
340,340,232.12,81.16,313.28,2026-06-06,Aprovado
341,341,610.4,79.71,690.11,2025-12-05,Aprovado
342,342,376.44,73.3,449.74,2025-07-12,Aprovado
343,343,159.53,547.98,707.51,2025-11-14,Aprovado
344,344,648.97,452.76,1101.73,2025-12-03,Aprovado
345,345,1268.12,557.85,1825.97,2025-11-03,Aprovado
346,346,1078.67,498.5,1577.17,2026-04-06,Aprovado
347,347,505.84,342.81,848.65,2026-03-07,Aprovado
348,348,1281.37,617.99,1899.36,2026-05-07,Aprovado
349,349,424.9,591.21,1016.11,2025-09-16,Aprovado
350,350,311.32,365.37,676.69,2026-05-02,Recusado
351,351,171.37,519.0,690.37,2026-03-01,Recusado
352,352,255.66,74.0,329.66,2026-02-14,Aprovado
353,353,410.33,363.84,774.17,2025-12-19,Recusado
354,354,172.63,129.85,302.48,2026-06-22,Aprovado
355,355,595.76,575.36,1171.12,2025-07-22,Aprovado
356,356,288.72,522.25,810.97,2025-07-13,Aprovado
357,357,1028.11,581.95,1610.06,2025-10-20,Aprovado
358,358,844.33,325.5,1169.83,2025-09-14,Aprovado
359,359,346.06,614.74,960.8,2026-02-09,Aprovado
360,360,457.22,131.98,589.2,2026-03-26,Aprovado
361,361,111.76,167.26,279.02,2025-08-13,Aprovado
362,362,922.03,318.21,1240.24,2026-03-14,Aprovado
363,363,326.69,184.4,511.09,2025-12-13,Recusado
364,364,247.85,609.81,857.66,2026-03-03,Aprovado
365,365,111.04,203.76,314.8,2026-01-18,Aprovado
366,366,623.85,342.61,966.46,2026-03-08,Aprovado
367,367,521.17,508.1,1029.27,2026-06-15,Aprovado
368,368,490.5,563.21,1053.71,2026-04-29,Aprovado
369,369,810.87,91.32,902.19,2026-04-21,Aprovado
370,370,578.31,625.15,1203.46,2026-02-20,Aprovado
371,371,621.08,419.75,1040.83,2025-08-13,Aprovado
372,372,744.84,175.01,919.85,2025-07-15,Aprovado
373,373,896.86,355.56,1252.42,2025-11-01,Aprovado
374,374,1011.59,184.47,1196.06,2025-07-17,Aprovado
375,375,75.24,619.29,694.53,2025-08-15,Recusado
376,376,954.36,356.9,1311.26,2025-12-21,Aprovado
377,377,588.61,259.9,848.51,2025-12-23,Aprovado
378,378,1173.27,373.43,1546.7,2026-06-25,Aprovado
379,379,1204.45,596.22,1800.67,2025-09-03,Aprovado
380,380,1252.75,260.5,1513.25,2026-05-06,Aprovado
381,381,760.23,358.0,1118.23,2026-01-26,Aprovado
382,382,1118.49,525.06,1643.55,2025-09-16,Aprovado
383,383,247.86,481.51,729.37,2026-01-29,Recusado
384,384,416.26,586.94,1003.2,2025-08-09,Aprovado
385,385,1231.16,306.15,1537.31,2026-05-02,Aprovado
386,386,210.8,83.23,294.03,2026-05-09,Aprovado
387,387,1047.83,360.57,1408.4,2025-08-22,Aprovado
388,388,830.12,286.61,1116.73,2026-01-03,Aprovado
389,389,1058.95,197.99,1256.94,2026-06-25,Aprovado
390,390,1179.1,641.11,1820.21,2026-01-13,Aprovado
391,391,1263.49,560.38,1823.87,2025-10-18,Aprovado
392,392,220.23,440.98,661.21,2026-06-07,Aprovado
393,393,1198.96,334.55,1533.51,2026-04-22,Aprovado
394,394,307.74,558.43,866.17,2026-04-12,Recusado
395,395,1149.58,649.64,1799.22,2026-03-15,Recusado
396,396,576.83,256.28,833.11,2025-07-08,Recusado
397,397,558.69,170.41,729.1,2025-09-07,Aprovado
398,398,378.43,62.24,440.67,2026-02-10,Aprovado
399,399,1087.86,505.09,1592.95,2026-02-05,Aprovado
400,400,123.45,639.41,762.86,2025-10-10,Aprovado
401,401,911.58,303.2,1214.78,2026-06-08,Aprovado
402,402,886.53,439.61,1326.14,2025-09-16,Recusado
403,403,50.9,595.15,646.05,2025-11-06,Recusado
404,404,124.13,99.34,223.47,2026-02-07,Aprovado
405,405,988.48,407.25,1395.73,2025-12-27,Recusado
406,406,1170.28,275.54,1445.82,2026-01-12,Recusado
407,407,150.51,591.51,742.02,2026-03-12,Aprovado
408,408,1170.05,491.84,1661.89,2025-09-14,Aprovado
409,409,69.08,272.62,341.7,2026-02-13,Aprovado
410,410,159.79,516.63,676.42,2025-09-21,Recusado
411,411,761.91,569.61,1331.52,2025-09-07,Aprovado
412,412,601.21,457.98,1059.19,2026-04-14,Aprovado
413,413,990.5,390.96,1381.46,2025-08-06,Recusado
414,414,912.62,322.85,1235.47,2026-01-14,Aprovado
415,415,1213.99,466.41,1680.4,2025-08-18,Recusado
416,416,939.5,425.81,1365.31,2026-06-14,Recusado
417,417,836.62,126.28,962.9,2026-02-14,Aprovado
418,418,26.71,253.35,280.06,2025-09-23,Aprovado
419,419,363.64,314.71,678.35,2025-12-28,Aprovado
420,420,333.06,154.04,487.1,2025-07-31,Aprovado
421,421,628.49,583.29,1211.78,2026-05-15,Aprovado
422,422,335.07,393.5,728.57,2026-04-06,Aprovado
423,423,1196.58,95.01,1291.59,2025-10-28,Aprovado
424,424,168.98,509.27,678.25,2025-09-13,Recusado
425,425,1016.63,317.95,1334.58,2025-08-17,Recusado
426,426,702.56,568.37,1270.93,2025-09-20,Aprovado
427,427,1134.31,202.86,1337.17,2025-07-25,Aprovado
428,428,460.14,105.65,565.79,2026-04-21,Aprovado
429,429,515.9,400.41,916.31,2026-05-13,Recusado
430,430,960.99,239.25,1200.24,2026-03-27,Aprovado
431,431,1293.29,436.7,1729.99,2026-01-10,Aprovado
432,432,433.98,370.06,804.04,2026-03-24,Aprovado
433,433,740.53,470.67,1211.2,2026-02-17,Aprovado
434,434,587.26,119.27,706.53,2025-11-12,Aprovado
435,435,1140.3,453.15,1593.45,2025-11-01,Aprovado
436,436,420.59,228.68,649.27,2026-06-09,Aprovado
437,437,1279.9,176.92,1456.82,2025-10-18,Recusado
438,438,1205.34,514.69,1720.03,2026-01-30,Aprovado
439,439,1250.45,251.18,1501.63,2026-06-20,Recusado
440,440,217.59,325.45,543.04,2026-02-15,Aprovado
441,441,562.37,114.0,676.37,2026-01-30,Recusado
442,442,626.82,543.22,1170.04,2026-03-12,Aprovado
443,443,162.22,199.21,361.43,2025-07-11,Aprovado
444,444,221.9,221.2,443.1,2026-05-19,Aprovado
445,445,955.31,88.19,1043.5,2025-07-28,Aprovado
446,446,328.95,461.68,790.63,2026-03-04,Recusado
447,447,989.23,175.23,1164.46,2026-01-01,Aprovado
448,448,1241.01,290.32,1531.33,2026-06-22,Aprovado
449,449,1044.08,447.79,1491.87,2026-05-10,Recusado
450,450,305.41,194.6,500.01,2026-05-11,Aprovado
451,451,315.51,339.74,655.25,2025-09-20,Aprovado
452,452,1062.08,107.86,1169.94,2025-08-06,Aprovado
453,453,1241.31,455.5,1696.81,2026-06-28,Aprovado
454,454,809.45,291.91,1101.36,2026-05-04,Aprovado
455,455,1203.47,272.98,1476.45,2025-09-28,Aprovado
456,456,266.02,386.7,652.72,2025-09-29,Aprovado
457,457,81.75,67.12,148.87,2025-08-06,Aprovado
458,458,320.11,465.53,785.64,2026-05-09,Aprovado
459,459,636.79,435.12,1071.91,2025-08-18,Aprovado
460,460,1194.0,601.6,1795.6,2026-04-08,Recusado
461,461,997.22,322.02,1319.24,2025-07-14,Aprovado
462,462,1203.44,539.45,1742.89,2025-10-17,Recusado
463,463,464.52,177.29,641.81,2025-11-24,Recusado
464,464,694.44,335.71,1030.15,2026-06-18,Aprovado
465,465,250.02,97.66,347.68,2026-06-16,Recusado
466,466,524.57,236.82,761.39,2026-05-23,Aprovado
467,467,516.67,592.59,1109.26,2026-02-17,Aprovado
468,468,921.82,548.49,1470.31,2026-03-22,Recusado
469,469,1047.45,85.21,1132.66,2026-01-22,Recusado
470,470,796.19,181.66,977.85,2025-11-16,Aprovado
471,471,496.23,503.82,1000.05,2026-01-20,Aprovado
