projeto_id;comprador_id;fornecedor_id;data_abertura;categoria;baseline;meta_saving_pct;status
CS00083;CB040;FO0257;2025-08-11 00:00:00;Otimização;8272,53;0,1416;Em execução
CS00084;CB015;FO0304;2026-04-30 00:00:00;Bidding;25654,54;0,1338;Concluído
CS00085;CB015;FO0066;2024-10-22 00:00:00;Bidding;8008,2;0,0956;Concluído
CS00086;CB033;FO0035;2025-05-31 00:00:00;Bidding;8338,31;0,0856;Concluído
CS00087;CB020;FO0053;2024-01-02 00:00:00;Renegociação;5801,03;0,0275;Concluído
CS00088;CB024;FO0113;2026-06-12 00:00:00;Renegociação;11893,58;0,0878;Concluído
CS00089;CB029;FO0271;2025-01-07 00:00:00;Bidding;6361,37;0,0816;Concluído
CS00090;CB028;FO0241;2024-12-07 00:00:00;Otimização;24204,21;0,1334;Em execução
CS00091;CB014;FO0316;2024-05-06 00:00:00;Substituição;3704,85;0,0987;Concluído
CS00092;CB019;FO0085;2024-04-29 00:00:00;Otimização;7660,6;0,1126;Em execução
CS00093;CB038;FO0297;2026-07-28 00:00:00;Otimização;5580,07;0,1276;Em mensuração
CS00094;CB007;FO0251;2024-10-18 00:00:00;Substituição;20813,19;0,1554;Concluído
CS00095;CB027;FO0285;2024-03-06 00:00:00;Bidding;16475,8;0,0562;Concluído
CS00096;CB025;FO0226;2025-01-04 00:00:00;Otimização;22274,07;0,125;Em mensuração
CS00097;CB009;FO0118;2025-08-04 00:00:00;Otimização;2896,33;0,0341;Concluído
CS00098;CB040;FO0166;2026-02-15 00:00:00;Renegociação;17052,71;0,0335;Concluído
CS00099;CB014;FO0125;2024-10-11 00:00:00;Renegociação;3989,34;0,1446;Concluído
CS00100;CB028;FO0223;2025-11-03 00:00:00;Bidding;3426,68;0,0783;Concluído
CS00101;CB002;FO0146;2025-10-20 00:00:00;Bidding;11438,71;0,0868;Concluído
CS00102;CB026;FO0049;2024-12-17 00:00:00;Renegociação;3345,59;0,0658;Em mensuração
CS00103;CB027;FO0095;2025-08-15 00:00:00;Renegociação;4951,07;0,1467;Concluído
CS00104;CB014;FO0318;2024-04-06 00:00:00;Renegociação;2397,87;0,1407;Concluído
CS00105;CB023;FO0305;2025-07-07 00:00:00;Renegociação;8973,57;0,0347;Em execução
CS00106;CB040;FO0267;2025-01-31 00:00:00;Otimização;2889,73;0,1231;Em execução
CS00107;CB012;FO0014;2024-05-06 00:00:00;Bidding;17575,72;0,0423;Em execução
CS00108;CB020;FO0161;2024-02-08 00:00:00;Substituição;7579,61;0,1252;Em execução
CS00109;CB001;FO0147;2024-07-20 00:00:00;Substituição;11499,65;0,1449;Concluído
CS00110;CB001;FO0116;2026-04-19 00:00:00;Otimização;25283,2;0,1686;Em execução
CS00111;CB005;FO0083;2024-07-14 00:00:00;Otimização;9859,3;0,0452;Concluído
CS00112;CB001;FO0308;2024-09-24 00:00:00;Bidding;3844,31;0,0863;Concluído
CS00113;CB017;FO0053;2025-06-18 00:00:00;Bidding;12164,82;0,1646;Concluído
CS00114;CB009;FO0067;2026-06-11 00:00:00;Bidding;2055,35;0,1122;Concluído
CS00115;CB026;FO0218;2024-02-25 00:00:00;Renegociação;9065,79;0,063;Em execução
CS00116;CB036;FO0254;2025-04-22 00:00:00;Renegociação;40405,35;0,112;Concluído
CS00117;CB038;FO0034;2025-08-15 00:00:00;Otimização;25516,16;0,1529;Em execução
CS00118;CB004;FO0202;2025-10-09 00:00:00;Bidding;19079,03;0,1771;Concluído
CS00119;CB004;FO0199;2025-08-04 00:00:00;Renegociação;8105,23;0,0929;Concluído
CS00120;CB029;FO0005;2025-10-09 00:00:00;Otimização;2315,88;0,1354;Cancelado
CS00121;CB014;FO0031;2025-09-07 00:00:00;Bidding;6332,39;0,1622;Concluído
CS00122;CB007;FO0098;2024-12-01 00:00:00;Otimização;9494,96;0,1092;Concluído
CS00123;CB034;FO0180;2025-09-07 00:00:00;Renegociação;4316,08;0,0863;Em mensuração
CS00124;CB008;FO0070;2026-07-23 00:00:00;Otimização;4931,84;0,0505;Em mensuração
CS00125;CB022;FO0187;2025-10-06 00:00:00;Substituição;8253,99;0,0577;Concluído
CS00126;CB029;FO0318;2026-04-01 00:00:00;Renegociação;15191,89;0,162;Em mensuração
CS00127;CB020;FO0195;2025-07-11 00:00:00;Renegociação;3688,22;0,1599;Em mensuração
CS00128;CB021;FO0301;2024-01-16 00:00:00;Substituição;11681,97;0,1162;Em mensuração
CS00129;CB018;FO0280;2024-01-20 00:00:00;Otimização;22984,65;0,1719;Em mensuração
CS00130;CB019;FO0067;2025-03-11 00:00:00;Renegociação;21095,25;0,0738;Concluído
CS00131;CB008;FO0313;2024-12-06 00:00:00;Otimização;7998,43;0,0653;Em execução
CS00132;CB020;FO0074;2026-07-24 00:00:00;Substituição;37061,52;0,0292;Concluído
CS00133;CB008;FO0303;2024-06-18 00:00:00;Substituição;4780,28;0,0429;Concluído
CS00134;CB038;FO0174;2024-12-30 00:00:00;Renegociação;9443,15;0,0536;Em mensuração
CS00135;CB023;FO0033;2025-08-16 00:00:00;Substituição;20899,91;0,1609;Em mensuração
CS00136;CB032;FO0181;2026-04-03 00:00:00;Renegociação;3182,72;0,1184;Concluído
CS00137;CB027;FO0192;2024-07-06 00:00:00;Renegociação;8186,98;0,1648;Em mensuração
CS00138;CB030;FO0298;2025-05-29 00:00:00;Substituição;3427,56;0,1319;Cancelado
CS00139;CB029;FO0270;2025-07-12 00:00:00;Otimização;14538,84;0,1175;Concluído
CS00140;CB004;FO0230;2025-12-03 00:00:00;Substituição;11694,58;0,0601;Concluído
CS00141;CB008;FO0306;2025-11-20 00:00:00;Bidding;16861,91;0,1259;Em execução
CS00142;CB003;FO0142;2026-02-04 00:00:00;Bidding;18204,94;0,0323;Em mensuração
CS00143;CB011;FO0165;2024-05-07 00:00:00;Bidding;4909,19;0,0999;Concluído
CS00144;CB008;FO0234;2024-01-22 00:00:00;Renegociação;38917,83;0,1503;Concluído
CS00145;CB007;FO0164;2025-11-07 00:00:00;Substituição;14266,28;0,0458;Concluído
CS00146;CB012;FO0037;2024-06-09 00:00:00;Otimização;3683,9;0,139;Concluído
CS00147;CB002;FO0144;2025-03-12 00:00:00;Otimização;11117,78;0,0317;Em mensuração
CS00148;CB036;FO0208;2026-04-21 00:00:00;Substituição;7283,55;0,0216;Concluído
CS00149;CB027;FO0229;2024-03-31 00:00:00;Renegociação;3664,83;0,0899;Em execução
CS00150;CB008;FO0217;2025-02-21 00:00:00;Renegociação;16538,26;0,1762;Concluído
CS00151;CB029;FO0250;2024-06-26 00:00:00;Renegociação;13877,79;0,1013;Concluído
CS00152;CB031;FO0276;2024-04-26 00:00:00;Otimização;6599,49;0,1683;Em execução
CS00153;CB014;FO0130;2025-08-13 00:00:00;Substituição;18834,0;0,043;Concluído
CS00154;CB016;FO0037;2025-05-23 00:00:00;Otimização;8217,2;0,0617;Concluído
CS00155;CB030;FO0155;2025-11-29 00:00:00;Otimização;15847,75;0,1403;Cancelado
CS00156;CB040;FO0210;2024-05-12 00:00:00;Bidding;11409,78;0,0866;Concluído
CS00157;CB039;FO0279;2024-09-29 00:00:00;Otimização;4644,0;0,1609;Em mensuração
CS00158;CB013;FO0147;2026-01-11 00:00:00;Bidding;9063,82;0,1636;Cancelado
CS00159;CB031;FO0080;2025-01-07 00:00:00;Substituição;15563,74;0,1649;Concluído
CS00160;CB006;FO0093;2025-04-30 00:00:00;Substituição;10155,92;0,1629;Concluído
CS00161;CB016;FO0089;2024-04-17 00:00:00;Renegociação;4344,25;0,1098;Concluído
CS00162;CB040;FO0003;2025-03-09 00:00:00;Substituição;21967,19;0,1538;Concluído
CS00163;CB007;FO0257;2025-11-21 00:00:00;Renegociação;57056,8;0,158;Em execução
CS00164;CB026;FO0197;2024-05-04 00:00:00;Bidding;7212,14;0,0618;Em mensuração
CS00165;CB018;FO0237;2026-03-07 00:00:00;Renegociação;2133,78;0,0882;Em mensuração
CS00166;CB021;FO0277;2025-08-14 00:00:00;Bidding;11924,54;0,1068;Cancelado
CS00167;CB019;FO0160;2024-07-02 00:00:00;Bidding;24157,68;0,0622;Concluído
CS00168;CB009;FO0074;2024-02-02 00:00:00;Bidding;12806,56;0,1083;Concluído
CS00169;CB038;FO0139;2026-07-19 00:00:00;Renegociação;6746,9;0,0469;Concluído
CS00170;CB022;FO0183;2026-02-10 00:00:00;Bidding;22601,79;0,0972;Concluído
CS00171;CB014;FO0097;2024-01-23 00:00:00;Renegociação;6847,38;0,1202;Concluído
CS00172;CB022;FO0040;2024-11-01 00:00:00;Otimização;16874,97;0,0762;Em execução
CS00173;CB015;FO0046;2024-02-05 00:00:00;Otimização;16280,26;0,1408;Concluído
CS00174;CB012;FO0099;2024-01-17 00:00:00;Renegociação;1607,7;0,1473;Concluído
CS00175;CB032;FO0046;2025-08-08 00:00:00;Renegociação;60908,12;0,1132;Em mensuração
CS00176;CB038;FO0267;2024-02-13 00:00:00;Bidding;11390,05;0,0587;Concluído
CS00177;CB023;FO0299;2025-10-30 00:00:00;Substituição;7677,01;0,1286;Em execução
CS00178;CB032;FO0042;2024-09-13 00:00:00;Renegociação;9117,31;0,1567;Em execução
CS00179;CB031;FO0233;2026-03-08 00:00:00;Otimização;11523,61;0,0765;Em mensuração
CS00180;CB004;FO0084;2024-09-18 00:00:00;Bidding;5972,36;0,1459;Em mensuração
CS00181;CB029;FO0066;2024-04-08 00:00:00;Otimização;11180,98;0,0805;Concluído
CS00182;CB025;FO0157;2024-02-24 00:00:00;Otimização;1988,43;0,158;Concluído
CS00183;CB006;FO0068;2024-03-21 00:00:00;Bidding;11511,68;0,1202;Concluído
CS00184;CB033;FO0047;2024-02-23 00:00:00;Bidding;4434,6;0,1719;Em mensuração
CS00185;CB006;FO0311;2026-03-12 00:00:00;Bidding;6751,19;0,0701;Em execução
CS00186;CB040;FO0221;2025-05-20 00:00:00;Bidding;6389,98;0,1201;Em execução
CS00187;CB003;FO0143;2024-09-09 00:00:00;Substituição;5902,17;0,0221;Concluído
CS00188;CB028;FO0131;2024-06-18 00:00:00;Otimização;8290,99;0,0554;Em mensuração
CS00189;CB029;FO0173;2025-05-14 00:00:00;Otimização;4355,29;0,0651;Concluído
CS00190;CB037;FO0201;2025-01-07 00:00:00;Substituição;7683,61;0,0212;Concluído
CS00191;CB013;FO0028;2024-08-16 00:00:00;Substituição;9165,26;0,0427;Em mensuração
CS00192;CB003;FO0262;2025-03-08 00:00:00;Otimização;7167,36;0,1498;Concluído
CS00193;CB027;FO0061;2026-01-27 00:00:00;Renegociação;5839,51;0,0847;Concluído
CS00194;CB034;FO0139;2025-05-11 00:00:00;Bidding;24563,48;0,1527;Concluído
CS00195;CB024;FO0012;2024-07-30 00:00:00;Otimização;8571,79;0,0964;Em mensuração
CS00196;CB017;FO0235;2026-02-21 00:00:00;Substituição;11034,25;0,0845;Em mensuração
CS00197;CB019;FO0308;2026-05-20 00:00:00;Substituição;3204,65;0,0518;Em execução
CS00198;CB013;FO0132;2026-01-21 00:00:00;Substituição;4745,25;0,1282;Concluído
CS00199;CB015;FO0069;2024-09-20 00:00:00;Otimização;8247,12;0,0466;Concluído
CS00200;CB001;FO0146;2026-04-18 00:00:00;Bidding;11352,41;0,1376;Concluído
CS00201;CB020;FO0172;2024-05-04 00:00:00;Otimização;11858,17;0,0305;Concluído
CS00202;CB022;FO0016;2025-08-27 00:00:00;Substituição;8235,35;0,0638;Concluído
CS00203;CB028;FO0067;2024-03-19 00:00:00;Substituição;3856,36;0,0808;Em mensuração
CS00204;CB023;FO0232;2024-08-11 00:00:00;Bidding;4904,38;0,149;Em mensuração
CS00205;CB011;FO0241;2024-02-04 00:00:00;Bidding;25638,23;0,0274;Concluído
CS00206;CB024;FO0245;2025-06-23 00:00:00;Otimização;17084,66;0,087;Concluído
CS00207;CB006;FO0280;2026-04-07 00:00:00;Substituição;5300,04;0,1545;Em execução
CS00208;CB008;FO0099;2024-12-17 00:00:00;Substituição;2905,58;0,1386;Concluído
CS00209;CB032;FO0011;2025-07-18 00:00:00;Otimização;7562,15;0,0802;Em execução
CS00210;CB039;FO0220;2024-05-25 00:00:00;Otimização;10035,96;0,1034;Concluído
CS00211;CB017;FO0144;2025-04-22 00:00:00;Renegociação;5162,15;0,0662;Em mensuração
CS00212;CB008;FO0200;2026-03-07 00:00:00;Substituição;7127,69;0,0555;Cancelado
CS00213;CB034;FO0317;2024-08-24 00:00:00;Renegociação;7500,11;0,0466;Em mensuração
CS00214;CB017;FO0094;2025-09-10 00:00:00;Otimização;9868,65;0,1392;Concluído
CS00215;CB022;FO0186;2026-06-07 00:00:00;Bidding;21484,98;0,0346;Em mensuração
CS00216;CB009;FO0291;2024-01-27 00:00:00;Substituição;3581,53;0,1702;Concluído
CS00217;CB004;FO0261;2026-07-29 00:00:00;Substituição;9140,74;0,079;Em execução
CS00218;CB007;FO0115;2024-01-24 00:00:00;Otimização;1780,78;0,0421;Concluído
CS00219;CB020;FO0145;2026-03-27 00:00:00;Substituição;6121,87;0,026;Em mensuração
CS00220;CB029;FO0314;2025-06-03 00:00:00;Substituição;21404,63;0,0826;Concluído
CS00221;CB009;FO0019;2024-05-19 00:00:00;Renegociação;10843,86;0,1773;Concluído
CS00222;CB031;FO0205;2024-03-31 00:00:00;Substituição;35154,1;0,1227;Concluído
CS00223;CB037;FO0001;2025-11-27 00:00:00;Otimização;4505,58;0,1596;Concluído
CS00224;CB038;FO0237;2025-10-18 00:00:00;Renegociação;24662,77;0,092;Concluído
CS00225;CB036;FO0126;2024-01-22 00:00:00;Renegociação;13252,21;0,1133;Concluído
CS00226;CB013;FO0135;2026-07-17 00:00:00;Bidding;4236,67;0,038;Concluído
CS00227;CB006;FO0069;2026-07-30 00:00:00;Substituição;62323,14;0,1119;Em execução
CS00228;CB003;FO0029;2025-11-01 00:00:00;Otimização;8315,93;0,0826;Concluído
CS00229;CB008;FO0023;2024-05-17 00:00:00;Otimização;6109,55;0,0955;Concluído
CS00230;CB027;FO0178;2025-11-12 00:00:00;Otimização;5907,02;0,1222;Concluído
CS00231;CB017;FO0067;2025-06-26 00:00:00;Otimização;1427,93;0,1429;Em execução
CS00232;CB005;FO0313;2025-10-06 00:00:00;Bidding;2853,43;0,0949;Concluído
CS00233;CB007;FO0141;2026-04-30 00:00:00;Renegociação;10927,16;0,0202;Concluído
CS00234;CB023;FO0302;2025-11-27 00:00:00;Renegociação;8654,55;0,1728;Concluído
CS00235;CB009;FO0292;2024-04-25 00:00:00;Substituição;7895,35;0,1077;Em execução
CS00236;CB038;FO0280;2025-08-12 00:00:00;Bidding;6029,77;0,1079;Concluído
CS00237;CB027;FO0138;2026-04-06 00:00:00;Renegociação;13658,77;0,0666;Cancelado
CS00238;CB004;FO0058;2024-01-07 00:00:00;Bidding;1390,61;0,0918;Em mensuração
CS00239;CB039;FO0178;2026-07-03 00:00:00;Bidding;7734,45;0,0519;Concluído
CS00240;CB005;FO0106;2025-09-12 00:00:00;Renegociação;6350,43;0,0704;Em execução
CS00241;CB025;FO0150;2026-02-20 00:00:00;Substituição;13506,43;0,06;Concluído
CS00242;CB024;FO0227;2024-06-13 00:00:00;Otimização;39557,99;0,0854;Em execução
CS00243;CB029;FO0300;2024-09-18 00:00:00;Substituição;2363,51;0,1562;Em mensuração
CS00244;CB001;FO0027;2024-05-20 00:00:00;Substituição;5888,92;0,0841;Concluído
CS00245;CB002;FO0250;2026-05-01 00:00:00;Substituição;17338,68;0,0593;Em execução
CS00246;CB037;FO0072;2026-03-30 00:00:00;Otimização;1515,3;0,0231;Concluído
CS00247;CB025;FO0270;2026-06-30 00:00:00;Substituição;5813,52;0,0314;Em mensuração
CS00248;CB016;FO0211;2026-07-20 00:00:00;Otimização;11922,15;0,0952;Cancelado
CS00249;CB023;FO0269;2025-08-07 00:00:00;Renegociação;7786,72;0,1141;Concluído
CS00250;CB007;FO0255;2024-07-05 00:00:00;Substituição;4349,78;0,0797;Concluído
CS00251;CB034;FO0265;2026-04-04 00:00:00;Bidding;8313,21;0,0481;Concluído
CS00252;CB010;FO0122;2026-05-13 00:00:00;Substituição;16832,44;0,0663;Concluído
CS00253;CB027;FO0121;2024-04-05 00:00:00;Substituição;11902,17;0,133;Concluído
CS00254;CB029;FO0034;2024-10-12 00:00:00;Renegociação;21543,2;0,0541;Em execução
CS00255;CB011;FO0175;2024-07-24 00:00:00;Bidding;9148,54;0,1308;Concluído
CS00256;CB034;FO0065;2026-06-30 00:00:00;Renegociação;6906,97;0,1008;Em execução
CS00257;CB003;FO0029;2024-01-20 00:00:00;Substituição;5674,8;0,1553;Concluído
CS00258;CB030;FO0227;2024-11-03 00:00:00;Substituição;17135,9;0,0965;Concluído
CS00259;CB016;FO0028;2024-01-18 00:00:00;Renegociação;2160,11;0,0824;Concluído
CS00260;CB021;FO0301;2025-07-28 00:00:00;Bidding;12459,81;0,0206;Em execução
CS00261;CB012;FO0143;2024-06-19 00:00:00;Otimização;6930,94;0,1094;Concluído
CS00262;CB027;FO0133;2024-04-12 00:00:00;Otimização;10668,02;0,1041;Concluído
CS00263;CB013;FO0050;2025-02-11 00:00:00;Bidding;4493,96;0,1217;Em execução
CS00264;CB011;FO0292;2025-07-15 00:00:00;Substituição;12924,46;0,0275;Concluído
CS00265;CB027;FO0308;2025-09-08 00:00:00;Substituição;4415,57;0,027;Concluído
CS00266;CB016;FO0145;2026-05-08 00:00:00;Bidding;10214,78;0,0978;Concluído
CS00267;CB005;FO0291;2026-06-27 00:00:00;Bidding;4121,69;0,0767;Concluído
CS00268;CB027;FO0214;2025-06-07 00:00:00;Otimização;10936,0;0,1297;Em execução
CS00269;CB018;FO0051;2024-01-08 00:00:00;Substituição;7057,07;0,1511;Concluído
CS00270;CB006;FO0060;2026-06-22 00:00:00;Bidding;4329,13;0,1549;Em mensuração
CS00271;CB036;FO0010;2026-01-16 00:00:00;Renegociação;7559,55;0,1641;Em execução
CS00272;CB024;FO0261;2025-12-23 00:00:00;Bidding;11402,02;0,1366;Em mensuração
CS00273;CB003;FO0235;2026-02-27 00:00:00;Substituição;7448,02;0,1096;Em execução
CS00274;CB028;FO0129;2025-06-02 00:00:00;Substituição;6683,04;0,1762;Concluído
CS00275;CB020;FO0054;2025-03-14 00:00:00;Renegociação;71573,51;0,0435;Concluído
CS00276;CB009;FO0131;2025-12-30 00:00:00;Substituição;5998,9;0,0593;Concluído
CS00277;CB040;FO0264;2024-12-16 00:00:00;Renegociação;3830,19;0,1426;Concluído
CS00278;CB036;FO0208;2025-04-25 00:00:00;Substituição;20516,5;0,1126;Concluído
CS00279;CB018;FO0170;2025-05-22 00:00:00;Bidding;5123,7;0,1373;Concluído
CS00280;CB018;FO0231;2026-07-21 00:00:00;Substituição;14149,55;0,1091;Em execução
CS00281;CB012;FO0231;2026-06-01 00:00:00;Substituição;7349,48;0,1055;Concluído
CS00282;CB015;FO0257;2024-02-24 00:00:00;Renegociação;5168,06;0,0899;Em execução
CS00283;CB020;FO0065;2024-08-26 00:00:00;Bidding;28432,31;0,0799;Concluído
CS00284;CB034;FO0291;2025-05-05 00:00:00;Bidding;6370,32;0,1331;Concluído
CS00285;CB001;FO0229;2024-02-13 00:00:00;Otimização;15601,03;0,0532;Em mensuração
CS00286;CB018;FO0220;2024-07-01 00:00:00;Substituição;12134,27;0,0993;Concluído
CS00287;CB027;FO0138;2026-06-01 00:00:00;Substituição;47855,27;0,0233;Em mensuração
CS00288;CB036;FO0030;2025-10-14 00:00:00;Otimização;9082,68;0,0384;Em execução
CS00289;CB009;FO0005;2026-04-07 00:00:00;Renegociação;5377,42;0,0562;Concluído
CS00290;CB006;FO0174;2025-02-05 00:00:00;Bidding;20545,77;0,145;Concluído
CS00291;CB023;FO0148;2024-01-29 00:00:00;Bidding;6084,92;0,0739;Em mensuração
CS00292;CB037;FO0019;2025-07-23 00:00:00;Renegociação;6949,32;0,115;Em execução
